# _root_ Το Κάστρο βρίσκεται πάνω σε ένα γιγαντιαίο βράχο , κρεμασμένο πάνω από το πέλαγος , με πανοραμική θέα και αποτελεί ένα φυσικό φρούριο .
#goldHeads=2,19,19,3,4,8,8,5,10,3,10,11,14,12,10,2,18,16,0,19,23,23,20,0,
#predictedHeads=2,3,0,3,3,8,8,5,3,19,10,11,14,12,10,10,18,16,0,19,23,23,20,0,
(5,4),-0.297497 # DEPENDENCYPART_ARC
(5,6),-0.118392 # DEPENDENCYPART_ARC
(5,7),-0.0792349 # DEPENDENCYPART_ARC
(5,8),0.474197 # DEPENDENCYPART_ARC
(5,9),-0.53821 # DEPENDENCYPART_ARC
(5,10),-1.02221 # DEPENDENCYPART_ARC
(5,11),-0.953627 # DEPENDENCYPART_ARC
(5,19),-0.916653 # DEPENDENCYPART_ARC
(7,4),-0.499282 # DEPENDENCYPART_ARC
(7,5),-0.733475 # DEPENDENCYPART_ARC
(7,6),0.427638 # DEPENDENCYPART_ARC
(7,8),-0.660655 # DEPENDENCYPART_ARC
(7,9),-0.561358 # DEPENDENCYPART_ARC
(7,10),-1.25125 # DEPENDENCYPART_ARC
(7,12),-0.600276 # DEPENDENCYPART_ARC
(8,1),-0.415937 # DEPENDENCYPART_ARC
(8,3),-1.24271 # DEPENDENCYPART_ARC
(8,4),-0.26022 # DEPENDENCYPART_ARC
(8,5),-0.54188 # DEPENDENCYPART_ARC
(8,6),2.18917 # DEPENDENCYPART_ARC
(8,7),2.45065 # DEPENDENCYPART_ARC
(8,9),-0.291718 # DEPENDENCYPART_ARC
(8,10),0.076672 # DEPENDENCYPART_ARC
(8,11),-0.823918 # DEPENDENCYPART_ARC
(9,2),-1.43895 # DEPENDENCYPART_ARC
(9,3),-1.05434 # DEPENDENCYPART_ARC
(9,4),-0.978694 # DEPENDENCYPART_ARC
(9,5),-0.870351 # DEPENDENCYPART_ARC
(9,7),-0.902275 # DEPENDENCYPART_ARC
(9,8),-0.533136 # DEPENDENCYPART_ARC
(9,10),-0.737771 # DEPENDENCYPART_ARC
(10,2),-1.89775 # DEPENDENCYPART_ARC
(10,3),-3.05589 # DEPENDENCYPART_ARC
(10,4),-0.704941 # DEPENDENCYPART_ARC
(10,5),-0.506695 # DEPENDENCYPART_ARC
(10,7),-0.290578 # DEPENDENCYPART_ARC
(10,8),-1.38868 # DEPENDENCYPART_ARC
(10,9),0.297934 # DEPENDENCYPART_ARC
(10,11),1.41276 # DEPENDENCYPART_ARC
(10,12),0.703501 # DEPENDENCYPART_ARC
(10,14),-1.98081 # DEPENDENCYPART_ARC
(10,15),0.160051 # DEPENDENCYPART_ARC
(10,16),0.0836133 # DEPENDENCYPART_ARC
(10,17),-1.47792 # DEPENDENCYPART_ARC
(10,18),-2.70289 # DEPENDENCYPART_ARC
(10,19),-0.0648691 # DEPENDENCYPART_ARC
(10,20),-1.01423 # DEPENDENCYPART_ARC
(10,23),-3.6681 # DEPENDENCYPART_ARC
(10,24),-0.389643 # DEPENDENCYPART_ARC
(11,3),-1.61595 # DEPENDENCYPART_ARC
(11,4),-0.48306 # DEPENDENCYPART_ARC
(11,5),-0.619328 # DEPENDENCYPART_ARC
(11,8),-1.05966 # DEPENDENCYPART_ARC
(11,9),-0.315426 # DEPENDENCYPART_ARC
(11,10),-0.516629 # DEPENDENCYPART_ARC
(11,12),0.826033 # DEPENDENCYPART_ARC
(11,14),-0.641554 # DEPENDENCYPART_ARC
(11,15),-0.324817 # DEPENDENCYPART_ARC
(11,16),-0.224875 # DEPENDENCYPART_ARC
(11,18),-1.28995 # DEPENDENCYPART_ARC
(11,19),-0.371736 # DEPENDENCYPART_ARC
(11,20),-0.971054 # DEPENDENCYPART_ARC
(12,9),-0.929862 # DEPENDENCYPART_ARC
(12,11),-0.526407 # DEPENDENCYPART_ARC
(12,13),-0.060617 # DEPENDENCYPART_ARC
(12,14),1.40941 # DEPENDENCYPART_ARC
(12,15),-0.21316 # DEPENDENCYPART_ARC
(12,18),-0.543645 # DEPENDENCYPART_ARC
(12,19),-0.297984 # DEPENDENCYPART_ARC
(14,11),-0.565052 # DEPENDENCYPART_ARC
(14,12),-0.468137 # DEPENDENCYPART_ARC
(14,13),2.39658 # DEPENDENCYPART_ARC
(14,15),-0.412971 # DEPENDENCYPART_ARC
(14,16),-0.397247 # DEPENDENCYPART_ARC
(14,17),-0.939833 # DEPENDENCYPART_ARC
(14,18),-0.883566 # DEPENDENCYPART_ARC
(14,20),-1.3128 # DEPENDENCYPART_ARC
(15,2),-1.68441 # DEPENDENCYPART_ARC
(15,3),-1.04733 # DEPENDENCYPART_ARC
(15,5),-0.949396 # DEPENDENCYPART_ARC
(15,7),-1.432 # DEPENDENCYPART_ARC
(15,8),-1.48514 # DEPENDENCYPART_ARC
(15,11),-0.946375 # DEPENDENCYPART_ARC
(15,12),-0.62973 # DEPENDENCYPART_ARC
(15,14),-0.602789 # DEPENDENCYPART_ARC
(15,16),-0.335929 # DEPENDENCYPART_ARC
(15,17),-0.785177 # DEPENDENCYPART_ARC
(15,18),-0.955612 # DEPENDENCYPART_ARC
(15,19),-0.413425 # DEPENDENCYPART_ARC
(15,20),-0.991116 # DEPENDENCYPART_ARC
(15,22),-1.41145 # DEPENDENCYPART_ARC
(15,23),-1.63894 # DEPENDENCYPART_ARC
(16,12),-0.916408 # DEPENDENCYPART_ARC
(16,14),-1.27113 # DEPENDENCYPART_ARC
(16,15),0.0633088 # DEPENDENCYPART_ARC
(16,17),0.696687 # DEPENDENCYPART_ARC
(16,18),1.27167 # DEPENDENCYPART_ARC
(16,19),0.0632467 # DEPENDENCYPART_ARC
(16,20),-0.648845 # DEPENDENCYPART_ARC
(16,23),-0.828573 # DEPENDENCYPART_ARC
(16,24),-0.43203 # DEPENDENCYPART_ARC
(17,14),-1.1053 # DEPENDENCYPART_ARC
(17,16),-0.455637 # DEPENDENCYPART_ARC
(17,18),-0.478584 # DEPENDENCYPART_ARC
(17,20),-0.617199 # DEPENDENCYPART_ARC
(17,23),-2.21405 # DEPENDENCYPART_ARC
(18,11),-0.687535 # DEPENDENCYPART_ARC
(18,13),-0.324701 # DEPENDENCYPART_ARC
(18,14),-1.01679 # DEPENDENCYPART_ARC
(18,15),-0.506325 # DEPENDENCYPART_ARC
(18,16),-0.225109 # DEPENDENCYPART_ARC
(18,17),2.27234 # DEPENDENCYPART_ARC
(18,19),-0.1352 # DEPENDENCYPART_ARC
(18,20),-0.805903 # DEPENDENCYPART_ARC
(18,22),-1.82635 # DEPENDENCYPART_ARC
(18,23),-1.89307 # DEPENDENCYPART_ARC
(19,3),-0.225395 # DEPENDENCYPART_ARC
(19,4),-0.564164 # DEPENDENCYPART_ARC
(19,5),-0.752888 # DEPENDENCYPART_ARC
(19,7),-1.1461 # DEPENDENCYPART_ARC
(19,8),-0.551043 # DEPENDENCYPART_ARC
(19,9),-0.570801 # DEPENDENCYPART_ARC
(19,10),0.403265 # DEPENDENCYPART_ARC
(19,11),-0.345993 # DEPENDENCYPART_ARC
(19,12),-0.39726 # DEPENDENCYPART_ARC
(19,13),-0.66722 # DEPENDENCYPART_ARC
(19,14),0.144461 # DEPENDENCYPART_ARC
(19,15),0.0179953 # DEPENDENCYPART_ARC
(19,16),0.0262824 # DEPENDENCYPART_ARC
(19,17),0.0895047 # DEPENDENCYPART_ARC
(19,18),0.744831 # DEPENDENCYPART_ARC
(19,20),1.70316 # DEPENDENCYPART_ARC
(19,22),-0.487393 # DEPENDENCYPART_ARC
(19,23),-0.306501 # DEPENDENCYPART_ARC
(19,24),-0.528941 # DEPENDENCYPART_ARC
(20,3),-2.45292 # DEPENDENCYPART_ARC
(20,4),-0.773614 # DEPENDENCYPART_ARC
(20,5),-0.974341 # DEPENDENCYPART_ARC
(20,7),-1.63551 # DEPENDENCYPART_ARC
(20,8),-1.50367 # DEPENDENCYPART_ARC
(20,10),-1.64786 # DEPENDENCYPART_ARC
(20,11),-0.513612 # DEPENDENCYPART_ARC
(20,12),-0.965302 # DEPENDENCYPART_ARC
(20,14),-1.3399 # DEPENDENCYPART_ARC
(20,15),-0.195203 # DEPENDENCYPART_ARC
(20,16),-0.499025 # DEPENDENCYPART_ARC
(20,17),-0.790989 # DEPENDENCYPART_ARC
(20,18),-0.515254 # DEPENDENCYPART_ARC
(20,19),-0.144515 # DEPENDENCYPART_ARC
(20,22),-0.91843 # DEPENDENCYPART_ARC
(20,23),0.215117 # DEPENDENCYPART_ARC
(20,24),-0.237056 # DEPENDENCYPART_ARC
(22,21),0.571449 # DEPENDENCYPART_ARC
(22,23),-0.222558 # DEPENDENCYPART_ARC
(23,13),-0.894237 # DEPENDENCYPART_ARC
(23,16),-1.05696 # DEPENDENCYPART_ARC
(23,17),-0.237238 # DEPENDENCYPART_ARC
(23,18),-1.37076 # DEPENDENCYPART_ARC
(23,21),2.23455 # DEPENDENCYPART_ARC
(23,22),2.55162 # DEPENDENCYPART_ARC
(23,24),-0.276692 # DEPENDENCYPART_ARC
(24,22),-1.37964 # DEPENDENCYPART_ARC
(24,23),-1.07193 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.247286 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0014582 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.23919 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0014582 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.16295 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.245242 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.218687 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0780414 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.591511 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0780414 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.357044 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.599014 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.135503 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.222275 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.068561 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.355729 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.612762 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.121042 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.222275 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.303261 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0414874 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.136346 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0405196 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00873603 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0479296 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0104271 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0242265 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0262179 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0835153 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0200383 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0479296 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0486845 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0263492 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0835153 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0182765 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0414885 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0197119 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0275917 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0964234 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0529872 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00510748 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00882073 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0366795 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00699545 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0326026 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0529872 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0243493 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0368108 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00699545 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0298531 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00782859 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0364333 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0398474 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0207987 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0235964 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.077571 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0052231 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0351141 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00684287 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00813222 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.121443 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0052231 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0351141 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0356196 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0567649 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0116896 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.00674611 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0154471 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.120777 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0439418 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0399883 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0441253 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0158548 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0292634 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0439418 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0399883 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0795516 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.220779 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0448313 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0454649 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0771796 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0452864 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00483175 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.000372441 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0161381 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00584783 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0452864 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.00483175 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0433237 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.155257 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.00436096 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.047358 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0654861 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0129002 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0509925 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0139037 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.017116 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.250992 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0129002 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.00386477 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.222362 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0565797 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.252515 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0778929 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0156471 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0393093 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0359734 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0249106 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0615076 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0856187 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0126899 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00733181 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.02217 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0743163 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0123031 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0323367 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0724052 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0327265 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0102657 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.192749 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.202647 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0739282 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0238526 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.121443 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0052231 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0351141 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0356196 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0567649 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0116896 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.00674611 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0154471 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.070722 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.148008 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.163279 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.273599 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.091558 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.072245 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.185275 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0130048 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.00389955 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.222397 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0566145 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.25255 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0780674 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0856187 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0126899 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.00733181 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.02217 # DEPENDENCYPART_SIBL
(3,15),(3,24),-0.0743163 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.180464 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0289855 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0444305 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.0899973 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.00978501 # DEPENDENCYPART_SIBL
(3,19),(3,23),0.00168066 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.0482604 # DEPENDENCYPART_SIBL
(3,20),(3,23),-0.0752641 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.0174037 # DEPENDENCYPART_SIBL
(3,23),(3,24),-0.0812005 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0444785 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00892318 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0182694 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0339382 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0594166 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00506467 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.041845 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0140334 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00669247 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0163923 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0131937 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.13451 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00509453 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0376456 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.02016 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0281772 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0313483 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0483192 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0228089 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00803033 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0127623 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0167182 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0157893 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0317866 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00842716 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00254372 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0756748 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0155349 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0174335 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0285776 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0550996 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0594255 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00439397 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0965293 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0150475 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0444133 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0124559 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0259262 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0390956 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0036829 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00308337 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00087747 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0326031 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0270097 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.124627 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0421255 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0399834 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0323612 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.147122 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.172108 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0644688 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0614546 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0731745 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.226993 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.106185 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.215665 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.195218 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.493858 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0197023 # DEPENDENCYPART_SIBL
(5,9),(5,11),-1.03666e-05 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.095129 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0111445 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.192955 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.134789 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.00134024 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.01725 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0195007 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0166703 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.00502153 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.000556838 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0253288 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0175819 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00626317 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0103766 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0621708 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0453167 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00322102 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0230394 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0258011 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0469429 # DEPENDENCYPART_SIBL
