# _root_ Πρότεινα να ξεκινήσει ο Πρόεδρός μας , παράλληλα με τις εργασίες της Συνέλευσης και σε συνεργασία με τα εθνικά κοινοβούλια , εκστρατεία με θέμα " Ας μιλήσουμε ανοιχτά " .
#goldHeads=0,3,1,5,3,5,14,14,8,11,9,13,11,3,14,15,16,20,20,17,14,3,22,23,27,27,24,27,27,0,
#predictedHeads=0,3,1,5,3,5,8,3,8,11,9,13,11,3,14,15,16,20,20,17,3,21,22,23,27,27,24,27,27,0,
(3,17),-0.430491 # DEPENDENCYPART_ARC
(3,21),-0.350092 # DEPENDENCYPART_ARC
(3,23),-0.429743 # DEPENDENCYPART_ARC
(3,25),-0.0840155 # DEPENDENCYPART_ARC
(3,28),-1.18096 # DEPENDENCYPART_ARC
(3,29),-0.400129 # DEPENDENCYPART_ARC
(3,30),-0.58703 # DEPENDENCYPART_ARC
(5,1),-2.52643 # DEPENDENCYPART_ARC
(5,3),-1.66298 # DEPENDENCYPART_ARC
(5,4),2.41778 # DEPENDENCYPART_ARC
(5,6),1.07083 # DEPENDENCYPART_ARC
(5,7),-0.276096 # DEPENDENCYPART_ARC
(5,8),-0.165699 # DEPENDENCYPART_ARC
(5,9),-0.310293 # DEPENDENCYPART_ARC
(5,11),-1.43311 # DEPENDENCYPART_ARC
(5,13),-0.40072 # DEPENDENCYPART_ARC
(5,14),-0.209183 # DEPENDENCYPART_ARC
(5,15),-0.514002 # DEPENDENCYPART_ARC
(5,17),-0.508918 # DEPENDENCYPART_ARC
(5,23),-0.510441 # DEPENDENCYPART_ARC
(7,1),-0.801726 # DEPENDENCYPART_ARC
(7,3),-0.734594 # DEPENDENCYPART_ARC
(7,5),-0.67131 # DEPENDENCYPART_ARC
(7,8),-0.480605 # DEPENDENCYPART_ARC
(7,9),-0.817057 # DEPENDENCYPART_ARC
(7,11),-1.12131 # DEPENDENCYPART_ARC
(8,1),-1.68498 # DEPENDENCYPART_ARC
(8,3),-1.62025 # DEPENDENCYPART_ARC
(8,5),-1.0495 # DEPENDENCYPART_ARC
(8,7),0.270122 # DEPENDENCYPART_ARC
(8,9),0.962903 # DEPENDENCYPART_ARC
(8,11),-0.767452 # DEPENDENCYPART_ARC
(8,13),-0.542959 # DEPENDENCYPART_ARC
(8,14),-0.286066 # DEPENDENCYPART_ARC
(8,15),-0.476074 # DEPENDENCYPART_ARC
(8,16),-1.23277 # DEPENDENCYPART_ARC
(8,17),-0.423266 # DEPENDENCYPART_ARC
(8,21),-0.561839 # DEPENDENCYPART_ARC
(8,27),-0.717323 # DEPENDENCYPART_ARC
(9,7),-0.424778 # DEPENDENCYPART_ARC
(9,8),-0.109748 # DEPENDENCYPART_ARC
(9,10),-0.152283 # DEPENDENCYPART_ARC
(9,11),1.19302 # DEPENDENCYPART_ARC
(9,13),-0.260929 # DEPENDENCYPART_ARC
(9,14),-0.209694 # DEPENDENCYPART_ARC
(9,16),-0.740847 # DEPENDENCYPART_ARC
(9,21),-0.636844 # DEPENDENCYPART_ARC
(11,4),-2.38015 # DEPENDENCYPART_ARC
(11,5),-2.33633 # DEPENDENCYPART_ARC
(11,7),-1.03055 # DEPENDENCYPART_ARC
(11,8),-0.875866 # DEPENDENCYPART_ARC
(11,9),-0.738654 # DEPENDENCYPART_ARC
(11,10),2.71773 # DEPENDENCYPART_ARC
(11,12),-0.0298304 # DEPENDENCYPART_ARC
(11,13),1.51187 # DEPENDENCYPART_ARC
(11,14),-0.0437419 # DEPENDENCYPART_ARC
(11,15),-0.084223 # DEPENDENCYPART_ARC
(11,16),-1.18118 # DEPENDENCYPART_ARC
(11,17),-0.180263 # DEPENDENCYPART_ARC
(11,20),-2.25231 # DEPENDENCYPART_ARC
(11,23),-0.330127 # DEPENDENCYPART_ARC
(11,28),-0.784676 # DEPENDENCYPART_ARC
(11,29),-0.627268 # DEPENDENCYPART_ARC
(13,4),-2.11799 # DEPENDENCYPART_ARC
(13,10),-1.44387 # DEPENDENCYPART_ARC
(13,11),-2.24433 # DEPENDENCYPART_ARC
(13,12),2.18772 # DEPENDENCYPART_ARC
(13,14),-0.173981 # DEPENDENCYPART_ARC
(13,15),-0.449155 # DEPENDENCYPART_ARC
(13,16),-1.20827 # DEPENDENCYPART_ARC
(13,17),-0.538394 # DEPENDENCYPART_ARC
(14,1),-0.972909 # DEPENDENCYPART_ARC
(14,3),-0.45102 # DEPENDENCYPART_ARC
(14,5),-0.943147 # DEPENDENCYPART_ARC
(14,7),-0.440911 # DEPENDENCYPART_ARC
(14,8),-0.539162 # DEPENDENCYPART_ARC
(14,9),0.0327156 # DEPENDENCYPART_ARC
(14,10),-0.859196 # DEPENDENCYPART_ARC
(14,11),-0.357286 # DEPENDENCYPART_ARC
(14,12),-0.521563 # DEPENDENCYPART_ARC
(14,13),0.379299 # DEPENDENCYPART_ARC
(14,15),0.782939 # DEPENDENCYPART_ARC
(14,16),0.510587 # DEPENDENCYPART_ARC
(14,17),-0.3651 # DEPENDENCYPART_ARC
(14,19),-0.479566 # DEPENDENCYPART_ARC
(14,20),-0.752354 # DEPENDENCYPART_ARC
(14,21),-0.418299 # DEPENDENCYPART_ARC
(14,22),-1.16404 # DEPENDENCYPART_ARC
(14,23),-1.1285 # DEPENDENCYPART_ARC
(14,24),-1.3343 # DEPENDENCYPART_ARC
(14,25),-0.376801 # DEPENDENCYPART_ARC
(14,27),-1.60279 # DEPENDENCYPART_ARC
(14,29),-0.486043 # DEPENDENCYPART_ARC
(15,13),-1.29761 # DEPENDENCYPART_ARC
(15,14),0.128665 # DEPENDENCYPART_ARC
(15,16),2.17701 # DEPENDENCYPART_ARC
(15,17),-0.35822 # DEPENDENCYPART_ARC
(15,19),-0.659532 # DEPENDENCYPART_ARC
(15,20),-0.254302 # DEPENDENCYPART_ARC
(15,22),-0.992578 # DEPENDENCYPART_ARC
(16,10),-1.7865 # DEPENDENCYPART_ARC
(16,12),-0.774275 # DEPENDENCYPART_ARC
(16,14),-0.613124 # DEPENDENCYPART_ARC
(16,17),0.835763 # DEPENDENCYPART_ARC
(16,18),-0.717686 # DEPENDENCYPART_ARC
(16,19),-1.0625 # DEPENDENCYPART_ARC
(16,20),-1.03963 # DEPENDENCYPART_ARC
(16,23),-0.228052 # DEPENDENCYPART_ARC
(16,27),-0.881549 # DEPENDENCYPART_ARC
(17,15),-0.73169 # DEPENDENCYPART_ARC
(17,16),-0.99361 # DEPENDENCYPART_ARC
(17,18),-0.262846 # DEPENDENCYPART_ARC
(17,19),-0.153964 # DEPENDENCYPART_ARC
(17,20),0.294326 # DEPENDENCYPART_ARC
(17,21),-0.524083 # DEPENDENCYPART_ARC
(17,22),-0.314356 # DEPENDENCYPART_ARC
(17,24),-0.600515 # DEPENDENCYPART_ARC
(17,25),-0.655988 # DEPENDENCYPART_ARC
(17,29),-0.973434 # DEPENDENCYPART_ARC
(19,18),1.1634 # DEPENDENCYPART_ARC
(19,20),-0.404125 # DEPENDENCYPART_ARC
(19,22),-1.3852 # DEPENDENCYPART_ARC
(19,24),-1.3849 # DEPENDENCYPART_ARC
(20,10),-1.30323 # DEPENDENCYPART_ARC
(20,12),-2.26584 # DEPENDENCYPART_ARC
(20,13),-1.13287 # DEPENDENCYPART_ARC
(20,18),2.39815 # DEPENDENCYPART_ARC
(20,19),2.41046 # DEPENDENCYPART_ARC
(20,21),-0.4346 # DEPENDENCYPART_ARC
(20,22),-0.512864 # DEPENDENCYPART_ARC
(20,23),-0.480902 # DEPENDENCYPART_ARC
(20,24),-1.68208 # DEPENDENCYPART_ARC
(21,1),-1.11895 # DEPENDENCYPART_ARC
(21,3),-1.07765 # DEPENDENCYPART_ARC
(21,5),-1.15055 # DEPENDENCYPART_ARC
(21,7),-1.06617 # DEPENDENCYPART_ARC
(21,11),-1.05011 # DEPENDENCYPART_ARC
(21,13),-1.00239 # DEPENDENCYPART_ARC
(21,15),-0.803551 # DEPENDENCYPART_ARC
(21,16),-0.827695 # DEPENDENCYPART_ARC
(21,19),-0.766269 # DEPENDENCYPART_ARC
(21,20),-0.151773 # DEPENDENCYPART_ARC
(21,22),-0.23187 # DEPENDENCYPART_ARC
(21,23),-0.79074 # DEPENDENCYPART_ARC
(21,24),-1.07094 # DEPENDENCYPART_ARC
(21,25),-0.25476 # DEPENDENCYPART_ARC
(22,12),-1.84731 # DEPENDENCYPART_ARC
(22,18),-1.82141 # DEPENDENCYPART_ARC
(22,19),-1.52372 # DEPENDENCYPART_ARC
(22,20),-1.95216 # DEPENDENCYPART_ARC
(22,21),-0.283634 # DEPENDENCYPART_ARC
(22,23),1.01679 # DEPENDENCYPART_ARC
(22,24),-0.131506 # DEPENDENCYPART_ARC
(22,25),0.150137 # DEPENDENCYPART_ARC
(22,27),-0.189094 # DEPENDENCYPART_ARC
(22,28),-0.704862 # DEPENDENCYPART_ARC
(22,29),-0.398472 # DEPENDENCYPART_ARC
(23,21),-0.543203 # DEPENDENCYPART_ARC
(23,22),-0.902763 # DEPENDENCYPART_ARC
(23,24),2.08255 # DEPENDENCYPART_ARC
(23,25),-0.188403 # DEPENDENCYPART_ARC
(23,27),-0.85626 # DEPENDENCYPART_ARC
(23,28),-0.970875 # DEPENDENCYPART_ARC
(23,29),-0.767583 # DEPENDENCYPART_ARC
(24,18),-1.16236 # DEPENDENCYPART_ARC
(24,19),-1.01311 # DEPENDENCYPART_ARC
(24,22),-0.645148 # DEPENDENCYPART_ARC
(24,25),-0.0573289 # DEPENDENCYPART_ARC
(24,27),-0.773944 # DEPENDENCYPART_ARC
(24,28),-1.07267 # DEPENDENCYPART_ARC
(25,5),-1.50824 # DEPENDENCYPART_ARC
(25,19),-1.42706 # DEPENDENCYPART_ARC
(25,20),-1.3608 # DEPENDENCYPART_ARC
(25,22),-1.05278 # DEPENDENCYPART_ARC
(25,23),-0.909122 # DEPENDENCYPART_ARC
(25,24),-0.67771 # DEPENDENCYPART_ARC
(25,27),-1.05526 # DEPENDENCYPART_ARC
(25,28),-1.22325 # DEPENDENCYPART_ARC
(25,29),-0.730674 # DEPENDENCYPART_ARC
(27,1),-2.93528 # DEPENDENCYPART_ARC
(27,3),-2.07197 # DEPENDENCYPART_ARC
(27,5),-1.8468 # DEPENDENCYPART_ARC
(27,7),-0.693981 # DEPENDENCYPART_ARC
(27,8),-0.263758 # DEPENDENCYPART_ARC
(27,9),-1.10821 # DEPENDENCYPART_ARC
(27,11),-0.845143 # DEPENDENCYPART_ARC
(27,13),-2.48202 # DEPENDENCYPART_ARC
(27,14),-0.426094 # DEPENDENCYPART_ARC
(27,15),-0.431437 # DEPENDENCYPART_ARC
(27,16),-1.53466 # DEPENDENCYPART_ARC
(27,17),-0.733315 # DEPENDENCYPART_ARC
(27,19),-1.53052 # DEPENDENCYPART_ARC
(27,20),-1.08427 # DEPENDENCYPART_ARC
(27,21),-0.345549 # DEPENDENCYPART_ARC
(27,22),-0.756957 # DEPENDENCYPART_ARC
(27,23),-0.328451 # DEPENDENCYPART_ARC
(27,24),-1.24984 # DEPENDENCYPART_ARC
(27,25),0.172354 # DEPENDENCYPART_ARC
(27,26),1.66833 # DEPENDENCYPART_ARC
(27,28),1.45644 # DEPENDENCYPART_ARC
(27,29),0.169838 # DEPENDENCYPART_ARC
(27,30),-0.0562602 # DEPENDENCYPART_ARC
(28,1),-1.24162 # DEPENDENCYPART_ARC
(28,3),-1.28638 # DEPENDENCYPART_ARC
(28,8),-0.49895 # DEPENDENCYPART_ARC
(28,9),-0.545532 # DEPENDENCYPART_ARC
(28,24),-0.777995 # DEPENDENCYPART_ARC
(28,25),-0.190364 # DEPENDENCYPART_ARC
(28,27),-0.395314 # DEPENDENCYPART_ARC
(28,29),-0.294306 # DEPENDENCYPART_ARC
(28,30),-0.847161 # DEPENDENCYPART_ARC
(29,1),-1.50963 # DEPENDENCYPART_ARC
(29,27),-0.941596 # DEPENDENCYPART_ARC
(29,28),-0.387128 # DEPENDENCYPART_ARC
(29,30),-0.534086 # DEPENDENCYPART_ARC
(30,28),-1.37103 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.605928 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.118465 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0816065 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.606572 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.121042 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0720064 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.119843 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0829846 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.60795 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.125866 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0550355 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.017346 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.210689 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.402918 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0520267 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.181388 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.0680061 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.352926 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.521091 # DEPENDENCYPART_SIBL
(0,27),(0,30),-0.123044 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00268652 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0675424 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0354657 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0267414 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0126806 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0677286 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.110992 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0119471 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0126806 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0354657 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0413071 # DEPENDENCYPART_SIBL
(1,2),(1,28),-0.0340075 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0413071 # DEPENDENCYPART_SIBL
(1,2),(1,30),-0.054079 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0645077 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0215916 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0165221 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.012379 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0646938 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.186243 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0103044 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.012379 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0215916 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.00699753 # DEPENDENCYPART_SIBL
(1,3),(1,28),-0.0239643 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.00699753 # DEPENDENCYPART_SIBL
(1,3),(1,30),0.0177314 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0124714 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0136987 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0144959 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.220467 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.200323 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0362031 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0144959 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0124714 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.0213199 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.00687977 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0213199 # DEPENDENCYPART_SIBL
(1,5),(1,30),-0.0704218 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.041036 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.033281 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.00417957 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0357273 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.030133 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.033281 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.019737 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.0406894 # DEPENDENCYPART_SIBL
(1,7),(1,28),-0.00156182 # DEPENDENCYPART_SIBL
(1,7),(1,29),-0.0406894 # DEPENDENCYPART_SIBL
(1,7),(1,30),-0.109892 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0211182 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0347264 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0159925 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0272458 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0211182 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0454154 # DEPENDENCYPART_SIBL
(1,8),(1,25),0.00906044 # DEPENDENCYPART_SIBL
(1,8),(1,28),-0.018127 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.00906044 # DEPENDENCYPART_SIBL
(1,8),(1,30),-0.00210043 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0223311 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.160276 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0317693 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0712429 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.00796538 # DEPENDENCYPART_SIBL
(1,9),(1,25),-0.0303467 # DEPENDENCYPART_SIBL
(1,9),(1,28),-0.0238597 # DEPENDENCYPART_SIBL
(1,9),(1,29),-0.0303467 # DEPENDENCYPART_SIBL
(1,9),(1,30),-0.0703386 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.200383 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0403166 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0175238 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.00874097 # DEPENDENCYPART_SIBL
(1,11),(1,25),0.0231143 # DEPENDENCYPART_SIBL
(1,11),(1,28),0.0072384 # DEPENDENCYPART_SIBL
(1,11),(1,29),0.0231143 # DEPENDENCYPART_SIBL
(1,11),(1,30),-0.0686276 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0100504 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0199942 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.0057219 # DEPENDENCYPART_SIBL
(1,14),(1,25),0.00143883 # DEPENDENCYPART_SIBL
(1,14),(1,28),-0.0397436 # DEPENDENCYPART_SIBL
(1,14),(1,29),0.00143883 # DEPENDENCYPART_SIBL
(1,14),(1,30),0.0195206 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.0523703 # DEPENDENCYPART_SIBL
(1,15),(1,21),-0.00397478 # DEPENDENCYPART_SIBL
(1,15),(1,25),-0.00785019 # DEPENDENCYPART_SIBL
(1,15),(1,28),-0.00126774 # DEPENDENCYPART_SIBL
(1,15),(1,29),-0.00785019 # DEPENDENCYPART_SIBL
(1,15),(1,30),-0.0476675 # DEPENDENCYPART_SIBL
(1,17),(1,21),-0.00796538 # DEPENDENCYPART_SIBL
(1,17),(1,25),-0.0303467 # DEPENDENCYPART_SIBL
(1,17),(1,28),-0.0238597 # DEPENDENCYPART_SIBL
(1,17),(1,29),-0.0303467 # DEPENDENCYPART_SIBL
(1,17),(1,30),-0.0703386 # DEPENDENCYPART_SIBL
(1,21),(1,25),-0.0406894 # DEPENDENCYPART_SIBL
(1,21),(1,28),-0.00156182 # DEPENDENCYPART_SIBL
(1,21),(1,29),-0.0406894 # DEPENDENCYPART_SIBL
(1,21),(1,30),-0.109892 # DEPENDENCYPART_SIBL
(1,25),(1,28),-0.0440536 # DEPENDENCYPART_SIBL
(1,25),(1,29),-0.0770205 # DEPENDENCYPART_SIBL
(1,25),(1,30),-0.154029 # DEPENDENCYPART_SIBL
(1,28),(1,29),-0.0205595 # DEPENDENCYPART_SIBL
(1,28),(1,30),-0.0322389 # DEPENDENCYPART_SIBL
(1,29),(1,30),-0.154029 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0109133 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.16984 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00694701 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00168366 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0165719 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0044886 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00433956 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00446936 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.000625115 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0421057 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0248616 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.00762345 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00433956 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0165719 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.00433956 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.00526966 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.00157498 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.00526966 # DEPENDENCYPART_SIBL
(3,1),(3,30),-0.0356852 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0720079 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.15472 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0089128 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0386987 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00767995 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.155475 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.153382 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0107428 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.169794 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.169633 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00767995 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0089128 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.00767995 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0304808 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0369971 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.0304808 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.08376 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0241095 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0187332 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00695784 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0224483 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0242957 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0241101 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0859112 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.031173 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0269013 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0224483 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0187332 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0224483 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0201856 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.000306272 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0201856 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.0367763 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.008929 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.024341 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0180337 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.216921 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.216947 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.196793 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0397447 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.219772 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0180337 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.008929 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0180337 # DEPENDENCYPART_SIBL
(3,5),(3,25),0.0248623 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.0175221 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0248623 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.0668824 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0445845 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.033277 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00417957 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00436572 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0357433 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0301309 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.00119944 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.033277 # DEPENDENCYPART_SIBL
