# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,20,4,7,5,7,10,7,10,11,12,15,25,15,18,16,18,25,20,23,21,25,0,27,25,29,27,
(7,11),0.13963 # DEPENDENCYPART_ARC
(7,12),-1.0869 # DEPENDENCYPART_ARC
(7,13),0.117859 # DEPENDENCYPART_ARC
(7,15),-0.217287 # DEPENDENCYPART_ARC
(7,16),-0.840366 # DEPENDENCYPART_ARC
(7,20),-0.226541 # DEPENDENCYPART_ARC
(8,1),-1.91896 # DEPENDENCYPART_ARC
(8,4),-0.891892 # DEPENDENCYPART_ARC
(8,6),0.387233 # DEPENDENCYPART_ARC
(8,7),-0.664978 # DEPENDENCYPART_ARC
(8,9),0.00820861 # DEPENDENCYPART_ARC
(8,10),-0.0888253 # DEPENDENCYPART_ARC
(8,11),0.143043 # DEPENDENCYPART_ARC
(8,12),-0.986171 # DEPENDENCYPART_ARC
(8,13),0.113458 # DEPENDENCYPART_ARC
(8,14),-0.294291 # DEPENDENCYPART_ARC
(8,15),-0.464682 # DEPENDENCYPART_ARC
(8,16),-1.38619 # DEPENDENCYPART_ARC
(10,6),0.0333975 # DEPENDENCYPART_ARC
(10,7),-0.35377 # DEPENDENCYPART_ARC
(10,8),-0.261602 # DEPENDENCYPART_ARC
(10,9),1.53737 # DEPENDENCYPART_ARC
(10,11),0.15716 # DEPENDENCYPART_ARC
(10,12),-0.161821 # DEPENDENCYPART_ARC
(10,13),-0.585257 # DEPENDENCYPART_ARC
(11,12),2.54712 # DEPENDENCYPART_ARC
(11,13),0.463015 # DEPENDENCYPART_ARC
(11,14),-0.369746 # DEPENDENCYPART_ARC
(12,6),-2.00981 # DEPENDENCYPART_ARC
(12,9),-1.04803 # DEPENDENCYPART_ARC
(12,10),-0.542555 # DEPENDENCYPART_ARC
(12,13),1.93965 # DEPENDENCYPART_ARC
(12,14),-0.490015 # DEPENDENCYPART_ARC
(12,15),-0.358395 # DEPENDENCYPART_ARC
(12,16),-0.619131 # DEPENDENCYPART_ARC
(12,20),-0.542119 # DEPENDENCYPART_ARC
(13,6),-1.95067 # DEPENDENCYPART_ARC
(13,8),-1.11803 # DEPENDENCYPART_ARC
(13,9),-0.921501 # DEPENDENCYPART_ARC
(13,11),-0.863549 # DEPENDENCYPART_ARC
(13,12),-0.304078 # DEPENDENCYPART_ARC
(13,14),-0.286919 # DEPENDENCYPART_ARC
(13,15),-0.659903 # DEPENDENCYPART_ARC
(13,16),-1.24123 # DEPENDENCYPART_ARC
(14,1),-1.39861 # DEPENDENCYPART_ARC
(14,4),-0.899499 # DEPENDENCYPART_ARC
(14,5),-0.787936 # DEPENDENCYPART_ARC
(14,7),-1.23256 # DEPENDENCYPART_ARC
(14,8),-1.17927 # DEPENDENCYPART_ARC
(14,10),-1.18234 # DEPENDENCYPART_ARC
(14,11),-0.735307 # DEPENDENCYPART_ARC
(14,12),-0.89195 # DEPENDENCYPART_ARC
(14,13),-0.494782 # DEPENDENCYPART_ARC
(14,18),-1.4667 # DEPENDENCYPART_ARC
(15,14),0.928401 # DEPENDENCYPART_ARC
(15,16),2.09305 # DEPENDENCYPART_ARC
(15,20),-0.114298 # DEPENDENCYPART_ARC
(15,21),0.194339 # DEPENDENCYPART_ARC
(15,24),0.356867 # DEPENDENCYPART_ARC
(15,25),-0.326079 # DEPENDENCYPART_ARC
(15,27),-0.845336 # DEPENDENCYPART_ARC
(16,1),-0.442756 # DEPENDENCYPART_ARC
(16,2),-0.946118 # DEPENDENCYPART_ARC
(16,4),-0.551887 # DEPENDENCYPART_ARC
(16,5),-1.03968 # DEPENDENCYPART_ARC
(16,7),-1.2696 # DEPENDENCYPART_ARC
(16,8),-2.0607 # DEPENDENCYPART_ARC
(16,10),-1.10447 # DEPENDENCYPART_ARC
(16,11),-0.751411 # DEPENDENCYPART_ARC
(16,12),-1.44378 # DEPENDENCYPART_ARC
(16,13),-1.77641 # DEPENDENCYPART_ARC
(16,14),0.0583866 # DEPENDENCYPART_ARC
(16,15),-0.110803 # DEPENDENCYPART_ARC
(16,17),-1.17615 # DEPENDENCYPART_ARC
(16,18),0.845609 # DEPENDENCYPART_ARC
(16,19),-1.15683 # DEPENDENCYPART_ARC
(16,20),0.085059 # DEPENDENCYPART_ARC
(16,21),-0.913444 # DEPENDENCYPART_ARC
(16,22),-0.940648 # DEPENDENCYPART_ARC
(16,23),-1.26904 # DEPENDENCYPART_ARC
(16,24),-0.232986 # DEPENDENCYPART_ARC
(16,25),-2.36729 # DEPENDENCYPART_ARC
(16,27),-1.95957 # DEPENDENCYPART_ARC
(17,19),-1.12389 # DEPENDENCYPART_ARC
(18,9),-2.08021 # DEPENDENCYPART_ARC
(18,17),2.31323 # DEPENDENCYPART_ARC
(18,19),1.4926 # DEPENDENCYPART_ARC
(18,20),0.0323215 # DEPENDENCYPART_ARC
(18,21),-1.02898 # DEPENDENCYPART_ARC
(18,22),-1.27709 # DEPENDENCYPART_ARC
(18,23),-1.5158 # DEPENDENCYPART_ARC
(18,25),-2.02735 # DEPENDENCYPART_ARC
(18,27),-1.83564 # DEPENDENCYPART_ARC
(19,9),-2.34394 # DEPENDENCYPART_ARC
(19,17),0.765805 # DEPENDENCYPART_ARC
(19,18),0.955747 # DEPENDENCYPART_ARC
(19,20),-0.164491 # DEPENDENCYPART_ARC
(19,21),-1.52826 # DEPENDENCYPART_ARC
(19,22),-1.15051 # DEPENDENCYPART_ARC
(19,23),-1.71507 # DEPENDENCYPART_ARC
(20,1),-0.642915 # DEPENDENCYPART_ARC
(20,2),-0.434135 # DEPENDENCYPART_ARC
(20,4),-0.12424 # DEPENDENCYPART_ARC
(20,5),-0.384617 # DEPENDENCYPART_ARC
(20,7),-0.376869 # DEPENDENCYPART_ARC
(20,8),-0.344208 # DEPENDENCYPART_ARC
(20,10),-0.324911 # DEPENDENCYPART_ARC
(20,11),-0.381071 # DEPENDENCYPART_ARC
(20,12),-0.0285633 # DEPENDENCYPART_ARC
(20,13),0.0732531 # DEPENDENCYPART_ARC
(20,14),0.00860511 # DEPENDENCYPART_ARC
(20,15),0.147918 # DEPENDENCYPART_ARC
(20,16),0.581696 # DEPENDENCYPART_ARC
(20,17),-0.226579 # DEPENDENCYPART_ARC
(20,18),0.419435 # DEPENDENCYPART_ARC
(20,19),1.01074 # DEPENDENCYPART_ARC
(20,21),1.91411 # DEPENDENCYPART_ARC
(20,22),-0.0102742 # DEPENDENCYPART_ARC
(20,23),-0.130045 # DEPENDENCYPART_ARC
(20,24),-0.104111 # DEPENDENCYPART_ARC
(20,25),-0.306903 # DEPENDENCYPART_ARC
(20,27),-0.92211 # DEPENDENCYPART_ARC
(21,1),-1.11853 # DEPENDENCYPART_ARC
(21,2),-0.559573 # DEPENDENCYPART_ARC
(21,4),-0.824868 # DEPENDENCYPART_ARC
(21,5),-1.2005 # DEPENDENCYPART_ARC
(21,7),-1.82443 # DEPENDENCYPART_ARC
(21,10),-1.23885 # DEPENDENCYPART_ARC
(21,11),-0.618228 # DEPENDENCYPART_ARC
(21,13),-2.88781 # DEPENDENCYPART_ARC
(21,16),-3.3623 # DEPENDENCYPART_ARC
(21,17),-1.51187 # DEPENDENCYPART_ARC
(21,18),-0.660461 # DEPENDENCYPART_ARC
(21,19),-2.09356 # DEPENDENCYPART_ARC
(21,20),-0.155746 # DEPENDENCYPART_ARC
(21,22),0.979578 # DEPENDENCYPART_ARC
(21,23),1.42412 # DEPENDENCYPART_ARC
(21,24),0.116471 # DEPENDENCYPART_ARC
(21,25),-1.66756 # DEPENDENCYPART_ARC
(21,27),-2.0627 # DEPENDENCYPART_ARC
(22,19),-1.25758 # DEPENDENCYPART_ARC
(22,21),-0.498492 # DEPENDENCYPART_ARC
(22,23),-1.2003 # DEPENDENCYPART_ARC
(22,24),-0.673329 # DEPENDENCYPART_ARC
(22,25),-0.704264 # DEPENDENCYPART_ARC
(23,17),-1.60316 # DEPENDENCYPART_ARC
(23,18),-1.24378 # DEPENDENCYPART_ARC
(23,19),-1.25896 # DEPENDENCYPART_ARC
(23,21),-1.5245 # DEPENDENCYPART_ARC
(23,22),2.89694 # DEPENDENCYPART_ARC
(23,24),-0.271559 # DEPENDENCYPART_ARC
(23,25),-1.0627 # DEPENDENCYPART_ARC
(23,26),-1.27349 # DEPENDENCYPART_ARC
(23,27),-2.17634 # DEPENDENCYPART_ARC
(24,18),-1.28764 # DEPENDENCYPART_ARC
(24,19),-1.27385 # DEPENDENCYPART_ARC
(24,22),-0.89437 # DEPENDENCYPART_ARC
(24,23),-0.534702 # DEPENDENCYPART_ARC
(24,25),-0.810694 # DEPENDENCYPART_ARC
(25,1),-0.749106 # DEPENDENCYPART_ARC
(25,2),-1.44099 # DEPENDENCYPART_ARC
(25,4),-0.617312 # DEPENDENCYPART_ARC
(25,5),-1.07041 # DEPENDENCYPART_ARC
(25,7),-1.285 # DEPENDENCYPART_ARC
(25,11),-1.25959 # DEPENDENCYPART_ARC
(25,15),-0.323311 # DEPENDENCYPART_ARC
(25,16),-2.50406 # DEPENDENCYPART_ARC
(25,18),-0.253893 # DEPENDENCYPART_ARC
(25,19),-1.96535 # DEPENDENCYPART_ARC
(25,20),-0.404029 # DEPENDENCYPART_ARC
(25,21),-1.78453 # DEPENDENCYPART_ARC
(25,22),-0.630223 # DEPENDENCYPART_ARC
(25,23),-0.0071898 # DEPENDENCYPART_ARC
(25,24),0.93163 # DEPENDENCYPART_ARC
(25,26),0.495021 # DEPENDENCYPART_ARC
(25,27),1.68069 # DEPENDENCYPART_ARC
(25,29),-0.249894 # DEPENDENCYPART_ARC
(26,27),-0.225115 # DEPENDENCYPART_ARC
(27,1),-0.87519 # DEPENDENCYPART_ARC
(27,2),-1.53926 # DEPENDENCYPART_ARC
(27,4),-0.971211 # DEPENDENCYPART_ARC
(27,15),-0.566673 # DEPENDENCYPART_ARC
(27,18),-0.828429 # DEPENDENCYPART_ARC
(27,19),-2.45749 # DEPENDENCYPART_ARC
(27,21),-2.67189 # DEPENDENCYPART_ARC
(27,22),-1.84208 # DEPENDENCYPART_ARC
(27,23),-0.474636 # DEPENDENCYPART_ARC
(27,24),-0.430409 # DEPENDENCYPART_ARC
(27,25),-0.502589 # DEPENDENCYPART_ARC
(27,26),1.743 # DEPENDENCYPART_ARC
(27,28),-0.932737 # DEPENDENCYPART_ARC
(27,29),0.110555 # DEPENDENCYPART_ARC
(29,24),-0.724009 # DEPENDENCYPART_ARC
(29,28),1.19578 # DEPENDENCYPART_ARC
(0,1),(0,2),0.13745 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.00151104 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0381554 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.13056 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0287555 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.00593797 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0285274 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.00172897 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0750114 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.239183 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0287555 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0960395 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.239183 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.0287554 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.244583 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.239183 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.000106939 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.114937 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.107653 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0575942 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0134253 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.114834 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0146195 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.243473 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.147105 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.358642 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0134253 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.160859 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.358642 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.013432 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.363025 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.358642 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.11332 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0349601 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0292602 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0931846 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.03531 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0926727 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.043013 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.102526 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.224201 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0931846 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.104688 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.224201 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.0931845 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.229342 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.224201 # DEPENDENCYPART_SIBL
(0,3),(0,29),0.0363481 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0448304 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.147337 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0143697 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.147327 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.03642 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.00841505 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.193832 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.147337 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0255469 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.193832 # DEPENDENCYPART_SIBL
(0,4),(0,23),0.147337 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.199973 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.193832 # DEPENDENCYPART_SIBL
(0,4),(0,29),0.0154318 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0144975 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.114621 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0156917 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.236268 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.151013 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.357782 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0144975 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.161693 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.357782 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0145042 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.362165 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.357782 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.113106 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.00593797 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0285274 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.00172897 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0750114 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.239183 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0287555 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0960395 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.239183 # DEPENDENCYPART_SIBL
(0,8),(0,23),0.0287554 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.244583 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.239183 # DEPENDENCYPART_SIBL
(0,8),(0,29),-0.000106939 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0925479 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0454552 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.100902 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.227615 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0930598 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.103064 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.227615 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.0930597 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.232756 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.227615 # DEPENDENCYPART_SIBL
(0,10),(0,29),0.0315902 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0012286 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0755559 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.24068 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0262078 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.096584 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.24068 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.0262076 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.24608 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.24068 # DEPENDENCYPART_SIBL
(0,13),(0,29),0.00975451 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0427837 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.219643 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0384657 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.210366 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.219643 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.219744 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.210366 # DEPENDENCYPART_SIBL
(0,14),(0,29),0.0138822 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.263558 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0648164 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.110227 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.263558 # DEPENDENCYPART_SIBL
(0,15),(0,23),0.0648163 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.267959 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.263558 # DEPENDENCYPART_SIBL
(0,15),(0,29),-0.0220719 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0184369 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.29734 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.605928 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.018437 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.612743 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.606302 # DEPENDENCYPART_SIBL
(0,16),(0,29),-0.13515 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0960395 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.239183 # DEPENDENCYPART_SIBL
(0,18),(0,23),0.0287554 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.244583 # DEPENDENCYPART_SIBL
(0,18),(0,27),-0.239183 # DEPENDENCYPART_SIBL
(0,18),(0,29),-0.000106939 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.283501 # DEPENDENCYPART_SIBL
(0,20),(0,23),0.0386046 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.287903 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.283501 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.0437761 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.018437 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.612743 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.606302 # DEPENDENCYPART_SIBL
(0,21),(0,29),-0.13515 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.244583 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.239183 # DEPENDENCYPART_SIBL
(0,23),(0,29),-0.000106988 # DEPENDENCYPART_SIBL
(0,25),(0,27),-0.654388 # DEPENDENCYPART_SIBL
(0,25),(0,29),-0.178109 # DEPENDENCYPART_SIBL
(0,27),(0,29),-0.13515 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00295146 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0617316 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0428308 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0246442 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0234365 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0323975 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0100228 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0173508 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0612019 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00926888 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.00401418 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.00612329 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.043041 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0124542 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.0381804 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0653616 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0229392 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0347025 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.020423 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.000415709 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00337124 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00272002 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00915204 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0248882 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0110928 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0110928 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0153238 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.118481 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.051411 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0507755 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.045553 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00227313 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0153254 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0153254 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0262422 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00419677 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00419159 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00420351 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0303967 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00506471 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.00526322 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0280372 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0283589 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0282422 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0234604 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0275113 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.0275113 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.156542 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.162847 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.000816469 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.039009 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.039009 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.162473 # DEPENDENCYPART_SIBL
