# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,26,30,28,30,0,
(6,2),-1.50365 # DEPENDENCYPART_ARC
(6,3),-0.969853 # DEPENDENCYPART_ARC
(6,4),-0.510395 # DEPENDENCYPART_ARC
(6,5),-0.113086 # DEPENDENCYPART_ARC
(6,7),-0.372254 # DEPENDENCYPART_ARC
(6,8),-1.47978 # DEPENDENCYPART_ARC
(6,9),-1.57451 # DEPENDENCYPART_ARC
(6,10),-0.66051 # DEPENDENCYPART_ARC
(6,12),-1.95006 # DEPENDENCYPART_ARC
(7,2),-1.19311 # DEPENDENCYPART_ARC
(7,3),-0.645581 # DEPENDENCYPART_ARC
(7,4),-0.818397 # DEPENDENCYPART_ARC
(7,5),-0.772914 # DEPENDENCYPART_ARC
(7,6),-0.285163 # DEPENDENCYPART_ARC
(7,9),-0.654327 # DEPENDENCYPART_ARC
(7,10),-0.356067 # DEPENDENCYPART_ARC
(7,12),-1.11605 # DEPENDENCYPART_ARC
(7,13),-0.0807974 # DEPENDENCYPART_ARC
(7,14),-0.984582 # DEPENDENCYPART_ARC
(7,16),-1.06782 # DEPENDENCYPART_ARC
(7,21),-1.69213 # DEPENDENCYPART_ARC
(9,1),-1.02362 # DEPENDENCYPART_ARC
(9,6),-1.78756 # DEPENDENCYPART_ARC
(9,7),-0.404719 # DEPENDENCYPART_ARC
(9,8),2.68604 # DEPENDENCYPART_ARC
(9,11),-1.49275 # DEPENDENCYPART_ARC
(9,12),-0.90984 # DEPENDENCYPART_ARC
(9,14),-1.40639 # DEPENDENCYPART_ARC
(9,15),-1.39719 # DEPENDENCYPART_ARC
(9,23),-1.59209 # DEPENDENCYPART_ARC
(10,2),-0.0455335 # DEPENDENCYPART_ARC
(10,3),-0.215119 # DEPENDENCYPART_ARC
(10,4),-0.446588 # DEPENDENCYPART_ARC
(10,5),-0.416272 # DEPENDENCYPART_ARC
(10,6),0.152578 # DEPENDENCYPART_ARC
(10,7),0.836577 # DEPENDENCYPART_ARC
(10,8),-0.241084 # DEPENDENCYPART_ARC
(10,9),1.52372 # DEPENDENCYPART_ARC
(10,11),-0.183162 # DEPENDENCYPART_ARC
(10,12),0.697443 # DEPENDENCYPART_ARC
(10,13),-0.0952423 # DEPENDENCYPART_ARC
(10,14),-0.116621 # DEPENDENCYPART_ARC
(10,16),-0.96018 # DEPENDENCYPART_ARC
(10,18),-0.925786 # DEPENDENCYPART_ARC
(10,19),-1.21979 # DEPENDENCYPART_ARC
(10,22),-0.813817 # DEPENDENCYPART_ARC
(12,8),-1.29513 # DEPENDENCYPART_ARC
(12,10),-0.176514 # DEPENDENCYPART_ARC
(12,11),2.10195 # DEPENDENCYPART_ARC
(12,13),-0.464878 # DEPENDENCYPART_ARC
(12,14),-1.07227 # DEPENDENCYPART_ARC
(13,3),-0.782896 # DEPENDENCYPART_ARC
(13,5),-1.02224 # DEPENDENCYPART_ARC
(13,9),-1.14138 # DEPENDENCYPART_ARC
(13,12),-0.597953 # DEPENDENCYPART_ARC
(13,14),-0.580875 # DEPENDENCYPART_ARC
(13,16),-1.18926 # DEPENDENCYPART_ARC
(13,19),-1.74991 # DEPENDENCYPART_ARC
(14,2),-0.82088 # DEPENDENCYPART_ARC
(14,3),-0.505134 # DEPENDENCYPART_ARC
(14,4),-0.28702 # DEPENDENCYPART_ARC
(14,5),-0.907055 # DEPENDENCYPART_ARC
(14,6),-1.45776 # DEPENDENCYPART_ARC
(14,7),-0.020808 # DEPENDENCYPART_ARC
(14,9),-0.395492 # DEPENDENCYPART_ARC
(14,10),-0.514908 # DEPENDENCYPART_ARC
(14,11),-1.34575 # DEPENDENCYPART_ARC
(14,12),-0.416271 # DEPENDENCYPART_ARC
(14,13),0.569095 # DEPENDENCYPART_ARC
(14,15),0.472979 # DEPENDENCYPART_ARC
(14,16),0.570076 # DEPENDENCYPART_ARC
(14,18),-0.898344 # DEPENDENCYPART_ARC
(14,19),0.0276176 # DEPENDENCYPART_ARC
(14,21),-2.00148 # DEPENDENCYPART_ARC
(14,22),0.0742298 # DEPENDENCYPART_ARC
(14,23),-0.292165 # DEPENDENCYPART_ARC
(14,25),-1.22742 # DEPENDENCYPART_ARC
(14,26),-1.32655 # DEPENDENCYPART_ARC
(14,27),-0.962104 # DEPENDENCYPART_ARC
(14,28),-1.9103 # DEPENDENCYPART_ARC
(14,29),-3.42551 # DEPENDENCYPART_ARC
(14,30),-0.334846 # DEPENDENCYPART_ARC
(14,31),-3.6921 # DEPENDENCYPART_ARC
(14,32),-0.316517 # DEPENDENCYPART_ARC
(15,16),1.16871 # DEPENDENCYPART_ARC
(15,25),-1.13895 # DEPENDENCYPART_ARC
(16,13),-0.99718 # DEPENDENCYPART_ARC
(16,15),-0.606337 # DEPENDENCYPART_ARC
(16,17),0.0516845 # DEPENDENCYPART_ARC
(16,18),0.148493 # DEPENDENCYPART_ARC
(16,19),0.517518 # DEPENDENCYPART_ARC
(16,21),-0.0658796 # DEPENDENCYPART_ARC
(16,22),-0.348362 # DEPENDENCYPART_ARC
(16,30),-0.686165 # DEPENDENCYPART_ARC
(18,16),-0.579826 # DEPENDENCYPART_ARC
(18,17),0.701043 # DEPENDENCYPART_ARC
(18,19),-0.741634 # DEPENDENCYPART_ARC
(18,21),-0.620129 # DEPENDENCYPART_ARC
(18,23),-0.0504789 # DEPENDENCYPART_ARC
(19,11),-1.54531 # DEPENDENCYPART_ARC
(19,16),-0.720304 # DEPENDENCYPART_ARC
(19,17),2.08606 # DEPENDENCYPART_ARC
(19,18),3.0081 # DEPENDENCYPART_ARC
(19,20),-0.394286 # DEPENDENCYPART_ARC
(19,21),1.2563 # DEPENDENCYPART_ARC
(19,22),-0.275864 # DEPENDENCYPART_ARC
(19,23),-0.239486 # DEPENDENCYPART_ARC
(19,25),-0.687393 # DEPENDENCYPART_ARC
(19,26),-1.85085 # DEPENDENCYPART_ARC
(19,27),-0.572943 # DEPENDENCYPART_ARC
(19,28),-2.78312 # DEPENDENCYPART_ARC
(19,29),-1.41294 # DEPENDENCYPART_ARC
(19,30),-0.395779 # DEPENDENCYPART_ARC
(21,17),-2.57093 # DEPENDENCYPART_ARC
(21,19),-2.19799 # DEPENDENCYPART_ARC
(21,20),2.12412 # DEPENDENCYPART_ARC
(21,22),-0.737855 # DEPENDENCYPART_ARC
(21,23),-0.56455 # DEPENDENCYPART_ARC
(21,25),-1.12516 # DEPENDENCYPART_ARC
(22,2),-1.64645 # DEPENDENCYPART_ARC
(22,3),-0.710637 # DEPENDENCYPART_ARC
(22,12),-1.35083 # DEPENDENCYPART_ARC
(22,16),-0.547501 # DEPENDENCYPART_ARC
(22,18),-1.01579 # DEPENDENCYPART_ARC
(22,19),-0.715114 # DEPENDENCYPART_ARC
(22,21),-0.405157 # DEPENDENCYPART_ARC
(22,23),-0.417965 # DEPENDENCYPART_ARC
(22,25),-1.01123 # DEPENDENCYPART_ARC
(22,26),-1.46494 # DEPENDENCYPART_ARC
(22,27),-1.31663 # DEPENDENCYPART_ARC
(22,28),-1.72473 # DEPENDENCYPART_ARC
(22,29),-1.76324 # DEPENDENCYPART_ARC
(22,31),-1.79807 # DEPENDENCYPART_ARC
(23,22),0.104087 # DEPENDENCYPART_ARC
(23,24),3.56236 # DEPENDENCYPART_ARC
(23,25),-1.03883 # DEPENDENCYPART_ARC
(23,26),0.443862 # DEPENDENCYPART_ARC
(24,22),-0.430132 # DEPENDENCYPART_ARC
(24,25),-0.91108 # DEPENDENCYPART_ARC
(25,2),-1.38812 # DEPENDENCYPART_ARC
(25,4),-0.605786 # DEPENDENCYPART_ARC
(25,5),-0.88911 # DEPENDENCYPART_ARC
(25,7),-0.41902 # DEPENDENCYPART_ARC
(25,9),-1.25216 # DEPENDENCYPART_ARC
(25,10),-0.413906 # DEPENDENCYPART_ARC
(25,12),-1.55309 # DEPENDENCYPART_ARC
(25,13),-0.783186 # DEPENDENCYPART_ARC
(25,14),-1.64272 # DEPENDENCYPART_ARC
(25,15),-0.971761 # DEPENDENCYPART_ARC
(25,16),-0.405355 # DEPENDENCYPART_ARC
(25,18),-0.52657 # DEPENDENCYPART_ARC
(25,19),-0.684751 # DEPENDENCYPART_ARC
(25,20),-1.79522 # DEPENDENCYPART_ARC
(25,21),-2.13747 # DEPENDENCYPART_ARC
(25,22),0.39875 # DEPENDENCYPART_ARC
(25,23),0.56874 # DEPENDENCYPART_ARC
(25,24),1.42001 # DEPENDENCYPART_ARC
(25,26),1.9202 # DEPENDENCYPART_ARC
(25,27),0.128332 # DEPENDENCYPART_ARC
(25,28),0.336213 # DEPENDENCYPART_ARC
(25,29),-1.32801 # DEPENDENCYPART_ARC
(25,30),-0.126924 # DEPENDENCYPART_ARC
(25,31),-2.173 # DEPENDENCYPART_ARC
(25,32),-0.399467 # DEPENDENCYPART_ARC
(26,17),-2.32781 # DEPENDENCYPART_ARC
(26,20),-0.692727 # DEPENDENCYPART_ARC
(26,21),-1.06676 # DEPENDENCYPART_ARC
(26,24),0.33527 # DEPENDENCYPART_ARC
(26,25),-1.7337 # DEPENDENCYPART_ARC
(26,27),0.3282 # DEPENDENCYPART_ARC
(26,28),-0.426269 # DEPENDENCYPART_ARC
(26,29),0.238951 # DEPENDENCYPART_ARC
(26,30),-0.130852 # DEPENDENCYPART_ARC
(26,31),-0.255395 # DEPENDENCYPART_ARC
(27,22),-0.850374 # DEPENDENCYPART_ARC
(27,23),-0.953819 # DEPENDENCYPART_ARC
(27,24),-1.6339 # DEPENDENCYPART_ARC
(27,26),-0.419682 # DEPENDENCYPART_ARC
(27,28),0.151972 # DEPENDENCYPART_ARC
(27,29),-0.221376 # DEPENDENCYPART_ARC
(27,30),-0.277792 # DEPENDENCYPART_ARC
(27,31),-0.774665 # DEPENDENCYPART_ARC
(28,20),-2.57143 # DEPENDENCYPART_ARC
(28,24),-0.567779 # DEPENDENCYPART_ARC
(28,26),-0.915371 # DEPENDENCYPART_ARC
(28,27),0.594529 # DEPENDENCYPART_ARC
(28,29),0.901154 # DEPENDENCYPART_ARC
(28,30),0.185447 # DEPENDENCYPART_ARC
(28,31),-0.487817 # DEPENDENCYPART_ARC
(29,20),-2.63562 # DEPENDENCYPART_ARC
(29,24),-0.865285 # DEPENDENCYPART_ARC
(29,26),-2.52918 # DEPENDENCYPART_ARC
(29,27),0.0402348 # DEPENDENCYPART_ARC
(29,28),0.0475498 # DEPENDENCYPART_ARC
(29,30),-0.295401 # DEPENDENCYPART_ARC
(29,31),-0.684664 # DEPENDENCYPART_ARC
(30,2),-1.1862 # DEPENDENCYPART_ARC
(30,4),-0.80681 # DEPENDENCYPART_ARC
(30,6),-0.852525 # DEPENDENCYPART_ARC
(30,7),-0.857823 # DEPENDENCYPART_ARC
(30,9),-0.682152 # DEPENDENCYPART_ARC
(30,10),-0.216005 # DEPENDENCYPART_ARC
(30,13),-0.984007 # DEPENDENCYPART_ARC
(30,14),-0.586562 # DEPENDENCYPART_ARC
(30,16),-1.06989 # DEPENDENCYPART_ARC
(30,18),-1.33215 # DEPENDENCYPART_ARC
(30,19),-0.66719 # DEPENDENCYPART_ARC
(30,21),-0.313278 # DEPENDENCYPART_ARC
(30,22),-0.580344 # DEPENDENCYPART_ARC
(30,23),-0.626783 # DEPENDENCYPART_ARC
(30,24),-0.208924 # DEPENDENCYPART_ARC
(30,25),0.0123135 # DEPENDENCYPART_ARC
(30,26),-0.0418703 # DEPENDENCYPART_ARC
(30,27),-0.162232 # DEPENDENCYPART_ARC
(30,28),0.35698 # DEPENDENCYPART_ARC
(30,29),1.8934 # DEPENDENCYPART_ARC
(30,31),1.91989 # DEPENDENCYPART_ARC
(30,32),-0.159534 # DEPENDENCYPART_ARC
(31,24),-1.38557 # DEPENDENCYPART_ARC
(31,26),-3.11837 # DEPENDENCYPART_ARC
(31,27),-0.934456 # DEPENDENCYPART_ARC
(31,28),-1.51821 # DEPENDENCYPART_ARC
(31,29),0.359073 # DEPENDENCYPART_ARC
(31,30),0.011105 # DEPENDENCYPART_ARC
(31,32),-0.481704 # DEPENDENCYPART_ARC
(32,28),-1.59252 # DEPENDENCYPART_ARC
(32,29),-1.4666 # DEPENDENCYPART_ARC
(32,31),-1.06704 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.00165749 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0180088 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.112899 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0250718 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0105727 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.166173 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0949795 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.00342428 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.245351 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0250718 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.150181 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.243726 # DEPENDENCYPART_SIBL
(0,2),(0,27),0.0183369 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.166173 # DEPENDENCYPART_SIBL
(0,2),(0,31),0.0250718 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.21866 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0232415 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0424511 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.173888 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.119824 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0995221 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.243882 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.276871 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.244461 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.173888 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0111133 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.241645 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0227671 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.0995221 # DEPENDENCYPART_SIBL
(0,3),(0,31),0.173888 # DEPENDENCYPART_SIBL
(0,3),(0,32),-0.471339 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0334887 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.182411 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.02923 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.00770728 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.226784 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0232153 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.18516 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.182411 # DEPENDENCYPART_SIBL
(0,4),(0,23),0.052822 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.183845 # DEPENDENCYPART_SIBL
(0,4),(0,27),0.0216747 # DEPENDENCYPART_SIBL
(0,4),(0,30),0.00770728 # DEPENDENCYPART_SIBL
(0,4),(0,31),0.182411 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.0809066 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00361697 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.235498 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.196622 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0436106 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.274948 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.359676 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.00361697 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0663491 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.357654 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.12612 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.196622 # DEPENDENCYPART_SIBL
(0,5),(0,31),0.00361697 # DEPENDENCYPART_SIBL
(0,5),(0,32),-0.511526 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00172897 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.162869 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0986633 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00501396 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.240808 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0287555 # DEPENDENCYPART_SIBL
(0,6),(0,23),0.15409 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.239183 # DEPENDENCYPART_SIBL
(0,6),(0,27),0.0225028 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.162869 # DEPENDENCYPART_SIBL
(0,6),(0,31),0.0287555 # DEPENDENCYPART_SIBL
(0,6),(0,32),-0.218542 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.030572 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.289637 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.167418 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.214699 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.219643 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.021131 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.210366 # DEPENDENCYPART_SIBL
(0,7),(0,27),0.0346457 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.030572 # DEPENDENCYPART_SIBL
(0,7),(0,31),0.219643 # DEPENDENCYPART_SIBL
(0,7),(0,32),-0.402918 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0400602 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0859229 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.298762 # DEPENDENCYPART_SIBL
(0,10),(0,19),6.64618e-05 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0240125 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.297346 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.0631119 # DEPENDENCYPART_SIBL
(0,10),(0,30),-0.203802 # DEPENDENCYPART_SIBL
(0,10),(0,31),6.64618e-05 # DEPENDENCYPART_SIBL
(0,10),(0,32),-0.0414874 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.042334 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.220807 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0487582 # DEPENDENCYPART_SIBL
(0,12),(0,23),0.174093 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.219182 # DEPENDENCYPART_SIBL
(0,12),(0,27),0.0419485 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.142866 # DEPENDENCYPART_SIBL
(0,12),(0,31),0.0487582 # DEPENDENCYPART_SIBL
(0,12),(0,32),-0.171194 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.199079 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.248218 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.037884 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.196263 # DEPENDENCYPART_SIBL
(0,13),(0,27),0.0296944 # DEPENDENCYPART_SIBL
(0,13),(0,30),-0.0438493 # DEPENDENCYPART_SIBL
(0,13),(0,31),0.248218 # DEPENDENCYPART_SIBL
(0,13),(0,32),-0.362268 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.019703 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.091063 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.607001 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.119475 # DEPENDENCYPART_SIBL
(0,14),(0,30),-0.356828 # DEPENDENCYPART_SIBL
(0,14),(0,31),-0.019703 # DEPENDENCYPART_SIBL
(0,14),(0,32),-0.124862 # DEPENDENCYPART_SIBL
(0,19),(0,23),0.15409 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.239183 # DEPENDENCYPART_SIBL
(0,19),(0,27),0.0225028 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.162869 # DEPENDENCYPART_SIBL
(0,19),(0,31),0.0287555 # DEPENDENCYPART_SIBL
(0,19),(0,32),-0.218542 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.36006 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.110248 # DEPENDENCYPART_SIBL
(0,23),(0,30),-0.205849 # DEPENDENCYPART_SIBL
(0,23),(0,31),-0.0122157 # DEPENDENCYPART_SIBL
(0,23),(0,32),-0.512096 # DEPENDENCYPART_SIBL
(0,25),(0,27),-0.119653 # DEPENDENCYPART_SIBL
(0,25),(0,30),-0.35698 # DEPENDENCYPART_SIBL
(0,25),(0,31),-0.0196877 # DEPENDENCYPART_SIBL
(0,25),(0,32),-0.12542 # DEPENDENCYPART_SIBL
(0,27),(0,30),0.00537876 # DEPENDENCYPART_SIBL
(0,27),(0,31),0.179162 # DEPENDENCYPART_SIBL
(0,27),(0,32),-0.0785623 # DEPENDENCYPART_SIBL
(0,30),(0,31),6.64618e-05 # DEPENDENCYPART_SIBL
(0,30),(0,32),-0.0414874 # DEPENDENCYPART_SIBL
(0,31),(0,32),-0.218542 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0353309 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00449725 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00343319 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0213187 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.025792 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.033959 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0167517 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0147572 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.037849 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0297461 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0650222 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00639792 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.155597 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0260866 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.155597 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0938873 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.133088 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.264592 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.043223 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.15231 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0134459 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.041007 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0112385 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.041007 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0184119 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0453868 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0696507 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0159367 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.041007 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0301244 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00597479 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0301244 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0425022 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0301243 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0760403 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0251664 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.030119 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.108176 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.058125 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0652718 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0482052 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.195452 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0157926 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.062044 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0336534 # DEPENDENCYPART_SIBL
