# _root_ İnsan toplumları , _ soyutlama yetisine , meta ekonomisinin _ ortaya_çıkmasıyla ulaşmıştır .
#goldHeads=2,12,0,5,6,12,0,9,10,11,12,13,0,
#predictedHeads=2,12,0,5,6,12,0,9,11,11,12,13,0,
(8,11),-1.10506 # DEPENDENCYPART_ARC
(8,12),-1.62654 # DEPENDENCYPART_ARC
(8,13),-0.543529 # DEPENDENCYPART_ARC
(9,1),-0.186186 # DEPENDENCYPART_ARC
(9,2),-0.448469 # DEPENDENCYPART_ARC
(9,3),0.0167177 # DEPENDENCYPART_ARC
(9,4),-1.42435 # DEPENDENCYPART_ARC
(9,5),0.174956 # DEPENDENCYPART_ARC
(9,6),-0.485287 # DEPENDENCYPART_ARC
(9,7),0.758412 # DEPENDENCYPART_ARC
(9,8),3.37263 # DEPENDENCYPART_ARC
(9,10),-0.0359891 # DEPENDENCYPART_ARC
(9,11),0.0836026 # DEPENDENCYPART_ARC
(9,12),-0.962201 # DEPENDENCYPART_ARC
(9,13),-0.393165 # DEPENDENCYPART_ARC
(10,1),-0.132222 # DEPENDENCYPART_ARC
(10,2),0.071585 # DEPENDENCYPART_ARC
(10,3),-0.899527 # DEPENDENCYPART_ARC
(10,4),-3.41088 # DEPENDENCYPART_ARC
(10,5),0.0796367 # DEPENDENCYPART_ARC
(10,6),0.540715 # DEPENDENCYPART_ARC
(10,7),0.258765 # DEPENDENCYPART_ARC
(10,8),1.54455 # DEPENDENCYPART_ARC
(10,9),3.12351 # DEPENDENCYPART_ARC
(10,11),0.286325 # DEPENDENCYPART_ARC
(10,12),-0.457217 # DEPENDENCYPART_ARC
(10,13),-0.744988 # DEPENDENCYPART_ARC
(11,1),0.346285 # DEPENDENCYPART_ARC
(11,2),0.586923 # DEPENDENCYPART_ARC
(11,3),-0.000631796 # DEPENDENCYPART_ARC
(11,4),-1.67343 # DEPENDENCYPART_ARC
(11,5),0.437911 # DEPENDENCYPART_ARC
(11,6),0.158655 # DEPENDENCYPART_ARC
(11,7),0.545116 # DEPENDENCYPART_ARC
(11,8),2.19993 # DEPENDENCYPART_ARC
(11,9),3.27402 # DEPENDENCYPART_ARC
(11,10),3.04 # DEPENDENCYPART_ARC
(11,12),-0.577223 # DEPENDENCYPART_ARC
(11,13),-0.261436 # DEPENDENCYPART_ARC
(12,1),0.866521 # DEPENDENCYPART_ARC
(12,2),1.46113 # DEPENDENCYPART_ARC
(12,3),0.0898538 # DEPENDENCYPART_ARC
(12,4),-4.62842 # DEPENDENCYPART_ARC
(12,5),0.885617 # DEPENDENCYPART_ARC
(12,6),1.3813 # DEPENDENCYPART_ARC
(12,7),0.507645 # DEPENDENCYPART_ARC
(12,8),1.94562 # DEPENDENCYPART_ARC
(12,9),0.112554 # DEPENDENCYPART_ARC
(12,10),0.250864 # DEPENDENCYPART_ARC
(12,11),3.85866 # DEPENDENCYPART_ARC
(12,13),-0.419736 # DEPENDENCYPART_ARC
(13,1),-0.142674 # DEPENDENCYPART_ARC
(13,2),-0.3861 # DEPENDENCYPART_ARC
(13,3),-0.566418 # DEPENDENCYPART_ARC
(13,4),-3.59245 # DEPENDENCYPART_ARC
(13,5),-0.371529 # DEPENDENCYPART_ARC
(13,6),-0.120711 # DEPENDENCYPART_ARC
(13,7),-0.0539633 # DEPENDENCYPART_ARC
(13,8),0.109785 # DEPENDENCYPART_ARC
(13,9),0.0114075 # DEPENDENCYPART_ARC
(13,10),-1.38559 # DEPENDENCYPART_ARC
(13,11),-0.0857679 # DEPENDENCYPART_ARC
(13,12),1.62459 # DEPENDENCYPART_ARC
