# _root_ İş Güvencesi , İş Kanunu ile birlikte _ ele_alınsın , SSK primleri _ _ düşürülsün .
#goldHeads=2,9,0,5,6,7,9,9,10,15,12,15,14,15,16,0,
#predictedHeads=2,9,0,5,6,9,9,9,10,15,12,15,14,15,16,0,
(10,15),0.0191199 # DEPENDENCYPART_ARC
(10,16),-1.09965 # DEPENDENCYPART_ARC
(11,1),-1.04758 # DEPENDENCYPART_ARC
(11,2),-1.10191 # DEPENDENCYPART_ARC
(11,3),-0.992193 # DEPENDENCYPART_ARC
(11,4),-0.924284 # DEPENDENCYPART_ARC
(11,5),-1.2169 # DEPENDENCYPART_ARC
(11,6),-0.826475 # DEPENDENCYPART_ARC
(11,7),-0.556394 # DEPENDENCYPART_ARC
(11,8),-0.644871 # DEPENDENCYPART_ARC
(11,9),-0.7872 # DEPENDENCYPART_ARC
(11,10),0.174517 # DEPENDENCYPART_ARC
(11,12),0.0473485 # DEPENDENCYPART_ARC
(11,13),-0.136043 # DEPENDENCYPART_ARC
(11,14),-0.547226 # DEPENDENCYPART_ARC
(11,15),-0.979959 # DEPENDENCYPART_ARC
(11,16),-0.479192 # DEPENDENCYPART_ARC
(12,1),-0.0301524 # DEPENDENCYPART_ARC
(12,2),-0.1667 # DEPENDENCYPART_ARC
(12,3),-0.130388 # DEPENDENCYPART_ARC
(12,4),0.0929269 # DEPENDENCYPART_ARC
(12,5),-0.319277 # DEPENDENCYPART_ARC
(12,6),0.160308 # DEPENDENCYPART_ARC
(12,7),-0.0292663 # DEPENDENCYPART_ARC
(12,8),-1.02888 # DEPENDENCYPART_ARC
(12,9),0.0732902 # DEPENDENCYPART_ARC
(12,10),0.579152 # DEPENDENCYPART_ARC
(12,11),3.35487 # DEPENDENCYPART_ARC
(12,13),0.400706 # DEPENDENCYPART_ARC
(12,14),-0.0842048 # DEPENDENCYPART_ARC
(12,15),-0.618172 # DEPENDENCYPART_ARC
(12,16),-0.325301 # DEPENDENCYPART_ARC
(13,1),-0.541263 # DEPENDENCYPART_ARC
(13,2),-0.571769 # DEPENDENCYPART_ARC
(13,3),-0.761844 # DEPENDENCYPART_ARC
(13,4),-0.607903 # DEPENDENCYPART_ARC
(13,5),-0.813374 # DEPENDENCYPART_ARC
(13,6),-0.729502 # DEPENDENCYPART_ARC
(13,7),-0.927606 # DEPENDENCYPART_ARC
(13,8),-2.91336 # DEPENDENCYPART_ARC
(13,9),-0.457512 # DEPENDENCYPART_ARC
(13,10),0.831452 # DEPENDENCYPART_ARC
(13,11),1.16323 # DEPENDENCYPART_ARC
(13,12),1.65584 # DEPENDENCYPART_ARC
(13,14),0.311486 # DEPENDENCYPART_ARC
(13,15),0.24874 # DEPENDENCYPART_ARC
(13,16),-0.600987 # DEPENDENCYPART_ARC
(14,1),-0.203556 # DEPENDENCYPART_ARC
(14,2),-0.638077 # DEPENDENCYPART_ARC
(14,3),-0.374487 # DEPENDENCYPART_ARC
(14,4),-0.223915 # DEPENDENCYPART_ARC
(14,5),-0.569556 # DEPENDENCYPART_ARC
(14,6),-0.275048 # DEPENDENCYPART_ARC
(14,7),-0.23798 # DEPENDENCYPART_ARC
(14,8),-3.02747 # DEPENDENCYPART_ARC
(14,9),-0.214669 # DEPENDENCYPART_ARC
(14,10),1.19167 # DEPENDENCYPART_ARC
(14,11),1.24597 # DEPENDENCYPART_ARC
(14,12),1.4563 # DEPENDENCYPART_ARC
(14,13),3.32448 # DEPENDENCYPART_ARC
(14,15),0.519685 # DEPENDENCYPART_ARC
(14,16),-0.390704 # DEPENDENCYPART_ARC
(15,1),0.808816 # DEPENDENCYPART_ARC
(15,2),0.935552 # DEPENDENCYPART_ARC
(15,3),-0.277224 # DEPENDENCYPART_ARC
(15,4),0.562822 # DEPENDENCYPART_ARC
(15,5),0.521534 # DEPENDENCYPART_ARC
(15,6),0.335077 # DEPENDENCYPART_ARC
(15,7),0.262852 # DEPENDENCYPART_ARC
(15,8),-2.88594 # DEPENDENCYPART_ARC
(15,9),-0.11249 # DEPENDENCYPART_ARC
(15,10),1.8716 # DEPENDENCYPART_ARC
(15,11),1.9737 # DEPENDENCYPART_ARC
(15,12),2.91714 # DEPENDENCYPART_ARC
(15,13),1.19465 # DEPENDENCYPART_ARC
(15,14),3.37781 # DEPENDENCYPART_ARC
(15,16),-0.413137 # DEPENDENCYPART_ARC
(16,1),-0.225141 # DEPENDENCYPART_ARC
(16,2),-0.437495 # DEPENDENCYPART_ARC
(16,3),-0.911005 # DEPENDENCYPART_ARC
(16,4),-0.197302 # DEPENDENCYPART_ARC
(16,5),-0.134295 # DEPENDENCYPART_ARC
(16,6),-1.3098 # DEPENDENCYPART_ARC
(16,7),-0.554313 # DEPENDENCYPART_ARC
(16,8),-2.61403 # DEPENDENCYPART_ARC
(16,9),0.310626 # DEPENDENCYPART_ARC
(16,10),0.517314 # DEPENDENCYPART_ARC
(16,11),0.31322 # DEPENDENCYPART_ARC
(16,12),0.214842 # DEPENDENCYPART_ARC
(16,13),-0.88643 # DEPENDENCYPART_ARC
(16,14),-0.361457 # DEPENDENCYPART_ARC
(16,15),1.94087 # DEPENDENCYPART_ARC
