# _root_ Aman padişahım , bana üç gün izin_ver , diye yalvarmış .
#goldHeads=8,8,0,7,6,7,8,9,10,11,0,
#predictedHeads=2,10,0,7,6,7,8,9,10,11,0,
(9,8),2.90177 # DEPENDENCYPART_ARC
(9,10),0.159847 # DEPENDENCYPART_ARC
(9,11),0.158006 # DEPENDENCYPART_ARC
(10,1),-0.0891264 # DEPENDENCYPART_ARC
(10,2),0.915278 # DEPENDENCYPART_ARC
(10,3),-0.524305 # DEPENDENCYPART_ARC
(10,4),0.672381 # DEPENDENCYPART_ARC
(10,5),-0.677917 # DEPENDENCYPART_ARC
(10,6),0.623442 # DEPENDENCYPART_ARC
(10,7),0.49491 # DEPENDENCYPART_ARC
(10,8),1.63144 # DEPENDENCYPART_ARC
(10,9),2.91291 # DEPENDENCYPART_ARC
(10,11),-0.00420733 # DEPENDENCYPART_ARC
(11,1),0.023363 # DEPENDENCYPART_ARC
(11,2),-0.253763 # DEPENDENCYPART_ARC
(11,3),-0.509489 # DEPENDENCYPART_ARC
(11,4),-0.109045 # DEPENDENCYPART_ARC
(11,5),0.0272369 # DEPENDENCYPART_ARC
(11,6),-0.146804 # DEPENDENCYPART_ARC
(11,7),0.222811 # DEPENDENCYPART_ARC
(11,8),0.466141 # DEPENDENCYPART_ARC
(11,9),-0.235826 # DEPENDENCYPART_ARC
(11,10),1.71463 # DEPENDENCYPART_ARC
