# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,9,5,8,8,8,9,10,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,30,26,0,33,31,33,33,34,0,
(2,15),-0.830871 # DEPENDENCYPART_ARC
(2,16),-0.653483 # DEPENDENCYPART_ARC
(2,17),-0.812073 # DEPENDENCYPART_ARC
(2,18),-0.6165 # DEPENDENCYPART_ARC
(2,19),-0.616942 # DEPENDENCYPART_ARC
(2,20),-0.710059 # DEPENDENCYPART_ARC
(2,21),-0.798016 # DEPENDENCYPART_ARC
(2,22),-0.736603 # DEPENDENCYPART_ARC
(2,23),-0.867372 # DEPENDENCYPART_ARC
(2,25),-1.10373 # DEPENDENCYPART_ARC
(2,26),-1.22237 # DEPENDENCYPART_ARC
(2,27),-0.863169 # DEPENDENCYPART_ARC
(2,28),-1.16634 # DEPENDENCYPART_ARC
(2,29),-1.37816 # DEPENDENCYPART_ARC
(2,30),-1.46223 # DEPENDENCYPART_ARC
(2,31),-1.33671 # DEPENDENCYPART_ARC
(2,32),-1.18368 # DEPENDENCYPART_ARC
(2,33),-1.32651 # DEPENDENCYPART_ARC
(2,34),-1.15711 # DEPENDENCYPART_ARC
(3,1),1.2042 # DEPENDENCYPART_ARC
(3,2),0.784077 # DEPENDENCYPART_ARC
(3,4),0.553945 # DEPENDENCYPART_ARC
(3,5),0.38168 # DEPENDENCYPART_ARC
(3,6),-0.0527361 # DEPENDENCYPART_ARC
(3,7),-0.338403 # DEPENDENCYPART_ARC
(3,8),-0.863524 # DEPENDENCYPART_ARC
(3,9),-0.341461 # DEPENDENCYPART_ARC
(3,10),-0.0668329 # DEPENDENCYPART_ARC
(3,11),0.121595 # DEPENDENCYPART_ARC
(3,12),-0.668914 # DEPENDENCYPART_ARC
(3,13),-0.396895 # DEPENDENCYPART_ARC
(3,14),-0.755704 # DEPENDENCYPART_ARC
(3,15),-0.831457 # DEPENDENCYPART_ARC
(3,16),-0.776275 # DEPENDENCYPART_ARC
(3,17),-0.823651 # DEPENDENCYPART_ARC
(3,18),-0.317656 # DEPENDENCYPART_ARC
(3,19),-0.942098 # DEPENDENCYPART_ARC
(3,20),-1.25098 # DEPENDENCYPART_ARC
(3,21),-1.72794 # DEPENDENCYPART_ARC
(3,22),-1.11668 # DEPENDENCYPART_ARC
(3,23),-1.75403 # DEPENDENCYPART_ARC
(3,24),-1.05956 # DEPENDENCYPART_ARC
(3,25),-1.11699 # DEPENDENCYPART_ARC
(3,26),-2.21303 # DEPENDENCYPART_ARC
(3,27),-1.76364 # DEPENDENCYPART_ARC
(3,28),-1.12941 # DEPENDENCYPART_ARC
(3,29),-2.24011 # DEPENDENCYPART_ARC
(3,30),-2.3969 # DEPENDENCYPART_ARC
(3,31),-2.2762 # DEPENDENCYPART_ARC
(3,32),-2.0937 # DEPENDENCYPART_ARC
(3,33),-2.41274 # DEPENDENCYPART_ARC
(3,34),-1.74222 # DEPENDENCYPART_ARC
(4,1),-0.0343916 # DEPENDENCYPART_ARC
(4,2),0.300276 # DEPENDENCYPART_ARC
(4,3),1.67448 # DEPENDENCYPART_ARC
(4,5),-0.0701721 # DEPENDENCYPART_ARC
(4,6),-0.0311558 # DEPENDENCYPART_ARC
(4,7),-0.510593 # DEPENDENCYPART_ARC
(4,8),-0.93773 # DEPENDENCYPART_ARC
(4,9),-0.610905 # DEPENDENCYPART_ARC
(4,10),-0.258809 # DEPENDENCYPART_ARC
(4,11),-0.990677 # DEPENDENCYPART_ARC
(4,12),-1.00354 # DEPENDENCYPART_ARC
(4,13),-1.04378 # DEPENDENCYPART_ARC
(4,14),-0.828212 # DEPENDENCYPART_ARC
(4,15),-1.00858 # DEPENDENCYPART_ARC
(4,16),-0.859999 # DEPENDENCYPART_ARC
(4,17),-1.1739 # DEPENDENCYPART_ARC
(4,18),-0.40607 # DEPENDENCYPART_ARC
(4,19),-1.59492 # DEPENDENCYPART_ARC
(4,20),-1.48519 # DEPENDENCYPART_ARC
(4,21),-1.94549 # DEPENDENCYPART_ARC
(4,22),-1.81261 # DEPENDENCYPART_ARC
(4,23),-2.03165 # DEPENDENCYPART_ARC
(4,24),-1.17799 # DEPENDENCYPART_ARC
(4,25),-2.38882 # DEPENDENCYPART_ARC
(4,26),-1.8917 # DEPENDENCYPART_ARC
(4,27),-1.87967 # DEPENDENCYPART_ARC
(4,28),-1.39075 # DEPENDENCYPART_ARC
(4,29),-2.55549 # DEPENDENCYPART_ARC
(4,30),-2.08915 # DEPENDENCYPART_ARC
(4,31),-2.92287 # DEPENDENCYPART_ARC
(4,32),-2.36597 # DEPENDENCYPART_ARC
(4,33),-2.74607 # DEPENDENCYPART_ARC
(4,34),-1.925 # DEPENDENCYPART_ARC
(5,1),0.476323 # DEPENDENCYPART_ARC
(5,2),0.230514 # DEPENDENCYPART_ARC
(5,3),-0.257334 # DEPENDENCYPART_ARC
(5,4),2.75839 # DEPENDENCYPART_ARC
(5,6),0.326704 # DEPENDENCYPART_ARC
(5,7),-0.314752 # DEPENDENCYPART_ARC
(5,8),-0.912692 # DEPENDENCYPART_ARC
(5,9),-0.524559 # DEPENDENCYPART_ARC
(5,10),-0.373265 # DEPENDENCYPART_ARC
(5,11),-0.263509 # DEPENDENCYPART_ARC
(5,12),-0.944636 # DEPENDENCYPART_ARC
(5,13),-0.958101 # DEPENDENCYPART_ARC
(5,14),-0.834344 # DEPENDENCYPART_ARC
(5,15),-0.928977 # DEPENDENCYPART_ARC
(5,16),-0.853082 # DEPENDENCYPART_ARC
(5,17),-1.13753 # DEPENDENCYPART_ARC
(5,18),-0.703049 # DEPENDENCYPART_ARC
(5,19),-1.53359 # DEPENDENCYPART_ARC
(5,20),-1.51745 # DEPENDENCYPART_ARC
(5,21),-1.95983 # DEPENDENCYPART_ARC
(5,22),-1.52987 # DEPENDENCYPART_ARC
(5,23),-2.02418 # DEPENDENCYPART_ARC
(5,24),-1.20136 # DEPENDENCYPART_ARC
(5,25),-1.64367 # DEPENDENCYPART_ARC
(5,26),-2.39583 # DEPENDENCYPART_ARC
(5,27),-1.78813 # DEPENDENCYPART_ARC
(5,28),-1.58431 # DEPENDENCYPART_ARC
(5,29),-2.98163 # DEPENDENCYPART_ARC
(5,30),-2.62455 # DEPENDENCYPART_ARC
(5,31),-2.6158 # DEPENDENCYPART_ARC
(5,32),-2.37846 # DEPENDENCYPART_ARC
(5,33),-2.73284 # DEPENDENCYPART_ARC
(5,34),-2.06884 # DEPENDENCYPART_ARC
(6,1),-0.455664 # DEPENDENCYPART_ARC
(6,2),0.0582686 # DEPENDENCYPART_ARC
(6,3),-0.10404 # DEPENDENCYPART_ARC
(6,4),0.14639 # DEPENDENCYPART_ARC
(6,5),1.03174 # DEPENDENCYPART_ARC
(6,7),-0.045285 # DEPENDENCYPART_ARC
(6,8),-0.336266 # DEPENDENCYPART_ARC
(6,9),-0.409762 # DEPENDENCYPART_ARC
(6,10),-0.475058 # DEPENDENCYPART_ARC
(6,11),-1.11832 # DEPENDENCYPART_ARC
(6,12),-1.03968 # DEPENDENCYPART_ARC
(6,13),-1.18061 # DEPENDENCYPART_ARC
(6,14),-0.696654 # DEPENDENCYPART_ARC
(6,15),-0.806425 # DEPENDENCYPART_ARC
(6,16),-0.86256 # DEPENDENCYPART_ARC
(6,17),-1.27834 # DEPENDENCYPART_ARC
(6,18),-0.867073 # DEPENDENCYPART_ARC
(6,19),-1.67789 # DEPENDENCYPART_ARC
(6,20),-1.00707 # DEPENDENCYPART_ARC
(6,21),-1.17092 # DEPENDENCYPART_ARC
(6,22),-1.74256 # DEPENDENCYPART_ARC
(6,23),-1.13192 # DEPENDENCYPART_ARC
(6,24),-1.61626 # DEPENDENCYPART_ARC
(6,25),-1.90195 # DEPENDENCYPART_ARC
(6,26),-0.699208 # DEPENDENCYPART_ARC
(6,27),-1.73747 # DEPENDENCYPART_ARC
(6,28),-1.90398 # DEPENDENCYPART_ARC
(6,29),-2.41144 # DEPENDENCYPART_ARC
(6,30),-0.964544 # DEPENDENCYPART_ARC
(6,31),-2.39995 # DEPENDENCYPART_ARC
(6,32),-1.61843 # DEPENDENCYPART_ARC
(6,33),-1.64034 # DEPENDENCYPART_ARC
(6,34),-2.49766 # DEPENDENCYPART_ARC
(7,1),0.589028 # DEPENDENCYPART_ARC
(7,2),1.09373 # DEPENDENCYPART_ARC
(7,3),0.604807 # DEPENDENCYPART_ARC
(7,4),1.0391 # DEPENDENCYPART_ARC
(7,5),1.5049 # DEPENDENCYPART_ARC
(7,6),1.03752 # DEPENDENCYPART_ARC
(7,8),0.288503 # DEPENDENCYPART_ARC
(7,9),0.616358 # DEPENDENCYPART_ARC
(7,10),0.0430174 # DEPENDENCYPART_ARC
(7,11),-0.575013 # DEPENDENCYPART_ARC
(7,12),-1.13834 # DEPENDENCYPART_ARC
(7,13),-0.970548 # DEPENDENCYPART_ARC
(7,14),-0.231324 # DEPENDENCYPART_ARC
(7,15),-0.595889 # DEPENDENCYPART_ARC
(7,16),-0.534132 # DEPENDENCYPART_ARC
(7,17),-0.837265 # DEPENDENCYPART_ARC
(7,18),-0.62855 # DEPENDENCYPART_ARC
(7,19),-1.82119 # DEPENDENCYPART_ARC
(7,20),-1.43872 # DEPENDENCYPART_ARC
(7,21),-1.42191 # DEPENDENCYPART_ARC
(7,22),-2.06211 # DEPENDENCYPART_ARC
(7,23),-1.69819 # DEPENDENCYPART_ARC
(7,24),-1.49245 # DEPENDENCYPART_ARC
(7,25),-2.18081 # DEPENDENCYPART_ARC
(7,26),-1.06849 # DEPENDENCYPART_ARC
(7,27),-0.931527 # DEPENDENCYPART_ARC
(7,28),-1.64425 # DEPENDENCYPART_ARC
(7,29),-2.70998 # DEPENDENCYPART_ARC
(7,30),-1.72046 # DEPENDENCYPART_ARC
(7,31),-3.55451 # DEPENDENCYPART_ARC
(7,32),-2.90605 # DEPENDENCYPART_ARC
(7,33),-1.71726 # DEPENDENCYPART_ARC
(7,34),-2.20251 # DEPENDENCYPART_ARC
(8,1),0.912642 # DEPENDENCYPART_ARC
(8,2),1.34567 # DEPENDENCYPART_ARC
(8,3),1.72224 # DEPENDENCYPART_ARC
(8,4),1.45216 # DEPENDENCYPART_ARC
(8,5),1.8136 # DEPENDENCYPART_ARC
(8,6),1.45915 # DEPENDENCYPART_ARC
(8,7),3.11924 # DEPENDENCYPART_ARC
(8,9),1.51979 # DEPENDENCYPART_ARC
(8,10),0.0720776 # DEPENDENCYPART_ARC
(8,11),-2.19923 # DEPENDENCYPART_ARC
(8,12),-0.999391 # DEPENDENCYPART_ARC
(8,13),-1.3433 # DEPENDENCYPART_ARC
(8,14),-0.105367 # DEPENDENCYPART_ARC
(8,15),-0.521456 # DEPENDENCYPART_ARC
(8,16),-0.810105 # DEPENDENCYPART_ARC
(8,17),-0.830176 # DEPENDENCYPART_ARC
(8,18),-0.755269 # DEPENDENCYPART_ARC
(8,19),-2.83866 # DEPENDENCYPART_ARC
(8,20),-1.46444 # DEPENDENCYPART_ARC
(8,21),-1.82819 # DEPENDENCYPART_ARC
(8,22),-2.24804 # DEPENDENCYPART_ARC
(8,23),-1.90378 # DEPENDENCYPART_ARC
(8,24),-1.60721 # DEPENDENCYPART_ARC
(8,25),-3.51754 # DEPENDENCYPART_ARC
(8,26),-1.05788 # DEPENDENCYPART_ARC
(8,27),-1.10032 # DEPENDENCYPART_ARC
(8,28),-1.60474 # DEPENDENCYPART_ARC
(8,29),-3.50053 # DEPENDENCYPART_ARC
(8,30),-1.57963 # DEPENDENCYPART_ARC
(8,31),-3.94865 # DEPENDENCYPART_ARC
(8,32),-3.08879 # DEPENDENCYPART_ARC
(8,33),-1.961 # DEPENDENCYPART_ARC
(8,34),-2.298 # DEPENDENCYPART_ARC
(9,1),1.15888 # DEPENDENCYPART_ARC
(9,2),1.08651 # DEPENDENCYPART_ARC
(9,3),1.82503 # DEPENDENCYPART_ARC
(9,4),1.45441 # DEPENDENCYPART_ARC
(9,5),1.3847 # DEPENDENCYPART_ARC
(9,6),1.03679 # DEPENDENCYPART_ARC
(9,7),1.17825 # DEPENDENCYPART_ARC
(9,8),3.17509 # DEPENDENCYPART_ARC
(9,10),-0.659801 # DEPENDENCYPART_ARC
(9,11),-1.50016 # DEPENDENCYPART_ARC
(9,12),-1.65758 # DEPENDENCYPART_ARC
(9,13),-1.8193 # DEPENDENCYPART_ARC
(9,14),-1.4942 # DEPENDENCYPART_ARC
(9,15),-1.67346 # DEPENDENCYPART_ARC
(9,16),-1.70279 # DEPENDENCYPART_ARC
(9,17),-2.02686 # DEPENDENCYPART_ARC
(9,18),-1.49047 # DEPENDENCYPART_ARC
(9,19),-2.09893 # DEPENDENCYPART_ARC
(9,20),-1.82472 # DEPENDENCYPART_ARC
(9,21),-1.81609 # DEPENDENCYPART_ARC
(9,22),-2.43834 # DEPENDENCYPART_ARC
(9,23),-1.73538 # DEPENDENCYPART_ARC
(9,24),-2.20889 # DEPENDENCYPART_ARC
(9,25),-2.55434 # DEPENDENCYPART_ARC
(9,26),-1.52438 # DEPENDENCYPART_ARC
(9,27),-2.32981 # DEPENDENCYPART_ARC
(9,28),-2.33618 # DEPENDENCYPART_ARC
(9,29),-2.85592 # DEPENDENCYPART_ARC
(9,30),-1.73819 # DEPENDENCYPART_ARC
(9,31),-3.02375 # DEPENDENCYPART_ARC
(9,32),-2.346 # DEPENDENCYPART_ARC
(9,33),-2.28339 # DEPENDENCYPART_ARC
(9,34),-3.13008 # DEPENDENCYPART_ARC
(10,1),0.501635 # DEPENDENCYPART_ARC
(10,2),-0.0619717 # DEPENDENCYPART_ARC
(10,3),0.61906 # DEPENDENCYPART_ARC
(10,4),0.669418 # DEPENDENCYPART_ARC
(10,5),0.849472 # DEPENDENCYPART_ARC
(10,6),-0.509963 # DEPENDENCYPART_ARC
(10,7),-0.233545 # DEPENDENCYPART_ARC
(10,8),0.182264 # DEPENDENCYPART_ARC
(10,9),0.346734 # DEPENDENCYPART_ARC
(10,11),-0.091679 # DEPENDENCYPART_ARC
(10,12),-1.01122 # DEPENDENCYPART_ARC
(10,13),-0.634835 # DEPENDENCYPART_ARC
(10,14),-0.183543 # DEPENDENCYPART_ARC
(10,15),-0.798882 # DEPENDENCYPART_ARC
(10,16),-0.790695 # DEPENDENCYPART_ARC
(10,17),-1.15281 # DEPENDENCYPART_ARC
(10,18),-0.811567 # DEPENDENCYPART_ARC
(10,19),-0.777769 # DEPENDENCYPART_ARC
(10,20),-1.07901 # DEPENDENCYPART_ARC
(10,21),-1.42868 # DEPENDENCYPART_ARC
(10,22),-0.960915 # DEPENDENCYPART_ARC
(10,23),-1.4558 # DEPENDENCYPART_ARC
(10,24),-1.37393 # DEPENDENCYPART_ARC
(10,25),-1.45761 # DEPENDENCYPART_ARC
(10,26),-1.05685 # DEPENDENCYPART_ARC
(10,27),-1.13425 # DEPENDENCYPART_ARC
(10,28),-1.86558 # DEPENDENCYPART_ARC
(10,29),-1.60543 # DEPENDENCYPART_ARC
(10,30),-1.48815 # DEPENDENCYPART_ARC
(10,31),-1.67586 # DEPENDENCYPART_ARC
(10,32),-1.91214 # DEPENDENCYPART_ARC
(10,33),-1.48769 # DEPENDENCYPART_ARC
(10,34),-3.37803 # DEPENDENCYPART_ARC
(11,1),-1.57004 # DEPENDENCYPART_ARC
(11,2),-1.20465 # DEPENDENCYPART_ARC
(11,3),-2.57683 # DEPENDENCYPART_ARC
(11,4),-1.20864 # DEPENDENCYPART_ARC
(11,5),-1.9527 # DEPENDENCYPART_ARC
(11,6),-0.762623 # DEPENDENCYPART_ARC
(11,7),-0.753918 # DEPENDENCYPART_ARC
(11,8),0.0677262 # DEPENDENCYPART_ARC
(11,9),-0.210239 # DEPENDENCYPART_ARC
(11,10),0.469865 # DEPENDENCYPART_ARC
(11,12),0.370286 # DEPENDENCYPART_ARC
(11,13),-0.449711 # DEPENDENCYPART_ARC
(11,14),-0.489231 # DEPENDENCYPART_ARC
(11,15),-0.457691 # DEPENDENCYPART_ARC
(11,16),-0.440302 # DEPENDENCYPART_ARC
(11,17),-0.689575 # DEPENDENCYPART_ARC
(11,18),-0.486754 # DEPENDENCYPART_ARC
(11,19),-1.29982 # DEPENDENCYPART_ARC
(11,20),-0.787862 # DEPENDENCYPART_ARC
(11,21),-1.08911 # DEPENDENCYPART_ARC
(11,22),-1.29163 # DEPENDENCYPART_ARC
(11,23),-1.38262 # DEPENDENCYPART_ARC
(11,24),-0.889727 # DEPENDENCYPART_ARC
(11,25),-1.99373 # DEPENDENCYPART_ARC
(11,26),-1.56735 # DEPENDENCYPART_ARC
(11,27),-0.971526 # DEPENDENCYPART_ARC
(11,28),-0.923446 # DEPENDENCYPART_ARC
(11,29),-2.41257 # DEPENDENCYPART_ARC
(11,30),-2.06016 # DEPENDENCYPART_ARC
(11,31),-2.54276 # DEPENDENCYPART_ARC
(11,32),-2.00863 # DEPENDENCYPART_ARC
(11,33),-2.17779 # DEPENDENCYPART_ARC
(11,34),-2.00867 # DEPENDENCYPART_ARC
(12,1),-0.568207 # DEPENDENCYPART_ARC
(12,2),-0.367968 # DEPENDENCYPART_ARC
(12,3),-0.527402 # DEPENDENCYPART_ARC
(12,4),-0.229182 # DEPENDENCYPART_ARC
(12,5),-0.231173 # DEPENDENCYPART_ARC
(12,6),-0.766941 # DEPENDENCYPART_ARC
(12,7),-1.62914 # DEPENDENCYPART_ARC
(12,8),-0.634453 # DEPENDENCYPART_ARC
(12,9),-0.599695 # DEPENDENCYPART_ARC
(12,10),0.134769 # DEPENDENCYPART_ARC
(12,11),1.53574 # DEPENDENCYPART_ARC
(12,13),0.676312 # DEPENDENCYPART_ARC
(12,14),0.155736 # DEPENDENCYPART_ARC
(12,15),0.274017 # DEPENDENCYPART_ARC
(12,16),0.277844 # DEPENDENCYPART_ARC
(12,17),-0.630374 # DEPENDENCYPART_ARC
(12,18),-0.0923574 # DEPENDENCYPART_ARC
(12,19),-0.345757 # DEPENDENCYPART_ARC
(12,20),-0.659333 # DEPENDENCYPART_ARC
(12,21),-0.480485 # DEPENDENCYPART_ARC
(12,22),0.00484364 # DEPENDENCYPART_ARC
(12,23),-0.770936 # DEPENDENCYPART_ARC
(12,24),-0.983588 # DEPENDENCYPART_ARC
(12,25),-0.609002 # DEPENDENCYPART_ARC
(12,26),-0.10325 # DEPENDENCYPART_ARC
(12,27),-0.226761 # DEPENDENCYPART_ARC
(12,28),-1.25307 # DEPENDENCYPART_ARC
(12,29),-1.09487 # DEPENDENCYPART_ARC
(12,30),-0.708539 # DEPENDENCYPART_ARC
(12,31),-1.38267 # DEPENDENCYPART_ARC
(12,32),-1.77519 # DEPENDENCYPART_ARC
(12,33),-1.72856 # DEPENDENCYPART_ARC
(12,34),-2.15499 # DEPENDENCYPART_ARC
(13,1),-0.20407 # DEPENDENCYPART_ARC
(13,2),-0.670551 # DEPENDENCYPART_ARC
(13,3),-1.7915 # DEPENDENCYPART_ARC
(13,4),0.403913 # DEPENDENCYPART_ARC
(13,5),-0.322426 # DEPENDENCYPART_ARC
(13,6),-0.349489 # DEPENDENCYPART_ARC
(13,7),-1.86375 # DEPENDENCYPART_ARC
(13,8),-0.816029 # DEPENDENCYPART_ARC
(13,9),-0.421474 # DEPENDENCYPART_ARC
(13,10),0.180773 # DEPENDENCYPART_ARC
(13,11),2.76734 # DEPENDENCYPART_ARC
(13,12),2.55485 # DEPENDENCYPART_ARC
(13,14),-0.766187 # DEPENDENCYPART_ARC
(13,15),-0.729929 # DEPENDENCYPART_ARC
(13,16),-0.859375 # DEPENDENCYPART_ARC
(13,17),-1.14996 # DEPENDENCYPART_ARC
(13,18),-1.17974 # DEPENDENCYPART_ARC
(13,19),-1.50317 # DEPENDENCYPART_ARC
(13,20),-1.46622 # DEPENDENCYPART_ARC
(13,21),-1.93665 # DEPENDENCYPART_ARC
(13,22),-1.06875 # DEPENDENCYPART_ARC
(13,23),-1.85699 # DEPENDENCYPART_ARC
(13,24),-1.43111 # DEPENDENCYPART_ARC
(13,25),-1.56371 # DEPENDENCYPART_ARC
(13,26),-2.5457 # DEPENDENCYPART_ARC
(13,27),-1.52717 # DEPENDENCYPART_ARC
(13,28),-1.6903 # DEPENDENCYPART_ARC
(13,29),-3.01998 # DEPENDENCYPART_ARC
(13,30),-2.98606 # DEPENDENCYPART_ARC
(13,31),-2.67027 # DEPENDENCYPART_ARC
(13,32),-2.51426 # DEPENDENCYPART_ARC
(13,33),-2.97805 # DEPENDENCYPART_ARC
(13,34),-2.63205 # DEPENDENCYPART_ARC
(14,1),-0.676252 # DEPENDENCYPART_ARC
(14,2),-0.78091 # DEPENDENCYPART_ARC
(14,3),-1.42316 # DEPENDENCYPART_ARC
(14,4),-1.12688 # DEPENDENCYPART_ARC
(14,5),0.146157 # DEPENDENCYPART_ARC
(14,6),-0.383741 # DEPENDENCYPART_ARC
(14,7),-0.91527 # DEPENDENCYPART_ARC
(14,8),-1.03054 # DEPENDENCYPART_ARC
(14,9),-0.425573 # DEPENDENCYPART_ARC
(14,10),0.169894 # DEPENDENCYPART_ARC
(14,11),0.630098 # DEPENDENCYPART_ARC
(14,12),0.600851 # DEPENDENCYPART_ARC
(14,13),3.91247 # DEPENDENCYPART_ARC
(14,15),-0.288283 # DEPENDENCYPART_ARC
(14,16),-0.567423 # DEPENDENCYPART_ARC
(14,17),-0.808367 # DEPENDENCYPART_ARC
(14,18),-0.714279 # DEPENDENCYPART_ARC
(14,19),-0.883125 # DEPENDENCYPART_ARC
(14,20),-0.843051 # DEPENDENCYPART_ARC
(14,21),-0.818052 # DEPENDENCYPART_ARC
(14,22),-0.878359 # DEPENDENCYPART_ARC
(14,23),-0.735457 # DEPENDENCYPART_ARC
(14,25),-1.13765 # DEPENDENCYPART_ARC
(14,26),-1.09254 # DEPENDENCYPART_ARC
(14,27),-0.924486 # DEPENDENCYPART_ARC
(14,28),-1.15786 # DEPENDENCYPART_ARC
(14,29),-1.66569 # DEPENDENCYPART_ARC
(14,30),-1.56901 # DEPENDENCYPART_ARC
(14,31),-1.6748 # DEPENDENCYPART_ARC
(14,32),-1.52855 # DEPENDENCYPART_ARC
(14,33),-1.4357 # DEPENDENCYPART_ARC
(14,34),-1.53698 # DEPENDENCYPART_ARC
(15,1),-1.47138 # DEPENDENCYPART_ARC
(15,2),-0.932069 # DEPENDENCYPART_ARC
(15,3),-1.29335 # DEPENDENCYPART_ARC
(15,4),-1.35942 # DEPENDENCYPART_ARC
(15,5),-1.44384 # DEPENDENCYPART_ARC
(15,6),-0.716752 # DEPENDENCYPART_ARC
(15,7),-1.52837 # DEPENDENCYPART_ARC
(15,8),-0.975956 # DEPENDENCYPART_ARC
(15,9),-0.887654 # DEPENDENCYPART_ARC
(15,10),-0.322234 # DEPENDENCYPART_ARC
(15,11),-0.58916 # DEPENDENCYPART_ARC
(15,12),-0.00424349 # DEPENDENCYPART_ARC
(15,13),-0.0019919 # DEPENDENCYPART_ARC
(15,14),0.321467 # DEPENDENCYPART_ARC
(15,16),0.185531 # DEPENDENCYPART_ARC
(15,17),-0.253634 # DEPENDENCYPART_ARC
(15,18),-0.235151 # DEPENDENCYPART_ARC
(15,19),-0.690554 # DEPENDENCYPART_ARC
(15,20),-0.565679 # DEPENDENCYPART_ARC
(15,21),-0.494299 # DEPENDENCYPART_ARC
