# _root_ Recep , pantolonunu giymiş , gömlek cebinden _ _ çıkardığı sigarayı ağzına koymuştu .
#goldHeads=13,0,4,5,13,7,9,9,10,11,13,13,14,0,
#predictedHeads=4,0,4,5,13,7,9,9,10,11,13,13,14,0,
(12,7),-0.529948 # DEPENDENCYPART_ARC
(12,8),-1.2879 # DEPENDENCYPART_ARC
(12,9),-0.395923 # DEPENDENCYPART_ARC
(12,10),1.7666 # DEPENDENCYPART_ARC
(12,11),1.436 # DEPENDENCYPART_ARC
(12,13),-0.506786 # DEPENDENCYPART_ARC
(12,14),0.150217 # DEPENDENCYPART_ARC
(13,1),2.05985 # DEPENDENCYPART_ARC
(13,2),-0.673042 # DEPENDENCYPART_ARC
(13,3),-0.118418 # DEPENDENCYPART_ARC
(13,4),-0.00806524 # DEPENDENCYPART_ARC
(13,5),1.69554 # DEPENDENCYPART_ARC
(13,6),1.68095 # DEPENDENCYPART_ARC
(13,7),1.22991 # DEPENDENCYPART_ARC
(13,8),-1.78705 # DEPENDENCYPART_ARC
(13,9),-1.35451 # DEPENDENCYPART_ARC
(13,10),0.604067 # DEPENDENCYPART_ARC
(13,11),2.76448 # DEPENDENCYPART_ARC
(13,12),3.71788 # DEPENDENCYPART_ARC
(13,14),-0.296684 # DEPENDENCYPART_ARC
(14,1),-0.286505 # DEPENDENCYPART_ARC
(14,2),-0.742768 # DEPENDENCYPART_ARC
(14,3),-0.387463 # DEPENDENCYPART_ARC
(14,4),-0.174789 # DEPENDENCYPART_ARC
(14,5),0.214185 # DEPENDENCYPART_ARC
(14,6),0.0899053 # DEPENDENCYPART_ARC
(14,7),-0.0294267 # DEPENDENCYPART_ARC
(14,8),-2.68937 # DEPENDENCYPART_ARC
(14,9),-2.1193 # DEPENDENCYPART_ARC
(14,10),0.204143 # DEPENDENCYPART_ARC
(14,11),0.503108 # DEPENDENCYPART_ARC
(14,12),0.244494 # DEPENDENCYPART_ARC
(14,13),1.65093 # DEPENDENCYPART_ARC
