# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,18,18,19,20,0,
(6,2),-0.254598 # DEPENDENCYPART_ARC
(6,3),0.257027 # DEPENDENCYPART_ARC
(6,4),0.537107 # DEPENDENCYPART_ARC
(6,5),3.25639 # DEPENDENCYPART_ARC
(6,7),0.22233 # DEPENDENCYPART_ARC
(6,8),0.0997316 # DEPENDENCYPART_ARC
(6,9),-0.478526 # DEPENDENCYPART_ARC
(6,10),-0.343219 # DEPENDENCYPART_ARC
(6,11),-0.561849 # DEPENDENCYPART_ARC
(6,12),-0.408632 # DEPENDENCYPART_ARC
(6,13),-0.424627 # DEPENDENCYPART_ARC
(6,14),-0.0461375 # DEPENDENCYPART_ARC
(6,15),-0.63748 # DEPENDENCYPART_ARC
(6,16),-0.251815 # DEPENDENCYPART_ARC
(6,17),-0.683517 # DEPENDENCYPART_ARC
(6,18),-1.07903 # DEPENDENCYPART_ARC
(6,19),-0.971852 # DEPENDENCYPART_ARC
(6,20),-0.849362 # DEPENDENCYPART_ARC
(7,8),0.100762 # DEPENDENCYPART_ARC
(7,10),-0.671118 # DEPENDENCYPART_ARC
(7,12),-0.81215 # DEPENDENCYPART_ARC
(7,13),-0.753818 # DEPENDENCYPART_ARC
(7,14),0.540028 # DEPENDENCYPART_ARC
(7,17),-0.889053 # DEPENDENCYPART_ARC
(7,18),-1.87288 # DEPENDENCYPART_ARC
(7,20),-1.46371 # DEPENDENCYPART_ARC
(8,1),0.211825 # DEPENDENCYPART_ARC
(8,2),-1.37559 # DEPENDENCYPART_ARC
(8,3),0.132237 # DEPENDENCYPART_ARC
(8,4),-0.611351 # DEPENDENCYPART_ARC
(8,5),0.355803 # DEPENDENCYPART_ARC
(8,6),-0.326152 # DEPENDENCYPART_ARC
(8,7),0.57977 # DEPENDENCYPART_ARC
(8,9),0.04169 # DEPENDENCYPART_ARC
(8,10),0.339109 # DEPENDENCYPART_ARC
(8,11),0.151696 # DEPENDENCYPART_ARC
(8,12),-0.158908 # DEPENDENCYPART_ARC
(8,13),-0.263791 # DEPENDENCYPART_ARC
(8,14),-0.560185 # DEPENDENCYPART_ARC
(8,15),-0.0225971 # DEPENDENCYPART_ARC
(8,16),-0.482515 # DEPENDENCYPART_ARC
(8,17),-0.607796 # DEPENDENCYPART_ARC
(8,18),0.0633186 # DEPENDENCYPART_ARC
(8,19),-0.278955 # DEPENDENCYPART_ARC
(8,20),-1.38282 # DEPENDENCYPART_ARC
(9,6),-0.7788 # DEPENDENCYPART_ARC
(9,7),-1.19432 # DEPENDENCYPART_ARC
(9,8),0.489619 # DEPENDENCYPART_ARC
(9,10),0.223118 # DEPENDENCYPART_ARC
(9,12),-0.155602 # DEPENDENCYPART_ARC
(9,13),-0.488578 # DEPENDENCYPART_ARC
(9,14),-0.0565191 # DEPENDENCYPART_ARC
(9,16),-0.559057 # DEPENDENCYPART_ARC
(9,17),-0.811135 # DEPENDENCYPART_ARC
(9,18),-0.704277 # DEPENDENCYPART_ARC
(9,20),-1.09529 # DEPENDENCYPART_ARC
(10,1),-0.834105 # DEPENDENCYPART_ARC
(10,2),-1.29335 # DEPENDENCYPART_ARC
(10,3),-0.933761 # DEPENDENCYPART_ARC
(10,4),-0.647579 # DEPENDENCYPART_ARC
(10,5),-1.09548 # DEPENDENCYPART_ARC
(10,6),-0.644852 # DEPENDENCYPART_ARC
(10,7),-0.562565 # DEPENDENCYPART_ARC
(10,8),0.184184 # DEPENDENCYPART_ARC
(10,11),0.111738 # DEPENDENCYPART_ARC
(10,12),-0.0831798 # DEPENDENCYPART_ARC
(10,13),-0.445218 # DEPENDENCYPART_ARC
(10,14),-0.035803 # DEPENDENCYPART_ARC
(10,15),-0.993713 # DEPENDENCYPART_ARC
(10,16),-0.645979 # DEPENDENCYPART_ARC
(10,17),-0.799039 # DEPENDENCYPART_ARC
(10,18),-1.38626 # DEPENDENCYPART_ARC
(10,19),-0.906814 # DEPENDENCYPART_ARC
(10,20),-1.3045 # DEPENDENCYPART_ARC
(11,1),-1.18454 # DEPENDENCYPART_ARC
(11,2),-2.85523 # DEPENDENCYPART_ARC
(11,3),0.743963 # DEPENDENCYPART_ARC
(11,4),-1.47839 # DEPENDENCYPART_ARC
(11,5),0.470827 # DEPENDENCYPART_ARC
(11,6),2.17794 # DEPENDENCYPART_ARC
(11,7),1.23998 # DEPENDENCYPART_ARC
(11,8),1.31233 # DEPENDENCYPART_ARC
(11,9),2.60153 # DEPENDENCYPART_ARC
(11,10),1.96553 # DEPENDENCYPART_ARC
(11,12),0.0244533 # DEPENDENCYPART_ARC
(11,13),-0.0511475 # DEPENDENCYPART_ARC
(11,14),-0.224917 # DEPENDENCYPART_ARC
(11,15),-0.589224 # DEPENDENCYPART_ARC
(11,16),-0.250372 # DEPENDENCYPART_ARC
(11,17),-0.975443 # DEPENDENCYPART_ARC
(11,18),-0.770149 # DEPENDENCYPART_ARC
(11,19),-1.90746 # DEPENDENCYPART_ARC
(11,20),-1.4393 # DEPENDENCYPART_ARC
(12,1),0.216926 # DEPENDENCYPART_ARC
(12,2),-2.80725 # DEPENDENCYPART_ARC
(12,3),0.0428516 # DEPENDENCYPART_ARC
(12,4),-2.40266 # DEPENDENCYPART_ARC
(12,5),0.0846116 # DEPENDENCYPART_ARC
(12,6),-0.841253 # DEPENDENCYPART_ARC
(12,7),-0.708514 # DEPENDENCYPART_ARC
(12,8),0.0786467 # DEPENDENCYPART_ARC
(12,9),-0.105773 # DEPENDENCYPART_ARC
(12,10),-0.244394 # DEPENDENCYPART_ARC
(12,11),1.73237 # DEPENDENCYPART_ARC
(12,13),-0.02697 # DEPENDENCYPART_ARC
(12,14),-0.349729 # DEPENDENCYPART_ARC
(12,15),-0.0393959 # DEPENDENCYPART_ARC
(12,16),-0.303205 # DEPENDENCYPART_ARC
(12,17),-0.746543 # DEPENDENCYPART_ARC
(12,18),-0.279507 # DEPENDENCYPART_ARC
(12,19),-0.347178 # DEPENDENCYPART_ARC
(12,20),-0.947638 # DEPENDENCYPART_ARC
(13,1),-1.54718 # DEPENDENCYPART_ARC
(13,2),-1.83982 # DEPENDENCYPART_ARC
(13,3),-1.22019 # DEPENDENCYPART_ARC
(13,4),-1.347 # DEPENDENCYPART_ARC
(13,5),-1.31755 # DEPENDENCYPART_ARC
(13,6),-0.958222 # DEPENDENCYPART_ARC
(13,7),-1.17342 # DEPENDENCYPART_ARC
(13,8),-0.810707 # DEPENDENCYPART_ARC
(13,10),-0.97768 # DEPENDENCYPART_ARC
(13,11),-0.812269 # DEPENDENCYPART_ARC
(13,12),0.413615 # DEPENDENCYPART_ARC
(13,14),2.3442 # DEPENDENCYPART_ARC
(13,15),0.321869 # DEPENDENCYPART_ARC
(13,16),0.454776 # DEPENDENCYPART_ARC
(13,17),0.342308 # DEPENDENCYPART_ARC
(13,18),-0.289318 # DEPENDENCYPART_ARC
(13,19),0.0408728 # DEPENDENCYPART_ARC
(13,20),-0.120041 # DEPENDENCYPART_ARC
(14,1),-1.26567 # DEPENDENCYPART_ARC
(14,2),-1.02505 # DEPENDENCYPART_ARC
(14,3),-1.1064 # DEPENDENCYPART_ARC
(14,4),-0.85865 # DEPENDENCYPART_ARC
(14,5),-1.08994 # DEPENDENCYPART_ARC
(14,6),-0.73468 # DEPENDENCYPART_ARC
(14,7),-0.884559 # DEPENDENCYPART_ARC
(14,8),-0.93212 # DEPENDENCYPART_ARC
(14,10),-0.819379 # DEPENDENCYPART_ARC
(14,11),-0.116971 # DEPENDENCYPART_ARC
(14,12),-0.420649 # DEPENDENCYPART_ARC
(14,13),0.713066 # DEPENDENCYPART_ARC
(14,15),0.138035 # DEPENDENCYPART_ARC
(14,16),0.106531 # DEPENDENCYPART_ARC
(14,17),-0.126033 # DEPENDENCYPART_ARC
(14,18),-0.482001 # DEPENDENCYPART_ARC
(14,19),-0.535624 # DEPENDENCYPART_ARC
(14,20),-0.443514 # DEPENDENCYPART_ARC
(15,1),-1.89776 # DEPENDENCYPART_ARC
(15,2),-4.50417 # DEPENDENCYPART_ARC
(15,3),0.600278 # DEPENDENCYPART_ARC
(15,4),-2.67897 # DEPENDENCYPART_ARC
(15,5),-0.0103009 # DEPENDENCYPART_ARC
(15,6),1.31118 # DEPENDENCYPART_ARC
(15,7),0.442719 # DEPENDENCYPART_ARC
(15,8),0.468144 # DEPENDENCYPART_ARC
(15,9),0.601495 # DEPENDENCYPART_ARC
(15,10),0.341012 # DEPENDENCYPART_ARC
(15,11),0.336859 # DEPENDENCYPART_ARC
(15,12),1.8024 # DEPENDENCYPART_ARC
(15,13),1.52374 # DEPENDENCYPART_ARC
(15,14),0.847771 # DEPENDENCYPART_ARC
(15,16),0.308493 # DEPENDENCYPART_ARC
(15,17),-0.215877 # DEPENDENCYPART_ARC
(15,18),0.219125 # DEPENDENCYPART_ARC
(15,19),-0.831597 # DEPENDENCYPART_ARC
(15,20),-0.885051 # DEPENDENCYPART_ARC
(16,1),-1.91914 # DEPENDENCYPART_ARC
(16,2),-1.01712 # DEPENDENCYPART_ARC
(16,3),-1.42703 # DEPENDENCYPART_ARC
(16,4),-1.13126 # DEPENDENCYPART_ARC
(16,5),-0.599541 # DEPENDENCYPART_ARC
(16,6),-0.655221 # DEPENDENCYPART_ARC
(16,7),-0.469828 # DEPENDENCYPART_ARC
(16,8),-0.222328 # DEPENDENCYPART_ARC
(16,9),-0.564882 # DEPENDENCYPART_ARC
(16,10),-0.76827 # DEPENDENCYPART_ARC
(16,11),0.00374171 # DEPENDENCYPART_ARC
(16,12),0.0407625 # DEPENDENCYPART_ARC
(16,13),0.0596279 # DEPENDENCYPART_ARC
(16,14),0.399172 # DEPENDENCYPART_ARC
(16,15),2.56568 # DEPENDENCYPART_ARC
(16,17),0.169788 # DEPENDENCYPART_ARC
(16,18),0.0689881 # DEPENDENCYPART_ARC
(16,19),-0.408161 # DEPENDENCYPART_ARC
(16,20),-0.202946 # DEPENDENCYPART_ARC
(17,1),-0.790175 # DEPENDENCYPART_ARC
(17,8),-0.688446 # DEPENDENCYPART_ARC
(17,10),-0.925196 # DEPENDENCYPART_ARC
(17,12),-0.393925 # DEPENDENCYPART_ARC
(17,13),-0.555892 # DEPENDENCYPART_ARC
(17,14),-0.166382 # DEPENDENCYPART_ARC
(17,18),0.0393435 # DEPENDENCYPART_ARC
(17,20),-0.274264 # DEPENDENCYPART_ARC
(18,1),-1.64553 # DEPENDENCYPART_ARC
(18,2),-2.55509 # DEPENDENCYPART_ARC
(18,3),-1.46843 # DEPENDENCYPART_ARC
(18,4),-1.2964 # DEPENDENCYPART_ARC
(18,5),-0.996385 # DEPENDENCYPART_ARC
(18,6),-0.470606 # DEPENDENCYPART_ARC
(18,7),-0.505897 # DEPENDENCYPART_ARC
(18,8),0.454395 # DEPENDENCYPART_ARC
(18,9),-1.15694 # DEPENDENCYPART_ARC
(18,10),-0.271475 # DEPENDENCYPART_ARC
(18,11),-1.02863 # DEPENDENCYPART_ARC
(18,12),0.631027 # DEPENDENCYPART_ARC
(18,13),0.379039 # DEPENDENCYPART_ARC
(18,14),-0.655127 # DEPENDENCYPART_ARC
(18,15),-0.392142 # DEPENDENCYPART_ARC
(18,16),1.64846 # DEPENDENCYPART_ARC
(18,17),2.79967 # DEPENDENCYPART_ARC
(18,19),-0.260208 # DEPENDENCYPART_ARC
(18,20),0.143999 # DEPENDENCYPART_ARC
(19,1),-1.66828 # DEPENDENCYPART_ARC
(19,2),-5.8719 # DEPENDENCYPART_ARC
(19,3),-0.785723 # DEPENDENCYPART_ARC
(19,4),-4.41125 # DEPENDENCYPART_ARC
(19,5),-1.14483 # DEPENDENCYPART_ARC
(19,6),0.912418 # DEPENDENCYPART_ARC
(19,7),0.546461 # DEPENDENCYPART_ARC
(19,8),0.2179 # DEPENDENCYPART_ARC
(19,9),0.0448952 # DEPENDENCYPART_ARC
(19,10),-0.757014 # DEPENDENCYPART_ARC
(19,11),0.0750272 # DEPENDENCYPART_ARC
(19,12),2.06443 # DEPENDENCYPART_ARC
(19,13),0.445764 # DEPENDENCYPART_ARC
(19,14),-0.012497 # DEPENDENCYPART_ARC
(19,15),1.11028 # DEPENDENCYPART_ARC
(19,16),1.4563 # DEPENDENCYPART_ARC
(19,17),0.994521 # DEPENDENCYPART_ARC
(19,18),2.7896 # DEPENDENCYPART_ARC
(19,20),-0.135848 # DEPENDENCYPART_ARC
(20,1),-0.470556 # DEPENDENCYPART_ARC
(20,2),-4.66113 # DEPENDENCYPART_ARC
(20,3),-0.644681 # DEPENDENCYPART_ARC
(20,4),-3.90561 # DEPENDENCYPART_ARC
(20,5),-0.331849 # DEPENDENCYPART_ARC
(20,6),-0.858581 # DEPENDENCYPART_ARC
(20,7),-0.672501 # DEPENDENCYPART_ARC
(20,8),-0.579779 # DEPENDENCYPART_ARC
(20,9),-0.449576 # DEPENDENCYPART_ARC
(20,10),-1.19817 # DEPENDENCYPART_ARC
(20,11),-0.0731252 # DEPENDENCYPART_ARC
(20,12),0.336327 # DEPENDENCYPART_ARC
(20,13),-0.428567 # DEPENDENCYPART_ARC
(20,14),-0.145116 # DEPENDENCYPART_ARC
(20,15),0.485169 # DEPENDENCYPART_ARC
(20,16),0.175856 # DEPENDENCYPART_ARC
(20,17),0.251309 # DEPENDENCYPART_ARC
(20,18),0.361996 # DEPENDENCYPART_ARC
(20,19),1.68046 # DEPENDENCYPART_ARC
