# _root_ Annem , telefonda dedeme bir doğum günü partisi _ düzenlediklerini söyledi , yarın dönsem iyi olurmuş ...
#goldHeads=11,0,11,9,8,7,8,9,10,11,12,16,14,16,16,17,0,
#predictedHeads=11,0,11,11,6,7,8,9,10,11,12,16,14,16,16,17,0,
(12,7),0.332091 # DEPENDENCYPART_ARC
(12,8),0.409375 # DEPENDENCYPART_ARC
(12,9),-1.21812 # DEPENDENCYPART_ARC
(12,10),0.462146 # DEPENDENCYPART_ARC
(12,11),1.74862 # DEPENDENCYPART_ARC
(12,13),0.55629 # DEPENDENCYPART_ARC
(12,14),0.0500921 # DEPENDENCYPART_ARC
(12,15),-0.358774 # DEPENDENCYPART_ARC
(12,16),0.284949 # DEPENDENCYPART_ARC
(12,17),-0.300434 # DEPENDENCYPART_ARC
(13,1),-1.45249 # DEPENDENCYPART_ARC
(13,2),-0.940909 # DEPENDENCYPART_ARC
(13,3),-1.95882 # DEPENDENCYPART_ARC
(13,4),-2.04776 # DEPENDENCYPART_ARC
(13,5),0.0230263 # DEPENDENCYPART_ARC
(13,6),-1.04695 # DEPENDENCYPART_ARC
(13,7),-0.875349 # DEPENDENCYPART_ARC
(13,8),-0.902083 # DEPENDENCYPART_ARC
(13,9),-0.455108 # DEPENDENCYPART_ARC
(13,10),-0.819231 # DEPENDENCYPART_ARC
(13,11),-0.00595298 # DEPENDENCYPART_ARC
(13,12),0.798914 # DEPENDENCYPART_ARC
(13,14),1.05001 # DEPENDENCYPART_ARC
(13,15),0.444168 # DEPENDENCYPART_ARC
(13,16),-1.0822 # DEPENDENCYPART_ARC
(13,17),-0.148518 # DEPENDENCYPART_ARC
(14,1),0.294732 # DEPENDENCYPART_ARC
(14,2),-0.855919 # DEPENDENCYPART_ARC
(14,3),-0.244771 # DEPENDENCYPART_ARC
(14,4),0.443975 # DEPENDENCYPART_ARC
(14,5),-0.46703 # DEPENDENCYPART_ARC
(14,6),-0.421858 # DEPENDENCYPART_ARC
(14,7),-0.0154078 # DEPENDENCYPART_ARC
(14,8),0.260826 # DEPENDENCYPART_ARC
(14,9),-2.92047 # DEPENDENCYPART_ARC
(14,10),0.378149 # DEPENDENCYPART_ARC
(14,11),-0.694157 # DEPENDENCYPART_ARC
(14,12),1.20273 # DEPENDENCYPART_ARC
(14,13),2.36213 # DEPENDENCYPART_ARC
(14,15),0.302368 # DEPENDENCYPART_ARC
(14,16),-0.280382 # DEPENDENCYPART_ARC
(14,17),-0.565581 # DEPENDENCYPART_ARC
(15,1),-1.65747 # DEPENDENCYPART_ARC
(15,2),-1.60969 # DEPENDENCYPART_ARC
(15,3),-1.4861 # DEPENDENCYPART_ARC
(15,4),-1.47546 # DEPENDENCYPART_ARC
(15,5),-1.0501 # DEPENDENCYPART_ARC
(15,6),-1.2481 # DEPENDENCYPART_ARC
(15,7),-0.873249 # DEPENDENCYPART_ARC
(15,8),-0.876136 # DEPENDENCYPART_ARC
(15,9),-2.18109 # DEPENDENCYPART_ARC
(15,10),-0.675357 # DEPENDENCYPART_ARC
(15,11),-0.93963 # DEPENDENCYPART_ARC
(15,12),-0.23369 # DEPENDENCYPART_ARC
(15,13),0.705694 # DEPENDENCYPART_ARC
(15,14),1.06963 # DEPENDENCYPART_ARC
(15,16),0.308314 # DEPENDENCYPART_ARC
(15,17),0.0756823 # DEPENDENCYPART_ARC
(16,1),1.98378 # DEPENDENCYPART_ARC
(16,2),-0.882008 # DEPENDENCYPART_ARC
(16,3),0.59853 # DEPENDENCYPART_ARC
(16,4),0.884453 # DEPENDENCYPART_ARC
(16,5),-0.566924 # DEPENDENCYPART_ARC
(16,6),0.701659 # DEPENDENCYPART_ARC
(16,7),0.640887 # DEPENDENCYPART_ARC
(16,8),1.08621 # DEPENDENCYPART_ARC
(16,9),-4.04252 # DEPENDENCYPART_ARC
(16,10),1.04291 # DEPENDENCYPART_ARC
(16,11),-0.819588 # DEPENDENCYPART_ARC
(16,12),1.74306 # DEPENDENCYPART_ARC
(16,13),2.09885 # DEPENDENCYPART_ARC
(16,14),2.47469 # DEPENDENCYPART_ARC
(16,15),2.75279 # DEPENDENCYPART_ARC
(16,17),-0.396252 # DEPENDENCYPART_ARC
(17,1),-0.75827 # DEPENDENCYPART_ARC
(17,2),-1.71511 # DEPENDENCYPART_ARC
(17,3),-0.613369 # DEPENDENCYPART_ARC
(17,4),-0.331189 # DEPENDENCYPART_ARC
(17,5),-0.471769 # DEPENDENCYPART_ARC
(17,6),-0.275082 # DEPENDENCYPART_ARC
(17,7),-0.318911 # DEPENDENCYPART_ARC
(17,8),-0.387307 # DEPENDENCYPART_ARC
(17,9),-2.52319 # DEPENDENCYPART_ARC
(17,10),-0.516955 # DEPENDENCYPART_ARC
(17,11),-0.29351 # DEPENDENCYPART_ARC
(17,12),-0.0627185 # DEPENDENCYPART_ARC
(17,13),0.0840429 # DEPENDENCYPART_ARC
(17,14),0.638412 # DEPENDENCYPART_ARC
(17,15),-0.136316 # DEPENDENCYPART_ARC
(17,16),1.47321 # DEPENDENCYPART_ARC
