# _root_ Şöyle_ya_da_böyle , duvardan _ söz_etmeksizin mekandan , mekandan _ söz_etmeksizin evden _ söz_edemezsiniz .
#goldHeads=14,0,4,5,12,12,0,9,10,13,13,13,14,0,
#predictedHeads=14,0,4,5,6,7,0,9,10,13,13,13,14,0,
(3,10),-0.772865 # DEPENDENCYPART_ARC
(3,11),-2.21225 # DEPENDENCYPART_ARC
(3,12),-0.753193 # DEPENDENCYPART_ARC
(3,13),-1.30974 # DEPENDENCYPART_ARC
(3,14),-1.14005 # DEPENDENCYPART_ARC
(4,1),0.14013 # DEPENDENCYPART_ARC
(4,2),0.340921 # DEPENDENCYPART_ARC
(4,3),2.7641 # DEPENDENCYPART_ARC
(4,5),0.435188 # DEPENDENCYPART_ARC
(4,6),0.380997 # DEPENDENCYPART_ARC
(4,7),-0.422816 # DEPENDENCYPART_ARC
(4,8),-1.58538 # DEPENDENCYPART_ARC
(4,9),-1.07733 # DEPENDENCYPART_ARC
(4,10),-0.761157 # DEPENDENCYPART_ARC
(4,11),-1.62904 # DEPENDENCYPART_ARC
(4,12),-1.0994 # DEPENDENCYPART_ARC
(4,13),-0.86164 # DEPENDENCYPART_ARC
(4,14),-1.48768 # DEPENDENCYPART_ARC
(5,1),-0.0627743 # DEPENDENCYPART_ARC
(5,2),0.548856 # DEPENDENCYPART_ARC
(5,3),1.41831 # DEPENDENCYPART_ARC
(5,4),2.94676 # DEPENDENCYPART_ARC
(5,6),-0.834814 # DEPENDENCYPART_ARC
(5,7),-0.733596 # DEPENDENCYPART_ARC
(5,8),-1.5307 # DEPENDENCYPART_ARC
(5,9),-1.28568 # DEPENDENCYPART_ARC
(5,10),-1.34367 # DEPENDENCYPART_ARC
(5,11),-1.69941 # DEPENDENCYPART_ARC
(5,12),-1.44328 # DEPENDENCYPART_ARC
(5,13),-1.51033 # DEPENDENCYPART_ARC
(5,14),-1.63097 # DEPENDENCYPART_ARC
(6,1),-0.47052 # DEPENDENCYPART_ARC
(6,2),0.191142 # DEPENDENCYPART_ARC
(6,3),-0.214682 # DEPENDENCYPART_ARC
(6,4),1.16153 # DEPENDENCYPART_ARC
(6,5),0.709536 # DEPENDENCYPART_ARC
(6,7),0.190172 # DEPENDENCYPART_ARC
(6,8),-1.56272 # DEPENDENCYPART_ARC
(6,9),-1.06348 # DEPENDENCYPART_ARC
(6,10),-0.784477 # DEPENDENCYPART_ARC
(6,11),-2.20148 # DEPENDENCYPART_ARC
(6,12),-1.06 # DEPENDENCYPART_ARC
(6,13),-1.45454 # DEPENDENCYPART_ARC
(6,14),-1.38871 # DEPENDENCYPART_ARC
(7,1),-0.412439 # DEPENDENCYPART_ARC
(7,2),-0.213771 # DEPENDENCYPART_ARC
(7,3),0.746783 # DEPENDENCYPART_ARC
(7,4),-0.761175 # DEPENDENCYPART_ARC
(7,5),-0.208208 # DEPENDENCYPART_ARC
(7,6),1.13618 # DEPENDENCYPART_ARC
(7,8),0.573173 # DEPENDENCYPART_ARC
(7,9),-0.186185 # DEPENDENCYPART_ARC
(7,10),-0.112326 # DEPENDENCYPART_ARC
(7,11),0.0236562 # DEPENDENCYPART_ARC
(7,12),-0.416227 # DEPENDENCYPART_ARC
(7,13),-0.114424 # DEPENDENCYPART_ARC
(7,14),-1.25616 # DEPENDENCYPART_ARC
(8,1),-0.716417 # DEPENDENCYPART_ARC
(8,2),-0.80777 # DEPENDENCYPART_ARC
(8,3),-1.55655 # DEPENDENCYPART_ARC
(8,4),-0.358243 # DEPENDENCYPART_ARC
(8,5),-0.354723 # DEPENDENCYPART_ARC
(8,6),-0.723192 # DEPENDENCYPART_ARC
(8,7),0.89803 # DEPENDENCYPART_ARC
(8,9),-0.154554 # DEPENDENCYPART_ARC
(8,10),-0.105749 # DEPENDENCYPART_ARC
(8,11),-1.73555 # DEPENDENCYPART_ARC
(8,12),-0.447802 # DEPENDENCYPART_ARC
(8,13),-1.04653 # DEPENDENCYPART_ARC
(8,14),-0.862873 # DEPENDENCYPART_ARC
(9,1),-0.28746 # DEPENDENCYPART_ARC
(9,2),-0.737487 # DEPENDENCYPART_ARC
(9,3),0.325085 # DEPENDENCYPART_ARC
(9,4),-2.23957 # DEPENDENCYPART_ARC
(9,5),0.400617 # DEPENDENCYPART_ARC
(9,6),0.532458 # DEPENDENCYPART_ARC
(9,7),0.142938 # DEPENDENCYPART_ARC
(9,8),2.77775 # DEPENDENCYPART_ARC
(9,10),0.435188 # DEPENDENCYPART_ARC
(9,11),-0.312009 # DEPENDENCYPART_ARC
(9,12),-0.394952 # DEPENDENCYPART_ARC
(9,13),-0.585102 # DEPENDENCYPART_ARC
(9,14),-1.12806 # DEPENDENCYPART_ARC
(10,1),-0.0774757 # DEPENDENCYPART_ARC
(10,2),-0.193552 # DEPENDENCYPART_ARC
(10,3),0.246018 # DEPENDENCYPART_ARC
(10,4),0.20732 # DEPENDENCYPART_ARC
(10,5),-0.0742404 # DEPENDENCYPART_ARC
(10,6),-0.195565 # DEPENDENCYPART_ARC
(10,7),0.40708 # DEPENDENCYPART_ARC
(10,8),1.45854 # DEPENDENCYPART_ARC
(10,9),2.98699 # DEPENDENCYPART_ARC
(10,11),-0.726736 # DEPENDENCYPART_ARC
(10,12),-0.799144 # DEPENDENCYPART_ARC
(10,13),-0.942223 # DEPENDENCYPART_ARC
(10,14),-1.00233 # DEPENDENCYPART_ARC
(11,1),-0.845085 # DEPENDENCYPART_ARC
(11,2),-0.693641 # DEPENDENCYPART_ARC
(11,3),-1.79822 # DEPENDENCYPART_ARC
(11,4),-2.12136 # DEPENDENCYPART_ARC
(11,5),-0.838016 # DEPENDENCYPART_ARC
(11,6),-1.76177 # DEPENDENCYPART_ARC
(11,7),-0.014141 # DEPENDENCYPART_ARC
(11,8),-0.23602 # DEPENDENCYPART_ARC
(11,9),0.774656 # DEPENDENCYPART_ARC
(11,10),0.763598 # DEPENDENCYPART_ARC
(11,12),0.167739 # DEPENDENCYPART_ARC
(11,13),-0.624781 # DEPENDENCYPART_ARC
(11,14),-0.545557 # DEPENDENCYPART_ARC
(12,1),-0.31089 # DEPENDENCYPART_ARC
(12,2),-0.783657 # DEPENDENCYPART_ARC
(12,3),-0.431242 # DEPENDENCYPART_ARC
(12,4),-4.93469 # DEPENDENCYPART_ARC
(12,5),-0.275609 # DEPENDENCYPART_ARC
(12,6),-0.177989 # DEPENDENCYPART_ARC
(12,7),-0.033666 # DEPENDENCYPART_ARC
(12,8),0.538555 # DEPENDENCYPART_ARC
(12,9),-0.451094 # DEPENDENCYPART_ARC
(12,10),0.922245 # DEPENDENCYPART_ARC
(12,11),1.49516 # DEPENDENCYPART_ARC
(12,13),0.8682 # DEPENDENCYPART_ARC
(12,14),-0.189103 # DEPENDENCYPART_ARC
(13,1),-0.249174 # DEPENDENCYPART_ARC
(13,2),-0.364637 # DEPENDENCYPART_ARC
(13,3),0.373914 # DEPENDENCYPART_ARC
(13,4),-4.2737 # DEPENDENCYPART_ARC
(13,5),0.222462 # DEPENDENCYPART_ARC
(13,6),0.951524 # DEPENDENCYPART_ARC
(13,7),0.11556 # DEPENDENCYPART_ARC
(13,8),1.43007 # DEPENDENCYPART_ARC
(13,9),-1.08158 # DEPENDENCYPART_ARC
(13,10),1.23631 # DEPENDENCYPART_ARC
(13,11),2.58482 # DEPENDENCYPART_ARC
(13,12),2.62644 # DEPENDENCYPART_ARC
(13,14),-0.6058 # DEPENDENCYPART_ARC
(14,1),0.464483 # DEPENDENCYPART_ARC
(14,2),-0.85357 # DEPENDENCYPART_ARC
(14,3),-0.0900699 # DEPENDENCYPART_ARC
(14,4),-3.84811 # DEPENDENCYPART_ARC
(14,5),-0.0366086 # DEPENDENCYPART_ARC
(14,6),0.207914 # DEPENDENCYPART_ARC
(14,7),-0.00163798 # DEPENDENCYPART_ARC
(14,8),0.248707 # DEPENDENCYPART_ARC
(14,9),-2.03162 # DEPENDENCYPART_ARC
(14,10),0.281288 # DEPENDENCYPART_ARC
(14,11),0.510617 # DEPENDENCYPART_ARC
(14,12),-0.545553 # DEPENDENCYPART_ARC
(14,13),1.97026 # DEPENDENCYPART_ARC
