# _root_ Sanırım _ gezmediği ülke , danışmanı _ olmadığı kimse , _ bilmediği ilke kalmadı .
#goldHeads=15,3,4,5,10,7,8,9,10,13,12,13,14,15,0,
#predictedHeads=2,3,4,14,0,7,8,9,14,0,12,13,14,15,0,
(12,8),-0.302733 # DEPENDENCYPART_ARC
(12,9),-0.0244062 # DEPENDENCYPART_ARC
(12,10),-0.000996487 # DEPENDENCYPART_ARC
(12,11),2.43006 # DEPENDENCYPART_ARC
(12,13),-0.458224 # DEPENDENCYPART_ARC
(12,14),-0.663689 # DEPENDENCYPART_ARC
(12,15),-0.767477 # DEPENDENCYPART_ARC
(13,1),-1.23551 # DEPENDENCYPART_ARC
(13,2),-4.70329 # DEPENDENCYPART_ARC
(13,3),-0.129575 # DEPENDENCYPART_ARC
(13,4),-0.00859673 # DEPENDENCYPART_ARC
(13,5),0.000693197 # DEPENDENCYPART_ARC
(13,6),-0.425176 # DEPENDENCYPART_ARC
(13,7),-2.42614 # DEPENDENCYPART_ARC
(13,8),0.00901363 # DEPENDENCYPART_ARC
(13,9),-0.263952 # DEPENDENCYPART_ARC
(13,10),0.541522 # DEPENDENCYPART_ARC
(13,11),0.342571 # DEPENDENCYPART_ARC
(13,12),2.33209 # DEPENDENCYPART_ARC
(13,14),-0.00719045 # DEPENDENCYPART_ARC
(13,15),0.17682 # DEPENDENCYPART_ARC
(14,1),0.380671 # DEPENDENCYPART_ARC
(14,2),-6.3794 # DEPENDENCYPART_ARC
(14,3),-0.253401 # DEPENDENCYPART_ARC
(14,4),1.4776 # DEPENDENCYPART_ARC
(14,5),-0.351098 # DEPENDENCYPART_ARC
(14,6),0.724353 # DEPENDENCYPART_ARC
(14,7),-3.64046 # DEPENDENCYPART_ARC
(14,8),0.477175 # DEPENDENCYPART_ARC
(14,9),1.94499 # DEPENDENCYPART_ARC
(14,10),0.517512 # DEPENDENCYPART_ARC
(14,11),-0.475862 # DEPENDENCYPART_ARC
(14,12),1.39599 # DEPENDENCYPART_ARC
(14,13),3.58228 # DEPENDENCYPART_ARC
(14,15),-0.332792 # DEPENDENCYPART_ARC
(15,1),1.22925 # DEPENDENCYPART_ARC
(15,2),-4.40986 # DEPENDENCYPART_ARC
(15,3),-0.58394 # DEPENDENCYPART_ARC
(15,4),-0.17489 # DEPENDENCYPART_ARC
(15,5),-0.557955 # DEPENDENCYPART_ARC
(15,6),-0.136307 # DEPENDENCYPART_ARC
(15,7),-3.12224 # DEPENDENCYPART_ARC
(15,8),-0.482398 # DEPENDENCYPART_ARC
(15,9),0.15091 # DEPENDENCYPART_ARC
(15,10),-0.0703762 # DEPENDENCYPART_ARC
(15,11),-1.20646 # DEPENDENCYPART_ARC
(15,12),0.429568 # DEPENDENCYPART_ARC
(15,13),0.314928 # DEPENDENCYPART_ARC
(15,14),1.70563 # DEPENDENCYPART_ARC
