# _root_ Gündüz ayrı iş , gece ayrı iş ; can mı dayanır , diye _ söylendi saatine _ bakarken .
#goldHeads=3,3,4,7,7,7,8,0,11,9,12,13,15,15,19,17,18,15,0,
#predictedHeads=3,3,4,0,7,7,11,0,11,9,12,13,14,15,19,17,18,15,0,
(4,14),-0.739684 # DEPENDENCYPART_ARC
(4,15),-0.616499 # DEPENDENCYPART_ARC
(4,16),-0.674008 # DEPENDENCYPART_ARC
(4,17),-1.15337 # DEPENDENCYPART_ARC
(4,18),-1.33929 # DEPENDENCYPART_ARC
(4,19),-2.23756 # DEPENDENCYPART_ARC
(5,1),-0.657646 # DEPENDENCYPART_ARC
(5,2),-0.0868698 # DEPENDENCYPART_ARC
(5,3),-0.174177 # DEPENDENCYPART_ARC
(5,4),0.590697 # DEPENDENCYPART_ARC
(5,6),0.327778 # DEPENDENCYPART_ARC
(5,7),-0.27265 # DEPENDENCYPART_ARC
(5,8),-0.339514 # DEPENDENCYPART_ARC
(5,9),-0.965016 # DEPENDENCYPART_ARC
(5,10),-0.0408678 # DEPENDENCYPART_ARC
(5,11),-1.6652 # DEPENDENCYPART_ARC
(5,12),-0.762044 # DEPENDENCYPART_ARC
(5,13),-0.863932 # DEPENDENCYPART_ARC
(5,14),-1.15208 # DEPENDENCYPART_ARC
(5,15),-1.71985 # DEPENDENCYPART_ARC
(5,16),-1.22156 # DEPENDENCYPART_ARC
(5,17),-2.22059 # DEPENDENCYPART_ARC
(5,18),-1.31141 # DEPENDENCYPART_ARC
(5,19),-1.29208 # DEPENDENCYPART_ARC
(6,1),-0.988437 # DEPENDENCYPART_ARC
(6,2),-0.754431 # DEPENDENCYPART_ARC
(6,3),-0.905907 # DEPENDENCYPART_ARC
(6,4),0.00804895 # DEPENDENCYPART_ARC
(6,5),1.34992 # DEPENDENCYPART_ARC
(6,7),0.51158 # DEPENDENCYPART_ARC
(6,8),-0.17127 # DEPENDENCYPART_ARC
(6,9),-0.461434 # DEPENDENCYPART_ARC
(6,10),-0.118449 # DEPENDENCYPART_ARC
(6,11),-0.843401 # DEPENDENCYPART_ARC
(6,12),-0.820876 # DEPENDENCYPART_ARC
(6,13),-0.532442 # DEPENDENCYPART_ARC
(6,14),-0.899631 # DEPENDENCYPART_ARC
(6,15),-0.721538 # DEPENDENCYPART_ARC
(6,16),-0.623842 # DEPENDENCYPART_ARC
(6,17),-1.05262 # DEPENDENCYPART_ARC
(6,18),-0.579224 # DEPENDENCYPART_ARC
(6,19),-1.349 # DEPENDENCYPART_ARC
(7,1),-0.171106 # DEPENDENCYPART_ARC
(7,2),0.552121 # DEPENDENCYPART_ARC
(7,3),-0.41229 # DEPENDENCYPART_ARC
(7,4),1.24405 # DEPENDENCYPART_ARC
(7,5),1.54744 # DEPENDENCYPART_ARC
(7,6),2.71743 # DEPENDENCYPART_ARC
(7,8),0.28552 # DEPENDENCYPART_ARC
(7,9),0.000525414 # DEPENDENCYPART_ARC
(7,10),0.334166 # DEPENDENCYPART_ARC
(7,11),-1.20589 # DEPENDENCYPART_ARC
(7,12),-0.482771 # DEPENDENCYPART_ARC
(7,13),-0.593319 # DEPENDENCYPART_ARC
(7,14),-0.952288 # DEPENDENCYPART_ARC
(7,15),-1.57675 # DEPENDENCYPART_ARC
(7,16),-0.348938 # DEPENDENCYPART_ARC
(7,17),-1.74651 # DEPENDENCYPART_ARC
(7,18),-0.853181 # DEPENDENCYPART_ARC
(7,19),-1.18741 # DEPENDENCYPART_ARC
(8,1),-0.0890533 # DEPENDENCYPART_ARC
(8,2),-0.199852 # DEPENDENCYPART_ARC
(8,3),-0.347392 # DEPENDENCYPART_ARC
(8,4),0.0523901 # DEPENDENCYPART_ARC
(8,5),0.741857 # DEPENDENCYPART_ARC
(8,6),0.722077 # DEPENDENCYPART_ARC
(8,7),1.09063 # DEPENDENCYPART_ARC
(8,9),0.141993 # DEPENDENCYPART_ARC
(8,10),-0.171081 # DEPENDENCYPART_ARC
(8,11),-0.176524 # DEPENDENCYPART_ARC
(8,12),-0.428377 # DEPENDENCYPART_ARC
(8,13),-0.410005 # DEPENDENCYPART_ARC
(8,14),-0.59428 # DEPENDENCYPART_ARC
(8,15),-0.492037 # DEPENDENCYPART_ARC
(8,16),0.0226157 # DEPENDENCYPART_ARC
(8,17),-0.602166 # DEPENDENCYPART_ARC
(8,18),-0.745786 # DEPENDENCYPART_ARC
(8,19),-1.4777 # DEPENDENCYPART_ARC
(9,1),-0.718039 # DEPENDENCYPART_ARC
(9,2),-0.102194 # DEPENDENCYPART_ARC
(9,3),-0.8123 # DEPENDENCYPART_ARC
(9,4),-0.394838 # DEPENDENCYPART_ARC
(9,5),-0.681323 # DEPENDENCYPART_ARC
(9,6),0.185945 # DEPENDENCYPART_ARC
(9,7),-0.219451 # DEPENDENCYPART_ARC
(9,8),1.04971 # DEPENDENCYPART_ARC
(9,10),1.96983 # DEPENDENCYPART_ARC
(9,11),-0.293611 # DEPENDENCYPART_ARC
(9,12),0.46666 # DEPENDENCYPART_ARC
(9,13),-0.0376852 # DEPENDENCYPART_ARC
(9,14),-0.469161 # DEPENDENCYPART_ARC
(9,15),-1.07992 # DEPENDENCYPART_ARC
(9,16),-0.0518601 # DEPENDENCYPART_ARC
(9,17),-1.46415 # DEPENDENCYPART_ARC
(9,18),-0.309698 # DEPENDENCYPART_ARC
(9,19),-0.535259 # DEPENDENCYPART_ARC
(10,1),0.0365762 # DEPENDENCYPART_ARC
(10,3),-0.0460678 # DEPENDENCYPART_ARC
(10,4),-0.0613103 # DEPENDENCYPART_ARC
(10,5),-0.0897383 # DEPENDENCYPART_ARC
(10,7),0.00809888 # DEPENDENCYPART_ARC
(10,8),0.255231 # DEPENDENCYPART_ARC
(10,9),1.33931 # DEPENDENCYPART_ARC
(10,12),0.00955122 # DEPENDENCYPART_ARC
(10,16),-0.903813 # DEPENDENCYPART_ARC
(10,18),-0.549829 # DEPENDENCYPART_ARC
(10,19),-0.47354 # DEPENDENCYPART_ARC
(11,1),1.45924 # DEPENDENCYPART_ARC
(11,2),-0.0899298 # DEPENDENCYPART_ARC
(11,3),1.01074 # DEPENDENCYPART_ARC
(11,4),-0.442438 # DEPENDENCYPART_ARC
(11,5),1.43806 # DEPENDENCYPART_ARC
(11,6),0.319921 # DEPENDENCYPART_ARC
(11,7),1.4504 # DEPENDENCYPART_ARC
(11,8),0.669191 # DEPENDENCYPART_ARC
(11,9),2.44428 # DEPENDENCYPART_ARC
(11,10),0.74287 # DEPENDENCYPART_ARC
(11,12),0.155898 # DEPENDENCYPART_ARC
(11,13),0.352175 # DEPENDENCYPART_ARC
(11,14),-0.328257 # DEPENDENCYPART_ARC
(11,15),-0.19095 # DEPENDENCYPART_ARC
(11,16),-0.603691 # DEPENDENCYPART_ARC
(11,17),-1.20505 # DEPENDENCYPART_ARC
(11,18),0.581005 # DEPENDENCYPART_ARC
(11,19),-1.18237 # DEPENDENCYPART_ARC
(12,1),-0.224027 # DEPENDENCYPART_ARC
(12,2),-0.53194 # DEPENDENCYPART_ARC
(12,3),-0.390646 # DEPENDENCYPART_ARC
(12,4),-0.219648 # DEPENDENCYPART_ARC
(12,5),0.112203 # DEPENDENCYPART_ARC
(12,6),-0.278292 # DEPENDENCYPART_ARC
(12,7),0.0553782 # DEPENDENCYPART_ARC
(12,8),0.430287 # DEPENDENCYPART_ARC
(12,9),0.935154 # DEPENDENCYPART_ARC
(12,10),-0.445094 # DEPENDENCYPART_ARC
(12,11),1.72506 # DEPENDENCYPART_ARC
(12,13),-0.023742 # DEPENDENCYPART_ARC
(12,14),-0.435575 # DEPENDENCYPART_ARC
(12,15),-0.139144 # DEPENDENCYPART_ARC
(12,16),-0.0300066 # DEPENDENCYPART_ARC
(12,17),-0.40866 # DEPENDENCYPART_ARC
(12,18),-0.558108 # DEPENDENCYPART_ARC
(12,19),-1.21276 # DEPENDENCYPART_ARC
(13,1),-1.18992 # DEPENDENCYPART_ARC
(13,2),-0.624251 # DEPENDENCYPART_ARC
(13,3),-0.53638 # DEPENDENCYPART_ARC
(13,4),-0.278434 # DEPENDENCYPART_ARC
(13,5),-0.556936 # DEPENDENCYPART_ARC
(13,6),-0.472618 # DEPENDENCYPART_ARC
(13,7),0.00112433 # DEPENDENCYPART_ARC
(13,8),-0.0780098 # DEPENDENCYPART_ARC
(13,9),0.0120917 # DEPENDENCYPART_ARC
(13,10),-0.179178 # DEPENDENCYPART_ARC
(13,11),0.34962 # DEPENDENCYPART_ARC
(13,12),2.75027 # DEPENDENCYPART_ARC
(13,14),0.0866916 # DEPENDENCYPART_ARC
(13,15),-0.307343 # DEPENDENCYPART_ARC
(13,16),0.10284 # DEPENDENCYPART_ARC
(13,17),-0.358045 # DEPENDENCYPART_ARC
(13,18),-0.513304 # DEPENDENCYPART_ARC
(13,19),-0.459314 # DEPENDENCYPART_ARC
(14,1),-0.0834944 # DEPENDENCYPART_ARC
(14,2),-1.21831 # DEPENDENCYPART_ARC
(14,3),-0.698039 # DEPENDENCYPART_ARC
(14,4),-1.06475 # DEPENDENCYPART_ARC
(14,5),-0.0140613 # DEPENDENCYPART_ARC
(14,6),-1.14057 # DEPENDENCYPART_ARC
(14,7),-0.514375 # DEPENDENCYPART_ARC
(14,8),-0.518347 # DEPENDENCYPART_ARC
(14,9),-0.21485 # DEPENDENCYPART_ARC
(14,10),-1.26761 # DEPENDENCYPART_ARC
(14,11),-0.367144 # DEPENDENCYPART_ARC
(14,12),0.989105 # DEPENDENCYPART_ARC
(14,13),1.35008 # DEPENDENCYPART_ARC
(14,15),0.932594 # DEPENDENCYPART_ARC
(14,16),1.07606 # DEPENDENCYPART_ARC
(14,17),0.245612 # DEPENDENCYPART_ARC
(14,18),0.827135 # DEPENDENCYPART_ARC
(14,19),-0.195841 # DEPENDENCYPART_ARC
(15,1),-0.308134 # DEPENDENCYPART_ARC
(15,2),-0.704702 # DEPENDENCYPART_ARC
(15,3),-0.929263 # DEPENDENCYPART_ARC
(15,4),-0.240064 # DEPENDENCYPART_ARC
(15,5),0.594408 # DEPENDENCYPART_ARC
(15,6),-0.451519 # DEPENDENCYPART_ARC
(15,7),-0.598407 # DEPENDENCYPART_ARC
(15,8),-0.160126 # DEPENDENCYPART_ARC
(15,9),-0.0274297 # DEPENDENCYPART_ARC
(15,10),-1.4159 # DEPENDENCYPART_ARC
(15,11),-0.00357351 # DEPENDENCYPART_ARC
(15,12),0.953303 # DEPENDENCYPART_ARC
(15,13),1.02157 # DEPENDENCYPART_ARC
(15,14),2.1695 # DEPENDENCYPART_ARC
(15,16),1.04365 # DEPENDENCYPART_ARC
(15,17),-0.899984 # DEPENDENCYPART_ARC
(15,18),1.75983 # DEPENDENCYPART_ARC
(15,19),-0.498107 # DEPENDENCYPART_ARC
(16,1),-1.24289 # DEPENDENCYPART_ARC
(16,2),-0.949936 # DEPENDENCYPART_ARC
(16,3),-0.953048 # DEPENDENCYPART_ARC
(16,4),-0.883455 # DEPENDENCYPART_ARC
(16,5),-0.24563 # DEPENDENCYPART_ARC
(16,6),-0.702518 # DEPENDENCYPART_ARC
(16,7),-0.776123 # DEPENDENCYPART_ARC
(16,8),0.214906 # DEPENDENCYPART_ARC
(16,9),-0.861857 # DEPENDENCYPART_ARC
(16,10),-1.56847 # DEPENDENCYPART_ARC
(16,11),-0.919148 # DEPENDENCYPART_ARC
(16,12),-0.283234 # DEPENDENCYPART_ARC
(16,13),0.145268 # DEPENDENCYPART_ARC
(16,14),0.141102 # DEPENDENCYPART_ARC
(16,15),0.355418 # DEPENDENCYPART_ARC
(16,17),-0.120322 # DEPENDENCYPART_ARC
(16,18),0.0705768 # DEPENDENCYPART_ARC
(16,19),-0.289298 # DEPENDENCYPART_ARC
(17,1),0.375724 # DEPENDENCYPART_ARC
(17,2),-0.720431 # DEPENDENCYPART_ARC
(17,3),-0.218477 # DEPENDENCYPART_ARC
(17,4),-1.35223 # DEPENDENCYPART_ARC
(17,5),1.04322 # DEPENDENCYPART_ARC
(17,6),-0.464889 # DEPENDENCYPART_ARC
(17,7),0.0182811 # DEPENDENCYPART_ARC
(17,8),-0.361164 # DEPENDENCYPART_ARC
(17,9),0.376024 # DEPENDENCYPART_ARC
(17,10),-1.05857 # DEPENDENCYPART_ARC
(17,11),-0.836002 # DEPENDENCYPART_ARC
(17,12),0.894719 # DEPENDENCYPART_ARC
(17,13),0.675487 # DEPENDENCYPART_ARC
(17,14),-0.945487 # DEPENDENCYPART_ARC
(17,15),0.922412 # DEPENDENCYPART_ARC
(17,16),3.19226 # DEPENDENCYPART_ARC
(17,18),0.829557 # DEPENDENCYPART_ARC
(17,19),-0.836715 # DEPENDENCYPART_ARC
(18,1),-0.206324 # DEPENDENCYPART_ARC
(18,2),-0.398336 # DEPENDENCYPART_ARC
(18,3),-0.0169451 # DEPENDENCYPART_ARC
(18,4),-0.542059 # DEPENDENCYPART_ARC
(18,5),0.0670497 # DEPENDENCYPART_ARC
(18,6),-0.319253 # DEPENDENCYPART_ARC
(18,7),0.320139 # DEPENDENCYPART_ARC
(18,8),-0.23794 # DEPENDENCYPART_ARC
(18,9),0.497673 # DEPENDENCYPART_ARC
(18,10),-0.0890571 # DEPENDENCYPART_ARC
(18,11),-0.256893 # DEPENDENCYPART_ARC
(18,12),0.35742 # DEPENDENCYPART_ARC
(18,13),0.663652 # DEPENDENCYPART_ARC
(18,14),0.0881255 # DEPENDENCYPART_ARC
(18,15),0.446097 # DEPENDENCYPART_ARC
(18,16),1.92857 # DEPENDENCYPART_ARC
(18,17),2.93538 # DEPENDENCYPART_ARC
(18,19),-0.444886 # DEPENDENCYPART_ARC
(19,1),-0.52862 # DEPENDENCYPART_ARC
(19,2),-0.411666 # DEPENDENCYPART_ARC
(19,3),-0.919822 # DEPENDENCYPART_ARC
(19,4),-1.07344 # DEPENDENCYPART_ARC
(19,5),-0.273021 # DEPENDENCYPART_ARC
(19,6),-0.259657 # DEPENDENCYPART_ARC
(19,7),-0.497922 # DEPENDENCYPART_ARC
(19,8),0.0649513 # DEPENDENCYPART_ARC
(19,9),0.213873 # DEPENDENCYPART_ARC
(19,10),-0.780208 # DEPENDENCYPART_ARC
(19,11),0.794145 # DEPENDENCYPART_ARC
(19,12),-0.24792 # DEPENDENCYPART_ARC
(19,13),-0.20853 # DEPENDENCYPART_ARC
(19,14),-1.4722 # DEPENDENCYPART_ARC
(19,15),1.43405 # DEPENDENCYPART_ARC
(19,16),0.17405 # DEPENDENCYPART_ARC
(19,17),0.122003 # DEPENDENCYPART_ARC
(19,18),0.246442 # DEPENDENCYPART_ARC
