# _root_ " Bankalar öyle bir izlenim yarattı ki sanki _ _ verilen hizmetler hava , su gibi _ _ ücretsiz _ olabilir " _ diyen Demiray , bundan_sonra _ _ verilen hizmetlerden ücret _ alınacağını _ bildirdi .
#goldHeads=0,6,5,5,6,7,8,20,10,11,12,20,16,0,16,18,18,19,20,21,22,23,24,25,35,0,30,29,30,31,33,33,34,35,36,37,0,
#predictedHeads=0,6,5,5,6,11,6,10,10,11,12,13,14,0,16,17,18,19,21,21,22,0,24,25,36,0,30,29,30,31,33,34,34,36,36,37,0,
(1,12),-1.33979 # DEPENDENCYPART_ARC
(1,13),-1.27144 # DEPENDENCYPART_ARC
(1,14),-1.65249 # DEPENDENCYPART_ARC
(1,15),-1.34892 # DEPENDENCYPART_ARC
(1,16),-0.536227 # DEPENDENCYPART_ARC
(1,17),-1.68881 # DEPENDENCYPART_ARC
(1,18),-1.82406 # DEPENDENCYPART_ARC
(1,19),-1.55224 # DEPENDENCYPART_ARC
(1,20),-1.65289 # DEPENDENCYPART_ARC
(1,21),-1.46131 # DEPENDENCYPART_ARC
(1,22),-2.35784 # DEPENDENCYPART_ARC
(1,23),-2.03952 # DEPENDENCYPART_ARC
(1,24),-1.75047 # DEPENDENCYPART_ARC
(1,25),-1.81844 # DEPENDENCYPART_ARC
(1,26),-2.57166 # DEPENDENCYPART_ARC
(1,27),-0.981586 # DEPENDENCYPART_ARC
(1,28),-2.19221 # DEPENDENCYPART_ARC
(1,29),-2.24693 # DEPENDENCYPART_ARC
(1,30),-1.78914 # DEPENDENCYPART_ARC
(1,31),-1.85727 # DEPENDENCYPART_ARC
(1,32),-1.63997 # DEPENDENCYPART_ARC
(1,33),-2.47539 # DEPENDENCYPART_ARC
(1,34),-1.73082 # DEPENDENCYPART_ARC
(1,35),-2.43403 # DEPENDENCYPART_ARC
(1,36),-2.18732 # DEPENDENCYPART_ARC
(1,37),-4.4091 # DEPENDENCYPART_ARC
(2,1),1.10455 # DEPENDENCYPART_ARC
(2,3),-0.0402265 # DEPENDENCYPART_ARC
(2,4),-0.37317 # DEPENDENCYPART_ARC
(2,5),-0.556101 # DEPENDENCYPART_ARC
(2,6),-1.61837 # DEPENDENCYPART_ARC
(2,7),-0.703197 # DEPENDENCYPART_ARC
(2,8),-1.12789 # DEPENDENCYPART_ARC
(2,9),-1.29551 # DEPENDENCYPART_ARC
(2,10),-1.62246 # DEPENDENCYPART_ARC
(2,11),-0.95568 # DEPENDENCYPART_ARC
(2,12),-1.57541 # DEPENDENCYPART_ARC
(2,13),-1.60693 # DEPENDENCYPART_ARC
(2,14),-1.06245 # DEPENDENCYPART_ARC
(2,15),-2.06786 # DEPENDENCYPART_ARC
(2,16),-1.0643 # DEPENDENCYPART_ARC
(2,17),-2.31185 # DEPENDENCYPART_ARC
(2,18),-1.94302 # DEPENDENCYPART_ARC
(2,19),-2.41091 # DEPENDENCYPART_ARC
(2,20),-2.15471 # DEPENDENCYPART_ARC
(2,21),-2.15694 # DEPENDENCYPART_ARC
(2,22),-1.86507 # DEPENDENCYPART_ARC
(2,23),-2.27858 # DEPENDENCYPART_ARC
(2,24),-1.52617 # DEPENDENCYPART_ARC
(2,25),-2.6446 # DEPENDENCYPART_ARC
(2,26),-1.58159 # DEPENDENCYPART_ARC
(2,27),-1.44992 # DEPENDENCYPART_ARC
(2,28),-2.06777 # DEPENDENCYPART_ARC
(2,29),-2.38329 # DEPENDENCYPART_ARC
(2,30),-1.61766 # DEPENDENCYPART_ARC
(2,31),-4.09011 # DEPENDENCYPART_ARC
(2,32),-3.21773 # DEPENDENCYPART_ARC
(2,33),-2.48839 # DEPENDENCYPART_ARC
(2,34),-3.75288 # DEPENDENCYPART_ARC
(2,35),-2.2957 # DEPENDENCYPART_ARC
(2,36),-2.66012 # DEPENDENCYPART_ARC
(2,37),-2.79233 # DEPENDENCYPART_ARC
(3,1),0.00385186 # DEPENDENCYPART_ARC
(3,2),0.67191 # DEPENDENCYPART_ARC
(3,4),0.0294546 # DEPENDENCYPART_ARC
(3,5),-0.647042 # DEPENDENCYPART_ARC
(3,6),-0.61218 # DEPENDENCYPART_ARC
(3,7),-0.373307 # DEPENDENCYPART_ARC
(3,8),-0.984192 # DEPENDENCYPART_ARC
(3,9),-1.02529 # DEPENDENCYPART_ARC
(3,10),-1.04131 # DEPENDENCYPART_ARC
(3,11),-1.30293 # DEPENDENCYPART_ARC
(3,12),-1.28643 # DEPENDENCYPART_ARC
(3,13),-1.39179 # DEPENDENCYPART_ARC
(3,14),-1.20517 # DEPENDENCYPART_ARC
(3,15),-1.81094 # DEPENDENCYPART_ARC
(3,16),-1.28461 # DEPENDENCYPART_ARC
(3,17),-1.85022 # DEPENDENCYPART_ARC
(3,18),-1.743 # DEPENDENCYPART_ARC
(3,19),-1.98676 # DEPENDENCYPART_ARC
(3,20),-1.65075 # DEPENDENCYPART_ARC
(3,21),-1.63523 # DEPENDENCYPART_ARC
(3,22),-1.63047 # DEPENDENCYPART_ARC
(3,23),-1.73795 # DEPENDENCYPART_ARC
(3,24),-1.90284 # DEPENDENCYPART_ARC
(3,25),-2.20194 # DEPENDENCYPART_ARC
(3,26),-1.87111 # DEPENDENCYPART_ARC
(3,27),-1.40674 # DEPENDENCYPART_ARC
(3,28),-1.86433 # DEPENDENCYPART_ARC
(3,29),-1.88184 # DEPENDENCYPART_ARC
(3,30),-2.10524 # DEPENDENCYPART_ARC
(3,31),-2.41721 # DEPENDENCYPART_ARC
(3,32),-2.43369 # DEPENDENCYPART_ARC
(3,33),-2.03669 # DEPENDENCYPART_ARC
(3,34),-2.43187 # DEPENDENCYPART_ARC
(3,35),-2.08137 # DEPENDENCYPART_ARC
(3,36),-2.11454 # DEPENDENCYPART_ARC
(3,37),-2.70625 # DEPENDENCYPART_ARC
(4,1),-0.207361 # DEPENDENCYPART_ARC
(4,2),-0.193537 # DEPENDENCYPART_ARC
(4,3),0.505007 # DEPENDENCYPART_ARC
(4,5),0.120899 # DEPENDENCYPART_ARC
(4,6),-0.0778806 # DEPENDENCYPART_ARC
(4,7),0.0905377 # DEPENDENCYPART_ARC
(4,8),-0.377968 # DEPENDENCYPART_ARC
(4,9),-0.581978 # DEPENDENCYPART_ARC
(4,10),-0.51321 # DEPENDENCYPART_ARC
(4,11),-0.726766 # DEPENDENCYPART_ARC
(4,12),-0.834376 # DEPENDENCYPART_ARC
(4,13),-0.755657 # DEPENDENCYPART_ARC
(4,14),-0.637305 # DEPENDENCYPART_ARC
(4,15),-1.16917 # DEPENDENCYPART_ARC
(4,16),-0.717691 # DEPENDENCYPART_ARC
(4,17),-1.30376 # DEPENDENCYPART_ARC
(4,18),-1.11853 # DEPENDENCYPART_ARC
(4,19),-1.28127 # DEPENDENCYPART_ARC
(4,20),-1.18276 # DEPENDENCYPART_ARC
(4,21),-1.12993 # DEPENDENCYPART_ARC
(4,22),-1.1282 # DEPENDENCYPART_ARC
(4,23),-1.16945 # DEPENDENCYPART_ARC
(4,24),-1.21994 # DEPENDENCYPART_ARC
(4,25),-1.39903 # DEPENDENCYPART_ARC
(4,26),-1.28546 # DEPENDENCYPART_ARC
(4,27),-0.962964 # DEPENDENCYPART_ARC
(4,28),-1.39169 # DEPENDENCYPART_ARC
(4,29),-1.32939 # DEPENDENCYPART_ARC
(4,30),-1.38473 # DEPENDENCYPART_ARC
(4,31),-1.52211 # DEPENDENCYPART_ARC
(4,32),-1.59124 # DEPENDENCYPART_ARC
(4,33),-1.50638 # DEPENDENCYPART_ARC
(4,34),-1.51404 # DEPENDENCYPART_ARC
(4,35),-1.51012 # DEPENDENCYPART_ARC
(4,36),-1.51429 # DEPENDENCYPART_ARC
(4,37),-1.86193 # DEPENDENCYPART_ARC
(5,1),-0.0305783 # DEPENDENCYPART_ARC
(5,2),0.878511 # DEPENDENCYPART_ARC
(5,3),1.22331 # DEPENDENCYPART_ARC
(5,4),2.91439 # DEPENDENCYPART_ARC
(5,6),-0.346255 # DEPENDENCYPART_ARC
(5,7),0.429703 # DEPENDENCYPART_ARC
(5,8),-0.330285 # DEPENDENCYPART_ARC
(5,9),-0.387954 # DEPENDENCYPART_ARC
(5,10),-0.834037 # DEPENDENCYPART_ARC
(5,11),-0.312522 # DEPENDENCYPART_ARC
(5,12),-0.90909 # DEPENDENCYPART_ARC
(5,13),-0.948172 # DEPENDENCYPART_ARC
(5,14),-0.527689 # DEPENDENCYPART_ARC
(5,15),-1.1815 # DEPENDENCYPART_ARC
(5,16),-0.392771 # DEPENDENCYPART_ARC
(5,17),-1.76311 # DEPENDENCYPART_ARC
(5,18),-1.44196 # DEPENDENCYPART_ARC
(5,19),-1.83063 # DEPENDENCYPART_ARC
(5,20),-1.36043 # DEPENDENCYPART_ARC
(5,21),-1.50533 # DEPENDENCYPART_ARC
(5,22),-1.32897 # DEPENDENCYPART_ARC
(5,23),-1.56475 # DEPENDENCYPART_ARC
(5,24),-0.713246 # DEPENDENCYPART_ARC
(5,25),-1.96045 # DEPENDENCYPART_ARC
(5,26),-1.12726 # DEPENDENCYPART_ARC
(5,27),-0.866481 # DEPENDENCYPART_ARC
(5,28),-1.46331 # DEPENDENCYPART_ARC
(5,29),-1.74692 # DEPENDENCYPART_ARC
(5,30),-0.864147 # DEPENDENCYPART_ARC
(5,31),-3.59575 # DEPENDENCYPART_ARC
(5,32),-2.75099 # DEPENDENCYPART_ARC
(5,33),-1.80539 # DEPENDENCYPART_ARC
(5,34),-3.16264 # DEPENDENCYPART_ARC
(5,35),-1.46205 # DEPENDENCYPART_ARC
(5,36),-2.01367 # DEPENDENCYPART_ARC
(5,37),-2.3167 # DEPENDENCYPART_ARC
(6,1),0.361253 # DEPENDENCYPART_ARC
(6,2),1.62932 # DEPENDENCYPART_ARC
(6,3),1.19087 # DEPENDENCYPART_ARC
(6,4),0.926557 # DEPENDENCYPART_ARC
(6,5),3.3714 # DEPENDENCYPART_ARC
(6,7),2.41028 # DEPENDENCYPART_ARC
(6,8),0.882928 # DEPENDENCYPART_ARC
(6,9),0.220978 # DEPENDENCYPART_ARC
(6,10),0.0795676 # DEPENDENCYPART_ARC
(6,11),0.00709169 # DEPENDENCYPART_ARC
(6,12),0.906765 # DEPENDENCYPART_ARC
(6,13),1.05498 # DEPENDENCYPART_ARC
(6,14),-0.143682 # DEPENDENCYPART_ARC
(6,15),-0.243576 # DEPENDENCYPART_ARC
(6,16),1.18568 # DEPENDENCYPART_ARC
(6,17),-0.928641 # DEPENDENCYPART_ARC
(6,18),-1.48818 # DEPENDENCYPART_ARC
(6,19),-0.813375 # DEPENDENCYPART_ARC
(6,20),-0.699523 # DEPENDENCYPART_ARC
(6,21),0.0719615 # DEPENDENCYPART_ARC
(6,22),-0.467195 # DEPENDENCYPART_ARC
(6,23),-1.05088 # DEPENDENCYPART_ARC
(6,24),-1.23811 # DEPENDENCYPART_ARC
(6,25),-0.550129 # DEPENDENCYPART_ARC
(6,26),-0.607439 # DEPENDENCYPART_ARC
(6,27),0.471862 # DEPENDENCYPART_ARC
(6,28),-1.2334 # DEPENDENCYPART_ARC
(6,29),-1.4535 # DEPENDENCYPART_ARC
(6,30),-1.55168 # DEPENDENCYPART_ARC
(6,31),-1.64602 # DEPENDENCYPART_ARC
(6,32),-1.64235 # DEPENDENCYPART_ARC
(6,33),-1.70693 # DEPENDENCYPART_ARC
(6,34),-1.58373 # DEPENDENCYPART_ARC
(6,35),-1.53587 # DEPENDENCYPART_ARC
(6,36),-0.516164 # DEPENDENCYPART_ARC
(6,37),-1.50154 # DEPENDENCYPART_ARC
(7,1),-1.00442 # DEPENDENCYPART_ARC
(7,2),-1.06892 # DEPENDENCYPART_ARC
(7,3),-0.824271 # DEPENDENCYPART_ARC
(7,4),-0.778435 # DEPENDENCYPART_ARC
(7,5),-0.204196 # DEPENDENCYPART_ARC
(7,6),0.989994 # DEPENDENCYPART_ARC
(7,8),0.194973 # DEPENDENCYPART_ARC
(7,9),-0.370546 # DEPENDENCYPART_ARC
(7,10),-0.472454 # DEPENDENCYPART_ARC
(7,11),-0.503233 # DEPENDENCYPART_ARC
(7,12),-0.807984 # DEPENDENCYPART_ARC
(7,13),-0.6676 # DEPENDENCYPART_ARC
(7,14),-0.630347 # DEPENDENCYPART_ARC
(7,15),-0.943817 # DEPENDENCYPART_ARC
(7,16),-0.485746 # DEPENDENCYPART_ARC
(7,17),-0.847799 # DEPENDENCYPART_ARC
(7,18),-0.996292 # DEPENDENCYPART_ARC
(7,19),-1.09462 # DEPENDENCYPART_ARC
(7,20),-1.12975 # DEPENDENCYPART_ARC
(7,21),-1.05708 # DEPENDENCYPART_ARC
(7,22),-1.12292 # DEPENDENCYPART_ARC
(7,23),-1.05783 # DEPENDENCYPART_ARC
(7,24),-1.15904 # DEPENDENCYPART_ARC
(7,25),-1.29783 # DEPENDENCYPART_ARC
(7,26),-1.23144 # DEPENDENCYPART_ARC
(7,27),-0.886572 # DEPENDENCYPART_ARC
(7,28),-1.31025 # DEPENDENCYPART_ARC
(7,29),-1.28417 # DEPENDENCYPART_ARC
(7,30),-1.28023 # DEPENDENCYPART_ARC
(7,31),-1.41604 # DEPENDENCYPART_ARC
(7,32),-1.28907 # DEPENDENCYPART_ARC
(7,33),-1.30573 # DEPENDENCYPART_ARC
(7,34),-1.40674 # DEPENDENCYPART_ARC
(7,35),-1.45364 # DEPENDENCYPART_ARC
(7,36),-1.35245 # DEPENDENCYPART_ARC
(7,37),-2.20331 # DEPENDENCYPART_ARC
(8,1),-0.810428 # DEPENDENCYPART_ARC
(8,2),-0.964062 # DEPENDENCYPART_ARC
(8,3),-0.705634 # DEPENDENCYPART_ARC
(8,4),-0.849402 # DEPENDENCYPART_ARC
(8,5),-0.490954 # DEPENDENCYPART_ARC
(8,6),-0.626641 # DEPENDENCYPART_ARC
(8,7),-0.222547 # DEPENDENCYPART_ARC
(8,9),-0.0476644 # DEPENDENCYPART_ARC
(8,10),-0.345322 # DEPENDENCYPART_ARC
(8,11),-0.617087 # DEPENDENCYPART_ARC
(8,12),-0.722494 # DEPENDENCYPART_ARC
(8,13),-0.945157 # DEPENDENCYPART_ARC
(8,14),-0.654171 # DEPENDENCYPART_ARC
(8,15),-1.12483 # DEPENDENCYPART_ARC
(8,16),-0.723561 # DEPENDENCYPART_ARC
(8,17),-1.12846 # DEPENDENCYPART_ARC
(8,18),-1.11639 # DEPENDENCYPART_ARC
(8,19),-1.45309 # DEPENDENCYPART_ARC
(8,20),-1.15256 # DEPENDENCYPART_ARC
(8,21),-1.33544 # DEPENDENCYPART_ARC
(8,22),-1.09023 # DEPENDENCYPART_ARC
(8,23),-1.22357 # DEPENDENCYPART_ARC
(8,24),-1.50793 # DEPENDENCYPART_ARC
(8,25),-1.74329 # DEPENDENCYPART_ARC
(8,26),-1.341 # DEPENDENCYPART_ARC
(8,27),-0.941521 # DEPENDENCYPART_ARC
(8,28),-1.45227 # DEPENDENCYPART_ARC
(8,29),-1.5168 # DEPENDENCYPART_ARC
(8,30),-1.66281 # DEPENDENCYPART_ARC
(8,31),-1.96513 # DEPENDENCYPART_ARC
(8,32),-1.98792 # DEPENDENCYPART_ARC
(8,33),-1.57189 # DEPENDENCYPART_ARC
(8,34),-2.05042 # DEPENDENCYPART_ARC
(8,35),-1.71174 # DEPENDENCYPART_ARC
(8,36),-1.74305 # DEPENDENCYPART_ARC
(8,37),-2.23102 # DEPENDENCYPART_ARC
(9,1),0.0925507 # DEPENDENCYPART_ARC
(9,2),0.550193 # DEPENDENCYPART_ARC
(9,3),-0.04697 # DEPENDENCYPART_ARC
(9,4),-0.630784 # DEPENDENCYPART_ARC
(9,5),0.588189 # DEPENDENCYPART_ARC
(9,6),0.292916 # DEPENDENCYPART_ARC
(9,7),0.019136 # DEPENDENCYPART_ARC
(9,8),1.32965 # DEPENDENCYPART_ARC
(9,10),0.50823 # DEPENDENCYPART_ARC
(9,11),0.30243 # DEPENDENCYPART_ARC
(9,12),0.346772 # DEPENDENCYPART_ARC
(9,13),0.509444 # DEPENDENCYPART_ARC
(9,14),-0.0758146 # DEPENDENCYPART_ARC
(9,15),-1.03135 # DEPENDENCYPART_ARC
(9,16),-0.0852007 # DEPENDENCYPART_ARC
(9,17),-1.67324 # DEPENDENCYPART_ARC
(9,18),-1.42201 # DEPENDENCYPART_ARC
(9,19),-1.53414 # DEPENDENCYPART_ARC
(9,20),-1.02896 # DEPENDENCYPART_ARC
(9,21),-0.351428 # DEPENDENCYPART_ARC
(9,22),-0.771478 # DEPENDENCYPART_ARC
(9,23),-1.21585 # DEPENDENCYPART_ARC
(9,24),-1.30222 # DEPENDENCYPART_ARC
(9,25),-1.51561 # DEPENDENCYPART_ARC
(9,26),-0.844505 # DEPENDENCYPART_ARC
(9,27),-0.51073 # DEPENDENCYPART_ARC
(9,28),-1.55452 # DEPENDENCYPART_ARC
(9,29),-1.98344 # DEPENDENCYPART_ARC
(9,30),-1.72531 # DEPENDENCYPART_ARC
(9,31),-2.27267 # DEPENDENCYPART_ARC
(9,32),-2.73367 # DEPENDENCYPART_ARC
(9,33),-2.36482 # DEPENDENCYPART_ARC
(9,34),-2.67239 # DEPENDENCYPART_ARC
(9,35),-2.45879 # DEPENDENCYPART_ARC
(9,36),-1.17776 # DEPENDENCYPART_ARC
(9,37),-2.18144 # DEPENDENCYPART_ARC
(10,1),0.165615 # DEPENDENCYPART_ARC
(10,2),0.704682 # DEPENDENCYPART_ARC
(10,3),0.630678 # DEPENDENCYPART_ARC
(10,4),-0.298315 # DEPENDENCYPART_ARC
(10,5),1.26179 # DEPENDENCYPART_ARC
(10,6),-0.105792 # DEPENDENCYPART_ARC
(10,7),0.257401 # DEPENDENCYPART_ARC
(10,8),1.52011 # DEPENDENCYPART_ARC
(10,9),2.97354 # DEPENDENCYPART_ARC
(10,11),0.222155 # DEPENDENCYPART_ARC
(10,12),-0.21107 # DEPENDENCYPART_ARC
(10,13),-0.513915 # DEPENDENCYPART_ARC
(10,14),-0.295375 # DEPENDENCYPART_ARC
(10,15),-2.10711 # DEPENDENCYPART_ARC
(10,16),-0.493887 # DEPENDENCYPART_ARC
(10,17),-2.71428 # DEPENDENCYPART_ARC
(10,18),-1.95073 # DEPENDENCYPART_ARC
(10,19),-2.63257 # DEPENDENCYPART_ARC
(10,20),-1.39538 # DEPENDENCYPART_ARC
(10,21),-0.824981 # DEPENDENCYPART_ARC
(10,22),-0.961457 # DEPENDENCYPART_ARC
(10,23),-1.85127 # DEPENDENCYPART_ARC
(10,24),-1.67533 # DEPENDENCYPART_ARC
(10,25),-2.43925 # DEPENDENCYPART_ARC
(10,26),-1.13094 # DEPENDENCYPART_ARC
(10,27),-0.865919 # DEPENDENCYPART_ARC
(10,28),-2.04055 # DEPENDENCYPART_ARC
(10,29),-2.17615 # DEPENDENCYPART_ARC
(10,30),-2.04944 # DEPENDENCYPART_ARC
(10,31),-2.94953 # DEPENDENCYPART_ARC
(10,32),-3.65292 # DEPENDENCYPART_ARC
(10,33),-2.95617 # DEPENDENCYPART_ARC
(10,34),-3.02344 # DEPENDENCYPART_ARC
(10,35),-2.79641 # DEPENDENCYPART_ARC
(10,36),-1.67365 # DEPENDENCYPART_ARC
(10,37),-2.49666 # DEPENDENCYPART_ARC
(11,1),0.804155 # DEPENDENCYPART_ARC
(11,2),0.700057 # DEPENDENCYPART_ARC
(11,3),0.72988 # DEPENDENCYPART_ARC
(11,4),0.286449 # DEPENDENCYPART_ARC
(11,5),0.921007 # DEPENDENCYPART_ARC
(11,6),0.595786 # DEPENDENCYPART_ARC
(11,7),0.529123 # DEPENDENCYPART_ARC
(11,8),1.385 # DEPENDENCYPART_ARC
(11,9),1.21851 # DEPENDENCYPART_ARC
(11,10),2.9714 # DEPENDENCYPART_ARC
(11,12),-0.302776 # DEPENDENCYPART_ARC
(11,13),-0.563204 # DEPENDENCYPART_ARC
(11,14),-0.955561 # DEPENDENCYPART_ARC
(11,15),-1.11602 # DEPENDENCYPART_ARC
(11,16),-1.22279 # DEPENDENCYPART_ARC
(11,17),-1.3802 # DEPENDENCYPART_ARC
(11,18),-1.70456 # DEPENDENCYPART_ARC
(11,19),-1.61661 # DEPENDENCYPART_ARC
(11,20),-1.4608 # DEPENDENCYPART_ARC
(11,21),-1.41777 # DEPENDENCYPART_ARC
(11,22),-1.36517 # DEPENDENCYPART_ARC
(11,23),-1.58846 # DEPENDENCYPART_ARC
(11,24),-1.93974 # DEPENDENCYPART_ARC
(11,25),-1.75765 # DEPENDENCYPART_ARC
(11,26),-1.54624 # DEPENDENCYPART_ARC
(11,27),-1.38752 # DEPENDENCYPART_ARC
(11,28),-1.80378 # DEPENDENCYPART_ARC
(11,29),-1.77214 # DEPENDENCYPART_ARC
(11,30),-2.00318 # DEPENDENCYPART_ARC
(11,31),-1.97829 # DEPENDENCYPART_ARC
(11,32),-2.04999 # DEPENDENCYPART_ARC
(11,33),-2.04967 # DEPENDENCYPART_ARC
(11,34),-2.01651 # DEPENDENCYPART_ARC
(11,35),-2.06819 # DEPENDENCYPART_ARC
(11,36),-1.9452 # DEPENDENCYPART_ARC
(11,37),-1.87919 # DEPENDENCYPART_ARC
(12,1),0.0712258 # DEPENDENCYPART_ARC
(12,2),-0.723391 # DEPENDENCYPART_ARC
(12,3),0.486809 # DEPENDENCYPART_ARC
(12,4),0.107394 # DEPENDENCYPART_ARC
(12,5),-0.0118005 # DEPENDENCYPART_ARC
(12,6),-0.466976 # DEPENDENCYPART_ARC
(12,7),-0.394641 # DEPENDENCYPART_ARC
(12,8),0.340231 # DEPENDENCYPART_ARC
(12,9),-0.520356 # DEPENDENCYPART_ARC
(12,10),0.39215 # DEPENDENCYPART_ARC
(12,11),2.61514 # DEPENDENCYPART_ARC
(12,13),0.635077 # DEPENDENCYPART_ARC
(12,14),0.12131 # DEPENDENCYPART_ARC
(12,15),-0.350105 # DEPENDENCYPART_ARC
(12,16),-0.311903 # DEPENDENCYPART_ARC
(12,17),-0.908846 # DEPENDENCYPART_ARC
(12,18),-1.11391 # DEPENDENCYPART_ARC
(12,19),-1.05777 # DEPENDENCYPART_ARC
(12,20),-1.19166 # DEPENDENCYPART_ARC
(12,21),-1.22248 # DEPENDENCYPART_ARC
(12,22),-0.700411 # DEPENDENCYPART_ARC
(12,23),-1.24533 # DEPENDENCYPART_ARC
(12,24),-0.774777 # DEPENDENCYPART_ARC
(12,25),-1.32524 # DEPENDENCYPART_ARC
(12,26),-0.744982 # DEPENDENCYPART_ARC
(12,27),-0.773371 # DEPENDENCYPART_ARC
(12,28),-1.21204 # DEPENDENCYPART_ARC
(12,29),-1.44559 # DEPENDENCYPART_ARC
(12,30),-0.885386 # DEPENDENCYPART_ARC
(12,31),-2.86163 # DEPENDENCYPART_ARC
(12,32),-2.11596 # DEPENDENCYPART_ARC
(12,33),-1.64371 # DEPENDENCYPART_ARC
(12,34),-2.65523 # DEPENDENCYPART_ARC
(12,35),-1.45454 # DEPENDENCYPART_ARC
(12,36),-1.92982 # DEPENDENCYPART_ARC
(12,37),-1.79158 # DEPENDENCYPART_ARC
(13,1),0.123144 # DEPENDENCYPART_ARC
(13,2),-0.87991 # DEPENDENCYPART_ARC
(13,3),0.0504744 # DEPENDENCYPART_ARC
(13,4),-0.39291 # DEPENDENCYPART_ARC
(13,5),-0.92951 # DEPENDENCYPART_ARC
(13,6),-0.824172 # DEPENDENCYPART_ARC
(13,7),-0.5954 # DEPENDENCYPART_ARC
(13,8),-0.224542 # DEPENDENCYPART_ARC
(13,9),-1.56096 # DEPENDENCYPART_ARC
(13,10),-0.955416 # DEPENDENCYPART_ARC
(13,11),1.55191 # DEPENDENCYPART_ARC
(13,12),1.48737 # DEPENDENCYPART_ARC
(13,14),0.135226 # DEPENDENCYPART_ARC
(13,15),-0.222298 # DEPENDENCYPART_ARC
(13,16),-0.417875 # DEPENDENCYPART_ARC
(13,17),-1.00194 # DEPENDENCYPART_ARC
(13,18),-1.24994 # DEPENDENCYPART_ARC
(13,19),-1.35578 # DEPENDENCYPART_ARC
(13,20),-1.36707 # DEPENDENCYPART_ARC
(13,21),-1.58928 # DEPENDENCYPART_ARC
(13,22),-0.918406 # DEPENDENCYPART_ARC
(13,23),-1.30733 # DEPENDENCYPART_ARC
(13,24),-0.911393 # DEPENDENCYPART_ARC
(13,25),-1.64329 # DEPENDENCYPART_ARC
(13,26),-1.12086 # DEPENDENCYPART_ARC
(13,27),-0.87533 # DEPENDENCYPART_ARC
(13,28),-1.40029 # DEPENDENCYPART_ARC
(13,29),-1.66331 # DEPENDENCYPART_ARC
(13,30),-1.01891 # DEPENDENCYPART_ARC
(13,31),-3.17349 # DEPENDENCYPART_ARC
(13,32),-2.31659 # DEPENDENCYPART_ARC
