# _root_ Hannes_Alfven : Big_bang bir _ söylencedir , _ _ haksızlık etmeyelim , belki de iyi bir söylence .
#goldHeads=5,0,6,5,6,7,17,9,10,11,17,0,17,13,17,17,2,0,
#predictedHeads=6,0,6,5,6,7,11,9,10,11,12,0,17,13,17,17,18,0,
(1,17),-1.7416 # DEPENDENCYPART_ARC
(1,18),-1.57474 # DEPENDENCYPART_ARC
(2,1),0.794089 # DEPENDENCYPART_ARC
(2,3),0.50303 # DEPENDENCYPART_ARC
(2,4),0.010249 # DEPENDENCYPART_ARC
(2,5),0.100673 # DEPENDENCYPART_ARC
(2,6),0.399397 # DEPENDENCYPART_ARC
(2,7),-0.20962 # DEPENDENCYPART_ARC
(2,8),-0.00704327 # DEPENDENCYPART_ARC
(2,9),-0.619991 # DEPENDENCYPART_ARC
(2,10),-0.0293866 # DEPENDENCYPART_ARC
(2,11),0.239242 # DEPENDENCYPART_ARC
(2,12),-0.398367 # DEPENDENCYPART_ARC
(2,13),-0.359867 # DEPENDENCYPART_ARC
(2,14),-0.553749 # DEPENDENCYPART_ARC
(2,15),-0.970189 # DEPENDENCYPART_ARC
(2,16),-0.613622 # DEPENDENCYPART_ARC
(2,17),-0.617494 # DEPENDENCYPART_ARC
(2,18),0.200091 # DEPENDENCYPART_ARC
(3,1),-0.331551 # DEPENDENCYPART_ARC
(3,2),0.795464 # DEPENDENCYPART_ARC
(3,4),0.0575573 # DEPENDENCYPART_ARC
(3,5),-0.170776 # DEPENDENCYPART_ARC
(3,6),-1.35049 # DEPENDENCYPART_ARC
(3,7),-0.382723 # DEPENDENCYPART_ARC
(3,8),-1.12064 # DEPENDENCYPART_ARC
(3,9),-1.22472 # DEPENDENCYPART_ARC
(3,10),-1.21264 # DEPENDENCYPART_ARC
(3,11),-1.75839 # DEPENDENCYPART_ARC
(3,12),-0.734686 # DEPENDENCYPART_ARC
(3,13),-0.985995 # DEPENDENCYPART_ARC
(3,14),-0.846667 # DEPENDENCYPART_ARC
(3,15),-1.35833 # DEPENDENCYPART_ARC
(3,16),-1.01606 # DEPENDENCYPART_ARC
(3,17),-1.66497 # DEPENDENCYPART_ARC
(3,18),-1.64424 # DEPENDENCYPART_ARC
(4,1),-0.981462 # DEPENDENCYPART_ARC
(4,2),-0.521796 # DEPENDENCYPART_ARC
(4,3),0.183383 # DEPENDENCYPART_ARC
(4,5),-0.0117123 # DEPENDENCYPART_ARC
(4,6),-0.215886 # DEPENDENCYPART_ARC
(4,7),-0.286813 # DEPENDENCYPART_ARC
(4,8),-0.700913 # DEPENDENCYPART_ARC
(4,9),-0.843302 # DEPENDENCYPART_ARC
(4,10),-0.845996 # DEPENDENCYPART_ARC
(4,11),-0.772511 # DEPENDENCYPART_ARC
(4,12),-0.755324 # DEPENDENCYPART_ARC
(4,13),-0.534242 # DEPENDENCYPART_ARC
(4,14),-0.421398 # DEPENDENCYPART_ARC
(4,15),-1.16807 # DEPENDENCYPART_ARC
(4,16),-0.934993 # DEPENDENCYPART_ARC
(4,17),-1.43125 # DEPENDENCYPART_ARC
(4,18),-1.11813 # DEPENDENCYPART_ARC
(5,1),-0.313805 # DEPENDENCYPART_ARC
(5,2),0.939092 # DEPENDENCYPART_ARC
(5,3),1.7195 # DEPENDENCYPART_ARC
(5,4),2.41416 # DEPENDENCYPART_ARC
(5,6),0.413126 # DEPENDENCYPART_ARC
(5,7),0.663951 # DEPENDENCYPART_ARC
(5,8),-0.0412724 # DEPENDENCYPART_ARC
(5,9),-0.176747 # DEPENDENCYPART_ARC
(5,10),-0.421886 # DEPENDENCYPART_ARC
(5,11),-0.673759 # DEPENDENCYPART_ARC
(5,12),-0.1313 # DEPENDENCYPART_ARC
(5,13),-0.104022 # DEPENDENCYPART_ARC
(5,14),0.33919 # DEPENDENCYPART_ARC
(5,15),-0.32121 # DEPENDENCYPART_ARC
(5,16),-0.163861 # DEPENDENCYPART_ARC
(5,17),-1.21589 # DEPENDENCYPART_ARC
(5,18),-1.15192 # DEPENDENCYPART_ARC
(6,1),1.50005 # DEPENDENCYPART_ARC
(6,2),0.40004 # DEPENDENCYPART_ARC
(6,3),1.92138 # DEPENDENCYPART_ARC
(6,4),1.22664 # DEPENDENCYPART_ARC
(6,5),3.02988 # DEPENDENCYPART_ARC
(6,7),-0.623629 # DEPENDENCYPART_ARC
(6,8),-1.31745 # DEPENDENCYPART_ARC
(6,9),-1.43728 # DEPENDENCYPART_ARC
(6,10),-0.817589 # DEPENDENCYPART_ARC
(6,11),-0.81893 # DEPENDENCYPART_ARC
(6,12),-1.40209 # DEPENDENCYPART_ARC
(6,13),-1.17919 # DEPENDENCYPART_ARC
(6,14),-1.22577 # DEPENDENCYPART_ARC
(6,15),-1.62399 # DEPENDENCYPART_ARC
(6,16),-1.54292 # DEPENDENCYPART_ARC
(6,17),-1.73811 # DEPENDENCYPART_ARC
(6,18),-1.96714 # DEPENDENCYPART_ARC
(7,1),0.20458 # DEPENDENCYPART_ARC
(7,2),-0.00151492 # DEPENDENCYPART_ARC
(7,3),0.650848 # DEPENDENCYPART_ARC
(7,4),0.105887 # DEPENDENCYPART_ARC
(7,5),-0.224365 # DEPENDENCYPART_ARC
(7,6),1.82593 # DEPENDENCYPART_ARC
(7,8),-0.061793 # DEPENDENCYPART_ARC
(7,9),-0.715139 # DEPENDENCYPART_ARC
(7,10),-0.408308 # DEPENDENCYPART_ARC
(7,11),-0.347287 # DEPENDENCYPART_ARC
(7,12),-0.861456 # DEPENDENCYPART_ARC
(7,13),-0.616786 # DEPENDENCYPART_ARC
(7,14),-0.8262 # DEPENDENCYPART_ARC
(7,15),-1.21407 # DEPENDENCYPART_ARC
(7,16),-0.860785 # DEPENDENCYPART_ARC
(7,17),-0.919664 # DEPENDENCYPART_ARC
(7,18),-1.15373 # DEPENDENCYPART_ARC
(8,1),-0.851661 # DEPENDENCYPART_ARC
(8,2),0.0681909 # DEPENDENCYPART_ARC
(8,3),-1.02566 # DEPENDENCYPART_ARC
(8,4),-0.445681 # DEPENDENCYPART_ARC
(8,5),-1.54447 # DEPENDENCYPART_ARC
(8,6),0.0441379 # DEPENDENCYPART_ARC
(8,7),0.596553 # DEPENDENCYPART_ARC
(8,9),0.427539 # DEPENDENCYPART_ARC
(8,10),-0.0526864 # DEPENDENCYPART_ARC
(8,11),-0.739547 # DEPENDENCYPART_ARC
(8,12),0.0970326 # DEPENDENCYPART_ARC
(8,13),-0.327429 # DEPENDENCYPART_ARC
(8,14),0.184639 # DEPENDENCYPART_ARC
(8,15),-0.763831 # DEPENDENCYPART_ARC
(8,16),-0.534477 # DEPENDENCYPART_ARC
(8,17),-1.21278 # DEPENDENCYPART_ARC
(8,18),-0.975259 # DEPENDENCYPART_ARC
(9,1),-0.613729 # DEPENDENCYPART_ARC
(9,2),0.0662362 # DEPENDENCYPART_ARC
(9,3),-0.266584 # DEPENDENCYPART_ARC
(9,4),-0.331778 # DEPENDENCYPART_ARC
(9,5),0.238525 # DEPENDENCYPART_ARC
(9,6),-0.768218 # DEPENDENCYPART_ARC
(9,7),0.287375 # DEPENDENCYPART_ARC
(9,8),3.83455 # DEPENDENCYPART_ARC
(9,10),-0.255047 # DEPENDENCYPART_ARC
(9,11),-0.779785 # DEPENDENCYPART_ARC
(9,12),-0.874697 # DEPENDENCYPART_ARC
(9,13),-0.748606 # DEPENDENCYPART_ARC
(9,14),-0.777528 # DEPENDENCYPART_ARC
(9,15),-1.65755 # DEPENDENCYPART_ARC
(9,16),-1.3698 # DEPENDENCYPART_ARC
(9,17),-1.81499 # DEPENDENCYPART_ARC
(9,18),-1.43944 # DEPENDENCYPART_ARC
(10,1),0.381569 # DEPENDENCYPART_ARC
(10,2),0.45937 # DEPENDENCYPART_ARC
(10,3),0.0465337 # DEPENDENCYPART_ARC
(10,4),0.812673 # DEPENDENCYPART_ARC
(10,5),-1.55353 # DEPENDENCYPART_ARC
(10,6),-0.346525 # DEPENDENCYPART_ARC
(10,7),0.436363 # DEPENDENCYPART_ARC
(10,8),1.60163 # DEPENDENCYPART_ARC
(10,9),2.34221 # DEPENDENCYPART_ARC
(10,11),0.526355 # DEPENDENCYPART_ARC
(10,12),-0.112118 # DEPENDENCYPART_ARC
(10,13),-0.722124 # DEPENDENCYPART_ARC
(10,14),-0.361986 # DEPENDENCYPART_ARC
(10,15),-1.19153 # DEPENDENCYPART_ARC
(10,16),-0.926209 # DEPENDENCYPART_ARC
(10,17),-1.07746 # DEPENDENCYPART_ARC
(10,18),-1.68246 # DEPENDENCYPART_ARC
(11,1),0.865238 # DEPENDENCYPART_ARC
(11,2),0.0258969 # DEPENDENCYPART_ARC
(11,3),0.613836 # DEPENDENCYPART_ARC
(11,4),-0.0105319 # DEPENDENCYPART_ARC
(11,5),-2.55481 # DEPENDENCYPART_ARC
(11,6),1.37238 # DEPENDENCYPART_ARC
(11,7),1.86219 # DEPENDENCYPART_ARC
(11,8),0.211507 # DEPENDENCYPART_ARC
(11,9),0.475292 # DEPENDENCYPART_ARC
(11,10),2.90448 # DEPENDENCYPART_ARC
(11,12),-0.121064 # DEPENDENCYPART_ARC
(11,13),-0.0269657 # DEPENDENCYPART_ARC
(11,14),-0.135447 # DEPENDENCYPART_ARC
(11,15),-0.731209 # DEPENDENCYPART_ARC
(11,16),-1.0611 # DEPENDENCYPART_ARC
(11,17),-0.765232 # DEPENDENCYPART_ARC
(11,18),-1.45862 # DEPENDENCYPART_ARC
(12,1),-0.308635 # DEPENDENCYPART_ARC
(12,2),-0.0226151 # DEPENDENCYPART_ARC
(12,3),0.108323 # DEPENDENCYPART_ARC
(12,4),-0.41882 # DEPENDENCYPART_ARC
(12,5),-1.65879 # DEPENDENCYPART_ARC
(12,6),-0.22061 # DEPENDENCYPART_ARC
(12,7),0.249432 # DEPENDENCYPART_ARC
(12,8),-0.740198 # DEPENDENCYPART_ARC
(12,9),-0.813708 # DEPENDENCYPART_ARC
(12,10),0.615515 # DEPENDENCYPART_ARC
(12,11),1.65302 # DEPENDENCYPART_ARC
(12,13),0.343574 # DEPENDENCYPART_ARC
(12,14),-0.108999 # DEPENDENCYPART_ARC
(12,15),-0.598162 # DEPENDENCYPART_ARC
(12,16),-0.38468 # DEPENDENCYPART_ARC
(12,17),-0.558102 # DEPENDENCYPART_ARC
(12,18),-0.00377296 # DEPENDENCYPART_ARC
(13,1),-1.65995 # DEPENDENCYPART_ARC
(13,2),-1.26425 # DEPENDENCYPART_ARC
(13,3),-1.39021 # DEPENDENCYPART_ARC
(13,4),-1.15048 # DEPENDENCYPART_ARC
(13,5),-1.48056 # DEPENDENCYPART_ARC
(13,6),-1.86925 # DEPENDENCYPART_ARC
(13,7),-1.14732 # DEPENDENCYPART_ARC
(13,8),-1.16324 # DEPENDENCYPART_ARC
(13,9),-0.801738 # DEPENDENCYPART_ARC
(13,10),-0.859509 # DEPENDENCYPART_ARC
(13,11),-0.84045 # DEPENDENCYPART_ARC
(13,12),0.329093 # DEPENDENCYPART_ARC
(13,14),2.49476 # DEPENDENCYPART_ARC
(13,15),0.461133 # DEPENDENCYPART_ARC
(13,16),0.470426 # DEPENDENCYPART_ARC
(13,17),0.0302817 # DEPENDENCYPART_ARC
(13,18),0.117509 # DEPENDENCYPART_ARC
(14,1),-2.03732 # DEPENDENCYPART_ARC
(14,2),-1.37933 # DEPENDENCYPART_ARC
(14,3),-1.9145 # DEPENDENCYPART_ARC
(14,4),-1.37536 # DEPENDENCYPART_ARC
(14,5),-2.08462 # DEPENDENCYPART_ARC
(14,6),-1.03403 # DEPENDENCYPART_ARC
(14,7),-1.51468 # DEPENDENCYPART_ARC
(14,8),-2.03195 # DEPENDENCYPART_ARC
(14,9),-1.40648 # DEPENDENCYPART_ARC
(14,10),-1.34314 # DEPENDENCYPART_ARC
(14,11),-0.436917 # DEPENDENCYPART_ARC
(14,12),-0.795388 # DEPENDENCYPART_ARC
(14,13),0.621354 # DEPENDENCYPART_ARC
(14,15),0.0307289 # DEPENDENCYPART_ARC
(14,16),-0.194427 # DEPENDENCYPART_ARC
(14,17),-0.668456 # DEPENDENCYPART_ARC
(14,18),-0.519335 # DEPENDENCYPART_ARC
(15,1),-1.12316 # DEPENDENCYPART_ARC
(15,2),-0.407591 # DEPENDENCYPART_ARC
(15,3),-0.986855 # DEPENDENCYPART_ARC
(15,4),-0.724624 # DEPENDENCYPART_ARC
(15,5),-1.8813 # DEPENDENCYPART_ARC
(15,6),-0.605834 # DEPENDENCYPART_ARC
(15,7),-0.637024 # DEPENDENCYPART_ARC
(15,8),-0.852401 # DEPENDENCYPART_ARC
(15,9),-1.22019 # DEPENDENCYPART_ARC
(15,10),-0.451004 # DEPENDENCYPART_ARC
(15,11),-0.325911 # DEPENDENCYPART_ARC
(15,12),0.292508 # DEPENDENCYPART_ARC
(15,13),0.621864 # DEPENDENCYPART_ARC
(15,14),0.628862 # DEPENDENCYPART_ARC
(15,16),0.584138 # DEPENDENCYPART_ARC
(15,17),0.468192 # DEPENDENCYPART_ARC
(15,18),-0.077905 # DEPENDENCYPART_ARC
(16,1),-1.12539 # DEPENDENCYPART_ARC
(16,2),-1.11031 # DEPENDENCYPART_ARC
(16,3),-1.10938 # DEPENDENCYPART_ARC
(16,4),-1.18982 # DEPENDENCYPART_ARC
(16,5),-0.995933 # DEPENDENCYPART_ARC
(16,6),-1.23422 # DEPENDENCYPART_ARC
(16,7),-1.03416 # DEPENDENCYPART_ARC
(16,8),-1.07378 # DEPENDENCYPART_ARC
(16,9),-1.14808 # DEPENDENCYPART_ARC
(16,10),-1.20304 # DEPENDENCYPART_ARC
(16,11),-1.20088 # DEPENDENCYPART_ARC
(16,12),-0.598183 # DEPENDENCYPART_ARC
(16,13),-0.627179 # DEPENDENCYPART_ARC
(16,14),-0.354332 # DEPENDENCYPART_ARC
(16,15),0.586885 # DEPENDENCYPART_ARC
(16,17),-0.0585986 # DEPENDENCYPART_ARC
(16,18),-0.121214 # DEPENDENCYPART_ARC
(17,1),-0.48086 # DEPENDENCYPART_ARC
(17,2),1.06608 # DEPENDENCYPART_ARC
(17,3),-0.052317 # DEPENDENCYPART_ARC
(17,4),0.109391 # DEPENDENCYPART_ARC
(17,5),-4.08434 # DEPENDENCYPART_ARC
(17,6),-0.0606399 # DEPENDENCYPART_ARC
(17,7),0.509192 # DEPENDENCYPART_ARC
(17,8),-2.68345 # DEPENDENCYPART_ARC
(17,9),-2.35147 # DEPENDENCYPART_ARC
(17,10),0.246282 # DEPENDENCYPART_ARC
(17,11),0.453571 # DEPENDENCYPART_ARC
(17,12),0.912999 # DEPENDENCYPART_ARC
(17,13),0.716946 # DEPENDENCYPART_ARC
(17,14),0.134207 # DEPENDENCYPART_ARC
(17,15),2.46652 # DEPENDENCYPART_ARC
(17,16),2.74205 # DEPENDENCYPART_ARC
(17,18),0.19513 # DEPENDENCYPART_ARC
(18,1),-0.672155 # DEPENDENCYPART_ARC
(18,2),0.470557 # DEPENDENCYPART_ARC
(18,3),-0.0930312 # DEPENDENCYPART_ARC
(18,4),0.182671 # DEPENDENCYPART_ARC
(18,5),-3.42606 # DEPENDENCYPART_ARC
(18,6),0.504814 # DEPENDENCYPART_ARC
(18,7),-0.424673 # DEPENDENCYPART_ARC
(18,8),-2.37857 # DEPENDENCYPART_ARC
(18,9),-2.39537 # DEPENDENCYPART_ARC
(18,10),0.0330246 # DEPENDENCYPART_ARC
(18,11),0.919031 # DEPENDENCYPART_ARC
(18,12),-0.000236607 # DEPENDENCYPART_ARC
(18,13),0.0793817 # DEPENDENCYPART_ARC
(18,14),-0.177783 # DEPENDENCYPART_ARC
(18,15),0.0196089 # DEPENDENCYPART_ARC
(18,16),0.379617 # DEPENDENCYPART_ARC
(18,17),0.533572 # DEPENDENCYPART_ARC
