# _root_ İçim _ kıskançlık , acı , kin ve nefretle _ doluydu .
#goldHeads=11,3,4,5,6,7,8,9,11,11,12,0,
#predictedHeads=2,3,4,5,6,0,8,9,10,11,12,0,
(9,2),-2.43547 # DEPENDENCYPART_ARC
(9,3),-0.388164 # DEPENDENCYPART_ARC
(9,4),0.0808512 # DEPENDENCYPART_ARC
(9,5),-0.651082 # DEPENDENCYPART_ARC
(9,6),0.662799 # DEPENDENCYPART_ARC
(9,7),1.07802 # DEPENDENCYPART_ARC
(9,8),1.68553 # DEPENDENCYPART_ARC
(9,10),0.123187 # DEPENDENCYPART_ARC
(9,11),-0.521141 # DEPENDENCYPART_ARC
(9,12),-0.730923 # DEPENDENCYPART_ARC
(10,1),0.063697 # DEPENDENCYPART_ARC
(10,2),-1.44858 # DEPENDENCYPART_ARC
(10,3),-0.00407427 # DEPENDENCYPART_ARC
(10,4),0.113836 # DEPENDENCYPART_ARC
(10,5),0.21229 # DEPENDENCYPART_ARC
(10,6),0.693048 # DEPENDENCYPART_ARC
(10,7),1.0177 # DEPENDENCYPART_ARC
(10,8),0.893468 # DEPENDENCYPART_ARC
(10,9),2.42819 # DEPENDENCYPART_ARC
(10,11),0.484941 # DEPENDENCYPART_ARC
(10,12),0.126738 # DEPENDENCYPART_ARC
(11,1),0.24249 # DEPENDENCYPART_ARC
(11,2),-3.55679 # DEPENDENCYPART_ARC
(11,3),0.641563 # DEPENDENCYPART_ARC
(11,4),-0.726434 # DEPENDENCYPART_ARC
(11,5),0.227495 # DEPENDENCYPART_ARC
(11,6),-0.0401653 # DEPENDENCYPART_ARC
(11,7),1.18987 # DEPENDENCYPART_ARC
(11,8),0.105685 # DEPENDENCYPART_ARC
(11,9),1.70479 # DEPENDENCYPART_ARC
(11,10),2.15781 # DEPENDENCYPART_ARC
(11,12),-0.84821 # DEPENDENCYPART_ARC
(12,1),0.0268024 # DEPENDENCYPART_ARC
(12,2),-3.29944 # DEPENDENCYPART_ARC
(12,3),-0.111404 # DEPENDENCYPART_ARC
(12,4),-0.314766 # DEPENDENCYPART_ARC
(12,5),0.0108012 # DEPENDENCYPART_ARC
(12,6),0.187778 # DEPENDENCYPART_ARC
(12,7),0.0652267 # DEPENDENCYPART_ARC
(12,8),-0.126021 # DEPENDENCYPART_ARC
(12,9),0.548586 # DEPENDENCYPART_ARC
(12,10),-0.318149 # DEPENDENCYPART_ARC
(12,11),1.85861 # DEPENDENCYPART_ARC
