# _root_ Odaya en büyük yeğen yerleşti , işin beyni o _ olduğuna göre , _ münasiptir .
#goldHeads=5,3,4,5,6,14,8,10,10,11,12,14,0,15,16,0,
#predictedHeads=5,3,4,5,6,15,8,10,11,11,12,15,0,15,16,0,
(6,2),-0.363284 # DEPENDENCYPART_ARC
(6,3),0.167204 # DEPENDENCYPART_ARC
(6,4),0.450042 # DEPENDENCYPART_ARC
(6,5),1.57949 # DEPENDENCYPART_ARC
(6,7),0.246092 # DEPENDENCYPART_ARC
(6,8),-0.00338738 # DEPENDENCYPART_ARC
(6,9),-0.349182 # DEPENDENCYPART_ARC
(6,10),-0.139769 # DEPENDENCYPART_ARC
(6,11),-0.013369 # DEPENDENCYPART_ARC
(6,12),0.0185302 # DEPENDENCYPART_ARC
(6,13),-0.646785 # DEPENDENCYPART_ARC
(6,14),-1.31254 # DEPENDENCYPART_ARC
(6,15),-0.0734662 # DEPENDENCYPART_ARC
(6,16),-1.1875 # DEPENDENCYPART_ARC
(7,1),-1.624 # DEPENDENCYPART_ARC
(7,2),-0.679051 # DEPENDENCYPART_ARC
(7,3),-0.254862 # DEPENDENCYPART_ARC
(7,4),-0.560442 # DEPENDENCYPART_ARC
(7,5),-0.822051 # DEPENDENCYPART_ARC
(7,6),0.423066 # DEPENDENCYPART_ARC
(7,8),0.051488 # DEPENDENCYPART_ARC
(7,9),-0.122056 # DEPENDENCYPART_ARC
(7,10),-0.770333 # DEPENDENCYPART_ARC
(7,11),-0.50917 # DEPENDENCYPART_ARC
(7,12),-0.708315 # DEPENDENCYPART_ARC
(7,13),-0.210797 # DEPENDENCYPART_ARC
(7,14),-0.896032 # DEPENDENCYPART_ARC
(7,15),-1.18751 # DEPENDENCYPART_ARC
(7,16),-0.801589 # DEPENDENCYPART_ARC
(8,1),-0.818661 # DEPENDENCYPART_ARC
(8,2),-0.38585 # DEPENDENCYPART_ARC
(8,3),-0.00720633 # DEPENDENCYPART_ARC
(8,4),-0.12101 # DEPENDENCYPART_ARC
(8,5),-0.228261 # DEPENDENCYPART_ARC
(8,6),0.586204 # DEPENDENCYPART_ARC
(8,7),3.52853 # DEPENDENCYPART_ARC
(8,9),0.856647 # DEPENDENCYPART_ARC
(8,10),-0.285907 # DEPENDENCYPART_ARC
(8,11),0.30612 # DEPENDENCYPART_ARC
(8,12),-0.317297 # DEPENDENCYPART_ARC
(8,13),-0.0476552 # DEPENDENCYPART_ARC
(8,14),-0.58757 # DEPENDENCYPART_ARC
(8,15),-1.07992 # DEPENDENCYPART_ARC
(8,16),-0.743762 # DEPENDENCYPART_ARC
(9,1),-1.13145 # DEPENDENCYPART_ARC
(9,2),-0.677081 # DEPENDENCYPART_ARC
(9,3),-0.746941 # DEPENDENCYPART_ARC
(9,4),-1.02022 # DEPENDENCYPART_ARC
(9,6),0.207514 # DEPENDENCYPART_ARC
(9,7),0.467495 # DEPENDENCYPART_ARC
(9,8),1.20312 # DEPENDENCYPART_ARC
(9,13),-0.310916 # DEPENDENCYPART_ARC
(9,14),-0.796692 # DEPENDENCYPART_ARC
(9,16),-0.853597 # DEPENDENCYPART_ARC
(10,1),0.668975 # DEPENDENCYPART_ARC
(10,2),-1.52418 # DEPENDENCYPART_ARC
(10,3),-0.231584 # DEPENDENCYPART_ARC
(10,4),0.246803 # DEPENDENCYPART_ARC
(10,5),-0.0868071 # DEPENDENCYPART_ARC
(10,6),0.372954 # DEPENDENCYPART_ARC
(10,7),1.64353 # DEPENDENCYPART_ARC
(10,8),1.97738 # DEPENDENCYPART_ARC
(10,9),2.10254 # DEPENDENCYPART_ARC
(10,11),0.740194 # DEPENDENCYPART_ARC
(10,12),0.322652 # DEPENDENCYPART_ARC
(10,13),-0.306885 # DEPENDENCYPART_ARC
(10,14),-1.07303 # DEPENDENCYPART_ARC
(10,15),-0.903041 # DEPENDENCYPART_ARC
(10,16),-1.209 # DEPENDENCYPART_ARC
(11,1),-0.391976 # DEPENDENCYPART_ARC
(11,2),-0.213572 # DEPENDENCYPART_ARC
(11,3),-0.621406 # DEPENDENCYPART_ARC
(11,4),0.644647 # DEPENDENCYPART_ARC
(11,5),-0.590562 # DEPENDENCYPART_ARC
(11,6),0.175188 # DEPENDENCYPART_ARC
(11,7),2.55166 # DEPENDENCYPART_ARC
(11,8),1.62401 # DEPENDENCYPART_ARC
(11,9),2.11091 # DEPENDENCYPART_ARC
(11,10),2.56769 # DEPENDENCYPART_ARC
(11,12),-0.526188 # DEPENDENCYPART_ARC
(11,13),-0.538369 # DEPENDENCYPART_ARC
(11,14),-1.11021 # DEPENDENCYPART_ARC
(11,15),-1.46752 # DEPENDENCYPART_ARC
(11,16),-1.46134 # DEPENDENCYPART_ARC
(12,1),-0.69949 # DEPENDENCYPART_ARC
(12,2),-0.361942 # DEPENDENCYPART_ARC
(12,3),-0.756115 # DEPENDENCYPART_ARC
(12,4),-0.906888 # DEPENDENCYPART_ARC
(12,5),-0.822759 # DEPENDENCYPART_ARC
(12,6),-0.349479 # DEPENDENCYPART_ARC
(12,7),-0.259087 # DEPENDENCYPART_ARC
(12,8),0.513175 # DEPENDENCYPART_ARC
(12,9),1.08909 # DEPENDENCYPART_ARC
(12,10),0.413893 # DEPENDENCYPART_ARC
(12,11),3.74986 # DEPENDENCYPART_ARC
(12,13),-0.0372878 # DEPENDENCYPART_ARC
(12,14),-0.666101 # DEPENDENCYPART_ARC
(12,15),-0.71478 # DEPENDENCYPART_ARC
(12,16),-0.74911 # DEPENDENCYPART_ARC
(13,1),-0.0803571 # DEPENDENCYPART_ARC
(13,2),-0.723909 # DEPENDENCYPART_ARC
(13,3),-0.843599 # DEPENDENCYPART_ARC
(13,4),0.132571 # DEPENDENCYPART_ARC
(13,5),0.408789 # DEPENDENCYPART_ARC
(13,6),0.1097 # DEPENDENCYPART_ARC
(13,7),0.480869 # DEPENDENCYPART_ARC
(13,8),0.48242 # DEPENDENCYPART_ARC
(13,9),-0.0955123 # DEPENDENCYPART_ARC
(13,10),-0.384984 # DEPENDENCYPART_ARC
(13,11),0.419441 # DEPENDENCYPART_ARC
(13,12),0.62261 # DEPENDENCYPART_ARC
(13,14),-0.475856 # DEPENDENCYPART_ARC
(13,15),-0.12832 # DEPENDENCYPART_ARC
(13,16),-0.156454 # DEPENDENCYPART_ARC
(14,1),-0.119172 # DEPENDENCYPART_ARC
(14,2),-0.857921 # DEPENDENCYPART_ARC
(14,3),-1.20787 # DEPENDENCYPART_ARC
(14,4),-0.265902 # DEPENDENCYPART_ARC
(14,5),-0.670378 # DEPENDENCYPART_ARC
(14,6),-0.454789 # DEPENDENCYPART_ARC
(14,7),-0.0734736 # DEPENDENCYPART_ARC
(14,8),-0.0393669 # DEPENDENCYPART_ARC
(14,9),-0.149329 # DEPENDENCYPART_ARC
(14,10),-0.217577 # DEPENDENCYPART_ARC
(14,11),0.0121798 # DEPENDENCYPART_ARC
(14,12),-0.0551032 # DEPENDENCYPART_ARC
(14,13),1.21235 # DEPENDENCYPART_ARC
(14,15),0.493969 # DEPENDENCYPART_ARC
(14,16),0.105131 # DEPENDENCYPART_ARC
(15,1),0.406296 # DEPENDENCYPART_ARC
(15,2),-1.66086 # DEPENDENCYPART_ARC
(15,3),-0.164525 # DEPENDENCYPART_ARC
(15,4),0.353193 # DEPENDENCYPART_ARC
(15,5),-0.486892 # DEPENDENCYPART_ARC
(15,6),0.964486 # DEPENDENCYPART_ARC
(15,7),-0.356864 # DEPENDENCYPART_ARC
(15,8),1.2588 # DEPENDENCYPART_ARC
(15,9),0.847358 # DEPENDENCYPART_ARC
(15,10),-1.09368 # DEPENDENCYPART_ARC
(15,11),0.791727 # DEPENDENCYPART_ARC
(15,12),1.11214 # DEPENDENCYPART_ARC
(15,13),0.966321 # DEPENDENCYPART_ARC
(15,14),2.60243 # DEPENDENCYPART_ARC
(15,16),-0.757485 # DEPENDENCYPART_ARC
(16,1),0.105498 # DEPENDENCYPART_ARC
(16,2),-1.12261 # DEPENDENCYPART_ARC
(16,3),-0.418672 # DEPENDENCYPART_ARC
(16,4),-0.259373 # DEPENDENCYPART_ARC
(16,5),0.0512264 # DEPENDENCYPART_ARC
(16,6),0.0580095 # DEPENDENCYPART_ARC
(16,7),0.158716 # DEPENDENCYPART_ARC
(16,8),0.102779 # DEPENDENCYPART_ARC
(16,9),-0.717666 # DEPENDENCYPART_ARC
(16,10),-1.65662 # DEPENDENCYPART_ARC
(16,11),-0.0963074 # DEPENDENCYPART_ARC
(16,12),-0.356076 # DEPENDENCYPART_ARC
(16,13),0.146897 # DEPENDENCYPART_ARC
(16,14),-0.629233 # DEPENDENCYPART_ARC
(16,15),1.77217 # DEPENDENCYPART_ARC
