# _root_ Eee , sen tarlaya yemek götürdün , biz ne yapacağız .
#goldHeads=6,0,6,6,6,7,10,10,10,11,0,
#predictedHeads=6,0,6,6,6,7,10,10,10,11,0,
(10,6),0.534777 # DEPENDENCYPART_ARC
(10,7),1.88924 # DEPENDENCYPART_ARC
(10,8),2.6056 # DEPENDENCYPART_ARC
(10,9),2.14983 # DEPENDENCYPART_ARC
(10,11),0.0592396 # DEPENDENCYPART_ARC
(11,1),0.484009 # DEPENDENCYPART_ARC
(11,2),-0.0828116 # DEPENDENCYPART_ARC
(11,3),-0.49118 # DEPENDENCYPART_ARC
(11,4),0.115832 # DEPENDENCYPART_ARC
(11,5),-0.0776949 # DEPENDENCYPART_ARC
(11,6),0.0914662 # DEPENDENCYPART_ARC
(11,7),0.670532 # DEPENDENCYPART_ARC
(11,8),0.279384 # DEPENDENCYPART_ARC
(11,9),0.0227499 # DEPENDENCYPART_ARC
(11,10),1.62513 # DEPENDENCYPART_ARC
