# _root_ Sen donunu taşı , dedi Recep oğlana , kayığın üstünde _ unuttuğu donu _ gösterip .
#goldHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
#predictedHeads=3,3,4,5,16,5,5,5,10,11,12,13,14,15,5,0,
(9,13),-1.21236 # DEPENDENCYPART_ARC
(9,14),-0.833889 # DEPENDENCYPART_ARC
(9,15),-0.639636 # DEPENDENCYPART_ARC
(9,16),-0.744896 # DEPENDENCYPART_ARC
(10,1),0.00698866 # DEPENDENCYPART_ARC
(10,2),-1.47359 # DEPENDENCYPART_ARC
(10,3),-0.640743 # DEPENDENCYPART_ARC
(10,4),-0.144056 # DEPENDENCYPART_ARC
(10,5),-0.840766 # DEPENDENCYPART_ARC
(10,6),-0.127575 # DEPENDENCYPART_ARC
(10,7),-0.469695 # DEPENDENCYPART_ARC
(10,8),0.613178 # DEPENDENCYPART_ARC
(10,9),3.59423 # DEPENDENCYPART_ARC
(10,11),0.231215 # DEPENDENCYPART_ARC
(10,12),0.315788 # DEPENDENCYPART_ARC
(10,13),-0.167675 # DEPENDENCYPART_ARC
(10,14),-0.346807 # DEPENDENCYPART_ARC
(10,15),-0.487557 # DEPENDENCYPART_ARC
(10,16),-0.694956 # DEPENDENCYPART_ARC
(11,1),-0.0388312 # DEPENDENCYPART_ARC
(11,2),0.0397034 # DEPENDENCYPART_ARC
(11,3),-0.24036 # DEPENDENCYPART_ARC
(11,4),-0.56233 # DEPENDENCYPART_ARC
(11,5),-0.952572 # DEPENDENCYPART_ARC
(11,6),0.250462 # DEPENDENCYPART_ARC
(11,7),0.253751 # DEPENDENCYPART_ARC
(11,8),-0.181743 # DEPENDENCYPART_ARC
(11,9),1.88213 # DEPENDENCYPART_ARC
(11,10),2.80896 # DEPENDENCYPART_ARC
(11,12),0.0952801 # DEPENDENCYPART_ARC
(11,13),-0.0820481 # DEPENDENCYPART_ARC
(11,14),-0.672606 # DEPENDENCYPART_ARC
(11,15),-0.246525 # DEPENDENCYPART_ARC
(11,16),-0.994086 # DEPENDENCYPART_ARC
(12,1),-0.780156 # DEPENDENCYPART_ARC
(12,2),-0.316623 # DEPENDENCYPART_ARC
(12,3),-0.113157 # DEPENDENCYPART_ARC
(12,4),-0.675416 # DEPENDENCYPART_ARC
(12,5),-0.44321 # DEPENDENCYPART_ARC
(12,6),-0.0834091 # DEPENDENCYPART_ARC
(12,7),0.0841223 # DEPENDENCYPART_ARC
(12,8),-0.250357 # DEPENDENCYPART_ARC
(12,9),1.48264 # DEPENDENCYPART_ARC
(12,10),1.6681 # DEPENDENCYPART_ARC
(12,11),2.76536 # DEPENDENCYPART_ARC
(12,13),-0.436316 # DEPENDENCYPART_ARC
(12,14),-0.741534 # DEPENDENCYPART_ARC
(12,15),-0.482109 # DEPENDENCYPART_ARC
(12,16),-0.844902 # DEPENDENCYPART_ARC
(13,1),-0.757736 # DEPENDENCYPART_ARC
(13,2),-1.05539 # DEPENDENCYPART_ARC
(13,3),-1.5076 # DEPENDENCYPART_ARC
(13,4),-0.737551 # DEPENDENCYPART_ARC
(13,5),-1.35488 # DEPENDENCYPART_ARC
(13,6),-0.762414 # DEPENDENCYPART_ARC
(13,7),-1.04439 # DEPENDENCYPART_ARC
(13,8),0.023307 # DEPENDENCYPART_ARC
(13,9),0.5742 # DEPENDENCYPART_ARC
(13,10),0.460521 # DEPENDENCYPART_ARC
(13,11),0.169506 # DEPENDENCYPART_ARC
(13,12),2.81865 # DEPENDENCYPART_ARC
(13,14),-0.0482341 # DEPENDENCYPART_ARC
(13,15),-0.12088 # DEPENDENCYPART_ARC
(13,16),-0.547922 # DEPENDENCYPART_ARC
(14,1),0.506796 # DEPENDENCYPART_ARC
(14,2),0.279252 # DEPENDENCYPART_ARC
(14,3),0.149156 # DEPENDENCYPART_ARC
(14,4),-0.0763011 # DEPENDENCYPART_ARC
(14,5),-0.746781 # DEPENDENCYPART_ARC
(14,6),0.39343 # DEPENDENCYPART_ARC
(14,7),0.474843 # DEPENDENCYPART_ARC
(14,8),-0.0631456 # DEPENDENCYPART_ARC
(14,9),1.52398 # DEPENDENCYPART_ARC
(14,10),1.45688 # DEPENDENCYPART_ARC
(14,11),-0.545438 # DEPENDENCYPART_ARC
(14,12),0.774744 # DEPENDENCYPART_ARC
(14,13),3.02223 # DEPENDENCYPART_ARC
(14,15),0.603829 # DEPENDENCYPART_ARC
(14,16),-0.49851 # DEPENDENCYPART_ARC
(15,1),0.0391131 # DEPENDENCYPART_ARC
(15,2),0.0403595 # DEPENDENCYPART_ARC
(15,3),-0.883827 # DEPENDENCYPART_ARC
(15,4),-0.617872 # DEPENDENCYPART_ARC
(15,5),-0.748236 # DEPENDENCYPART_ARC
(15,6),0.0586095 # DEPENDENCYPART_ARC
(15,7),0.137385 # DEPENDENCYPART_ARC
(15,8),0.0125894 # DEPENDENCYPART_ARC
(15,9),0.910908 # DEPENDENCYPART_ARC
(15,10),1.09058 # DEPENDENCYPART_ARC
(15,11),0.633356 # DEPENDENCYPART_ARC
(15,12),0.303969 # DEPENDENCYPART_ARC
(15,13),1.69873 # DEPENDENCYPART_ARC
(15,14),2.66968 # DEPENDENCYPART_ARC
(15,16),-0.484962 # DEPENDENCYPART_ARC
(16,1),-0.530463 # DEPENDENCYPART_ARC
(16,2),-0.522363 # DEPENDENCYPART_ARC
(16,3),0.789639 # DEPENDENCYPART_ARC
(16,4),-0.735636 # DEPENDENCYPART_ARC
(16,5),1.38087 # DEPENDENCYPART_ARC
(16,6),-0.205361 # DEPENDENCYPART_ARC
(16,7),0.10078 # DEPENDENCYPART_ARC
(16,8),-0.0438988 # DEPENDENCYPART_ARC
(16,9),0.308509 # DEPENDENCYPART_ARC
(16,10),0.310551 # DEPENDENCYPART_ARC
(16,11),-1.48091 # DEPENDENCYPART_ARC
(16,12),0.456816 # DEPENDENCYPART_ARC
(16,13),0.356766 # DEPENDENCYPART_ARC
(16,14),0.103252 # DEPENDENCYPART_ARC
(16,15),0.322383 # DEPENDENCYPART_ARC
