# _root_ Gazetecilere uçak havada _ yanarak geldi yere _ çakıldı _ diyen tanıklar , anket heyetinin _ hazırladığı raporlara göre , _ _ farklı konuşmuşlardı .
#goldHeads=10,6,6,5,6,10,9,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
#predictedHeads=6,3,6,5,6,9,6,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
(3,8),-0.975951 # DEPENDENCYPART_ARC
(3,9),-0.760096 # DEPENDENCYPART_ARC
(3,10),-1.0656 # DEPENDENCYPART_ARC
(3,11),-0.506591 # DEPENDENCYPART_ARC
(3,12),-1.17648 # DEPENDENCYPART_ARC
(3,13),-0.423527 # DEPENDENCYPART_ARC
(3,14),-1.45408 # DEPENDENCYPART_ARC
(3,15),-1.7987 # DEPENDENCYPART_ARC
(3,16),-1.81776 # DEPENDENCYPART_ARC
(3,17),-0.906618 # DEPENDENCYPART_ARC
(3,18),-2.00602 # DEPENDENCYPART_ARC
(3,19),-0.992402 # DEPENDENCYPART_ARC
(3,20),-0.777486 # DEPENDENCYPART_ARC
(3,21),-2.28469 # DEPENDENCYPART_ARC
(3,22),-1.69292 # DEPENDENCYPART_ARC
(3,23),-2.26219 # DEPENDENCYPART_ARC
(3,24),-2.00138 # DEPENDENCYPART_ARC
(3,25),-1.69128 # DEPENDENCYPART_ARC
(4,1),1.03387 # DEPENDENCYPART_ARC
(4,2),1.08153 # DEPENDENCYPART_ARC
(4,3),1.90957 # DEPENDENCYPART_ARC
(4,5),0.954603 # DEPENDENCYPART_ARC
(4,6),-0.841499 # DEPENDENCYPART_ARC
(4,7),0.0766683 # DEPENDENCYPART_ARC
(4,8),-0.860975 # DEPENDENCYPART_ARC
(4,9),-0.504646 # DEPENDENCYPART_ARC
(4,10),-1.26555 # DEPENDENCYPART_ARC
(4,11),-1.02171 # DEPENDENCYPART_ARC
(4,12),-0.140426 # DEPENDENCYPART_ARC
(4,13),-0.803758 # DEPENDENCYPART_ARC
(4,14),-1.87942 # DEPENDENCYPART_ARC
(4,15),-2.6816 # DEPENDENCYPART_ARC
(4,16),-2.02901 # DEPENDENCYPART_ARC
(4,17),-2.05172 # DEPENDENCYPART_ARC
(4,18),-1.7347 # DEPENDENCYPART_ARC
(4,19),-0.579225 # DEPENDENCYPART_ARC
(4,20),-1.48501 # DEPENDENCYPART_ARC
(4,21),-4.03335 # DEPENDENCYPART_ARC
(4,22),-3.43059 # DEPENDENCYPART_ARC
(4,23),-2.92364 # DEPENDENCYPART_ARC
(4,24),-1.95764 # DEPENDENCYPART_ARC
(4,25),-2.03571 # DEPENDENCYPART_ARC
(5,1),0.795797 # DEPENDENCYPART_ARC
(5,2),1.20315 # DEPENDENCYPART_ARC
(5,3),1.85936 # DEPENDENCYPART_ARC
(5,4),3.09617 # DEPENDENCYPART_ARC
(5,6),-0.499623 # DEPENDENCYPART_ARC
(5,7),-0.991645 # DEPENDENCYPART_ARC
(5,8),-1.28327 # DEPENDENCYPART_ARC
(5,9),-0.993821 # DEPENDENCYPART_ARC
(5,10),-1.17351 # DEPENDENCYPART_ARC
(5,11),-1.3234 # DEPENDENCYPART_ARC
(5,12),-1.54833 # DEPENDENCYPART_ARC
(5,13),-1.33985 # DEPENDENCYPART_ARC
(5,14),-1.7098 # DEPENDENCYPART_ARC
(5,15),-1.82588 # DEPENDENCYPART_ARC
(5,16),-1.46018 # DEPENDENCYPART_ARC
(5,18),-2.35316 # DEPENDENCYPART_ARC
(5,19),-1.29387 # DEPENDENCYPART_ARC
(5,20),-1.81987 # DEPENDENCYPART_ARC
(5,21),-2.35414 # DEPENDENCYPART_ARC
(5,22),-1.99168 # DEPENDENCYPART_ARC
(5,23),-2.45118 # DEPENDENCYPART_ARC
(5,24),-1.58688 # DEPENDENCYPART_ARC
(5,25),-2.34041 # DEPENDENCYPART_ARC
(6,1),1.85127 # DEPENDENCYPART_ARC
(6,2),2.059 # DEPENDENCYPART_ARC
(6,3),2.07986 # DEPENDENCYPART_ARC
(6,4),0.731073 # DEPENDENCYPART_ARC
(6,5),3.06667 # DEPENDENCYPART_ARC
(6,7),2.02233 # DEPENDENCYPART_ARC
(6,8),1.17445 # DEPENDENCYPART_ARC
(6,9),0.640501 # DEPENDENCYPART_ARC
(6,10),-0.437733 # DEPENDENCYPART_ARC
(6,11),-0.552144 # DEPENDENCYPART_ARC
(6,12),1.39768 # DEPENDENCYPART_ARC
(6,13),0.0618517 # DEPENDENCYPART_ARC
(6,14),-0.170081 # DEPENDENCYPART_ARC
(6,15),-1.48193 # DEPENDENCYPART_ARC
(6,16),-0.953329 # DEPENDENCYPART_ARC
(6,17),-1.35553 # DEPENDENCYPART_ARC
(6,18),-0.44805 # DEPENDENCYPART_ARC
(6,19),0.482168 # DEPENDENCYPART_ARC
(6,20),-0.23523 # DEPENDENCYPART_ARC
(6,21),-2.00891 # DEPENDENCYPART_ARC
(6,22),-2.7177 # DEPENDENCYPART_ARC
(6,23),-1.13568 # DEPENDENCYPART_ARC
(6,24),-0.719599 # DEPENDENCYPART_ARC
(6,25),-0.902576 # DEPENDENCYPART_ARC
(7,1),-1.49896 # DEPENDENCYPART_ARC
(7,2),-0.433835 # DEPENDENCYPART_ARC
(7,3),-0.48654 # DEPENDENCYPART_ARC
(7,4),-0.851444 # DEPENDENCYPART_ARC
(7,5),-0.339622 # DEPENDENCYPART_ARC
(7,6),-0.271864 # DEPENDENCYPART_ARC
(7,8),-0.17732 # DEPENDENCYPART_ARC
(7,9),-0.0657109 # DEPENDENCYPART_ARC
(7,10),-0.615755 # DEPENDENCYPART_ARC
(7,11),0.121867 # DEPENDENCYPART_ARC
(7,12),-0.987778 # DEPENDENCYPART_ARC
(7,13),0.121912 # DEPENDENCYPART_ARC
(7,14),-1.21033 # DEPENDENCYPART_ARC
(7,15),-1.32756 # DEPENDENCYPART_ARC
(7,16),-1.20232 # DEPENDENCYPART_ARC
(7,17),-0.473458 # DEPENDENCYPART_ARC
(7,18),-1.80095 # DEPENDENCYPART_ARC
(7,19),-0.682516 # DEPENDENCYPART_ARC
(7,20),-0.449678 # DEPENDENCYPART_ARC
(7,21),-2.06039 # DEPENDENCYPART_ARC
(7,22),-1.24664 # DEPENDENCYPART_ARC
(7,23),-2.04705 # DEPENDENCYPART_ARC
(7,24),-1.98086 # DEPENDENCYPART_ARC
(7,25),-1.02441 # DEPENDENCYPART_ARC
(8,1),-0.985669 # DEPENDENCYPART_ARC
(8,2),0.118065 # DEPENDENCYPART_ARC
(8,3),-0.477399 # DEPENDENCYPART_ARC
(8,4),-0.867737 # DEPENDENCYPART_ARC
(8,5),0.536012 # DEPENDENCYPART_ARC
(8,6),0.101591 # DEPENDENCYPART_ARC
(8,7),1.97872 # DEPENDENCYPART_ARC
(8,9),0.485217 # DEPENDENCYPART_ARC
(8,10),-0.186241 # DEPENDENCYPART_ARC
(8,11),0.481741 # DEPENDENCYPART_ARC
(8,12),0.0226427 # DEPENDENCYPART_ARC
(8,13),0.0419634 # DEPENDENCYPART_ARC
(8,14),-0.408366 # DEPENDENCYPART_ARC
(8,15),-1.07462 # DEPENDENCYPART_ARC
(8,16),-1.45947 # DEPENDENCYPART_ARC
(8,17),-0.135369 # DEPENDENCYPART_ARC
(8,18),-0.844171 # DEPENDENCYPART_ARC
(8,19),-0.399542 # DEPENDENCYPART_ARC
(8,20),-0.529184 # DEPENDENCYPART_ARC
(8,21),-1.5928 # DEPENDENCYPART_ARC
(8,22),-1.11459 # DEPENDENCYPART_ARC
(8,23),-1.69743 # DEPENDENCYPART_ARC
(8,24),-2.49121 # DEPENDENCYPART_ARC
(8,25),-1.1507 # DEPENDENCYPART_ARC
(9,1),1.14816 # DEPENDENCYPART_ARC
(9,2),1.22606 # DEPENDENCYPART_ARC
(9,3),1.00614 # DEPENDENCYPART_ARC
(9,4),-2.13792 # DEPENDENCYPART_ARC
(9,5),0.341502 # DEPENDENCYPART_ARC
(9,6),1.08751 # DEPENDENCYPART_ARC
(9,7),1.88045 # DEPENDENCYPART_ARC
(9,8),2.43888 # DEPENDENCYPART_ARC
(9,10),-0.0349048 # DEPENDENCYPART_ARC
(9,11),-0.100777 # DEPENDENCYPART_ARC
(9,12),1.21419 # DEPENDENCYPART_ARC
(9,13),-0.271494 # DEPENDENCYPART_ARC
(9,14),-0.677128 # DEPENDENCYPART_ARC
(9,15),-1.41714 # DEPENDENCYPART_ARC
(9,16),-0.974356 # DEPENDENCYPART_ARC
(9,17),-1.25994 # DEPENDENCYPART_ARC
(9,18),-0.979639 # DEPENDENCYPART_ARC
(9,19),0.0551336 # DEPENDENCYPART_ARC
(9,20),-0.719245 # DEPENDENCYPART_ARC
(9,21),-2.50407 # DEPENDENCYPART_ARC
(9,22),-2.44493 # DEPENDENCYPART_ARC
(9,23),-1.64471 # DEPENDENCYPART_ARC
(9,24),-0.669498 # DEPENDENCYPART_ARC
(9,25),-1.39337 # DEPENDENCYPART_ARC
(10,1),0.645013 # DEPENDENCYPART_ARC
(10,2),0.301192 # DEPENDENCYPART_ARC
(10,3),0.0639169 # DEPENDENCYPART_ARC
(10,4),-4.11627 # DEPENDENCYPART_ARC
(10,5),0.671046 # DEPENDENCYPART_ARC
(10,6),0.271226 # DEPENDENCYPART_ARC
(10,7),0.810024 # DEPENDENCYPART_ARC
(10,8),0.846257 # DEPENDENCYPART_ARC
(10,9),2.22327 # DEPENDENCYPART_ARC
(10,11),0.159834 # DEPENDENCYPART_ARC
(10,12),0.459298 # DEPENDENCYPART_ARC
(10,13),-0.14307 # DEPENDENCYPART_ARC
(10,14),-1.51598 # DEPENDENCYPART_ARC
(10,15),-2.27718 # DEPENDENCYPART_ARC
(10,16),-1.30957 # DEPENDENCYPART_ARC
(10,17),-1.34973 # DEPENDENCYPART_ARC
(10,18),-1.46448 # DEPENDENCYPART_ARC
(10,19),-0.226946 # DEPENDENCYPART_ARC
(10,20),-0.704036 # DEPENDENCYPART_ARC
(10,21),-3.23803 # DEPENDENCYPART_ARC
(10,22),-2.64132 # DEPENDENCYPART_ARC
(10,23),-2.90143 # DEPENDENCYPART_ARC
(10,24),-1.50069 # DEPENDENCYPART_ARC
(10,25),-1.3569 # DEPENDENCYPART_ARC
(11,1),0.546249 # DEPENDENCYPART_ARC
(11,2),0.561254 # DEPENDENCYPART_ARC
(11,3),0.872216 # DEPENDENCYPART_ARC
(11,4),-1.56298 # DEPENDENCYPART_ARC
(11,5),0.745045 # DEPENDENCYPART_ARC
(11,6),0.0201058 # DEPENDENCYPART_ARC
(11,7),1.15439 # DEPENDENCYPART_ARC
(11,8),1.66451 # DEPENDENCYPART_ARC
(11,9),0.575235 # DEPENDENCYPART_ARC
(11,10),2.6064 # DEPENDENCYPART_ARC
(11,12),-0.0620372 # DEPENDENCYPART_ARC
(11,13),-0.529979 # DEPENDENCYPART_ARC
(11,14),-0.879014 # DEPENDENCYPART_ARC
(11,15),-1.01903 # DEPENDENCYPART_ARC
(11,16),-1.22626 # DEPENDENCYPART_ARC
(11,18),-1.18712 # DEPENDENCYPART_ARC
(11,19),-1.05453 # DEPENDENCYPART_ARC
(11,20),-1.19707 # DEPENDENCYPART_ARC
(11,21),-1.2643 # DEPENDENCYPART_ARC
(11,22),-1.88396 # DEPENDENCYPART_ARC
(11,23),-1.70376 # DEPENDENCYPART_ARC
(11,24),-1.53768 # DEPENDENCYPART_ARC
(11,25),-1.7048 # DEPENDENCYPART_ARC
(12,1),-1.26417 # DEPENDENCYPART_ARC
(12,2),0.26174 # DEPENDENCYPART_ARC
(12,3),-0.888338 # DEPENDENCYPART_ARC
(12,4),-2.29616 # DEPENDENCYPART_ARC
(12,5),0.212918 # DEPENDENCYPART_ARC
(12,6),0.0539401 # DEPENDENCYPART_ARC
(12,7),0.0223233 # DEPENDENCYPART_ARC
(12,8),-0.929324 # DEPENDENCYPART_ARC
(12,9),0.144749 # DEPENDENCYPART_ARC
(12,10),0.728885 # DEPENDENCYPART_ARC
(12,11),2.67215 # DEPENDENCYPART_ARC
(12,13),0.226726 # DEPENDENCYPART_ARC
(12,14),0.19558 # DEPENDENCYPART_ARC
(12,15),-0.611459 # DEPENDENCYPART_ARC
(12,16),-1.22218 # DEPENDENCYPART_ARC
(12,17),-0.759364 # DEPENDENCYPART_ARC
(12,18),-0.870313 # DEPENDENCYPART_ARC
(12,19),-0.901482 # DEPENDENCYPART_ARC
(12,20),-0.778513 # DEPENDENCYPART_ARC
(12,21),-1.00326 # DEPENDENCYPART_ARC
(12,22),-1.35866 # DEPENDENCYPART_ARC
(12,23),-1.43119 # DEPENDENCYPART_ARC
(12,24),-2.12553 # DEPENDENCYPART_ARC
(12,25),-1.36054 # DEPENDENCYPART_ARC
(13,1),0.0646388 # DEPENDENCYPART_ARC
(13,2),0.108691 # DEPENDENCYPART_ARC
(13,3),0.210402 # DEPENDENCYPART_ARC
(13,4),-2.57484 # DEPENDENCYPART_ARC
(13,5),-0.764717 # DEPENDENCYPART_ARC
(13,6),0.891492 # DEPENDENCYPART_ARC
(13,7),0.166232 # DEPENDENCYPART_ARC
(13,8),-1.2204 # DEPENDENCYPART_ARC
(13,9),0.680175 # DEPENDENCYPART_ARC
(13,10),-0.35001 # DEPENDENCYPART_ARC
(13,11),0.210874 # DEPENDENCYPART_ARC
(13,12),0.93158 # DEPENDENCYPART_ARC
(13,14),0.211877 # DEPENDENCYPART_ARC
(13,15),-0.0117695 # DEPENDENCYPART_ARC
(13,16),-0.239858 # DEPENDENCYPART_ARC
(13,17),-0.760042 # DEPENDENCYPART_ARC
(13,18),-0.56261 # DEPENDENCYPART_ARC
(13,19),-0.0721713 # DEPENDENCYPART_ARC
(13,20),-0.791645 # DEPENDENCYPART_ARC
(13,21),-0.812983 # DEPENDENCYPART_ARC
(13,22),-1.34487 # DEPENDENCYPART_ARC
(13,23),-0.704751 # DEPENDENCYPART_ARC
(13,24),-0.704773 # DEPENDENCYPART_ARC
(13,25),-1.86717 # DEPENDENCYPART_ARC
(14,1),-2.75335 # DEPENDENCYPART_ARC
(14,2),-1.75979 # DEPENDENCYPART_ARC
(14,3),-2.08937 # DEPENDENCYPART_ARC
(14,4),-3.87986 # DEPENDENCYPART_ARC
(14,5),-0.891591 # DEPENDENCYPART_ARC
(14,6),-1.33838 # DEPENDENCYPART_ARC
(14,7),-1.8863 # DEPENDENCYPART_ARC
(14,8),-3.29232 # DEPENDENCYPART_ARC
(14,9),-1.21998 # DEPENDENCYPART_ARC
(14,10),-1.04658 # DEPENDENCYPART_ARC
(14,11),0.183087 # DEPENDENCYPART_ARC
(14,12),-0.736672 # DEPENDENCYPART_ARC
(14,13),0.599623 # DEPENDENCYPART_ARC
(14,15),-0.230259 # DEPENDENCYPART_ARC
(14,16),-0.696592 # DEPENDENCYPART_ARC
(14,17),-0.234448 # DEPENDENCYPART_ARC
(14,18),-0.706514 # DEPENDENCYPART_ARC
(14,19),-0.728672 # DEPENDENCYPART_ARC
(14,20),-0.21791 # DEPENDENCYPART_ARC
(14,21),-1.36201 # DEPENDENCYPART_ARC
(14,22),-1.30813 # DEPENDENCYPART_ARC
(14,23),-1.31199 # DEPENDENCYPART_ARC
(14,24),-2.20719 # DEPENDENCYPART_ARC
(14,25),-1.02383 # DEPENDENCYPART_ARC
(15,1),-1.52202 # DEPENDENCYPART_ARC
(15,2),-0.748914 # DEPENDENCYPART_ARC
(15,3),-1.49089 # DEPENDENCYPART_ARC
(15,4),-4.45378 # DEPENDENCYPART_ARC
(15,5),-0.314084 # DEPENDENCYPART_ARC
(15,6),-1.57349 # DEPENDENCYPART_ARC
(15,7),-0.512397 # DEPENDENCYPART_ARC
(15,8),-2.93242 # DEPENDENCYPART_ARC
(15,9),-1.32192 # DEPENDENCYPART_ARC
(15,10),-1.65761 # DEPENDENCYPART_ARC
(15,11),0.596164 # DEPENDENCYPART_ARC
(15,12),0.247737 # DEPENDENCYPART_ARC
(15,13),0.844495 # DEPENDENCYPART_ARC
(15,14),3.42885 # DEPENDENCYPART_ARC
(15,16),-0.0311383 # DEPENDENCYPART_ARC
(15,17),0.289942 # DEPENDENCYPART_ARC
(15,18),-0.956873 # DEPENDENCYPART_ARC
(15,19),-0.413075 # DEPENDENCYPART_ARC
(15,20),-0.248661 # DEPENDENCYPART_ARC
(15,21),-1.11887 # DEPENDENCYPART_ARC
(15,22),-1.02559 # DEPENDENCYPART_ARC
(15,23),-1.39824 # DEPENDENCYPART_ARC
(15,24),-1.54411 # DEPENDENCYPART_ARC
(15,25),-0.980145 # DEPENDENCYPART_ARC
(16,1),-0.194673 # DEPENDENCYPART_ARC
(16,2),-0.59156 # DEPENDENCYPART_ARC
(16,3),-0.725611 # DEPENDENCYPART_ARC
(16,4),-9.59355 # DEPENDENCYPART_ARC
(16,5),0.0625087 # DEPENDENCYPART_ARC
(16,6),-0.49779 # DEPENDENCYPART_ARC
(16,7),-0.0623348 # DEPENDENCYPART_ARC
(16,8),-5.27566 # DEPENDENCYPART_ARC
(16,9),-0.310628 # DEPENDENCYPART_ARC
(16,10),-3.59882 # DEPENDENCYPART_ARC
(16,11),-0.208031 # DEPENDENCYPART_ARC
(16,12),0.19651 # DEPENDENCYPART_ARC
(16,13),-0.0917441 # DEPENDENCYPART_ARC
(16,14),1.48766 # DEPENDENCYPART_ARC
(16,15),3.09529 # DEPENDENCYPART_ARC
(16,17),-0.103935 # DEPENDENCYPART_ARC
(16,18),0.16886 # DEPENDENCYPART_ARC
(16,19),0.0813842 # DEPENDENCYPART_ARC
(16,20),-0.532727 # DEPENDENCYPART_ARC
(16,21),-2.296 # DEPENDENCYPART_ARC
(16,22),-1.77685 # DEPENDENCYPART_ARC
(16,23),-2.13506 # DEPENDENCYPART_ARC
(16,24),-1.49741 # DEPENDENCYPART_ARC
(16,25),-1.31192 # DEPENDENCYPART_ARC
(17,1),-0.827238 # DEPENDENCYPART_ARC
(17,2),-1.31214 # DEPENDENCYPART_ARC
(17,3),-0.776805 # DEPENDENCYPART_ARC
(17,4),-4.24822 # DEPENDENCYPART_ARC
(17,5),-0.3276 # DEPENDENCYPART_ARC
(17,6),-0.576447 # DEPENDENCYPART_ARC
(17,7),-0.339256 # DEPENDENCYPART_ARC
(17,8),-2.29911 # DEPENDENCYPART_ARC
(17,9),-0.63206 # DEPENDENCYPART_ARC
(17,10),-1.40728 # DEPENDENCYPART_ARC
(17,12),-0.697202 # DEPENDENCYPART_ARC
(17,13),-0.393389 # DEPENDENCYPART_ARC
(17,14),0.63524 # DEPENDENCYPART_ARC
(17,15),2.04355 # DEPENDENCYPART_ARC
(17,16),2.61292 # DEPENDENCYPART_ARC
(17,18),-0.22182 # DEPENDENCYPART_ARC
(17,19),-0.632293 # DEPENDENCYPART_ARC
(17,20),-0.899747 # DEPENDENCYPART_ARC
(17,21),-1.0236 # DEPENDENCYPART_ARC
(17,22),-1.73462 # DEPENDENCYPART_ARC
(17,23),-1.33166 # DEPENDENCYPART_ARC
(17,24),-1.38179 # DEPENDENCYPART_ARC
(17,25),-1.62243 # DEPENDENCYPART_ARC
(18,1),-2.64245 # DEPENDENCYPART_ARC
(18,2),-1.09689 # DEPENDENCYPART_ARC
(18,3),-1.81155 # DEPENDENCYPART_ARC
(18,4),-6.29419 # DEPENDENCYPART_ARC
(18,5),-0.519472 # DEPENDENCYPART_ARC
(18,6),-1.36797 # DEPENDENCYPART_ARC
(18,7),-1.38563 # DEPENDENCYPART_ARC
(18,8),-4.95051 # DEPENDENCYPART_ARC
(18,9),-0.965641 # DEPENDENCYPART_ARC
(18,10),-3.69701 # DEPENDENCYPART_ARC
(18,11),0.165781 # DEPENDENCYPART_ARC
(18,12),-1.57122 # DEPENDENCYPART_ARC
(18,13),0.456546 # DEPENDENCYPART_ARC
(18,14),0.932633 # DEPENDENCYPART_ARC
(18,15),0.621455 # DEPENDENCYPART_ARC
(18,16),0.120248 # DEPENDENCYPART_ARC
(18,17),3.01646 # DEPENDENCYPART_ARC
(18,19),-0.103028 # DEPENDENCYPART_ARC
(18,20),-0.146433 # DEPENDENCYPART_ARC
(18,21),-1.12548 # DEPENDENCYPART_ARC
(18,22),-1.10674 # DEPENDENCYPART_ARC
(18,23),-1.47622 # DEPENDENCYPART_ARC
(18,24),-1.86972 # DEPENDENCYPART_ARC
(18,25),-1.05949 # DEPENDENCYPART_ARC
(19,1),-2.01673 # DEPENDENCYPART_ARC
(19,2),-2.04843 # DEPENDENCYPART_ARC
(19,3),-1.62506 # DEPENDENCYPART_ARC
(19,4),-1.36307 # DEPENDENCYPART_ARC
(19,5),-0.587184 # DEPENDENCYPART_ARC
(19,6),-0.894812 # DEPENDENCYPART_ARC
(19,7),-0.968422 # DEPENDENCYPART_ARC
(19,8),-1.39031 # DEPENDENCYPART_ARC
(19,9),-0.571924 # DEPENDENCYPART_ARC
(19,10),-1.10711 # DEPENDENCYPART_ARC
(19,12),-0.681089 # DEPENDENCYPART_ARC
(19,13),-0.0434639 # DEPENDENCYPART_ARC
(19,14),-0.0952959 # DEPENDENCYPART_ARC
(19,15),0.778832 # DEPENDENCYPART_ARC
(19,16),0.0855706 # DEPENDENCYPART_ARC
(19,17),1.01665 # DEPENDENCYPART_ARC
(19,18),3.6283 # DEPENDENCYPART_ARC
(19,20),-0.0744921 # DEPENDENCYPART_ARC
(19,21),-0.57677 # DEPENDENCYPART_ARC
(19,22),-0.869023 # DEPENDENCYPART_ARC
(19,23),-0.835512 # DEPENDENCYPART_ARC
(19,24),-0.942956 # DEPENDENCYPART_ARC
(19,25),-0.840083 # DEPENDENCYPART_ARC
(20,1),-0.685075 # DEPENDENCYPART_ARC
(20,2),-0.609205 # DEPENDENCYPART_ARC
(20,3),-0.520507 # DEPENDENCYPART_ARC
(20,4),-4.40499 # DEPENDENCYPART_ARC
(20,5),-1.111 # DEPENDENCYPART_ARC
(20,6),0.121429 # DEPENDENCYPART_ARC
(20,7),-0.586879 # DEPENDENCYPART_ARC
(20,8),-3.21276 # DEPENDENCYPART_ARC
(20,9),-0.0168461 # DEPENDENCYPART_ARC
(20,10),-3.00896 # DEPENDENCYPART_ARC
(20,11),-1.15932 # DEPENDENCYPART_ARC
(20,12),-0.539452 # DEPENDENCYPART_ARC
(20,13),-0.187312 # DEPENDENCYPART_ARC
(20,14),0.221254 # DEPENDENCYPART_ARC
(20,15),0.0424347 # DEPENDENCYPART_ARC
(20,16),-1.02334 # DEPENDENCYPART_ARC
(20,17),-0.0167064 # DEPENDENCYPART_ARC
(20,18),0.243391 # DEPENDENCYPART_ARC
(20,19),-0.15682 # DEPENDENCYPART_ARC
(20,21),0.00430324 # DEPENDENCYPART_ARC
(20,22),-0.841247 # DEPENDENCYPART_ARC
(20,23),-0.385621 # DEPENDENCYPART_ARC
(20,24),-0.203703 # DEPENDENCYPART_ARC
(20,25),-0.824077 # DEPENDENCYPART_ARC
(21,1),-2.67544 # DEPENDENCYPART_ARC
(21,2),-2.18647 # DEPENDENCYPART_ARC
(21,3),-2.43711 # DEPENDENCYPART_ARC
(21,4),-9.99458 # DEPENDENCYPART_ARC
(21,5),-1.19259 # DEPENDENCYPART_ARC
(21,6),-1.43393 # DEPENDENCYPART_ARC
(21,7),-1.8905 # DEPENDENCYPART_ARC
(21,8),-8.22608 # DEPENDENCYPART_ARC
(21,9),-1.21381 # DEPENDENCYPART_ARC
(21,10),-5.51472 # DEPENDENCYPART_ARC
(21,11),-1.3123 # DEPENDENCYPART_ARC
(21,12),-1.54814 # DEPENDENCYPART_ARC
