# _root_ Ben bir hizmet _ insanıyım , söylerim , _ söylediğimin arkasından giderim ve bana neye mal olursa_olsun ben bununla iftihar ederim .
#goldHeads=4,3,4,5,6,22,8,22,10,11,12,13,21,15,17,17,21,19,20,21,22,0,
#predictedHeads=5,3,4,5,6,7,8,21,10,11,12,13,21,17,17,17,21,21,20,21,22,0,
(14,8),0.13913 # DEPENDENCYPART_ARC
(14,11),-0.657176 # DEPENDENCYPART_ARC
(14,13),0.349774 # DEPENDENCYPART_ARC
(14,16),-1.33794 # DEPENDENCYPART_ARC
(14,18),-1.22983 # DEPENDENCYPART_ARC
(14,20),-1.66568 # DEPENDENCYPART_ARC
(14,22),-0.980793 # DEPENDENCYPART_ARC
(15,1),-2.07482 # DEPENDENCYPART_ARC
(15,3),-2.47274 # DEPENDENCYPART_ARC
(15,4),-2.04363 # DEPENDENCYPART_ARC
(15,5),-1.5941 # DEPENDENCYPART_ARC
(15,6),-0.859981 # DEPENDENCYPART_ARC
(15,8),-0.35862 # DEPENDENCYPART_ARC
(15,11),-0.975502 # DEPENDENCYPART_ARC
(15,13),-0.682449 # DEPENDENCYPART_ARC
(15,14),-0.315989 # DEPENDENCYPART_ARC
(15,16),0.249712 # DEPENDENCYPART_ARC
(15,18),-0.3991 # DEPENDENCYPART_ARC
(15,19),-0.642713 # DEPENDENCYPART_ARC
(15,20),-0.473084 # DEPENDENCYPART_ARC
(15,22),-0.542725 # DEPENDENCYPART_ARC
(16,1),-0.990129 # DEPENDENCYPART_ARC
(16,2),-0.522065 # DEPENDENCYPART_ARC
(16,3),-1.2711 # DEPENDENCYPART_ARC
(16,4),-4.49751 # DEPENDENCYPART_ARC
(16,5),-1.20958 # DEPENDENCYPART_ARC
(16,6),-0.26117 # DEPENDENCYPART_ARC
(16,7),-0.893684 # DEPENDENCYPART_ARC
(16,8),0.0424986 # DEPENDENCYPART_ARC
(16,9),-0.924332 # DEPENDENCYPART_ARC
(16,10),-0.881426 # DEPENDENCYPART_ARC
(16,11),-0.642561 # DEPENDENCYPART_ARC
(16,12),-0.347556 # DEPENDENCYPART_ARC
(16,13),0.142799 # DEPENDENCYPART_ARC
(16,14),-0.072436 # DEPENDENCYPART_ARC
(16,15),1.16401 # DEPENDENCYPART_ARC
(16,17),0.108616 # DEPENDENCYPART_ARC
(16,18),0.88 # DEPENDENCYPART_ARC
(16,19),-0.731095 # DEPENDENCYPART_ARC
(16,20),-0.211619 # DEPENDENCYPART_ARC
(16,21),-0.747432 # DEPENDENCYPART_ARC
(16,22),-0.256593 # DEPENDENCYPART_ARC
(17,1),0.55735 # DEPENDENCYPART_ARC
(17,2),-0.687642 # DEPENDENCYPART_ARC
(17,3),0.0490266 # DEPENDENCYPART_ARC
(17,4),-5.0566 # DEPENDENCYPART_ARC
(17,5),-0.975876 # DEPENDENCYPART_ARC
(17,6),0.314775 # DEPENDENCYPART_ARC
(17,7),-0.76272 # DEPENDENCYPART_ARC
(17,8),1.24227 # DEPENDENCYPART_ARC
(17,9),-3.21364 # DEPENDENCYPART_ARC
(17,10),0.315253 # DEPENDENCYPART_ARC
(17,11),1.58907 # DEPENDENCYPART_ARC
(17,12),0.462899 # DEPENDENCYPART_ARC
(17,13),1.19167 # DEPENDENCYPART_ARC
(17,14),2.12939 # DEPENDENCYPART_ARC
(17,15),2.18125 # DEPENDENCYPART_ARC
(17,16),3.26842 # DEPENDENCYPART_ARC
(17,18),1.34152 # DEPENDENCYPART_ARC
(17,19),0.253661 # DEPENDENCYPART_ARC
(17,20),0.515968 # DEPENDENCYPART_ARC
(17,21),-0.804995 # DEPENDENCYPART_ARC
(17,22),-0.682005 # DEPENDENCYPART_ARC
(18,1),-1.60981 # DEPENDENCYPART_ARC
(18,2),-0.794461 # DEPENDENCYPART_ARC
(18,3),-1.918 # DEPENDENCYPART_ARC
(18,4),-1.44775 # DEPENDENCYPART_ARC
(18,6),-0.524158 # DEPENDENCYPART_ARC
(18,8),-0.0303643 # DEPENDENCYPART_ARC
(18,11),-0.339796 # DEPENDENCYPART_ARC
(18,13),-0.64566 # DEPENDENCYPART_ARC
(18,14),-1.40191 # DEPENDENCYPART_ARC
(18,16),-0.64398 # DEPENDENCYPART_ARC
(18,20),-0.319844 # DEPENDENCYPART_ARC
(18,22),-0.0703274 # DEPENDENCYPART_ARC
(19,1),-2.07128 # DEPENDENCYPART_ARC
(19,2),-0.95822 # DEPENDENCYPART_ARC
(19,3),-1.96701 # DEPENDENCYPART_ARC
(19,4),-1.53852 # DEPENDENCYPART_ARC
(19,5),-1.44899 # DEPENDENCYPART_ARC
(19,6),-0.620758 # DEPENDENCYPART_ARC
(19,8),-0.149233 # DEPENDENCYPART_ARC
(19,11),-0.411909 # DEPENDENCYPART_ARC
(19,13),-0.609122 # DEPENDENCYPART_ARC
(19,14),-1.77436 # DEPENDENCYPART_ARC
(19,16),-1.08319 # DEPENDENCYPART_ARC
(19,18),-0.0586484 # DEPENDENCYPART_ARC
(19,20),0.303804 # DEPENDENCYPART_ARC
(19,22),-0.528199 # DEPENDENCYPART_ARC
(20,1),-1.29523 # DEPENDENCYPART_ARC
(20,2),-0.83636 # DEPENDENCYPART_ARC
(20,3),-1.82033 # DEPENDENCYPART_ARC
(20,4),-6.10044 # DEPENDENCYPART_ARC
(20,5),-1.33193 # DEPENDENCYPART_ARC
(20,6),-0.38812 # DEPENDENCYPART_ARC
(20,7),-1.05442 # DEPENDENCYPART_ARC
(20,8),0.0143233 # DEPENDENCYPART_ARC
(20,9),-2.02002 # DEPENDENCYPART_ARC
(20,10),-1.3894 # DEPENDENCYPART_ARC
(20,11),-1.15509 # DEPENDENCYPART_ARC
(20,12),-0.641157 # DEPENDENCYPART_ARC
(20,13),-0.225005 # DEPENDENCYPART_ARC
(20,14),-1.17106 # DEPENDENCYPART_ARC
(20,15),-0.72601 # DEPENDENCYPART_ARC
(20,16),0.115429 # DEPENDENCYPART_ARC
(20,17),-0.0798504 # DEPENDENCYPART_ARC
(20,18),0.528565 # DEPENDENCYPART_ARC
(20,19),1.21902 # DEPENDENCYPART_ARC
(20,21),-0.0279352 # DEPENDENCYPART_ARC
(20,22),0.253607 # DEPENDENCYPART_ARC
(21,1),1.12241 # DEPENDENCYPART_ARC
(21,2),-0.585024 # DEPENDENCYPART_ARC
(21,3),-0.74622 # DEPENDENCYPART_ARC
(21,4),-7.74792 # DEPENDENCYPART_ARC
(21,5),-0.572074 # DEPENDENCYPART_ARC
(21,6),0.922078 # DEPENDENCYPART_ARC
(21,7),-0.0820687 # DEPENDENCYPART_ARC
(21,8),1.67206 # DEPENDENCYPART_ARC
(21,9),-4.38265 # DEPENDENCYPART_ARC
(21,10),-0.608536 # DEPENDENCYPART_ARC
(21,11),0.313183 # DEPENDENCYPART_ARC
(21,12),0.884109 # DEPENDENCYPART_ARC
(21,13),2.2383 # DEPENDENCYPART_ARC
(21,14),1.94229 # DEPENDENCYPART_ARC
(21,15),0.770357 # DEPENDENCYPART_ARC
(21,16),0.933246 # DEPENDENCYPART_ARC
(21,17),0.547462 # DEPENDENCYPART_ARC
(21,18),2.8769 # DEPENDENCYPART_ARC
(21,19),0.979026 # DEPENDENCYPART_ARC
(21,20),3.07344 # DEPENDENCYPART_ARC
(21,22),-0.29253 # DEPENDENCYPART_ARC
(22,1),-0.83683 # DEPENDENCYPART_ARC
(22,2),-0.790607 # DEPENDENCYPART_ARC
(22,3),-0.913359 # DEPENDENCYPART_ARC
(22,4),-4.655 # DEPENDENCYPART_ARC
(22,5),-1.0338 # DEPENDENCYPART_ARC
(22,6),-0.382043 # DEPENDENCYPART_ARC
(22,7),-0.0522783 # DEPENDENCYPART_ARC
(22,8),0.265923 # DEPENDENCYPART_ARC
(22,9),-3.47982 # DEPENDENCYPART_ARC
(22,10),-0.456931 # DEPENDENCYPART_ARC
(22,11),-0.0702081 # DEPENDENCYPART_ARC
(22,12),-0.212051 # DEPENDENCYPART_ARC
(22,13),-0.135069 # DEPENDENCYPART_ARC
(22,14),-0.018883 # DEPENDENCYPART_ARC
(22,15),-0.189486 # DEPENDENCYPART_ARC
(22,16),-0.10684 # DEPENDENCYPART_ARC
(22,17),0.367518 # DEPENDENCYPART_ARC
(22,18),-0.336755 # DEPENDENCYPART_ARC
(22,19),-0.186284 # DEPENDENCYPART_ARC
(22,20),0.133121 # DEPENDENCYPART_ARC
(22,21),1.55297 # DEPENDENCYPART_ARC
