# _root_ Netameli uçaklardan _ sonuncusunun _ _ iade_edilişiyle birlikte , deve _ kurban_eden ve _ kanlı deve parçalarıyla personele fotoğraflar _ _ _ çektirten kişi , başka nasıl biri _ olabilir ?
#goldHeads=2,4,4,6,6,7,8,11,0,11,12,13,23,15,17,17,22,22,22,21,22,23,24,30,0,27,28,30,30,31,0,
#predictedHeads=2,6,4,6,6,7,8,28,0,11,12,13,14,15,16,17,22,22,20,21,22,23,24,30,0,28,28,29,30,31,0,
(2,8),-0.395686 # DEPENDENCYPART_ARC
(2,9),-0.367513 # DEPENDENCYPART_ARC
(2,10),-1.21235 # DEPENDENCYPART_ARC
(2,11),-1.01808 # DEPENDENCYPART_ARC
(2,12),-0.705547 # DEPENDENCYPART_ARC
(2,13),-1.42101 # DEPENDENCYPART_ARC
(2,14),-2.19987 # DEPENDENCYPART_ARC
(2,15),-1.42374 # DEPENDENCYPART_ARC
(2,16),-2.29726 # DEPENDENCYPART_ARC
(2,17),-3.20826 # DEPENDENCYPART_ARC
(2,18),-2.36594 # DEPENDENCYPART_ARC
(2,19),-3.04438 # DEPENDENCYPART_ARC
(2,20),-1.51207 # DEPENDENCYPART_ARC
(2,21),-1.53487 # DEPENDENCYPART_ARC
(2,22),-1.83756 # DEPENDENCYPART_ARC
(2,23),-1.24869 # DEPENDENCYPART_ARC
(2,24),-2.65281 # DEPENDENCYPART_ARC
(2,25),-1.3537 # DEPENDENCYPART_ARC
(2,26),-1.40782 # DEPENDENCYPART_ARC
(2,27),-1.33559 # DEPENDENCYPART_ARC
(2,28),-2.47553 # DEPENDENCYPART_ARC
(2,29),-1.90706 # DEPENDENCYPART_ARC
(2,30),-1.93035 # DEPENDENCYPART_ARC
(2,31),-2.03198 # DEPENDENCYPART_ARC
(3,1),0.77596 # DEPENDENCYPART_ARC
(3,2),1.57717 # DEPENDENCYPART_ARC
(3,4),0.753375 # DEPENDENCYPART_ARC
(3,5),0.0507611 # DEPENDENCYPART_ARC
(3,6),-0.10083 # DEPENDENCYPART_ARC
(3,7),0.594408 # DEPENDENCYPART_ARC
(3,8),0.0727153 # DEPENDENCYPART_ARC
(3,9),-0.234468 # DEPENDENCYPART_ARC
(3,10),-0.0555197 # DEPENDENCYPART_ARC
(3,11),-0.730669 # DEPENDENCYPART_ARC
(3,12),-0.604345 # DEPENDENCYPART_ARC
(3,13),-0.936581 # DEPENDENCYPART_ARC
(3,14),-0.974258 # DEPENDENCYPART_ARC
(3,15),-1.0952 # DEPENDENCYPART_ARC
(3,16),-1.21282 # DEPENDENCYPART_ARC
(3,17),-1.24932 # DEPENDENCYPART_ARC
(3,18),-1.43198 # DEPENDENCYPART_ARC
(3,19),-1.57598 # DEPENDENCYPART_ARC
(3,20),-1.85763 # DEPENDENCYPART_ARC
(3,21),-1.83272 # DEPENDENCYPART_ARC
(3,22),-1.88611 # DEPENDENCYPART_ARC
(3,23),-1.28878 # DEPENDENCYPART_ARC
(3,24),-1.18606 # DEPENDENCYPART_ARC
(3,25),-1.58687 # DEPENDENCYPART_ARC
(3,26),-1.48386 # DEPENDENCYPART_ARC
(3,27),-1.48679 # DEPENDENCYPART_ARC
(3,28),-0.167033 # DEPENDENCYPART_ARC
(3,29),-2.29869 # DEPENDENCYPART_ARC
(3,30),-2.0462 # DEPENDENCYPART_ARC
(3,31),-1.96419 # DEPENDENCYPART_ARC
(4,1),1.26543 # DEPENDENCYPART_ARC
(4,2),1.56883 # DEPENDENCYPART_ARC
(4,3),2.85511 # DEPENDENCYPART_ARC
(4,5),-0.189685 # DEPENDENCYPART_ARC
(4,6),-0.766967 # DEPENDENCYPART_ARC
(4,7),-0.527506 # DEPENDENCYPART_ARC
(4,8),-0.659444 # DEPENDENCYPART_ARC
(4,9),-0.796397 # DEPENDENCYPART_ARC
(4,10),-1.2182 # DEPENDENCYPART_ARC
(4,11),-1.41556 # DEPENDENCYPART_ARC
(4,12),-1.18024 # DEPENDENCYPART_ARC
(4,13),-1.63475 # DEPENDENCYPART_ARC
(4,14),-2.02137 # DEPENDENCYPART_ARC
(4,15),-1.75647 # DEPENDENCYPART_ARC
(4,16),-2.37651 # DEPENDENCYPART_ARC
(4,17),-3.1816 # DEPENDENCYPART_ARC
(4,18),-2.41054 # DEPENDENCYPART_ARC
(4,19),-3.30075 # DEPENDENCYPART_ARC
(4,20),-1.91782 # DEPENDENCYPART_ARC
(4,21),-1.99419 # DEPENDENCYPART_ARC
(4,22),-2.21771 # DEPENDENCYPART_ARC
(4,23),-1.539 # DEPENDENCYPART_ARC
(4,24),-2.62301 # DEPENDENCYPART_ARC
(4,25),-1.78411 # DEPENDENCYPART_ARC
(4,26),-1.7969 # DEPENDENCYPART_ARC
(4,27),-1.87872 # DEPENDENCYPART_ARC
(4,28),-3.31988 # DEPENDENCYPART_ARC
(4,29),-2.22162 # DEPENDENCYPART_ARC
(4,30),-2.10073 # DEPENDENCYPART_ARC
(4,31),-2.54756 # DEPENDENCYPART_ARC
(5,1),-0.231188 # DEPENDENCYPART_ARC
(5,2),1.31162 # DEPENDENCYPART_ARC
(5,3),0.013827 # DEPENDENCYPART_ARC
(5,4),1.61464 # DEPENDENCYPART_ARC
(5,6),0.353903 # DEPENDENCYPART_ARC
(5,7),0.525996 # DEPENDENCYPART_ARC
(5,8),0.152283 # DEPENDENCYPART_ARC
(5,9),-0.144805 # DEPENDENCYPART_ARC
(5,10),-1.07446 # DEPENDENCYPART_ARC
(5,11),-0.624445 # DEPENDENCYPART_ARC
(5,12),-0.787183 # DEPENDENCYPART_ARC
(5,13),-1.40306 # DEPENDENCYPART_ARC
(5,14),-2.11841 # DEPENDENCYPART_ARC
(5,15),-1.19171 # DEPENDENCYPART_ARC
(5,16),-2.07689 # DEPENDENCYPART_ARC
(5,17),-2.31497 # DEPENDENCYPART_ARC
(5,18),-2.55647 # DEPENDENCYPART_ARC
(5,19),-2.83266 # DEPENDENCYPART_ARC
(5,20),-1.7512 # DEPENDENCYPART_ARC
(5,21),-2.0002 # DEPENDENCYPART_ARC
(5,22),-2.04481 # DEPENDENCYPART_ARC
(5,23),-2.02984 # DEPENDENCYPART_ARC
(5,24),-2.17769 # DEPENDENCYPART_ARC
(5,25),-1.65173 # DEPENDENCYPART_ARC
(5,26),-2.20817 # DEPENDENCYPART_ARC
(5,27),-2.30236 # DEPENDENCYPART_ARC
(5,28),-1.59259 # DEPENDENCYPART_ARC
(5,29),-2.8581 # DEPENDENCYPART_ARC
(5,30),-1.6096 # DEPENDENCYPART_ARC
(5,31),-2.33844 # DEPENDENCYPART_ARC
(6,1),0.425673 # DEPENDENCYPART_ARC
(6,2),1.7117 # DEPENDENCYPART_ARC
(6,3),-0.869228 # DEPENDENCYPART_ARC
(6,4),2.61222 # DEPENDENCYPART_ARC
(6,5),3.36202 # DEPENDENCYPART_ARC
(6,7),1.01064 # DEPENDENCYPART_ARC
(6,8),0.380312 # DEPENDENCYPART_ARC
(6,9),-0.25741 # DEPENDENCYPART_ARC
(6,10),-1.75501 # DEPENDENCYPART_ARC
(6,11),-1.05101 # DEPENDENCYPART_ARC
(6,12),-1.0678 # DEPENDENCYPART_ARC
(6,13),-1.38949 # DEPENDENCYPART_ARC
(6,14),-2.83428 # DEPENDENCYPART_ARC
(6,15),-1.55771 # DEPENDENCYPART_ARC
(6,16),-2.58507 # DEPENDENCYPART_ARC
(6,17),-1.78753 # DEPENDENCYPART_ARC
(6,18),-3.03125 # DEPENDENCYPART_ARC
(6,19),-3.18531 # DEPENDENCYPART_ARC
(6,20),-2.02508 # DEPENDENCYPART_ARC
(6,21),-2.26356 # DEPENDENCYPART_ARC
(6,22),-2.59123 # DEPENDENCYPART_ARC
(6,23),-2.18728 # DEPENDENCYPART_ARC
(6,24),-3.02883 # DEPENDENCYPART_ARC
(6,25),-1.53421 # DEPENDENCYPART_ARC
(6,26),-2.34929 # DEPENDENCYPART_ARC
(6,27),-2.48874 # DEPENDENCYPART_ARC
(6,28),-1.59678 # DEPENDENCYPART_ARC
(6,29),-3.19438 # DEPENDENCYPART_ARC
(6,30),-2.07381 # DEPENDENCYPART_ARC
(6,31),-2.43075 # DEPENDENCYPART_ARC
(7,1),0.699241 # DEPENDENCYPART_ARC
(7,2),0.678324 # DEPENDENCYPART_ARC
(7,3),-0.2493 # DEPENDENCYPART_ARC
(7,4),2.46378 # DEPENDENCYPART_ARC
(7,5),1.29914 # DEPENDENCYPART_ARC
(7,6),2.93024 # DEPENDENCYPART_ARC
(7,8),-0.131617 # DEPENDENCYPART_ARC
(7,9),-0.376164 # DEPENDENCYPART_ARC
(7,10),-1.23669 # DEPENDENCYPART_ARC
(7,11),-1.20723 # DEPENDENCYPART_ARC
(7,12),-1.0096 # DEPENDENCYPART_ARC
(7,13),-1.45199 # DEPENDENCYPART_ARC
(7,14),-2.04616 # DEPENDENCYPART_ARC
(7,15),-1.57389 # DEPENDENCYPART_ARC
(7,16),-2.0436 # DEPENDENCYPART_ARC
(7,17),-2.32735 # DEPENDENCYPART_ARC
(7,18),-2.27053 # DEPENDENCYPART_ARC
(7,19),-3.22302 # DEPENDENCYPART_ARC
(7,20),-1.85602 # DEPENDENCYPART_ARC
(7,21),-1.81562 # DEPENDENCYPART_ARC
(7,22),-2.05174 # DEPENDENCYPART_ARC
(7,23),-1.54218 # DEPENDENCYPART_ARC
(7,24),-2.62453 # DEPENDENCYPART_ARC
(7,25),-1.51273 # DEPENDENCYPART_ARC
(7,26),-1.60048 # DEPENDENCYPART_ARC
(7,27),-1.64689 # DEPENDENCYPART_ARC
(7,28),-2.63555 # DEPENDENCYPART_ARC
(7,29),-2.08939 # DEPENDENCYPART_ARC
(7,30),-2.21743 # DEPENDENCYPART_ARC
(7,31),-2.30757 # DEPENDENCYPART_ARC
(8,1),0.0216313 # DEPENDENCYPART_ARC
(8,2),0.700636 # DEPENDENCYPART_ARC
(8,3),0.145899 # DEPENDENCYPART_ARC
(8,4),0.971701 # DEPENDENCYPART_ARC
(8,5),0.348826 # DEPENDENCYPART_ARC
(8,6),1.15343 # DEPENDENCYPART_ARC
(8,7),1.85344 # DEPENDENCYPART_ARC
(8,9),-0.0288419 # DEPENDENCYPART_ARC
(8,10),-0.863365 # DEPENDENCYPART_ARC
(8,11),-0.879249 # DEPENDENCYPART_ARC
(8,12),-1.01231 # DEPENDENCYPART_ARC
(8,13),-0.978295 # DEPENDENCYPART_ARC
(8,14),-1.48759 # DEPENDENCYPART_ARC
(8,15),-1.46224 # DEPENDENCYPART_ARC
(8,16),-1.62385 # DEPENDENCYPART_ARC
(8,17),-1.54102 # DEPENDENCYPART_ARC
(8,18),-1.61634 # DEPENDENCYPART_ARC
(8,19),-1.89815 # DEPENDENCYPART_ARC
(8,20),-1.57939 # DEPENDENCYPART_ARC
(8,21),-1.67209 # DEPENDENCYPART_ARC
(8,22),-1.63389 # DEPENDENCYPART_ARC
(8,23),-1.78722 # DEPENDENCYPART_ARC
(8,24),-2.0508 # DEPENDENCYPART_ARC
(8,25),-1.62853 # DEPENDENCYPART_ARC
(8,26),-1.85711 # DEPENDENCYPART_ARC
(8,27),-1.79399 # DEPENDENCYPART_ARC
(8,28),-0.931372 # DEPENDENCYPART_ARC
(8,29),-1.8371 # DEPENDENCYPART_ARC
(8,30),-1.98647 # DEPENDENCYPART_ARC
(8,31),-1.99281 # DEPENDENCYPART_ARC
(9,1),-0.588936 # DEPENDENCYPART_ARC
(9,2),-0.0407156 # DEPENDENCYPART_ARC
(9,3),-2.17951 # DEPENDENCYPART_ARC
(9,4),0.018758 # DEPENDENCYPART_ARC
(9,5),-1.4084 # DEPENDENCYPART_ARC
(9,6),-0.654578 # DEPENDENCYPART_ARC
(9,7),0.160582 # DEPENDENCYPART_ARC
(9,8),0.0744008 # DEPENDENCYPART_ARC
(9,10),0.122991 # DEPENDENCYPART_ARC
(9,11),-0.32017 # DEPENDENCYPART_ARC
(9,12),-0.552204 # DEPENDENCYPART_ARC
(9,13),-0.473628 # DEPENDENCYPART_ARC
(9,14),-0.916855 # DEPENDENCYPART_ARC
(9,15),-0.8937 # DEPENDENCYPART_ARC
(9,16),-0.934618 # DEPENDENCYPART_ARC
(9,17),-1.01415 # DEPENDENCYPART_ARC
(9,18),-1.00015 # DEPENDENCYPART_ARC
(9,19),-1.03221 # DEPENDENCYPART_ARC
(9,20),-1.31335 # DEPENDENCYPART_ARC
(9,21),-1.31899 # DEPENDENCYPART_ARC
(9,22),-1.6149 # DEPENDENCYPART_ARC
(9,23),-1.10938 # DEPENDENCYPART_ARC
(9,24),-1.85004 # DEPENDENCYPART_ARC
(9,25),-1.95391 # DEPENDENCYPART_ARC
(9,26),-1.38948 # DEPENDENCYPART_ARC
(9,27),-1.28639 # DEPENDENCYPART_ARC
(9,28),-1.11553 # DEPENDENCYPART_ARC
(9,29),-1.7848 # DEPENDENCYPART_ARC
(9,30),-1.46492 # DEPENDENCYPART_ARC
(9,31),-2.70344 # DEPENDENCYPART_ARC
(10,1),-1.32719 # DEPENDENCYPART_ARC
(10,2),-2.12208 # DEPENDENCYPART_ARC
(10,3),-3.2846 # DEPENDENCYPART_ARC
(10,4),-1.83317 # DEPENDENCYPART_ARC
(10,5),-1.48417 # DEPENDENCYPART_ARC
(10,6),-0.741076 # DEPENDENCYPART_ARC
(10,7),-1.34898 # DEPENDENCYPART_ARC
(10,8),-0.50789 # DEPENDENCYPART_ARC
(10,9),0.190372 # DEPENDENCYPART_ARC
(10,11),-0.0246124 # DEPENDENCYPART_ARC
(10,12),0.317797 # DEPENDENCYPART_ARC
(10,13),-0.305911 # DEPENDENCYPART_ARC
(10,14),-0.844502 # DEPENDENCYPART_ARC
(10,15),-0.665693 # DEPENDENCYPART_ARC
(10,16),-1.16107 # DEPENDENCYPART_ARC
(10,17),-2.10207 # DEPENDENCYPART_ARC
(10,18),-1.46262 # DEPENDENCYPART_ARC
(10,19),-1.47069 # DEPENDENCYPART_ARC
(10,20),-0.849536 # DEPENDENCYPART_ARC
(10,21),-1.13116 # DEPENDENCYPART_ARC
(10,22),-1.39284 # DEPENDENCYPART_ARC
(10,23),-0.7396 # DEPENDENCYPART_ARC
(10,24),-1.60918 # DEPENDENCYPART_ARC
(10,25),-0.612956 # DEPENDENCYPART_ARC
(10,26),-1.07009 # DEPENDENCYPART_ARC
(10,27),-1.08491 # DEPENDENCYPART_ARC
(10,28),-1.59438 # DEPENDENCYPART_ARC
(10,29),-1.53005 # DEPENDENCYPART_ARC
(10,30),-1.88264 # DEPENDENCYPART_ARC
(10,31),-1.74537 # DEPENDENCYPART_ARC
(11,1),-0.334376 # DEPENDENCYPART_ARC
(11,2),0.865844 # DEPENDENCYPART_ARC
(11,3),-5.15042 # DEPENDENCYPART_ARC
(11,4),0.794258 # DEPENDENCYPART_ARC
(11,5),-2.99838 # DEPENDENCYPART_ARC
(11,6),-2.20917 # DEPENDENCYPART_ARC
(11,7),0.555259 # DEPENDENCYPART_ARC
(11,8),0.466868 # DEPENDENCYPART_ARC
(11,9),0.363584 # DEPENDENCYPART_ARC
(11,10),2.66173 # DEPENDENCYPART_ARC
(11,12),0.289901 # DEPENDENCYPART_ARC
(11,13),0.309055 # DEPENDENCYPART_ARC
(11,14),-1.1316 # DEPENDENCYPART_ARC
(11,15),-0.812857 # DEPENDENCYPART_ARC
(11,16),-1.38416 # DEPENDENCYPART_ARC
(11,17),-1.56064 # DEPENDENCYPART_ARC
(11,18),-1.50752 # DEPENDENCYPART_ARC
(11,19),-2.16188 # DEPENDENCYPART_ARC
(11,20),-1.26956 # DEPENDENCYPART_ARC
(11,21),-1.6056 # DEPENDENCYPART_ARC
(11,22),-1.98367 # DEPENDENCYPART_ARC
(11,23),-1.63939 # DEPENDENCYPART_ARC
(11,24),-1.71404 # DEPENDENCYPART_ARC
(11,25),-1.2312 # DEPENDENCYPART_ARC
(11,26),-1.98772 # DEPENDENCYPART_ARC
(11,27),-2.0793 # DEPENDENCYPART_ARC
(11,28),-1.80355 # DEPENDENCYPART_ARC
(11,29),-2.57935 # DEPENDENCYPART_ARC
(11,30),-1.65052 # DEPENDENCYPART_ARC
(11,31),-2.2278 # DEPENDENCYPART_ARC
(12,1),-0.577942 # DEPENDENCYPART_ARC
(12,2),-0.143274 # DEPENDENCYPART_ARC
(12,3),-2.74639 # DEPENDENCYPART_ARC
(12,4),0.0520464 # DEPENDENCYPART_ARC
(12,5),-1.28458 # DEPENDENCYPART_ARC
(12,6),-0.832354 # DEPENDENCYPART_ARC
(12,7),0.427134 # DEPENDENCYPART_ARC
(12,8),0.300078 # DEPENDENCYPART_ARC
(12,9),0.555219 # DEPENDENCYPART_ARC
(12,10),1.75355 # DEPENDENCYPART_ARC
(12,11),2.86678 # DEPENDENCYPART_ARC
(12,13),-0.242145 # DEPENDENCYPART_ARC
(12,14),-1.19922 # DEPENDENCYPART_ARC
(12,15),-1.86865 # DEPENDENCYPART_ARC
(12,16),-1.51296 # DEPENDENCYPART_ARC
(12,17),-1.72258 # DEPENDENCYPART_ARC
(12,18),-1.78861 # DEPENDENCYPART_ARC
(12,19),-1.8921 # DEPENDENCYPART_ARC
(12,20),-2.03762 # DEPENDENCYPART_ARC
(12,21),-1.85191 # DEPENDENCYPART_ARC
(12,22),-1.86884 # DEPENDENCYPART_ARC
(12,23),-2.30584 # DEPENDENCYPART_ARC
(12,24),-2.03288 # DEPENDENCYPART_ARC
(12,25),-2.09715 # DEPENDENCYPART_ARC
(12,26),-2.54145 # DEPENDENCYPART_ARC
(12,27),-2.61785 # DEPENDENCYPART_ARC
(12,28),-1.75135 # DEPENDENCYPART_ARC
(12,29),-2.43842 # DEPENDENCYPART_ARC
(12,30),-2.36253 # DEPENDENCYPART_ARC
(12,31),-2.28803 # DEPENDENCYPART_ARC
(13,1),-1.17696 # DEPENDENCYPART_ARC
(13,2),-1.12898 # DEPENDENCYPART_ARC
(13,3),-1.63099 # DEPENDENCYPART_ARC
(13,4),-0.578624 # DEPENDENCYPART_ARC
(13,5),-1.12725 # DEPENDENCYPART_ARC
(13,6),-0.930735 # DEPENDENCYPART_ARC
(13,7),-0.256218 # DEPENDENCYPART_ARC
(13,8),-0.421463 # DEPENDENCYPART_ARC
(13,9),-0.299599 # DEPENDENCYPART_ARC
(13,10),0.824093 # DEPENDENCYPART_ARC
(13,11),0.841464 # DEPENDENCYPART_ARC
(13,12),2.40917 # DEPENDENCYPART_ARC
(13,14),-0.449458 # DEPENDENCYPART_ARC
(13,15),-0.55721 # DEPENDENCYPART_ARC
(13,16),-0.868904 # DEPENDENCYPART_ARC
(13,17),-0.755471 # DEPENDENCYPART_ARC
(13,18),-0.82654 # DEPENDENCYPART_ARC
(13,19),-0.722621 # DEPENDENCYPART_ARC
(13,20),-1.06998 # DEPENDENCYPART_ARC
(13,21),-1.07517 # DEPENDENCYPART_ARC
(13,22),-0.912303 # DEPENDENCYPART_ARC
(13,23),-0.963908 # DEPENDENCYPART_ARC
(13,24),-0.969077 # DEPENDENCYPART_ARC
(13,25),-1.35001 # DEPENDENCYPART_ARC
(13,26),-1.41085 # DEPENDENCYPART_ARC
(13,27),-1.2978 # DEPENDENCYPART_ARC
(13,28),-1.34636 # DEPENDENCYPART_ARC
(13,29),-1.46534 # DEPENDENCYPART_ARC
(13,30),-1.39658 # DEPENDENCYPART_ARC
(13,31),-1.80568 # DEPENDENCYPART_ARC
(14,1),-1.24213 # DEPENDENCYPART_ARC
(14,2),-1.97469 # DEPENDENCYPART_ARC
(14,3),-6.96514 # DEPENDENCYPART_ARC
(14,4),-1.98927 # DEPENDENCYPART_ARC
(14,5),-4.39895 # DEPENDENCYPART_ARC
(14,6),-3.44731 # DEPENDENCYPART_ARC
(14,7),-1.42903 # DEPENDENCYPART_ARC
(14,8),-0.599348 # DEPENDENCYPART_ARC
(14,9),-0.268553 # DEPENDENCYPART_ARC
(14,10),0.506463 # DEPENDENCYPART_ARC
(14,11),0.273401 # DEPENDENCYPART_ARC
(14,12),0.2303 # DEPENDENCYPART_ARC
(14,13),1.10856 # DEPENDENCYPART_ARC
(14,15),0.31949 # DEPENDENCYPART_ARC
(14,16),-0.442208 # DEPENDENCYPART_ARC
(14,17),-1.70815 # DEPENDENCYPART_ARC
(14,18),-1.06243 # DEPENDENCYPART_ARC
(14,19),-1.40752 # DEPENDENCYPART_ARC
(14,20),-1.05306 # DEPENDENCYPART_ARC
(14,21),-1.23116 # DEPENDENCYPART_ARC
(14,22),-1.43929 # DEPENDENCYPART_ARC
(14,23),-0.298357 # DEPENDENCYPART_ARC
(14,24),-1.17029 # DEPENDENCYPART_ARC
(14,25),-0.722759 # DEPENDENCYPART_ARC
(14,26),-0.928374 # DEPENDENCYPART_ARC
(14,27),-1.01429 # DEPENDENCYPART_ARC
(14,28),-1.32017 # DEPENDENCYPART_ARC
(14,29),-2.1013 # DEPENDENCYPART_ARC
(14,30),-2.06987 # DEPENDENCYPART_ARC
(14,31),-1.82758 # DEPENDENCYPART_ARC
(15,1),-0.653945 # DEPENDENCYPART_ARC
(15,2),-0.0299626 # DEPENDENCYPART_ARC
(15,3),-3.51244 # DEPENDENCYPART_ARC
(15,4),-0.453745 # DEPENDENCYPART_ARC
(15,5),-1.9828 # DEPENDENCYPART_ARC
(15,6),-1.49175 # DEPENDENCYPART_ARC
(15,7),0.106591 # DEPENDENCYPART_ARC
(15,8),-0.0486769 # DEPENDENCYPART_ARC
(15,9),0.0744458 # DEPENDENCYPART_ARC
(15,10),1.48189 # DEPENDENCYPART_ARC
(15,11),0.932796 # DEPENDENCYPART_ARC
(15,12),0.590997 # DEPENDENCYPART_ARC
(15,13),1.05724 # DEPENDENCYPART_ARC
(15,14),3.75459 # DEPENDENCYPART_ARC
(15,16),-0.412171 # DEPENDENCYPART_ARC
(15,17),-0.72124 # DEPENDENCYPART_ARC
(15,18),-1.02543 # DEPENDENCYPART_ARC
(15,19),-1.2266 # DEPENDENCYPART_ARC
(15,20),-1.23816 # DEPENDENCYPART_ARC
(15,21),-1.17317 # DEPENDENCYPART_ARC
(15,22),-1.17538 # DEPENDENCYPART_ARC
(15,23),-1.51586 # DEPENDENCYPART_ARC
(15,24),-1.17689 # DEPENDENCYPART_ARC
(15,25),-1.18547 # DEPENDENCYPART_ARC
(15,26),-1.80937 # DEPENDENCYPART_ARC
(15,27),-1.84377 # DEPENDENCYPART_ARC
(15,28),-1.00644 # DEPENDENCYPART_ARC
(15,29),-1.64323 # DEPENDENCYPART_ARC
(15,30),-1.61586 # DEPENDENCYPART_ARC
(15,31),-1.66354 # DEPENDENCYPART_ARC
(16,1),-1.18789 # DEPENDENCYPART_ARC
(16,2),-2.11577 # DEPENDENCYPART_ARC
(16,3),-5.93844 # DEPENDENCYPART_ARC
(16,4),-1.9096 # DEPENDENCYPART_ARC
(16,5),-4.48213 # DEPENDENCYPART_ARC
(16,6),-3.75895 # DEPENDENCYPART_ARC
(16,7),-1.45892 # DEPENDENCYPART_ARC
(16,8),-0.69823 # DEPENDENCYPART_ARC
(16,9),-0.407709 # DEPENDENCYPART_ARC
(16,10),0.415226 # DEPENDENCYPART_ARC
(16,11),-1.44672 # DEPENDENCYPART_ARC
(16,12),0.701139 # DEPENDENCYPART_ARC
(16,13),0.216689 # DEPENDENCYPART_ARC
(16,14),0.717426 # DEPENDENCYPART_ARC
(16,15),2.59256 # DEPENDENCYPART_ARC
(16,17),-0.545016 # DEPENDENCYPART_ARC
(16,18),-0.137006 # DEPENDENCYPART_ARC
(16,19),-0.620288 # DEPENDENCYPART_ARC
(16,20),-0.423639 # DEPENDENCYPART_ARC
(16,21),-0.743727 # DEPENDENCYPART_ARC
(16,22),-0.911555 # DEPENDENCYPART_ARC
