# _root_ Bu rolünün uzun bir dönem _ devam_etmesi , döviz kurlarının nerede _ olmasını _ istemenize _ _ bağlı_olarak , enflasyon _ hedeflemesinin rafa _ _ kaldırılması mecburiyetini _ doğurur .
#goldHeads=2,6,5,5,6,7,29,0,10,12,12,13,14,15,17,17,18,25,0,22,22,25,25,25,26,27,29,29,30,0,
#predictedHeads=2,7,5,5,7,7,8,0,10,12,12,13,14,15,17,17,18,29,0,22,22,26,26,25,26,27,29,29,30,0,
(8,27),-1.01791 # DEPENDENCYPART_ARC
(8,28),-1.65188 # DEPENDENCYPART_ARC
(8,29),-1.06349 # DEPENDENCYPART_ARC
(8,30),-4.05485 # DEPENDENCYPART_ARC
(9,1),-0.668729 # DEPENDENCYPART_ARC
(9,2),-1.6981 # DEPENDENCYPART_ARC
(9,3),-0.650165 # DEPENDENCYPART_ARC
(9,4),0.190189 # DEPENDENCYPART_ARC
(9,5),-0.911742 # DEPENDENCYPART_ARC
(9,6),0.180993 # DEPENDENCYPART_ARC
(9,7),-0.469828 # DEPENDENCYPART_ARC
(9,8),0.649909 # DEPENDENCYPART_ARC
(9,10),-0.120238 # DEPENDENCYPART_ARC
(9,11),-0.900233 # DEPENDENCYPART_ARC
(9,12),-0.728334 # DEPENDENCYPART_ARC
(9,13),-0.990111 # DEPENDENCYPART_ARC
(9,14),-0.944665 # DEPENDENCYPART_ARC
(9,15),0.237147 # DEPENDENCYPART_ARC
(9,16),-0.976938 # DEPENDENCYPART_ARC
(9,17),-1.10296 # DEPENDENCYPART_ARC
(9,18),-0.621555 # DEPENDENCYPART_ARC
(9,19),-0.253303 # DEPENDENCYPART_ARC
(9,20),-1.47715 # DEPENDENCYPART_ARC
(9,21),-1.5021 # DEPENDENCYPART_ARC
(9,22),-1.61986 # DEPENDENCYPART_ARC
(9,23),-1.64623 # DEPENDENCYPART_ARC
(9,24),-1.27252 # DEPENDENCYPART_ARC
(9,25),-1.68807 # DEPENDENCYPART_ARC
(9,26),-1.59359 # DEPENDENCYPART_ARC
(9,27),-2.57795 # DEPENDENCYPART_ARC
(9,28),-1.37009 # DEPENDENCYPART_ARC
(9,29),-1.91898 # DEPENDENCYPART_ARC
(9,30),-1.751 # DEPENDENCYPART_ARC
(10,1),-0.0571535 # DEPENDENCYPART_ARC
(10,2),0.556737 # DEPENDENCYPART_ARC
(10,3),-0.00481386 # DEPENDENCYPART_ARC
(10,4),0.872262 # DEPENDENCYPART_ARC
(10,5),-0.0760605 # DEPENDENCYPART_ARC
(10,6),-0.376934 # DEPENDENCYPART_ARC
(10,7),-0.150944 # DEPENDENCYPART_ARC
(10,8),1.15039 # DEPENDENCYPART_ARC
(10,9),3.30423 # DEPENDENCYPART_ARC
(10,11),-0.527381 # DEPENDENCYPART_ARC
(10,12),-0.265223 # DEPENDENCYPART_ARC
(10,13),-0.134661 # DEPENDENCYPART_ARC
(10,14),-0.547586 # DEPENDENCYPART_ARC
(10,15),0.861679 # DEPENDENCYPART_ARC
(10,16),-0.69735 # DEPENDENCYPART_ARC
(10,17),-0.778131 # DEPENDENCYPART_ARC
(10,18),-0.575923 # DEPENDENCYPART_ARC
(10,19),-0.252093 # DEPENDENCYPART_ARC
(10,20),-0.876344 # DEPENDENCYPART_ARC
(10,21),-1.2449 # DEPENDENCYPART_ARC
(10,22),-0.102218 # DEPENDENCYPART_ARC
(10,23),-1.14768 # DEPENDENCYPART_ARC
(10,24),-1.10374 # DEPENDENCYPART_ARC
(10,25),-1.38522 # DEPENDENCYPART_ARC
(10,26),-1.40887 # DEPENDENCYPART_ARC
(10,27),-1.67451 # DEPENDENCYPART_ARC
(10,28),-1.33727 # DEPENDENCYPART_ARC
(10,29),-1.35018 # DEPENDENCYPART_ARC
(10,30),-1.60188 # DEPENDENCYPART_ARC
(11,1),-0.419169 # DEPENDENCYPART_ARC
(11,2),-0.123209 # DEPENDENCYPART_ARC
(11,3),-0.65213 # DEPENDENCYPART_ARC
(11,4),-0.320599 # DEPENDENCYPART_ARC
(11,5),-0.961593 # DEPENDENCYPART_ARC
(11,6),-0.769763 # DEPENDENCYPART_ARC
(11,7),-0.566143 # DEPENDENCYPART_ARC
(11,8),0.183332 # DEPENDENCYPART_ARC
(11,9),0.00214238 # DEPENDENCYPART_ARC
(11,10),2.28324 # DEPENDENCYPART_ARC
(11,12),0.115057 # DEPENDENCYPART_ARC
(11,13),0.630489 # DEPENDENCYPART_ARC
(11,14),-0.217581 # DEPENDENCYPART_ARC
(11,15),0.417938 # DEPENDENCYPART_ARC
(11,16),0.474286 # DEPENDENCYPART_ARC
(11,17),-0.293357 # DEPENDENCYPART_ARC
(11,18),-0.178576 # DEPENDENCYPART_ARC
(11,19),-0.127473 # DEPENDENCYPART_ARC
(11,20),0.221023 # DEPENDENCYPART_ARC
(11,21),-0.555064 # DEPENDENCYPART_ARC
(11,22),-0.337214 # DEPENDENCYPART_ARC
(11,23),-0.444286 # DEPENDENCYPART_ARC
(11,24),-0.641395 # DEPENDENCYPART_ARC
(11,25),-0.723322 # DEPENDENCYPART_ARC
(11,26),-0.145809 # DEPENDENCYPART_ARC
(11,27),-0.626139 # DEPENDENCYPART_ARC
(11,28),-0.686703 # DEPENDENCYPART_ARC
(11,29),-0.83887 # DEPENDENCYPART_ARC
(11,30),-0.823237 # DEPENDENCYPART_ARC
(12,1),-0.166674 # DEPENDENCYPART_ARC
(12,2),0.764435 # DEPENDENCYPART_ARC
(12,3),-0.57827 # DEPENDENCYPART_ARC
(12,4),-0.298219 # DEPENDENCYPART_ARC
(12,5),0.41948 # DEPENDENCYPART_ARC
(12,6),-2.55481 # DEPENDENCYPART_ARC
(12,7),0.160817 # DEPENDENCYPART_ARC
(12,8),0.13588 # DEPENDENCYPART_ARC
(12,9),1.29538 # DEPENDENCYPART_ARC
(12,10),2.68855 # DEPENDENCYPART_ARC
(12,11),2.60923 # DEPENDENCYPART_ARC
(12,13),0.628249 # DEPENDENCYPART_ARC
(12,14),-0.167716 # DEPENDENCYPART_ARC
(12,15),0.169543 # DEPENDENCYPART_ARC
(12,16),-0.525971 # DEPENDENCYPART_ARC
(12,17),-0.681548 # DEPENDENCYPART_ARC
(12,18),0.344389 # DEPENDENCYPART_ARC
(12,19),-0.252683 # DEPENDENCYPART_ARC
(12,20),-1.52097 # DEPENDENCYPART_ARC
(12,21),-0.967695 # DEPENDENCYPART_ARC
(12,22),-1.60893 # DEPENDENCYPART_ARC
(12,23),-1.40856 # DEPENDENCYPART_ARC
(12,24),-1.27819 # DEPENDENCYPART_ARC
(12,25),-1.64468 # DEPENDENCYPART_ARC
(12,26),-1.64087 # DEPENDENCYPART_ARC
(12,27),-1.78035 # DEPENDENCYPART_ARC
(12,28),-1.70449 # DEPENDENCYPART_ARC
(12,29),-0.989533 # DEPENDENCYPART_ARC
(12,30),-1.68316 # DEPENDENCYPART_ARC
(13,1),-0.608385 # DEPENDENCYPART_ARC
(13,2),1.20179 # DEPENDENCYPART_ARC
(13,3),-0.387617 # DEPENDENCYPART_ARC
(13,4),0.569315 # DEPENDENCYPART_ARC
(13,5),0.230552 # DEPENDENCYPART_ARC
(13,6),-1.21031 # DEPENDENCYPART_ARC
(13,7),-0.0298624 # DEPENDENCYPART_ARC
(13,8),0.310274 # DEPENDENCYPART_ARC
(13,9),1.64298 # DEPENDENCYPART_ARC
(13,10),2.36788 # DEPENDENCYPART_ARC
(13,11),1.52275 # DEPENDENCYPART_ARC
(13,12),2.69585 # DEPENDENCYPART_ARC
(13,14),-0.275947 # DEPENDENCYPART_ARC
(13,15),0.853288 # DEPENDENCYPART_ARC
(13,16),-0.677716 # DEPENDENCYPART_ARC
(13,17),-0.896615 # DEPENDENCYPART_ARC
(13,18),-0.832818 # DEPENDENCYPART_ARC
(13,19),-0.618342 # DEPENDENCYPART_ARC
(13,20),-0.960179 # DEPENDENCYPART_ARC
(13,21),-1.42261 # DEPENDENCYPART_ARC
(13,22),-0.295224 # DEPENDENCYPART_ARC
(13,23),-1.18491 # DEPENDENCYPART_ARC
(13,24),-1.34095 # DEPENDENCYPART_ARC
(13,25),-1.64194 # DEPENDENCYPART_ARC
(13,26),-1.45421 # DEPENDENCYPART_ARC
(13,27),-1.58303 # DEPENDENCYPART_ARC
(13,28),-1.51926 # DEPENDENCYPART_ARC
(13,29),-1.93936 # DEPENDENCYPART_ARC
(13,30),-1.87731 # DEPENDENCYPART_ARC
(14,1),-0.506425 # DEPENDENCYPART_ARC
(14,2),0.27097 # DEPENDENCYPART_ARC
(14,3),-1.05108 # DEPENDENCYPART_ARC
(14,4),-0.672888 # DEPENDENCYPART_ARC
(14,5),-0.219447 # DEPENDENCYPART_ARC
(14,6),-5.20154 # DEPENDENCYPART_ARC
(14,7),-0.472019 # DEPENDENCYPART_ARC
(14,8),-0.254741 # DEPENDENCYPART_ARC
(14,9),0.57123 # DEPENDENCYPART_ARC
(14,10),1.53588 # DEPENDENCYPART_ARC
(14,11),0.931827 # DEPENDENCYPART_ARC
(14,12),0.0201813 # DEPENDENCYPART_ARC
(14,13),2.58843 # DEPENDENCYPART_ARC
(14,15),0.0154837 # DEPENDENCYPART_ARC
(14,16),-0.579617 # DEPENDENCYPART_ARC
(14,17),-0.757012 # DEPENDENCYPART_ARC
(14,18),0.229973 # DEPENDENCYPART_ARC
(14,19),-0.511883 # DEPENDENCYPART_ARC
(14,20),-1.74849 # DEPENDENCYPART_ARC
(14,21),-1.30051 # DEPENDENCYPART_ARC
(14,22),-2.28067 # DEPENDENCYPART_ARC
(14,23),-1.47435 # DEPENDENCYPART_ARC
(14,24),-1.25308 # DEPENDENCYPART_ARC
(14,25),-1.81181 # DEPENDENCYPART_ARC
(14,26),-2.0926 # DEPENDENCYPART_ARC
(14,27),-2.05715 # DEPENDENCYPART_ARC
(14,28),-1.7062 # DEPENDENCYPART_ARC
(14,29),-1.37021 # DEPENDENCYPART_ARC
(14,30),-1.94007 # DEPENDENCYPART_ARC
(15,1),-0.957064 # DEPENDENCYPART_ARC
(15,2),-0.967219 # DEPENDENCYPART_ARC
(15,3),-0.822852 # DEPENDENCYPART_ARC
(15,4),0.221608 # DEPENDENCYPART_ARC
(15,5),-1.09991 # DEPENDENCYPART_ARC
(15,6),-2.62957 # DEPENDENCYPART_ARC
(15,7),-1.78377 # DEPENDENCYPART_ARC
(15,8),0.0213293 # DEPENDENCYPART_ARC
(15,9),0.478792 # DEPENDENCYPART_ARC
(15,10),0.524736 # DEPENDENCYPART_ARC
(15,11),0.0527309 # DEPENDENCYPART_ARC
(15,12),0.12591 # DEPENDENCYPART_ARC
(15,13),-0.184674 # DEPENDENCYPART_ARC
(15,14),2.54247 # DEPENDENCYPART_ARC
(15,16),-0.851587 # DEPENDENCYPART_ARC
(15,17),-0.759783 # DEPENDENCYPART_ARC
(15,18),-0.692517 # DEPENDENCYPART_ARC
(15,19),-0.370267 # DEPENDENCYPART_ARC
(15,20),-1.79239 # DEPENDENCYPART_ARC
(15,21),-1.45806 # DEPENDENCYPART_ARC
(15,22),-0.85107 # DEPENDENCYPART_ARC
(15,23),-1.88634 # DEPENDENCYPART_ARC
(15,24),-1.20806 # DEPENDENCYPART_ARC
(15,25),-1.55114 # DEPENDENCYPART_ARC
(15,26),-1.7963 # DEPENDENCYPART_ARC
(15,27),-2.13789 # DEPENDENCYPART_ARC
(15,28),-1.57785 # DEPENDENCYPART_ARC
(15,29),-1.93342 # DEPENDENCYPART_ARC
(15,30),-1.75896 # DEPENDENCYPART_ARC
(16,1),-1.36344 # DEPENDENCYPART_ARC
(16,2),-2.16563 # DEPENDENCYPART_ARC
(16,3),-1.38799 # DEPENDENCYPART_ARC
(16,4),-0.136974 # DEPENDENCYPART_ARC
(16,5),-1.49171 # DEPENDENCYPART_ARC
(16,6),-5.15975 # DEPENDENCYPART_ARC
(16,7),-1.4003 # DEPENDENCYPART_ARC
(16,8),-0.0389801 # DEPENDENCYPART_ARC
(16,9),0.118461 # DEPENDENCYPART_ARC
(16,10),-1.28206 # DEPENDENCYPART_ARC
(16,11),-0.143033 # DEPENDENCYPART_ARC
(16,12),-1.3942 # DEPENDENCYPART_ARC
(16,13),-0.325128 # DEPENDENCYPART_ARC
(16,14),0.853377 # DEPENDENCYPART_ARC
(16,15),1.50091 # DEPENDENCYPART_ARC
(16,17),-0.0538572 # DEPENDENCYPART_ARC
(16,18),0.034898 # DEPENDENCYPART_ARC
(16,19),-0.0680117 # DEPENDENCYPART_ARC
(16,20),-0.553594 # DEPENDENCYPART_ARC
(16,21),-1.09422 # DEPENDENCYPART_ARC
(16,22),-0.716852 # DEPENDENCYPART_ARC
(16,23),-0.935737 # DEPENDENCYPART_ARC
(16,24),-1.10951 # DEPENDENCYPART_ARC
(16,25),-1.4051 # DEPENDENCYPART_ARC
(16,26),-0.545367 # DEPENDENCYPART_ARC
(16,27),-1.80682 # DEPENDENCYPART_ARC
(16,28),-1.42119 # DEPENDENCYPART_ARC
(16,29),-2.08768 # DEPENDENCYPART_ARC
(16,30),-1.60487 # DEPENDENCYPART_ARC
(17,1),0.0351804 # DEPENDENCYPART_ARC
(17,2),0.334746 # DEPENDENCYPART_ARC
(17,3),-0.669354 # DEPENDENCYPART_ARC
(17,4),-0.0597658 # DEPENDENCYPART_ARC
(17,5),-0.147401 # DEPENDENCYPART_ARC
(17,6),-7.93599 # DEPENDENCYPART_ARC
(17,7),-0.102383 # DEPENDENCYPART_ARC
(17,8),-0.192908 # DEPENDENCYPART_ARC
(17,9),0.922211 # DEPENDENCYPART_ARC
