# _root_ " O zaman , " demiş cadı sesini biraz daha _ _ alçaltarak , " _ alabilirsin , canı ne kadar çekiyorsa _ alabilirsin .
#goldHeads=0,3,4,6,0,14,6,12,10,12,12,13,6,17,0,17,18,24,22,21,22,24,24,25,0,
#predictedHeads=0,3,6,0,0,14,8,12,10,12,12,13,6,0,0,17,18,24,21,21,22,24,24,25,0,
(1,16),-1.37575 # DEPENDENCYPART_ARC
(1,17),-1.07964 # DEPENDENCYPART_ARC
(1,18),-1.92415 # DEPENDENCYPART_ARC
(1,19),-0.908202 # DEPENDENCYPART_ARC
(1,20),-1.16337 # DEPENDENCYPART_ARC
(1,21),-0.653464 # DEPENDENCYPART_ARC
(1,22),-1.36779 # DEPENDENCYPART_ARC
(1,23),-1.69288 # DEPENDENCYPART_ARC
(1,24),-1.39071 # DEPENDENCYPART_ARC
(1,25),-3.0531 # DEPENDENCYPART_ARC
(2,1),0.72667 # DEPENDENCYPART_ARC
(2,3),-0.469006 # DEPENDENCYPART_ARC
(2,4),-0.536409 # DEPENDENCYPART_ARC
(2,5),-0.868468 # DEPENDENCYPART_ARC
(2,6),-0.9464 # DEPENDENCYPART_ARC
(2,7),-1.2172 # DEPENDENCYPART_ARC
(2,8),-1.20964 # DEPENDENCYPART_ARC
(2,9),-1.0126 # DEPENDENCYPART_ARC
(2,10),-1.0959 # DEPENDENCYPART_ARC
(2,11),-1.05757 # DEPENDENCYPART_ARC
(2,12),-1.06048 # DEPENDENCYPART_ARC
(2,13),-1.17556 # DEPENDENCYPART_ARC
(2,14),-1.23316 # DEPENDENCYPART_ARC
(2,15),-1.3128 # DEPENDENCYPART_ARC
(2,16),-1.33991 # DEPENDENCYPART_ARC
(2,17),-1.35192 # DEPENDENCYPART_ARC
(2,18),-1.43844 # DEPENDENCYPART_ARC
(2,19),-1.67801 # DEPENDENCYPART_ARC
(2,20),-1.38671 # DEPENDENCYPART_ARC
(2,21),-1.12826 # DEPENDENCYPART_ARC
(2,22),-1.53221 # DEPENDENCYPART_ARC
(2,23),-1.55933 # DEPENDENCYPART_ARC
(2,24),-1.57585 # DEPENDENCYPART_ARC
(2,25),-1.79204 # DEPENDENCYPART_ARC
(3,1),0.150773 # DEPENDENCYPART_ARC
(3,2),2.51886 # DEPENDENCYPART_ARC
(3,4),-0.343389 # DEPENDENCYPART_ARC
(3,5),-0.882929 # DEPENDENCYPART_ARC
(3,6),-1.49714 # DEPENDENCYPART_ARC
(3,7),-0.753117 # DEPENDENCYPART_ARC
(3,8),-1.96517 # DEPENDENCYPART_ARC
(3,9),-1.04984 # DEPENDENCYPART_ARC
(3,10),-0.987341 # DEPENDENCYPART_ARC
(3,11),-1.36054 # DEPENDENCYPART_ARC
(3,12),-1.5044 # DEPENDENCYPART_ARC
(3,13),-1.24599 # DEPENDENCYPART_ARC
(3,14),-1.37153 # DEPENDENCYPART_ARC
(3,15),-1.60612 # DEPENDENCYPART_ARC
(3,16),-1.92796 # DEPENDENCYPART_ARC
(3,17),-2.1417 # DEPENDENCYPART_ARC
(3,18),-1.38391 # DEPENDENCYPART_ARC
(3,19),-1.87957 # DEPENDENCYPART_ARC
(3,20),-1.61061 # DEPENDENCYPART_ARC
(3,21),-1.42755 # DEPENDENCYPART_ARC
(3,22),-2.42334 # DEPENDENCYPART_ARC
(3,23),-2.00213 # DEPENDENCYPART_ARC
(3,24),-2.4302 # DEPENDENCYPART_ARC
(3,25),-2.44486 # DEPENDENCYPART_ARC
(4,1),-0.139779 # DEPENDENCYPART_ARC
(4,2),-0.0848728 # DEPENDENCYPART_ARC
(4,3),0.468867 # DEPENDENCYPART_ARC
(4,5),0.222826 # DEPENDENCYPART_ARC
(4,6),-0.0480599 # DEPENDENCYPART_ARC
(4,7),0.113522 # DEPENDENCYPART_ARC
(4,8),0.0210523 # DEPENDENCYPART_ARC
(4,9),-0.430423 # DEPENDENCYPART_ARC
(4,10),-0.326286 # DEPENDENCYPART_ARC
(4,11),-0.315815 # DEPENDENCYPART_ARC
(4,12),-0.339287 # DEPENDENCYPART_ARC
(4,13),-0.376376 # DEPENDENCYPART_ARC
(4,14),-1.01178 # DEPENDENCYPART_ARC
(4,15),-1.13411 # DEPENDENCYPART_ARC
(4,16),-0.790897 # DEPENDENCYPART_ARC
(4,17),-0.3513 # DEPENDENCYPART_ARC
(4,18),-1.62749 # DEPENDENCYPART_ARC
(4,19),-0.383969 # DEPENDENCYPART_ARC
(4,20),-0.928413 # DEPENDENCYPART_ARC
(4,21),-0.562007 # DEPENDENCYPART_ARC
(4,22),-0.556177 # DEPENDENCYPART_ARC
(4,23),-1.02518 # DEPENDENCYPART_ARC
(4,24),-0.394572 # DEPENDENCYPART_ARC
(4,25),-2.98354 # DEPENDENCYPART_ARC
(5,1),-0.989385 # DEPENDENCYPART_ARC
(5,2),-0.812761 # DEPENDENCYPART_ARC
(5,3),-1.02726 # DEPENDENCYPART_ARC
(5,4),0.140697 # DEPENDENCYPART_ARC
(5,6),0.273309 # DEPENDENCYPART_ARC
(5,7),0.100337 # DEPENDENCYPART_ARC
(5,8),0.108604 # DEPENDENCYPART_ARC
(5,9),0.160509 # DEPENDENCYPART_ARC
(5,10),0.0582108 # DEPENDENCYPART_ARC
(5,11),-0.0241705 # DEPENDENCYPART_ARC
(5,12),0.13636 # DEPENDENCYPART_ARC
(5,13),-0.0539366 # DEPENDENCYPART_ARC
(5,14),-0.478808 # DEPENDENCYPART_ARC
(5,15),-0.591447 # DEPENDENCYPART_ARC
(5,16),-0.665939 # DEPENDENCYPART_ARC
(5,17),-0.267769 # DEPENDENCYPART_ARC
(5,18),-1.34057 # DEPENDENCYPART_ARC
(5,19),-0.348754 # DEPENDENCYPART_ARC
(5,20),-0.60549 # DEPENDENCYPART_ARC
(5,21),-0.160579 # DEPENDENCYPART_ARC
(5,22),-0.665733 # DEPENDENCYPART_ARC
(5,23),-0.878406 # DEPENDENCYPART_ARC
(5,24),-0.448736 # DEPENDENCYPART_ARC
(5,25),-2.23971 # DEPENDENCYPART_ARC
(6,1),-0.437052 # DEPENDENCYPART_ARC
(6,2),-0.0321439 # DEPENDENCYPART_ARC
(6,3),0.855905 # DEPENDENCYPART_ARC
(6,4),0.147417 # DEPENDENCYPART_ARC
(6,5),1.78339 # DEPENDENCYPART_ARC
(6,7),1.6878 # DEPENDENCYPART_ARC
(6,8),1.43056 # DEPENDENCYPART_ARC
(6,9),0.367173 # DEPENDENCYPART_ARC
(6,10),0.18475 # DEPENDENCYPART_ARC
(6,11),-0.169268 # DEPENDENCYPART_ARC
(6,12),-1.15976 # DEPENDENCYPART_ARC
(6,13),1.54666 # DEPENDENCYPART_ARC
(6,14),-0.347546 # DEPENDENCYPART_ARC
(6,15),-0.315341 # DEPENDENCYPART_ARC
(6,16),-1.05163 # DEPENDENCYPART_ARC
(6,17),-0.805735 # DEPENDENCYPART_ARC
(6,18),-0.428849 # DEPENDENCYPART_ARC
(6,19),-0.687212 # DEPENDENCYPART_ARC
(6,20),-0.570096 # DEPENDENCYPART_ARC
(6,21),0.175853 # DEPENDENCYPART_ARC
(6,22),0.0670186 # DEPENDENCYPART_ARC
(6,23),-1.86638 # DEPENDENCYPART_ARC
(6,24),-1.00695 # DEPENDENCYPART_ARC
(6,25),-1.13642 # DEPENDENCYPART_ARC
(7,1),-1.2581 # DEPENDENCYPART_ARC
(7,2),-0.232955 # DEPENDENCYPART_ARC
(7,3),-0.958602 # DEPENDENCYPART_ARC
(7,4),-0.541436 # DEPENDENCYPART_ARC
(7,5),-0.627252 # DEPENDENCYPART_ARC
(7,6),0.946584 # DEPENDENCYPART_ARC
(7,8),0.108738 # DEPENDENCYPART_ARC
(7,9),0.440632 # DEPENDENCYPART_ARC
(7,10),0.275743 # DEPENDENCYPART_ARC
(7,11),0.0339243 # DEPENDENCYPART_ARC
(7,12),-0.440402 # DEPENDENCYPART_ARC
(7,13),-0.148616 # DEPENDENCYPART_ARC
(7,14),0.00661833 # DEPENDENCYPART_ARC
(7,15),-0.462841 # DEPENDENCYPART_ARC
(7,16),-0.570676 # DEPENDENCYPART_ARC
(7,17),-1.13545 # DEPENDENCYPART_ARC
(7,18),-0.0420395 # DEPENDENCYPART_ARC
(7,19),-0.747071 # DEPENDENCYPART_ARC
(7,20),-0.670832 # DEPENDENCYPART_ARC
(7,21),-0.347159 # DEPENDENCYPART_ARC
(7,22),-1.39473 # DEPENDENCYPART_ARC
(7,23),-1.07065 # DEPENDENCYPART_ARC
(7,24),-1.46837 # DEPENDENCYPART_ARC
(7,25),-1.05596 # DEPENDENCYPART_ARC
(8,1),-0.42892 # DEPENDENCYPART_ARC
(8,2),0.00956163 # DEPENDENCYPART_ARC
(8,3),-0.352622 # DEPENDENCYPART_ARC
(8,4),0.12641 # DEPENDENCYPART_ARC
(8,5),0.0388798 # DEPENDENCYPART_ARC
(8,6),0.271597 # DEPENDENCYPART_ARC
(8,7),2.53969 # DEPENDENCYPART_ARC
(8,9),0.301356 # DEPENDENCYPART_ARC
(8,10),0.142505 # DEPENDENCYPART_ARC
(8,11),-0.496375 # DEPENDENCYPART_ARC
(8,12),-0.729847 # DEPENDENCYPART_ARC
(8,13),-0.596561 # DEPENDENCYPART_ARC
(8,14),-0.545337 # DEPENDENCYPART_ARC
(8,15),-0.929671 # DEPENDENCYPART_ARC
(8,16),-1.18418 # DEPENDENCYPART_ARC
(8,17),-1.46337 # DEPENDENCYPART_ARC
(8,18),-0.585652 # DEPENDENCYPART_ARC
(8,19),-0.864312 # DEPENDENCYPART_ARC
(8,20),-1.0521 # DEPENDENCYPART_ARC
(8,21),-1.02643 # DEPENDENCYPART_ARC
(8,22),-1.69435 # DEPENDENCYPART_ARC
(8,23),-1.533 # DEPENDENCYPART_ARC
(8,24),-1.82502 # DEPENDENCYPART_ARC
(8,25),-1.59946 # DEPENDENCYPART_ARC
(9,1),-0.771984 # DEPENDENCYPART_ARC
(9,2),-0.795018 # DEPENDENCYPART_ARC
(9,3),-0.951112 # DEPENDENCYPART_ARC
(9,4),-0.787534 # DEPENDENCYPART_ARC
(9,5),-0.287888 # DEPENDENCYPART_ARC
(9,6),-0.572598 # DEPENDENCYPART_ARC
(9,7),0.0866625 # DEPENDENCYPART_ARC
(9,8),0.469467 # DEPENDENCYPART_ARC
(9,10),0.481004 # DEPENDENCYPART_ARC
(9,11),-0.0690216 # DEPENDENCYPART_ARC
(9,12),-0.21337 # DEPENDENCYPART_ARC
(9,13),-0.0528972 # DEPENDENCYPART_ARC
(9,14),-0.321172 # DEPENDENCYPART_ARC
(9,15),-0.50053 # DEPENDENCYPART_ARC
(9,16),-0.561928 # DEPENDENCYPART_ARC
(9,17),-0.72338 # DEPENDENCYPART_ARC
(9,18),-0.518685 # DEPENDENCYPART_ARC
(9,19),-0.791629 # DEPENDENCYPART_ARC
(9,20),-0.609824 # DEPENDENCYPART_ARC
(9,21),-0.464994 # DEPENDENCYPART_ARC
(9,22),-0.892367 # DEPENDENCYPART_ARC
(9,23),-0.922888 # DEPENDENCYPART_ARC
(9,24),-0.959728 # DEPENDENCYPART_ARC
(9,25),-1.18701 # DEPENDENCYPART_ARC
(10,1),-0.467229 # DEPENDENCYPART_ARC
(10,2),-0.526728 # DEPENDENCYPART_ARC
(10,3),-0.795423 # DEPENDENCYPART_ARC
(10,4),-0.457561 # DEPENDENCYPART_ARC
(10,5),-0.0814969 # DEPENDENCYPART_ARC
(10,6),-0.450077 # DEPENDENCYPART_ARC
(10,7),-0.0894046 # DEPENDENCYPART_ARC
(10,8),0.272055 # DEPENDENCYPART_ARC
(10,9),2.18225 # DEPENDENCYPART_ARC
(10,11),0.0897457 # DEPENDENCYPART_ARC
(10,12),-0.205453 # DEPENDENCYPART_ARC
(10,13),-0.268327 # DEPENDENCYPART_ARC
(10,14),-0.310019 # DEPENDENCYPART_ARC
(10,15),-0.653002 # DEPENDENCYPART_ARC
(10,16),-0.699448 # DEPENDENCYPART_ARC
(10,17),-0.807364 # DEPENDENCYPART_ARC
(10,18),-0.790308 # DEPENDENCYPART_ARC
(10,19),-0.897228 # DEPENDENCYPART_ARC
(10,20),-0.654434 # DEPENDENCYPART_ARC
(10,21),-0.596794 # DEPENDENCYPART_ARC
(10,22),-0.954921 # DEPENDENCYPART_ARC
(10,23),-1.20006 # DEPENDENCYPART_ARC
(10,24),-1.05831 # DEPENDENCYPART_ARC
(10,25),-1.30654 # DEPENDENCYPART_ARC
(11,1),-0.608822 # DEPENDENCYPART_ARC
(11,2),-0.727195 # DEPENDENCYPART_ARC
(11,3),0.545149 # DEPENDENCYPART_ARC
(11,4),-0.397086 # DEPENDENCYPART_ARC
(11,5),0.558508 # DEPENDENCYPART_ARC
(11,6),0.422582 # DEPENDENCYPART_ARC
(11,7),1.11136 # DEPENDENCYPART_ARC
(11,8),1.61746 # DEPENDENCYPART_ARC
(11,9),1.03466 # DEPENDENCYPART_ARC
(11,10),1.07688 # DEPENDENCYPART_ARC
(11,12),0.461521 # DEPENDENCYPART_ARC
(11,13),0.728878 # DEPENDENCYPART_ARC
(11,14),-0.0514505 # DEPENDENCYPART_ARC
(11,15),-0.236293 # DEPENDENCYPART_ARC
(11,16),-0.340341 # DEPENDENCYPART_ARC
(11,17),-0.0702159 # DEPENDENCYPART_ARC
(11,18),-0.56754 # DEPENDENCYPART_ARC
(11,19),-0.763831 # DEPENDENCYPART_ARC
(11,20),-0.473847 # DEPENDENCYPART_ARC
(11,21),-0.294944 # DEPENDENCYPART_ARC
(11,22),-0.346227 # DEPENDENCYPART_ARC
(11,23),-1.05602 # DEPENDENCYPART_ARC
(11,24),-0.588203 # DEPENDENCYPART_ARC
(11,25),-1.43319 # DEPENDENCYPART_ARC
(12,1),-0.46274 # DEPENDENCYPART_ARC
(12,2),-0.203042 # DEPENDENCYPART_ARC
(12,3),0.57559 # DEPENDENCYPART_ARC
(12,4),-0.437265 # DEPENDENCYPART_ARC
(12,5),0.7705 # DEPENDENCYPART_ARC
(12,6),0.244612 # DEPENDENCYPART_ARC
(12,7),1.17366 # DEPENDENCYPART_ARC
(12,8),2.19595 # DEPENDENCYPART_ARC
(12,9),1.51009 # DEPENDENCYPART_ARC
(12,10),1.13828 # DEPENDENCYPART_ARC
(12,11),3.18322 # DEPENDENCYPART_ARC
(12,13),1.55118 # DEPENDENCYPART_ARC
(12,14),-0.0913694 # DEPENDENCYPART_ARC
(12,15),-0.510228 # DEPENDENCYPART_ARC
(12,16),-0.694893 # DEPENDENCYPART_ARC
(12,17),-0.377051 # DEPENDENCYPART_ARC
(12,18),-0.660978 # DEPENDENCYPART_ARC
(12,19),-1.22276 # DEPENDENCYPART_ARC
(12,20),-0.618466 # DEPENDENCYPART_ARC
(12,21),-0.0108961 # DEPENDENCYPART_ARC
(12,22),-0.0394188 # DEPENDENCYPART_ARC
(12,23),-1.46156 # DEPENDENCYPART_ARC
(12,24),-0.61544 # DEPENDENCYPART_ARC
(12,25),-1.75787 # DEPENDENCYPART_ARC
(13,1),0.10489 # DEPENDENCYPART_ARC
(13,2),0.118917 # DEPENDENCYPART_ARC
(13,3),0.444873 # DEPENDENCYPART_ARC
(13,4),0.185071 # DEPENDENCYPART_ARC
(13,5),0.567018 # DEPENDENCYPART_ARC
(13,6),0.390457 # DEPENDENCYPART_ARC
(13,7),1.59889 # DEPENDENCYPART_ARC
(13,8),1.44785 # DEPENDENCYPART_ARC
(13,9),0.925674 # DEPENDENCYPART_ARC
(13,10),1.01976 # DEPENDENCYPART_ARC
(13,11),1.12613 # DEPENDENCYPART_ARC
(13,12),2.95005 # DEPENDENCYPART_ARC
(13,14),-0.532053 # DEPENDENCYPART_ARC
(13,15),-1.04126 # DEPENDENCYPART_ARC
(13,16),-1.363 # DEPENDENCYPART_ARC
(13,17),-1.35579 # DEPENDENCYPART_ARC
(13,18),-1.42892 # DEPENDENCYPART_ARC
(13,19),-1.69611 # DEPENDENCYPART_ARC
(13,20),-1.46029 # DEPENDENCYPART_ARC
(13,21),-1.34185 # DEPENDENCYPART_ARC
(13,22),-1.50205 # DEPENDENCYPART_ARC
(13,23),-1.62855 # DEPENDENCYPART_ARC
(13,24),-1.7356 # DEPENDENCYPART_ARC
(13,25),-1.99165 # DEPENDENCYPART_ARC
(14,1),-0.157063 # DEPENDENCYPART_ARC
(14,2),-0.39725 # DEPENDENCYPART_ARC
(14,3),-0.0194249 # DEPENDENCYPART_ARC
(14,4),-0.264996 # DEPENDENCYPART_ARC
(14,5),0.258095 # DEPENDENCYPART_ARC
(14,6),1.16299 # DEPENDENCYPART_ARC
(14,7),0.761564 # DEPENDENCYPART_ARC
(14,8),0.819469 # DEPENDENCYPART_ARC
(14,9),-0.453793 # DEPENDENCYPART_ARC
(14,10),-0.774548 # DEPENDENCYPART_ARC
(14,11),-0.282947 # DEPENDENCYPART_ARC
(14,12),0.215032 # DEPENDENCYPART_ARC
(14,13),0.354055 # DEPENDENCYPART_ARC
(14,15),0.105009 # DEPENDENCYPART_ARC
(14,16),-0.12429 # DEPENDENCYPART_ARC
(14,17),0.147386 # DEPENDENCYPART_ARC
(14,18),-0.692751 # DEPENDENCYPART_ARC
(14,19),-0.237277 # DEPENDENCYPART_ARC
(14,20),-0.349709 # DEPENDENCYPART_ARC
(14,21),-0.0967851 # DEPENDENCYPART_ARC
(14,22),-0.0541581 # DEPENDENCYPART_ARC
(14,23),-0.364582 # DEPENDENCYPART_ARC
(14,24),-0.0166796 # DEPENDENCYPART_ARC
(14,25),-1.96647 # DEPENDENCYPART_ARC
(15,1),-1.23534 # DEPENDENCYPART_ARC
(15,2),-1.25042 # DEPENDENCYPART_ARC
(15,3),-1.83034 # DEPENDENCYPART_ARC
(15,4),-1.41194 # DEPENDENCYPART_ARC
(15,5),-1.10896 # DEPENDENCYPART_ARC
(15,6),-0.420706 # DEPENDENCYPART_ARC
(15,7),-0.979811 # DEPENDENCYPART_ARC
(15,8),-0.938272 # DEPENDENCYPART_ARC
(15,9),-1.03378 # DEPENDENCYPART_ARC
(15,10),-1.42708 # DEPENDENCYPART_ARC
(15,11),-1.43915 # DEPENDENCYPART_ARC
(15,12),-0.882602 # DEPENDENCYPART_ARC
(15,13),-0.91095 # DEPENDENCYPART_ARC
(15,14),-0.492518 # DEPENDENCYPART_ARC
(15,16),-0.144233 # DEPENDENCYPART_ARC
(15,17),-0.21631 # DEPENDENCYPART_ARC
(15,18),-0.591418 # DEPENDENCYPART_ARC
(15,19),-0.38825 # DEPENDENCYPART_ARC
(15,20),-0.604156 # DEPENDENCYPART_ARC
(15,21),-0.185867 # DEPENDENCYPART_ARC
(15,22),-0.379484 # DEPENDENCYPART_ARC
(15,23),-0.693697 # DEPENDENCYPART_ARC
(15,24),-0.343333 # DEPENDENCYPART_ARC
(15,25),-1.61293 # DEPENDENCYPART_ARC
(16,1),-1.48954 # DEPENDENCYPART_ARC
(16,2),-1.18545 # DEPENDENCYPART_ARC
(16,3),0.337142 # DEPENDENCYPART_ARC
(16,4),-1.13803 # DEPENDENCYPART_ARC
(16,5),-0.879789 # DEPENDENCYPART_ARC
(16,6),-0.538681 # DEPENDENCYPART_ARC
(16,7),-0.236604 # DEPENDENCYPART_ARC
(16,8),0.20663 # DEPENDENCYPART_ARC
(16,9),-0.359158 # DEPENDENCYPART_ARC
(16,10),-0.905165 # DEPENDENCYPART_ARC
(16,11),-0.839383 # DEPENDENCYPART_ARC
(16,12),0.00942771 # DEPENDENCYPART_ARC
(16,13),0.259799 # DEPENDENCYPART_ARC
(16,14),-0.179785 # DEPENDENCYPART_ARC
(16,15),1.64593 # DEPENDENCYPART_ARC
(16,17),0.248137 # DEPENDENCYPART_ARC
(16,18),0.0632378 # DEPENDENCYPART_ARC
(16,19),-0.78316 # DEPENDENCYPART_ARC
(16,20),-0.385929 # DEPENDENCYPART_ARC
(16,21),-0.127462 # DEPENDENCYPART_ARC
(16,22),0.0901046 # DEPENDENCYPART_ARC
(16,23),-0.923567 # DEPENDENCYPART_ARC
(16,24),-0.625847 # DEPENDENCYPART_ARC
(16,25),-1.25377 # DEPENDENCYPART_ARC
(17,1),-0.937316 # DEPENDENCYPART_ARC
(17,2),-0.724948 # DEPENDENCYPART_ARC
(17,3),0.714479 # DEPENDENCYPART_ARC
(17,4),-0.726473 # DEPENDENCYPART_ARC
(17,5),-0.47463 # DEPENDENCYPART_ARC
(17,6),0.547131 # DEPENDENCYPART_ARC
(17,7),-0.000624952 # DEPENDENCYPART_ARC
(17,8),0.849448 # DEPENDENCYPART_ARC
(17,9),-0.243201 # DEPENDENCYPART_ARC
(17,10),-0.307497 # DEPENDENCYPART_ARC
(17,11),-1.31834 # DEPENDENCYPART_ARC
(17,12),-1.03081 # DEPENDENCYPART_ARC
(17,13),1.22411 # DEPENDENCYPART_ARC
(17,14),0.12586 # DEPENDENCYPART_ARC
(17,15),1.40742 # DEPENDENCYPART_ARC
(17,16),2.69867 # DEPENDENCYPART_ARC
(17,18),-0.346126 # DEPENDENCYPART_ARC
(17,19),0.252509 # DEPENDENCYPART_ARC
(17,20),-0.400135 # DEPENDENCYPART_ARC
(17,21),-0.136581 # DEPENDENCYPART_ARC
(17,22),0.929451 # DEPENDENCYPART_ARC
(17,23),-1.04023 # DEPENDENCYPART_ARC
(17,24),0.0548559 # DEPENDENCYPART_ARC
(17,25),-1.75116 # DEPENDENCYPART_ARC
(18,1),-0.197957 # DEPENDENCYPART_ARC
(18,2),-0.717861 # DEPENDENCYPART_ARC
(18,3),-0.691182 # DEPENDENCYPART_ARC
(18,4),-0.61187 # DEPENDENCYPART_ARC
(18,5),0.0187928 # DEPENDENCYPART_ARC
(18,6),0.221107 # DEPENDENCYPART_ARC
(18,7),0.263338 # DEPENDENCYPART_ARC
(18,8),0.500836 # DEPENDENCYPART_ARC
(18,9),-1.11976 # DEPENDENCYPART_ARC
(18,10),-1.49767 # DEPENDENCYPART_ARC
(18,11),-1.60992 # DEPENDENCYPART_ARC
(18,12),-1.57431 # DEPENDENCYPART_ARC
(18,13),-0.770361 # DEPENDENCYPART_ARC
(18,14),-0.447283 # DEPENDENCYPART_ARC
(18,15),0.476675 # DEPENDENCYPART_ARC
(18,16),-0.374553 # DEPENDENCYPART_ARC
(18,17),2.12081 # DEPENDENCYPART_ARC
(18,19),0.207538 # DEPENDENCYPART_ARC
(18,20),-0.0860936 # DEPENDENCYPART_ARC
(18,21),0.21753 # DEPENDENCYPART_ARC
(18,22),-0.0773746 # DEPENDENCYPART_ARC
(18,23),-0.32528 # DEPENDENCYPART_ARC
(18,24),0.0855149 # DEPENDENCYPART_ARC
(18,25),-0.975382 # DEPENDENCYPART_ARC
(19,1),-0.922746 # DEPENDENCYPART_ARC
(19,2),-0.975561 # DEPENDENCYPART_ARC
(19,3),-1.41849 # DEPENDENCYPART_ARC
(19,4),-0.91743 # DEPENDENCYPART_ARC
(19,5),-0.803712 # DEPENDENCYPART_ARC
(19,6),-1.02759 # DEPENDENCYPART_ARC
(19,7),-0.585413 # DEPENDENCYPART_ARC
(19,8),-1.5842 # DEPENDENCYPART_ARC
(19,9),-1.14767 # DEPENDENCYPART_ARC
(19,10),-1.19659 # DEPENDENCYPART_ARC
(19,11),-2.20056 # DEPENDENCYPART_ARC
(19,12),-1.02934 # DEPENDENCYPART_ARC
(19,13),-1.03456 # DEPENDENCYPART_ARC
(19,14),-1.0953 # DEPENDENCYPART_ARC
(19,15),-0.680618 # DEPENDENCYPART_ARC
(19,16),-0.109488 # DEPENDENCYPART_ARC
(19,17),0.234595 # DEPENDENCYPART_ARC
(19,18),0.583963 # DEPENDENCYPART_ARC
(19,20),0.286076 # DEPENDENCYPART_ARC
(19,21),-0.280763 # DEPENDENCYPART_ARC
(19,22),-1.08762 # DEPENDENCYPART_ARC
(19,23),-0.630619 # DEPENDENCYPART_ARC
(19,24),-1.18532 # DEPENDENCYPART_ARC
(19,25),-0.767393 # DEPENDENCYPART_ARC
(20,1),-1.0206 # DEPENDENCYPART_ARC
(20,2),-1.04964 # DEPENDENCYPART_ARC
(20,3),-1.28834 # DEPENDENCYPART_ARC
(20,4),-0.947041 # DEPENDENCYPART_ARC
(20,5),-1.02353 # DEPENDENCYPART_ARC
(20,6),-1.96309 # DEPENDENCYPART_ARC
(20,7),-0.947812 # DEPENDENCYPART_ARC
(20,8),-1.20293 # DEPENDENCYPART_ARC
(20,9),-0.786875 # DEPENDENCYPART_ARC
(20,10),-0.868405 # DEPENDENCYPART_ARC
(20,11),-1.4951 # DEPENDENCYPART_ARC
(20,12),-1.08217 # DEPENDENCYPART_ARC
(20,13),-0.772384 # DEPENDENCYPART_ARC
(20,14),-0.458881 # DEPENDENCYPART_ARC
(20,15),-0.599644 # DEPENDENCYPART_ARC
(20,16),-0.615669 # DEPENDENCYPART_ARC
(20,17),-0.66435 # DEPENDENCYPART_ARC
(20,18),0.101645 # DEPENDENCYPART_ARC
(20,19),1.00465 # DEPENDENCYPART_ARC
(20,21),-0.0557151 # DEPENDENCYPART_ARC
(20,22),-0.499174 # DEPENDENCYPART_ARC
(20,23),-0.659862 # DEPENDENCYPART_ARC
(20,24),-0.668977 # DEPENDENCYPART_ARC
(20,25),-0.997456 # DEPENDENCYPART_ARC
(21,1),-0.522364 # DEPENDENCYPART_ARC
(21,2),-0.477116 # DEPENDENCYPART_ARC
