# _root_ En zıt fikirler _ ileri_sürülüyor , kimse kimseye hakaret_etmiyor , tarizde _ bulunmuyordu .
#goldHeads=2,3,4,5,6,9,9,9,10,13,13,13,14,0,
#predictedHeads=2,3,5,5,6,9,9,9,10,13,13,13,14,0,
(8,6),0.154543 # DEPENDENCYPART_ARC
(8,7),1.95512 # DEPENDENCYPART_ARC
(8,9),0.301472 # DEPENDENCYPART_ARC
(8,10),0.497274 # DEPENDENCYPART_ARC
(8,11),-1.521 # DEPENDENCYPART_ARC
(8,12),-0.484418 # DEPENDENCYPART_ARC
(8,13),-1.22638 # DEPENDENCYPART_ARC
(8,14),-0.748849 # DEPENDENCYPART_ARC
(9,1),-0.61992 # DEPENDENCYPART_ARC
(9,2),0.0150469 # DEPENDENCYPART_ARC
(9,3),0.42242 # DEPENDENCYPART_ARC
(9,4),-1.95548 # DEPENDENCYPART_ARC
(9,5),-0.0512187 # DEPENDENCYPART_ARC
(9,6),1.83065 # DEPENDENCYPART_ARC
(9,7),2.43846 # DEPENDENCYPART_ARC
(9,8),2.87988 # DEPENDENCYPART_ARC
(9,10),-0.134452 # DEPENDENCYPART_ARC
(9,11),-0.785643 # DEPENDENCYPART_ARC
(9,12),-0.525059 # DEPENDENCYPART_ARC
(9,13),-0.747758 # DEPENDENCYPART_ARC
(9,14),-1.23946 # DEPENDENCYPART_ARC
(10,1),-0.596723 # DEPENDENCYPART_ARC
(10,2),-1.02771 # DEPENDENCYPART_ARC
(10,3),-0.0427455 # DEPENDENCYPART_ARC
(10,4),-2.42587 # DEPENDENCYPART_ARC
(10,5),0.174012 # DEPENDENCYPART_ARC
(10,6),0.207413 # DEPENDENCYPART_ARC
(10,7),0.648985 # DEPENDENCYPART_ARC
(10,8),0.411661 # DEPENDENCYPART_ARC
(10,9),1.58091 # DEPENDENCYPART_ARC
(10,11),0.398342 # DEPENDENCYPART_ARC
(10,12),-0.221262 # DEPENDENCYPART_ARC
(10,13),0.196911 # DEPENDENCYPART_ARC
(10,14),-0.506186 # DEPENDENCYPART_ARC
(11,1),-1.32204 # DEPENDENCYPART_ARC
(11,2),-0.666923 # DEPENDENCYPART_ARC
(11,3),-1.42675 # DEPENDENCYPART_ARC
(11,4),-2.36992 # DEPENDENCYPART_ARC
(11,5),-1.34304 # DEPENDENCYPART_ARC
(11,6),-1.01739 # DEPENDENCYPART_ARC
(11,7),-0.846241 # DEPENDENCYPART_ARC
(11,8),-1.33881 # DEPENDENCYPART_ARC
(11,9),-0.437456 # DEPENDENCYPART_ARC
(11,10),0.60868 # DEPENDENCYPART_ARC
(11,12),0.339575 # DEPENDENCYPART_ARC
(11,13),-0.141948 # DEPENDENCYPART_ARC
(11,14),-0.269708 # DEPENDENCYPART_ARC
(12,1),-2.04422 # DEPENDENCYPART_ARC
(12,2),-1.08815 # DEPENDENCYPART_ARC
(12,3),-0.343339 # DEPENDENCYPART_ARC
(12,4),-4.74736 # DEPENDENCYPART_ARC
(12,5),-0.471232 # DEPENDENCYPART_ARC
(12,6),-0.026183 # DEPENDENCYPART_ARC
(12,7),-0.126302 # DEPENDENCYPART_ARC
(12,8),0.0699805 # DEPENDENCYPART_ARC
(12,9),-0.165329 # DEPENDENCYPART_ARC
(12,10),1.20882 # DEPENDENCYPART_ARC
(12,11),1.57865 # DEPENDENCYPART_ARC
(12,13),0.822721 # DEPENDENCYPART_ARC
(12,14),-0.0747306 # DEPENDENCYPART_ARC
(13,1),-1.29346 # DEPENDENCYPART_ARC
(13,2),-0.158129 # DEPENDENCYPART_ARC
(13,3),0.917283 # DEPENDENCYPART_ARC
(13,4),-3.56106 # DEPENDENCYPART_ARC
(13,5),-0.0521013 # DEPENDENCYPART_ARC
(13,6),0.902345 # DEPENDENCYPART_ARC
(13,7),1.06654 # DEPENDENCYPART_ARC
(13,8),0.929903 # DEPENDENCYPART_ARC
(13,9),0.208122 # DEPENDENCYPART_ARC
(13,10),1.91377 # DEPENDENCYPART_ARC
(13,11),2.76345 # DEPENDENCYPART_ARC
(13,12),2.85104 # DEPENDENCYPART_ARC
(13,14),-0.580972 # DEPENDENCYPART_ARC
(14,1),-0.521753 # DEPENDENCYPART_ARC
(14,2),-0.981436 # DEPENDENCYPART_ARC
(14,3),-0.525848 # DEPENDENCYPART_ARC
(14,4),-3.33954 # DEPENDENCYPART_ARC
(14,5),0.298063 # DEPENDENCYPART_ARC
(14,6),0.00720707 # DEPENDENCYPART_ARC
(14,7),0.106951 # DEPENDENCYPART_ARC
(14,8),0.00688467 # DEPENDENCYPART_ARC
(14,9),0.220622 # DEPENDENCYPART_ARC
(14,10),0.506404 # DEPENDENCYPART_ARC
(14,11),0.410725 # DEPENDENCYPART_ARC
(14,12),-0.538754 # DEPENDENCYPART_ARC
(14,13),1.92845 # DEPENDENCYPART_ARC
