# _root_ Sayın Bila bana , bu _ konuşmayla ilgili izlenimlerini köşesinde _ yazacağını ifade_etti , _ dediği gibi de yaptı .
#goldHeads=2,19,13,0,7,7,8,9,12,12,12,13,14,19,16,17,19,17,20,0,
#predictedHeads=2,13,4,0,7,7,8,9,11,11,12,13,14,19,16,17,19,17,20,0,
(4,18),-0.874515 # DEPENDENCYPART_ARC
(4,19),-0.936887 # DEPENDENCYPART_ARC
(4,20),-2.64799 # DEPENDENCYPART_ARC
(5,1),-1.37891 # DEPENDENCYPART_ARC
(5,2),-1.22409 # DEPENDENCYPART_ARC
(5,3),-1.10482 # DEPENDENCYPART_ARC
(5,4),0.202694 # DEPENDENCYPART_ARC
(5,6),0.0724887 # DEPENDENCYPART_ARC
(5,7),-0.352328 # DEPENDENCYPART_ARC
(5,8),-0.566049 # DEPENDENCYPART_ARC
(5,9),-0.620336 # DEPENDENCYPART_ARC
(5,10),-0.813833 # DEPENDENCYPART_ARC
(5,11),-0.664708 # DEPENDENCYPART_ARC
(5,12),-0.784637 # DEPENDENCYPART_ARC
(5,13),-0.78726 # DEPENDENCYPART_ARC
(5,14),-0.53024 # DEPENDENCYPART_ARC
(5,15),-0.957657 # DEPENDENCYPART_ARC
(5,16),-0.936036 # DEPENDENCYPART_ARC
(5,17),-0.617539 # DEPENDENCYPART_ARC
(5,18),-0.693813 # DEPENDENCYPART_ARC
(5,19),-1.31228 # DEPENDENCYPART_ARC
(5,20),-1.25242 # DEPENDENCYPART_ARC
(6,1),-0.483116 # DEPENDENCYPART_ARC
(6,2),-0.0890539 # DEPENDENCYPART_ARC
(6,3),0.356608 # DEPENDENCYPART_ARC
(6,4),-0.203504 # DEPENDENCYPART_ARC
(6,5),1.05389 # DEPENDENCYPART_ARC
(6,7),0.480404 # DEPENDENCYPART_ARC
(6,8),-0.195058 # DEPENDENCYPART_ARC
(6,9),-0.452987 # DEPENDENCYPART_ARC
(6,10),-1.02566 # DEPENDENCYPART_ARC
(6,11),-1.06555 # DEPENDENCYPART_ARC
(6,12),-0.880983 # DEPENDENCYPART_ARC
(6,13),-1.04353 # DEPENDENCYPART_ARC
(6,14),-0.841151 # DEPENDENCYPART_ARC
(6,15),-1.35081 # DEPENDENCYPART_ARC
(6,16),-1.54373 # DEPENDENCYPART_ARC
(6,17),-0.625953 # DEPENDENCYPART_ARC
(6,18),-1.40352 # DEPENDENCYPART_ARC
(6,19),-1.83405 # DEPENDENCYPART_ARC
(6,20),-1.89875 # DEPENDENCYPART_ARC
(7,1),-0.0141443 # DEPENDENCYPART_ARC
(7,2),-0.595603 # DEPENDENCYPART_ARC
(7,3),-1.46049 # DEPENDENCYPART_ARC
(7,4),0.476315 # DEPENDENCYPART_ARC
(7,5),1.85191 # DEPENDENCYPART_ARC
(7,6),2.81909 # DEPENDENCYPART_ARC
(7,8),-0.441868 # DEPENDENCYPART_ARC
(7,9),-1.07185 # DEPENDENCYPART_ARC
(7,10),-1.75444 # DEPENDENCYPART_ARC
(7,11),-0.975977 # DEPENDENCYPART_ARC
(7,12),-1.31172 # DEPENDENCYPART_ARC
(7,13),-1.56606 # DEPENDENCYPART_ARC
(7,14),-0.58988 # DEPENDENCYPART_ARC
(7,15),-1.51137 # DEPENDENCYPART_ARC
(7,16),-0.944907 # DEPENDENCYPART_ARC
(7,17),-0.640371 # DEPENDENCYPART_ARC
(7,18),-1.24835 # DEPENDENCYPART_ARC
(7,19),-2.29586 # DEPENDENCYPART_ARC
(7,20),-1.88392 # DEPENDENCYPART_ARC
(8,1),0.305089 # DEPENDENCYPART_ARC
(8,2),-0.63094 # DEPENDENCYPART_ARC
(8,3),-0.566016 # DEPENDENCYPART_ARC
(8,4),0.586953 # DEPENDENCYPART_ARC
(8,5),1.6093 # DEPENDENCYPART_ARC
(8,6),1.35916 # DEPENDENCYPART_ARC
(8,7),2.46523 # DEPENDENCYPART_ARC
(8,9),-0.763737 # DEPENDENCYPART_ARC
(8,10),-1.4464 # DEPENDENCYPART_ARC
(8,11),-0.891838 # DEPENDENCYPART_ARC
(8,12),-1.18034 # DEPENDENCYPART_ARC
(8,13),-1.66016 # DEPENDENCYPART_ARC
(8,14),-0.350016 # DEPENDENCYPART_ARC
(8,15),-1.32261 # DEPENDENCYPART_ARC
(8,16),-0.839128 # DEPENDENCYPART_ARC
(8,17),-0.367615 # DEPENDENCYPART_ARC
(8,18),-0.799796 # DEPENDENCYPART_ARC
(8,19),-2.37646 # DEPENDENCYPART_ARC
(8,20),-1.5427 # DEPENDENCYPART_ARC
(9,1),-0.73565 # DEPENDENCYPART_ARC
(9,2),-1.24839 # DEPENDENCYPART_ARC
(9,3),-2.08267 # DEPENDENCYPART_ARC
(9,4),-0.425124 # DEPENDENCYPART_ARC
(9,5),0.310879 # DEPENDENCYPART_ARC
(9,6),-0.604016 # DEPENDENCYPART_ARC
(9,7),0.827338 # DEPENDENCYPART_ARC
(9,8),2.74813 # DEPENDENCYPART_ARC
(9,10),-0.125164 # DEPENDENCYPART_ARC
(9,11),-0.525346 # DEPENDENCYPART_ARC
(9,12),-0.00386629 # DEPENDENCYPART_ARC
(9,13),-1.10418 # DEPENDENCYPART_ARC
(9,14),-0.267548 # DEPENDENCYPART_ARC
(9,15),-1.16463 # DEPENDENCYPART_ARC
(9,16),-0.735031 # DEPENDENCYPART_ARC
(9,17),-0.596289 # DEPENDENCYPART_ARC
(9,18),-0.616722 # DEPENDENCYPART_ARC
(9,19),-1.82259 # DEPENDENCYPART_ARC
(9,20),-1.46363 # DEPENDENCYPART_ARC
(10,1),-0.68839 # DEPENDENCYPART_ARC
(10,2),-0.924667 # DEPENDENCYPART_ARC
(10,3),-0.922329 # DEPENDENCYPART_ARC
(10,4),-0.0321472 # DEPENDENCYPART_ARC
(10,5),0.411594 # DEPENDENCYPART_ARC
(10,6),-0.98654 # DEPENDENCYPART_ARC
(10,7),-0.0242162 # DEPENDENCYPART_ARC
(10,8),1.82093 # DEPENDENCYPART_ARC
(10,9),1.75622 # DEPENDENCYPART_ARC
(10,11),0.106938 # DEPENDENCYPART_ARC
(10,12),0.629141 # DEPENDENCYPART_ARC
(10,13),-0.430654 # DEPENDENCYPART_ARC
(10,14),-0.106221 # DEPENDENCYPART_ARC
(10,15),-0.808084 # DEPENDENCYPART_ARC
(10,16),-0.497019 # DEPENDENCYPART_ARC
(10,17),-0.380544 # DEPENDENCYPART_ARC
(10,18),-0.564294 # DEPENDENCYPART_ARC
(10,19),-1.1684 # DEPENDENCYPART_ARC
(10,20),-1.34702 # DEPENDENCYPART_ARC
(11,1),-0.317394 # DEPENDENCYPART_ARC
(11,2),0.375983 # DEPENDENCYPART_ARC
(11,3),0.54993 # DEPENDENCYPART_ARC
(11,4),-0.422852 # DEPENDENCYPART_ARC
(11,5),0.0274767 # DEPENDENCYPART_ARC
(11,6),-3.03946 # DEPENDENCYPART_ARC
(11,7),1.12113 # DEPENDENCYPART_ARC
(11,8),0.813403 # DEPENDENCYPART_ARC
(11,9),2.1067 # DEPENDENCYPART_ARC
(11,10),2.71578 # DEPENDENCYPART_ARC
(11,12),0.371857 # DEPENDENCYPART_ARC
(11,13),-0.444343 # DEPENDENCYPART_ARC
(11,14),-0.310968 # DEPENDENCYPART_ARC
(11,15),-0.681441 # DEPENDENCYPART_ARC
(11,16),-0.850147 # DEPENDENCYPART_ARC
(11,17),0.268399 # DEPENDENCYPART_ARC
(11,18),-0.427694 # DEPENDENCYPART_ARC
(11,19),-1.30196 # DEPENDENCYPART_ARC
(11,20),-1.55887 # DEPENDENCYPART_ARC
(12,1),-0.767951 # DEPENDENCYPART_ARC
(12,2),-0.529019 # DEPENDENCYPART_ARC
(12,3),-0.494685 # DEPENDENCYPART_ARC
(12,4),-0.20216 # DEPENDENCYPART_ARC
(12,5),0.272484 # DEPENDENCYPART_ARC
(12,6),-1.70943 # DEPENDENCYPART_ARC
(12,7),0.561374 # DEPENDENCYPART_ARC
(12,8),1.82777 # DEPENDENCYPART_ARC
(12,9),1.13572 # DEPENDENCYPART_ARC
(12,10),2.00796 # DEPENDENCYPART_ARC
(12,11),2.76001 # DEPENDENCYPART_ARC
(12,13),-0.603445 # DEPENDENCYPART_ARC
(12,14),-0.126349 # DEPENDENCYPART_ARC
(12,15),-1.08466 # DEPENDENCYPART_ARC
(12,16),-0.494876 # DEPENDENCYPART_ARC
(12,17),-0.647712 # DEPENDENCYPART_ARC
(12,18),-0.564804 # DEPENDENCYPART_ARC
(12,19),-1.92066 # DEPENDENCYPART_ARC
(12,20),-1.75749 # DEPENDENCYPART_ARC
(13,1),-0.0567205 # DEPENDENCYPART_ARC
(13,2),1.85398 # DEPENDENCYPART_ARC
(13,3),0.87584 # DEPENDENCYPART_ARC
(13,4),0.514136 # DEPENDENCYPART_ARC
(13,5),0.584139 # DEPENDENCYPART_ARC
(13,6),-3.9953 # DEPENDENCYPART_ARC
(13,7),1.6433 # DEPENDENCYPART_ARC
(13,8),1.83093 # DEPENDENCYPART_ARC
(13,9),1.71144 # DEPENDENCYPART_ARC
(13,10),1.95072 # DEPENDENCYPART_ARC
(13,11),0.258091 # DEPENDENCYPART_ARC
(13,12),3.35845 # DEPENDENCYPART_ARC
(13,14),0.16372 # DEPENDENCYPART_ARC
(13,15),-0.570938 # DEPENDENCYPART_ARC
(13,16),-0.621316 # DEPENDENCYPART_ARC
(13,17),0.823666 # DEPENDENCYPART_ARC
(13,18),-0.509761 # DEPENDENCYPART_ARC
(13,19),-1.57123 # DEPENDENCYPART_ARC
(13,20),-1.58656 # DEPENDENCYPART_ARC
(14,1),-0.932144 # DEPENDENCYPART_ARC
(14,2),-0.0900863 # DEPENDENCYPART_ARC
(14,3),-0.544273 # DEPENDENCYPART_ARC
(14,4),-0.0376459 # DEPENDENCYPART_ARC
(14,5),-0.25942 # DEPENDENCYPART_ARC
(14,6),-2.5849 # DEPENDENCYPART_ARC
(14,7),0.239029 # DEPENDENCYPART_ARC
(14,8),0.4342 # DEPENDENCYPART_ARC
(14,9),0.474579 # DEPENDENCYPART_ARC
(14,10),0.43597 # DEPENDENCYPART_ARC
(14,11),-0.697187 # DEPENDENCYPART_ARC
(14,12),0.434442 # DEPENDENCYPART_ARC
(14,13),2.18391 # DEPENDENCYPART_ARC
(14,15),0.451632 # DEPENDENCYPART_ARC
(14,16),-0.0851771 # DEPENDENCYPART_ARC
(14,17),0.560647 # DEPENDENCYPART_ARC
(14,18),-0.0250932 # DEPENDENCYPART_ARC
(14,19),0.327776 # DEPENDENCYPART_ARC
(14,20),-0.344871 # DEPENDENCYPART_ARC
(15,1),-0.659975 # DEPENDENCYPART_ARC
(15,2),-0.268417 # DEPENDENCYPART_ARC
(15,3),-0.416368 # DEPENDENCYPART_ARC
(15,4),-1.8801 # DEPENDENCYPART_ARC
(15,5),-0.469559 # DEPENDENCYPART_ARC
(15,6),-7.40221 # DEPENDENCYPART_ARC
(15,7),-0.409793 # DEPENDENCYPART_ARC
(15,8),-0.808638 # DEPENDENCYPART_ARC
(15,9),0.121554 # DEPENDENCYPART_ARC
(15,10),-0.14555 # DEPENDENCYPART_ARC
(15,11),-2.2062 # DEPENDENCYPART_ARC
(15,12),0.232361 # DEPENDENCYPART_ARC
(15,13),-0.283751 # DEPENDENCYPART_ARC
(15,14),1.22722 # DEPENDENCYPART_ARC
(15,16),0.50741 # DEPENDENCYPART_ARC
(15,17),0.544557 # DEPENDENCYPART_ARC
(15,18),0.692363 # DEPENDENCYPART_ARC
(15,19),-0.617327 # DEPENDENCYPART_ARC
(15,20),-0.987818 # DEPENDENCYPART_ARC
(16,1),-1.14994 # DEPENDENCYPART_ARC
(16,2),-0.777855 # DEPENDENCYPART_ARC
(16,3),-0.43876 # DEPENDENCYPART_ARC
(16,4),-0.54422 # DEPENDENCYPART_ARC
(16,5),-0.745057 # DEPENDENCYPART_ARC
(16,6),-2.97594 # DEPENDENCYPART_ARC
(16,7),-0.0450796 # DEPENDENCYPART_ARC
(16,8),-0.385019 # DEPENDENCYPART_ARC
(16,9),0.143219 # DEPENDENCYPART_ARC
(16,10),-0.029937 # DEPENDENCYPART_ARC
(16,11),-0.506235 # DEPENDENCYPART_ARC
(16,12),0.516942 # DEPENDENCYPART_ARC
(16,13),0.286617 # DEPENDENCYPART_ARC
(16,14),0.523528 # DEPENDENCYPART_ARC
(16,15),2.81253 # DEPENDENCYPART_ARC
(16,17),-0.152066 # DEPENDENCYPART_ARC
(16,18),0.0240454 # DEPENDENCYPART_ARC
(16,19),-1.03392 # DEPENDENCYPART_ARC
(16,20),-1.00026 # DEPENDENCYPART_ARC
(17,1),-0.655346 # DEPENDENCYPART_ARC
(17,2),-1.17769 # DEPENDENCYPART_ARC
(17,3),-1.06857 # DEPENDENCYPART_ARC
(17,4),-0.362034 # DEPENDENCYPART_ARC
(17,5),-0.388164 # DEPENDENCYPART_ARC
(17,6),-0.785004 # DEPENDENCYPART_ARC
(17,7),-1.23314 # DEPENDENCYPART_ARC
(17,8),-0.72383 # DEPENDENCYPART_ARC
(17,9),-1.03718 # DEPENDENCYPART_ARC
(17,10),-0.582715 # DEPENDENCYPART_ARC
(17,11),-0.639894 # DEPENDENCYPART_ARC
(17,12),-0.317819 # DEPENDENCYPART_ARC
(17,13),0.224955 # DEPENDENCYPART_ARC
(17,14),0.811979 # DEPENDENCYPART_ARC
(17,15),0.753144 # DEPENDENCYPART_ARC
(17,16),2.88957 # DEPENDENCYPART_ARC
(17,18),1.87126 # DEPENDENCYPART_ARC
(17,19),0.39381 # DEPENDENCYPART_ARC
(17,20),0.441079 # DEPENDENCYPART_ARC
(18,1),-1.55731 # DEPENDENCYPART_ARC
(18,2),-1.46577 # DEPENDENCYPART_ARC
(18,3),-0.951786 # DEPENDENCYPART_ARC
(18,4),-1.18129 # DEPENDENCYPART_ARC
(18,5),-0.998266 # DEPENDENCYPART_ARC
(18,6),-1.43994 # DEPENDENCYPART_ARC
(18,7),-1.44307 # DEPENDENCYPART_ARC
(18,8),-1.37023 # DEPENDENCYPART_ARC
(18,9),-1.1763 # DEPENDENCYPART_ARC
(18,10),-0.975141 # DEPENDENCYPART_ARC
(18,11),-0.78822 # DEPENDENCYPART_ARC
(18,12),-0.838282 # DEPENDENCYPART_ARC
(18,13),-0.293973 # DEPENDENCYPART_ARC
(18,14),-0.518211 # DEPENDENCYPART_ARC
(18,15),0.191246 # DEPENDENCYPART_ARC
(18,16),0.48878 # DEPENDENCYPART_ARC
(18,17),1.21802 # DEPENDENCYPART_ARC
(18,19),0.0787292 # DEPENDENCYPART_ARC
(18,20),-0.0861818 # DEPENDENCYPART_ARC
(19,1),-0.465231 # DEPENDENCYPART_ARC
(19,2),1.2523 # DEPENDENCYPART_ARC
(19,3),0.299531 # DEPENDENCYPART_ARC
(19,4),-0.0515117 # DEPENDENCYPART_ARC
(19,5),0.252774 # DEPENDENCYPART_ARC
(19,6),-6.77423 # DEPENDENCYPART_ARC
(19,7),0.325859 # DEPENDENCYPART_ARC
(19,8),0.314313 # DEPENDENCYPART_ARC
(19,9),0.112528 # DEPENDENCYPART_ARC
(19,10),0.408168 # DEPENDENCYPART_ARC
(19,11),-3.28598 # DEPENDENCYPART_ARC
(19,12),0.29867 # DEPENDENCYPART_ARC
(19,13),-0.504004 # DEPENDENCYPART_ARC
(19,14),2.26283 # DEPENDENCYPART_ARC
(19,15),0.0108743 # DEPENDENCYPART_ARC
(19,16),0.862218 # DEPENDENCYPART_ARC
(19,17),2.17745 # DEPENDENCYPART_ARC
(19,18),0.740989 # DEPENDENCYPART_ARC
(19,20),0.0525396 # DEPENDENCYPART_ARC
(20,1),-0.929783 # DEPENDENCYPART_ARC
(20,2),-0.643273 # DEPENDENCYPART_ARC
(20,3),-0.68864 # DEPENDENCYPART_ARC
(20,4),-0.987102 # DEPENDENCYPART_ARC
(20,5),-0.521486 # DEPENDENCYPART_ARC
(20,6),-4.50692 # DEPENDENCYPART_ARC
(20,7),-0.423568 # DEPENDENCYPART_ARC
(20,8),-0.146268 # DEPENDENCYPART_ARC
(20,9),-0.0930907 # DEPENDENCYPART_ARC
(20,10),-0.235667 # DEPENDENCYPART_ARC
(20,11),-2.58301 # DEPENDENCYPART_ARC
(20,12),-0.336094 # DEPENDENCYPART_ARC
(20,13),-0.108974 # DEPENDENCYPART_ARC
(20,14),0.376448 # DEPENDENCYPART_ARC
(20,15),-0.818599 # DEPENDENCYPART_ARC
(20,16),0.15899 # DEPENDENCYPART_ARC
(20,17),0.237579 # DEPENDENCYPART_ARC
(20,18),0.113421 # DEPENDENCYPART_ARC
(20,19),1.8194 # DEPENDENCYPART_ARC
