# _root_ Gazete ve dergilerde _ _ yayımlanan güncel , siyasal , toplumsal sorunları _ ele_alan _ yazılardır .
#goldHeads=2,3,5,5,6,12,8,9,10,11,12,13,14,15,16,17,0,
#predictedHeads=2,3,5,5,6,12,8,0,10,0,12,13,14,15,16,17,0,
(12,16),-0.796587 # DEPENDENCYPART_ARC
(12,17),-0.523126 # DEPENDENCYPART_ARC
(13,1),-0.228213 # DEPENDENCYPART_ARC
(13,2),-0.426783 # DEPENDENCYPART_ARC
(13,3),0.402577 # DEPENDENCYPART_ARC
(13,4),-4.46436 # DEPENDENCYPART_ARC
(13,5),-3.77648 # DEPENDENCYPART_ARC
(13,6),-0.476658 # DEPENDENCYPART_ARC
(13,7),-0.560308 # DEPENDENCYPART_ARC
(13,8),-0.570024 # DEPENDENCYPART_ARC
(13,9),-0.170488 # DEPENDENCYPART_ARC
(13,10),0.320103 # DEPENDENCYPART_ARC
(13,11),0.860705 # DEPENDENCYPART_ARC
(13,12),3.05107 # DEPENDENCYPART_ARC
(13,14),0.170796 # DEPENDENCYPART_ARC
(13,15),-0.491947 # DEPENDENCYPART_ARC
(13,16),-0.502964 # DEPENDENCYPART_ARC
(13,17),-1.00793 # DEPENDENCYPART_ARC
(14,1),-0.424486 # DEPENDENCYPART_ARC
(14,2),-0.603564 # DEPENDENCYPART_ARC
(14,3),0.182292 # DEPENDENCYPART_ARC
(14,4),-1.92066 # DEPENDENCYPART_ARC
(14,5),-1.12421 # DEPENDENCYPART_ARC
(14,6),-0.427967 # DEPENDENCYPART_ARC
(14,7),-0.473793 # DEPENDENCYPART_ARC
(14,8),0.157346 # DEPENDENCYPART_ARC
(14,9),-0.366463 # DEPENDENCYPART_ARC
(14,10),0.55554 # DEPENDENCYPART_ARC
(14,11),0.463245 # DEPENDENCYPART_ARC
(14,12),1.58691 # DEPENDENCYPART_ARC
(14,13),2.42336 # DEPENDENCYPART_ARC
(14,15),-0.256724 # DEPENDENCYPART_ARC
(14,16),-0.770445 # DEPENDENCYPART_ARC
(14,17),-0.94068 # DEPENDENCYPART_ARC
(15,1),-0.0969733 # DEPENDENCYPART_ARC
(15,2),-0.0384267 # DEPENDENCYPART_ARC
(15,3),-1.80575 # DEPENDENCYPART_ARC
(15,4),-6.23028 # DEPENDENCYPART_ARC
(15,5),-5.40061 # DEPENDENCYPART_ARC
(15,6),0.490088 # DEPENDENCYPART_ARC
(15,7),0.153115 # DEPENDENCYPART_ARC
(15,8),0.253607 # DEPENDENCYPART_ARC
(15,9),-0.128541 # DEPENDENCYPART_ARC
(15,10),0.472995 # DEPENDENCYPART_ARC
(15,11),0.745161 # DEPENDENCYPART_ARC
(15,12),-0.0858154 # DEPENDENCYPART_ARC
(15,13),0.810714 # DEPENDENCYPART_ARC
(15,14),2.43286 # DEPENDENCYPART_ARC
(15,16),0.0753025 # DEPENDENCYPART_ARC
(15,17),0.152302 # DEPENDENCYPART_ARC
(16,1),0.489797 # DEPENDENCYPART_ARC
(16,2),0.198543 # DEPENDENCYPART_ARC
(16,3),0.242632 # DEPENDENCYPART_ARC
(16,4),-5.28223 # DEPENDENCYPART_ARC
(16,5),-4.94433 # DEPENDENCYPART_ARC
(16,6),-0.0694066 # DEPENDENCYPART_ARC
(16,7),0.0804498 # DEPENDENCYPART_ARC
(16,8),0.112639 # DEPENDENCYPART_ARC
(16,9),0.198012 # DEPENDENCYPART_ARC
(16,10),0.753555 # DEPENDENCYPART_ARC
(16,11),0.627969 # DEPENDENCYPART_ARC
(16,12),1.67396 # DEPENDENCYPART_ARC
(16,13),-0.118245 # DEPENDENCYPART_ARC
(16,14),1.48121 # DEPENDENCYPART_ARC
(16,15),3.09975 # DEPENDENCYPART_ARC
(16,17),-0.942723 # DEPENDENCYPART_ARC
(17,1),0.0438375 # DEPENDENCYPART_ARC
(17,2),-1.06225 # DEPENDENCYPART_ARC
(17,3),-0.138246 # DEPENDENCYPART_ARC
(17,4),-4.03096 # DEPENDENCYPART_ARC
(17,5),-3.53749 # DEPENDENCYPART_ARC
(17,6),-0.329538 # DEPENDENCYPART_ARC
(17,7),-0.295407 # DEPENDENCYPART_ARC
(17,8),-0.29994 # DEPENDENCYPART_ARC
(17,9),-0.357034 # DEPENDENCYPART_ARC
(17,10),0.138038 # DEPENDENCYPART_ARC
(17,11),0.155329 # DEPENDENCYPART_ARC
(17,12),0.286581 # DEPENDENCYPART_ARC
(17,13),-1.25842 # DEPENDENCYPART_ARC
(17,14),0.574355 # DEPENDENCYPART_ARC
(17,15),-0.502494 # DEPENDENCYPART_ARC
(17,16),1.93438 # DEPENDENCYPART_ARC
