# _root_ _ İnsanlık , _ Roma_İmparatorluğu döneminin öncesinde bu birleşime çok yaklaşmış , fakat çağdaş bilimin _ doğuşu için Bilimsel_Devrimi _ beklemek zorunda_kalmıştır .
#goldHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
#predictedHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
(5,16),-1.83453 # DEPENDENCYPART_ARC
(5,17),-1.398 # DEPENDENCYPART_ARC
(5,18),-1.41138 # DEPENDENCYPART_ARC
(5,19),-1.88388 # DEPENDENCYPART_ARC
(5,20),-1.91383 # DEPENDENCYPART_ARC
(5,21),-1.86257 # DEPENDENCYPART_ARC
(5,22),-1.62278 # DEPENDENCYPART_ARC
(5,23),-2.05645 # DEPENDENCYPART_ARC
(6,1),-1.67255 # DEPENDENCYPART_ARC
(6,2),0.315419 # DEPENDENCYPART_ARC
(6,3),0.924115 # DEPENDENCYPART_ARC
(6,4),1.59763 # DEPENDENCYPART_ARC
(6,5),3.48596 # DEPENDENCYPART_ARC
(6,7),-0.544422 # DEPENDENCYPART_ARC
(6,8),0.00766526 # DEPENDENCYPART_ARC
(6,9),-0.348849 # DEPENDENCYPART_ARC
(6,10),-0.520567 # DEPENDENCYPART_ARC
(6,11),-0.941053 # DEPENDENCYPART_ARC
(6,12),-0.330932 # DEPENDENCYPART_ARC
(6,13),-1.03327 # DEPENDENCYPART_ARC
(6,14),-1.23708 # DEPENDENCYPART_ARC
(6,15),-0.999917 # DEPENDENCYPART_ARC
(6,16),-1.52371 # DEPENDENCYPART_ARC
(6,17),-1.52117 # DEPENDENCYPART_ARC
(6,18),-1.0745 # DEPENDENCYPART_ARC
(6,19),-1.96007 # DEPENDENCYPART_ARC
(6,20),-1.69497 # DEPENDENCYPART_ARC
(6,21),-2.03342 # DEPENDENCYPART_ARC
(6,22),-2.18952 # DEPENDENCYPART_ARC
(6,23),-1.73149 # DEPENDENCYPART_ARC
(7,1),-3.38001 # DEPENDENCYPART_ARC
(7,2),-0.651717 # DEPENDENCYPART_ARC
(7,3),-0.000695987 # DEPENDENCYPART_ARC
(7,4),-0.474211 # DEPENDENCYPART_ARC
(7,5),1.41956 # DEPENDENCYPART_ARC
(7,6),3.18557 # DEPENDENCYPART_ARC
(7,8),0.812032 # DEPENDENCYPART_ARC
(7,9),0.834263 # DEPENDENCYPART_ARC
(7,10),-0.0616157 # DEPENDENCYPART_ARC
(7,11),-0.0225361 # DEPENDENCYPART_ARC
(7,12),0.0622356 # DEPENDENCYPART_ARC
(7,13),-0.531725 # DEPENDENCYPART_ARC
(7,14),-0.719278 # DEPENDENCYPART_ARC
(7,15),-0.277068 # DEPENDENCYPART_ARC
(7,16),-0.92802 # DEPENDENCYPART_ARC
(7,17),-0.467359 # DEPENDENCYPART_ARC
(7,18),-0.617548 # DEPENDENCYPART_ARC
(7,19),-0.983796 # DEPENDENCYPART_ARC
(7,20),-1.25083 # DEPENDENCYPART_ARC
(7,21),-1.35264 # DEPENDENCYPART_ARC
(7,22),-1.46625 # DEPENDENCYPART_ARC
(7,23),-1.35164 # DEPENDENCYPART_ARC
(8,1),-1.02251 # DEPENDENCYPART_ARC
(8,2),-0.960159 # DEPENDENCYPART_ARC
(8,3),-0.276819 # DEPENDENCYPART_ARC
(8,4),-0.575629 # DEPENDENCYPART_ARC
(8,5),-0.44641 # DEPENDENCYPART_ARC
(8,6),-0.219249 # DEPENDENCYPART_ARC
(8,7),0.487729 # DEPENDENCYPART_ARC
(8,9),-0.174683 # DEPENDENCYPART_ARC
(8,10),-0.245201 # DEPENDENCYPART_ARC
(8,11),-0.48655 # DEPENDENCYPART_ARC
(8,12),-0.392385 # DEPENDENCYPART_ARC
(8,13),-0.563984 # DEPENDENCYPART_ARC
(8,14),-1.12459 # DEPENDENCYPART_ARC
(8,15),-1.24421 # DEPENDENCYPART_ARC
(8,16),-1.21006 # DEPENDENCYPART_ARC
(8,17),-1.18775 # DEPENDENCYPART_ARC
(8,18),-0.771699 # DEPENDENCYPART_ARC
(8,19),-1.48407 # DEPENDENCYPART_ARC
(8,20),-1.34219 # DEPENDENCYPART_ARC
(8,21),-1.69365 # DEPENDENCYPART_ARC
(8,22),-1.44333 # DEPENDENCYPART_ARC
(8,23),-1.20695 # DEPENDENCYPART_ARC
(9,1),-4.59626 # DEPENDENCYPART_ARC
(9,2),-1.45273 # DEPENDENCYPART_ARC
(9,3),-0.185591 # DEPENDENCYPART_ARC
(9,4),-2.00638 # DEPENDENCYPART_ARC
(9,5),0.0985949 # DEPENDENCYPART_ARC
(9,6),-0.336291 # DEPENDENCYPART_ARC
(9,7),0.00885776 # DEPENDENCYPART_ARC
(9,8),2.0661 # DEPENDENCYPART_ARC
(9,10),0.0789874 # DEPENDENCYPART_ARC
(9,11),-1.02702 # DEPENDENCYPART_ARC
(9,12),-0.610222 # DEPENDENCYPART_ARC
(9,13),-0.955304 # DEPENDENCYPART_ARC
(9,14),-1.35616 # DEPENDENCYPART_ARC
(9,15),-2.19736 # DEPENDENCYPART_ARC
(9,16),-1.80627 # DEPENDENCYPART_ARC
(9,17),-1.85851 # DEPENDENCYPART_ARC
(9,18),-1.04078 # DEPENDENCYPART_ARC
(9,19),-2.54322 # DEPENDENCYPART_ARC
(9,20),-1.96064 # DEPENDENCYPART_ARC
(9,21),-2.66179 # DEPENDENCYPART_ARC
(9,22),-2.74749 # DEPENDENCYPART_ARC
(9,23),-2.06718 # DEPENDENCYPART_ARC
(10,1),-1.17324 # DEPENDENCYPART_ARC
(10,2),-1.02502 # DEPENDENCYPART_ARC
(10,3),0.0155322 # DEPENDENCYPART_ARC
(10,4),-0.235995 # DEPENDENCYPART_ARC
(10,5),-0.177019 # DEPENDENCYPART_ARC
(10,6),-0.0632723 # DEPENDENCYPART_ARC
(10,7),0.123075 # DEPENDENCYPART_ARC
(10,8),0.848111 # DEPENDENCYPART_ARC
(10,9),1.79585 # DEPENDENCYPART_ARC
(10,11),0.141688 # DEPENDENCYPART_ARC
(10,12),-0.0297886 # DEPENDENCYPART_ARC
(10,13),-0.319879 # DEPENDENCYPART_ARC
(10,14),-0.885026 # DEPENDENCYPART_ARC
(10,15),-1.11834 # DEPENDENCYPART_ARC
(10,16),-0.961002 # DEPENDENCYPART_ARC
(10,17),-1.13034 # DEPENDENCYPART_ARC
(10,18),-0.752851 # DEPENDENCYPART_ARC
(10,19),-1.13084 # DEPENDENCYPART_ARC
(10,20),-0.997421 # DEPENDENCYPART_ARC
(10,21),-1.51312 # DEPENDENCYPART_ARC
(10,22),-1.26548 # DEPENDENCYPART_ARC
(10,23),-1.51143 # DEPENDENCYPART_ARC
(11,1),-3.37127 # DEPENDENCYPART_ARC
(11,2),1.62688 # DEPENDENCYPART_ARC
(11,3),0.550944 # DEPENDENCYPART_ARC
(11,4),-1.50693 # DEPENDENCYPART_ARC
(11,5),2.39016 # DEPENDENCYPART_ARC
(11,6),1.23784 # DEPENDENCYPART_ARC
(11,7),2.8763 # DEPENDENCYPART_ARC
(11,8),1.02768 # DEPENDENCYPART_ARC
(11,9),3.37268 # DEPENDENCYPART_ARC
(11,10),2.4398 # DEPENDENCYPART_ARC
(11,12),-0.0389307 # DEPENDENCYPART_ARC
(11,13),0.0363052 # DEPENDENCYPART_ARC
(11,14),-0.771184 # DEPENDENCYPART_ARC
(11,15),-2.30516 # DEPENDENCYPART_ARC
(11,16),-1.47946 # DEPENDENCYPART_ARC
(11,17),-0.629192 # DEPENDENCYPART_ARC
(11,18),0.522688 # DEPENDENCYPART_ARC
(11,19),-1.02518 # DEPENDENCYPART_ARC
(11,20),-1.48681 # DEPENDENCYPART_ARC
(11,21),-1.33589 # DEPENDENCYPART_ARC
(11,22),-1.55836 # DEPENDENCYPART_ARC
(11,23),-1.75888 # DEPENDENCYPART_ARC
(12,1),-3.31129 # DEPENDENCYPART_ARC
(12,2),-0.154995 # DEPENDENCYPART_ARC
(12,3),0.051873 # DEPENDENCYPART_ARC
(12,4),-2.18412 # DEPENDENCYPART_ARC
(12,5),0.459974 # DEPENDENCYPART_ARC
(12,6),0.557957 # DEPENDENCYPART_ARC
(12,7),0.508976 # DEPENDENCYPART_ARC
(12,8),0.119542 # DEPENDENCYPART_ARC
(12,9),0.9164 # DEPENDENCYPART_ARC
(12,10),-0.169379 # DEPENDENCYPART_ARC
(12,11),2.012 # DEPENDENCYPART_ARC
(12,13),0.129257 # DEPENDENCYPART_ARC
(12,14),-0.593655 # DEPENDENCYPART_ARC
(12,15),-0.351923 # DEPENDENCYPART_ARC
(12,16),-0.139062 # DEPENDENCYPART_ARC
(12,17),-0.416705 # DEPENDENCYPART_ARC
(12,18),-0.359659 # DEPENDENCYPART_ARC
(12,19),-0.48838 # DEPENDENCYPART_ARC
(12,20),-0.620591 # DEPENDENCYPART_ARC
(12,21),-0.47806 # DEPENDENCYPART_ARC
(12,22),-0.105836 # DEPENDENCYPART_ARC
(12,23),-1.47747 # DEPENDENCYPART_ARC
(13,1),-1.68258 # DEPENDENCYPART_ARC
(13,2),-0.941739 # DEPENDENCYPART_ARC
(13,3),-1.15659 # DEPENDENCYPART_ARC
(13,4),-1.47439 # DEPENDENCYPART_ARC
(13,5),-0.915452 # DEPENDENCYPART_ARC
(13,6),-0.75748 # DEPENDENCYPART_ARC
(13,7),-0.524876 # DEPENDENCYPART_ARC
(13,8),-0.690489 # DEPENDENCYPART_ARC
(13,9),-0.429135 # DEPENDENCYPART_ARC
(13,10),-0.320076 # DEPENDENCYPART_ARC
(13,11),0.643928 # DEPENDENCYPART_ARC
(13,12),0.465369 # DEPENDENCYPART_ARC
(13,14),0.090843 # DEPENDENCYPART_ARC
(13,15),-0.379076 # DEPENDENCYPART_ARC
(13,16),-0.489121 # DEPENDENCYPART_ARC
(13,17),-0.527905 # DEPENDENCYPART_ARC
(13,18),-0.381729 # DEPENDENCYPART_ARC
(13,19),-0.633252 # DEPENDENCYPART_ARC
(13,20),-0.629722 # DEPENDENCYPART_ARC
(13,21),-0.667358 # DEPENDENCYPART_ARC
(13,22),-0.551234 # DEPENDENCYPART_ARC
(13,23),-0.887261 # DEPENDENCYPART_ARC
(14,1),-3.3618 # DEPENDENCYPART_ARC
(14,2),-1.07151 # DEPENDENCYPART_ARC
(14,3),-1.33165 # DEPENDENCYPART_ARC
(14,4),-2.18141 # DEPENDENCYPART_ARC
(14,5),-0.561524 # DEPENDENCYPART_ARC
(14,6),-0.522173 # DEPENDENCYPART_ARC
(14,7),-0.657985 # DEPENDENCYPART_ARC
(14,8),-0.758686 # DEPENDENCYPART_ARC
(14,9),-0.485679 # DEPENDENCYPART_ARC
(14,10),-0.448292 # DEPENDENCYPART_ARC
(14,11),-0.452346 # DEPENDENCYPART_ARC
(14,12),-0.00873227 # DEPENDENCYPART_ARC
(14,13),0.293132 # DEPENDENCYPART_ARC
(14,15),0.343139 # DEPENDENCYPART_ARC
(14,16),-0.230584 # DEPENDENCYPART_ARC
(14,17),-0.0767043 # DEPENDENCYPART_ARC
(14,18),-0.205454 # DEPENDENCYPART_ARC
(14,19),-0.370019 # DEPENDENCYPART_ARC
(14,20),-0.59174 # DEPENDENCYPART_ARC
(14,21),-0.34424 # DEPENDENCYPART_ARC
(14,22),-0.671874 # DEPENDENCYPART_ARC
(14,23),-0.562689 # DEPENDENCYPART_ARC
(15,1),-5.81736 # DEPENDENCYPART_ARC
(15,2),-0.715635 # DEPENDENCYPART_ARC
(15,3),-0.329932 # DEPENDENCYPART_ARC
(15,4),-4.72986 # DEPENDENCYPART_ARC
(15,5),-0.774011 # DEPENDENCYPART_ARC
(15,6),-1.13028 # DEPENDENCYPART_ARC
(15,7),-2.27519 # DEPENDENCYPART_ARC
(15,8),0.0167114 # DEPENDENCYPART_ARC
(15,9),-1.3921 # DEPENDENCYPART_ARC
(15,10),-0.427599 # DEPENDENCYPART_ARC
(15,11),-1.0702 # DEPENDENCYPART_ARC
(15,12),0.035099 # DEPENDENCYPART_ARC
(15,13),-0.0119132 # DEPENDENCYPART_ARC
(15,14),2.26214 # DEPENDENCYPART_ARC
(15,16),0.17645 # DEPENDENCYPART_ARC
(15,17),0.108633 # DEPENDENCYPART_ARC
(15,18),-0.0991386 # DEPENDENCYPART_ARC
(15,19),-1.03281 # DEPENDENCYPART_ARC
(15,20),-0.621438 # DEPENDENCYPART_ARC
(15,21),-0.567421 # DEPENDENCYPART_ARC
(15,22),-1.07022 # DEPENDENCYPART_ARC
(15,23),-0.91041 # DEPENDENCYPART_ARC
(16,1),-9.08422 # DEPENDENCYPART_ARC
(16,2),-0.383289 # DEPENDENCYPART_ARC
(16,3),-1.17491 # DEPENDENCYPART_ARC
(16,4),-7.10549 # DEPENDENCYPART_ARC
(16,5),0.384878 # DEPENDENCYPART_ARC
(16,6),0.302068 # DEPENDENCYPART_ARC
(16,7),0.380669 # DEPENDENCYPART_ARC
(16,8),-0.599028 # DEPENDENCYPART_ARC
(16,9),0.367848 # DEPENDENCYPART_ARC
(16,10),-0.393907 # DEPENDENCYPART_ARC
(16,11),-0.502581 # DEPENDENCYPART_ARC
(16,12),0.494112 # DEPENDENCYPART_ARC
(16,13),0.0479258 # DEPENDENCYPART_ARC
(16,14),0.686609 # DEPENDENCYPART_ARC
(16,15),2.73765 # DEPENDENCYPART_ARC
(16,17),0.149897 # DEPENDENCYPART_ARC
(16,18),0.356109 # DEPENDENCYPART_ARC
(16,19),-0.148028 # DEPENDENCYPART_ARC
(16,20),-0.541418 # DEPENDENCYPART_ARC
(16,21),-0.530885 # DEPENDENCYPART_ARC
(16,22),-0.560415 # DEPENDENCYPART_ARC
(16,23),-0.958008 # DEPENDENCYPART_ARC
(17,1),-5.68166 # DEPENDENCYPART_ARC
(17,2),0.504883 # DEPENDENCYPART_ARC
(17,3),0.0709179 # DEPENDENCYPART_ARC
(17,4),-4.23682 # DEPENDENCYPART_ARC
(17,5),0.678897 # DEPENDENCYPART_ARC
(17,6),1.13632 # DEPENDENCYPART_ARC
(17,7),-0.718943 # DEPENDENCYPART_ARC
(17,8),0.0258568 # DEPENDENCYPART_ARC
(17,9),-0.23483 # DEPENDENCYPART_ARC
(17,10),0.0612319 # DEPENDENCYPART_ARC
(17,11),0.129875 # DEPENDENCYPART_ARC
(17,12),0.187914 # DEPENDENCYPART_ARC
(17,13),0.242733 # DEPENDENCYPART_ARC
(17,14),1.09976 # DEPENDENCYPART_ARC
(17,15),3.20116 # DEPENDENCYPART_ARC
(17,16),3.28452 # DEPENDENCYPART_ARC
(17,18),-0.393386 # DEPENDENCYPART_ARC
(17,19),-0.678063 # DEPENDENCYPART_ARC
(17,20),-1.30189 # DEPENDENCYPART_ARC
(17,21),-0.825486 # DEPENDENCYPART_ARC
(17,22),-2.07806 # DEPENDENCYPART_ARC
(17,23),-1.38012 # DEPENDENCYPART_ARC
(18,1),-3.21156 # DEPENDENCYPART_ARC
(18,2),-1.22718 # DEPENDENCYPART_ARC
(18,3),-0.669353 # DEPENDENCYPART_ARC
(18,4),-2.4179 # DEPENDENCYPART_ARC
(18,5),-1.17856 # DEPENDENCYPART_ARC
(18,6),-1.38331 # DEPENDENCYPART_ARC
(18,7),-0.834663 # DEPENDENCYPART_ARC
(18,8),-0.332386 # DEPENDENCYPART_ARC
(18,9),-0.540535 # DEPENDENCYPART_ARC
(18,10),-0.134905 # DEPENDENCYPART_ARC
(18,11),-0.912629 # DEPENDENCYPART_ARC
(18,12),0.171567 # DEPENDENCYPART_ARC
(18,13),0.679407 # DEPENDENCYPART_ARC
(18,14),0.283575 # DEPENDENCYPART_ARC
(18,15),0.63153 # DEPENDENCYPART_ARC
(18,16),0.601977 # DEPENDENCYPART_ARC
(18,17),4.14246 # DEPENDENCYPART_ARC
(18,19),0.403366 # DEPENDENCYPART_ARC
(18,20),-0.308149 # DEPENDENCYPART_ARC
(18,21),-0.136402 # DEPENDENCYPART_ARC
(18,22),-0.436853 # DEPENDENCYPART_ARC
(18,23),-0.527281 # DEPENDENCYPART_ARC
(19,1),-8.42182 # DEPENDENCYPART_ARC
(19,2),-1.57022 # DEPENDENCYPART_ARC
(19,3),-1.1659 # DEPENDENCYPART_ARC
(19,4),-7.15901 # DEPENDENCYPART_ARC
(19,5),-1.64974 # DEPENDENCYPART_ARC
(19,6),-1.49662 # DEPENDENCYPART_ARC
(19,7),-1.80844 # DEPENDENCYPART_ARC
(19,8),-1.12648 # DEPENDENCYPART_ARC
(19,9),-1.90409 # DEPENDENCYPART_ARC
(19,10),-0.940478 # DEPENDENCYPART_ARC
(19,11),-1.53946 # DEPENDENCYPART_ARC
(19,12),-0.759009 # DEPENDENCYPART_ARC
(19,13),-0.920627 # DEPENDENCYPART_ARC
(19,14),-0.559052 # DEPENDENCYPART_ARC
(19,15),-0.234267 # DEPENDENCYPART_ARC
(19,16),-0.132374 # DEPENDENCYPART_ARC
(19,17),0.478258 # DEPENDENCYPART_ARC
(19,18),0.639765 # DEPENDENCYPART_ARC
(19,20),0.157225 # DEPENDENCYPART_ARC
(19,21),0.313146 # DEPENDENCYPART_ARC
(19,22),-0.98474 # DEPENDENCYPART_ARC
(19,23),-0.307714 # DEPENDENCYPART_ARC
(20,1),-12.3016 # DEPENDENCYPART_ARC
(20,2),-0.461771 # DEPENDENCYPART_ARC
(20,3),-1.16288 # DEPENDENCYPART_ARC
(20,4),-10.3369 # DEPENDENCYPART_ARC
(20,5),0.206818 # DEPENDENCYPART_ARC
(20,6),0.159978 # DEPENDENCYPART_ARC
(20,7),0.285761 # DEPENDENCYPART_ARC
(20,8),-0.574056 # DEPENDENCYPART_ARC
(20,9),0.27618 # DEPENDENCYPART_ARC
(20,10),-0.367897 # DEPENDENCYPART_ARC
(20,11),-0.615164 # DEPENDENCYPART_ARC
(20,12),0.637159 # DEPENDENCYPART_ARC
(20,13),0.20534 # DEPENDENCYPART_ARC
(20,14),0.0184728 # DEPENDENCYPART_ARC
(20,15),1.26489 # DEPENDENCYPART_ARC
(20,16),-1.07533 # DEPENDENCYPART_ARC
(20,17),0.654449 # DEPENDENCYPART_ARC
(20,18),1.402 # DEPENDENCYPART_ARC
(20,19),2.56067 # DEPENDENCYPART_ARC
(20,21),0.167026 # DEPENDENCYPART_ARC
(20,22),-0.275856 # DEPENDENCYPART_ARC
(20,23),-0.710557 # DEPENDENCYPART_ARC
(21,1),-8.54529 # DEPENDENCYPART_ARC
(21,2),-0.496411 # DEPENDENCYPART_ARC
(21,3),-0.261893 # DEPENDENCYPART_ARC
(21,4),-7.15808 # DEPENDENCYPART_ARC
(21,5),-0.598342 # DEPENDENCYPART_ARC
(21,6),-1.30333 # DEPENDENCYPART_ARC
(21,7),-1.71488 # DEPENDENCYPART_ARC
(21,8),-0.424663 # DEPENDENCYPART_ARC
(21,9),-1.19641 # DEPENDENCYPART_ARC
(21,10),0.0753669 # DEPENDENCYPART_ARC
(21,11),-0.121345 # DEPENDENCYPART_ARC
(21,12),0.125854 # DEPENDENCYPART_ARC
(21,13),0.177295 # DEPENDENCYPART_ARC
(21,14),0.0871831 # DEPENDENCYPART_ARC
(21,15),0.540786 # DEPENDENCYPART_ARC
(21,16),0.0536631 # DEPENDENCYPART_ARC
(21,17),0.706654 # DEPENDENCYPART_ARC
(21,18),1.21378 # DEPENDENCYPART_ARC
(21,19),1.31682 # DEPENDENCYPART_ARC
(21,20),3.19005 # DEPENDENCYPART_ARC
(21,22),-0.846401 # DEPENDENCYPART_ARC
(21,23),-0.222932 # DEPENDENCYPART_ARC
(22,1),-10.1177 # DEPENDENCYPART_ARC
(22,2),-0.208111 # DEPENDENCYPART_ARC
(22,3),-0.861017 # DEPENDENCYPART_ARC
(22,4),-8.77875 # DEPENDENCYPART_ARC
(22,5),0.169202 # DEPENDENCYPART_ARC
(22,6),-1.43733 # DEPENDENCYPART_ARC
(22,7),0.391004 # DEPENDENCYPART_ARC
(22,8),-0.095408 # DEPENDENCYPART_ARC
(22,9),0.321427 # DEPENDENCYPART_ARC
(22,10),-0.0217025 # DEPENDENCYPART_ARC
(22,11),0.245427 # DEPENDENCYPART_ARC
(22,12),1.9216 # DEPENDENCYPART_ARC
(22,13),0.864041 # DEPENDENCYPART_ARC
(22,14),0.106187 # DEPENDENCYPART_ARC
(22,15),-0.602046 # DEPENDENCYPART_ARC
(22,16),-2.53684 # DEPENDENCYPART_ARC
(22,17),1.50249 # DEPENDENCYPART_ARC
(22,18),2.07558 # DEPENDENCYPART_ARC
(22,19),1.54623 # DEPENDENCYPART_ARC
(22,20),0.339723 # DEPENDENCYPART_ARC
(22,21),3.60997 # DEPENDENCYPART_ARC
