# _root_ Ancak özellikle evrenbilim ve parçacık fiziğinde bugün bu ilke ne yazık ki _ çiğnenmiş , bu iki bilim dalı metafizik öğelerle , hayaletlerle dolmuştur .
#goldHeads=15,14,4,6,6,13,14,9,14,11,12,14,14,15,24,19,19,19,24,21,22,23,24,25,0,
#predictedHeads=25,3,4,5,6,14,14,9,10,11,14,11,14,15,0,19,18,19,20,21,24,0,24,25,0,
(2,8),-1.01596 # DEPENDENCYPART_ARC
(2,9),-1.63071 # DEPENDENCYPART_ARC
(2,10),-1.43188 # DEPENDENCYPART_ARC
(2,11),-0.843589 # DEPENDENCYPART_ARC
(2,12),-1.35084 # DEPENDENCYPART_ARC
(2,13),-1.26035 # DEPENDENCYPART_ARC
(2,14),-1.23734 # DEPENDENCYPART_ARC
(2,15),-1.40688 # DEPENDENCYPART_ARC
(2,16),-1.1426 # DEPENDENCYPART_ARC
(2,17),-1.26493 # DEPENDENCYPART_ARC
(2,18),-2.02182 # DEPENDENCYPART_ARC
(2,19),-2.07634 # DEPENDENCYPART_ARC
(2,20),-2.14982 # DEPENDENCYPART_ARC
(2,21),-2.17943 # DEPENDENCYPART_ARC
(2,22),-1.68548 # DEPENDENCYPART_ARC
(2,23),-2.30982 # DEPENDENCYPART_ARC
(2,24),-1.54809 # DEPENDENCYPART_ARC
(2,25),-2.47511 # DEPENDENCYPART_ARC
(3,1),-0.109973 # DEPENDENCYPART_ARC
(3,2),0.803586 # DEPENDENCYPART_ARC
(3,4),0.387175 # DEPENDENCYPART_ARC
(3,5),-0.966855 # DEPENDENCYPART_ARC
(3,6),-2.39063 # DEPENDENCYPART_ARC
(3,7),-1.59228 # DEPENDENCYPART_ARC
(3,8),-1.11888 # DEPENDENCYPART_ARC
(3,9),-1.62846 # DEPENDENCYPART_ARC
(3,10),-1.44746 # DEPENDENCYPART_ARC
(3,11),-1.2793 # DEPENDENCYPART_ARC
(3,12),-1.28438 # DEPENDENCYPART_ARC
(3,13),-1.66222 # DEPENDENCYPART_ARC
(3,14),-2.23772 # DEPENDENCYPART_ARC
(3,15),-1.35484 # DEPENDENCYPART_ARC
(3,16),-1.18031 # DEPENDENCYPART_ARC
(3,17),-1.45629 # DEPENDENCYPART_ARC
(3,18),-1.8046 # DEPENDENCYPART_ARC
(3,19),-2.08799 # DEPENDENCYPART_ARC
(3,20),-2.07666 # DEPENDENCYPART_ARC
(3,21),-2.74677 # DEPENDENCYPART_ARC
(3,22),-1.57977 # DEPENDENCYPART_ARC
(3,23),-2.92068 # DEPENDENCYPART_ARC
(3,24),-3.2036 # DEPENDENCYPART_ARC
(3,25),-2.28774 # DEPENDENCYPART_ARC
(4,1),0.301696 # DEPENDENCYPART_ARC
(4,2),0.544299 # DEPENDENCYPART_ARC
(4,3),3.34726 # DEPENDENCYPART_ARC
(4,5),-0.339739 # DEPENDENCYPART_ARC
(4,6),-0.476819 # DEPENDENCYPART_ARC
(4,7),-0.628226 # DEPENDENCYPART_ARC
(4,8),-0.580463 # DEPENDENCYPART_ARC
(4,9),-0.821201 # DEPENDENCYPART_ARC
(4,10),-0.667635 # DEPENDENCYPART_ARC
(4,12),-1.10788 # DEPENDENCYPART_ARC
(4,13),-1.08967 # DEPENDENCYPART_ARC
(4,14),-1.1019 # DEPENDENCYPART_ARC
(4,15),-1.20227 # DEPENDENCYPART_ARC
(4,16),-1.10401 # DEPENDENCYPART_ARC
(4,17),-1.26266 # DEPENDENCYPART_ARC
(4,18),-1.35998 # DEPENDENCYPART_ARC
(4,19),-1.35457 # DEPENDENCYPART_ARC
(4,20),-1.31116 # DEPENDENCYPART_ARC
(4,21),-1.27179 # DEPENDENCYPART_ARC
(4,22),-1.78713 # DEPENDENCYPART_ARC
(4,23),-1.17714 # DEPENDENCYPART_ARC
(4,24),-1.57044 # DEPENDENCYPART_ARC
(4,25),-2.74514 # DEPENDENCYPART_ARC
(5,1),-0.710447 # DEPENDENCYPART_ARC
(5,2),0.276387 # DEPENDENCYPART_ARC
(5,3),0.64773 # DEPENDENCYPART_ARC
(5,4),1.47685 # DEPENDENCYPART_ARC
(5,6),-1.0233 # DEPENDENCYPART_ARC
(5,7),-0.49598 # DEPENDENCYPART_ARC
(5,8),-0.307858 # DEPENDENCYPART_ARC
(5,9),-0.691351 # DEPENDENCYPART_ARC
(5,10),-0.710546 # DEPENDENCYPART_ARC
(5,11),-0.862425 # DEPENDENCYPART_ARC
(5,12),-1.1086 # DEPENDENCYPART_ARC
(5,13),-1.29587 # DEPENDENCYPART_ARC
(5,14),-1.63062 # DEPENDENCYPART_ARC
(5,15),-0.740443 # DEPENDENCYPART_ARC
(5,16),-0.677222 # DEPENDENCYPART_ARC
(5,17),-1.08538 # DEPENDENCYPART_ARC
(5,18),-1.47714 # DEPENDENCYPART_ARC
(5,19),-1.61819 # DEPENDENCYPART_ARC
(5,20),-1.69365 # DEPENDENCYPART_ARC
(5,21),-2.32668 # DEPENDENCYPART_ARC
(5,22),-1.06705 # DEPENDENCYPART_ARC
(5,23),-2.5723 # DEPENDENCYPART_ARC
(5,24),-2.67006 # DEPENDENCYPART_ARC
(5,25),-1.61918 # DEPENDENCYPART_ARC
(6,1),-0.425008 # DEPENDENCYPART_ARC
(6,2),0.290976 # DEPENDENCYPART_ARC
(6,3),0.855353 # DEPENDENCYPART_ARC
(6,4),1.1369 # DEPENDENCYPART_ARC
(6,5),3.14719 # DEPENDENCYPART_ARC
(6,7),-0.0427538 # DEPENDENCYPART_ARC
(6,8),0.00549728 # DEPENDENCYPART_ARC
(6,9),-0.401216 # DEPENDENCYPART_ARC
(6,10),-0.509017 # DEPENDENCYPART_ARC
(6,11),-0.825803 # DEPENDENCYPART_ARC
(6,12),-1.00196 # DEPENDENCYPART_ARC
(6,13),-1.13231 # DEPENDENCYPART_ARC
(6,14),-1.23745 # DEPENDENCYPART_ARC
(6,15),-0.637216 # DEPENDENCYPART_ARC
(6,16),-0.554266 # DEPENDENCYPART_ARC
(6,17),-1.00167 # DEPENDENCYPART_ARC
(6,18),-1.09572 # DEPENDENCYPART_ARC
(6,19),-1.29304 # DEPENDENCYPART_ARC
(6,20),-1.37645 # DEPENDENCYPART_ARC
(6,21),-1.92635 # DEPENDENCYPART_ARC
(6,22),-1.06471 # DEPENDENCYPART_ARC
(6,23),-1.99508 # DEPENDENCYPART_ARC
(6,24),-2.01693 # DEPENDENCYPART_ARC
(6,25),-1.5234 # DEPENDENCYPART_ARC
(7,1),-0.89945 # DEPENDENCYPART_ARC
(7,2),-0.267909 # DEPENDENCYPART_ARC
(7,3),-0.679847 # DEPENDENCYPART_ARC
(7,4),0.176036 # DEPENDENCYPART_ARC
(7,5),0.588414 # DEPENDENCYPART_ARC
(7,6),1.08074 # DEPENDENCYPART_ARC
(7,8),0.62774 # DEPENDENCYPART_ARC
(7,9),0.154082 # DEPENDENCYPART_ARC
(7,10),-0.122016 # DEPENDENCYPART_ARC
(7,11),-0.455523 # DEPENDENCYPART_ARC
(7,12),-0.58333 # DEPENDENCYPART_ARC
(7,13),-0.823745 # DEPENDENCYPART_ARC
(7,14),-1.38725 # DEPENDENCYPART_ARC
(7,15),-0.594499 # DEPENDENCYPART_ARC
(7,16),-0.328897 # DEPENDENCYPART_ARC
(7,17),-0.651194 # DEPENDENCYPART_ARC
(7,18),-0.850651 # DEPENDENCYPART_ARC
(7,19),-1.18113 # DEPENDENCYPART_ARC
(7,20),-1.28608 # DEPENDENCYPART_ARC
(7,21),-1.71539 # DEPENDENCYPART_ARC
(7,22),-0.887869 # DEPENDENCYPART_ARC
(7,23),-1.96158 # DEPENDENCYPART_ARC
(7,24),-2.41696 # DEPENDENCYPART_ARC
(7,25),-1.37886 # DEPENDENCYPART_ARC
(8,1),-0.726253 # DEPENDENCYPART_ARC
(8,2),-1.16257 # DEPENDENCYPART_ARC
(8,3),-1.25547 # DEPENDENCYPART_ARC
(8,4),-0.976555 # DEPENDENCYPART_ARC
(8,5),-1.07447 # DEPENDENCYPART_ARC
(8,6),-0.730905 # DEPENDENCYPART_ARC
(8,7),-0.0768181 # DEPENDENCYPART_ARC
(8,9),-0.0844293 # DEPENDENCYPART_ARC
(8,10),0.261864 # DEPENDENCYPART_ARC
(8,12),-0.38339 # DEPENDENCYPART_ARC
(8,15),-0.612874 # DEPENDENCYPART_ARC
(8,18),-1.07868 # DEPENDENCYPART_ARC
(8,19),-1.31575 # DEPENDENCYPART_ARC
(8,20),-1.38877 # DEPENDENCYPART_ARC
(8,21),-1.55939 # DEPENDENCYPART_ARC
(8,22),-0.960741 # DEPENDENCYPART_ARC
(8,23),-1.46745 # DEPENDENCYPART_ARC
(8,25),-1.16358 # DEPENDENCYPART_ARC
(9,1),-0.793986 # DEPENDENCYPART_ARC
(9,2),-0.203225 # DEPENDENCYPART_ARC
(9,3),-0.407433 # DEPENDENCYPART_ARC
(9,4),-0.0388452 # DEPENDENCYPART_ARC
(9,5),0.135507 # DEPENDENCYPART_ARC
(9,6),-0.300892 # DEPENDENCYPART_ARC
(9,7),1.17946 # DEPENDENCYPART_ARC
(9,8),2.20015 # DEPENDENCYPART_ARC
(9,10),0.389196 # DEPENDENCYPART_ARC
(9,11),-0.746812 # DEPENDENCYPART_ARC
(9,12),-0.839829 # DEPENDENCYPART_ARC
(9,13),-1.10438 # DEPENDENCYPART_ARC
(9,14),-1.7817 # DEPENDENCYPART_ARC
(9,15),-1.14739 # DEPENDENCYPART_ARC
(9,16),-1.01914 # DEPENDENCYPART_ARC
(9,17),-1.30558 # DEPENDENCYPART_ARC
(9,18),-1.19541 # DEPENDENCYPART_ARC
(9,19),-1.5303 # DEPENDENCYPART_ARC
(9,20),-1.76152 # DEPENDENCYPART_ARC
(9,21),-2.44582 # DEPENDENCYPART_ARC
(9,22),-1.58856 # DEPENDENCYPART_ARC
(9,23),-2.57684 # DEPENDENCYPART_ARC
(9,24),-2.81631 # DEPENDENCYPART_ARC
(9,25),-1.99565 # DEPENDENCYPART_ARC
(10,1),-0.270554 # DEPENDENCYPART_ARC
(10,2),-0.598458 # DEPENDENCYPART_ARC
(10,3),-0.0712676 # DEPENDENCYPART_ARC
(10,4),-0.364266 # DEPENDENCYPART_ARC
(10,5),-0.714073 # DEPENDENCYPART_ARC
(10,6),-0.525764 # DEPENDENCYPART_ARC
(10,7),-0.0767395 # DEPENDENCYPART_ARC
(10,8),0.0797863 # DEPENDENCYPART_ARC
(10,9),1.73657 # DEPENDENCYPART_ARC
(10,12),0.210388 # DEPENDENCYPART_ARC
(10,13),-0.813301 # DEPENDENCYPART_ARC
(10,14),-0.794249 # DEPENDENCYPART_ARC
(10,15),-0.804613 # DEPENDENCYPART_ARC
(10,16),-0.887012 # DEPENDENCYPART_ARC
(10,17),-0.951025 # DEPENDENCYPART_ARC
(10,18),-1.45092 # DEPENDENCYPART_ARC
(10,19),-1.27215 # DEPENDENCYPART_ARC
(10,20),-1.31654 # DEPENDENCYPART_ARC
(10,21),-1.53017 # DEPENDENCYPART_ARC
(10,22),-1.27339 # DEPENDENCYPART_ARC
(10,23),-1.63946 # DEPENDENCYPART_ARC
(10,24),-1.27968 # DEPENDENCYPART_ARC
(10,25),-1.6971 # DEPENDENCYPART_ARC
(11,1),-0.27909 # DEPENDENCYPART_ARC
(11,3),-0.430063 # DEPENDENCYPART_ARC
(11,4),-0.157115 # DEPENDENCYPART_ARC
(11,5),-0.283267 # DEPENDENCYPART_ARC
(11,6),-0.312173 # DEPENDENCYPART_ARC
(11,7),-0.247489 # DEPENDENCYPART_ARC
(11,9),0.19415 # DEPENDENCYPART_ARC
(11,10),0.807395 # DEPENDENCYPART_ARC
(11,12),1.31707 # DEPENDENCYPART_ARC
(11,13),0.340643 # DEPENDENCYPART_ARC
(11,14),0.257107 # DEPENDENCYPART_ARC
(11,15),0.388473 # DEPENDENCYPART_ARC
(11,18),-0.00248059 # DEPENDENCYPART_ARC
(11,19),-0.100544 # DEPENDENCYPART_ARC
(11,20),0.0450423 # DEPENDENCYPART_ARC
(11,21),0.00114344 # DEPENDENCYPART_ARC
(11,22),-0.0301214 # DEPENDENCYPART_ARC
(11,23),-0.232512 # DEPENDENCYPART_ARC
(11,24),-0.357668 # DEPENDENCYPART_ARC
(11,25),-0.0745472 # DEPENDENCYPART_ARC
(12,1),-0.983663 # DEPENDENCYPART_ARC
(12,2),-1.28377 # DEPENDENCYPART_ARC
(12,3),-1.38555 # DEPENDENCYPART_ARC
(12,4),-0.809912 # DEPENDENCYPART_ARC
(12,5),-1.60132 # DEPENDENCYPART_ARC
(12,6),-1.41771 # DEPENDENCYPART_ARC
(12,7),-1.25461 # DEPENDENCYPART_ARC
(12,8),-1.14786 # DEPENDENCYPART_ARC
(12,9),-0.623552 # DEPENDENCYPART_ARC
(12,10),-0.762578 # DEPENDENCYPART_ARC
(12,13),-0.281874 # DEPENDENCYPART_ARC
(12,14),-0.551317 # DEPENDENCYPART_ARC
(12,15),-0.559687 # DEPENDENCYPART_ARC
(12,16),-0.748011 # DEPENDENCYPART_ARC
(12,17),-0.930835 # DEPENDENCYPART_ARC
(12,18),-1.14259 # DEPENDENCYPART_ARC
(12,19),-1.13319 # DEPENDENCYPART_ARC
(12,20),-1.21303 # DEPENDENCYPART_ARC
(12,21),-1.06106 # DEPENDENCYPART_ARC
(12,22),-1.11377 # DEPENDENCYPART_ARC
(12,23),-1.29785 # DEPENDENCYPART_ARC
(12,24),-1.28207 # DEPENDENCYPART_ARC
(12,25),-1.69834 # DEPENDENCYPART_ARC
(13,1),-1.00971 # DEPENDENCYPART_ARC
(13,2),-0.672156 # DEPENDENCYPART_ARC
(13,3),0.0314094 # DEPENDENCYPART_ARC
(13,4),-0.809688 # DEPENDENCYPART_ARC
(13,5),-0.115134 # DEPENDENCYPART_ARC
(13,6),0.0147107 # DEPENDENCYPART_ARC
(13,7),0.547028 # DEPENDENCYPART_ARC
(13,8),-0.648856 # DEPENDENCYPART_ARC
(13,9),0.330095 # DEPENDENCYPART_ARC
(13,10),-0.930058 # DEPENDENCYPART_ARC
(13,11),-0.369438 # DEPENDENCYPART_ARC
(13,12),-0.03854 # DEPENDENCYPART_ARC
(13,14),0.928679 # DEPENDENCYPART_ARC
(13,15),0.203592 # DEPENDENCYPART_ARC
(13,16),-0.227769 # DEPENDENCYPART_ARC
(13,17),-0.0675051 # DEPENDENCYPART_ARC
(13,18),-0.464956 # DEPENDENCYPART_ARC
(13,19),-0.605979 # DEPENDENCYPART_ARC
(13,20),-0.770213 # DEPENDENCYPART_ARC
(13,21),-0.643942 # DEPENDENCYPART_ARC
(13,22),-0.129266 # DEPENDENCYPART_ARC
(13,23),-1.4149 # DEPENDENCYPART_ARC
(13,24),-0.224955 # DEPENDENCYPART_ARC
(13,25),-0.820253 # DEPENDENCYPART_ARC
(14,1),-0.143994 # DEPENDENCYPART_ARC
(14,2),0.673217 # DEPENDENCYPART_ARC
(14,3),1.14201 # DEPENDENCYPART_ARC
(14,4),-0.0420021 # DEPENDENCYPART_ARC
(14,5),0.96101 # DEPENDENCYPART_ARC
(14,6),1.30519 # DEPENDENCYPART_ARC
(14,7),1.48021 # DEPENDENCYPART_ARC
(14,8),0.535459 # DEPENDENCYPART_ARC
(14,9),1.43014 # DEPENDENCYPART_ARC
(14,10),0.0972724 # DEPENDENCYPART_ARC
(14,11),0.869764 # DEPENDENCYPART_ARC
(14,12),0.659437 # DEPENDENCYPART_ARC
(14,13),2.56746 # DEPENDENCYPART_ARC
(14,15),-0.203956 # DEPENDENCYPART_ARC
(14,16),-0.527442 # DEPENDENCYPART_ARC
(14,17),-0.676094 # DEPENDENCYPART_ARC
(14,18),-1.10868 # DEPENDENCYPART_ARC
(14,19),-0.620806 # DEPENDENCYPART_ARC
(14,20),-1.49385 # DEPENDENCYPART_ARC
(14,21),-0.787458 # DEPENDENCYPART_ARC
(14,22),-0.960095 # DEPENDENCYPART_ARC
(14,23),-1.66396 # DEPENDENCYPART_ARC
(14,24),-0.524833 # DEPENDENCYPART_ARC
(14,25),-1.39933 # DEPENDENCYPART_ARC
(15,1),0.922403 # DEPENDENCYPART_ARC
(15,2),-0.0224888 # DEPENDENCYPART_ARC
(15,3),-0.340552 # DEPENDENCYPART_ARC
(15,4),-0.655572 # DEPENDENCYPART_ARC
(15,5),-0.0629775 # DEPENDENCYPART_ARC
(15,6),-0.00923874 # DEPENDENCYPART_ARC
(15,7),-0.0249942 # DEPENDENCYPART_ARC
(15,8),-0.297066 # DEPENDENCYPART_ARC
(15,9),0.22038 # DEPENDENCYPART_ARC
(15,10),-0.652478 # DEPENDENCYPART_ARC
(15,11),0.5044 # DEPENDENCYPART_ARC
(15,12),-0.111296 # DEPENDENCYPART_ARC
(15,13),-0.555873 # DEPENDENCYPART_ARC
(15,14),1.62504 # DEPENDENCYPART_ARC
(15,16),0.0885678 # DEPENDENCYPART_ARC
(15,17),-0.0668747 # DEPENDENCYPART_ARC
(15,18),0.0492568 # DEPENDENCYPART_ARC
(15,19),-0.00726765 # DEPENDENCYPART_ARC
(15,20),-0.277741 # DEPENDENCYPART_ARC
(15,21),-0.265445 # DEPENDENCYPART_ARC
(15,22),-0.558511 # DEPENDENCYPART_ARC
(15,23),-0.548571 # DEPENDENCYPART_ARC
(15,24),-0.253958 # DEPENDENCYPART_ARC
(15,25),-1.29536 # DEPENDENCYPART_ARC
(16,1),-1.24188 # DEPENDENCYPART_ARC
(16,2),-1.56716 # DEPENDENCYPART_ARC
(16,3),-1.44112 # DEPENDENCYPART_ARC
(16,4),-1.45259 # DEPENDENCYPART_ARC
(16,5),-1.52731 # DEPENDENCYPART_ARC
(16,6),-1.53034 # DEPENDENCYPART_ARC
(16,7),-1.5354 # DEPENDENCYPART_ARC
(16,9),-1.53507 # DEPENDENCYPART_ARC
(16,10),-1.25726 # DEPENDENCYPART_ARC
(16,12),-1.29955 # DEPENDENCYPART_ARC
(16,15),0.0476031 # DEPENDENCYPART_ARC
(16,18),-0.254661 # DEPENDENCYPART_ARC
(16,19),-0.459122 # DEPENDENCYPART_ARC
(16,20),-0.523636 # DEPENDENCYPART_ARC
(16,21),-0.736157 # DEPENDENCYPART_ARC
(16,22),-0.460685 # DEPENDENCYPART_ARC
(16,23),-0.897713 # DEPENDENCYPART_ARC
(16,25),-0.625823 # DEPENDENCYPART_ARC
(17,1),-0.782204 # DEPENDENCYPART_ARC
(17,2),-0.58311 # DEPENDENCYPART_ARC
(17,3),-1.17916 # DEPENDENCYPART_ARC
(17,4),-1.00347 # DEPENDENCYPART_ARC
(17,5),-1.22166 # DEPENDENCYPART_ARC
(17,6),-1.26275 # DEPENDENCYPART_ARC
(17,7),-1.2603 # DEPENDENCYPART_ARC
(17,8),-1.17266 # DEPENDENCYPART_ARC
(17,9),-1.2524 # DEPENDENCYPART_ARC
(17,10),-0.750243 # DEPENDENCYPART_ARC
(17,12),-0.770899 # DEPENDENCYPART_ARC
(17,13),-0.665242 # DEPENDENCYPART_ARC
(17,14),-0.51023 # DEPENDENCYPART_ARC
(17,15),-0.0144665 # DEPENDENCYPART_ARC
(17,16),0.43947 # DEPENDENCYPART_ARC
(17,18),-0.196347 # DEPENDENCYPART_ARC
(17,19),-0.571269 # DEPENDENCYPART_ARC
(17,20),-0.848175 # DEPENDENCYPART_ARC
(17,21),-0.966747 # DEPENDENCYPART_ARC
(17,22),-0.653129 # DEPENDENCYPART_ARC
(17,23),-1.2756 # DEPENDENCYPART_ARC
(17,24),-0.856155 # DEPENDENCYPART_ARC
(17,25),-1.01099 # DEPENDENCYPART_ARC
(18,1),-1.94687 # DEPENDENCYPART_ARC
(18,2),-1.13458 # DEPENDENCYPART_ARC
(18,3),-2.11529 # DEPENDENCYPART_ARC
(18,4),-1.35947 # DEPENDENCYPART_ARC
(18,5),-1.60334 # DEPENDENCYPART_ARC
(18,6),-2.38921 # DEPENDENCYPART_ARC
(18,7),-1.4893 # DEPENDENCYPART_ARC
(18,8),-1.01635 # DEPENDENCYPART_ARC
(18,9),-1.88087 # DEPENDENCYPART_ARC
(18,10),-1.06969 # DEPENDENCYPART_ARC
(18,11),-0.98221 # DEPENDENCYPART_ARC
(18,12),-1.50536 # DEPENDENCYPART_ARC
(18,13),-1.38115 # DEPENDENCYPART_ARC
(18,14),-1.64102 # DEPENDENCYPART_ARC
(18,15),-0.517121 # DEPENDENCYPART_ARC
(18,16),0.777703 # DEPENDENCYPART_ARC
(18,17),1.61054 # DEPENDENCYPART_ARC
(18,19),0.240943 # DEPENDENCYPART_ARC
(18,20),-0.0664952 # DEPENDENCYPART_ARC
(18,21),-0.993652 # DEPENDENCYPART_ARC
(18,22),-0.0106953 # DEPENDENCYPART_ARC
(18,23),-1.5309 # DEPENDENCYPART_ARC
(18,24),-1.80926 # DEPENDENCYPART_ARC
(18,25),-0.65852 # DEPENDENCYPART_ARC
(19,1),-1.08144 # DEPENDENCYPART_ARC
(19,2),-0.339944 # DEPENDENCYPART_ARC
(19,3),-0.468711 # DEPENDENCYPART_ARC
(19,4),-0.327722 # DEPENDENCYPART_ARC
(19,5),-0.0342713 # DEPENDENCYPART_ARC
(19,6),-1.03146 # DEPENDENCYPART_ARC
(19,7),-0.0427145 # DEPENDENCYPART_ARC
(19,8),-0.265442 # DEPENDENCYPART_ARC
(19,9),-0.397218 # DEPENDENCYPART_ARC
(19,10),-0.0485723 # DEPENDENCYPART_ARC
(19,11),-0.162892 # DEPENDENCYPART_ARC
(19,12),-0.654894 # DEPENDENCYPART_ARC
(19,13),-1.16797 # DEPENDENCYPART_ARC
(19,14),-0.838775 # DEPENDENCYPART_ARC
(19,15),0.364774 # DEPENDENCYPART_ARC
(19,16),1.09613 # DEPENDENCYPART_ARC
(19,17),1.29493 # DEPENDENCYPART_ARC
(19,18),3.47343 # DEPENDENCYPART_ARC
(19,20),0.243839 # DEPENDENCYPART_ARC
(19,21),-0.483863 # DEPENDENCYPART_ARC
(19,22),-0.0911026 # DEPENDENCYPART_ARC
(19,23),-1.03734 # DEPENDENCYPART_ARC
(19,24),-1.83306 # DEPENDENCYPART_ARC
(19,25),-0.718262 # DEPENDENCYPART_ARC
(20,1),-1.71196 # DEPENDENCYPART_ARC
(20,2),-0.883615 # DEPENDENCYPART_ARC
(20,3),-1.97404 # DEPENDENCYPART_ARC
(20,4),-0.817898 # DEPENDENCYPART_ARC
(20,5),-1.52862 # DEPENDENCYPART_ARC
(20,6),-2.36912 # DEPENDENCYPART_ARC
(20,7),-1.4666 # DEPENDENCYPART_ARC
(20,8),-1.09122 # DEPENDENCYPART_ARC
(20,9),-1.67581 # DEPENDENCYPART_ARC
(20,10),-0.725876 # DEPENDENCYPART_ARC
(20,11),-0.661743 # DEPENDENCYPART_ARC
(20,12),-1.30452 # DEPENDENCYPART_ARC
(20,13),-2.28829 # DEPENDENCYPART_ARC
(20,14),-1.5622 # DEPENDENCYPART_ARC
(20,15),-0.338061 # DEPENDENCYPART_ARC
(20,16),0.143879 # DEPENDENCYPART_ARC
(20,17),0.219998 # DEPENDENCYPART_ARC
(20,18),0.793609 # DEPENDENCYPART_ARC
(20,19),1.8664 # DEPENDENCYPART_ARC
(20,21),-0.826618 # DEPENDENCYPART_ARC
(20,22),-0.03336 # DEPENDENCYPART_ARC
(20,23),-1.47899 # DEPENDENCYPART_ARC
(20,24),-1.96896 # DEPENDENCYPART_ARC
(20,25),-0.860368 # DEPENDENCYPART_ARC
(21,1),-1.0572 # DEPENDENCYPART_ARC
(21,2),-0.344894 # DEPENDENCYPART_ARC
(21,3),-1.61771 # DEPENDENCYPART_ARC
(21,4),-0.414233 # DEPENDENCYPART_ARC
(21,5),-1.27792 # DEPENDENCYPART_ARC
(21,6),-2.2979 # DEPENDENCYPART_ARC
(21,7),-1.28711 # DEPENDENCYPART_ARC
(21,8),-0.816534 # DEPENDENCYPART_ARC
(21,9),-1.39756 # DEPENDENCYPART_ARC
(21,10),-0.287386 # DEPENDENCYPART_ARC
(21,11),-0.171601 # DEPENDENCYPART_ARC
(21,12),-0.699629 # DEPENDENCYPART_ARC
(21,13),-2.21949 # DEPENDENCYPART_ARC
(21,14),-0.520837 # DEPENDENCYPART_ARC
(21,15),0.242056 # DEPENDENCYPART_ARC
(21,16),0.327567 # DEPENDENCYPART_ARC
(21,17),0.5783 # DEPENDENCYPART_ARC
(21,18),0.474146 # DEPENDENCYPART_ARC
(21,19),1.12566 # DEPENDENCYPART_ARC
(21,20),2.09827 # DEPENDENCYPART_ARC
(21,22),0.162524 # DEPENDENCYPART_ARC
(21,23),-1.08882 # DEPENDENCYPART_ARC
(21,24),-1.50282 # DEPENDENCYPART_ARC
(21,25),-0.778667 # DEPENDENCYPART_ARC
