# _root_ Bütün delilleri , dosyayı _ inceleme hakkına _ sahibiz hukuki _ olarak , fakat bu haktan _ mahrum_edildik .
#goldHeads=2,3,4,5,6,7,9,9,14,11,12,9,0,18,16,18,18,19,0,
#predictedHeads=2,3,0,5,6,7,9,9,10,11,12,18,0,19,16,18,18,19,0,
(5,11),-0.909377 # DEPENDENCYPART_ARC
(5,12),0.0812739 # DEPENDENCYPART_ARC
(5,13),-0.689691 # DEPENDENCYPART_ARC
(5,14),-1.02224 # DEPENDENCYPART_ARC
(5,15),-1.17074 # DEPENDENCYPART_ARC
(5,16),-2.22804 # DEPENDENCYPART_ARC
(5,17),-1.67134 # DEPENDENCYPART_ARC
(5,18),-1.54526 # DEPENDENCYPART_ARC
(5,19),-1.78363 # DEPENDENCYPART_ARC
(6,1),0.206367 # DEPENDENCYPART_ARC
(6,2),-1.59937 # DEPENDENCYPART_ARC
(6,3),0.233501 # DEPENDENCYPART_ARC
(6,4),1.16175 # DEPENDENCYPART_ARC
(6,5),2.82982 # DEPENDENCYPART_ARC
(6,7),-0.163341 # DEPENDENCYPART_ARC
(6,8),-0.691364 # DEPENDENCYPART_ARC
(6,9),-1.22537 # DEPENDENCYPART_ARC
(6,10),-0.617457 # DEPENDENCYPART_ARC
(6,11),-1.28295 # DEPENDENCYPART_ARC
(6,12),-1.03287 # DEPENDENCYPART_ARC
(6,13),-0.724078 # DEPENDENCYPART_ARC
(6,14),-1.47364 # DEPENDENCYPART_ARC
(6,15),-0.940145 # DEPENDENCYPART_ARC
(6,16),-2.74521 # DEPENDENCYPART_ARC
(6,17),-1.71993 # DEPENDENCYPART_ARC
(6,18),-2.28513 # DEPENDENCYPART_ARC
(6,19),-2.02699 # DEPENDENCYPART_ARC
(7,1),0.040667 # DEPENDENCYPART_ARC
(7,2),-2.10514 # DEPENDENCYPART_ARC
(7,3),0.410032 # DEPENDENCYPART_ARC
(7,4),-0.314682 # DEPENDENCYPART_ARC
(7,5),0.559887 # DEPENDENCYPART_ARC
(7,6),2.90999 # DEPENDENCYPART_ARC
(7,8),-0.563977 # DEPENDENCYPART_ARC
(7,9),-0.677856 # DEPENDENCYPART_ARC
(7,10),-0.305893 # DEPENDENCYPART_ARC
(7,11),-0.811984 # DEPENDENCYPART_ARC
(7,12),-0.610256 # DEPENDENCYPART_ARC
(7,13),-0.375051 # DEPENDENCYPART_ARC
(7,14),-0.956231 # DEPENDENCYPART_ARC
(7,15),-0.714428 # DEPENDENCYPART_ARC
(7,16),-1.97497 # DEPENDENCYPART_ARC
(7,17),-1.33519 # DEPENDENCYPART_ARC
(7,18),-1.90142 # DEPENDENCYPART_ARC
(7,19),-1.58249 # DEPENDENCYPART_ARC
(8,1),-0.99992 # DEPENDENCYPART_ARC
(8,2),-2.06531 # DEPENDENCYPART_ARC
(8,3),-0.0687376 # DEPENDENCYPART_ARC
(8,4),-0.47986 # DEPENDENCYPART_ARC
(8,5),-0.436822 # DEPENDENCYPART_ARC
(8,6),0.861089 # DEPENDENCYPART_ARC
(8,7),1.69202 # DEPENDENCYPART_ARC
(8,9),0.205194 # DEPENDENCYPART_ARC
(8,10),0.693987 # DEPENDENCYPART_ARC
(8,11),-0.281692 # DEPENDENCYPART_ARC
(8,12),0.103432 # DEPENDENCYPART_ARC
(8,13),0.0217435 # DEPENDENCYPART_ARC
(8,14),-0.350715 # DEPENDENCYPART_ARC
(8,15),-0.213368 # DEPENDENCYPART_ARC
(8,16),-1.97459 # DEPENDENCYPART_ARC
(8,17),-0.785993 # DEPENDENCYPART_ARC
(8,18),-1.325 # DEPENDENCYPART_ARC
(8,19),-1.33194 # DEPENDENCYPART_ARC
(9,1),-0.0478717 # DEPENDENCYPART_ARC
(9,2),0.234425 # DEPENDENCYPART_ARC
(9,3),0.615921 # DEPENDENCYPART_ARC
(9,4),1.47785 # DEPENDENCYPART_ARC
(9,5),-1.26145 # DEPENDENCYPART_ARC
(9,6),1.60774 # DEPENDENCYPART_ARC
(9,7),2.50137 # DEPENDENCYPART_ARC
(9,8),3.05465 # DEPENDENCYPART_ARC
(9,10),0.0673546 # DEPENDENCYPART_ARC
(9,11),-0.523669 # DEPENDENCYPART_ARC
(9,12),0.445074 # DEPENDENCYPART_ARC
(9,13),-0.609816 # DEPENDENCYPART_ARC
(9,14),-0.847865 # DEPENDENCYPART_ARC
(9,15),-1.24939 # DEPENDENCYPART_ARC
(9,16),-1.73449 # DEPENDENCYPART_ARC
(9,17),-1.38289 # DEPENDENCYPART_ARC
(9,18),-1.37876 # DEPENDENCYPART_ARC
(9,19),-1.74317 # DEPENDENCYPART_ARC
(10,1),-1.60455 # DEPENDENCYPART_ARC
(10,2),-0.795869 # DEPENDENCYPART_ARC
(10,3),-0.681588 # DEPENDENCYPART_ARC
(10,4),0.0910446 # DEPENDENCYPART_ARC
(10,5),-1.57325 # DEPENDENCYPART_ARC
(10,6),0.258717 # DEPENDENCYPART_ARC
(10,7),0.585985 # DEPENDENCYPART_ARC
(10,8),1.52876 # DEPENDENCYPART_ARC
(10,9),1.21592 # DEPENDENCYPART_ARC
(10,11),-0.0828795 # DEPENDENCYPART_ARC
(10,12),0.298431 # DEPENDENCYPART_ARC
(10,13),-0.490616 # DEPENDENCYPART_ARC
(10,14),-0.706886 # DEPENDENCYPART_ARC
(10,15),-0.952024 # DEPENDENCYPART_ARC
(10,16),-0.95149 # DEPENDENCYPART_ARC
(10,17),-1.16732 # DEPENDENCYPART_ARC
(10,18),-1.18516 # DEPENDENCYPART_ARC
(10,19),-1.13286 # DEPENDENCYPART_ARC
(11,1),-0.353132 # DEPENDENCYPART_ARC
(11,2),0.307983 # DEPENDENCYPART_ARC
(11,3),-0.389006 # DEPENDENCYPART_ARC
(11,4),1.25782 # DEPENDENCYPART_ARC
(11,5),-4.31414 # DEPENDENCYPART_ARC
(11,6),0.644393 # DEPENDENCYPART_ARC
(11,7),1.15889 # DEPENDENCYPART_ARC
(11,8),-0.0119407 # DEPENDENCYPART_ARC
(11,9),0.878935 # DEPENDENCYPART_ARC
(11,10),2.23186 # DEPENDENCYPART_ARC
(11,12),0.975456 # DEPENDENCYPART_ARC
(11,13),-0.288645 # DEPENDENCYPART_ARC
(11,14),-0.499489 # DEPENDENCYPART_ARC
(11,15),-1.0422 # DEPENDENCYPART_ARC
(11,16),-1.81457 # DEPENDENCYPART_ARC
(11,17),-1.18671 # DEPENDENCYPART_ARC
(11,18),-1.28863 # DEPENDENCYPART_ARC
(11,19),-1.70043 # DEPENDENCYPART_ARC
(12,1),-0.24109 # DEPENDENCYPART_ARC
(12,2),-0.194584 # DEPENDENCYPART_ARC
(12,3),-0.226553 # DEPENDENCYPART_ARC
(12,4),0.841487 # DEPENDENCYPART_ARC
(12,5),-0.113402 # DEPENDENCYPART_ARC
(12,6),0.903603 # DEPENDENCYPART_ARC
(12,7),0.937134 # DEPENDENCYPART_ARC
(12,8),1.18564 # DEPENDENCYPART_ARC
(12,9),0.159653 # DEPENDENCYPART_ARC
(12,10),0.909517 # DEPENDENCYPART_ARC
(12,11),2.83859 # DEPENDENCYPART_ARC
(12,13),-0.387373 # DEPENDENCYPART_ARC
(12,14),-0.578465 # DEPENDENCYPART_ARC
(12,15),-1.37268 # DEPENDENCYPART_ARC
(12,16),-1.72562 # DEPENDENCYPART_ARC
(12,17),-1.69134 # DEPENDENCYPART_ARC
(12,18),-1.65027 # DEPENDENCYPART_ARC
(12,19),-1.7431 # DEPENDENCYPART_ARC
(13,1),-0.732649 # DEPENDENCYPART_ARC
(13,2),-0.139365 # DEPENDENCYPART_ARC
(13,3),0.112253 # DEPENDENCYPART_ARC
(13,4),0.528779 # DEPENDENCYPART_ARC
(13,5),-1.97538 # DEPENDENCYPART_ARC
(13,6),0.412276 # DEPENDENCYPART_ARC
(13,7),0.663505 # DEPENDENCYPART_ARC
(13,8),-0.537375 # DEPENDENCYPART_ARC
(13,9),1.11487 # DEPENDENCYPART_ARC
(13,10),0.304922 # DEPENDENCYPART_ARC
(13,11),0.129377 # DEPENDENCYPART_ARC
(13,12),0.741257 # DEPENDENCYPART_ARC
(13,14),-0.281263 # DEPENDENCYPART_ARC
(13,15),-0.832769 # DEPENDENCYPART_ARC
(13,16),-0.734465 # DEPENDENCYPART_ARC
(13,17),-0.368469 # DEPENDENCYPART_ARC
(13,18),-0.43997 # DEPENDENCYPART_ARC
(13,19),-1.14227 # DEPENDENCYPART_ARC
(14,1),-1.2863 # DEPENDENCYPART_ARC
(14,2),-0.920313 # DEPENDENCYPART_ARC
(14,3),-1.18194 # DEPENDENCYPART_ARC
(14,4),-0.944886 # DEPENDENCYPART_ARC
(14,5),-0.764634 # DEPENDENCYPART_ARC
(14,6),-0.857055 # DEPENDENCYPART_ARC
(14,7),-0.711555 # DEPENDENCYPART_ARC
(14,8),-0.684171 # DEPENDENCYPART_ARC
(14,9),-0.0596042 # DEPENDENCYPART_ARC
(14,10),-0.552397 # DEPENDENCYPART_ARC
(14,11),0.152957 # DEPENDENCYPART_ARC
(14,12),-0.226118 # DEPENDENCYPART_ARC
(14,13),0.40646 # DEPENDENCYPART_ARC
(14,15),0.352949 # DEPENDENCYPART_ARC
(14,16),-0.171994 # DEPENDENCYPART_ARC
(14,17),-0.307287 # DEPENDENCYPART_ARC
(14,18),-0.250448 # DEPENDENCYPART_ARC
(14,19),-0.447475 # DEPENDENCYPART_ARC
(15,1),-1.2593 # DEPENDENCYPART_ARC
(15,2),-1.18924 # DEPENDENCYPART_ARC
(15,3),-0.42342 # DEPENDENCYPART_ARC
(15,4),-1.17819 # DEPENDENCYPART_ARC
(15,5),-1.24851 # DEPENDENCYPART_ARC
(15,6),-1.19309 # DEPENDENCYPART_ARC
(15,7),-1.16334 # DEPENDENCYPART_ARC
(15,8),-1.03881 # DEPENDENCYPART_ARC
(15,9),-1.26653 # DEPENDENCYPART_ARC
(15,10),-1.15964 # DEPENDENCYPART_ARC
(15,11),-1.12323 # DEPENDENCYPART_ARC
(15,12),-0.983421 # DEPENDENCYPART_ARC
(15,13),-0.383649 # DEPENDENCYPART_ARC
(15,14),0.222744 # DEPENDENCYPART_ARC
(15,16),-0.268747 # DEPENDENCYPART_ARC
(15,17),-0.458064 # DEPENDENCYPART_ARC
(15,18),-0.543375 # DEPENDENCYPART_ARC
(15,19),-0.459424 # DEPENDENCYPART_ARC
(16,1),-0.869291 # DEPENDENCYPART_ARC
(16,2),-2.76915 # DEPENDENCYPART_ARC
(16,3),-0.341428 # DEPENDENCYPART_ARC
(16,4),-2.24323 # DEPENDENCYPART_ARC
(16,5),-3.57376 # DEPENDENCYPART_ARC
(16,6),-1.09334 # DEPENDENCYPART_ARC
(16,7),-1.49313 # DEPENDENCYPART_ARC
(16,8),-2.87983 # DEPENDENCYPART_ARC
(16,9),-0.475376 # DEPENDENCYPART_ARC
(16,10),-0.227651 # DEPENDENCYPART_ARC
(16,11),0.0737764 # DEPENDENCYPART_ARC
(16,12),-0.644437 # DEPENDENCYPART_ARC
(16,13),0.0272732 # DEPENDENCYPART_ARC
(16,14),-0.105934 # DEPENDENCYPART_ARC
(16,15),2.62037 # DEPENDENCYPART_ARC
(16,17),-0.0222626 # DEPENDENCYPART_ARC
(16,18),-0.914401 # DEPENDENCYPART_ARC
(16,19),-0.868489 # DEPENDENCYPART_ARC
(17,1),-1.37905 # DEPENDENCYPART_ARC
(17,2),-0.597245 # DEPENDENCYPART_ARC
(17,3),-1.46773 # DEPENDENCYPART_ARC
(17,4),-0.888059 # DEPENDENCYPART_ARC
(17,5),-7.73837 # DEPENDENCYPART_ARC
(17,6),-0.713701 # DEPENDENCYPART_ARC
(17,7),-0.439635 # DEPENDENCYPART_ARC
(17,8),-4.36339 # DEPENDENCYPART_ARC
(17,9),-0.799817 # DEPENDENCYPART_ARC
(17,10),-0.693605 # DEPENDENCYPART_ARC
(17,11),-1.91501 # DEPENDENCYPART_ARC
(17,12),-0.512033 # DEPENDENCYPART_ARC
(17,13),-0.259222 # DEPENDENCYPART_ARC
(17,14),0.0378067 # DEPENDENCYPART_ARC
(17,15),0.338363 # DEPENDENCYPART_ARC
(17,16),1.42817 # DEPENDENCYPART_ARC
(17,18),0.927672 # DEPENDENCYPART_ARC
(17,19),-0.129631 # DEPENDENCYPART_ARC
(18,1),-0.851255 # DEPENDENCYPART_ARC
(18,2),-0.758887 # DEPENDENCYPART_ARC
(18,3),-1.06037 # DEPENDENCYPART_ARC
(18,4),-0.874606 # DEPENDENCYPART_ARC
(18,5),-6.41643 # DEPENDENCYPART_ARC
(18,6),-0.39024 # DEPENDENCYPART_ARC
(18,7),0.345934 # DEPENDENCYPART_ARC
(18,8),-3.94984 # DEPENDENCYPART_ARC
(18,9),0.376729 # DEPENDENCYPART_ARC
(18,10),0.315311 # DEPENDENCYPART_ARC
(18,11),-2.31648 # DEPENDENCYPART_ARC
(18,12),0.963486 # DEPENDENCYPART_ARC
(18,13),0.695463 # DEPENDENCYPART_ARC
(18,14),0.423569 # DEPENDENCYPART_ARC
(18,15),0.912345 # DEPENDENCYPART_ARC
(18,16),2.27782 # DEPENDENCYPART_ARC
(18,17),2.59812 # DEPENDENCYPART_ARC
(18,19),-0.39566 # DEPENDENCYPART_ARC
(19,1),-0.51904 # DEPENDENCYPART_ARC
(19,2),-0.287597 # DEPENDENCYPART_ARC
(19,3),-0.736209 # DEPENDENCYPART_ARC
(19,4),-0.375229 # DEPENDENCYPART_ARC
(19,5),-4.77191 # DEPENDENCYPART_ARC
(19,6),-0.112793 # DEPENDENCYPART_ARC
(19,7),0.164507 # DEPENDENCYPART_ARC
(19,8),-2.2036 # DEPENDENCYPART_ARC
(19,9),-0.0939027 # DEPENDENCYPART_ARC
(19,10),-0.778056 # DEPENDENCYPART_ARC
(19,11),-2.4806 # DEPENDENCYPART_ARC
(19,12),-0.325066 # DEPENDENCYPART_ARC
(19,13),0.17505 # DEPENDENCYPART_ARC
(19,14),1.15208 # DEPENDENCYPART_ARC
(19,15),0.544254 # DEPENDENCYPART_ARC
(19,16),0.585927 # DEPENDENCYPART_ARC
(19,17),-0.545553 # DEPENDENCYPART_ARC
(19,18),1.97026 # DEPENDENCYPART_ARC
