# _root_ Bir gün düşünmüş , iki gün düşünmüş , işin içinden _ _ çıkamayacağını _ _ kestirince doğru kıza gitmiş .
#goldHeads=2,3,4,7,6,7,8,19,10,12,12,13,15,15,16,19,19,19,20,0,
#predictedHeads=2,3,4,7,6,7,8,19,10,12,12,13,16,15,16,19,19,19,20,0,
(3,1),0.984317 # DEPENDENCYPART_ARC
(3,2),3.24286 # DEPENDENCYPART_ARC
(3,4),-0.117436 # DEPENDENCYPART_ARC
(3,5),-0.161419 # DEPENDENCYPART_ARC
(3,6),-0.275533 # DEPENDENCYPART_ARC
(3,7),-0.941674 # DEPENDENCYPART_ARC
(3,8),-0.855087 # DEPENDENCYPART_ARC
(3,9),-2.10961 # DEPENDENCYPART_ARC
(3,10),-0.861232 # DEPENDENCYPART_ARC
(3,11),-0.89432 # DEPENDENCYPART_ARC
(3,12),-1.08932 # DEPENDENCYPART_ARC
(3,13),-0.889923 # DEPENDENCYPART_ARC
(3,14),-1.09294 # DEPENDENCYPART_ARC
(3,15),-2.04018 # DEPENDENCYPART_ARC
(3,16),-1.13471 # DEPENDENCYPART_ARC
(3,17),0.336503 # DEPENDENCYPART_ARC
(3,18),-1.38278 # DEPENDENCYPART_ARC
(3,19),-1.39787 # DEPENDENCYPART_ARC
(3,20),-1.69426 # DEPENDENCYPART_ARC
(4,1),0.236621 # DEPENDENCYPART_ARC
(4,2),0.624598 # DEPENDENCYPART_ARC
(4,3),1.26119 # DEPENDENCYPART_ARC
(4,5),0.177722 # DEPENDENCYPART_ARC
(4,6),0.0403158 # DEPENDENCYPART_ARC
(4,7),0.156968 # DEPENDENCYPART_ARC
(4,8),-0.344622 # DEPENDENCYPART_ARC
(4,9),-0.106674 # DEPENDENCYPART_ARC
(4,10),-0.0135958 # DEPENDENCYPART_ARC
(4,11),-0.387205 # DEPENDENCYPART_ARC
(4,12),-0.321065 # DEPENDENCYPART_ARC
(4,13),-0.146606 # DEPENDENCYPART_ARC
(4,14),-0.554094 # DEPENDENCYPART_ARC
(4,15),-0.652901 # DEPENDENCYPART_ARC
(4,16),-0.71409 # DEPENDENCYPART_ARC
(4,17),-0.581444 # DEPENDENCYPART_ARC
(4,18),-0.656033 # DEPENDENCYPART_ARC
(4,19),-0.646327 # DEPENDENCYPART_ARC
(4,20),-2.56178 # DEPENDENCYPART_ARC
(5,1),-0.869217 # DEPENDENCYPART_ARC
(5,2),-0.861829 # DEPENDENCYPART_ARC
(5,3),-0.440669 # DEPENDENCYPART_ARC
(5,4),0.505163 # DEPENDENCYPART_ARC
(5,6),0.180907 # DEPENDENCYPART_ARC
(5,7),0.324456 # DEPENDENCYPART_ARC
(5,8),0.0395494 # DEPENDENCYPART_ARC
(5,9),-0.504493 # DEPENDENCYPART_ARC
(5,10),-0.690445 # DEPENDENCYPART_ARC
(5,11),-0.368126 # DEPENDENCYPART_ARC
(5,12),-0.414432 # DEPENDENCYPART_ARC
(5,13),-0.808064 # DEPENDENCYPART_ARC
(5,14),-0.406734 # DEPENDENCYPART_ARC
(5,15),-0.438029 # DEPENDENCYPART_ARC
(5,16),-0.704913 # DEPENDENCYPART_ARC
(5,17),-0.478077 # DEPENDENCYPART_ARC
(5,18),-1.12563 # DEPENDENCYPART_ARC
(5,19),-0.566232 # DEPENDENCYPART_ARC
(5,20),-0.696276 # DEPENDENCYPART_ARC
(6,1),-0.108904 # DEPENDENCYPART_ARC
(6,2),-0.47991 # DEPENDENCYPART_ARC
(6,3),-0.0609693 # DEPENDENCYPART_ARC
(6,4),0.473286 # DEPENDENCYPART_ARC
(6,5),2.53724 # DEPENDENCYPART_ARC
(6,7),0.00076725 # DEPENDENCYPART_ARC
(6,8),0.513606 # DEPENDENCYPART_ARC
(6,9),-0.550925 # DEPENDENCYPART_ARC
(6,10),-1.67262 # DEPENDENCYPART_ARC
(6,11),-0.43875 # DEPENDENCYPART_ARC
(6,12),-0.859967 # DEPENDENCYPART_ARC
(6,13),-1.27934 # DEPENDENCYPART_ARC
(6,14),-0.651371 # DEPENDENCYPART_ARC
(6,15),-0.878834 # DEPENDENCYPART_ARC
(6,16),-0.74105 # DEPENDENCYPART_ARC
(6,17),-0.634982 # DEPENDENCYPART_ARC
(6,18),-1.23708 # DEPENDENCYPART_ARC
(6,19),-1.4466 # DEPENDENCYPART_ARC
(6,20),-1.11417 # DEPENDENCYPART_ARC
(7,1),-0.399709 # DEPENDENCYPART_ARC
(7,2),0.754728 # DEPENDENCYPART_ARC
(7,3),-0.0717399 # DEPENDENCYPART_ARC
(7,4),1.62027 # DEPENDENCYPART_ARC
(7,5),0.831559 # DEPENDENCYPART_ARC
(7,6),3.24839 # DEPENDENCYPART_ARC
(7,8),-0.117454 # DEPENDENCYPART_ARC
(7,9),-1.49276 # DEPENDENCYPART_ARC
(7,10),-0.543864 # DEPENDENCYPART_ARC
(7,11),-0.427529 # DEPENDENCYPART_ARC
(7,12),-0.939449 # DEPENDENCYPART_ARC
(7,13),-0.703491 # DEPENDENCYPART_ARC
(7,14),-0.661464 # DEPENDENCYPART_ARC
(7,15),-1.79513 # DEPENDENCYPART_ARC
(7,16),-0.46874 # DEPENDENCYPART_ARC
(7,17),0.706208 # DEPENDENCYPART_ARC
(7,18),-0.997796 # DEPENDENCYPART_ARC
(7,19),-1.12125 # DEPENDENCYPART_ARC
(7,20),-1.75122 # DEPENDENCYPART_ARC
(8,1),-0.685727 # DEPENDENCYPART_ARC
(8,2),0.088167 # DEPENDENCYPART_ARC
(8,3),-0.378972 # DEPENDENCYPART_ARC
(8,4),0.369585 # DEPENDENCYPART_ARC
(8,5),-0.0502788 # DEPENDENCYPART_ARC
(8,6),0.542707 # DEPENDENCYPART_ARC
(8,7),1.55086 # DEPENDENCYPART_ARC
(8,9),0.261173 # DEPENDENCYPART_ARC
(8,10),0.0608256 # DEPENDENCYPART_ARC
(8,11),-0.119718 # DEPENDENCYPART_ARC
(8,12),-0.173787 # DEPENDENCYPART_ARC
(8,13),-0.0487946 # DEPENDENCYPART_ARC
(8,14),-0.270093 # DEPENDENCYPART_ARC
(8,15),-0.357258 # DEPENDENCYPART_ARC
(8,16),-0.18264 # DEPENDENCYPART_ARC
(8,17),0.139728 # DEPENDENCYPART_ARC
(8,18),-0.0848957 # DEPENDENCYPART_ARC
(8,19),-0.504153 # DEPENDENCYPART_ARC
(8,20),-2.02645 # DEPENDENCYPART_ARC
(9,1),-0.985009 # DEPENDENCYPART_ARC
(9,2),-0.7415 # DEPENDENCYPART_ARC
(9,3),-1.07708 # DEPENDENCYPART_ARC
(9,4),-0.964478 # DEPENDENCYPART_ARC
(9,5),-0.328402 # DEPENDENCYPART_ARC
(9,6),-0.652358 # DEPENDENCYPART_ARC
(9,7),-0.338666 # DEPENDENCYPART_ARC
(9,8),0.309092 # DEPENDENCYPART_ARC
(9,10),-0.850988 # DEPENDENCYPART_ARC
(9,11),-0.175075 # DEPENDENCYPART_ARC
(9,12),-0.528681 # DEPENDENCYPART_ARC
(9,13),-0.663332 # DEPENDENCYPART_ARC
(9,14),-0.57274 # DEPENDENCYPART_ARC
(9,15),-0.81895 # DEPENDENCYPART_ARC
(9,16),-0.668546 # DEPENDENCYPART_ARC
(9,17),-0.52118 # DEPENDENCYPART_ARC
(9,18),-0.924107 # DEPENDENCYPART_ARC
(9,19),-0.889313 # DEPENDENCYPART_ARC
(9,20),-0.959064 # DEPENDENCYPART_ARC
(10,1),-0.652712 # DEPENDENCYPART_ARC
(10,2),-0.132492 # DEPENDENCYPART_ARC
(10,3),-1.00571 # DEPENDENCYPART_ARC
(10,4),-0.089321 # DEPENDENCYPART_ARC
(10,5),-0.193119 # DEPENDENCYPART_ARC
(10,6),-0.167327 # DEPENDENCYPART_ARC
(10,7),-0.545406 # DEPENDENCYPART_ARC
(10,8),0.438357 # DEPENDENCYPART_ARC
(10,9),3.83516 # DEPENDENCYPART_ARC
(10,11),0.21204 # DEPENDENCYPART_ARC
(10,12),-0.371643 # DEPENDENCYPART_ARC
(10,13),-0.11982 # DEPENDENCYPART_ARC
(10,14),-0.356489 # DEPENDENCYPART_ARC
(10,15),-0.840788 # DEPENDENCYPART_ARC
(10,16),-0.614434 # DEPENDENCYPART_ARC
(10,17),-0.527584 # DEPENDENCYPART_ARC
(10,18),-0.906897 # DEPENDENCYPART_ARC
(10,19),-0.959279 # DEPENDENCYPART_ARC
(10,20),-0.950579 # DEPENDENCYPART_ARC
(11,1),-1.77993 # DEPENDENCYPART_ARC
(11,2),-0.77639 # DEPENDENCYPART_ARC
(11,3),-0.534161 # DEPENDENCYPART_ARC
(11,4),-0.55975 # DEPENDENCYPART_ARC
(11,5),-1.71149 # DEPENDENCYPART_ARC
(11,6),-0.470613 # DEPENDENCYPART_ARC
(11,7),-0.419948 # DEPENDENCYPART_ARC
(11,8),0.709059 # DEPENDENCYPART_ARC
(11,9),1.08273 # DEPENDENCYPART_ARC
(11,10),1.59449 # DEPENDENCYPART_ARC
(11,12),0.413562 # DEPENDENCYPART_ARC
(11,13),0.456137 # DEPENDENCYPART_ARC
(11,14),-0.0301662 # DEPENDENCYPART_ARC
(11,15),-0.229199 # DEPENDENCYPART_ARC
(11,16),-0.191006 # DEPENDENCYPART_ARC
(11,17),0.141118 # DEPENDENCYPART_ARC
(11,18),-0.129577 # DEPENDENCYPART_ARC
(11,19),-0.0292933 # DEPENDENCYPART_ARC
(11,20),-1.04001 # DEPENDENCYPART_ARC
(12,1),-1.46482 # DEPENDENCYPART_ARC
(12,2),0.125523 # DEPENDENCYPART_ARC
(12,3),0.573422 # DEPENDENCYPART_ARC
(12,4),-0.624986 # DEPENDENCYPART_ARC
(12,5),-1.16261 # DEPENDENCYPART_ARC
(12,6),0.405232 # DEPENDENCYPART_ARC
(12,7),0.492212 # DEPENDENCYPART_ARC
(12,8),0.522323 # DEPENDENCYPART_ARC
(12,9),1.45473 # DEPENDENCYPART_ARC
(12,10),2.52921 # DEPENDENCYPART_ARC
(12,11),3.32831 # DEPENDENCYPART_ARC
(12,13),0.771147 # DEPENDENCYPART_ARC
(12,14),-0.212429 # DEPENDENCYPART_ARC
(12,15),-0.79321 # DEPENDENCYPART_ARC
(12,16),-0.0653195 # DEPENDENCYPART_ARC
(12,17),0.0137798 # DEPENDENCYPART_ARC
(12,18),-0.535126 # DEPENDENCYPART_ARC
(12,19),-0.581966 # DEPENDENCYPART_ARC
(12,20),-1.31354 # DEPENDENCYPART_ARC
(13,1),-0.605789 # DEPENDENCYPART_ARC
(13,2),0.234641 # DEPENDENCYPART_ARC
(13,3),-0.0378174 # DEPENDENCYPART_ARC
(13,4),-0.269744 # DEPENDENCYPART_ARC
(13,5),-0.215627 # DEPENDENCYPART_ARC
(13,6),-0.0695463 # DEPENDENCYPART_ARC
(13,7),0.0999472 # DEPENDENCYPART_ARC
(13,8),-0.0344812 # DEPENDENCYPART_ARC
(13,9),2.6675 # DEPENDENCYPART_ARC
(13,10),1.45914 # DEPENDENCYPART_ARC
(13,11),0.977928 # DEPENDENCYPART_ARC
(13,12),2.94397 # DEPENDENCYPART_ARC
(13,14),-0.119843 # DEPENDENCYPART_ARC
(13,15),-0.820452 # DEPENDENCYPART_ARC
(13,16),-0.876538 # DEPENDENCYPART_ARC
(13,17),-0.890427 # DEPENDENCYPART_ARC
(13,18),-0.596688 # DEPENDENCYPART_ARC
(13,19),-1.32272 # DEPENDENCYPART_ARC
(13,20),-1.32069 # DEPENDENCYPART_ARC
(14,1),-2.08205 # DEPENDENCYPART_ARC
(14,2),-1.16532 # DEPENDENCYPART_ARC
(14,3),-0.547469 # DEPENDENCYPART_ARC
(14,4),-0.87687 # DEPENDENCYPART_ARC
(14,5),-1.81173 # DEPENDENCYPART_ARC
(14,6),-0.994556 # DEPENDENCYPART_ARC
(14,7),-0.744561 # DEPENDENCYPART_ARC
(14,8),0.547979 # DEPENDENCYPART_ARC
(14,9),0.289167 # DEPENDENCYPART_ARC
(14,10),0.326019 # DEPENDENCYPART_ARC
(14,11),-1.22814 # DEPENDENCYPART_ARC
(14,12),0.0722811 # DEPENDENCYPART_ARC
(14,13),1.23793 # DEPENDENCYPART_ARC
(14,15),0.25264 # DEPENDENCYPART_ARC
(14,16),0.219595 # DEPENDENCYPART_ARC
(14,17),0.144562 # DEPENDENCYPART_ARC
(14,18),0.0416883 # DEPENDENCYPART_ARC
(14,19),-0.00790507 # DEPENDENCYPART_ARC
(14,20),-0.993243 # DEPENDENCYPART_ARC
(15,1),-1.97658 # DEPENDENCYPART_ARC
(15,2),-0.320262 # DEPENDENCYPART_ARC
(15,3),-0.318687 # DEPENDENCYPART_ARC
(15,4),-0.658437 # DEPENDENCYPART_ARC
(15,5),-1.34856 # DEPENDENCYPART_ARC
(15,6),0.033193 # DEPENDENCYPART_ARC
(15,7),-0.431126 # DEPENDENCYPART_ARC
(15,8),0.3496 # DEPENDENCYPART_ARC
(15,9),1.01792 # DEPENDENCYPART_ARC
(15,10),0.927443 # DEPENDENCYPART_ARC
(15,11),-1.51708 # DEPENDENCYPART_ARC
(15,12),-1.06464 # DEPENDENCYPART_ARC
(15,13),2.08478 # DEPENDENCYPART_ARC
(15,14),3.17262 # DEPENDENCYPART_ARC
(15,16),0.344669 # DEPENDENCYPART_ARC
(15,17),0.255761 # DEPENDENCYPART_ARC
(15,18),-0.946774 # DEPENDENCYPART_ARC
(15,19),-0.612964 # DEPENDENCYPART_ARC
(15,20),-1.08863 # DEPENDENCYPART_ARC
(16,1),-0.161937 # DEPENDENCYPART_ARC
(16,2),0.534769 # DEPENDENCYPART_ARC
(16,3),-0.592828 # DEPENDENCYPART_ARC
(16,4),-0.246679 # DEPENDENCYPART_ARC
(16,5),0.103984 # DEPENDENCYPART_ARC
(16,6),0.663758 # DEPENDENCYPART_ARC
(16,7),-0.143154 # DEPENDENCYPART_ARC
(16,8),0.459007 # DEPENDENCYPART_ARC
(16,9),1.28504 # DEPENDENCYPART_ARC
(16,10),1.60625 # DEPENDENCYPART_ARC
(16,11),0.117068 # DEPENDENCYPART_ARC
(16,12),0.824345 # DEPENDENCYPART_ARC
(16,13),2.3712 # DEPENDENCYPART_ARC
(16,14),1.36723 # DEPENDENCYPART_ARC
(16,15),3.19495 # DEPENDENCYPART_ARC
(16,17),-0.554171 # DEPENDENCYPART_ARC
(16,18),-1.2128 # DEPENDENCYPART_ARC
(16,19),-1.2123 # DEPENDENCYPART_ARC
(16,20),-1.22521 # DEPENDENCYPART_ARC
(17,1),-0.282697 # DEPENDENCYPART_ARC
(17,2),-0.939445 # DEPENDENCYPART_ARC
(17,3),-1.1935 # DEPENDENCYPART_ARC
(17,4),-0.372547 # DEPENDENCYPART_ARC
(17,5),-0.162422 # DEPENDENCYPART_ARC
(17,6),-0.737408 # DEPENDENCYPART_ARC
(17,7),-0.848088 # DEPENDENCYPART_ARC
(17,8),0.110151 # DEPENDENCYPART_ARC
(17,9),0.0230259 # DEPENDENCYPART_ARC
(17,10),1.01559 # DEPENDENCYPART_ARC
(17,11),0.0049644 # DEPENDENCYPART_ARC
(17,12),-0.135546 # DEPENDENCYPART_ARC
(17,13),0.755317 # DEPENDENCYPART_ARC
(17,14),0.503484 # DEPENDENCYPART_ARC
(17,15),0.797832 # DEPENDENCYPART_ARC
(17,16),2.16702 # DEPENDENCYPART_ARC
(17,18),0.161473 # DEPENDENCYPART_ARC
(17,19),-0.313362 # DEPENDENCYPART_ARC
(17,20),-0.281583 # DEPENDENCYPART_ARC
(18,1),-1.71443 # DEPENDENCYPART_ARC
(18,2),-1.89019 # DEPENDENCYPART_ARC
(18,3),-1.97937 # DEPENDENCYPART_ARC
(18,4),-1.39885 # DEPENDENCYPART_ARC
(18,5),-1.1671 # DEPENDENCYPART_ARC
(18,6),-2.04516 # DEPENDENCYPART_ARC
(18,7),-1.65559 # DEPENDENCYPART_ARC
(18,8),-0.792322 # DEPENDENCYPART_ARC
(18,9),-0.732489 # DEPENDENCYPART_ARC
(18,10),-1.5936 # DEPENDENCYPART_ARC
(18,11),-2.41012 # DEPENDENCYPART_ARC
(18,12),-1.21072 # DEPENDENCYPART_ARC
(18,13),-1.69827 # DEPENDENCYPART_ARC
(18,14),-0.62927 # DEPENDENCYPART_ARC
(18,15),0.128932 # DEPENDENCYPART_ARC
(18,16),0.542677 # DEPENDENCYPART_ARC
(18,17),1.32603 # DEPENDENCYPART_ARC
(18,19),0.0985399 # DEPENDENCYPART_ARC
(18,20),0.294783 # DEPENDENCYPART_ARC
(19,1),-1.03395 # DEPENDENCYPART_ARC
(19,2),0.22834 # DEPENDENCYPART_ARC
(19,3),-0.514445 # DEPENDENCYPART_ARC
(19,4),0.713513 # DEPENDENCYPART_ARC
(19,5),-0.876745 # DEPENDENCYPART_ARC
(19,6),0.324324 # DEPENDENCYPART_ARC
(19,7),-0.363677 # DEPENDENCYPART_ARC
(19,8),1.86503 # DEPENDENCYPART_ARC
(19,9),0.47181 # DEPENDENCYPART_ARC
(19,10),1.37275 # DEPENDENCYPART_ARC
(19,11),-3.17906 # DEPENDENCYPART_ARC
(19,12),-2.45634 # DEPENDENCYPART_ARC
(19,13),1.91226 # DEPENDENCYPART_ARC
(19,14),-0.783379 # DEPENDENCYPART_ARC
(19,15),-0.534346 # DEPENDENCYPART_ARC
(19,16),2.43936 # DEPENDENCYPART_ARC
(19,17),1.9387 # DEPENDENCYPART_ARC
(19,18),3.4343 # DEPENDENCYPART_ARC
(19,20),-0.444016 # DEPENDENCYPART_ARC
(20,1),-0.927133 # DEPENDENCYPART_ARC
(20,2),-0.72439 # DEPENDENCYPART_ARC
(20,3),-0.507635 # DEPENDENCYPART_ARC
(20,4),-0.509131 # DEPENDENCYPART_ARC
(20,5),-0.410501 # DEPENDENCYPART_ARC
(20,6),-0.399448 # DEPENDENCYPART_ARC
(20,7),-0.269025 # DEPENDENCYPART_ARC
(20,8),-0.161666 # DEPENDENCYPART_ARC
(20,9),0.046201 # DEPENDENCYPART_ARC
(20,10),-0.0472791 # DEPENDENCYPART_ARC
(20,11),-2.81021 # DEPENDENCYPART_ARC
(20,12),-2.4403 # DEPENDENCYPART_ARC
(20,13),0.0456364 # DEPENDENCYPART_ARC
(20,14),-1.95185 # DEPENDENCYPART_ARC
(20,15),-1.52889 # DEPENDENCYPART_ARC
(20,16),0.362507 # DEPENDENCYPART_ARC
(20,17),0.503119 # DEPENDENCYPART_ARC
(20,18),0.462416 # DEPENDENCYPART_ARC
(20,19),1.77102 # DEPENDENCYPART_ARC
