# _root_ Bu yazarın dramlarında kişiler , durumlarına karşı_koymaz , onu _ _ değiştirmek için savaşmazlar .
#goldHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
#predictedHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
(3,4),-0.29719 # DEPENDENCYPART_ARC
(3,5),0.211834 # DEPENDENCYPART_ARC
(3,6),0.529582 # DEPENDENCYPART_ARC
(3,7),-0.117327 # DEPENDENCYPART_ARC
(3,8),-0.329177 # DEPENDENCYPART_ARC
(3,9),-0.98274 # DEPENDENCYPART_ARC
(3,10),-0.951346 # DEPENDENCYPART_ARC
(3,11),-1.09035 # DEPENDENCYPART_ARC
(3,12),-0.432627 # DEPENDENCYPART_ARC
(3,13),-0.767998 # DEPENDENCYPART_ARC
(3,14),-0.947079 # DEPENDENCYPART_ARC
(3,15),-0.98379 # DEPENDENCYPART_ARC
(4,1),0.775347 # DEPENDENCYPART_ARC
(4,2),0.761458 # DEPENDENCYPART_ARC
(4,3),0.140153 # DEPENDENCYPART_ARC
(4,5),0.184298 # DEPENDENCYPART_ARC
(4,6),0.0599326 # DEPENDENCYPART_ARC
(4,7),-0.857504 # DEPENDENCYPART_ARC
(4,8),-0.479335 # DEPENDENCYPART_ARC
(4,9),-1.64017 # DEPENDENCYPART_ARC
(4,10),-1.09763 # DEPENDENCYPART_ARC
(4,11),-1.40354 # DEPENDENCYPART_ARC
(4,12),-0.802877 # DEPENDENCYPART_ARC
(4,13),-0.775952 # DEPENDENCYPART_ARC
(4,14),-1.48519 # DEPENDENCYPART_ARC
(4,15),-1.24819 # DEPENDENCYPART_ARC
(5,1),-0.456404 # DEPENDENCYPART_ARC
(5,2),0.168917 # DEPENDENCYPART_ARC
(5,3),0.212466 # DEPENDENCYPART_ARC
(5,4),0.931806 # DEPENDENCYPART_ARC
(5,6),0.470208 # DEPENDENCYPART_ARC
(5,7),-0.112023 # DEPENDENCYPART_ARC
(5,8),-0.482446 # DEPENDENCYPART_ARC
(5,9),-0.650605 # DEPENDENCYPART_ARC
(5,10),-0.278221 # DEPENDENCYPART_ARC
(5,11),-0.34968 # DEPENDENCYPART_ARC
(5,12),-0.0311418 # DEPENDENCYPART_ARC
(5,13),-0.851254 # DEPENDENCYPART_ARC
(5,14),-0.18564 # DEPENDENCYPART_ARC
(5,15),-1.71114 # DEPENDENCYPART_ARC
(6,1),-0.346393 # DEPENDENCYPART_ARC
(6,2),0.551352 # DEPENDENCYPART_ARC
(6,3),-0.743024 # DEPENDENCYPART_ARC
(6,4),0.786928 # DEPENDENCYPART_ARC
(6,5),0.913254 # DEPENDENCYPART_ARC
(6,7),0.423267 # DEPENDENCYPART_ARC
(6,8),0.44112 # DEPENDENCYPART_ARC
(6,9),-1.62791 # DEPENDENCYPART_ARC
(6,10),-0.504358 # DEPENDENCYPART_ARC
(6,11),-0.949764 # DEPENDENCYPART_ARC
(6,12),-1.39049 # DEPENDENCYPART_ARC
(6,13),-0.456316 # DEPENDENCYPART_ARC
(6,14),-1.16159 # DEPENDENCYPART_ARC
(6,15),-0.765616 # DEPENDENCYPART_ARC
(7,1),0.0590806 # DEPENDENCYPART_ARC
(7,2),-0.454271 # DEPENDENCYPART_ARC
(7,3),1.22301 # DEPENDENCYPART_ARC
(7,4),1.25785 # DEPENDENCYPART_ARC
(7,5),0.597915 # DEPENDENCYPART_ARC
(7,6),3.35068 # DEPENDENCYPART_ARC
(7,8),-0.109735 # DEPENDENCYPART_ARC
(7,9),0.445312 # DEPENDENCYPART_ARC
(7,10),-0.630471 # DEPENDENCYPART_ARC
(7,11),-1.25333 # DEPENDENCYPART_ARC
(7,12),-0.556791 # DEPENDENCYPART_ARC
(7,13),0.454324 # DEPENDENCYPART_ARC
(7,14),-0.669891 # DEPENDENCYPART_ARC
(7,15),-1.57855 # DEPENDENCYPART_ARC
(8,1),-0.412514 # DEPENDENCYPART_ARC
(8,2),0.0211157 # DEPENDENCYPART_ARC
(8,3),0.113886 # DEPENDENCYPART_ARC
(8,4),0.210954 # DEPENDENCYPART_ARC
(8,5),0.362041 # DEPENDENCYPART_ARC
(8,6),0.808369 # DEPENDENCYPART_ARC
(8,7),1.78564 # DEPENDENCYPART_ARC
(8,9),0.221227 # DEPENDENCYPART_ARC
(8,10),0.223569 # DEPENDENCYPART_ARC
(8,11),0.269257 # DEPENDENCYPART_ARC
(8,12),0.590156 # DEPENDENCYPART_ARC
(8,13),-0.157788 # DEPENDENCYPART_ARC
(8,14),0.361919 # DEPENDENCYPART_ARC
(8,15),-0.689322 # DEPENDENCYPART_ARC
(9,1),-1.17226 # DEPENDENCYPART_ARC
(9,2),-1.86922 # DEPENDENCYPART_ARC
(9,3),-2.15335 # DEPENDENCYPART_ARC
(9,4),-2.42201 # DEPENDENCYPART_ARC
(9,5),-1.19386 # DEPENDENCYPART_ARC
(9,6),-1.4962 # DEPENDENCYPART_ARC
(9,8),0.0928746 # DEPENDENCYPART_ARC
(9,13),-0.0503434 # DEPENDENCYPART_ARC
(9,15),-0.500223 # DEPENDENCYPART_ARC
(10,1),-0.63231 # DEPENDENCYPART_ARC
(10,2),-0.174066 # DEPENDENCYPART_ARC
(10,3),-0.159847 # DEPENDENCYPART_ARC
(10,4),-0.0683652 # DEPENDENCYPART_ARC
(10,5),-0.860697 # DEPENDENCYPART_ARC
(10,6),-0.371762 # DEPENDENCYPART_ARC
(10,7),-0.154902 # DEPENDENCYPART_ARC
(10,8),0.966915 # DEPENDENCYPART_ARC
(10,9),1.87349 # DEPENDENCYPART_ARC
(10,11),0.26263 # DEPENDENCYPART_ARC
(10,12),0.715545 # DEPENDENCYPART_ARC
(10,13),0.10595 # DEPENDENCYPART_ARC
(10,14),0.271468 # DEPENDENCYPART_ARC
(10,15),-0.800599 # DEPENDENCYPART_ARC
(11,1),-0.110322 # DEPENDENCYPART_ARC
(11,2),0.53518 # DEPENDENCYPART_ARC
(11,3),0.0092625 # DEPENDENCYPART_ARC
(11,4),-0.0268879 # DEPENDENCYPART_ARC
(11,5),-0.76968 # DEPENDENCYPART_ARC
(11,6),0.844637 # DEPENDENCYPART_ARC
(11,7),-0.490783 # DEPENDENCYPART_ARC
(11,8),0.803254 # DEPENDENCYPART_ARC
(11,9),2.81666 # DEPENDENCYPART_ARC
(11,10),2.85241 # DEPENDENCYPART_ARC
(11,12),0.0688197 # DEPENDENCYPART_ARC
(11,13),-0.238827 # DEPENDENCYPART_ARC
(11,14),-0.42345 # DEPENDENCYPART_ARC
(11,15),-0.749203 # DEPENDENCYPART_ARC
(12,1),0.0436864 # DEPENDENCYPART_ARC
(12,2),-0.895964 # DEPENDENCYPART_ARC
(12,3),-1.01321 # DEPENDENCYPART_ARC
(12,4),-0.662331 # DEPENDENCYPART_ARC
(12,5),0.323153 # DEPENDENCYPART_ARC
(12,6),-0.29048 # DEPENDENCYPART_ARC
(12,7),-0.230696 # DEPENDENCYPART_ARC
(12,8),0.43516 # DEPENDENCYPART_ARC
(12,9),0.529321 # DEPENDENCYPART_ARC
(12,10),0.88303 # DEPENDENCYPART_ARC
(12,11),3.03306 # DEPENDENCYPART_ARC
(12,13),-0.42836 # DEPENDENCYPART_ARC
(12,14),-1.23413 # DEPENDENCYPART_ARC
(12,15),-0.927733 # DEPENDENCYPART_ARC
(13,1),-0.668878 # DEPENDENCYPART_ARC
(13,2),-1.81993 # DEPENDENCYPART_ARC
(13,3),-1.47614 # DEPENDENCYPART_ARC
(13,4),-0.494454 # DEPENDENCYPART_ARC
(13,5),0.0520991 # DEPENDENCYPART_ARC
(13,6),-0.380834 # DEPENDENCYPART_ARC
(13,7),-0.328809 # DEPENDENCYPART_ARC
(13,8),0.538352 # DEPENDENCYPART_ARC
(13,9),0.0195989 # DEPENDENCYPART_ARC
(13,10),-0.059124 # DEPENDENCYPART_ARC
(13,11),0.525313 # DEPENDENCYPART_ARC
(13,12),3.55524 # DEPENDENCYPART_ARC
(13,14),0.067063 # DEPENDENCYPART_ARC
(13,15),-0.0023159 # DEPENDENCYPART_ARC
(14,1),-0.136738 # DEPENDENCYPART_ARC
(14,2),-1.13138 # DEPENDENCYPART_ARC
(14,3),0.5341 # DEPENDENCYPART_ARC
(14,4),0.315375 # DEPENDENCYPART_ARC
(14,5),-0.582213 # DEPENDENCYPART_ARC
(14,6),0.310492 # DEPENDENCYPART_ARC
(14,7),-0.593625 # DEPENDENCYPART_ARC
(14,8),1.69334 # DEPENDENCYPART_ARC
(14,9),1.63575 # DEPENDENCYPART_ARC
(14,10),-0.645051 # DEPENDENCYPART_ARC
(14,11),0.361083 # DEPENDENCYPART_ARC
(14,12),1.74055 # DEPENDENCYPART_ARC
(14,13),2.32303 # DEPENDENCYPART_ARC
(14,15),-0.119918 # DEPENDENCYPART_ARC
(15,1),-0.0123433 # DEPENDENCYPART_ARC
(15,2),-0.292516 # DEPENDENCYPART_ARC
(15,3),-0.312992 # DEPENDENCYPART_ARC
(15,4),-0.32004 # DEPENDENCYPART_ARC
(15,5),-0.692468 # DEPENDENCYPART_ARC
(15,6),-0.34795 # DEPENDENCYPART_ARC
(15,7),-0.15276 # DEPENDENCYPART_ARC
(15,8),0.322431 # DEPENDENCYPART_ARC
(15,9),-0.186264 # DEPENDENCYPART_ARC
(15,10),-1.82911 # DEPENDENCYPART_ARC
(15,11),-1.28661 # DEPENDENCYPART_ARC
(15,12),0.184477 # DEPENDENCYPART_ARC
(15,13),-0.126326 # DEPENDENCYPART_ARC
(15,14),1.75998 # DEPENDENCYPART_ARC
