# _root_ Kopenhag'da otellerin önünde _ bekleyen kızlar , Hamburg'un , Berlin'in ... _ buluşma yerleri ...
#goldHeads=4,3,4,5,6,7,0,9,0,12,0,13,14,15,0,
#predictedHeads=5,3,4,5,6,7,0,9,0,11,0,13,14,15,0,
(4,14),-1.06404 # DEPENDENCYPART_ARC
(4,15),-0.915262 # DEPENDENCYPART_ARC
(5,1),1.41416 # DEPENDENCYPART_ARC
(5,2),1.66304 # DEPENDENCYPART_ARC
(5,3),2.1317 # DEPENDENCYPART_ARC
(5,4),2.82383 # DEPENDENCYPART_ARC
(5,6),-0.202247 # DEPENDENCYPART_ARC
(5,7),-0.670189 # DEPENDENCYPART_ARC
(5,8),-0.929132 # DEPENDENCYPART_ARC
(5,9),-1.14637 # DEPENDENCYPART_ARC
(5,10),-1.25575 # DEPENDENCYPART_ARC
(5,11),-1.3184 # DEPENDENCYPART_ARC
(5,12),-1.38364 # DEPENDENCYPART_ARC
(5,13),-1.43098 # DEPENDENCYPART_ARC
(5,14),-1.37516 # DEPENDENCYPART_ARC
(5,15),-1.43223 # DEPENDENCYPART_ARC
(6,1),0.206497 # DEPENDENCYPART_ARC
(6,2),0.0930703 # DEPENDENCYPART_ARC
(6,3),-0.248006 # DEPENDENCYPART_ARC
(6,4),0.886332 # DEPENDENCYPART_ARC
(6,5),2.79595 # DEPENDENCYPART_ARC
(6,7),0.274442 # DEPENDENCYPART_ARC
(6,8),0.653043 # DEPENDENCYPART_ARC
(6,9),-0.579471 # DEPENDENCYPART_ARC
(6,10),0.196388 # DEPENDENCYPART_ARC
(6,11),-1.00012 # DEPENDENCYPART_ARC
(6,12),-1.45976 # DEPENDENCYPART_ARC
(6,13),-0.359894 # DEPENDENCYPART_ARC
(6,14),-1.43177 # DEPENDENCYPART_ARC
(6,15),-0.974459 # DEPENDENCYPART_ARC
(7,1),0.352348 # DEPENDENCYPART_ARC
(7,2),0.321549 # DEPENDENCYPART_ARC
(7,3),0.597068 # DEPENDENCYPART_ARC
(7,4),-0.316963 # DEPENDENCYPART_ARC
(7,5),0.615409 # DEPENDENCYPART_ARC
(7,6),1.24209 # DEPENDENCYPART_ARC
(7,8),0.472305 # DEPENDENCYPART_ARC
(7,9),-0.108184 # DEPENDENCYPART_ARC
(7,10),-0.0249375 # DEPENDENCYPART_ARC
(7,11),-0.303935 # DEPENDENCYPART_ARC
(7,12),-0.358729 # DEPENDENCYPART_ARC
(7,13),0.0541293 # DEPENDENCYPART_ARC
(7,14),-0.0636094 # DEPENDENCYPART_ARC
(7,15),-0.785658 # DEPENDENCYPART_ARC
(8,1),-1.97864 # DEPENDENCYPART_ARC
(8,2),-1.33533 # DEPENDENCYPART_ARC
(8,3),-2.42301 # DEPENDENCYPART_ARC
(8,4),-1.04561 # DEPENDENCYPART_ARC
(8,5),0.254842 # DEPENDENCYPART_ARC
(8,6),-0.373791 # DEPENDENCYPART_ARC
(8,7),1.90041 # DEPENDENCYPART_ARC
(8,9),0.496455 # DEPENDENCYPART_ARC
(8,10),-0.498555 # DEPENDENCYPART_ARC
(8,11),-0.776352 # DEPENDENCYPART_ARC
(8,12),-1.18707 # DEPENDENCYPART_ARC
(8,14),-1.79248 # DEPENDENCYPART_ARC
(8,15),-0.914516 # DEPENDENCYPART_ARC
(9,1),-0.31996 # DEPENDENCYPART_ARC
(9,2),-0.26499 # DEPENDENCYPART_ARC
(9,3),-0.00822798 # DEPENDENCYPART_ARC
(9,4),-1.54829 # DEPENDENCYPART_ARC
(9,5),-0.468525 # DEPENDENCYPART_ARC
(9,6),-0.178586 # DEPENDENCYPART_ARC
(9,7),-0.0277462 # DEPENDENCYPART_ARC
(9,8),1.60515 # DEPENDENCYPART_ARC
(9,10),0.451339 # DEPENDENCYPART_ARC
(9,11),-0.074214 # DEPENDENCYPART_ARC
(9,12),-0.141941 # DEPENDENCYPART_ARC
(9,13),0.139805 # DEPENDENCYPART_ARC
(9,14),-0.119344 # DEPENDENCYPART_ARC
(9,15),-0.591788 # DEPENDENCYPART_ARC
(10,1),-1.9277 # DEPENDENCYPART_ARC
(10,2),-1.34693 # DEPENDENCYPART_ARC
(10,3),-2.43499 # DEPENDENCYPART_ARC
(10,4),-1.91917 # DEPENDENCYPART_ARC
(10,5),0.114825 # DEPENDENCYPART_ARC
(10,6),-0.813032 # DEPENDENCYPART_ARC
(10,7),0.239856 # DEPENDENCYPART_ARC
(10,8),-0.433862 # DEPENDENCYPART_ARC
(10,9),1.72685 # DEPENDENCYPART_ARC
(10,11),0.277125 # DEPENDENCYPART_ARC
(10,12),-0.703517 # DEPENDENCYPART_ARC
(10,14),-1.33267 # DEPENDENCYPART_ARC
(10,15),-0.666624 # DEPENDENCYPART_ARC
(11,1),-0.636419 # DEPENDENCYPART_ARC
(11,2),-0.598596 # DEPENDENCYPART_ARC
(11,3),-0.510848 # DEPENDENCYPART_ARC
(11,4),-1.54651 # DEPENDENCYPART_ARC
(11,5),-1.08158 # DEPENDENCYPART_ARC
(11,6),-1.00868 # DEPENDENCYPART_ARC
(11,7),-0.912686 # DEPENDENCYPART_ARC
(11,8),-0.341215 # DEPENDENCYPART_ARC
(11,9),-0.463594 # DEPENDENCYPART_ARC
(11,10),0.730584 # DEPENDENCYPART_ARC
(11,12),-0.163845 # DEPENDENCYPART_ARC
(11,13),-0.208867 # DEPENDENCYPART_ARC
(11,14),-0.239592 # DEPENDENCYPART_ARC
(11,15),-0.332236 # DEPENDENCYPART_ARC
(12,1),-0.0192218 # DEPENDENCYPART_ARC
(12,2),0.318823 # DEPENDENCYPART_ARC
(12,3),0.261514 # DEPENDENCYPART_ARC
(12,4),-3.48475 # DEPENDENCYPART_ARC
(12,5),-0.911558 # DEPENDENCYPART_ARC
(12,6),-0.0161282 # DEPENDENCYPART_ARC
(12,7),-1.34938 # DEPENDENCYPART_ARC
(12,8),0.0132658 # DEPENDENCYPART_ARC
(12,9),-0.87601 # DEPENDENCYPART_ARC
(12,10),0.58117 # DEPENDENCYPART_ARC
(12,11),1.02308 # DEPENDENCYPART_ARC
(12,13),0.548183 # DEPENDENCYPART_ARC
(12,14),1.21095 # DEPENDENCYPART_ARC
(12,15),-0.229619 # DEPENDENCYPART_ARC
(13,1),-1.35263 # DEPENDENCYPART_ARC
(13,2),-0.916337 # DEPENDENCYPART_ARC
(13,3),-0.889321 # DEPENDENCYPART_ARC
(13,4),-2.18817 # DEPENDENCYPART_ARC
(13,5),0.183931 # DEPENDENCYPART_ARC
(13,6),-0.53169 # DEPENDENCYPART_ARC
(13,7),-0.223535 # DEPENDENCYPART_ARC
(13,8),-0.595371 # DEPENDENCYPART_ARC
(13,9),0.00821015 # DEPENDENCYPART_ARC
(13,10),-0.576863 # DEPENDENCYPART_ARC
(13,11),0.764728 # DEPENDENCYPART_ARC
(13,12),2.86985 # DEPENDENCYPART_ARC
(13,14),-0.597687 # DEPENDENCYPART_ARC
(13,15),-0.496649 # DEPENDENCYPART_ARC
(14,1),-1.54919 # DEPENDENCYPART_ARC
(14,2),-1.42001 # DEPENDENCYPART_ARC
(14,3),-1.66673 # DEPENDENCYPART_ARC
(14,4),-3.18221 # DEPENDENCYPART_ARC
(14,5),0.484133 # DEPENDENCYPART_ARC
(14,6),-1.24149 # DEPENDENCYPART_ARC
(14,7),0.438011 # DEPENDENCYPART_ARC
(14,8),-0.637622 # DEPENDENCYPART_ARC
(14,9),0.624471 # DEPENDENCYPART_ARC
(14,10),-0.753915 # DEPENDENCYPART_ARC
(14,11),1.21654 # DEPENDENCYPART_ARC
(14,12),0.994276 # DEPENDENCYPART_ARC
(14,13),2.30742 # DEPENDENCYPART_ARC
(14,15),-0.0444015 # DEPENDENCYPART_ARC
(15,1),-0.749785 # DEPENDENCYPART_ARC
(15,2),-0.61615 # DEPENDENCYPART_ARC
(15,3),-0.382745 # DEPENDENCYPART_ARC
(15,4),-2.33576 # DEPENDENCYPART_ARC
(15,5),-0.689957 # DEPENDENCYPART_ARC
(15,6),-0.629992 # DEPENDENCYPART_ARC
(15,7),-0.470776 # DEPENDENCYPART_ARC
(15,8),-0.326758 # DEPENDENCYPART_ARC
(15,9),-0.189617 # DEPENDENCYPART_ARC
(15,10),-0.180407 # DEPENDENCYPART_ARC
(15,11),0.310573 # DEPENDENCYPART_ARC
(15,12),0.250687 # DEPENDENCYPART_ARC
(15,13),0.425403 # DEPENDENCYPART_ARC
(15,14),0.745175 # DEPENDENCYPART_ARC
