# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,14,10,11,13,13,14,15,20,17,20,20,20,21,0,
(1,17),-1.67943 # DEPENDENCYPART_ARC
(1,18),-1.43891 # DEPENDENCYPART_ARC
(1,19),-1.68043 # DEPENDENCYPART_ARC
(1,20),-2.13576 # DEPENDENCYPART_ARC
(1,21),-1.5463 # DEPENDENCYPART_ARC
(2,1),-0.0682094 # DEPENDENCYPART_ARC
(2,3),0.147958 # DEPENDENCYPART_ARC
(2,4),-0.457048 # DEPENDENCYPART_ARC
(2,5),-0.420256 # DEPENDENCYPART_ARC
(2,6),-0.612808 # DEPENDENCYPART_ARC
(2,7),-0.556356 # DEPENDENCYPART_ARC
(2,8),-0.375536 # DEPENDENCYPART_ARC
(2,9),-0.742889 # DEPENDENCYPART_ARC
(2,10),-0.848917 # DEPENDENCYPART_ARC
(2,11),-0.757499 # DEPENDENCYPART_ARC
(2,12),-0.526012 # DEPENDENCYPART_ARC
(2,13),-1.1586 # DEPENDENCYPART_ARC
(2,14),-1.12942 # DEPENDENCYPART_ARC
(2,15),-1.78634 # DEPENDENCYPART_ARC
(2,16),-1.55022 # DEPENDENCYPART_ARC
(2,17),-1.22626 # DEPENDENCYPART_ARC
(2,18),-1.43788 # DEPENDENCYPART_ARC
(2,19),-1.12418 # DEPENDENCYPART_ARC
(2,20),-1.20246 # DEPENDENCYPART_ARC
(2,21),-2.76787 # DEPENDENCYPART_ARC
(3,1),0.363176 # DEPENDENCYPART_ARC
(3,2),0.590767 # DEPENDENCYPART_ARC
(3,4),0.54846 # DEPENDENCYPART_ARC
(3,5),-0.0867059 # DEPENDENCYPART_ARC
(3,6),0.436265 # DEPENDENCYPART_ARC
(3,7),-0.0526919 # DEPENDENCYPART_ARC
(3,8),-1.45966 # DEPENDENCYPART_ARC
(3,9),0.0655867 # DEPENDENCYPART_ARC
(3,10),-0.530182 # DEPENDENCYPART_ARC
(3,11),-0.0776703 # DEPENDENCYPART_ARC
(3,12),0.0266991 # DEPENDENCYPART_ARC
(3,13),-0.755109 # DEPENDENCYPART_ARC
(3,14),-0.93028 # DEPENDENCYPART_ARC
(3,15),-0.114231 # DEPENDENCYPART_ARC
(3,16),-1.07732 # DEPENDENCYPART_ARC
(3,17),-0.933592 # DEPENDENCYPART_ARC
(3,18),-1.46009 # DEPENDENCYPART_ARC
(3,19),-1.953 # DEPENDENCYPART_ARC
(3,20),-1.64754 # DEPENDENCYPART_ARC
(3,21),-1.18076 # DEPENDENCYPART_ARC
(4,1),0.24233 # DEPENDENCYPART_ARC
(4,2),0.367416 # DEPENDENCYPART_ARC
(4,3),1.60051 # DEPENDENCYPART_ARC
(4,5),0.501865 # DEPENDENCYPART_ARC
(4,6),0.282352 # DEPENDENCYPART_ARC
(4,7),0.413136 # DEPENDENCYPART_ARC
(4,8),0.0398786 # DEPENDENCYPART_ARC
(4,9),-0.420661 # DEPENDENCYPART_ARC
(4,10),-0.360442 # DEPENDENCYPART_ARC
(4,11),-0.506128 # DEPENDENCYPART_ARC
(4,12),-0.478884 # DEPENDENCYPART_ARC
(4,13),-0.955021 # DEPENDENCYPART_ARC
(4,14),-0.0173663 # DEPENDENCYPART_ARC
(4,15),-0.73088 # DEPENDENCYPART_ARC
(4,16),-1.12104 # DEPENDENCYPART_ARC
(4,17),-0.570177 # DEPENDENCYPART_ARC
(4,18),-1.72658 # DEPENDENCYPART_ARC
(4,19),-0.831562 # DEPENDENCYPART_ARC
(4,20),-0.474214 # DEPENDENCYPART_ARC
(4,21),-1.60064 # DEPENDENCYPART_ARC
(5,1),-0.249187 # DEPENDENCYPART_ARC
(5,2),0.143974 # DEPENDENCYPART_ARC
(5,3),1.70765 # DEPENDENCYPART_ARC
(5,4),3.03749 # DEPENDENCYPART_ARC
(5,6),0.265917 # DEPENDENCYPART_ARC
(5,7),-0.475208 # DEPENDENCYPART_ARC
(5,8),-0.415152 # DEPENDENCYPART_ARC
(5,9),-0.617386 # DEPENDENCYPART_ARC
(5,10),-0.851936 # DEPENDENCYPART_ARC
(5,11),-0.794667 # DEPENDENCYPART_ARC
(5,12),-0.718666 # DEPENDENCYPART_ARC
(5,13),-1.88397 # DEPENDENCYPART_ARC
(5,14),-0.581186 # DEPENDENCYPART_ARC
(5,15),-0.772184 # DEPENDENCYPART_ARC
(5,16),-1.53457 # DEPENDENCYPART_ARC
(5,17),-1.06655 # DEPENDENCYPART_ARC
(5,18),-2.79418 # DEPENDENCYPART_ARC
(5,19),-0.773564 # DEPENDENCYPART_ARC
(5,20),-0.889868 # DEPENDENCYPART_ARC
(5,21),-1.66778 # DEPENDENCYPART_ARC
(6,1),0.193523 # DEPENDENCYPART_ARC
(6,2),0.504722 # DEPENDENCYPART_ARC
(6,3),1.63835 # DEPENDENCYPART_ARC
(6,4),1.0732 # DEPENDENCYPART_ARC
(6,5),2.83551 # DEPENDENCYPART_ARC
(6,7),-0.302776 # DEPENDENCYPART_ARC
(6,8),-0.604241 # DEPENDENCYPART_ARC
(6,9),-1.23107 # DEPENDENCYPART_ARC
(6,10),-1.07333 # DEPENDENCYPART_ARC
(6,11),-1.36163 # DEPENDENCYPART_ARC
(6,12),-0.951607 # DEPENDENCYPART_ARC
(6,13),-1.00475 # DEPENDENCYPART_ARC
(6,14),-1.28758 # DEPENDENCYPART_ARC
(6,15),-1.10853 # DEPENDENCYPART_ARC
(6,16),-1.38214 # DEPENDENCYPART_ARC
(6,17),-1.23072 # DEPENDENCYPART_ARC
(6,18),-1.54986 # DEPENDENCYPART_ARC
(6,19),-1.05265 # DEPENDENCYPART_ARC
(6,20),-1.61742 # DEPENDENCYPART_ARC
(6,21),-1.50097 # DEPENDENCYPART_ARC
(7,1),-0.0994607 # DEPENDENCYPART_ARC
(7,2),-0.289564 # DEPENDENCYPART_ARC
(7,3),0.755033 # DEPENDENCYPART_ARC
(7,4),-0.661856 # DEPENDENCYPART_ARC
(7,5),0.0908742 # DEPENDENCYPART_ARC
(7,6),2.51678 # DEPENDENCYPART_ARC
(7,8),-1.01755 # DEPENDENCYPART_ARC
(7,9),-0.0744814 # DEPENDENCYPART_ARC
(7,10),-0.711822 # DEPENDENCYPART_ARC
(7,11),-0.305415 # DEPENDENCYPART_ARC
(7,12),-0.356624 # DEPENDENCYPART_ARC
(7,13),-0.857381 # DEPENDENCYPART_ARC
(7,14),-1.07987 # DEPENDENCYPART_ARC
(7,15),-0.492583 # DEPENDENCYPART_ARC
(7,16),-1.1485 # DEPENDENCYPART_ARC
(7,17),-1.09278 # DEPENDENCYPART_ARC
(7,18),-1.4723 # DEPENDENCYPART_ARC
(7,19),-2.15496 # DEPENDENCYPART_ARC
(7,20),-1.97509 # DEPENDENCYPART_ARC
(7,21),-1.22586 # DEPENDENCYPART_ARC
(8,1),-0.0215114 # DEPENDENCYPART_ARC
(8,2),0.184129 # DEPENDENCYPART_ARC
(8,3),1.2005 # DEPENDENCYPART_ARC
(8,4),-0.985022 # DEPENDENCYPART_ARC
(8,5),-0.547427 # DEPENDENCYPART_ARC
(8,6),2.02935 # DEPENDENCYPART_ARC
(8,7),2.99463 # DEPENDENCYPART_ARC
(8,9),0.252662 # DEPENDENCYPART_ARC
(8,10),-0.503058 # DEPENDENCYPART_ARC
(8,11),-0.312307 # DEPENDENCYPART_ARC
(8,12),-0.23016 # DEPENDENCYPART_ARC
(8,13),-1.0489 # DEPENDENCYPART_ARC
(8,14),-1.02632 # DEPENDENCYPART_ARC
(8,15),-0.521843 # DEPENDENCYPART_ARC
(8,16),-1.29668 # DEPENDENCYPART_ARC
(8,17),-1.04545 # DEPENDENCYPART_ARC
(8,18),-1.54858 # DEPENDENCYPART_ARC
(8,19),-2.29336 # DEPENDENCYPART_ARC
(8,20),-1.78306 # DEPENDENCYPART_ARC
(8,21),-1.40967 # DEPENDENCYPART_ARC
(9,1),-0.584374 # DEPENDENCYPART_ARC
(9,2),0.0075519 # DEPENDENCYPART_ARC
(9,3),0.0172354 # DEPENDENCYPART_ARC
(9,4),-1.17889 # DEPENDENCYPART_ARC
(9,5),-0.480964 # DEPENDENCYPART_ARC
(9,6),-0.231304 # DEPENDENCYPART_ARC
(9,7),0.54473 # DEPENDENCYPART_ARC
(9,8),1.40502 # DEPENDENCYPART_ARC
(9,10),0.0974867 # DEPENDENCYPART_ARC
(9,11),-0.218973 # DEPENDENCYPART_ARC
(9,12),-0.144148 # DEPENDENCYPART_ARC
(9,13),0.0288923 # DEPENDENCYPART_ARC
(9,14),-0.515655 # DEPENDENCYPART_ARC
(9,15),-0.532823 # DEPENDENCYPART_ARC
(9,16),-0.723647 # DEPENDENCYPART_ARC
(9,17),-0.355874 # DEPENDENCYPART_ARC
(9,18),-0.37426 # DEPENDENCYPART_ARC
(9,19),-0.156744 # DEPENDENCYPART_ARC
(9,20),-0.941914 # DEPENDENCYPART_ARC
(9,21),-0.877105 # DEPENDENCYPART_ARC
(10,1),-0.371023 # DEPENDENCYPART_ARC
(10,2),-0.236213 # DEPENDENCYPART_ARC
(10,3),0.628002 # DEPENDENCYPART_ARC
(10,4),-3.8991 # DEPENDENCYPART_ARC
(10,5),-3.09773 # DEPENDENCYPART_ARC
(10,6),0.396841 # DEPENDENCYPART_ARC
(10,7),1.10373 # DEPENDENCYPART_ARC
(10,8),1.88532 # DEPENDENCYPART_ARC
(10,9),2.00776 # DEPENDENCYPART_ARC
(10,11),0.257786 # DEPENDENCYPART_ARC
(10,12),-0.261137 # DEPENDENCYPART_ARC
(10,13),-0.750197 # DEPENDENCYPART_ARC
(10,14),-0.510121 # DEPENDENCYPART_ARC
(10,15),-0.643913 # DEPENDENCYPART_ARC
(10,16),-1.04177 # DEPENDENCYPART_ARC
(10,17),-0.716536 # DEPENDENCYPART_ARC
(10,18),-1.58821 # DEPENDENCYPART_ARC
(10,19),-0.522233 # DEPENDENCYPART_ARC
(10,20),-0.696471 # DEPENDENCYPART_ARC
(10,21),-1.5357 # DEPENDENCYPART_ARC
(11,1),-0.16543 # DEPENDENCYPART_ARC
(11,2),0.276417 # DEPENDENCYPART_ARC
(11,3),0.59363 # DEPENDENCYPART_ARC
(11,4),-1.28226 # DEPENDENCYPART_ARC
(11,5),-0.543032 # DEPENDENCYPART_ARC
(11,6),0.22272 # DEPENDENCYPART_ARC
(11,7),1.24972 # DEPENDENCYPART_ARC
(11,8),1.23123 # DEPENDENCYPART_ARC
(11,9),1.03812 # DEPENDENCYPART_ARC
(11,10),2.43746 # DEPENDENCYPART_ARC
(11,12),-0.180817 # DEPENDENCYPART_ARC
(11,13),-0.345113 # DEPENDENCYPART_ARC
(11,14),-0.889537 # DEPENDENCYPART_ARC
(11,15),-0.846902 # DEPENDENCYPART_ARC
(11,16),-1.22135 # DEPENDENCYPART_ARC
(11,17),-0.765194 # DEPENDENCYPART_ARC
(11,18),-0.888135 # DEPENDENCYPART_ARC
(11,19),-0.812079 # DEPENDENCYPART_ARC
(11,20),-1.16468 # DEPENDENCYPART_ARC
(11,21),-1.2342 # DEPENDENCYPART_ARC
(12,1),-1.27042 # DEPENDENCYPART_ARC
(12,2),-0.607934 # DEPENDENCYPART_ARC
(12,3),-0.608238 # DEPENDENCYPART_ARC
(12,4),-0.676921 # DEPENDENCYPART_ARC
(12,5),-0.642539 # DEPENDENCYPART_ARC
(12,6),-0.652924 # DEPENDENCYPART_ARC
(12,7),-0.675306 # DEPENDENCYPART_ARC
(12,8),-0.588735 # DEPENDENCYPART_ARC
(12,9),-0.340316 # DEPENDENCYPART_ARC
(12,10),-0.235378 # DEPENDENCYPART_ARC
(12,11),0.728219 # DEPENDENCYPART_ARC
(12,13),-0.0917152 # DEPENDENCYPART_ARC
(12,14),-0.296542 # DEPENDENCYPART_ARC
(12,15),-0.318347 # DEPENDENCYPART_ARC
(12,16),-0.588901 # DEPENDENCYPART_ARC
(12,17),-0.661732 # DEPENDENCYPART_ARC
(12,18),-0.806418 # DEPENDENCYPART_ARC
(12,19),-0.74389 # DEPENDENCYPART_ARC
(12,20),-0.822043 # DEPENDENCYPART_ARC
(12,21),-0.82728 # DEPENDENCYPART_ARC
(13,1),0.247718 # DEPENDENCYPART_ARC
(13,2),0.108627 # DEPENDENCYPART_ARC
(13,3),0.522049 # DEPENDENCYPART_ARC
(13,4),-3.5677 # DEPENDENCYPART_ARC
(13,5),-3.20924 # DEPENDENCYPART_ARC
(13,6),0.531471 # DEPENDENCYPART_ARC
(13,7),0.882757 # DEPENDENCYPART_ARC
(13,8),0.454317 # DEPENDENCYPART_ARC
(13,9),1.13021 # DEPENDENCYPART_ARC
(13,10),0.571681 # DEPENDENCYPART_ARC
(13,11),2.37058 # DEPENDENCYPART_ARC
(13,12),2.7046 # DEPENDENCYPART_ARC
(13,14),0.24518 # DEPENDENCYPART_ARC
(13,15),0.380586 # DEPENDENCYPART_ARC
(13,16),-0.569124 # DEPENDENCYPART_ARC
(13,17),-0.435859 # DEPENDENCYPART_ARC
(13,18),-0.404499 # DEPENDENCYPART_ARC
(13,19),-1.34079 # DEPENDENCYPART_ARC
(13,20),-1.2365 # DEPENDENCYPART_ARC
(13,21),-0.9868 # DEPENDENCYPART_ARC
(14,1),1.39259 # DEPENDENCYPART_ARC
(14,2),-0.087054 # DEPENDENCYPART_ARC
(14,3),0.715739 # DEPENDENCYPART_ARC
(14,4),-4.5444 # DEPENDENCYPART_ARC
(14,5),-4.35978 # DEPENDENCYPART_ARC
(14,6),0.0702541 # DEPENDENCYPART_ARC
(14,7),1.73443 # DEPENDENCYPART_ARC
(14,8),2.10848 # DEPENDENCYPART_ARC
(14,9),0.73951 # DEPENDENCYPART_ARC
(14,10),-0.725193 # DEPENDENCYPART_ARC
(14,11),1.00448 # DEPENDENCYPART_ARC
(14,12),1.383 # DEPENDENCYPART_ARC
(14,13),3.51378 # DEPENDENCYPART_ARC
(14,15),0.185805 # DEPENDENCYPART_ARC
(14,16),-0.713578 # DEPENDENCYPART_ARC
(14,17),-0.424962 # DEPENDENCYPART_ARC
(14,18),0.0320464 # DEPENDENCYPART_ARC
(14,19),-0.322892 # DEPENDENCYPART_ARC
(14,20),-0.608008 # DEPENDENCYPART_ARC
(14,21),-1.24869 # DEPENDENCYPART_ARC
(15,1),-0.957924 # DEPENDENCYPART_ARC
(15,2),-0.216258 # DEPENDENCYPART_ARC
(15,3),-0.0402016 # DEPENDENCYPART_ARC
(15,4),-3.13029 # DEPENDENCYPART_ARC
(15,5),-2.79168 # DEPENDENCYPART_ARC
(15,6),-0.489374 # DEPENDENCYPART_ARC
(15,7),0.208415 # DEPENDENCYPART_ARC
(15,8),0.299396 # DEPENDENCYPART_ARC
(15,9),-0.459482 # DEPENDENCYPART_ARC
(15,10),-1.48792 # DEPENDENCYPART_ARC
(15,11),-0.110142 # DEPENDENCYPART_ARC
(15,12),0.0671862 # DEPENDENCYPART_ARC
(15,13),0.356537 # DEPENDENCYPART_ARC
(15,14),2.14581 # DEPENDENCYPART_ARC
(15,16),0.279409 # DEPENDENCYPART_ARC
(15,17),0.0519757 # DEPENDENCYPART_ARC
(15,18),0.0180847 # DEPENDENCYPART_ARC
(15,19),-0.276251 # DEPENDENCYPART_ARC
(15,20),0.0528455 # DEPENDENCYPART_ARC
(15,21),-0.80412 # DEPENDENCYPART_ARC
(16,1),-1.26225 # DEPENDENCYPART_ARC
(16,2),-2.04899 # DEPENDENCYPART_ARC
(16,3),-1.11998 # DEPENDENCYPART_ARC
(16,4),-8.80639 # DEPENDENCYPART_ARC
(16,5),-8.24148 # DEPENDENCYPART_ARC
(16,6),-1.01175 # DEPENDENCYPART_ARC
(16,7),-0.707893 # DEPENDENCYPART_ARC
(16,8),-0.724677 # DEPENDENCYPART_ARC
(16,9),-0.66398 # DEPENDENCYPART_ARC
(16,10),-3.49655 # DEPENDENCYPART_ARC
(16,11),-0.738517 # DEPENDENCYPART_ARC
(16,12),-1.12121 # DEPENDENCYPART_ARC
(16,13),-0.160947 # DEPENDENCYPART_ARC
(16,14),-0.339859 # DEPENDENCYPART_ARC
(16,15),1.50415 # DEPENDENCYPART_ARC
(16,17),0.28035 # DEPENDENCYPART_ARC
(16,18),0.0783993 # DEPENDENCYPART_ARC
(16,19),0.291762 # DEPENDENCYPART_ARC
(16,20),-0.202485 # DEPENDENCYPART_ARC
(16,21),-0.826465 # DEPENDENCYPART_ARC
(17,1),-0.0414056 # DEPENDENCYPART_ARC
(17,2),-0.619434 # DEPENDENCYPART_ARC
(17,3),-0.286615 # DEPENDENCYPART_ARC
(17,4),-1.93089 # DEPENDENCYPART_ARC
(17,5),-1.34879 # DEPENDENCYPART_ARC
(17,6),-0.525468 # DEPENDENCYPART_ARC
(17,7),-0.136449 # DEPENDENCYPART_ARC
(17,8),-0.0970954 # DEPENDENCYPART_ARC
(17,9),-0.414662 # DEPENDENCYPART_ARC
(17,10),-0.145422 # DEPENDENCYPART_ARC
(17,11),-0.376148 # DEPENDENCYPART_ARC
(17,12),-0.137612 # DEPENDENCYPART_ARC
(17,13),0.628596 # DEPENDENCYPART_ARC
(17,14),0.184182 # DEPENDENCYPART_ARC
(17,15),0.519521 # DEPENDENCYPART_ARC
(17,16),2.87143 # DEPENDENCYPART_ARC
(17,18),-0.73211 # DEPENDENCYPART_ARC
(17,19),-0.695623 # DEPENDENCYPART_ARC
(17,20),-1.00941 # DEPENDENCYPART_ARC
(17,21),-1.03275 # DEPENDENCYPART_ARC
(18,1),-0.809689 # DEPENDENCYPART_ARC
(18,2),-1.39149 # DEPENDENCYPART_ARC
(18,3),-2.02629 # DEPENDENCYPART_ARC
(18,4),-6.8549 # DEPENDENCYPART_ARC
(18,5),-6.41645 # DEPENDENCYPART_ARC
(18,6),-1.12446 # DEPENDENCYPART_ARC
(18,7),-1.44095 # DEPENDENCYPART_ARC
(18,8),-2.25172 # DEPENDENCYPART_ARC
(18,9),-1.17809 # DEPENDENCYPART_ARC
(18,10),-2.94211 # DEPENDENCYPART_ARC
(18,11),-0.665068 # DEPENDENCYPART_ARC
(18,12),-0.489781 # DEPENDENCYPART_ARC
(18,13),-1.44825 # DEPENDENCYPART_ARC
(18,14),-1.17139 # DEPENDENCYPART_ARC
(18,15),-0.320993 # DEPENDENCYPART_ARC
(18,16),0.557805 # DEPENDENCYPART_ARC
(18,17),0.233396 # DEPENDENCYPART_ARC
(18,19),-0.175949 # DEPENDENCYPART_ARC
(18,20),-0.704966 # DEPENDENCYPART_ARC
(18,21),-0.158098 # DEPENDENCYPART_ARC
(19,1),-2.22563 # DEPENDENCYPART_ARC
(19,2),-0.894973 # DEPENDENCYPART_ARC
(19,3),-2.35769 # DEPENDENCYPART_ARC
(19,4),-1.18062 # DEPENDENCYPART_ARC
(19,5),-1.21728 # DEPENDENCYPART_ARC
(19,6),-0.736291 # DEPENDENCYPART_ARC
(19,7),-1.99025 # DEPENDENCYPART_ARC
(19,8),-1.1216 # DEPENDENCYPART_ARC
(19,9),-0.856275 # DEPENDENCYPART_ARC
(19,10),-1.24306 # DEPENDENCYPART_ARC
(19,11),-0.714725 # DEPENDENCYPART_ARC
(19,12),-0.609156 # DEPENDENCYPART_ARC
(19,13),-1.87928 # DEPENDENCYPART_ARC
(19,14),-2.03669 # DEPENDENCYPART_ARC
(19,15),-0.0059508 # DEPENDENCYPART_ARC
(19,16),-0.567662 # DEPENDENCYPART_ARC
(19,17),-0.208814 # DEPENDENCYPART_ARC
(19,18),-0.360182 # DEPENDENCYPART_ARC
(19,20),-0.354321 # DEPENDENCYPART_ARC
(19,21),-0.00146858 # DEPENDENCYPART_ARC
(20,1),0.495827 # DEPENDENCYPART_ARC
(20,2),-0.705925 # DEPENDENCYPART_ARC
(20,3),-1.03076 # DEPENDENCYPART_ARC
(20,4),-7.83295 # DEPENDENCYPART_ARC
(20,5),-7.35155 # DEPENDENCYPART_ARC
(20,6),-0.557746 # DEPENDENCYPART_ARC
(20,7),-0.251272 # DEPENDENCYPART_ARC
(20,8),0.207807 # DEPENDENCYPART_ARC
(20,9),-0.123619 # DEPENDENCYPART_ARC
(20,10),-4.32215 # DEPENDENCYPART_ARC
(20,11),-0.16358 # DEPENDENCYPART_ARC
(20,12),-0.402651 # DEPENDENCYPART_ARC
(20,13),-0.0431281 # DEPENDENCYPART_ARC
(20,14),0.0134244 # DEPENDENCYPART_ARC
(20,15),1.90311 # DEPENDENCYPART_ARC
(20,16),-0.496663 # DEPENDENCYPART_ARC
(20,17),1.66032 # DEPENDENCYPART_ARC
(20,18),2.31967 # DEPENDENCYPART_ARC
(20,19),2.91218 # DEPENDENCYPART_ARC
(20,21),-0.264651 # DEPENDENCYPART_ARC
(21,1),-0.201259 # DEPENDENCYPART_ARC
(21,2),-1.17405 # DEPENDENCYPART_ARC
(21,3),-0.54886 # DEPENDENCYPART_ARC
(21,4),-5.90039 # DEPENDENCYPART_ARC
(21,5),-5.13782 # DEPENDENCYPART_ARC
(21,6),-0.987384 # DEPENDENCYPART_ARC
(21,7),-0.05075 # DEPENDENCYPART_ARC
(21,8),-0.0175893 # DEPENDENCYPART_ARC
(21,9),-0.967415 # DEPENDENCYPART_ARC
(21,10),-3.38804 # DEPENDENCYPART_ARC
(21,11),-1.05492 # DEPENDENCYPART_ARC
(21,12),-0.0315028 # DEPENDENCYPART_ARC
(21,13),-0.0169068 # DEPENDENCYPART_ARC
(21,14),0.302092 # DEPENDENCYPART_ARC
(21,15),0.290253 # DEPENDENCYPART_ARC
(21,16),-1.56164 # DEPENDENCYPART_ARC
(21,17),0.224691 # DEPENDENCYPART_ARC
(21,18),0.435085 # DEPENDENCYPART_ARC
(21,19),0.51172 # DEPENDENCYPART_ARC
(21,20),1.6516 # DEPENDENCYPART_ARC
