# _root_ Cadı onu _ ziyarete_geldiğinde , aşağıdan " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=3,3,4,21,0,21,0,9,10,13,0,13,18,16,16,17,13,20,0,21,22,0,
#predictedHeads=3,3,4,5,6,7,0,9,10,11,0,13,18,16,16,17,21,0,0,21,22,0,
(4,18),-1.53457 # DEPENDENCYPART_ARC
(4,19),-1.56643 # DEPENDENCYPART_ARC
(4,20),-1.08978 # DEPENDENCYPART_ARC
(4,21),-1.73971 # DEPENDENCYPART_ARC
(4,22),-1.96517 # DEPENDENCYPART_ARC
(5,1),0.596767 # DEPENDENCYPART_ARC
(5,2),0.177633 # DEPENDENCYPART_ARC
(5,3),0.144223 # DEPENDENCYPART_ARC
(5,4),1.28227 # DEPENDENCYPART_ARC
(5,6),0.307738 # DEPENDENCYPART_ARC
(5,7),-0.272638 # DEPENDENCYPART_ARC
(5,8),-0.221698 # DEPENDENCYPART_ARC
(5,9),-0.529678 # DEPENDENCYPART_ARC
(5,10),-0.473028 # DEPENDENCYPART_ARC
(5,11),-0.649088 # DEPENDENCYPART_ARC
(5,12),-0.504322 # DEPENDENCYPART_ARC
(5,13),-0.313794 # DEPENDENCYPART_ARC
(5,14),-0.264611 # DEPENDENCYPART_ARC
(5,15),-1.08388 # DEPENDENCYPART_ARC
(5,16),-0.955999 # DEPENDENCYPART_ARC
(5,17),-0.950484 # DEPENDENCYPART_ARC
(5,18),-1.51917 # DEPENDENCYPART_ARC
(5,19),-1.49011 # DEPENDENCYPART_ARC
(5,20),-0.45693 # DEPENDENCYPART_ARC
(5,21),-0.490404 # DEPENDENCYPART_ARC
(5,22),-2.2918 # DEPENDENCYPART_ARC
(6,1),-0.830962 # DEPENDENCYPART_ARC
(6,2),-1.09515 # DEPENDENCYPART_ARC
(6,3),0.364042 # DEPENDENCYPART_ARC
(6,4),-0.888475 # DEPENDENCYPART_ARC
(6,5),2.09321 # DEPENDENCYPART_ARC
(6,7),0.88302 # DEPENDENCYPART_ARC
(6,8),-0.0463389 # DEPENDENCYPART_ARC
(6,9),0.0179728 # DEPENDENCYPART_ARC
(6,10),-0.505044 # DEPENDENCYPART_ARC
(6,11),-0.431628 # DEPENDENCYPART_ARC
(6,12),-0.603305 # DEPENDENCYPART_ARC
(6,13),-0.988939 # DEPENDENCYPART_ARC
(6,14),-0.774345 # DEPENDENCYPART_ARC
(6,15),-0.300177 # DEPENDENCYPART_ARC
(6,16),-0.897628 # DEPENDENCYPART_ARC
(6,17),-1.71793 # DEPENDENCYPART_ARC
(6,18),-0.648216 # DEPENDENCYPART_ARC
(6,19),-0.784957 # DEPENDENCYPART_ARC
(6,20),-0.19735 # DEPENDENCYPART_ARC
(6,21),-1.62267 # DEPENDENCYPART_ARC
(6,22),-1.15106 # DEPENDENCYPART_ARC
(7,1),-0.477374 # DEPENDENCYPART_ARC
(7,2),-0.790648 # DEPENDENCYPART_ARC
(7,3),-0.88358 # DEPENDENCYPART_ARC
(7,4),-0.587345 # DEPENDENCYPART_ARC
(7,5),-0.363467 # DEPENDENCYPART_ARC
(7,6),0.993013 # DEPENDENCYPART_ARC
(7,8),0.305245 # DEPENDENCYPART_ARC
(7,9),-0.125222 # DEPENDENCYPART_ARC
(7,10),-0.135545 # DEPENDENCYPART_ARC
(7,11),-0.226765 # DEPENDENCYPART_ARC
(7,12),-0.403972 # DEPENDENCYPART_ARC
(7,13),-0.262855 # DEPENDENCYPART_ARC
(7,14),-0.061297 # DEPENDENCYPART_ARC
(7,15),-0.767335 # DEPENDENCYPART_ARC
(7,16),-0.254134 # DEPENDENCYPART_ARC
(7,17),-0.188954 # DEPENDENCYPART_ARC
(7,18),-0.971813 # DEPENDENCYPART_ARC
(7,19),-1.0733 # DEPENDENCYPART_ARC
(7,20),-0.123103 # DEPENDENCYPART_ARC
(7,21),-0.453584 # DEPENDENCYPART_ARC
(7,22),-1.70344 # DEPENDENCYPART_ARC
(8,1),-0.358541 # DEPENDENCYPART_ARC
(8,2),-0.343948 # DEPENDENCYPART_ARC
(8,3),0.0281678 # DEPENDENCYPART_ARC
(8,4),-0.974816 # DEPENDENCYPART_ARC
(8,5),0.847141 # DEPENDENCYPART_ARC
(8,6),-0.189963 # DEPENDENCYPART_ARC
(8,7),1.94664 # DEPENDENCYPART_ARC
(8,9),0.22155 # DEPENDENCYPART_ARC
(8,10),-0.399451 # DEPENDENCYPART_ARC
(8,11),-0.999925 # DEPENDENCYPART_ARC
(8,12),-1.07274 # DEPENDENCYPART_ARC
(8,13),-1.7008 # DEPENDENCYPART_ARC
(8,14),-0.933655 # DEPENDENCYPART_ARC
(8,15),-1.03172 # DEPENDENCYPART_ARC
(8,16),-1.39694 # DEPENDENCYPART_ARC
(8,17),-1.92576 # DEPENDENCYPART_ARC
(8,18),-1.21573 # DEPENDENCYPART_ARC
(8,19),-1.35784 # DEPENDENCYPART_ARC
(8,20),-0.924961 # DEPENDENCYPART_ARC
(8,21),-2.50289 # DEPENDENCYPART_ARC
(8,22),-1.74921 # DEPENDENCYPART_ARC
(9,1),-0.191706 # DEPENDENCYPART_ARC
(9,2),-0.659408 # DEPENDENCYPART_ARC
(9,3),-1.67193 # DEPENDENCYPART_ARC
(9,4),-0.567249 # DEPENDENCYPART_ARC
(9,5),-0.412483 # DEPENDENCYPART_ARC
(9,6),0.307247 # DEPENDENCYPART_ARC
(9,7),0.0921152 # DEPENDENCYPART_ARC
(9,8),1.66529 # DEPENDENCYPART_ARC
(9,10),0.528724 # DEPENDENCYPART_ARC
(9,11),-0.0264557 # DEPENDENCYPART_ARC
(9,12),0.0169934 # DEPENDENCYPART_ARC
(9,13),0.135543 # DEPENDENCYPART_ARC
(9,14),-0.00693411 # DEPENDENCYPART_ARC
(9,15),-0.718615 # DEPENDENCYPART_ARC
(9,16),-0.277609 # DEPENDENCYPART_ARC
(9,17),-0.332496 # DEPENDENCYPART_ARC
(9,18),-0.736288 # DEPENDENCYPART_ARC
(9,19),-0.850279 # DEPENDENCYPART_ARC
(9,20),-0.141948 # DEPENDENCYPART_ARC
(9,21),-0.220843 # DEPENDENCYPART_ARC
(9,22),-1.78239 # DEPENDENCYPART_ARC
(10,1),-1.10388 # DEPENDENCYPART_ARC
(10,2),-0.965247 # DEPENDENCYPART_ARC
(10,3),-1.22951 # DEPENDENCYPART_ARC
(10,4),-1.8274 # DEPENDENCYPART_ARC
(10,5),-0.164554 # DEPENDENCYPART_ARC
(10,6),-1.12136 # DEPENDENCYPART_ARC
(10,7),0.0728218 # DEPENDENCYPART_ARC
(10,8),-0.162478 # DEPENDENCYPART_ARC
(10,9),1.81633 # DEPENDENCYPART_ARC
(10,11),0.336709 # DEPENDENCYPART_ARC
(10,12),-0.339853 # DEPENDENCYPART_ARC
(10,13),-1.05298 # DEPENDENCYPART_ARC
(10,14),-0.140143 # DEPENDENCYPART_ARC
(10,15),-0.463572 # DEPENDENCYPART_ARC
(10,16),-0.693147 # DEPENDENCYPART_ARC
(10,17),-1.37585 # DEPENDENCYPART_ARC
(10,18),-0.837839 # DEPENDENCYPART_ARC
(10,19),-0.6878 # DEPENDENCYPART_ARC
(10,20),-0.263159 # DEPENDENCYPART_ARC
(10,21),-1.85756 # DEPENDENCYPART_ARC
(10,22),-1.20986 # DEPENDENCYPART_ARC
(11,1),-0.545212 # DEPENDENCYPART_ARC
(11,2),-0.530534 # DEPENDENCYPART_ARC
(11,3),-1.53338 # DEPENDENCYPART_ARC
(11,4),-0.78887 # DEPENDENCYPART_ARC
(11,5),-0.424151 # DEPENDENCYPART_ARC
(11,6),-0.341608 # DEPENDENCYPART_ARC
(11,7),-0.201921 # DEPENDENCYPART_ARC
(11,8),0.146109 # DEPENDENCYPART_ARC
(11,9),0.0170006 # DEPENDENCYPART_ARC
(11,10),1.25255 # DEPENDENCYPART_ARC
(11,12),0.00351859 # DEPENDENCYPART_ARC
(11,13),-0.125939 # DEPENDENCYPART_ARC
(11,14),-0.182335 # DEPENDENCYPART_ARC
(11,15),-0.545495 # DEPENDENCYPART_ARC
(11,16),-0.535072 # DEPENDENCYPART_ARC
(11,17),-0.457104 # DEPENDENCYPART_ARC
(11,18),-0.56319 # DEPENDENCYPART_ARC
(11,19),-0.856429 # DEPENDENCYPART_ARC
(11,20),-0.0293021 # DEPENDENCYPART_ARC
(11,21),-0.217028 # DEPENDENCYPART_ARC
(11,22),-1.3001 # DEPENDENCYPART_ARC
(12,1),-0.145232 # DEPENDENCYPART_ARC
(12,2),-0.789997 # DEPENDENCYPART_ARC
(12,3),-3.50666 # DEPENDENCYPART_ARC
(12,4),-0.467767 # DEPENDENCYPART_ARC
(12,5),-1.43888 # DEPENDENCYPART_ARC
(12,6),-0.496096 # DEPENDENCYPART_ARC
(12,7),-0.905807 # DEPENDENCYPART_ARC
(12,8),-0.428487 # DEPENDENCYPART_ARC
(12,9),-0.767259 # DEPENDENCYPART_ARC
(12,10),0.158583 # DEPENDENCYPART_ARC
(12,11),0.855501 # DEPENDENCYPART_ARC
(12,13),0.637144 # DEPENDENCYPART_ARC
(12,14),0.861672 # DEPENDENCYPART_ARC
(12,15),-0.413973 # DEPENDENCYPART_ARC
(12,16),0.34515 # DEPENDENCYPART_ARC
(12,17),0.463277 # DEPENDENCYPART_ARC
(12,18),-0.188131 # DEPENDENCYPART_ARC
(12,19),-0.331021 # DEPENDENCYPART_ARC
(12,20),-0.000436932 # DEPENDENCYPART_ARC
(12,21),0.15854 # DEPENDENCYPART_ARC
(12,22),-0.780435 # DEPENDENCYPART_ARC
(13,1),0.451121 # DEPENDENCYPART_ARC
(13,2),1.69077 # DEPENDENCYPART_ARC
(13,3),-4.07069 # DEPENDENCYPART_ARC
(13,4),-0.0151775 # DEPENDENCYPART_ARC
(13,5),-0.58712 # DEPENDENCYPART_ARC
(13,6),0.190981 # DEPENDENCYPART_ARC
(13,7),-0.458027 # DEPENDENCYPART_ARC
(13,8),0.339873 # DEPENDENCYPART_ARC
(13,9),-0.248011 # DEPENDENCYPART_ARC
(13,10),0.568079 # DEPENDENCYPART_ARC
(13,11),0.857842 # DEPENDENCYPART_ARC
(13,12),2.46954 # DEPENDENCYPART_ARC
(13,14),-0.183373 # DEPENDENCYPART_ARC
(13,15),-0.217615 # DEPENDENCYPART_ARC
(13,16),-0.324344 # DEPENDENCYPART_ARC
(13,17),0.635208 # DEPENDENCYPART_ARC
(13,18),-0.400557 # DEPENDENCYPART_ARC
(13,19),-0.586665 # DEPENDENCYPART_ARC
(13,20),-0.102027 # DEPENDENCYPART_ARC
(13,21),-0.792104 # DEPENDENCYPART_ARC
(13,22),-0.822092 # DEPENDENCYPART_ARC
(14,1),-1.79943 # DEPENDENCYPART_ARC
(14,2),-1.27867 # DEPENDENCYPART_ARC
(14,3),-3.02838 # DEPENDENCYPART_ARC
(14,4),-2.36375 # DEPENDENCYPART_ARC
(14,5),-1.10357 # DEPENDENCYPART_ARC
(14,6),-1.4722 # DEPENDENCYPART_ARC
(14,7),-0.864368 # DEPENDENCYPART_ARC
(14,8),-0.667374 # DEPENDENCYPART_ARC
(14,9),-0.724775 # DEPENDENCYPART_ARC
(14,10),-0.764339 # DEPENDENCYPART_ARC
(14,11),-0.0656766 # DEPENDENCYPART_ARC
(14,12),0.193795 # DEPENDENCYPART_ARC
(14,13),1.68253 # DEPENDENCYPART_ARC
(14,15),0.62529 # DEPENDENCYPART_ARC
(14,16),-0.023757 # DEPENDENCYPART_ARC
(14,17),-0.891931 # DEPENDENCYPART_ARC
(14,18),-0.313683 # DEPENDENCYPART_ARC
(14,19),-0.671224 # DEPENDENCYPART_ARC
(14,20),-0.225208 # DEPENDENCYPART_ARC
(14,21),-1.55641 # DEPENDENCYPART_ARC
(14,22),-0.800069 # DEPENDENCYPART_ARC
(15,1),-1.25551 # DEPENDENCYPART_ARC
(15,2),-0.43828 # DEPENDENCYPART_ARC
(15,3),-4.65189 # DEPENDENCYPART_ARC
(15,4),-1.00458 # DEPENDENCYPART_ARC
(15,5),-0.925499 # DEPENDENCYPART_ARC
(15,6),-0.789157 # DEPENDENCYPART_ARC
(15,7),-0.317751 # DEPENDENCYPART_ARC
(15,8),-0.625835 # DEPENDENCYPART_ARC
(15,9),-0.530692 # DEPENDENCYPART_ARC
(15,10),-0.479305 # DEPENDENCYPART_ARC
(15,11),0.162248 # DEPENDENCYPART_ARC
(15,12),-0.560572 # DEPENDENCYPART_ARC
(15,13),0.164524 # DEPENDENCYPART_ARC
(15,14),1.56611 # DEPENDENCYPART_ARC
(15,16),0.712539 # DEPENDENCYPART_ARC
(15,17),0.307224 # DEPENDENCYPART_ARC
(15,18),-0.0426747 # DEPENDENCYPART_ARC
(15,19),-0.167303 # DEPENDENCYPART_ARC
(15,20),-0.338646 # DEPENDENCYPART_ARC
(15,21),-0.556603 # DEPENDENCYPART_ARC
(15,22),-0.421805 # DEPENDENCYPART_ARC
(16,1),-0.154719 # DEPENDENCYPART_ARC
(16,2),-0.248425 # DEPENDENCYPART_ARC
(16,3),-3.679 # DEPENDENCYPART_ARC
(16,4),-0.820182 # DEPENDENCYPART_ARC
(16,5),-0.31878 # DEPENDENCYPART_ARC
(16,6),-0.233411 # DEPENDENCYPART_ARC
(16,7),-0.0420688 # DEPENDENCYPART_ARC
(16,8),0.734109 # DEPENDENCYPART_ARC
(16,9),0.147515 # DEPENDENCYPART_ARC
(16,10),0.564951 # DEPENDENCYPART_ARC
(16,11),0.662168 # DEPENDENCYPART_ARC
(16,12),-0.937284 # DEPENDENCYPART_ARC
(16,13),1.84051 # DEPENDENCYPART_ARC
(16,14),2.72993 # DEPENDENCYPART_ARC
(16,15),2.8911 # DEPENDENCYPART_ARC
(16,17),-0.446028 # DEPENDENCYPART_ARC
(16,18),-0.738198 # DEPENDENCYPART_ARC
(16,19),-1.16941 # DEPENDENCYPART_ARC
(16,20),-0.964947 # DEPENDENCYPART_ARC
(16,21),-2.11042 # DEPENDENCYPART_ARC
(16,22),-1.33212 # DEPENDENCYPART_ARC
(17,1),-0.646905 # DEPENDENCYPART_ARC
(17,2),-0.279575 # DEPENDENCYPART_ARC
(17,3),-4.29778 # DEPENDENCYPART_ARC
(17,4),-0.887454 # DEPENDENCYPART_ARC
(17,5),0.407359 # DEPENDENCYPART_ARC
(17,6),-0.335633 # DEPENDENCYPART_ARC
(17,7),0.730043 # DEPENDENCYPART_ARC
(17,8),0.224259 # DEPENDENCYPART_ARC
(17,9),0.861578 # DEPENDENCYPART_ARC
(17,10),0.00025454 # DEPENDENCYPART_ARC
(17,11),1.47638 # DEPENDENCYPART_ARC
(17,12),-1.34341 # DEPENDENCYPART_ARC
(17,13),1.59244 # DEPENDENCYPART_ARC
(17,14),1.73014 # DEPENDENCYPART_ARC
(17,15),1.39854 # DEPENDENCYPART_ARC
(17,16),3.26027 # DEPENDENCYPART_ARC
(17,18),-0.0776095 # DEPENDENCYPART_ARC
(17,19),-0.477939 # DEPENDENCYPART_ARC
(17,20),-0.534967 # DEPENDENCYPART_ARC
(17,21),-1.34934 # DEPENDENCYPART_ARC
(17,22),-0.854242 # DEPENDENCYPART_ARC
(18,1),-0.681258 # DEPENDENCYPART_ARC
(18,2),-0.300557 # DEPENDENCYPART_ARC
(18,3),-3.65884 # DEPENDENCYPART_ARC
(18,4),-0.916982 # DEPENDENCYPART_ARC
(18,5),-0.413321 # DEPENDENCYPART_ARC
(18,6),-0.53689 # DEPENDENCYPART_ARC
(18,7),0.195638 # DEPENDENCYPART_ARC
(18,8),-0.0800904 # DEPENDENCYPART_ARC
(18,9),-0.103958 # DEPENDENCYPART_ARC
(18,10),0.18449 # DEPENDENCYPART_ARC
(18,11),0.883442 # DEPENDENCYPART_ARC
(18,12),-1.18655 # DEPENDENCYPART_ARC
(18,13),1.89285 # DEPENDENCYPART_ARC
(18,14),0.692306 # DEPENDENCYPART_ARC
(18,15),-0.157457 # DEPENDENCYPART_ARC
(18,16),0.967022 # DEPENDENCYPART_ARC
(18,17),1.06069 # DEPENDENCYPART_ARC
(18,19),0.280623 # DEPENDENCYPART_ARC
(18,20),-0.038333 # DEPENDENCYPART_ARC
(18,21),0.0882056 # DEPENDENCYPART_ARC
(18,22),-0.194627 # DEPENDENCYPART_ARC
(19,1),-1.23279 # DEPENDENCYPART_ARC
(19,2),-0.93375 # DEPENDENCYPART_ARC
(19,3),-3.87201 # DEPENDENCYPART_ARC
(19,4),-1.37218 # DEPENDENCYPART_ARC
(19,5),-0.806494 # DEPENDENCYPART_ARC
(19,6),-1.03316 # DEPENDENCYPART_ARC
(19,7),-0.264799 # DEPENDENCYPART_ARC
(19,8),-0.945953 # DEPENDENCYPART_ARC
(19,9),-0.631847 # DEPENDENCYPART_ARC
(19,10),-0.548152 # DEPENDENCYPART_ARC
(19,11),0.0208899 # DEPENDENCYPART_ARC
(19,12),-2.1741 # DEPENDENCYPART_ARC
(19,13),0.484856 # DEPENDENCYPART_ARC
(19,14),-0.555867 # DEPENDENCYPART_ARC
(19,15),-1.44612 # DEPENDENCYPART_ARC
(19,16),-0.3599 # DEPENDENCYPART_ARC
(19,17),-0.360732 # DEPENDENCYPART_ARC
(19,18),0.999454 # DEPENDENCYPART_ARC
(19,20),-0.461856 # DEPENDENCYPART_ARC
(19,21),-0.954258 # DEPENDENCYPART_ARC
(19,22),-0.927923 # DEPENDENCYPART_ARC
(20,1),-1.33684 # DEPENDENCYPART_ARC
(20,2),-1.78703 # DEPENDENCYPART_ARC
(20,3),-1.20612 # DEPENDENCYPART_ARC
(20,4),-0.834594 # DEPENDENCYPART_ARC
(20,5),-0.377942 # DEPENDENCYPART_ARC
(20,6),-0.702131 # DEPENDENCYPART_ARC
(20,7),-0.0622122 # DEPENDENCYPART_ARC
(20,8),-0.210113 # DEPENDENCYPART_ARC
(20,9),0.124208 # DEPENDENCYPART_ARC
(20,10),-0.00939666 # DEPENDENCYPART_ARC
(20,11),0.847301 # DEPENDENCYPART_ARC
(20,12),-0.289091 # DEPENDENCYPART_ARC
(20,13),0.674537 # DEPENDENCYPART_ARC
(20,14),0.480743 # DEPENDENCYPART_ARC
(20,15),0.261117 # DEPENDENCYPART_ARC
(20,16),1.061 # DEPENDENCYPART_ARC
(20,17),0.870851 # DEPENDENCYPART_ARC
(20,18),1.76167 # DEPENDENCYPART_ARC
(20,19),2.17789 # DEPENDENCYPART_ARC
(20,21),-0.0288213 # DEPENDENCYPART_ARC
(20,22),-0.136124 # DEPENDENCYPART_ARC
(21,1),0.858064 # DEPENDENCYPART_ARC
(21,2),-0.706966 # DEPENDENCYPART_ARC
(21,3),-7.9244 # DEPENDENCYPART_ARC
(21,4),0.632576 # DEPENDENCYPART_ARC
(21,5),-1.1122 # DEPENDENCYPART_ARC
(21,6),0.203536 # DEPENDENCYPART_ARC
(21,7),-1.49685 # DEPENDENCYPART_ARC
(21,8),0.592097 # DEPENDENCYPART_ARC
(21,9),-0.82984 # DEPENDENCYPART_ARC
(21,10),0.588659 # DEPENDENCYPART_ARC
(21,11),-0.0124532 # DEPENDENCYPART_ARC
(21,12),-3.38029 # DEPENDENCYPART_ARC
(21,13),0.278086 # DEPENDENCYPART_ARC
(21,14),0.754293 # DEPENDENCYPART_ARC
(21,15),-1.9036 # DEPENDENCYPART_ARC
(21,16),1.06198 # DEPENDENCYPART_ARC
(21,17),1.55868 # DEPENDENCYPART_ARC
(21,18),-0.540571 # DEPENDENCYPART_ARC
(21,19),0.711316 # DEPENDENCYPART_ARC
(21,20),2.74195 # DEPENDENCYPART_ARC
(21,22),-0.136436 # DEPENDENCYPART_ARC
(22,1),-1.077 # DEPENDENCYPART_ARC
(22,2),-0.70214 # DEPENDENCYPART_ARC
(22,3),-4.94147 # DEPENDENCYPART_ARC
(22,4),-1.00718 # DEPENDENCYPART_ARC
(22,5),-1.34709 # DEPENDENCYPART_ARC
(22,6),-0.685104 # DEPENDENCYPART_ARC
(22,7),-0.697903 # DEPENDENCYPART_ARC
(22,8),-0.643095 # DEPENDENCYPART_ARC
(22,9),-0.982556 # DEPENDENCYPART_ARC
(22,10),-0.549055 # DEPENDENCYPART_ARC
(22,11),-0.0481323 # DEPENDENCYPART_ARC
(22,12),-3.04821 # DEPENDENCYPART_ARC
(22,13),0.623887 # DEPENDENCYPART_ARC
(22,14),-0.264316 # DEPENDENCYPART_ARC
(22,15),-2.20711 # DEPENDENCYPART_ARC
(22,16),0.0851361 # DEPENDENCYPART_ARC
(22,17),-0.0636824 # DEPENDENCYPART_ARC
(22,18),0.186642 # DEPENDENCYPART_ARC
(22,19),0.339736 # DEPENDENCYPART_ARC
(22,20),-0.117938 # DEPENDENCYPART_ARC
(22,21),1.78029 # DEPENDENCYPART_ARC
