# _root_ Bir konuda bilgi _ verirken veya bir gerçeği _ savunurken , _ türlü kanıtlardan _ _ faydalanan , bunları bilimsel biçimde _ inceleyen gazete ve dergi yazılarına makale _ denir .
#goldHeads=2,4,4,5,6,10,8,9,10,16,0,13,14,16,16,17,18,23,22,21,22,23,24,25,26,27,30,30,30,31,0,
#predictedHeads=2,4,4,5,6,7,8,9,10,30,0,13,14,16,16,17,18,30,22,21,22,23,24,25,26,27,30,30,30,31,0,
(2,6),-0.343113 # DEPENDENCYPART_ARC
(2,7),-0.4326 # DEPENDENCYPART_ARC
(2,8),-1.04924 # DEPENDENCYPART_ARC
(2,9),-1.05735 # DEPENDENCYPART_ARC
(2,10),-0.804006 # DEPENDENCYPART_ARC
(2,11),-0.533783 # DEPENDENCYPART_ARC
(2,12),-1.27277 # DEPENDENCYPART_ARC
(2,13),-1.1544 # DEPENDENCYPART_ARC
(2,14),-2.52776 # DEPENDENCYPART_ARC
(2,15),-2.07236 # DEPENDENCYPART_ARC
(2,16),-1.23728 # DEPENDENCYPART_ARC
(2,17),-1.07366 # DEPENDENCYPART_ARC
(2,18),-1.13301 # DEPENDENCYPART_ARC
(2,19),-2.3505 # DEPENDENCYPART_ARC
(2,20),-1.22796 # DEPENDENCYPART_ARC
(2,21),-2.96034 # DEPENDENCYPART_ARC
(2,22),-1.41649 # DEPENDENCYPART_ARC
(2,23),-1.15222 # DEPENDENCYPART_ARC
(2,24),-2.52288 # DEPENDENCYPART_ARC
(2,25),-2.11405 # DEPENDENCYPART_ARC
(2,26),-2.42382 # DEPENDENCYPART_ARC
(2,27),-2.42515 # DEPENDENCYPART_ARC
(2,28),-2.73831 # DEPENDENCYPART_ARC
(2,29),-1.42457 # DEPENDENCYPART_ARC
(2,30),-1.50431 # DEPENDENCYPART_ARC
(2,31),-1.98068 # DEPENDENCYPART_ARC
(3,1),1.19899 # DEPENDENCYPART_ARC
(3,2),1.30203 # DEPENDENCYPART_ARC
(3,4),-0.312118 # DEPENDENCYPART_ARC
(3,5),0.0743887 # DEPENDENCYPART_ARC
(3,6),-0.150564 # DEPENDENCYPART_ARC
(3,7),-0.151916 # DEPENDENCYPART_ARC
(3,8),-1.30082 # DEPENDENCYPART_ARC
(3,9),-1.3742 # DEPENDENCYPART_ARC
(3,10),-0.758217 # DEPENDENCYPART_ARC
(3,11),-0.643947 # DEPENDENCYPART_ARC
(3,12),-1.04314 # DEPENDENCYPART_ARC
(3,13),-0.884385 # DEPENDENCYPART_ARC
(3,14),-2.53587 # DEPENDENCYPART_ARC
(3,15),-1.80608 # DEPENDENCYPART_ARC
(3,16),-1.5893 # DEPENDENCYPART_ARC
(3,17),-0.817433 # DEPENDENCYPART_ARC
(3,18),-1.05447 # DEPENDENCYPART_ARC
(3,19),-2.03481 # DEPENDENCYPART_ARC
(3,20),-1.10595 # DEPENDENCYPART_ARC
(3,21),-3.21 # DEPENDENCYPART_ARC
(3,22),-1.54223 # DEPENDENCYPART_ARC
(3,23),-0.960154 # DEPENDENCYPART_ARC
(3,24),-2.44933 # DEPENDENCYPART_ARC
(3,25),-1.83608 # DEPENDENCYPART_ARC
(3,26),-2.31345 # DEPENDENCYPART_ARC
(3,27),-2.56832 # DEPENDENCYPART_ARC
(3,28),-2.56793 # DEPENDENCYPART_ARC
(3,29),-1.3311 # DEPENDENCYPART_ARC
(3,30),-2.00681 # DEPENDENCYPART_ARC
(3,31),-1.93433 # DEPENDENCYPART_ARC
(4,1),0.396348 # DEPENDENCYPART_ARC
(4,2),1.97097 # DEPENDENCYPART_ARC
(4,3),2.99966 # DEPENDENCYPART_ARC
(4,5),0.763586 # DEPENDENCYPART_ARC
(4,6),0.541386 # DEPENDENCYPART_ARC
(4,7),-0.950847 # DEPENDENCYPART_ARC
(4,8),-0.303961 # DEPENDENCYPART_ARC
(4,9),-1.4485 # DEPENDENCYPART_ARC
(4,10),-0.181088 # DEPENDENCYPART_ARC
(4,11),-1.09904 # DEPENDENCYPART_ARC
(4,12),-2.03366 # DEPENDENCYPART_ARC
(4,13),-1.25231 # DEPENDENCYPART_ARC
(4,14),-1.51463 # DEPENDENCYPART_ARC
(4,15),-2.78552 # DEPENDENCYPART_ARC
(4,16),-2.22771 # DEPENDENCYPART_ARC
(4,17),-1.71356 # DEPENDENCYPART_ARC
(4,18),-1.47991 # DEPENDENCYPART_ARC
(4,19),-1.085 # DEPENDENCYPART_ARC
(4,20),-1.87316 # DEPENDENCYPART_ARC
(4,21),-2.98024 # DEPENDENCYPART_ARC
(4,22),-2.61849 # DEPENDENCYPART_ARC
(4,23),-2.09393 # DEPENDENCYPART_ARC
(4,24),-3.12429 # DEPENDENCYPART_ARC
(4,25),-3.66195 # DEPENDENCYPART_ARC
(4,26),-3.48418 # DEPENDENCYPART_ARC
(4,27),-3.72121 # DEPENDENCYPART_ARC
(4,28),-4.02135 # DEPENDENCYPART_ARC
(4,29),-3.01001 # DEPENDENCYPART_ARC
(4,30),-1.66562 # DEPENDENCYPART_ARC
(4,31),-2.50712 # DEPENDENCYPART_ARC
(5,1),0.679928 # DEPENDENCYPART_ARC
(5,2),1.83904 # DEPENDENCYPART_ARC
(5,3),1.72288 # DEPENDENCYPART_ARC
(5,4),3.17154 # DEPENDENCYPART_ARC
(5,6),-0.075816 # DEPENDENCYPART_ARC
(5,7),-1.27378 # DEPENDENCYPART_ARC
(5,8),-1.84058 # DEPENDENCYPART_ARC
(5,9),-1.6502 # DEPENDENCYPART_ARC
(5,10),-1.75046 # DEPENDENCYPART_ARC
(5,11),-1.70523 # DEPENDENCYPART_ARC
(5,12),-2.1708 # DEPENDENCYPART_ARC
(5,13),-2.20787 # DEPENDENCYPART_ARC
(5,14),-2.16085 # DEPENDENCYPART_ARC
(5,15),-2.27249 # DEPENDENCYPART_ARC
(5,16),-2.18825 # DEPENDENCYPART_ARC
(5,17),-2.33515 # DEPENDENCYPART_ARC
(5,18),-2.20069 # DEPENDENCYPART_ARC
(5,19),-1.62963 # DEPENDENCYPART_ARC
(5,20),-2.37255 # DEPENDENCYPART_ARC
(5,21),-2.63241 # DEPENDENCYPART_ARC
(5,22),-2.31966 # DEPENDENCYPART_ARC
(5,23),-2.52984 # DEPENDENCYPART_ARC
(5,24),-2.71298 # DEPENDENCYPART_ARC
(5,25),-3.08598 # DEPENDENCYPART_ARC
(5,26),-2.77859 # DEPENDENCYPART_ARC
(5,27),-2.8238 # DEPENDENCYPART_ARC
(5,28),-2.95522 # DEPENDENCYPART_ARC
(5,29),-2.54064 # DEPENDENCYPART_ARC
(5,30),-2.4492 # DEPENDENCYPART_ARC
(5,31),-3.00146 # DEPENDENCYPART_ARC
(6,1),0.201179 # DEPENDENCYPART_ARC
(6,2),0.263221 # DEPENDENCYPART_ARC
(6,3),0.723284 # DEPENDENCYPART_ARC
(6,4),1.25849 # DEPENDENCYPART_ARC
(6,5),1.77269 # DEPENDENCYPART_ARC
(6,7),-0.120629 # DEPENDENCYPART_ARC
(6,8),-0.687163 # DEPENDENCYPART_ARC
(6,9),-0.777028 # DEPENDENCYPART_ARC
(6,10),-0.638339 # DEPENDENCYPART_ARC
(6,11),-0.827472 # DEPENDENCYPART_ARC
(6,12),-1.17784 # DEPENDENCYPART_ARC
(6,13),-1.11522 # DEPENDENCYPART_ARC
(6,14),-1.27199 # DEPENDENCYPART_ARC
(6,15),-1.1138 # DEPENDENCYPART_ARC
(6,16),-1.10709 # DEPENDENCYPART_ARC
(6,17),-1.21569 # DEPENDENCYPART_ARC
(6,18),-1.21338 # DEPENDENCYPART_ARC
(6,19),-1.29048 # DEPENDENCYPART_ARC
(6,20),-1.19601 # DEPENDENCYPART_ARC
(6,21),-1.43121 # DEPENDENCYPART_ARC
(6,22),-1.31501 # DEPENDENCYPART_ARC
(6,23),-1.34938 # DEPENDENCYPART_ARC
(6,24),-1.54251 # DEPENDENCYPART_ARC
(6,25),-1.17761 # DEPENDENCYPART_ARC
(6,26),-1.81323 # DEPENDENCYPART_ARC
(6,27),-1.79008 # DEPENDENCYPART_ARC
(6,28),-1.78802 # DEPENDENCYPART_ARC
(6,29),-1.85707 # DEPENDENCYPART_ARC
(6,30),-1.72238 # DEPENDENCYPART_ARC
(6,31),-2.46213 # DEPENDENCYPART_ARC
(7,1),-0.51455 # DEPENDENCYPART_ARC
(7,2),-0.604622 # DEPENDENCYPART_ARC
(7,3),-0.524804 # DEPENDENCYPART_ARC
(7,4),-0.341838 # DEPENDENCYPART_ARC
(7,5),-0.297592 # DEPENDENCYPART_ARC
(7,6),0.664806 # DEPENDENCYPART_ARC
(7,8),-0.11675 # DEPENDENCYPART_ARC
(7,9),-0.315529 # DEPENDENCYPART_ARC
(7,10),-0.349654 # DEPENDENCYPART_ARC
(7,11),-0.377815 # DEPENDENCYPART_ARC
(7,12),-0.906599 # DEPENDENCYPART_ARC
(7,13),-0.874288 # DEPENDENCYPART_ARC
(7,14),-0.914865 # DEPENDENCYPART_ARC
(7,15),-1.02347 # DEPENDENCYPART_ARC
(7,16),-0.811361 # DEPENDENCYPART_ARC
(7,17),-0.894596 # DEPENDENCYPART_ARC
(7,18),-0.856717 # DEPENDENCYPART_ARC
(7,19),-0.866722 # DEPENDENCYPART_ARC
(7,20),-1.13724 # DEPENDENCYPART_ARC
(7,21),-1.12348 # DEPENDENCYPART_ARC
(7,22),-1.06223 # DEPENDENCYPART_ARC
(7,23),-1.18974 # DEPENDENCYPART_ARC
(7,24),-1.29344 # DEPENDENCYPART_ARC
(7,25),-0.848223 # DEPENDENCYPART_ARC
(7,26),-1.49991 # DEPENDENCYPART_ARC
(7,27),-1.59104 # DEPENDENCYPART_ARC
(7,28),-1.67149 # DEPENDENCYPART_ARC
(7,29),-1.62517 # DEPENDENCYPART_ARC
(7,30),-1.63115 # DEPENDENCYPART_ARC
(7,31),-1.79361 # DEPENDENCYPART_ARC
(8,1),0.324534 # DEPENDENCYPART_ARC
(8,2),-0.210536 # DEPENDENCYPART_ARC
(8,3),0.362705 # DEPENDENCYPART_ARC
(8,4),-0.0781516 # DEPENDENCYPART_ARC
(8,5),0.261137 # DEPENDENCYPART_ARC
(8,6),0.0834335 # DEPENDENCYPART_ARC
(8,7),2.79304 # DEPENDENCYPART_ARC
(8,9),-0.259026 # DEPENDENCYPART_ARC
(8,10),0.0353938 # DEPENDENCYPART_ARC
(8,11),-0.165894 # DEPENDENCYPART_ARC
(8,12),-0.721279 # DEPENDENCYPART_ARC
(8,13),-0.793712 # DEPENDENCYPART_ARC
(8,14),-2.1341 # DEPENDENCYPART_ARC
(8,15),-1.33812 # DEPENDENCYPART_ARC
(8,16),-1.15802 # DEPENDENCYPART_ARC
(8,17),-0.365569 # DEPENDENCYPART_ARC
(8,18),-0.730221 # DEPENDENCYPART_ARC
(8,19),-2.03333 # DEPENDENCYPART_ARC
(8,20),-0.815042 # DEPENDENCYPART_ARC
(8,21),-2.62295 # DEPENDENCYPART_ARC
(8,22),-1.16357 # DEPENDENCYPART_ARC
(8,23),-0.860225 # DEPENDENCYPART_ARC
(8,24),-2.07158 # DEPENDENCYPART_ARC
(8,25),-1.49854 # DEPENDENCYPART_ARC
(8,26),-2.40026 # DEPENDENCYPART_ARC
(8,27),-2.79029 # DEPENDENCYPART_ARC
(8,28),-2.70152 # DEPENDENCYPART_ARC
(8,29),-1.50446 # DEPENDENCYPART_ARC
(8,30),-1.91724 # DEPENDENCYPART_ARC
(8,31),-2.25381 # DEPENDENCYPART_ARC
(9,1),-0.294457 # DEPENDENCYPART_ARC
(9,2),0.686858 # DEPENDENCYPART_ARC
(9,3),0.931596 # DEPENDENCYPART_ARC
(9,4),-1.30673 # DEPENDENCYPART_ARC
(9,5),1.1287 # DEPENDENCYPART_ARC
(9,6),0.236573 # DEPENDENCYPART_ARC
(9,7),0.443626 # DEPENDENCYPART_ARC
(9,8),2.7155 # DEPENDENCYPART_ARC
(9,10),1.15535 # DEPENDENCYPART_ARC
(9,11),-0.176112 # DEPENDENCYPART_ARC
(9,12),-1.01664 # DEPENDENCYPART_ARC
(9,13),-0.642237 # DEPENDENCYPART_ARC
(9,14),-0.924128 # DEPENDENCYPART_ARC
(9,15),-1.85604 # DEPENDENCYPART_ARC
(9,16),-1.41469 # DEPENDENCYPART_ARC
(9,17),-1.04031 # DEPENDENCYPART_ARC
(9,18),-0.826388 # DEPENDENCYPART_ARC
(9,19),-0.387198 # DEPENDENCYPART_ARC
(9,20),-1.31131 # DEPENDENCYPART_ARC
(9,21),-2.07233 # DEPENDENCYPART_ARC
(9,22),-2.00481 # DEPENDENCYPART_ARC
(9,23),-1.50594 # DEPENDENCYPART_ARC
(9,24),-2.44254 # DEPENDENCYPART_ARC
(9,25),-2.68344 # DEPENDENCYPART_ARC
(9,26),-3.10406 # DEPENDENCYPART_ARC
(9,27),-3.29534 # DEPENDENCYPART_ARC
(9,28),-3.55751 # DEPENDENCYPART_ARC
(9,29),-2.57994 # DEPENDENCYPART_ARC
(9,30),-1.64017 # DEPENDENCYPART_ARC
(9,31),-2.23143 # DEPENDENCYPART_ARC
(10,1),0.416216 # DEPENDENCYPART_ARC
(10,2),1.78158 # DEPENDENCYPART_ARC
(10,3),1.1982 # DEPENDENCYPART_ARC
(10,4),0.848113 # DEPENDENCYPART_ARC
(10,5),0.753979 # DEPENDENCYPART_ARC
(10,6),0.662673 # DEPENDENCYPART_ARC
(10,7),0.820963 # DEPENDENCYPART_ARC
(10,8),2.37769 # DEPENDENCYPART_ARC
(10,9),2.98505 # DEPENDENCYPART_ARC
(10,11),-0.527029 # DEPENDENCYPART_ARC
(10,12),-1.38039 # DEPENDENCYPART_ARC
(10,13),-1.54524 # DEPENDENCYPART_ARC
(10,14),-1.66587 # DEPENDENCYPART_ARC
(10,15),-1.90228 # DEPENDENCYPART_ARC
(10,16),-1.60517 # DEPENDENCYPART_ARC
(10,17),-1.77389 # DEPENDENCYPART_ARC
(10,18),-1.64974 # DEPENDENCYPART_ARC
(10,19),-1.24488 # DEPENDENCYPART_ARC
(10,20),-1.74929 # DEPENDENCYPART_ARC
(10,21),-2.12242 # DEPENDENCYPART_ARC
(10,22),-1.81257 # DEPENDENCYPART_ARC
(10,23),-2.03201 # DEPENDENCYPART_ARC
(10,24),-2.14947 # DEPENDENCYPART_ARC
(10,25),-2.37604 # DEPENDENCYPART_ARC
(10,26),-2.49501 # DEPENDENCYPART_ARC
(10,27),-2.53185 # DEPENDENCYPART_ARC
(10,28),-2.61752 # DEPENDENCYPART_ARC
(10,29),-2.16487 # DEPENDENCYPART_ARC
(10,30),-2.30121 # DEPENDENCYPART_ARC
(10,31),-2.6745 # DEPENDENCYPART_ARC
(11,1),-0.129453 # DEPENDENCYPART_ARC
(11,2),0.304739 # DEPENDENCYPART_ARC
(11,3),0.370391 # DEPENDENCYPART_ARC
(11,4),-2.06324 # DEPENDENCYPART_ARC
(11,5),-0.438442 # DEPENDENCYPART_ARC
(11,6),-0.380054 # DEPENDENCYPART_ARC
(11,7),-0.112536 # DEPENDENCYPART_ARC
(11,8),0.607155 # DEPENDENCYPART_ARC
(11,9),-0.214329 # DEPENDENCYPART_ARC
(11,10),0.256932 # DEPENDENCYPART_ARC
(11,12),-0.16642 # DEPENDENCYPART_ARC
(11,13),-0.690058 # DEPENDENCYPART_ARC
(11,14),-0.634961 # DEPENDENCYPART_ARC
(11,15),-0.676569 # DEPENDENCYPART_ARC
(11,16),-0.760239 # DEPENDENCYPART_ARC
(11,17),-0.795906 # DEPENDENCYPART_ARC
(11,18),-0.930557 # DEPENDENCYPART_ARC
(11,19),-0.887446 # DEPENDENCYPART_ARC
(11,20),-0.925397 # DEPENDENCYPART_ARC
(11,21),-0.784128 # DEPENDENCYPART_ARC
(11,22),-1.25544 # DEPENDENCYPART_ARC
(11,23),-1.17189 # DEPENDENCYPART_ARC
(11,24),-1.50663 # DEPENDENCYPART_ARC
(11,25),-1.07496 # DEPENDENCYPART_ARC
(11,26),-1.82398 # DEPENDENCYPART_ARC
(11,27),-1.84664 # DEPENDENCYPART_ARC
(11,28),-1.84998 # DEPENDENCYPART_ARC
(11,29),-1.7614 # DEPENDENCYPART_ARC
(11,30),-1.39021 # DEPENDENCYPART_ARC
(11,31),-2.7591 # DEPENDENCYPART_ARC
(12,1),-1.70567 # DEPENDENCYPART_ARC
(12,2),-2.27887 # DEPENDENCYPART_ARC
(12,3),-1.28922 # DEPENDENCYPART_ARC
(12,4),-3.03153 # DEPENDENCYPART_ARC
(12,5),-1.05963 # DEPENDENCYPART_ARC
(12,6),-1.03518 # DEPENDENCYPART_ARC
(12,7),-0.953667 # DEPENDENCYPART_ARC
(12,8),-1.7726 # DEPENDENCYPART_ARC
(12,9),-0.229015 # DEPENDENCYPART_ARC
(12,10),-0.611804 # DEPENDENCYPART_ARC
(12,11),0.391842 # DEPENDENCYPART_ARC
(12,13),0.64312 # DEPENDENCYPART_ARC
(12,14),-1.19346 # DEPENDENCYPART_ARC
(12,15),-0.734447 # DEPENDENCYPART_ARC
(12,16),-0.702299 # DEPENDENCYPART_ARC
(12,17),-0.0356874 # DEPENDENCYPART_ARC
(12,18),-0.202643 # DEPENDENCYPART_ARC
(12,19),-1.13969 # DEPENDENCYPART_ARC
(12,20),-0.544183 # DEPENDENCYPART_ARC
(12,21),-2.48797 # DEPENDENCYPART_ARC
(12,22),-1.33206 # DEPENDENCYPART_ARC
(12,23),-0.50961 # DEPENDENCYPART_ARC
(12,24),-1.93947 # DEPENDENCYPART_ARC
(12,25),-1.6526 # DEPENDENCYPART_ARC
(12,26),-2.26416 # DEPENDENCYPART_ARC
(12,27),-2.63546 # DEPENDENCYPART_ARC
(12,28),-2.72784 # DEPENDENCYPART_ARC
(12,29),-2.00984 # DEPENDENCYPART_ARC
(12,30),-2.47279 # DEPENDENCYPART_ARC
(12,31),-1.66977 # DEPENDENCYPART_ARC
(13,1),-0.409974 # DEPENDENCYPART_ARC
(13,2),-0.292899 # DEPENDENCYPART_ARC
(13,3),0.701205 # DEPENDENCYPART_ARC
(13,4),-0.914261 # DEPENDENCYPART_ARC
(13,5),-0.228328 # DEPENDENCYPART_ARC
(13,6),-0.0873026 # DEPENDENCYPART_ARC
(13,7),-0.0419917 # DEPENDENCYPART_ARC
(13,8),0.472537 # DEPENDENCYPART_ARC
(13,9),0.366648 # DEPENDENCYPART_ARC
(13,10),0.442643 # DEPENDENCYPART_ARC
(13,11),0.679717 # DEPENDENCYPART_ARC
(13,12),3.75118 # DEPENDENCYPART_ARC
(13,14),-0.328936 # DEPENDENCYPART_ARC
(13,15),-0.869837 # DEPENDENCYPART_ARC
(13,16),-1.00244 # DEPENDENCYPART_ARC
(13,17),-1.18409 # DEPENDENCYPART_ARC
(13,18),-0.990462 # DEPENDENCYPART_ARC
(13,19),-0.913361 # DEPENDENCYPART_ARC
(13,20),-1.55188 # DEPENDENCYPART_ARC
(13,21),-1.42766 # DEPENDENCYPART_ARC
(13,22),-1.32382 # DEPENDENCYPART_ARC
(13,23),-1.5569 # DEPENDENCYPART_ARC
(13,24),-1.72226 # DEPENDENCYPART_ARC
(13,25),-1.49063 # DEPENDENCYPART_ARC
(13,26),-2.21947 # DEPENDENCYPART_ARC
(13,27),-2.09565 # DEPENDENCYPART_ARC
(13,28),-2.35491 # DEPENDENCYPART_ARC
(13,29),-1.9328 # DEPENDENCYPART_ARC
(13,30),-1.96274 # DEPENDENCYPART_ARC
(13,31),-1.64391 # DEPENDENCYPART_ARC
(14,1),-0.644802 # DEPENDENCYPART_ARC
(14,2),-2.0354 # DEPENDENCYPART_ARC
(14,3),-0.803851 # DEPENDENCYPART_ARC
(14,4),-3.44584 # DEPENDENCYPART_ARC
(14,5),-0.665834 # DEPENDENCYPART_ARC
(14,6),-0.397892 # DEPENDENCYPART_ARC
(14,7),0.131391 # DEPENDENCYPART_ARC
(14,8),-2.09231 # DEPENDENCYPART_ARC
(14,9),-1.78626 # DEPENDENCYPART_ARC
(14,10),-0.5652 # DEPENDENCYPART_ARC
(14,11),-0.131366 # DEPENDENCYPART_ARC
(14,12),0.740237 # DEPENDENCYPART_ARC
(14,13),3.34026 # DEPENDENCYPART_ARC
(14,15),-0.189743 # DEPENDENCYPART_ARC
(14,16),-0.363925 # DEPENDENCYPART_ARC
(14,17),-0.102857 # DEPENDENCYPART_ARC
(14,18),-0.132473 # DEPENDENCYPART_ARC
(14,19),-1.58315 # DEPENDENCYPART_ARC
(14,20),-0.681559 # DEPENDENCYPART_ARC
(14,21),-2.02067 # DEPENDENCYPART_ARC
(14,22),-1.16457 # DEPENDENCYPART_ARC
(14,23),-0.562317 # DEPENDENCYPART_ARC
(14,24),-1.4042 # DEPENDENCYPART_ARC
(14,25),-1.30404 # DEPENDENCYPART_ARC
(14,26),-1.99057 # DEPENDENCYPART_ARC
(14,27),-2.55488 # DEPENDENCYPART_ARC
(14,28),-2.33746 # DEPENDENCYPART_ARC
(14,29),-1.37335 # DEPENDENCYPART_ARC
(14,30),-1.84803 # DEPENDENCYPART_ARC
(14,31),-1.62088 # DEPENDENCYPART_ARC
(15,1),-1.22644 # DEPENDENCYPART_ARC
(15,2),-1.94555 # DEPENDENCYPART_ARC
(15,3),-1.17178 # DEPENDENCYPART_ARC
(15,4),-5.62984 # DEPENDENCYPART_ARC
(15,5),-0.816392 # DEPENDENCYPART_ARC
(15,6),-0.846698 # DEPENDENCYPART_ARC
(15,7),-0.636913 # DEPENDENCYPART_ARC
(15,8),-1.70414 # DEPENDENCYPART_ARC
(15,9),-3.12626 # DEPENDENCYPART_ARC
(15,10),-0.775298 # DEPENDENCYPART_ARC
(15,11),-0.239967 # DEPENDENCYPART_ARC
(15,12),-0.932262 # DEPENDENCYPART_ARC
(15,13),1.00344 # DEPENDENCYPART_ARC
(15,14),1.30004 # DEPENDENCYPART_ARC
(15,16),-0.0276166 # DEPENDENCYPART_ARC
(15,17),0.490449 # DEPENDENCYPART_ARC
(15,18),-0.108879 # DEPENDENCYPART_ARC
(15,19),-0.999006 # DEPENDENCYPART_ARC
(15,20),-0.4731 # DEPENDENCYPART_ARC
(15,21),-2.26943 # DEPENDENCYPART_ARC
(15,22),-1.23596 # DEPENDENCYPART_ARC
(15,23),-0.489429 # DEPENDENCYPART_ARC
(15,24),-1.39665 # DEPENDENCYPART_ARC
(15,25),-1.2466 # DEPENDENCYPART_ARC
(15,26),-2.00393 # DEPENDENCYPART_ARC
(15,27),-2.36066 # DEPENDENCYPART_ARC
(15,28),-2.55729 # DEPENDENCYPART_ARC
(15,29),-1.78959 # DEPENDENCYPART_ARC
(15,30),-2.37548 # DEPENDENCYPART_ARC
(15,31),-1.8176 # DEPENDENCYPART_ARC
(16,1),-0.61485 # DEPENDENCYPART_ARC
(16,2),-0.710783 # DEPENDENCYPART_ARC
(16,3),0.548874 # DEPENDENCYPART_ARC
(16,4),-6.93624 # DEPENDENCYPART_ARC
(16,5),0.864924 # DEPENDENCYPART_ARC
(16,6),0.168838 # DEPENDENCYPART_ARC
(16,7),-0.36495 # DEPENDENCYPART_ARC
(16,8),0.581989 # DEPENDENCYPART_ARC
(16,9),-3.88481 # DEPENDENCYPART_ARC
(16,10),0.630281 # DEPENDENCYPART_ARC
(16,11),-0.16138 # DEPENDENCYPART_ARC
(16,12),-0.159529 # DEPENDENCYPART_ARC
(16,13),1.26892 # DEPENDENCYPART_ARC
(16,14),1.90237 # DEPENDENCYPART_ARC
(16,15),3.94122 # DEPENDENCYPART_ARC
(16,17),0.198984 # DEPENDENCYPART_ARC
(16,18),-0.464258 # DEPENDENCYPART_ARC
(16,19),-0.278249 # DEPENDENCYPART_ARC
(16,20),-0.942071 # DEPENDENCYPART_ARC
(16,21),-1.41176 # DEPENDENCYPART_ARC
(16,22),-1.44555 # DEPENDENCYPART_ARC
(16,23),-1.33438 # DEPENDENCYPART_ARC
