# _root_ Bilim , _ Aydınlanma mücadelesinde , _ insanlığın _ elindeki en _ önemli kazanımlardan _ _ biridir .
#goldHeads=17,0,4,5,17,0,8,10,10,14,13,13,14,17,16,17,18,0,
#predictedHeads=17,0,4,5,17,0,8,9,10,14,13,13,14,17,16,17,18,0,
(2,15),-1.5587 # DEPENDENCYPART_ARC
(2,16),-1.88203 # DEPENDENCYPART_ARC
(2,17),-1.0037 # DEPENDENCYPART_ARC
(2,18),-2.25024 # DEPENDENCYPART_ARC
(3,1),-0.121416 # DEPENDENCYPART_ARC
(3,2),0.581127 # DEPENDENCYPART_ARC
(3,4),0.715341 # DEPENDENCYPART_ARC
(3,5),0.842454 # DEPENDENCYPART_ARC
(3,6),0.190535 # DEPENDENCYPART_ARC
(3,7),-1.43591 # DEPENDENCYPART_ARC
(3,8),-0.750639 # DEPENDENCYPART_ARC
(3,9),-1.97399 # DEPENDENCYPART_ARC
(3,10),-1.41059 # DEPENDENCYPART_ARC
(3,11),-0.977871 # DEPENDENCYPART_ARC
(3,12),-2.58849 # DEPENDENCYPART_ARC
(3,13),-1.38336 # DEPENDENCYPART_ARC
(3,14),-2.46751 # DEPENDENCYPART_ARC
(3,15),-2.38992 # DEPENDENCYPART_ARC
(3,16),-3.983 # DEPENDENCYPART_ARC
(3,17),-0.913556 # DEPENDENCYPART_ARC
(3,18),-1.15667 # DEPENDENCYPART_ARC
(4,1),-0.438545 # DEPENDENCYPART_ARC
(4,2),0.708497 # DEPENDENCYPART_ARC
(4,3),2.86806 # DEPENDENCYPART_ARC
(4,5),-0.879589 # DEPENDENCYPART_ARC
(4,6),-0.202148 # DEPENDENCYPART_ARC
(4,7),-1.04794 # DEPENDENCYPART_ARC
(4,8),-1.17652 # DEPENDENCYPART_ARC
(4,9),-2.52666 # DEPENDENCYPART_ARC
(4,10),-1.19544 # DEPENDENCYPART_ARC
(4,11),-1.34337 # DEPENDENCYPART_ARC
(4,12),-1.84721 # DEPENDENCYPART_ARC
(4,13),-1.2575 # DEPENDENCYPART_ARC
(4,14),-2.83295 # DEPENDENCYPART_ARC
(4,15),-1.50129 # DEPENDENCYPART_ARC
(4,16),-2.40682 # DEPENDENCYPART_ARC
(4,17),-2.18927 # DEPENDENCYPART_ARC
(4,18),-1.58842 # DEPENDENCYPART_ARC
(5,1),0.15811 # DEPENDENCYPART_ARC
(5,2),1.32395 # DEPENDENCYPART_ARC
(5,3),1.31859 # DEPENDENCYPART_ARC
(5,4),3.45214 # DEPENDENCYPART_ARC
(5,6),0.134655 # DEPENDENCYPART_ARC
(5,7),-0.124609 # DEPENDENCYPART_ARC
(5,8),-0.124474 # DEPENDENCYPART_ARC
(5,9),-1.08767 # DEPENDENCYPART_ARC
(5,10),-0.999832 # DEPENDENCYPART_ARC
(5,11),-1.07376 # DEPENDENCYPART_ARC
(5,12),-1.40101 # DEPENDENCYPART_ARC
(5,13),-1.23891 # DEPENDENCYPART_ARC
(5,14),-1.77683 # DEPENDENCYPART_ARC
(5,15),-1.20965 # DEPENDENCYPART_ARC
(5,16),-1.84495 # DEPENDENCYPART_ARC
(5,17),-1.24406 # DEPENDENCYPART_ARC
(5,18),-1.55213 # DEPENDENCYPART_ARC
(6,1),-0.468084 # DEPENDENCYPART_ARC
(6,2),-0.126991 # DEPENDENCYPART_ARC
(6,3),-0.84144 # DEPENDENCYPART_ARC
(6,4),0.26251 # DEPENDENCYPART_ARC
(6,5),0.893956 # DEPENDENCYPART_ARC
(6,7),0.0678459 # DEPENDENCYPART_ARC
(6,8),-0.307178 # DEPENDENCYPART_ARC
(6,9),-0.431259 # DEPENDENCYPART_ARC
(6,10),-0.653834 # DEPENDENCYPART_ARC
(6,11),-0.636867 # DEPENDENCYPART_ARC
(6,12),-0.902321 # DEPENDENCYPART_ARC
(6,13),-0.789166 # DEPENDENCYPART_ARC
(6,14),-1.02796 # DEPENDENCYPART_ARC
(6,15),-0.973606 # DEPENDENCYPART_ARC
(6,16),-1.25899 # DEPENDENCYPART_ARC
(6,17),-0.994642 # DEPENDENCYPART_ARC
(6,18),-1.49704 # DEPENDENCYPART_ARC
(7,1),-1.38164 # DEPENDENCYPART_ARC
(7,2),-0.775137 # DEPENDENCYPART_ARC
(7,3),-0.98575 # DEPENDENCYPART_ARC
(7,4),-0.983433 # DEPENDENCYPART_ARC
(7,5),-1.404 # DEPENDENCYPART_ARC
(7,6),0.613215 # DEPENDENCYPART_ARC
(7,8),0.331689 # DEPENDENCYPART_ARC
(7,9),-1.23738 # DEPENDENCYPART_ARC
(7,10),-0.128916 # DEPENDENCYPART_ARC
(7,11),-0.268174 # DEPENDENCYPART_ARC
(7,12),-1.10746 # DEPENDENCYPART_ARC
(7,13),-0.502168 # DEPENDENCYPART_ARC
(7,14),-2.44444 # DEPENDENCYPART_ARC
(7,15),-0.749653 # DEPENDENCYPART_ARC
(7,16),-1.94739 # DEPENDENCYPART_ARC
(7,17),-1.6263 # DEPENDENCYPART_ARC
(7,18),-0.800479 # DEPENDENCYPART_ARC
(8,1),-0.399902 # DEPENDENCYPART_ARC
(8,2),-0.176207 # DEPENDENCYPART_ARC
(8,3),-1.53292 # DEPENDENCYPART_ARC
(8,4),0.170799 # DEPENDENCYPART_ARC
(8,5),-1.1494 # DEPENDENCYPART_ARC
(8,6),0.602283 # DEPENDENCYPART_ARC
(8,7),3.05559 # DEPENDENCYPART_ARC
(8,9),-1.19196 # DEPENDENCYPART_ARC
(8,10),-0.664454 # DEPENDENCYPART_ARC
(8,11),-0.996413 # DEPENDENCYPART_ARC
(8,12),-1.45281 # DEPENDENCYPART_ARC
(8,13),-1.23525 # DEPENDENCYPART_ARC
(8,14),-2.32354 # DEPENDENCYPART_ARC
(8,15),-1.35444 # DEPENDENCYPART_ARC
(8,16),-2.05403 # DEPENDENCYPART_ARC
(8,17),-1.27635 # DEPENDENCYPART_ARC
(8,18),-1.35321 # DEPENDENCYPART_ARC
(9,1),-1.13093 # DEPENDENCYPART_ARC
(9,2),-0.730227 # DEPENDENCYPART_ARC
(9,3),-2.96396 # DEPENDENCYPART_ARC
(9,4),-0.717866 # DEPENDENCYPART_ARC
(9,5),-1.85548 # DEPENDENCYPART_ARC
(9,6),0.143937 # DEPENDENCYPART_ARC
(9,7),0.878485 # DEPENDENCYPART_ARC
(9,8),2.49255 # DEPENDENCYPART_ARC
(9,10),0.343387 # DEPENDENCYPART_ARC
(9,11),0.0657298 # DEPENDENCYPART_ARC
(9,12),-0.728563 # DEPENDENCYPART_ARC
(9,13),-0.341187 # DEPENDENCYPART_ARC
(9,14),-1.50255 # DEPENDENCYPART_ARC
(9,15),-0.676127 # DEPENDENCYPART_ARC
(9,16),-1.57141 # DEPENDENCYPART_ARC
(9,17),-0.935074 # DEPENDENCYPART_ARC
(9,18),-0.795132 # DEPENDENCYPART_ARC
(10,1),-0.125378 # DEPENDENCYPART_ARC
(10,2),-0.538643 # DEPENDENCYPART_ARC
(10,3),-1.88217 # DEPENDENCYPART_ARC
(10,4),-0.102404 # DEPENDENCYPART_ARC
(10,5),-0.205084 # DEPENDENCYPART_ARC
(10,6),0.267807 # DEPENDENCYPART_ARC
(10,7),1.11453 # DEPENDENCYPART_ARC
(10,8),1.55924 # DEPENDENCYPART_ARC
(10,9),3.23495 # DEPENDENCYPART_ARC
(10,11),0.13337 # DEPENDENCYPART_ARC
(10,12),-0.387197 # DEPENDENCYPART_ARC
(10,13),-1.13066 # DEPENDENCYPART_ARC
(10,14),-0.620023 # DEPENDENCYPART_ARC
(10,15),-1.36022 # DEPENDENCYPART_ARC
(10,16),-0.934708 # DEPENDENCYPART_ARC
(10,17),-1.17393 # DEPENDENCYPART_ARC
(10,18),-1.2262 # DEPENDENCYPART_ARC
(11,1),-1.07985 # DEPENDENCYPART_ARC
(11,2),-0.882051 # DEPENDENCYPART_ARC
(11,3),-1.29256 # DEPENDENCYPART_ARC
(11,4),-1.12753 # DEPENDENCYPART_ARC
(11,5),-1.0137 # DEPENDENCYPART_ARC
(11,6),-0.349669 # DEPENDENCYPART_ARC
(11,7),-0.0837118 # DEPENDENCYPART_ARC
(11,8),0.0449534 # DEPENDENCYPART_ARC
(11,9),0.736506 # DEPENDENCYPART_ARC
(11,10),0.825697 # DEPENDENCYPART_ARC
(11,12),-0.39263 # DEPENDENCYPART_ARC
(11,13),-0.554136 # DEPENDENCYPART_ARC
(11,14),-0.95703 # DEPENDENCYPART_ARC
(11,15),-0.885504 # DEPENDENCYPART_ARC
(11,16),-1.22234 # DEPENDENCYPART_ARC
(11,17),-0.887252 # DEPENDENCYPART_ARC
(11,18),-1.04136 # DEPENDENCYPART_ARC
(12,1),-1.60893 # DEPENDENCYPART_ARC
(12,2),-0.84865 # DEPENDENCYPART_ARC
(12,3),-4.75253 # DEPENDENCYPART_ARC
(12,4),-1.23026 # DEPENDENCYPART_ARC
(12,5),-2.17371 # DEPENDENCYPART_ARC
(12,6),-0.149103 # DEPENDENCYPART_ARC
(12,7),-2.2229 # DEPENDENCYPART_ARC
(12,8),-0.32422 # DEPENDENCYPART_ARC
(12,9),-1.14565 # DEPENDENCYPART_ARC
(12,10),0.167483 # DEPENDENCYPART_ARC
(12,11),0.96695 # DEPENDENCYPART_ARC
(12,13),0.554225 # DEPENDENCYPART_ARC
(12,14),-1.29924 # DEPENDENCYPART_ARC
(12,15),-0.193198 # DEPENDENCYPART_ARC
(12,16),-1.13615 # DEPENDENCYPART_ARC
(12,17),-1.29361 # DEPENDENCYPART_ARC
(12,18),-0.740749 # DEPENDENCYPART_ARC
(13,1),-0.334248 # DEPENDENCYPART_ARC
(13,2),-0.917999 # DEPENDENCYPART_ARC
(13,3),-2.32294 # DEPENDENCYPART_ARC
(13,4),0.0907591 # DEPENDENCYPART_ARC
(13,5),-1.08049 # DEPENDENCYPART_ARC
(13,6),0.0318685 # DEPENDENCYPART_ARC
(13,7),0.361897 # DEPENDENCYPART_ARC
(13,8),0.80014 # DEPENDENCYPART_ARC
(13,9),0.548798 # DEPENDENCYPART_ARC
(13,10),0.745315 # DEPENDENCYPART_ARC
(13,11),2.1717 # DEPENDENCYPART_ARC
(13,12),3.59936 # DEPENDENCYPART_ARC
(13,14),-0.224957 # DEPENDENCYPART_ARC
(13,15),-0.818238 # DEPENDENCYPART_ARC
(13,16),-0.922137 # DEPENDENCYPART_ARC
(13,17),-0.93924 # DEPENDENCYPART_ARC
(13,18),-1.07987 # DEPENDENCYPART_ARC
(14,1),-1.02959 # DEPENDENCYPART_ARC
(14,2),-0.172157 # DEPENDENCYPART_ARC
(14,3),-4.44498 # DEPENDENCYPART_ARC
(14,4),-0.700862 # DEPENDENCYPART_ARC
(14,5),-1.75887 # DEPENDENCYPART_ARC
(14,6),0.364231 # DEPENDENCYPART_ARC
(14,7),-2.53156 # DEPENDENCYPART_ARC
(14,8),-0.105857 # DEPENDENCYPART_ARC
(14,9),-2.24926 # DEPENDENCYPART_ARC
(14,10),1.61382 # DEPENDENCYPART_ARC
(14,11),0.881416 # DEPENDENCYPART_ARC
(14,12),0.75873 # DEPENDENCYPART_ARC
(14,13),3.30597 # DEPENDENCYPART_ARC
(14,15),0.149165 # DEPENDENCYPART_ARC
(14,16),-0.689333 # DEPENDENCYPART_ARC
(14,17),-0.963711 # DEPENDENCYPART_ARC
(14,18),-0.686691 # DEPENDENCYPART_ARC
(15,1),-1.62209 # DEPENDENCYPART_ARC
(15,2),-1.65461 # DEPENDENCYPART_ARC
(15,3),-5.93291 # DEPENDENCYPART_ARC
(15,4),-1.15459 # DEPENDENCYPART_ARC
(15,5),-1.19513 # DEPENDENCYPART_ARC
(15,6),-0.666262 # DEPENDENCYPART_ARC
(15,7),-2.72673 # DEPENDENCYPART_ARC
(15,8),-0.0583666 # DEPENDENCYPART_ARC
(15,9),-0.962023 # DEPENDENCYPART_ARC
(15,10),-0.0962491 # DEPENDENCYPART_ARC
(15,11),0.161714 # DEPENDENCYPART_ARC
(15,12),0.491439 # DEPENDENCYPART_ARC
(15,13),0.527246 # DEPENDENCYPART_ARC
(15,14),1.32147 # DEPENDENCYPART_ARC
(15,16),0.758024 # DEPENDENCYPART_ARC
(15,17),0.113829 # DEPENDENCYPART_ARC
(15,18),-0.0663517 # DEPENDENCYPART_ARC
(16,1),-0.263894 # DEPENDENCYPART_ARC
(16,2),-0.367658 # DEPENDENCYPART_ARC
(16,3),-7.57527 # DEPENDENCYPART_ARC
(16,4),0.597578 # DEPENDENCYPART_ARC
(16,5),-0.535608 # DEPENDENCYPART_ARC
(16,6),0.452385 # DEPENDENCYPART_ARC
(16,7),-4.08009 # DEPENDENCYPART_ARC
(16,8),2.15368 # DEPENDENCYPART_ARC
(16,9),-3.58806 # DEPENDENCYPART_ARC
(16,10),1.20632 # DEPENDENCYPART_ARC
(16,11),0.481251 # DEPENDENCYPART_ARC
(16,12),-0.375421 # DEPENDENCYPART_ARC
(16,13),1.39407 # DEPENDENCYPART_ARC
(16,14),1.83286 # DEPENDENCYPART_ARC
(16,15),2.87614 # DEPENDENCYPART_ARC
(16,17),-0.0389805 # DEPENDENCYPART_ARC
(16,18),-0.104212 # DEPENDENCYPART_ARC
(17,1),1.60364 # DEPENDENCYPART_ARC
(17,2),-0.271708 # DEPENDENCYPART_ARC
(17,3),-6.97508 # DEPENDENCYPART_ARC
(17,4),0.657514 # DEPENDENCYPART_ARC
(17,5),1.39115 # DEPENDENCYPART_ARC
(17,6),0.448774 # DEPENDENCYPART_ARC
(17,7),-3.84455 # DEPENDENCYPART_ARC
(17,8),0.917019 # DEPENDENCYPART_ARC
(17,9),-1.84024 # DEPENDENCYPART_ARC
(17,10),0.37765 # DEPENDENCYPART_ARC
(17,11),-0.110037 # DEPENDENCYPART_ARC
(17,12),-0.564055 # DEPENDENCYPART_ARC
(17,13),1.3096 # DEPENDENCYPART_ARC
(17,14),2.68242 # DEPENDENCYPART_ARC
(17,15),0.622676 # DEPENDENCYPART_ARC
(17,16),3.69944 # DEPENDENCYPART_ARC
(17,18),-1.06413 # DEPENDENCYPART_ARC
(18,1),0.0757525 # DEPENDENCYPART_ARC
(18,2),-0.409601 # DEPENDENCYPART_ARC
(18,3),-5.46235 # DEPENDENCYPART_ARC
(18,4),-0.155012 # DEPENDENCYPART_ARC
(18,5),0.0857454 # DEPENDENCYPART_ARC
(18,6),-0.0190374 # DEPENDENCYPART_ARC
(18,7),-3.98959 # DEPENDENCYPART_ARC
(18,8),0.461351 # DEPENDENCYPART_ARC
(18,9),-2.7906 # DEPENDENCYPART_ARC
(18,10),0.735604 # DEPENDENCYPART_ARC
(18,11),-0.108816 # DEPENDENCYPART_ARC
(18,12),-1.88176 # DEPENDENCYPART_ARC
(18,13),0.688451 # DEPENDENCYPART_ARC
(18,14),0.540134 # DEPENDENCYPART_ARC
(18,15),-0.631839 # DEPENDENCYPART_ARC
(18,16),-0.502494 # DEPENDENCYPART_ARC
(18,17),1.93438 # DEPENDENCYPART_ARC
