# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,8,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(8,7),2.66358 # DEPENDENCYPART_ARC
(8,9),-0.507498 # DEPENDENCYPART_ARC
(8,10),-0.568065 # DEPENDENCYPART_ARC
(8,11),-0.418003 # DEPENDENCYPART_ARC
(8,12),-0.563137 # DEPENDENCYPART_ARC
(8,13),-1.10028 # DEPENDENCYPART_ARC
(8,14),-0.920311 # DEPENDENCYPART_ARC
(8,15),-1.2465 # DEPENDENCYPART_ARC
(8,16),-1.43067 # DEPENDENCYPART_ARC
(8,17),-1.01086 # DEPENDENCYPART_ARC
(8,18),-0.403977 # DEPENDENCYPART_ARC
(8,19),-2.64895 # DEPENDENCYPART_ARC
(8,20),-1.66923 # DEPENDENCYPART_ARC
(8,21),-1.62406 # DEPENDENCYPART_ARC
(8,22),-0.699004 # DEPENDENCYPART_ARC
(8,23),-2.38758 # DEPENDENCYPART_ARC
(8,24),-1.93882 # DEPENDENCYPART_ARC
(8,25),-1.33558 # DEPENDENCYPART_ARC
(9,1),-0.0971035 # DEPENDENCYPART_ARC
(9,2),-0.00475721 # DEPENDENCYPART_ARC
(9,3),-1.9931 # DEPENDENCYPART_ARC
(9,4),1.03041 # DEPENDENCYPART_ARC
(9,5),-1.50537 # DEPENDENCYPART_ARC
(9,6),-0.47152 # DEPENDENCYPART_ARC
(9,7),1.47811 # DEPENDENCYPART_ARC
(9,8),3.89714 # DEPENDENCYPART_ARC
(9,10),-0.278288 # DEPENDENCYPART_ARC
(9,11),0.125227 # DEPENDENCYPART_ARC
(9,12),-0.450636 # DEPENDENCYPART_ARC
(9,13),-0.688809 # DEPENDENCYPART_ARC
(9,14),-0.674864 # DEPENDENCYPART_ARC
(9,15),-1.03318 # DEPENDENCYPART_ARC
(9,16),-0.884589 # DEPENDENCYPART_ARC
(9,17),-1.31692 # DEPENDENCYPART_ARC
(9,18),-0.369051 # DEPENDENCYPART_ARC
(9,19),-2.07638 # DEPENDENCYPART_ARC
(9,20),-1.40443 # DEPENDENCYPART_ARC
(9,21),-1.67233 # DEPENDENCYPART_ARC
(9,22),-0.949727 # DEPENDENCYPART_ARC
(9,23),-1.54495 # DEPENDENCYPART_ARC
(9,24),-2.09503 # DEPENDENCYPART_ARC
(9,25),-1.39432 # DEPENDENCYPART_ARC
(10,1),1.11872 # DEPENDENCYPART_ARC
(10,2),0.0711213 # DEPENDENCYPART_ARC
(10,3),-4.23426 # DEPENDENCYPART_ARC
(10,4),-0.0350947 # DEPENDENCYPART_ARC
(10,5),-2.85913 # DEPENDENCYPART_ARC
(10,6),-1.77246 # DEPENDENCYPART_ARC
(10,7),0.232272 # DEPENDENCYPART_ARC
(10,8),2.11469 # DEPENDENCYPART_ARC
(10,9),2.84343 # DEPENDENCYPART_ARC
(10,11),0.257583 # DEPENDENCYPART_ARC
(10,12),0.0799993 # DEPENDENCYPART_ARC
(10,13),-0.707871 # DEPENDENCYPART_ARC
(10,14),-0.830685 # DEPENDENCYPART_ARC
(10,15),-1.25808 # DEPENDENCYPART_ARC
(10,16),-1.10312 # DEPENDENCYPART_ARC
(10,17),-0.986329 # DEPENDENCYPART_ARC
(10,18),-0.617203 # DEPENDENCYPART_ARC
(10,19),-0.630056 # DEPENDENCYPART_ARC
(10,20),-2.02622 # DEPENDENCYPART_ARC
(10,21),-1.34522 # DEPENDENCYPART_ARC
(10,22),-0.836769 # DEPENDENCYPART_ARC
(10,23),-2.59889 # DEPENDENCYPART_ARC
(10,24),-1.22104 # DEPENDENCYPART_ARC
(10,25),-1.49365 # DEPENDENCYPART_ARC
(11,1),-0.65366 # DEPENDENCYPART_ARC
(11,2),0.327401 # DEPENDENCYPART_ARC
(11,3),-3.26856 # DEPENDENCYPART_ARC
(11,4),0.632615 # DEPENDENCYPART_ARC
(11,5),-1.93643 # DEPENDENCYPART_ARC
(11,6),-0.838857 # DEPENDENCYPART_ARC
(11,7),0.977302 # DEPENDENCYPART_ARC
(11,8),0.738696 # DEPENDENCYPART_ARC
(11,9),1.59396 # DEPENDENCYPART_ARC
(11,10),3.15902 # DEPENDENCYPART_ARC
(11,12),-0.442784 # DEPENDENCYPART_ARC
(11,13),-0.889819 # DEPENDENCYPART_ARC
(11,14),-1.09826 # DEPENDENCYPART_ARC
(11,15),-1.37192 # DEPENDENCYPART_ARC
(11,16),-1.64291 # DEPENDENCYPART_ARC
(11,17),-1.84103 # DEPENDENCYPART_ARC
(11,18),-0.999158 # DEPENDENCYPART_ARC
(11,19),-2.72576 # DEPENDENCYPART_ARC
(11,20),-1.79374 # DEPENDENCYPART_ARC
(11,21),-2.1648 # DEPENDENCYPART_ARC
(11,22),-1.28444 # DEPENDENCYPART_ARC
(11,23),-2.73803 # DEPENDENCYPART_ARC
(11,24),-2.75271 # DEPENDENCYPART_ARC
(11,25),-1.8238 # DEPENDENCYPART_ARC
(12,1),-1.05826 # DEPENDENCYPART_ARC
(12,2),0.0743348 # DEPENDENCYPART_ARC
(12,3),-0.695351 # DEPENDENCYPART_ARC
(12,4),-0.122903 # DEPENDENCYPART_ARC
(12,5),-0.790484 # DEPENDENCYPART_ARC
(12,6),-0.577175 # DEPENDENCYPART_ARC
(12,8),-0.216086 # DEPENDENCYPART_ARC
(12,9),0.702516 # DEPENDENCYPART_ARC
(12,10),0.403658 # DEPENDENCYPART_ARC
(12,11),3.65135 # DEPENDENCYPART_ARC
(12,13),0.185837 # DEPENDENCYPART_ARC
(12,14),-0.399545 # DEPENDENCYPART_ARC
(12,15),-0.445416 # DEPENDENCYPART_ARC
(12,16),-0.548452 # DEPENDENCYPART_ARC
(12,17),-0.804653 # DEPENDENCYPART_ARC
(12,18),-0.557554 # DEPENDENCYPART_ARC
(12,19),-1.00201 # DEPENDENCYPART_ARC
(12,20),-0.865999 # DEPENDENCYPART_ARC
(12,21),-0.885832 # DEPENDENCYPART_ARC
(12,22),-0.78109 # DEPENDENCYPART_ARC
(12,23),-1.02304 # DEPENDENCYPART_ARC
(12,24),-1.05447 # DEPENDENCYPART_ARC
(12,25),-1.01855 # DEPENDENCYPART_ARC
(13,1),-1.20657 # DEPENDENCYPART_ARC
(13,2),-0.760784 # DEPENDENCYPART_ARC
(13,3),-6.75684 # DEPENDENCYPART_ARC
(13,4),-0.361109 # DEPENDENCYPART_ARC
(13,5),-4.89296 # DEPENDENCYPART_ARC
(13,6),-3.49701 # DEPENDENCYPART_ARC
(13,7),-0.888964 # DEPENDENCYPART_ARC
(13,8),-0.828346 # DEPENDENCYPART_ARC
(13,9),-0.725013 # DEPENDENCYPART_ARC
(13,10),0.205543 # DEPENDENCYPART_ARC
(13,11),0.393408 # DEPENDENCYPART_ARC
(13,12),0.568769 # DEPENDENCYPART_ARC
(13,14),0.574503 # DEPENDENCYPART_ARC
(13,15),-0.118599 # DEPENDENCYPART_ARC
(13,16),-0.571615 # DEPENDENCYPART_ARC
(13,17),-0.823849 # DEPENDENCYPART_ARC
(13,18),0.0302452 # DEPENDENCYPART_ARC
(13,19),-1.57745 # DEPENDENCYPART_ARC
(13,20),-0.868158 # DEPENDENCYPART_ARC
(13,21),-1.53171 # DEPENDENCYPART_ARC
(13,22),-0.331461 # DEPENDENCYPART_ARC
(13,23),-1.39532 # DEPENDENCYPART_ARC
(13,24),-1.95427 # DEPENDENCYPART_ARC
(13,25),-1.03033 # DEPENDENCYPART_ARC
(14,1),-0.476005 # DEPENDENCYPART_ARC
(14,2),0.39472 # DEPENDENCYPART_ARC
(14,3),-2.09804 # DEPENDENCYPART_ARC
(14,4),-0.17788 # DEPENDENCYPART_ARC
(14,5),-2.40633 # DEPENDENCYPART_ARC
(14,6),-1.69024 # DEPENDENCYPART_ARC
(14,7),-0.165836 # DEPENDENCYPART_ARC
(14,8),0.325265 # DEPENDENCYPART_ARC
(14,9),0.316154 # DEPENDENCYPART_ARC
(14,10),0.0471625 # DEPENDENCYPART_ARC
(14,11),1.06486 # DEPENDENCYPART_ARC
(14,12),0.873345 # DEPENDENCYPART_ARC
(14,13),3.30839 # DEPENDENCYPART_ARC
(14,15),-0.399779 # DEPENDENCYPART_ARC
(14,16),-0.782105 # DEPENDENCYPART_ARC
(14,17),-0.953399 # DEPENDENCYPART_ARC
(14,18),-0.973642 # DEPENDENCYPART_ARC
(14,19),-1.05895 # DEPENDENCYPART_ARC
(14,20),-1.4025 # DEPENDENCYPART_ARC
(14,21),-1.33006 # DEPENDENCYPART_ARC
(14,22),-1.46624 # DEPENDENCYPART_ARC
(14,23),-1.36154 # DEPENDENCYPART_ARC
(14,24),-1.31674 # DEPENDENCYPART_ARC
(14,25),-1.78326 # DEPENDENCYPART_ARC
(15,1),-0.57951 # DEPENDENCYPART_ARC
(15,2),-0.126701 # DEPENDENCYPART_ARC
(15,3),-7.68223 # DEPENDENCYPART_ARC
(15,4),0.84484 # DEPENDENCYPART_ARC
(15,5),-6.08208 # DEPENDENCYPART_ARC
(15,6),-4.87782 # DEPENDENCYPART_ARC
(15,7),0.136178 # DEPENDENCYPART_ARC
(15,8),-0.309153 # DEPENDENCYPART_ARC
(15,9),-0.193396 # DEPENDENCYPART_ARC
(15,10),-1.29787 # DEPENDENCYPART_ARC
(15,11),0.218348 # DEPENDENCYPART_ARC
(15,12),0.403389 # DEPENDENCYPART_ARC
(15,13),0.985956 # DEPENDENCYPART_ARC
(15,14),1.96358 # DEPENDENCYPART_ARC
(15,16),0.219973 # DEPENDENCYPART_ARC
(15,17),-0.605118 # DEPENDENCYPART_ARC
(15,18),0.123786 # DEPENDENCYPART_ARC
(15,19),-1.56452 # DEPENDENCYPART_ARC
(15,20),-0.675129 # DEPENDENCYPART_ARC
(15,21),-1.48083 # DEPENDENCYPART_ARC
(15,22),-0.439326 # DEPENDENCYPART_ARC
(15,23),-1.30393 # DEPENDENCYPART_ARC
(15,24),-1.82618 # DEPENDENCYPART_ARC
(15,25),-1.02795 # DEPENDENCYPART_ARC
(16,1),-1.82412 # DEPENDENCYPART_ARC
(16,2),0.548274 # DEPENDENCYPART_ARC
(16,3),-5.2687 # DEPENDENCYPART_ARC
(16,4),0.442111 # DEPENDENCYPART_ARC
(16,5),-4.53445 # DEPENDENCYPART_ARC
(16,6),-4.05576 # DEPENDENCYPART_ARC
(16,7),0.46708 # DEPENDENCYPART_ARC
(16,8),0.93749 # DEPENDENCYPART_ARC
(16,9),-1.05383 # DEPENDENCYPART_ARC
(16,10),-1.65847 # DEPENDENCYPART_ARC
(16,11),0.907517 # DEPENDENCYPART_ARC
(16,12),0.946814 # DEPENDENCYPART_ARC
(16,13),0.344971 # DEPENDENCYPART_ARC
(16,14),1.67417 # DEPENDENCYPART_ARC
(16,15),3.29764 # DEPENDENCYPART_ARC
(16,17),-0.26287 # DEPENDENCYPART_ARC
(16,18),-0.137332 # DEPENDENCYPART_ARC
(16,19),-2.00538 # DEPENDENCYPART_ARC
(16,20),-1.11115 # DEPENDENCYPART_ARC
(16,21),-1.33263 # DEPENDENCYPART_ARC
(16,22),-0.923569 # DEPENDENCYPART_ARC
(16,23),-1.38077 # DEPENDENCYPART_ARC
(16,24),-1.64038 # DEPENDENCYPART_ARC
(16,25),-1.38049 # DEPENDENCYPART_ARC
(17,1),2.31121 # DEPENDENCYPART_ARC
(17,2),1.24639 # DEPENDENCYPART_ARC
(17,3),-5.93299 # DEPENDENCYPART_ARC
(17,4),0.571682 # DEPENDENCYPART_ARC
(17,5),-5.75356 # DEPENDENCYPART_ARC
(17,6),-5.17706 # DEPENDENCYPART_ARC
(17,7),0.540642 # DEPENDENCYPART_ARC
(17,8),1.15461 # DEPENDENCYPART_ARC
(17,9),1.9128 # DEPENDENCYPART_ARC
(17,10),-2.40859 # DEPENDENCYPART_ARC
(17,11),2.00655 # DEPENDENCYPART_ARC
(17,12),2.69273 # DEPENDENCYPART_ARC
(17,13),0.693901 # DEPENDENCYPART_ARC
(17,14),1.35429 # DEPENDENCYPART_ARC
(17,15),2.50963 # DEPENDENCYPART_ARC
(17,16),4.22749 # DEPENDENCYPART_ARC
(17,18),-0.220425 # DEPENDENCYPART_ARC
(17,19),0.306925 # DEPENDENCYPART_ARC
(17,20),-0.230246 # DEPENDENCYPART_ARC
(17,21),-0.988347 # DEPENDENCYPART_ARC
(17,22),-1.07425 # DEPENDENCYPART_ARC
(17,23),-0.724226 # DEPENDENCYPART_ARC
(17,24),-0.580075 # DEPENDENCYPART_ARC
(17,25),-1.49129 # DEPENDENCYPART_ARC
(18,1),-0.441185 # DEPENDENCYPART_ARC
(18,2),-0.60122 # DEPENDENCYPART_ARC
(18,3),-4.39697 # DEPENDENCYPART_ARC
(18,4),-1.57628 # DEPENDENCYPART_ARC
(18,5),-4.06866 # DEPENDENCYPART_ARC
(18,6),-4.01722 # DEPENDENCYPART_ARC
(18,7),-0.957548 # DEPENDENCYPART_ARC
(18,8),-0.414958 # DEPENDENCYPART_ARC
(18,9),-0.343354 # DEPENDENCYPART_ARC
(18,10),-3.12302 # DEPENDENCYPART_ARC
(18,11),-0.329148 # DEPENDENCYPART_ARC
(18,12),-0.272783 # DEPENDENCYPART_ARC
(18,13),-1.76871 # DEPENDENCYPART_ARC
(18,14),-0.319428 # DEPENDENCYPART_ARC
(18,15),-1.01439 # DEPENDENCYPART_ARC
(18,16),0.149692 # DEPENDENCYPART_ARC
(18,17),1.28773 # DEPENDENCYPART_ARC
(18,19),0.0887988 # DEPENDENCYPART_ARC
(18,20),0.262973 # DEPENDENCYPART_ARC
(18,21),0.298486 # DEPENDENCYPART_ARC
(18,22),-0.13641 # DEPENDENCYPART_ARC
(18,23),0.127567 # DEPENDENCYPART_ARC
(18,24),0.1723 # DEPENDENCYPART_ARC
(18,25),-0.814617 # DEPENDENCYPART_ARC
(19,1),-2.98306 # DEPENDENCYPART_ARC
(19,2),-1.17773 # DEPENDENCYPART_ARC
(19,3),-2.95198 # DEPENDENCYPART_ARC
(19,4),-1.44038 # DEPENDENCYPART_ARC
(19,7),-1.53487 # DEPENDENCYPART_ARC
(19,8),-1.9389 # DEPENDENCYPART_ARC
(19,9),-2.87885 # DEPENDENCYPART_ARC
(19,11),-2.74647 # DEPENDENCYPART_ARC
(19,13),-2.61925 # DEPENDENCYPART_ARC
(19,14),-1.23916 # DEPENDENCYPART_ARC
(19,15),-2.49452 # DEPENDENCYPART_ARC
(19,16),-0.809881 # DEPENDENCYPART_ARC
(19,18),0.0254921 # DEPENDENCYPART_ARC
(19,20),0.330257 # DEPENDENCYPART_ARC
(19,22),-0.114512 # DEPENDENCYPART_ARC
(19,23),-0.767489 # DEPENDENCYPART_ARC
(19,25),-0.595627 # DEPENDENCYPART_ARC
(20,1),-2.51461 # DEPENDENCYPART_ARC
(20,2),-0.203349 # DEPENDENCYPART_ARC
(20,3),-8.61322 # DEPENDENCYPART_ARC
(20,4),-0.537235 # DEPENDENCYPART_ARC
(20,5),-6.34963 # DEPENDENCYPART_ARC
(20,6),-5.19191 # DEPENDENCYPART_ARC
(20,7),-0.998664 # DEPENDENCYPART_ARC
(20,8),-1.60013 # DEPENDENCYPART_ARC
(20,9),-1.54378 # DEPENDENCYPART_ARC
(20,10),-2.8877 # DEPENDENCYPART_ARC
(20,11),-1.31671 # DEPENDENCYPART_ARC
(20,12),-0.224697 # DEPENDENCYPART_ARC
(20,13),-3.2613 # DEPENDENCYPART_ARC
(20,14),-0.451572 # DEPENDENCYPART_ARC
(20,15),-1.93175 # DEPENDENCYPART_ARC
(20,16),-0.612025 # DEPENDENCYPART_ARC
(20,17),-0.443155 # DEPENDENCYPART_ARC
(20,18),0.679469 # DEPENDENCYPART_ARC
(20,19),1.26453 # DEPENDENCYPART_ARC
(20,21),0.0110775 # DEPENDENCYPART_ARC
(20,22),0.577349 # DEPENDENCYPART_ARC
(20,23),-1.06266 # DEPENDENCYPART_ARC
(20,24),-1.23049 # DEPENDENCYPART_ARC
(20,25),-0.5177 # DEPENDENCYPART_ARC
(21,1),0.738778 # DEPENDENCYPART_ARC
(21,2),0.35343 # DEPENDENCYPART_ARC
(21,3),-8.90581 # DEPENDENCYPART_ARC
(21,4),-0.140851 # DEPENDENCYPART_ARC
(21,5),-7.81075 # DEPENDENCYPART_ARC
(21,6),-7.41092 # DEPENDENCYPART_ARC
(21,7),-0.206569 # DEPENDENCYPART_ARC
(21,8),-0.415246 # DEPENDENCYPART_ARC
(21,9),0.425088 # DEPENDENCYPART_ARC
(21,10),-4.77814 # DEPENDENCYPART_ARC
(21,11),0.636117 # DEPENDENCYPART_ARC
(21,12),1.35649 # DEPENDENCYPART_ARC
(21,13),-2.34133 # DEPENDENCYPART_ARC
(21,14),0.348624 # DEPENDENCYPART_ARC
(21,15),-1.02979 # DEPENDENCYPART_ARC
(21,16),1.30551 # DEPENDENCYPART_ARC
(21,17),-0.0528816 # DEPENDENCYPART_ARC
(21,18),2.24223 # DEPENDENCYPART_ARC
