# _root_ Her _ iki olgu da , bilim için yeni bir başlangıçtan çok , bir dönemin _ _ kapanışına işaret_etmektedir .
#goldHeads=3,3,4,19,4,0,8,19,10,11,12,19,0,15,18,17,18,19,20,0,
#predictedHeads=3,3,4,18,4,0,8,19,11,11,12,19,0,15,18,17,18,19,20,0,
(1,17),-1.27086 # DEPENDENCYPART_ARC
(1,18),-1.35616 # DEPENDENCYPART_ARC
(1,19),-1.29509 # DEPENDENCYPART_ARC
(1,20),-1.22019 # DEPENDENCYPART_ARC
(2,1),0.485338 # DEPENDENCYPART_ARC
(2,3),0.0923103 # DEPENDENCYPART_ARC
(2,4),-0.292633 # DEPENDENCYPART_ARC
(2,5),0.547534 # DEPENDENCYPART_ARC
(2,6),-0.273231 # DEPENDENCYPART_ARC
(2,7),-1.27413 # DEPENDENCYPART_ARC
(2,8),-0.861286 # DEPENDENCYPART_ARC
(2,9),-1.08573 # DEPENDENCYPART_ARC
(2,10),-0.891906 # DEPENDENCYPART_ARC
(2,11),-1.46334 # DEPENDENCYPART_ARC
(2,12),-0.784897 # DEPENDENCYPART_ARC
(2,13),-0.794937 # DEPENDENCYPART_ARC
(2,14),-0.954411 # DEPENDENCYPART_ARC
(2,15),-1.95262 # DEPENDENCYPART_ARC
(2,16),-1.32713 # DEPENDENCYPART_ARC
(2,17),-1.40654 # DEPENDENCYPART_ARC
(2,18),-1.58919 # DEPENDENCYPART_ARC
(2,19),-1.28786 # DEPENDENCYPART_ARC
(2,20),-1.21755 # DEPENDENCYPART_ARC
(3,1),1.54012 # DEPENDENCYPART_ARC
(3,2),2.26612 # DEPENDENCYPART_ARC
(3,4),-0.448514 # DEPENDENCYPART_ARC
(3,5),-0.00828158 # DEPENDENCYPART_ARC
(3,6),-1.08603 # DEPENDENCYPART_ARC
(3,7),-1.51304 # DEPENDENCYPART_ARC
(3,8),-1.32449 # DEPENDENCYPART_ARC
(3,9),-1.70058 # DEPENDENCYPART_ARC
(3,10),-1.30441 # DEPENDENCYPART_ARC
(3,11),-3.05752 # DEPENDENCYPART_ARC
(3,12),-1.4183 # DEPENDENCYPART_ARC
(3,13),-1.753 # DEPENDENCYPART_ARC
(3,14),-1.30047 # DEPENDENCYPART_ARC
(3,15),-2.60951 # DEPENDENCYPART_ARC
(3,16),-2.11098 # DEPENDENCYPART_ARC
(3,17),-2.32098 # DEPENDENCYPART_ARC
(3,18),-2.32966 # DEPENDENCYPART_ARC
(3,19),-2.68862 # DEPENDENCYPART_ARC
(3,20),-2.18509 # DEPENDENCYPART_ARC
(4,1),1.20594 # DEPENDENCYPART_ARC
(4,2),0.868567 # DEPENDENCYPART_ARC
(4,3),2.64182 # DEPENDENCYPART_ARC
(4,5),2.20047 # DEPENDENCYPART_ARC
(4,6),0.353431 # DEPENDENCYPART_ARC
(4,7),-0.144191 # DEPENDENCYPART_ARC
(4,8),0.119629 # DEPENDENCYPART_ARC
(4,9),-0.346237 # DEPENDENCYPART_ARC
(4,10),0.040567 # DEPENDENCYPART_ARC
(4,11),-1.68439 # DEPENDENCYPART_ARC
(4,12),-0.259717 # DEPENDENCYPART_ARC
(4,13),-0.484516 # DEPENDENCYPART_ARC
(4,14),0.126059 # DEPENDENCYPART_ARC
(4,15),-1.29131 # DEPENDENCYPART_ARC
(4,16),-0.711994 # DEPENDENCYPART_ARC
(4,17),-1.09586 # DEPENDENCYPART_ARC
(4,18),-1.00458 # DEPENDENCYPART_ARC
(4,19),-1.36469 # DEPENDENCYPART_ARC
(4,20),-0.948174 # DEPENDENCYPART_ARC
(5,1),-1.53383 # DEPENDENCYPART_ARC
(5,2),-1.59346 # DEPENDENCYPART_ARC
(5,3),-1.45795 # DEPENDENCYPART_ARC
(5,4),0.0807861 # DEPENDENCYPART_ARC
(5,6),-0.271631 # DEPENDENCYPART_ARC
(5,7),-1.07264 # DEPENDENCYPART_ARC
(5,8),-0.943153 # DEPENDENCYPART_ARC
(5,9),-1.20112 # DEPENDENCYPART_ARC
(5,10),-1.20922 # DEPENDENCYPART_ARC
(5,11),-1.45684 # DEPENDENCYPART_ARC
(5,12),-1.04221 # DEPENDENCYPART_ARC
(5,13),-1.35148 # DEPENDENCYPART_ARC
(5,14),-1.11888 # DEPENDENCYPART_ARC
(5,15),-1.44123 # DEPENDENCYPART_ARC
(5,16),-1.48905 # DEPENDENCYPART_ARC
(5,17),-1.43385 # DEPENDENCYPART_ARC
(5,18),-1.69644 # DEPENDENCYPART_ARC
(5,19),-1.39888 # DEPENDENCYPART_ARC
(5,20),-1.77115 # DEPENDENCYPART_ARC
(6,1),-0.214354 # DEPENDENCYPART_ARC
(6,2),-1.79195 # DEPENDENCYPART_ARC
(6,3),0.388536 # DEPENDENCYPART_ARC
(6,4),0.542834 # DEPENDENCYPART_ARC
(6,5),-0.366137 # DEPENDENCYPART_ARC
(6,7),0.1544 # DEPENDENCYPART_ARC
(6,8),-0.0820331 # DEPENDENCYPART_ARC
(6,9),-0.505404 # DEPENDENCYPART_ARC
(6,10),-0.276956 # DEPENDENCYPART_ARC
(6,11),-0.557126 # DEPENDENCYPART_ARC
(6,12),0.10145 # DEPENDENCYPART_ARC
(6,13),-0.574227 # DEPENDENCYPART_ARC
(6,14),-0.659562 # DEPENDENCYPART_ARC
(6,15),-0.53752 # DEPENDENCYPART_ARC
(6,16),-0.799681 # DEPENDENCYPART_ARC
(6,17),-1.19549 # DEPENDENCYPART_ARC
(6,18),-0.766942 # DEPENDENCYPART_ARC
(6,19),-0.860551 # DEPENDENCYPART_ARC
(6,20),-1.94081 # DEPENDENCYPART_ARC
(7,1),-1.32422 # DEPENDENCYPART_ARC
(7,2),-2.26342 # DEPENDENCYPART_ARC
(7,3),-1.22111 # DEPENDENCYPART_ARC
(7,4),-1.34758 # DEPENDENCYPART_ARC
(7,5),-0.674315 # DEPENDENCYPART_ARC
(7,6),-0.0188788 # DEPENDENCYPART_ARC
(7,8),0.0949741 # DEPENDENCYPART_ARC
(7,9),-0.236266 # DEPENDENCYPART_ARC
(7,10),-0.521408 # DEPENDENCYPART_ARC
(7,11),-1.75864 # DEPENDENCYPART_ARC
(7,12),-0.77238 # DEPENDENCYPART_ARC
(7,13),-0.87647 # DEPENDENCYPART_ARC
(7,14),-0.785809 # DEPENDENCYPART_ARC
(7,15),-1.61315 # DEPENDENCYPART_ARC
(7,16),-1.18407 # DEPENDENCYPART_ARC
(7,17),-1.49807 # DEPENDENCYPART_ARC
(7,18),-1.44631 # DEPENDENCYPART_ARC
(7,19),-2.03292 # DEPENDENCYPART_ARC
(7,20),-1.59966 # DEPENDENCYPART_ARC
(8,1),-0.278229 # DEPENDENCYPART_ARC
(8,2),-0.640084 # DEPENDENCYPART_ARC
(8,3),-0.43146 # DEPENDENCYPART_ARC
(8,4),0.0990807 # DEPENDENCYPART_ARC
(8,5),0.136853 # DEPENDENCYPART_ARC
(8,6),0.725201 # DEPENDENCYPART_ARC
(8,7),3.29768 # DEPENDENCYPART_ARC
(8,9),0.133486 # DEPENDENCYPART_ARC
(8,10),-0.136829 # DEPENDENCYPART_ARC
(8,11),0.00306514 # DEPENDENCYPART_ARC
(8,12),0.277246 # DEPENDENCYPART_ARC
(8,13),-0.423472 # DEPENDENCYPART_ARC
(8,14),-0.59343 # DEPENDENCYPART_ARC
(8,15),-0.415189 # DEPENDENCYPART_ARC
(8,16),-0.674162 # DEPENDENCYPART_ARC
(8,17),-0.564416 # DEPENDENCYPART_ARC
(8,18),-0.365912 # DEPENDENCYPART_ARC
(8,19),-0.788772 # DEPENDENCYPART_ARC
(8,20),-0.828416 # DEPENDENCYPART_ARC
(9,1),-1.30331 # DEPENDENCYPART_ARC
(9,2),-2.34765 # DEPENDENCYPART_ARC
(9,3),-1.27952 # DEPENDENCYPART_ARC
(9,4),-1.03095 # DEPENDENCYPART_ARC
(9,5),-1.27662 # DEPENDENCYPART_ARC
(9,6),-0.409826 # DEPENDENCYPART_ARC
(9,7),0.12961 # DEPENDENCYPART_ARC
(9,8),0.447121 # DEPENDENCYPART_ARC
(9,10),0.380119 # DEPENDENCYPART_ARC
(9,11),0.21298 # DEPENDENCYPART_ARC
(9,12),-0.190228 # DEPENDENCYPART_ARC
(9,13),-0.312624 # DEPENDENCYPART_ARC
(9,14),-0.527674 # DEPENDENCYPART_ARC
(9,15),-0.531251 # DEPENDENCYPART_ARC
(9,16),-0.767616 # DEPENDENCYPART_ARC
(9,17),-0.797631 # DEPENDENCYPART_ARC
(9,18),-0.345435 # DEPENDENCYPART_ARC
(9,19),-0.668801 # DEPENDENCYPART_ARC
(9,20),-0.810377 # DEPENDENCYPART_ARC
(10,1),-1.29188 # DEPENDENCYPART_ARC
(10,2),-1.37533 # DEPENDENCYPART_ARC
(10,3),-1.26973 # DEPENDENCYPART_ARC
(10,4),-1.25974 # DEPENDENCYPART_ARC
(10,5),-1.04308 # DEPENDENCYPART_ARC
(10,6),-0.730578 # DEPENDENCYPART_ARC
(10,7),-0.760019 # DEPENDENCYPART_ARC
(10,8),-0.526371 # DEPENDENCYPART_ARC
(10,9),0.441729 # DEPENDENCYPART_ARC
(10,11),0.0277113 # DEPENDENCYPART_ARC
(10,12),-0.0543589 # DEPENDENCYPART_ARC
(10,13),-0.247432 # DEPENDENCYPART_ARC
(10,14),-0.463471 # DEPENDENCYPART_ARC
(10,15),-0.85257 # DEPENDENCYPART_ARC
(10,16),-0.669357 # DEPENDENCYPART_ARC
(10,17),-0.65281 # DEPENDENCYPART_ARC
(10,18),-0.82217 # DEPENDENCYPART_ARC
(10,19),-0.608639 # DEPENDENCYPART_ARC
(10,20),-0.747961 # DEPENDENCYPART_ARC
(11,1),-0.285539 # DEPENDENCYPART_ARC
(11,2),-2.36932 # DEPENDENCYPART_ARC
(11,3),-0.154908 # DEPENDENCYPART_ARC
(11,4),-0.236551 # DEPENDENCYPART_ARC
(11,5),0.0278715 # DEPENDENCYPART_ARC
(11,6),0.356171 # DEPENDENCYPART_ARC
(11,7),1.03046 # DEPENDENCYPART_ARC
(11,8),1.01556 # DEPENDENCYPART_ARC
(11,9),2.26232 # DEPENDENCYPART_ARC
(11,10),2.76747 # DEPENDENCYPART_ARC
(11,12),-0.0255988 # DEPENDENCYPART_ARC
(11,13),-0.364421 # DEPENDENCYPART_ARC
(11,14),-0.530295 # DEPENDENCYPART_ARC
(11,15),-1.3201 # DEPENDENCYPART_ARC
(11,16),-0.992281 # DEPENDENCYPART_ARC
(11,17),-1.31954 # DEPENDENCYPART_ARC
(11,18),-1.23013 # DEPENDENCYPART_ARC
(11,19),-1.58969 # DEPENDENCYPART_ARC
(11,20),-1.31984 # DEPENDENCYPART_ARC
(12,1),-0.509866 # DEPENDENCYPART_ARC
(12,2),-0.79153 # DEPENDENCYPART_ARC
(12,3),-1.09575 # DEPENDENCYPART_ARC
(12,4),-0.678571 # DEPENDENCYPART_ARC
(12,5),-0.182312 # DEPENDENCYPART_ARC
(12,6),0.199977 # DEPENDENCYPART_ARC
(12,7),0.833783 # DEPENDENCYPART_ARC
(12,8),0.138514 # DEPENDENCYPART_ARC
(12,9),0.326426 # DEPENDENCYPART_ARC
(12,10),0.828415 # DEPENDENCYPART_ARC
(12,11),3.11854 # DEPENDENCYPART_ARC
(12,13),0.0335896 # DEPENDENCYPART_ARC
(12,14),-0.534993 # DEPENDENCYPART_ARC
(12,15),-0.959301 # DEPENDENCYPART_ARC
(12,16),-0.64178 # DEPENDENCYPART_ARC
(12,17),-0.791675 # DEPENDENCYPART_ARC
(12,18),-1.05561 # DEPENDENCYPART_ARC
(12,19),-0.793694 # DEPENDENCYPART_ARC
(12,20),-0.984621 # DEPENDENCYPART_ARC
(13,1),-0.38773 # DEPENDENCYPART_ARC
(13,2),-3.06141 # DEPENDENCYPART_ARC
(13,3),-0.230629 # DEPENDENCYPART_ARC
(13,4),-0.360537 # DEPENDENCYPART_ARC
(13,5),-1.05108 # DEPENDENCYPART_ARC
(13,6),-0.0123244 # DEPENDENCYPART_ARC
(13,7),0.195408 # DEPENDENCYPART_ARC
(13,8),0.0873691 # DEPENDENCYPART_ARC
(13,9),0.165907 # DEPENDENCYPART_ARC
(13,10),0.214316 # DEPENDENCYPART_ARC
(13,11),0.723659 # DEPENDENCYPART_ARC
(13,12),0.487408 # DEPENDENCYPART_ARC
(13,14),-0.230929 # DEPENDENCYPART_ARC
(13,15),-0.507737 # DEPENDENCYPART_ARC
(13,16),-0.376978 # DEPENDENCYPART_ARC
(13,17),-0.481328 # DEPENDENCYPART_ARC
(13,18),-0.500944 # DEPENDENCYPART_ARC
(13,19),-0.267181 # DEPENDENCYPART_ARC
(13,20),-1.51246 # DEPENDENCYPART_ARC
(14,1),-1.54858 # DEPENDENCYPART_ARC
(14,2),-1.55359 # DEPENDENCYPART_ARC
(14,3),-1.39464 # DEPENDENCYPART_ARC
(14,4),-1.4221 # DEPENDENCYPART_ARC
(14,5),-1.11966 # DEPENDENCYPART_ARC
(14,6),-1.35966 # DEPENDENCYPART_ARC
(14,7),-1.4587 # DEPENDENCYPART_ARC
(14,8),-1.37744 # DEPENDENCYPART_ARC
(14,9),-1.37316 # DEPENDENCYPART_ARC
(14,10),-1.35407 # DEPENDENCYPART_ARC
(14,11),-1.30265 # DEPENDENCYPART_ARC
(14,12),-1.10981 # DEPENDENCYPART_ARC
(14,13),0.0323734 # DEPENDENCYPART_ARC
(14,15),0.107036 # DEPENDENCYPART_ARC
(14,16),-0.0908496 # DEPENDENCYPART_ARC
(14,17),-0.164067 # DEPENDENCYPART_ARC
(14,18),-0.318329 # DEPENDENCYPART_ARC
(14,19),-0.359927 # DEPENDENCYPART_ARC
(14,20),-0.399937 # DEPENDENCYPART_ARC
(15,1),-0.705151 # DEPENDENCYPART_ARC
(15,2),-3.21065 # DEPENDENCYPART_ARC
(15,3),0.226913 # DEPENDENCYPART_ARC
(15,4),0.0217433 # DEPENDENCYPART_ARC
(15,5),-0.276195 # DEPENDENCYPART_ARC
(15,6),0.107475 # DEPENDENCYPART_ARC
(15,7),-0.159632 # DEPENDENCYPART_ARC
(15,8),0.203511 # DEPENDENCYPART_ARC
(15,9),0.987788 # DEPENDENCYPART_ARC
(15,10),0.852853 # DEPENDENCYPART_ARC
(15,11),-0.60799 # DEPENDENCYPART_ARC
(15,12),0.536466 # DEPENDENCYPART_ARC
(15,13),0.69581 # DEPENDENCYPART_ARC
(15,14),3.06948 # DEPENDENCYPART_ARC
(15,16),0.388236 # DEPENDENCYPART_ARC
(15,17),-0.213074 # DEPENDENCYPART_ARC
(15,18),-0.273951 # DEPENDENCYPART_ARC
(15,19),-0.500229 # DEPENDENCYPART_ARC
(15,20),-0.76656 # DEPENDENCYPART_ARC
(16,1),-1.09528 # DEPENDENCYPART_ARC
(16,2),-7.3447 # DEPENDENCYPART_ARC
(16,3),-0.705763 # DEPENDENCYPART_ARC
(16,4),-0.355966 # DEPENDENCYPART_ARC
(16,5),-0.973263 # DEPENDENCYPART_ARC
(16,6),-0.476643 # DEPENDENCYPART_ARC
(16,7),-0.499653 # DEPENDENCYPART_ARC
(16,8),0.025772 # DEPENDENCYPART_ARC
(16,9),-1.13242 # DEPENDENCYPART_ARC
(16,10),-0.753963 # DEPENDENCYPART_ARC
(16,11),-0.320396 # DEPENDENCYPART_ARC
(16,12),0.441594 # DEPENDENCYPART_ARC
(16,13),-0.12076 # DEPENDENCYPART_ARC
(16,14),0.241481 # DEPENDENCYPART_ARC
(16,15),1.55218 # DEPENDENCYPART_ARC
(16,17),0.50096 # DEPENDENCYPART_ARC
(16,18),0.543535 # DEPENDENCYPART_ARC
(16,19),0.38286 # DEPENDENCYPART_ARC
(16,20),-0.544738 # DEPENDENCYPART_ARC
(17,1),-0.511326 # DEPENDENCYPART_ARC
(17,2),-8.27762 # DEPENDENCYPART_ARC
(17,3),-0.0864724 # DEPENDENCYPART_ARC
(17,4),-0.0658575 # DEPENDENCYPART_ARC
(17,5),-0.658422 # DEPENDENCYPART_ARC
(17,6),-0.469804 # DEPENDENCYPART_ARC
(17,7),-0.232935 # DEPENDENCYPART_ARC
(17,8),0.185729 # DEPENDENCYPART_ARC
(17,9),-0.727036 # DEPENDENCYPART_ARC
(17,10),-0.506128 # DEPENDENCYPART_ARC
(17,11),0.240465 # DEPENDENCYPART_ARC
(17,12),0.559416 # DEPENDENCYPART_ARC
(17,13),-0.0191818 # DEPENDENCYPART_ARC
(17,14),0.158326 # DEPENDENCYPART_ARC
(17,15),2.50491 # DEPENDENCYPART_ARC
(17,16),3.29121 # DEPENDENCYPART_ARC
(17,18),0.757303 # DEPENDENCYPART_ARC
(17,19),-0.0206605 # DEPENDENCYPART_ARC
(17,20),-0.667081 # DEPENDENCYPART_ARC
(18,1),-1.02079 # DEPENDENCYPART_ARC
(18,2),-4.8692 # DEPENDENCYPART_ARC
(18,3),0.959885 # DEPENDENCYPART_ARC
(18,4),0.789599 # DEPENDENCYPART_ARC
(18,5),-0.23481 # DEPENDENCYPART_ARC
(18,6),0.136964 # DEPENDENCYPART_ARC
(18,7),0.62205 # DEPENDENCYPART_ARC
(18,8),0.46763 # DEPENDENCYPART_ARC
(18,9),0.4958 # DEPENDENCYPART_ARC
(18,10),0.72542 # DEPENDENCYPART_ARC
(18,11),-0.26369 # DEPENDENCYPART_ARC
(18,12),0.31454 # DEPENDENCYPART_ARC
(18,13),0.351454 # DEPENDENCYPART_ARC
(18,14),1.47229 # DEPENDENCYPART_ARC
(18,15),2.88106 # DEPENDENCYPART_ARC
(18,16),1.30291 # DEPENDENCYPART_ARC
(18,17),3.10975 # DEPENDENCYPART_ARC
(18,19),-0.349131 # DEPENDENCYPART_ARC
(18,20),-0.115343 # DEPENDENCYPART_ARC
(19,1),-0.619304 # DEPENDENCYPART_ARC
(19,2),-7.29245 # DEPENDENCYPART_ARC
(19,3),0.222377 # DEPENDENCYPART_ARC
(19,4),0.318176 # DEPENDENCYPART_ARC
(19,5),-0.652458 # DEPENDENCYPART_ARC
(19,6),-0.0620155 # DEPENDENCYPART_ARC
(19,7),0.282776 # DEPENDENCYPART_ARC
(19,8),1.51785 # DEPENDENCYPART_ARC
(19,9),-0.387002 # DEPENDENCYPART_ARC
(19,10),-0.0485281 # DEPENDENCYPART_ARC
(19,11),-0.245227 # DEPENDENCYPART_ARC
(19,12),1.85695 # DEPENDENCYPART_ARC
(19,13),0.591565 # DEPENDENCYPART_ARC
(19,14),0.337672 # DEPENDENCYPART_ARC
(19,15),0.289919 # DEPENDENCYPART_ARC
(19,16),-0.47133 # DEPENDENCYPART_ARC
(19,17),0.232313 # DEPENDENCYPART_ARC
(19,18),3.90517 # DEPENDENCYPART_ARC
(19,20),-0.433686 # DEPENDENCYPART_ARC
(20,1),-0.204936 # DEPENDENCYPART_ARC
(20,2),-5.74351 # DEPENDENCYPART_ARC
(20,3),0.397511 # DEPENDENCYPART_ARC
(20,4),-0.247223 # DEPENDENCYPART_ARC
(20,5),-1.5705 # DEPENDENCYPART_ARC
(20,6),-0.648952 # DEPENDENCYPART_ARC
(20,7),0.017904 # DEPENDENCYPART_ARC
(20,8),-0.236339 # DEPENDENCYPART_ARC
(20,9),-0.932123 # DEPENDENCYPART_ARC
(20,10),-0.149283 # DEPENDENCYPART_ARC
(20,11),0.191725 # DEPENDENCYPART_ARC
(20,12),-0.849164 # DEPENDENCYPART_ARC
(20,13),-0.0293715 # DEPENDENCYPART_ARC
(20,14),0.208075 # DEPENDENCYPART_ARC
(20,15),0.146604 # DEPENDENCYPART_ARC
(20,16),-1.6773 # DEPENDENCYPART_ARC
(20,17),-1.03423 # DEPENDENCYPART_ARC
(20,18),0.105345 # DEPENDENCYPART_ARC
(20,19),1.75042 # DEPENDENCYPART_ARC
