# _root_ Kendi yaşam alanını güvence altında _ gören _ Papalık , bunun _ verdiği _ rahatlıkla , yakın geçmişte Darwin'le bile _ barışmakta bir beis görmemiştir .
#goldHeads=3,3,6,5,6,7,8,9,25,0,12,13,14,15,25,0,18,21,21,19,22,25,24,25,26,0,
#predictedHeads=2,3,6,5,6,7,9,9,10,0,12,13,15,15,16,0,18,21,21,21,22,25,24,25,26,0,
(10,17),-0.906407 # DEPENDENCYPART_ARC
(10,18),-0.517178 # DEPENDENCYPART_ARC
(10,19),-0.323415 # DEPENDENCYPART_ARC
(10,20),-0.538507 # DEPENDENCYPART_ARC
(10,21),-0.846675 # DEPENDENCYPART_ARC
(10,22),-0.708524 # DEPENDENCYPART_ARC
(10,23),-0.793039 # DEPENDENCYPART_ARC
(10,24),-0.866422 # DEPENDENCYPART_ARC
(10,25),-0.552829 # DEPENDENCYPART_ARC
(10,26),-1.91644 # DEPENDENCYPART_ARC
(11,2),-1.56705 # DEPENDENCYPART_ARC
(11,3),-1.67089 # DEPENDENCYPART_ARC
(11,4),-1.49129 # DEPENDENCYPART_ARC
(11,5),-1.67392 # DEPENDENCYPART_ARC
(11,7),-0.815018 # DEPENDENCYPART_ARC
(11,8),-1.00647 # DEPENDENCYPART_ARC
(11,9),0.469837 # DEPENDENCYPART_ARC
(11,10),0.241781 # DEPENDENCYPART_ARC
(11,14),-0.297318 # DEPENDENCYPART_ARC
(11,15),0.12223 # DEPENDENCYPART_ARC
(11,16),-0.268549 # DEPENDENCYPART_ARC
(11,17),-0.497381 # DEPENDENCYPART_ARC
(11,18),-0.744657 # DEPENDENCYPART_ARC
(11,20),-0.453858 # DEPENDENCYPART_ARC
(11,23),-0.588508 # DEPENDENCYPART_ARC
(11,24),-0.737484 # DEPENDENCYPART_ARC
(11,26),-0.976153 # DEPENDENCYPART_ARC
(12,1),-2.3859 # DEPENDENCYPART_ARC
(12,2),-0.0250091 # DEPENDENCYPART_ARC
(12,3),0.742494 # DEPENDENCYPART_ARC
(12,4),0.263718 # DEPENDENCYPART_ARC
(12,5),0.676112 # DEPENDENCYPART_ARC
(12,6),-2.57933 # DEPENDENCYPART_ARC
(12,7),-0.237909 # DEPENDENCYPART_ARC
(12,8),-0.157684 # DEPENDENCYPART_ARC
(12,9),0.621981 # DEPENDENCYPART_ARC
(12,10),0.456593 # DEPENDENCYPART_ARC
(12,11),2.34223 # DEPENDENCYPART_ARC
(12,13),0.196128 # DEPENDENCYPART_ARC
(12,14),-0.413914 # DEPENDENCYPART_ARC
(12,15),0.235434 # DEPENDENCYPART_ARC
(12,16),-0.355357 # DEPENDENCYPART_ARC
(12,17),-1.17054 # DEPENDENCYPART_ARC
(12,18),-1.90811 # DEPENDENCYPART_ARC
(12,19),-2.0179 # DEPENDENCYPART_ARC
(12,20),-0.53076 # DEPENDENCYPART_ARC
(12,21),-1.5738 # DEPENDENCYPART_ARC
(12,22),-1.99693 # DEPENDENCYPART_ARC
(12,23),-1.02372 # DEPENDENCYPART_ARC
(12,24),-2.71052 # DEPENDENCYPART_ARC
(12,25),-1.47642 # DEPENDENCYPART_ARC
(12,26),-1.35313 # DEPENDENCYPART_ARC
(13,2),-0.514049 # DEPENDENCYPART_ARC
(13,3),0.160573 # DEPENDENCYPART_ARC
(13,4),-0.151094 # DEPENDENCYPART_ARC
(13,5),0.288243 # DEPENDENCYPART_ARC
(13,6),-0.68388 # DEPENDENCYPART_ARC
(13,8),0.0608992 # DEPENDENCYPART_ARC
(13,9),-0.0795678 # DEPENDENCYPART_ARC
(13,10),0.26192 # DEPENDENCYPART_ARC
(13,12),2.66476 # DEPENDENCYPART_ARC
(13,14),-0.480927 # DEPENDENCYPART_ARC
(13,15),-0.251022 # DEPENDENCYPART_ARC
(13,16),-0.821246 # DEPENDENCYPART_ARC
(13,17),-1.4269 # DEPENDENCYPART_ARC
(13,18),-0.980941 # DEPENDENCYPART_ARC
(13,19),-1.0612 # DEPENDENCYPART_ARC
(13,20),-0.955572 # DEPENDENCYPART_ARC
(13,21),-1.39387 # DEPENDENCYPART_ARC
(13,22),-0.858535 # DEPENDENCYPART_ARC
(13,24),-1.41338 # DEPENDENCYPART_ARC
(13,25),-1.47665 # DEPENDENCYPART_ARC
(13,26),-1.84742 # DEPENDENCYPART_ARC
(14,1),-0.970118 # DEPENDENCYPART_ARC
(14,2),-0.841112 # DEPENDENCYPART_ARC
(14,3),-0.403301 # DEPENDENCYPART_ARC
(14,4),-0.362785 # DEPENDENCYPART_ARC
(14,5),0.424508 # DEPENDENCYPART_ARC
(14,6),-2.65238 # DEPENDENCYPART_ARC
(14,7),-0.764715 # DEPENDENCYPART_ARC
(14,8),-0.714859 # DEPENDENCYPART_ARC
(14,9),-0.275089 # DEPENDENCYPART_ARC
(14,10),-0.0764553 # DEPENDENCYPART_ARC
(14,11),0.421416 # DEPENDENCYPART_ARC
(14,12),1.0069 # DEPENDENCYPART_ARC
(14,13),0.946419 # DEPENDENCYPART_ARC
(14,15),0.234535 # DEPENDENCYPART_ARC
(14,16),-0.160021 # DEPENDENCYPART_ARC
(14,17),-1.07105 # DEPENDENCYPART_ARC
(14,18),-0.913584 # DEPENDENCYPART_ARC
(14,19),-1.15854 # DEPENDENCYPART_ARC
(14,20),-0.762513 # DEPENDENCYPART_ARC
(14,21),-1.20477 # DEPENDENCYPART_ARC
(14,22),-1.09956 # DEPENDENCYPART_ARC
(14,23),-0.58086 # DEPENDENCYPART_ARC
(14,24),-1.21733 # DEPENDENCYPART_ARC
(14,25),-1.4711 # DEPENDENCYPART_ARC
(14,26),-1.47094 # DEPENDENCYPART_ARC
(15,1),-0.450842 # DEPENDENCYPART_ARC
(15,2),0.154563 # DEPENDENCYPART_ARC
(15,3),-1.38089 # DEPENDENCYPART_ARC
(15,4),0.568065 # DEPENDENCYPART_ARC
(15,5),-1.3352 # DEPENDENCYPART_ARC
(15,6),-3.57067 # DEPENDENCYPART_ARC
(15,7),0.0447302 # DEPENDENCYPART_ARC
(15,8),-1.83954 # DEPENDENCYPART_ARC
(15,9),-0.27086 # DEPENDENCYPART_ARC
(15,10),0.889123 # DEPENDENCYPART_ARC
(15,11),0.676903 # DEPENDENCYPART_ARC
(15,12),-0.518536 # DEPENDENCYPART_ARC
(15,13),1.41774 # DEPENDENCYPART_ARC
(15,14),2.70065 # DEPENDENCYPART_ARC
(15,16),-0.411248 # DEPENDENCYPART_ARC
(15,17),-0.780323 # DEPENDENCYPART_ARC
(15,18),-1.51402 # DEPENDENCYPART_ARC
(15,19),-1.45597 # DEPENDENCYPART_ARC
(15,20),-0.961601 # DEPENDENCYPART_ARC
(15,21),-1.85647 # DEPENDENCYPART_ARC
(15,22),-1.72852 # DEPENDENCYPART_ARC
(15,23),-1.09816 # DEPENDENCYPART_ARC
(15,24),-1.41085 # DEPENDENCYPART_ARC
(15,25),-1.07093 # DEPENDENCYPART_ARC
(15,26),-1.75009 # DEPENDENCYPART_ARC
(16,1),-0.233921 # DEPENDENCYPART_ARC
(16,2),-0.19541 # DEPENDENCYPART_ARC
(16,3),-0.0673709 # DEPENDENCYPART_ARC
(16,4),0.0312539 # DEPENDENCYPART_ARC
(16,5),0.113415 # DEPENDENCYPART_ARC
(16,6),-2.63166 # DEPENDENCYPART_ARC
(16,7),-0.692655 # DEPENDENCYPART_ARC
(16,8),-1.57715 # DEPENDENCYPART_ARC
(16,9),0.0350859 # DEPENDENCYPART_ARC
(16,10),0.378163 # DEPENDENCYPART_ARC
(16,11),-0.0165477 # DEPENDENCYPART_ARC
(16,12),-0.592301 # DEPENDENCYPART_ARC
(16,13),0.235731 # DEPENDENCYPART_ARC
(16,14),-0.401646 # DEPENDENCYPART_ARC
(16,15),1.39732 # DEPENDENCYPART_ARC
(16,17),-0.551697 # DEPENDENCYPART_ARC
(16,18),-0.568049 # DEPENDENCYPART_ARC
(16,19),-0.451784 # DEPENDENCYPART_ARC
(16,20),-0.557324 # DEPENDENCYPART_ARC
(16,21),-0.699848 # DEPENDENCYPART_ARC
(16,22),-0.398968 # DEPENDENCYPART_ARC
(16,23),-0.584189 # DEPENDENCYPART_ARC
(16,24),-0.718054 # DEPENDENCYPART_ARC
(16,25),-0.495397 # DEPENDENCYPART_ARC
(16,26),-1.32228 # DEPENDENCYPART_ARC
(17,1),-1.02331 # DEPENDENCYPART_ARC
(17,2),-0.973392 # DEPENDENCYPART_ARC
(17,3),-0.730565 # DEPENDENCYPART_ARC
(17,4),-0.588817 # DEPENDENCYPART_ARC
(17,5),-0.0524016 # DEPENDENCYPART_ARC
(17,6),-2.45412 # DEPENDENCYPART_ARC
(17,7),-0.96305 # DEPENDENCYPART_ARC
(17,8),-1.249 # DEPENDENCYPART_ARC
(17,9),-0.55585 # DEPENDENCYPART_ARC
(17,10),-0.617063 # DEPENDENCYPART_ARC
(17,11),-0.532631 # DEPENDENCYPART_ARC
(17,12),-0.556758 # DEPENDENCYPART_ARC
(17,13),-0.630026 # DEPENDENCYPART_ARC
(17,14),-0.449837 # DEPENDENCYPART_ARC
(17,15),-0.00835654 # DEPENDENCYPART_ARC
(17,16),0.83091 # DEPENDENCYPART_ARC
(17,18),0.114929 # DEPENDENCYPART_ARC
(17,19),-0.190404 # DEPENDENCYPART_ARC
(17,20),-0.238241 # DEPENDENCYPART_ARC
(17,21),-0.573819 # DEPENDENCYPART_ARC
(17,22),-0.463207 # DEPENDENCYPART_ARC
(17,23),-0.459803 # DEPENDENCYPART_ARC
(17,24),-0.600538 # DEPENDENCYPART_ARC
(17,25),-0.825503 # DEPENDENCYPART_ARC
(17,26),-0.926503 # DEPENDENCYPART_ARC
(18,1),-1.18765 # DEPENDENCYPART_ARC
(18,2),-0.69689 # DEPENDENCYPART_ARC
(18,3),-1.47683 # DEPENDENCYPART_ARC
(18,4),-0.433324 # DEPENDENCYPART_ARC
(18,5),-1.4875 # DEPENDENCYPART_ARC
(18,6),-5.10177 # DEPENDENCYPART_ARC
(18,7),0.26378 # DEPENDENCYPART_ARC
(18,8),-4.05566 # DEPENDENCYPART_ARC
(18,9),-0.25294 # DEPENDENCYPART_ARC
(18,10),0.0294493 # DEPENDENCYPART_ARC
(18,11),-0.622733 # DEPENDENCYPART_ARC
(18,12),-2.57867 # DEPENDENCYPART_ARC
(18,13),0.770248 # DEPENDENCYPART_ARC
(18,14),-0.856117 # DEPENDENCYPART_ARC
(18,15),-1.15986 # DEPENDENCYPART_ARC
(18,16),0.720839 # DEPENDENCYPART_ARC
(18,17),2.57982 # DEPENDENCYPART_ARC
(18,19),0.216133 # DEPENDENCYPART_ARC
(18,20),0.810559 # DEPENDENCYPART_ARC
(18,21),-0.252803 # DEPENDENCYPART_ARC
(18,22),-0.544014 # DEPENDENCYPART_ARC
(18,23),0.151849 # DEPENDENCYPART_ARC
(18,24),-0.271191 # DEPENDENCYPART_ARC
(18,25),-0.529263 # DEPENDENCYPART_ARC
(18,26),-0.356608 # DEPENDENCYPART_ARC
(19,2),-1.40987 # DEPENDENCYPART_ARC
(19,3),-2.2402 # DEPENDENCYPART_ARC
(19,4),-1.26051 # DEPENDENCYPART_ARC
(19,5),-2.07892 # DEPENDENCYPART_ARC
(19,6),-5.71603 # DEPENDENCYPART_ARC
(19,7),-0.0913395 # DEPENDENCYPART_ARC
(19,8),-5.04064 # DEPENDENCYPART_ARC
(19,9),-1.13018 # DEPENDENCYPART_ARC
(19,10),0.275678 # DEPENDENCYPART_ARC
(19,12),-3.22425 # DEPENDENCYPART_ARC
(19,13),-0.434535 # DEPENDENCYPART_ARC
(19,14),-1.85065 # DEPENDENCYPART_ARC
(19,15),-1.98642 # DEPENDENCYPART_ARC
(19,16),0.738808 # DEPENDENCYPART_ARC
(19,17),1.19672 # DEPENDENCYPART_ARC
(19,18),0.95344 # DEPENDENCYPART_ARC
(19,20),1.06382 # DEPENDENCYPART_ARC
(19,21),-0.250881 # DEPENDENCYPART_ARC
(19,23),0.272511 # DEPENDENCYPART_ARC
(19,24),-0.6789 # DEPENDENCYPART_ARC
(19,25),-0.917175 # DEPENDENCYPART_ARC
(19,26),-0.389404 # DEPENDENCYPART_ARC
(20,1),-0.476886 # DEPENDENCYPART_ARC
(20,2),-1.42093 # DEPENDENCYPART_ARC
(20,3),-1.58373 # DEPENDENCYPART_ARC
(20,4),-1.4569 # DEPENDENCYPART_ARC
(20,5),-1.44356 # DEPENDENCYPART_ARC
(20,6),-2.13182 # DEPENDENCYPART_ARC
(20,7),-1.30492 # DEPENDENCYPART_ARC
(20,8),-1.58078 # DEPENDENCYPART_ARC
(20,9),-1.42717 # DEPENDENCYPART_ARC
(20,10),-0.460153 # DEPENDENCYPART_ARC
(20,12),-1.1491 # DEPENDENCYPART_ARC
(20,14),-0.759309 # DEPENDENCYPART_ARC
(20,15),-1.18786 # DEPENDENCYPART_ARC
(20,16),-0.0377891 # DEPENDENCYPART_ARC
(20,17),-0.382972 # DEPENDENCYPART_ARC
(20,18),0.0572094 # DEPENDENCYPART_ARC
(20,19),0.821914 # DEPENDENCYPART_ARC
(20,21),-0.0972102 # DEPENDENCYPART_ARC
(20,22),-0.580071 # DEPENDENCYPART_ARC
(20,23),-0.427839 # DEPENDENCYPART_ARC
(20,24),-0.917465 # DEPENDENCYPART_ARC
(20,25),-0.765048 # DEPENDENCYPART_ARC
(20,26),-0.891321 # DEPENDENCYPART_ARC
(21,1),-2.86524 # DEPENDENCYPART_ARC
(21,2),-0.0032867 # DEPENDENCYPART_ARC
(21,3),0.4745 # DEPENDENCYPART_ARC
(21,4),0.0662594 # DEPENDENCYPART_ARC
(21,5),0.67871 # DEPENDENCYPART_ARC
(21,6),-9.10354 # DEPENDENCYPART_ARC
(21,7),-0.478537 # DEPENDENCYPART_ARC
(21,8),-6.76431 # DEPENDENCYPART_ARC
(21,9),0.237763 # DEPENDENCYPART_ARC
(21,10),-0.425927 # DEPENDENCYPART_ARC
(21,11),1.7977 # DEPENDENCYPART_ARC
(21,12),-5.15167 # DEPENDENCYPART_ARC
(21,13),-0.656921 # DEPENDENCYPART_ARC
(21,14),-3.81273 # DEPENDENCYPART_ARC
(21,15),0.27759 # DEPENDENCYPART_ARC
(21,16),0.2414 # DEPENDENCYPART_ARC
(21,17),0.236818 # DEPENDENCYPART_ARC
(21,18),1.64841 # DEPENDENCYPART_ARC
(21,19),2.31728 # DEPENDENCYPART_ARC
(21,20),1.56048 # DEPENDENCYPART_ARC
