# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,5,3,0,12,6,13,10,12,12,13,19,19,19,15,18,19,20,0,
(4,8),-1.39393 # DEPENDENCYPART_ARC
(4,9),-1.39198 # DEPENDENCYPART_ARC
(4,10),-1.49091 # DEPENDENCYPART_ARC
(4,11),-1.34064 # DEPENDENCYPART_ARC
(4,12),-1.74239 # DEPENDENCYPART_ARC
(4,13),-1.43074 # DEPENDENCYPART_ARC
(4,14),-1.39988 # DEPENDENCYPART_ARC
(4,15),-1.55595 # DEPENDENCYPART_ARC
(4,16),-1.38153 # DEPENDENCYPART_ARC
(4,17),-1.61567 # DEPENDENCYPART_ARC
(4,18),-1.75853 # DEPENDENCYPART_ARC
(4,19),-1.51249 # DEPENDENCYPART_ARC
(4,20),-1.67337 # DEPENDENCYPART_ARC
(5,1),-0.0837338 # DEPENDENCYPART_ARC
(5,2),-0.803112 # DEPENDENCYPART_ARC
(5,3),0.728005 # DEPENDENCYPART_ARC
(5,4),-0.345079 # DEPENDENCYPART_ARC
(5,6),-0.131686 # DEPENDENCYPART_ARC
(5,7),-0.396534 # DEPENDENCYPART_ARC
(5,8),-0.706778 # DEPENDENCYPART_ARC
(5,9),-0.0890567 # DEPENDENCYPART_ARC
(5,10),-1.09333 # DEPENDENCYPART_ARC
(5,11),-0.747919 # DEPENDENCYPART_ARC
(5,12),-0.448484 # DEPENDENCYPART_ARC
(5,13),-0.437367 # DEPENDENCYPART_ARC
(5,14),-0.735477 # DEPENDENCYPART_ARC
(5,15),-1.00893 # DEPENDENCYPART_ARC
(5,16),-1.22459 # DEPENDENCYPART_ARC
(5,17),-1.47205 # DEPENDENCYPART_ARC
(5,18),-0.793898 # DEPENDENCYPART_ARC
(5,19),-0.516789 # DEPENDENCYPART_ARC
(5,20),-1.23131 # DEPENDENCYPART_ARC
(6,1),-0.84167 # DEPENDENCYPART_ARC
(6,2),-0.53953 # DEPENDENCYPART_ARC
(6,3),-1.35996 # DEPENDENCYPART_ARC
(6,4),-0.608638 # DEPENDENCYPART_ARC
(6,5),0.587713 # DEPENDENCYPART_ARC
(6,7),2.18026 # DEPENDENCYPART_ARC
(6,8),-0.371798 # DEPENDENCYPART_ARC
(6,9),0.329124 # DEPENDENCYPART_ARC
(6,10),0.255347 # DEPENDENCYPART_ARC
(6,11),0.173765 # DEPENDENCYPART_ARC
(6,12),-0.154253 # DEPENDENCYPART_ARC
(6,13),0.07527 # DEPENDENCYPART_ARC
(6,14),0.321823 # DEPENDENCYPART_ARC
(6,15),-0.386997 # DEPENDENCYPART_ARC
(6,16),0.864848 # DEPENDENCYPART_ARC
(6,17),0.0934639 # DEPENDENCYPART_ARC
(6,18),-0.717264 # DEPENDENCYPART_ARC
(6,19),-0.310485 # DEPENDENCYPART_ARC
(6,20),0.0379313 # DEPENDENCYPART_ARC
(7,1),-1.21041 # DEPENDENCYPART_ARC
(7,2),-1.34771 # DEPENDENCYPART_ARC
(7,3),-0.491095 # DEPENDENCYPART_ARC
(7,4),-1.04357 # DEPENDENCYPART_ARC
(7,5),-0.685519 # DEPENDENCYPART_ARC
(7,6),0.847408 # DEPENDENCYPART_ARC
(7,8),-0.237865 # DEPENDENCYPART_ARC
(7,9),-0.323787 # DEPENDENCYPART_ARC
(7,10),-0.73484 # DEPENDENCYPART_ARC
(7,11),-0.599597 # DEPENDENCYPART_ARC
(7,12),-1.08057 # DEPENDENCYPART_ARC
(7,13),-0.870157 # DEPENDENCYPART_ARC
(7,14),-0.791154 # DEPENDENCYPART_ARC
(7,15),-1.17578 # DEPENDENCYPART_ARC
(7,16),-0.739523 # DEPENDENCYPART_ARC
(7,17),-1.31956 # DEPENDENCYPART_ARC
(7,18),-1.76205 # DEPENDENCYPART_ARC
(7,19),-1.41871 # DEPENDENCYPART_ARC
(7,20),-1.63029 # DEPENDENCYPART_ARC
(8,1),-0.519501 # DEPENDENCYPART_ARC
(8,2),-0.341066 # DEPENDENCYPART_ARC
(8,3),-1.33996 # DEPENDENCYPART_ARC
(8,4),-0.448994 # DEPENDENCYPART_ARC
(8,5),0.586316 # DEPENDENCYPART_ARC
(8,6),-0.180821 # DEPENDENCYPART_ARC
(8,7),0.891644 # DEPENDENCYPART_ARC
(8,9),0.369587 # DEPENDENCYPART_ARC
(8,10),0.00228259 # DEPENDENCYPART_ARC
(8,11),-0.141781 # DEPENDENCYPART_ARC
(8,12),-0.601264 # DEPENDENCYPART_ARC
(8,13),-0.601506 # DEPENDENCYPART_ARC
(8,14),-0.0160594 # DEPENDENCYPART_ARC
(8,15),-0.389588 # DEPENDENCYPART_ARC
(8,16),0.0566657 # DEPENDENCYPART_ARC
(8,17),-0.50884 # DEPENDENCYPART_ARC
(8,18),-1.3975 # DEPENDENCYPART_ARC
(8,19),-1.14388 # DEPENDENCYPART_ARC
(8,20),-0.778737 # DEPENDENCYPART_ARC
(9,1),-1.23162 # DEPENDENCYPART_ARC
(9,2),-1.15769 # DEPENDENCYPART_ARC
(9,3),-1.66741 # DEPENDENCYPART_ARC
(9,4),-0.882102 # DEPENDENCYPART_ARC
(9,5),-0.550839 # DEPENDENCYPART_ARC
(9,6),-0.569262 # DEPENDENCYPART_ARC
(9,7),-0.680761 # DEPENDENCYPART_ARC
(9,8),0.422838 # DEPENDENCYPART_ARC
(9,10),0.0298418 # DEPENDENCYPART_ARC
(9,11),-0.0713509 # DEPENDENCYPART_ARC
(9,12),-0.641072 # DEPENDENCYPART_ARC
(9,13),-0.430997 # DEPENDENCYPART_ARC
(9,14),-0.511343 # DEPENDENCYPART_ARC
(9,15),-0.541893 # DEPENDENCYPART_ARC
(9,16),-0.541858 # DEPENDENCYPART_ARC
(9,17),-1.25791 # DEPENDENCYPART_ARC
(9,18),-1.18083 # DEPENDENCYPART_ARC
(9,19),-1.04392 # DEPENDENCYPART_ARC
(9,20),-1.25788 # DEPENDENCYPART_ARC
(10,1),-0.481076 # DEPENDENCYPART_ARC
(10,2),-1.09668 # DEPENDENCYPART_ARC
(10,3),-0.719432 # DEPENDENCYPART_ARC
(10,4),-0.353267 # DEPENDENCYPART_ARC
(10,5),0.139521 # DEPENDENCYPART_ARC
(10,6),0.237428 # DEPENDENCYPART_ARC
(10,7),0.0686704 # DEPENDENCYPART_ARC
(10,8),0.865663 # DEPENDENCYPART_ARC
(10,9),1.95594 # DEPENDENCYPART_ARC
(10,11),0.294786 # DEPENDENCYPART_ARC
(10,12),0.209603 # DEPENDENCYPART_ARC
(10,13),-0.410642 # DEPENDENCYPART_ARC
(10,14),-0.392338 # DEPENDENCYPART_ARC
(10,15),-0.486831 # DEPENDENCYPART_ARC
(10,16),-0.66115 # DEPENDENCYPART_ARC
(10,17),-1.26091 # DEPENDENCYPART_ARC
(10,18),-0.855651 # DEPENDENCYPART_ARC
(10,19),-0.934378 # DEPENDENCYPART_ARC
(10,20),-0.911736 # DEPENDENCYPART_ARC
(11,1),-0.890665 # DEPENDENCYPART_ARC
(11,2),-1.22481 # DEPENDENCYPART_ARC
(11,3),-1.34299 # DEPENDENCYPART_ARC
(11,4),-0.772521 # DEPENDENCYPART_ARC
(11,5),-0.529723 # DEPENDENCYPART_ARC
(11,6),-0.866957 # DEPENDENCYPART_ARC
(11,7),-0.381985 # DEPENDENCYPART_ARC
(11,8),-0.625134 # DEPENDENCYPART_ARC
(11,9),-0.449011 # DEPENDENCYPART_ARC
(11,10),0.896959 # DEPENDENCYPART_ARC
(11,12),0.0435165 # DEPENDENCYPART_ARC
(11,13),-0.16131 # DEPENDENCYPART_ARC
(11,14),-0.183115 # DEPENDENCYPART_ARC
(11,15),-0.496516 # DEPENDENCYPART_ARC
(11,16),-0.365127 # DEPENDENCYPART_ARC
(11,17),-0.939493 # DEPENDENCYPART_ARC
(11,18),-0.985901 # DEPENDENCYPART_ARC
(11,19),-0.978527 # DEPENDENCYPART_ARC
(11,20),-0.819594 # DEPENDENCYPART_ARC
(12,1),-0.553705 # DEPENDENCYPART_ARC
(12,2),-1.82091 # DEPENDENCYPART_ARC
(12,3),-0.645656 # DEPENDENCYPART_ARC
(12,4),-0.333655 # DEPENDENCYPART_ARC
(12,5),0.899608 # DEPENDENCYPART_ARC
(12,6),1.52632 # DEPENDENCYPART_ARC
(12,7),-0.548318 # DEPENDENCYPART_ARC
(12,8),0.986609 # DEPENDENCYPART_ARC
(12,9),0.47464 # DEPENDENCYPART_ARC
(12,10),2.4196 # DEPENDENCYPART_ARC
(12,11),2.761 # DEPENDENCYPART_ARC
(12,13),0.914489 # DEPENDENCYPART_ARC
(12,14),0.446506 # DEPENDENCYPART_ARC
(12,15),-0.132536 # DEPENDENCYPART_ARC
(12,16),0.238898 # DEPENDENCYPART_ARC
(12,17),-0.674645 # DEPENDENCYPART_ARC
(12,18),-1.83293 # DEPENDENCYPART_ARC
(12,19),-1.56761 # DEPENDENCYPART_ARC
(12,20),-1.18409 # DEPENDENCYPART_ARC
(13,1),-0.125208 # DEPENDENCYPART_ARC
(13,2),-2.30339 # DEPENDENCYPART_ARC
(13,3),-0.725424 # DEPENDENCYPART_ARC
(13,4),1.00863 # DEPENDENCYPART_ARC
(13,5),1.05134 # DEPENDENCYPART_ARC
(13,6),-0.160883 # DEPENDENCYPART_ARC
(13,7),0.363675 # DEPENDENCYPART_ARC
(13,8),1.47787 # DEPENDENCYPART_ARC
(13,9),0.836378 # DEPENDENCYPART_ARC
(13,10),0.913568 # DEPENDENCYPART_ARC
(13,11),1.2789 # DEPENDENCYPART_ARC
(13,12),4.24241 # DEPENDENCYPART_ARC
(13,14),-0.0424113 # DEPENDENCYPART_ARC
(13,15),-0.350783 # DEPENDENCYPART_ARC
(13,16),0.00573949 # DEPENDENCYPART_ARC
(13,17),-0.902856 # DEPENDENCYPART_ARC
(13,18),-1.87607 # DEPENDENCYPART_ARC
(13,19),-2.20777 # DEPENDENCYPART_ARC
(13,20),-1.52878 # DEPENDENCYPART_ARC
(14,1),0.293558 # DEPENDENCYPART_ARC
(14,2),-2.49612 # DEPENDENCYPART_ARC
(14,3),-1.18859 # DEPENDENCYPART_ARC
(14,4),-0.984589 # DEPENDENCYPART_ARC
(14,5),0.338096 # DEPENDENCYPART_ARC
(14,6),-0.190029 # DEPENDENCYPART_ARC
(14,7),-0.354243 # DEPENDENCYPART_ARC
(14,8),-0.0523364 # DEPENDENCYPART_ARC
(14,9),-0.355681 # DEPENDENCYPART_ARC
(14,10),-0.00652987 # DEPENDENCYPART_ARC
(14,11),0.0981315 # DEPENDENCYPART_ARC
(14,12),0.53834 # DEPENDENCYPART_ARC
(14,13),1.64997 # DEPENDENCYPART_ARC
(14,15),0.37071 # DEPENDENCYPART_ARC
(14,16),0.115229 # DEPENDENCYPART_ARC
(14,17),-0.428345 # DEPENDENCYPART_ARC
(14,18),0.00226894 # DEPENDENCYPART_ARC
(14,19),0.157965 # DEPENDENCYPART_ARC
(14,20),-0.0561411 # DEPENDENCYPART_ARC
(15,1),-1.53281 # DEPENDENCYPART_ARC
(15,2),-1.10159 # DEPENDENCYPART_ARC
(15,3),-2.06151 # DEPENDENCYPART_ARC
(15,4),-1.31416 # DEPENDENCYPART_ARC
(15,5),-1.00241 # DEPENDENCYPART_ARC
(15,6),-1.11309 # DEPENDENCYPART_ARC
(15,7),-1.41824 # DEPENDENCYPART_ARC
(15,8),-1.23024 # DEPENDENCYPART_ARC
(15,9),-1.16807 # DEPENDENCYPART_ARC
(15,10),-0.949695 # DEPENDENCYPART_ARC
(15,11),-0.905178 # DEPENDENCYPART_ARC
(15,12),-0.817402 # DEPENDENCYPART_ARC
(15,13),-1.58303 # DEPENDENCYPART_ARC
(15,14),0.358084 # DEPENDENCYPART_ARC
(15,16),2.27807 # DEPENDENCYPART_ARC
(15,17),0.456818 # DEPENDENCYPART_ARC
(15,18),0.485715 # DEPENDENCYPART_ARC
(15,19),-0.292555 # DEPENDENCYPART_ARC
(15,20),0.254895 # DEPENDENCYPART_ARC
(16,1),-1.82647 # DEPENDENCYPART_ARC
(16,2),-2.34586 # DEPENDENCYPART_ARC
(16,3),-1.77927 # DEPENDENCYPART_ARC
(16,4),-1.51307 # DEPENDENCYPART_ARC
(16,5),-1.92444 # DEPENDENCYPART_ARC
(16,6),-1.7346 # DEPENDENCYPART_ARC
(16,7),-1.45525 # DEPENDENCYPART_ARC
(16,8),-1.72376 # DEPENDENCYPART_ARC
(16,9),-1.67765 # DEPENDENCYPART_ARC
(16,10),-1.72142 # DEPENDENCYPART_ARC
(16,11),-1.72256 # DEPENDENCYPART_ARC
(16,12),-2.04925 # DEPENDENCYPART_ARC
(16,13),-0.983196 # DEPENDENCYPART_ARC
(16,14),-1.24578 # DEPENDENCYPART_ARC
(16,15),0.291708 # DEPENDENCYPART_ARC
(16,17),-0.278319 # DEPENDENCYPART_ARC
(16,18),-0.822065 # DEPENDENCYPART_ARC
(16,19),-0.834233 # DEPENDENCYPART_ARC
(16,20),-0.80574 # DEPENDENCYPART_ARC
(17,1),-1.08619 # DEPENDENCYPART_ARC
(17,2),-3.1849 # DEPENDENCYPART_ARC
(17,3),-1.11694 # DEPENDENCYPART_ARC
(17,4),-1.11374 # DEPENDENCYPART_ARC
(17,5),-1.54194 # DEPENDENCYPART_ARC
(17,6),-0.585775 # DEPENDENCYPART_ARC
(17,7),-1.21087 # DEPENDENCYPART_ARC
(17,8),-0.502842 # DEPENDENCYPART_ARC
(17,9),-0.931185 # DEPENDENCYPART_ARC
(17,10),-1.06635 # DEPENDENCYPART_ARC
(17,11),-0.525412 # DEPENDENCYPART_ARC
(17,12),-0.0451706 # DEPENDENCYPART_ARC
(17,13),-0.550054 # DEPENDENCYPART_ARC
(17,14),-0.0938593 # DEPENDENCYPART_ARC
(17,15),0.766574 # DEPENDENCYPART_ARC
(17,16),0.262895 # DEPENDENCYPART_ARC
(17,18),0.534703 # DEPENDENCYPART_ARC
(17,19),-0.0411821 # DEPENDENCYPART_ARC
(17,20),-0.144936 # DEPENDENCYPART_ARC
(18,1),-0.684566 # DEPENDENCYPART_ARC
(18,2),-3.44764 # DEPENDENCYPART_ARC
(18,3),-0.814503 # DEPENDENCYPART_ARC
(18,4),-0.816471 # DEPENDENCYPART_ARC
(18,5),0.631113 # DEPENDENCYPART_ARC
(18,6),-0.420301 # DEPENDENCYPART_ARC
(18,7),-0.897797 # DEPENDENCYPART_ARC
(18,8),-1.25068 # DEPENDENCYPART_ARC
(18,9),-0.00674359 # DEPENDENCYPART_ARC
(18,10),0.343468 # DEPENDENCYPART_ARC
(18,11),0.572562 # DEPENDENCYPART_ARC
(18,12),-0.785752 # DEPENDENCYPART_ARC
(18,13),-0.789354 # DEPENDENCYPART_ARC
(18,14),0.673678 # DEPENDENCYPART_ARC
(18,15),0.808629 # DEPENDENCYPART_ARC
(18,16),0.232804 # DEPENDENCYPART_ARC
(18,17),2.81789 # DEPENDENCYPART_ARC
(18,19),-0.616541 # DEPENDENCYPART_ARC
(18,20),-0.386686 # DEPENDENCYPART_ARC
(19,1),0.0935375 # DEPENDENCYPART_ARC
(19,2),-4.50696 # DEPENDENCYPART_ARC
(19,3),-0.424368 # DEPENDENCYPART_ARC
(19,4),0.831676 # DEPENDENCYPART_ARC
(19,5),0.281142 # DEPENDENCYPART_ARC
(19,6),-1.63552 # DEPENDENCYPART_ARC
(19,7),0.103518 # DEPENDENCYPART_ARC
(19,8),0.516636 # DEPENDENCYPART_ARC
(19,9),0.0184816 # DEPENDENCYPART_ARC
(19,10),0.182508 # DEPENDENCYPART_ARC
(19,11),-0.025693 # DEPENDENCYPART_ARC
(19,12),1.22068 # DEPENDENCYPART_ARC
(19,13),1.66688 # DEPENDENCYPART_ARC
(19,14),1.99872 # DEPENDENCYPART_ARC
(19,15),1.98101 # DEPENDENCYPART_ARC
(19,16),0.117707 # DEPENDENCYPART_ARC
(19,17),0.59514 # DEPENDENCYPART_ARC
(19,18),3.4315 # DEPENDENCYPART_ARC
(19,20),-0.370645 # DEPENDENCYPART_ARC
(20,1),-0.0399252 # DEPENDENCYPART_ARC
(20,2),-3.69605 # DEPENDENCYPART_ARC
(20,3),-0.144924 # DEPENDENCYPART_ARC
(20,4),-0.113789 # DEPENDENCYPART_ARC
(20,5),-0.475877 # DEPENDENCYPART_ARC
(20,6),-0.252708 # DEPENDENCYPART_ARC
(20,7),-1.14043 # DEPENDENCYPART_ARC
(20,8),-0.10262 # DEPENDENCYPART_ARC
(20,9),-0.752598 # DEPENDENCYPART_ARC
(20,10),-0.541394 # DEPENDENCYPART_ARC
(20,11),0.0581299 # DEPENDENCYPART_ARC
(20,12),0.429343 # DEPENDENCYPART_ARC
(20,13),0.0997073 # DEPENDENCYPART_ARC
(20,14),0.807133 # DEPENDENCYPART_ARC
(20,15),-0.249841 # DEPENDENCYPART_ARC
(20,16),0.320128 # DEPENDENCYPART_ARC
(20,17),-0.846371 # DEPENDENCYPART_ARC
(20,18),0.482478 # DEPENDENCYPART_ARC
(20,19),1.87319 # DEPENDENCYPART_ARC
