# _root_ Hem birileri iş yapacak , hem zarar_edeceksiniz , hem de faiz ödeyeceksiniz " dedi .
#goldHeads=4,4,4,5,7,7,8,12,12,9,12,14,14,15,0,
#predictedHeads=5,4,4,5,7,7,9,12,12,9,12,13,14,15,0,
(5,9),-1.4577 # DEPENDENCYPART_ARC
(5,10),-1.47801 # DEPENDENCYPART_ARC
(5,11),-0.828394 # DEPENDENCYPART_ARC
(5,12),-0.33361 # DEPENDENCYPART_ARC
(5,13),-1.44776 # DEPENDENCYPART_ARC
(5,14),-0.387766 # DEPENDENCYPART_ARC
(5,15),-1.59907 # DEPENDENCYPART_ARC
(6,1),-0.428108 # DEPENDENCYPART_ARC
(6,3),0.199651 # DEPENDENCYPART_ARC
(6,4),0.945654 # DEPENDENCYPART_ARC
(6,5),0.748448 # DEPENDENCYPART_ARC
(6,7),0.187997 # DEPENDENCYPART_ARC
(6,8),0.134032 # DEPENDENCYPART_ARC
(6,9),-0.099109 # DEPENDENCYPART_ARC
(6,10),-0.0315687 # DEPENDENCYPART_ARC
(6,11),-0.96554 # DEPENDENCYPART_ARC
(6,12),-0.736262 # DEPENDENCYPART_ARC
(6,13),-0.636386 # DEPENDENCYPART_ARC
(6,14),-0.773429 # DEPENDENCYPART_ARC
(6,15),-0.773406 # DEPENDENCYPART_ARC
(7,1),0.130173 # DEPENDENCYPART_ARC
(7,2),1.13241 # DEPENDENCYPART_ARC
(7,3),-0.446592 # DEPENDENCYPART_ARC
(7,4),0.781814 # DEPENDENCYPART_ARC
(7,5),2.37934 # DEPENDENCYPART_ARC
(7,6),1.31345 # DEPENDENCYPART_ARC
(7,8),-0.236919 # DEPENDENCYPART_ARC
(7,9),-0.620606 # DEPENDENCYPART_ARC
(7,10),-0.976912 # DEPENDENCYPART_ARC
(7,11),-1.32106 # DEPENDENCYPART_ARC
(7,12),-1.45742 # DEPENDENCYPART_ARC
(7,13),-1.18051 # DEPENDENCYPART_ARC
(7,14),-2.25616 # DEPENDENCYPART_ARC
(7,15),-1.70605 # DEPENDENCYPART_ARC
(8,1),0.0370603 # DEPENDENCYPART_ARC
(8,2),-0.718657 # DEPENDENCYPART_ARC
(8,3),-0.146855 # DEPENDENCYPART_ARC
(8,4),-0.641009 # DEPENDENCYPART_ARC
(8,5),0.543797 # DEPENDENCYPART_ARC
(8,6),0.203714 # DEPENDENCYPART_ARC
(8,7),1.38573 # DEPENDENCYPART_ARC
(8,9),-0.553308 # DEPENDENCYPART_ARC
(8,10),-1.04909 # DEPENDENCYPART_ARC
(8,11),-0.789255 # DEPENDENCYPART_ARC
(8,12),-0.30653 # DEPENDENCYPART_ARC
(8,13),-1.00601 # DEPENDENCYPART_ARC
(8,14),-0.661095 # DEPENDENCYPART_ARC
(8,15),-1.35309 # DEPENDENCYPART_ARC
(9,1),-0.020186 # DEPENDENCYPART_ARC
(9,3),0.321511 # DEPENDENCYPART_ARC
(9,4),0.647505 # DEPENDENCYPART_ARC
(9,5),-0.480157 # DEPENDENCYPART_ARC
(9,6),0.00167976 # DEPENDENCYPART_ARC
(9,7),1.43391 # DEPENDENCYPART_ARC
(9,8),0.837321 # DEPENDENCYPART_ARC
(9,10),2.18298 # DEPENDENCYPART_ARC
(9,11),0.25777 # DEPENDENCYPART_ARC
(9,12),0.15825 # DEPENDENCYPART_ARC
(9,13),0.324775 # DEPENDENCYPART_ARC
(9,14),-0.129773 # DEPENDENCYPART_ARC
(9,15),-0.0968893 # DEPENDENCYPART_ARC
(10,1),-1.13008 # DEPENDENCYPART_ARC
(10,3),-1.18959 # DEPENDENCYPART_ARC
(10,4),-0.752068 # DEPENDENCYPART_ARC
(10,5),-1.48766 # DEPENDENCYPART_ARC
(10,6),-1.20956 # DEPENDENCYPART_ARC
(10,7),-0.201814 # DEPENDENCYPART_ARC
(10,8),-0.74662 # DEPENDENCYPART_ARC
(10,9),0.0619606 # DEPENDENCYPART_ARC
(10,11),-0.507618 # DEPENDENCYPART_ARC
(10,12),-0.767064 # DEPENDENCYPART_ARC
(10,13),-0.708649 # DEPENDENCYPART_ARC
(10,14),-1.06998 # DEPENDENCYPART_ARC
(10,15),-1.18285 # DEPENDENCYPART_ARC
(11,1),-1.03424 # DEPENDENCYPART_ARC
(11,2),-0.39463 # DEPENDENCYPART_ARC
(11,3),0.0264858 # DEPENDENCYPART_ARC
(11,4),-0.202197 # DEPENDENCYPART_ARC
(11,5),0.386661 # DEPENDENCYPART_ARC
(11,6),-0.759737 # DEPENDENCYPART_ARC
(11,7),0.0124665 # DEPENDENCYPART_ARC
(11,8),0.634759 # DEPENDENCYPART_ARC
(11,9),0.361212 # DEPENDENCYPART_ARC
(11,10),0.164806 # DEPENDENCYPART_ARC
(11,12),0.164685 # DEPENDENCYPART_ARC
(11,13),0.460593 # DEPENDENCYPART_ARC
(11,14),-1.20489 # DEPENDENCYPART_ARC
(11,15),-0.233677 # DEPENDENCYPART_ARC
(12,1),0.0665947 # DEPENDENCYPART_ARC
(12,2),0.728075 # DEPENDENCYPART_ARC
(12,3),-0.964948 # DEPENDENCYPART_ARC
(12,4),0.138606 # DEPENDENCYPART_ARC
(12,5),1.18874 # DEPENDENCYPART_ARC
(12,6),0.0445814 # DEPENDENCYPART_ARC
(12,7),0.569163 # DEPENDENCYPART_ARC
(12,8),1.83773 # DEPENDENCYPART_ARC
(12,9),0.7524 # DEPENDENCYPART_ARC
(12,10),0.638685 # DEPENDENCYPART_ARC
(12,11),2.342 # DEPENDENCYPART_ARC
(12,13),0.435173 # DEPENDENCYPART_ARC
(12,14),-1.35043 # DEPENDENCYPART_ARC
(12,15),-0.679865 # DEPENDENCYPART_ARC
(13,1),0.291714 # DEPENDENCYPART_ARC
(13,2),-1.02596 # DEPENDENCYPART_ARC
(13,3),-1.17375 # DEPENDENCYPART_ARC
(13,4),-0.898035 # DEPENDENCYPART_ARC
(13,5),-0.377468 # DEPENDENCYPART_ARC
(13,6),-0.407309 # DEPENDENCYPART_ARC
(13,7),-0.7365 # DEPENDENCYPART_ARC
(13,8),-0.247634 # DEPENDENCYPART_ARC
(13,9),-0.0362347 # DEPENDENCYPART_ARC
(13,10),-0.0255269 # DEPENDENCYPART_ARC
(13,11),-0.455854 # DEPENDENCYPART_ARC
(13,12),1.64198 # DEPENDENCYPART_ARC
(13,14),0.490277 # DEPENDENCYPART_ARC
(13,15),0.289403 # DEPENDENCYPART_ARC
(14,1),-0.129656 # DEPENDENCYPART_ARC
(14,2),0.286982 # DEPENDENCYPART_ARC
(14,3),0.077428 # DEPENDENCYPART_ARC
(14,4),-0.283032 # DEPENDENCYPART_ARC
(14,5),0.841543 # DEPENDENCYPART_ARC
(14,6),0.059415 # DEPENDENCYPART_ARC
(14,7),0.410095 # DEPENDENCYPART_ARC
(14,8),1.26266 # DEPENDENCYPART_ARC
(14,9),0.365012 # DEPENDENCYPART_ARC
(14,10),-0.0857871 # DEPENDENCYPART_ARC
(14,11),1.03233 # DEPENDENCYPART_ARC
(14,12),1.05678 # DEPENDENCYPART_ARC
(14,13),3.90617 # DEPENDENCYPART_ARC
(14,15),0.138522 # DEPENDENCYPART_ARC
(15,1),-0.427922 # DEPENDENCYPART_ARC
(15,2),-0.841692 # DEPENDENCYPART_ARC
(15,3),-1.20252 # DEPENDENCYPART_ARC
(15,4),-0.300892 # DEPENDENCYPART_ARC
(15,5),-0.699944 # DEPENDENCYPART_ARC
(15,6),-0.667803 # DEPENDENCYPART_ARC
(15,7),-0.443685 # DEPENDENCYPART_ARC
(15,8),-0.494787 # DEPENDENCYPART_ARC
(15,9),-0.578721 # DEPENDENCYPART_ARC
(15,10),-0.939332 # DEPENDENCYPART_ARC
(15,11),-0.422207 # DEPENDENCYPART_ARC
(15,12),0.0398584 # DEPENDENCYPART_ARC
(15,13),0.261914 # DEPENDENCYPART_ARC
(15,14),2.36615 # DEPENDENCYPART_ARC
