# _root_ Nineden kuyruğunu almış , yorgun ama mutlu bir şekilde çıkmış , gitmiş .
#goldHeads=3,3,4,10,6,7,9,9,10,11,12,13,0,
#predictedHeads=3,3,4,10,6,7,9,9,10,11,12,13,0,
(6,3),0.300328 # DEPENDENCYPART_ARC
(6,4),-0.446757 # DEPENDENCYPART_ARC
(6,5),1.94748 # DEPENDENCYPART_ARC
(6,7),-0.346575 # DEPENDENCYPART_ARC
(6,8),-0.496719 # DEPENDENCYPART_ARC
(6,9),-0.949179 # DEPENDENCYPART_ARC
(6,10),-0.983266 # DEPENDENCYPART_ARC
(6,11),-0.91042 # DEPENDENCYPART_ARC
(6,12),-1.2019 # DEPENDENCYPART_ARC
(6,13),-1.20675 # DEPENDENCYPART_ARC
(7,1),-0.692132 # DEPENDENCYPART_ARC
(7,2),-0.689703 # DEPENDENCYPART_ARC
(7,3),-0.749986 # DEPENDENCYPART_ARC
(7,4),-0.0729089 # DEPENDENCYPART_ARC
(7,5),0.0990864 # DEPENDENCYPART_ARC
(7,6),0.995093 # DEPENDENCYPART_ARC
(7,8),0.0181147 # DEPENDENCYPART_ARC
(7,9),-0.149809 # DEPENDENCYPART_ARC
(7,10),-0.652676 # DEPENDENCYPART_ARC
(7,11),-0.662243 # DEPENDENCYPART_ARC
(7,12),-0.997938 # DEPENDENCYPART_ARC
(7,13),-1.06997 # DEPENDENCYPART_ARC
(8,1),-1.01312 # DEPENDENCYPART_ARC
(8,2),-1.00038 # DEPENDENCYPART_ARC
(8,4),-0.496082 # DEPENDENCYPART_ARC
(8,5),-0.559347 # DEPENDENCYPART_ARC
(8,6),-0.232548 # DEPENDENCYPART_ARC
(8,7),0.594284 # DEPENDENCYPART_ARC
(8,9),0.0572212 # DEPENDENCYPART_ARC
(8,11),-0.243752 # DEPENDENCYPART_ARC
(8,13),-0.636159 # DEPENDENCYPART_ARC
(9,1),-1.5633 # DEPENDENCYPART_ARC
(9,2),-1.20141 # DEPENDENCYPART_ARC
(9,3),-0.398147 # DEPENDENCYPART_ARC
(9,4),0.51084 # DEPENDENCYPART_ARC
(9,5),0.751113 # DEPENDENCYPART_ARC
(9,6),-0.0239896 # DEPENDENCYPART_ARC
(9,7),2.09907 # DEPENDENCYPART_ARC
(9,8),2.59178 # DEPENDENCYPART_ARC
(9,10),0.692856 # DEPENDENCYPART_ARC
(9,11),0.371882 # DEPENDENCYPART_ARC
(9,12),-0.350624 # DEPENDENCYPART_ARC
(9,13),-0.436384 # DEPENDENCYPART_ARC
(10,1),0.386606 # DEPENDENCYPART_ARC
(10,2),0.173769 # DEPENDENCYPART_ARC
(10,3),-0.702363 # DEPENDENCYPART_ARC
(10,4),1.56324 # DEPENDENCYPART_ARC
(10,5),0.555333 # DEPENDENCYPART_ARC
(10,6),0.0707703 # DEPENDENCYPART_ARC
(10,7),0.456212 # DEPENDENCYPART_ARC
(10,8),0.961856 # DEPENDENCYPART_ARC
(10,9),3.10978 # DEPENDENCYPART_ARC
(10,11),0.242155 # DEPENDENCYPART_ARC
(10,12),-0.716816 # DEPENDENCYPART_ARC
(10,13),-0.975272 # DEPENDENCYPART_ARC
(11,1),-0.185905 # DEPENDENCYPART_ARC
(11,2),-0.433401 # DEPENDENCYPART_ARC
(11,3),-0.927677 # DEPENDENCYPART_ARC
(11,4),0.169101 # DEPENDENCYPART_ARC
(11,5),-0.733714 # DEPENDENCYPART_ARC
(11,6),-0.3207 # DEPENDENCYPART_ARC
(11,7),-0.377874 # DEPENDENCYPART_ARC
(11,8),-0.212404 # DEPENDENCYPART_ARC
(11,9),0.116975 # DEPENDENCYPART_ARC
(11,10),1.89648 # DEPENDENCYPART_ARC
(11,12),0.506836 # DEPENDENCYPART_ARC
(11,13),-0.149873 # DEPENDENCYPART_ARC
(12,1),0.320864 # DEPENDENCYPART_ARC
(12,2),0.143501 # DEPENDENCYPART_ARC
(12,3),-0.713963 # DEPENDENCYPART_ARC
(12,4),0.804043 # DEPENDENCYPART_ARC
(12,5),0.221837 # DEPENDENCYPART_ARC
(12,6),-0.240793 # DEPENDENCYPART_ARC
(12,7),-0.0829641 # DEPENDENCYPART_ARC
(12,8),-0.246612 # DEPENDENCYPART_ARC
(12,9),0.948106 # DEPENDENCYPART_ARC
(12,10),0.0936759 # DEPENDENCYPART_ARC
(12,11),2.30283 # DEPENDENCYPART_ARC
(12,13),-0.112848 # DEPENDENCYPART_ARC
(13,1),0.0863699 # DEPENDENCYPART_ARC
(13,2),-0.290332 # DEPENDENCYPART_ARC
(13,3),-0.624307 # DEPENDENCYPART_ARC
(13,4),-0.209211 # DEPENDENCYPART_ARC
(13,5),-0.841152 # DEPENDENCYPART_ARC
(13,6),0.0770115 # DEPENDENCYPART_ARC
(13,7),-0.828896 # DEPENDENCYPART_ARC
(13,8),-0.239433 # DEPENDENCYPART_ARC
(13,9),0.00691623 # DEPENDENCYPART_ARC
(13,10),0.275969 # DEPENDENCYPART_ARC
(13,11),0.424121 # DEPENDENCYPART_ARC
(13,12),1.93779 # DEPENDENCYPART_ARC
