# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,19,4,6,6,7,9,9,16,0,12,13,16,15,16,17,22,19,20,22,22,23,0,
(4,9),-0.894837 # DEPENDENCYPART_ARC
(4,10),-0.537195 # DEPENDENCYPART_ARC
(4,11),-0.239579 # DEPENDENCYPART_ARC
(4,12),-0.94331 # DEPENDENCYPART_ARC
(4,13),-0.32945 # DEPENDENCYPART_ARC
(4,14),-1.21058 # DEPENDENCYPART_ARC
(4,15),-1.30152 # DEPENDENCYPART_ARC
(4,16),-1.46975 # DEPENDENCYPART_ARC
(4,17),-0.759271 # DEPENDENCYPART_ARC
(4,18),-1.21375 # DEPENDENCYPART_ARC
(4,19),-1.25579 # DEPENDENCYPART_ARC
(4,20),-1.49151 # DEPENDENCYPART_ARC
(4,21),-2.06675 # DEPENDENCYPART_ARC
(4,22),-2.03743 # DEPENDENCYPART_ARC
(4,23),-1.79235 # DEPENDENCYPART_ARC
(5,1),-0.727338 # DEPENDENCYPART_ARC
(5,2),1.09839 # DEPENDENCYPART_ARC
(5,3),1.29478 # DEPENDENCYPART_ARC
(5,4),1.73036 # DEPENDENCYPART_ARC
(5,6),0.146204 # DEPENDENCYPART_ARC
(5,7),-0.049798 # DEPENDENCYPART_ARC
(5,8),-0.597349 # DEPENDENCYPART_ARC
(5,9),0.199243 # DEPENDENCYPART_ARC
(5,10),-0.615859 # DEPENDENCYPART_ARC
(5,11),-0.789113 # DEPENDENCYPART_ARC
(5,12),-1.51051 # DEPENDENCYPART_ARC
(5,13),-0.0663356 # DEPENDENCYPART_ARC
(5,14),-2.27869 # DEPENDENCYPART_ARC
(5,15),-1.37492 # DEPENDENCYPART_ARC
(5,16),-0.800249 # DEPENDENCYPART_ARC
(5,17),-1.18452 # DEPENDENCYPART_ARC
(5,18),-2.26075 # DEPENDENCYPART_ARC
(5,19),-1.287 # DEPENDENCYPART_ARC
(5,20),-2.47471 # DEPENDENCYPART_ARC
(5,21),-2.70884 # DEPENDENCYPART_ARC
(5,22),-1.62222 # DEPENDENCYPART_ARC
(5,23),-2.19527 # DEPENDENCYPART_ARC
(6,1),-0.345137 # DEPENDENCYPART_ARC
(6,2),1.57633 # DEPENDENCYPART_ARC
(6,3),1.59059 # DEPENDENCYPART_ARC
(6,4),1.94903 # DEPENDENCYPART_ARC
(6,5),3.24387 # DEPENDENCYPART_ARC
(6,7),0.0291161 # DEPENDENCYPART_ARC
(6,8),-0.52982 # DEPENDENCYPART_ARC
(6,9),-0.74789 # DEPENDENCYPART_ARC
(6,10),-0.633279 # DEPENDENCYPART_ARC
(6,11),-1.08454 # DEPENDENCYPART_ARC
(6,12),-2.51137 # DEPENDENCYPART_ARC
(6,13),-0.638638 # DEPENDENCYPART_ARC
(6,14),-3.2946 # DEPENDENCYPART_ARC
(6,15),-1.43755 # DEPENDENCYPART_ARC
(6,16),-0.774548 # DEPENDENCYPART_ARC
(6,17),-1.20787 # DEPENDENCYPART_ARC
(6,18),-3.19909 # DEPENDENCYPART_ARC
(6,19),-1.36179 # DEPENDENCYPART_ARC
(6,20),-2.59761 # DEPENDENCYPART_ARC
(6,21),-3.42254 # DEPENDENCYPART_ARC
(6,22),-1.61764 # DEPENDENCYPART_ARC
(6,23),-2.17423 # DEPENDENCYPART_ARC
(7,1),0.105448 # DEPENDENCYPART_ARC
(7,2),0.978727 # DEPENDENCYPART_ARC
(7,3),1.38222 # DEPENDENCYPART_ARC
(7,4),1.58924 # DEPENDENCYPART_ARC
(7,5),1.07402 # DEPENDENCYPART_ARC
(7,6),2.74291 # DEPENDENCYPART_ARC
(7,8),-0.564653 # DEPENDENCYPART_ARC
(7,9),-0.34199 # DEPENDENCYPART_ARC
(7,10),-0.915224 # DEPENDENCYPART_ARC
(7,11),-0.97672 # DEPENDENCYPART_ARC
(7,12),-1.12709 # DEPENDENCYPART_ARC
(7,13),-1.04016 # DEPENDENCYPART_ARC
(7,14),-1.23581 # DEPENDENCYPART_ARC
(7,15),-1.49016 # DEPENDENCYPART_ARC
(7,16),-1.2769 # DEPENDENCYPART_ARC
(7,17),-1.24198 # DEPENDENCYPART_ARC
(7,18),-1.39884 # DEPENDENCYPART_ARC
(7,19),-1.47474 # DEPENDENCYPART_ARC
(7,20),-1.77898 # DEPENDENCYPART_ARC
(7,21),-1.86654 # DEPENDENCYPART_ARC
(7,22),-1.84127 # DEPENDENCYPART_ARC
(7,23),-1.65482 # DEPENDENCYPART_ARC
(8,1),-0.841821 # DEPENDENCYPART_ARC
(8,2),0.305663 # DEPENDENCYPART_ARC
(8,3),0.530294 # DEPENDENCYPART_ARC
(8,4),0.828643 # DEPENDENCYPART_ARC
(8,5),-0.365472 # DEPENDENCYPART_ARC
(8,6),1.01422 # DEPENDENCYPART_ARC
(8,7),1.00729 # DEPENDENCYPART_ARC
(8,9),0.494121 # DEPENDENCYPART_ARC
(8,10),0.100156 # DEPENDENCYPART_ARC
(8,11),-0.232124 # DEPENDENCYPART_ARC
(8,12),-0.510396 # DEPENDENCYPART_ARC
(8,13),-0.506779 # DEPENDENCYPART_ARC
(8,14),-0.818068 # DEPENDENCYPART_ARC
(8,15),-0.937179 # DEPENDENCYPART_ARC
(8,16),-0.878514 # DEPENDENCYPART_ARC
(8,17),-0.581102 # DEPENDENCYPART_ARC
(8,18),-0.490868 # DEPENDENCYPART_ARC
(8,19),-0.985044 # DEPENDENCYPART_ARC
(8,20),-1.51246 # DEPENDENCYPART_ARC
(8,21),-1.2762 # DEPENDENCYPART_ARC
(8,22),-1.37722 # DEPENDENCYPART_ARC
(8,23),-1.13327 # DEPENDENCYPART_ARC
(9,1),0.0570717 # DEPENDENCYPART_ARC
(9,2),-0.57507 # DEPENDENCYPART_ARC
(9,3),1.14447 # DEPENDENCYPART_ARC
(9,4),0.674972 # DEPENDENCYPART_ARC
(9,5),-0.559622 # DEPENDENCYPART_ARC
(9,6),-0.116569 # DEPENDENCYPART_ARC
(9,7),2.13569 # DEPENDENCYPART_ARC
(9,8),2.88212 # DEPENDENCYPART_ARC
(9,10),-0.401953 # DEPENDENCYPART_ARC
(9,11),-0.578998 # DEPENDENCYPART_ARC
(9,12),-0.801539 # DEPENDENCYPART_ARC
(9,13),-0.933778 # DEPENDENCYPART_ARC
(9,14),-1.30054 # DEPENDENCYPART_ARC
(9,15),-1.67233 # DEPENDENCYPART_ARC
(9,16),-1.80341 # DEPENDENCYPART_ARC
(9,17),-1.16604 # DEPENDENCYPART_ARC
(9,18),-0.840337 # DEPENDENCYPART_ARC
(9,19),-1.5312 # DEPENDENCYPART_ARC
(9,20),-1.7501 # DEPENDENCYPART_ARC
(9,21),-1.90759 # DEPENDENCYPART_ARC
(9,22),-2.37351 # DEPENDENCYPART_ARC
(9,23),-2.09313 # DEPENDENCYPART_ARC
(10,1),-0.276783 # DEPENDENCYPART_ARC
(10,2),0.205834 # DEPENDENCYPART_ARC
(10,3),0.215442 # DEPENDENCYPART_ARC
(10,4),0.240027 # DEPENDENCYPART_ARC
(10,5),-1.37004 # DEPENDENCYPART_ARC
(10,6),-0.75408 # DEPENDENCYPART_ARC
(10,7),0.232137 # DEPENDENCYPART_ARC
(10,8),-0.512521 # DEPENDENCYPART_ARC
(10,9),0.686681 # DEPENDENCYPART_ARC
(10,11),-0.154495 # DEPENDENCYPART_ARC
(10,12),-0.445758 # DEPENDENCYPART_ARC
(10,13),-0.0690385 # DEPENDENCYPART_ARC
(10,14),-0.465607 # DEPENDENCYPART_ARC
(10,15),-0.55734 # DEPENDENCYPART_ARC
(10,16),-0.387584 # DEPENDENCYPART_ARC
(10,17),-1.057 # DEPENDENCYPART_ARC
(10,18),-0.466991 # DEPENDENCYPART_ARC
(10,19),-0.247255 # DEPENDENCYPART_ARC
(10,20),-0.875057 # DEPENDENCYPART_ARC
(10,21),-1.16421 # DEPENDENCYPART_ARC
(10,22),-0.721548 # DEPENDENCYPART_ARC
(10,23),-2.35284 # DEPENDENCYPART_ARC
(11,1),-1.4497 # DEPENDENCYPART_ARC
(11,2),-1.24988 # DEPENDENCYPART_ARC
(11,3),-1.26084 # DEPENDENCYPART_ARC
(11,4),-1.25229 # DEPENDENCYPART_ARC
(11,5),-1.39325 # DEPENDENCYPART_ARC
(11,6),-1.36377 # DEPENDENCYPART_ARC
(11,7),-1.28005 # DEPENDENCYPART_ARC
(11,8),-1.05126 # DEPENDENCYPART_ARC
(11,9),-0.922847 # DEPENDENCYPART_ARC
(11,10),0.0826924 # DEPENDENCYPART_ARC
(11,12),0.0932661 # DEPENDENCYPART_ARC
(11,13),-0.00561165 # DEPENDENCYPART_ARC
(11,14),-0.401239 # DEPENDENCYPART_ARC
(11,15),-0.286364 # DEPENDENCYPART_ARC
(11,16),-0.408875 # DEPENDENCYPART_ARC
(11,17),-0.283333 # DEPENDENCYPART_ARC
(11,18),-0.656975 # DEPENDENCYPART_ARC
(11,19),-0.665976 # DEPENDENCYPART_ARC
(11,20),-0.372882 # DEPENDENCYPART_ARC
(11,21),-0.939839 # DEPENDENCYPART_ARC
(11,22),-1.05947 # DEPENDENCYPART_ARC
(11,23),-0.902072 # DEPENDENCYPART_ARC
(12,1),-0.948779 # DEPENDENCYPART_ARC
(12,2),-1.77365 # DEPENDENCYPART_ARC
(12,3),-0.418296 # DEPENDENCYPART_ARC
(12,4),-0.558628 # DEPENDENCYPART_ARC
(12,5),-2.33017 # DEPENDENCYPART_ARC
(12,6),-1.66601 # DEPENDENCYPART_ARC
(12,7),0.106693 # DEPENDENCYPART_ARC
(12,8),-0.621939 # DEPENDENCYPART_ARC
(12,9),-0.851093 # DEPENDENCYPART_ARC
(12,10),0.378584 # DEPENDENCYPART_ARC
(12,11),2.35885 # DEPENDENCYPART_ARC
(12,13),-0.202368 # DEPENDENCYPART_ARC
(12,14),-0.772552 # DEPENDENCYPART_ARC
(12,15),-1.20755 # DEPENDENCYPART_ARC
(12,16),-1.30855 # DEPENDENCYPART_ARC
(12,17),-0.883004 # DEPENDENCYPART_ARC
(12,18),-1.32905 # DEPENDENCYPART_ARC
(12,19),-1.5764 # DEPENDENCYPART_ARC
(12,20),-1.74061 # DEPENDENCYPART_ARC
(12,21),-1.83738 # DEPENDENCYPART_ARC
(12,22),-2.17625 # DEPENDENCYPART_ARC
(12,23),-2.12743 # DEPENDENCYPART_ARC
(13,1),-0.449053 # DEPENDENCYPART_ARC
(13,2),-1.22465 # DEPENDENCYPART_ARC
(13,3),-0.761331 # DEPENDENCYPART_ARC
(13,4),0.0868852 # DEPENDENCYPART_ARC
(13,5),-1.06041 # DEPENDENCYPART_ARC
(13,6),-0.834385 # DEPENDENCYPART_ARC
(13,7),-0.51498 # DEPENDENCYPART_ARC
(13,8),-0.641849 # DEPENDENCYPART_ARC
(13,9),0.296733 # DEPENDENCYPART_ARC
(13,10),0.431627 # DEPENDENCYPART_ARC
(13,11),0.957114 # DEPENDENCYPART_ARC
(13,12),3.80293 # DEPENDENCYPART_ARC
(13,14),0.597971 # DEPENDENCYPART_ARC
(13,15),-0.0315581 # DEPENDENCYPART_ARC
(13,16),-0.142549 # DEPENDENCYPART_ARC
(13,17),-0.0488838 # DEPENDENCYPART_ARC
(13,18),-0.056657 # DEPENDENCYPART_ARC
(13,19),-0.456393 # DEPENDENCYPART_ARC
(13,20),-0.36584 # DEPENDENCYPART_ARC
(13,21),-0.700661 # DEPENDENCYPART_ARC
(13,22),-0.714719 # DEPENDENCYPART_ARC
(13,23),-0.733446 # DEPENDENCYPART_ARC
(14,1),-2.30347 # DEPENDENCYPART_ARC
(14,2),-1.9235 # DEPENDENCYPART_ARC
(14,3),-0.768037 # DEPENDENCYPART_ARC
(14,4),-1.01451 # DEPENDENCYPART_ARC
(14,5),-4.19286 # DEPENDENCYPART_ARC
(14,6),-3.27337 # DEPENDENCYPART_ARC
(14,7),-1.29432 # DEPENDENCYPART_ARC
(14,8),-2.73674 # DEPENDENCYPART_ARC
(14,9),-1.24538 # DEPENDENCYPART_ARC
(14,10),0.0122325 # DEPENDENCYPART_ARC
(14,11),0.182298 # DEPENDENCYPART_ARC
(14,12),0.633393 # DEPENDENCYPART_ARC
(14,13),0.908967 # DEPENDENCYPART_ARC
(14,15),0.478342 # DEPENDENCYPART_ARC
(14,16),-0.00612969 # DEPENDENCYPART_ARC
(14,17),0.342964 # DEPENDENCYPART_ARC
(14,18),0.226034 # DEPENDENCYPART_ARC
(14,19),-0.484467 # DEPENDENCYPART_ARC
(14,20),-0.789942 # DEPENDENCYPART_ARC
(14,21),-0.45501 # DEPENDENCYPART_ARC
(14,22),-1.34232 # DEPENDENCYPART_ARC
(14,23),-1.03759 # DEPENDENCYPART_ARC
(15,1),-1.48822 # DEPENDENCYPART_ARC
(15,2),0.164878 # DEPENDENCYPART_ARC
(15,3),0.505761 # DEPENDENCYPART_ARC
(15,4),0.450989 # DEPENDENCYPART_ARC
(15,5),-5.48768 # DEPENDENCYPART_ARC
(15,6),-4.19264 # DEPENDENCYPART_ARC
(15,7),-0.394982 # DEPENDENCYPART_ARC
(15,8),-3.18386 # DEPENDENCYPART_ARC
(15,9),0.79532 # DEPENDENCYPART_ARC
(15,10),0.00544904 # DEPENDENCYPART_ARC
(15,11),-0.0090844 # DEPENDENCYPART_ARC
(15,12),1.74432 # DEPENDENCYPART_ARC
(15,13),1.53193 # DEPENDENCYPART_ARC
(15,14),2.71633 # DEPENDENCYPART_ARC
(15,16),0.316991 # DEPENDENCYPART_ARC
(15,17),-0.303407 # DEPENDENCYPART_ARC
(15,18),-0.525767 # DEPENDENCYPART_ARC
(15,19),-0.653907 # DEPENDENCYPART_ARC
(15,20),-1.24411 # DEPENDENCYPART_ARC
(15,21),-1.2895 # DEPENDENCYPART_ARC
(15,22),-1.00779 # DEPENDENCYPART_ARC
(15,23),-1.91987 # DEPENDENCYPART_ARC
(16,1),-0.593691 # DEPENDENCYPART_ARC
(16,2),1.55381 # DEPENDENCYPART_ARC
(16,3),0.437079 # DEPENDENCYPART_ARC
(16,4),0.813989 # DEPENDENCYPART_ARC
(16,5),-4.17045 # DEPENDENCYPART_ARC
(16,6),-3.67742 # DEPENDENCYPART_ARC
(16,7),0.277862 # DEPENDENCYPART_ARC
(16,8),-2.52949 # DEPENDENCYPART_ARC
(16,9),1.06232 # DEPENDENCYPART_ARC
(16,10),0.741977 # DEPENDENCYPART_ARC
(16,11),0.820955 # DEPENDENCYPART_ARC
(16,12),1.60882 # DEPENDENCYPART_ARC
(16,13),1.92979 # DEPENDENCYPART_ARC
(16,14),1.54739 # DEPENDENCYPART_ARC
(16,15),2.46931 # DEPENDENCYPART_ARC
(16,17),-0.318922 # DEPENDENCYPART_ARC
(16,18),-0.973721 # DEPENDENCYPART_ARC
(16,19),-0.816647 # DEPENDENCYPART_ARC
(16,20),-0.955104 # DEPENDENCYPART_ARC
(16,21),-1.45638 # DEPENDENCYPART_ARC
(16,22),-1.30282 # DEPENDENCYPART_ARC
(16,23),-1.78075 # DEPENDENCYPART_ARC
(17,1),-0.842224 # DEPENDENCYPART_ARC
(17,2),-0.401008 # DEPENDENCYPART_ARC
(17,3),-0.235216 # DEPENDENCYPART_ARC
(17,4),-0.196158 # DEPENDENCYPART_ARC
(17,5),-3.43484 # DEPENDENCYPART_ARC
(17,6),-2.87138 # DEPENDENCYPART_ARC
(17,7),-0.945831 # DEPENDENCYPART_ARC
(17,8),-2.74426 # DEPENDENCYPART_ARC
(17,9),0.101414 # DEPENDENCYPART_ARC
(17,10),-0.0203411 # DEPENDENCYPART_ARC
(17,11),-0.132107 # DEPENDENCYPART_ARC
(17,12),0.399974 # DEPENDENCYPART_ARC
(17,13),0.0920868 # DEPENDENCYPART_ARC
(17,14),0.0495301 # DEPENDENCYPART_ARC
(17,15),-0.666275 # DEPENDENCYPART_ARC
(17,16),2.17078 # DEPENDENCYPART_ARC
(17,18),0.429999 # DEPENDENCYPART_ARC
(17,19),-0.0671521 # DEPENDENCYPART_ARC
(17,20),-0.210911 # DEPENDENCYPART_ARC
(17,21),-0.135473 # DEPENDENCYPART_ARC
(17,22),-0.129409 # DEPENDENCYPART_ARC
(17,23),-0.769433 # DEPENDENCYPART_ARC
(18,1),-1.66721 # DEPENDENCYPART_ARC
(18,2),-2.18434 # DEPENDENCYPART_ARC
(18,3),-1.33492 # DEPENDENCYPART_ARC
(18,4),-1.53984 # DEPENDENCYPART_ARC
(18,5),-4.97567 # DEPENDENCYPART_ARC
(18,6),-4.14435 # DEPENDENCYPART_ARC
(18,7),-0.419152 # DEPENDENCYPART_ARC
(18,8),-3.49073 # DEPENDENCYPART_ARC
(18,9),-1.0797 # DEPENDENCYPART_ARC
(18,10),-0.60791 # DEPENDENCYPART_ARC
(18,11),-0.220529 # DEPENDENCYPART_ARC
(18,12),-1.36908 # DEPENDENCYPART_ARC
(18,13),-0.845474 # DEPENDENCYPART_ARC
(18,14),-2.18618 # DEPENDENCYPART_ARC
(18,15),-0.0919523 # DEPENDENCYPART_ARC
(18,16),-0.37431 # DEPENDENCYPART_ARC
(18,17),0.614255 # DEPENDENCYPART_ARC
(18,19),0.193191 # DEPENDENCYPART_ARC
(18,20),0.256251 # DEPENDENCYPART_ARC
(18,21),-0.974077 # DEPENDENCYPART_ARC
(18,22),-1.00359 # DEPENDENCYPART_ARC
(18,23),-0.727802 # DEPENDENCYPART_ARC
(19,1),-0.406877 # DEPENDENCYPART_ARC
(19,2),1.67619 # DEPENDENCYPART_ARC
(19,3),0.379288 # DEPENDENCYPART_ARC
(19,4),0.77257 # DEPENDENCYPART_ARC
(19,5),-6.04886 # DEPENDENCYPART_ARC
(19,6),-5.3282 # DEPENDENCYPART_ARC
(19,7),0.0571932 # DEPENDENCYPART_ARC
(19,8),-4.56492 # DEPENDENCYPART_ARC
(19,9),0.435467 # DEPENDENCYPART_ARC
(19,10),0.0711178 # DEPENDENCYPART_ARC
(19,11),-0.0208561 # DEPENDENCYPART_ARC
(19,12),0.468435 # DEPENDENCYPART_ARC
(19,13),1.37814 # DEPENDENCYPART_ARC
(19,14),-1.42196 # DEPENDENCYPART_ARC
(19,15),-1.38252 # DEPENDENCYPART_ARC
(19,16),0.466438 # DEPENDENCYPART_ARC
(19,17),2.15429 # DEPENDENCYPART_ARC
(19,18),3.35942 # DEPENDENCYPART_ARC
(19,20),0.659075 # DEPENDENCYPART_ARC
(19,21),-0.688875 # DEPENDENCYPART_ARC
(19,22),-1.33906 # DEPENDENCYPART_ARC
(19,23),-1.51598 # DEPENDENCYPART_ARC
(20,1),-0.503705 # DEPENDENCYPART_ARC
(20,2),-2.16274 # DEPENDENCYPART_ARC
(20,3),-1.81204 # DEPENDENCYPART_ARC
(20,4),-1.2364 # DEPENDENCYPART_ARC
(20,5),-1.86146 # DEPENDENCYPART_ARC
(20,6),-1.57044 # DEPENDENCYPART_ARC
(20,7),-0.872298 # DEPENDENCYPART_ARC
(20,8),-1.64506 # DEPENDENCYPART_ARC
(20,9),-0.617422 # DEPENDENCYPART_ARC
(20,10),-0.65353 # DEPENDENCYPART_ARC
(20,11),-0.174557 # DEPENDENCYPART_ARC
(20,12),-0.376973 # DEPENDENCYPART_ARC
(20,13),-0.0100341 # DEPENDENCYPART_ARC
(20,14),-0.59005 # DEPENDENCYPART_ARC
(20,15),-0.284349 # DEPENDENCYPART_ARC
(20,16),0.556996 # DEPENDENCYPART_ARC
(20,17),0.0850573 # DEPENDENCYPART_ARC
(20,18),1.70681 # DEPENDENCYPART_ARC
(20,19),2.73607 # DEPENDENCYPART_ARC
(20,21),-0.00973149 # DEPENDENCYPART_ARC
(20,22),-0.251593 # DEPENDENCYPART_ARC
(20,23),-0.427152 # DEPENDENCYPART_ARC
(21,1),-1.92973 # DEPENDENCYPART_ARC
(21,2),-2.77134 # DEPENDENCYPART_ARC
(21,3),-1.65176 # DEPENDENCYPART_ARC
(21,4),-1.7096 # DEPENDENCYPART_ARC
(21,5),-5.94019 # DEPENDENCYPART_ARC
(21,6),-5.5733 # DEPENDENCYPART_ARC
(21,7),-0.923944 # DEPENDENCYPART_ARC
(21,8),-4.77168 # DEPENDENCYPART_ARC
(21,9),-1.69593 # DEPENDENCYPART_ARC
(21,10),-0.523814 # DEPENDENCYPART_ARC
(21,11),-0.70576 # DEPENDENCYPART_ARC
(21,12),-1.71353 # DEPENDENCYPART_ARC
(21,13),-1.2079 # DEPENDENCYPART_ARC
(21,14),-3.64846 # DEPENDENCYPART_ARC
(21,15),-1.57049 # DEPENDENCYPART_ARC
(21,16),-1.17579 # DEPENDENCYPART_ARC
(21,17),-0.394044 # DEPENDENCYPART_ARC
(21,18),-0.284639 # DEPENDENCYPART_ARC
(21,19),-0.622736 # DEPENDENCYPART_ARC
(21,20),0.304937 # DEPENDENCYPART_ARC
(21,22),-0.234987 # DEPENDENCYPART_ARC
(21,23),0.00543808 # DEPENDENCYPART_ARC
(22,1),-0.782933 # DEPENDENCYPART_ARC
(22,2),1.56662 # DEPENDENCYPART_ARC
(22,3),-0.132452 # DEPENDENCYPART_ARC
(22,4),0.0667585 # DEPENDENCYPART_ARC
(22,5),-7.49041 # DEPENDENCYPART_ARC
(22,6),-6.57865 # DEPENDENCYPART_ARC
(22,7),0.0351731 # DEPENDENCYPART_ARC
(22,8),-5.82044 # DEPENDENCYPART_ARC
(22,9),0.948979 # DEPENDENCYPART_ARC
(22,10),-0.0773828 # DEPENDENCYPART_ARC
(22,11),0.0946929 # DEPENDENCYPART_ARC
(22,12),0.118762 # DEPENDENCYPART_ARC
(22,13),1.46072 # DEPENDENCYPART_ARC
(22,14),-3.56751 # DEPENDENCYPART_ARC
(22,15),-2.6623 # DEPENDENCYPART_ARC
(22,16),0.803318 # DEPENDENCYPART_ARC
(22,17),2.19612 # DEPENDENCYPART_ARC
(22,18),1.54612 # DEPENDENCYPART_ARC
(22,19),1.54824 # DEPENDENCYPART_ARC
(22,20),2.25249 # DEPENDENCYPART_ARC
(22,21),3.46279 # DEPENDENCYPART_ARC
(22,23),-0.19058 # DEPENDENCYPART_ARC
