# _root_ _ İkimiz de kendimizi yenik hissediyorduk , bu , ilişkimiz _ süreceği anlamına geliyordu .
#goldHeads=2,6,2,6,6,7,14,14,0,11,12,13,14,15,0,
#predictedHeads=2,6,2,6,6,7,0,13,0,11,12,13,14,15,0,
(2,6),-0.542677 # DEPENDENCYPART_ARC
(2,7),-0.105702 # DEPENDENCYPART_ARC
(2,8),-0.0458152 # DEPENDENCYPART_ARC
(2,9),-0.37419 # DEPENDENCYPART_ARC
(2,10),-0.33015 # DEPENDENCYPART_ARC
(2,11),-0.661324 # DEPENDENCYPART_ARC
(2,12),-0.195202 # DEPENDENCYPART_ARC
(2,13),-0.868144 # DEPENDENCYPART_ARC
(2,14),-1.16744 # DEPENDENCYPART_ARC
(2,15),-1.10443 # DEPENDENCYPART_ARC
(3,1),-0.479189 # DEPENDENCYPART_ARC
(3,2),1.21409 # DEPENDENCYPART_ARC
(3,4),-0.186024 # DEPENDENCYPART_ARC
(3,5),-0.6014 # DEPENDENCYPART_ARC
(3,6),-0.66171 # DEPENDENCYPART_ARC
(3,7),-0.537819 # DEPENDENCYPART_ARC
(3,8),-0.850356 # DEPENDENCYPART_ARC
(3,9),-0.862216 # DEPENDENCYPART_ARC
(3,10),-1.0769 # DEPENDENCYPART_ARC
(3,11),-1.02017 # DEPENDENCYPART_ARC
(3,12),-0.883571 # DEPENDENCYPART_ARC
(3,13),-1.05246 # DEPENDENCYPART_ARC
(3,14),-1.05794 # DEPENDENCYPART_ARC
(3,15),-1.33051 # DEPENDENCYPART_ARC
(4,1),-0.182275 # DEPENDENCYPART_ARC
(4,2),-1.11713 # DEPENDENCYPART_ARC
(4,3),0.4686 # DEPENDENCYPART_ARC
(4,5),0.192085 # DEPENDENCYPART_ARC
(4,6),-0.212799 # DEPENDENCYPART_ARC
(4,7),-0.0521537 # DEPENDENCYPART_ARC
(4,8),-0.394873 # DEPENDENCYPART_ARC
(4,9),-0.399245 # DEPENDENCYPART_ARC
(4,10),-0.782839 # DEPENDENCYPART_ARC
(4,11),-0.575855 # DEPENDENCYPART_ARC
(4,12),-0.406152 # DEPENDENCYPART_ARC
(4,13),-0.779338 # DEPENDENCYPART_ARC
(4,14),-0.488394 # DEPENDENCYPART_ARC
(4,15),-0.64727 # DEPENDENCYPART_ARC
(5,1),-0.261881 # DEPENDENCYPART_ARC
(5,2),0.525455 # DEPENDENCYPART_ARC
(5,3),0.00818562 # DEPENDENCYPART_ARC
(5,4),1.33296 # DEPENDENCYPART_ARC
(5,6),-0.34074 # DEPENDENCYPART_ARC
(5,7),0.46177 # DEPENDENCYPART_ARC
(5,8),0.0293457 # DEPENDENCYPART_ARC
(5,9),-0.0651149 # DEPENDENCYPART_ARC
(5,10),-0.23319 # DEPENDENCYPART_ARC
(5,11),-0.79527 # DEPENDENCYPART_ARC
(5,12),-0.141022 # DEPENDENCYPART_ARC
(5,13),-0.898917 # DEPENDENCYPART_ARC
(5,14),-1.3273 # DEPENDENCYPART_ARC
(5,15),-0.777055 # DEPENDENCYPART_ARC
(6,1),-1.16191 # DEPENDENCYPART_ARC
(6,2),2.24711 # DEPENDENCYPART_ARC
(6,3),0.355168 # DEPENDENCYPART_ARC
(6,4),3.16132 # DEPENDENCYPART_ARC
(6,5),3.46644 # DEPENDENCYPART_ARC
(6,7),0.28259 # DEPENDENCYPART_ARC
(6,8),0.0604812 # DEPENDENCYPART_ARC
(6,9),-0.236182 # DEPENDENCYPART_ARC
(6,10),-0.0257753 # DEPENDENCYPART_ARC
(6,11),-0.873105 # DEPENDENCYPART_ARC
(6,12),-0.535474 # DEPENDENCYPART_ARC
(6,13),0.125222 # DEPENDENCYPART_ARC
(6,14),-0.718572 # DEPENDENCYPART_ARC
(6,15),-0.818068 # DEPENDENCYPART_ARC
(7,1),-1.76461 # DEPENDENCYPART_ARC
(7,2),0.122878 # DEPENDENCYPART_ARC
(7,3),-0.625901 # DEPENDENCYPART_ARC
(7,4),0.0944981 # DEPENDENCYPART_ARC
(7,5),0.506717 # DEPENDENCYPART_ARC
(7,6),1.37951 # DEPENDENCYPART_ARC
(7,8),0.2016 # DEPENDENCYPART_ARC
(7,9),-0.0440346 # DEPENDENCYPART_ARC
(7,10),0.0869661 # DEPENDENCYPART_ARC
(7,11),-0.0144074 # DEPENDENCYPART_ARC
(7,12),-0.537637 # DEPENDENCYPART_ARC
(7,13),-0.111674 # DEPENDENCYPART_ARC
(7,14),-0.167426 # DEPENDENCYPART_ARC
(7,15),-0.896951 # DEPENDENCYPART_ARC
(8,1),-1.24442 # DEPENDENCYPART_ARC
(8,2),-1.11288 # DEPENDENCYPART_ARC
(8,3),-1.10512 # DEPENDENCYPART_ARC
(8,4),-1.20086 # DEPENDENCYPART_ARC
(8,5),-0.833762 # DEPENDENCYPART_ARC
(8,6),-0.83327 # DEPENDENCYPART_ARC
(8,7),0.389689 # DEPENDENCYPART_ARC
(8,9),0.095619 # DEPENDENCYPART_ARC
(8,10),-0.687082 # DEPENDENCYPART_ARC
(8,11),-0.717557 # DEPENDENCYPART_ARC
(8,12),-0.783104 # DEPENDENCYPART_ARC
(8,13),-1.02983 # DEPENDENCYPART_ARC
(8,14),-0.894618 # DEPENDENCYPART_ARC
(8,15),-0.757396 # DEPENDENCYPART_ARC
(9,1),-2.40008 # DEPENDENCYPART_ARC
(9,2),-0.127502 # DEPENDENCYPART_ARC
(9,3),-1.0283 # DEPENDENCYPART_ARC
(9,4),-0.693679 # DEPENDENCYPART_ARC
(9,5),0.0610416 # DEPENDENCYPART_ARC
(9,6),0.439484 # DEPENDENCYPART_ARC
(9,7),-0.299669 # DEPENDENCYPART_ARC
(9,8),0.62967 # DEPENDENCYPART_ARC
(9,10),-0.0179097 # DEPENDENCYPART_ARC
(9,11),-0.570629 # DEPENDENCYPART_ARC
(9,12),-0.762197 # DEPENDENCYPART_ARC
(9,13),-0.454947 # DEPENDENCYPART_ARC
(9,14),-0.672945 # DEPENDENCYPART_ARC
(9,15),-1.23974 # DEPENDENCYPART_ARC
(10,1),-2.79412 # DEPENDENCYPART_ARC
(10,2),-0.68238 # DEPENDENCYPART_ARC
(10,3),-1.12888 # DEPENDENCYPART_ARC
(10,4),-1.04185 # DEPENDENCYPART_ARC
(10,5),-0.216669 # DEPENDENCYPART_ARC
(10,6),-1.05306 # DEPENDENCYPART_ARC
(10,7),-0.407764 # DEPENDENCYPART_ARC
(10,8),0.70576 # DEPENDENCYPART_ARC
(10,9),0.389101 # DEPENDENCYPART_ARC
(10,11),0.11973 # DEPENDENCYPART_ARC
(10,12),0.42528 # DEPENDENCYPART_ARC
(10,13),-0.264072 # DEPENDENCYPART_ARC
(10,14),-0.843737 # DEPENDENCYPART_ARC
(10,15),-0.532523 # DEPENDENCYPART_ARC
(11,1),-5.34396 # DEPENDENCYPART_ARC
(11,2),-0.624711 # DEPENDENCYPART_ARC
(11,3),-0.741202 # DEPENDENCYPART_ARC
(11,4),0.319885 # DEPENDENCYPART_ARC
(11,5),-0.246257 # DEPENDENCYPART_ARC
(11,6),-1.23195 # DEPENDENCYPART_ARC
(11,7),-0.633341 # DEPENDENCYPART_ARC
(11,8),-0.295435 # DEPENDENCYPART_ARC
(11,9),0.10345 # DEPENDENCYPART_ARC
(11,10),2.1494 # DEPENDENCYPART_ARC
(11,12),0.182091 # DEPENDENCYPART_ARC
(11,13),-0.143091 # DEPENDENCYPART_ARC
(11,14),-0.28352 # DEPENDENCYPART_ARC
(11,15),-0.849293 # DEPENDENCYPART_ARC
(12,1),-2.26813 # DEPENDENCYPART_ARC
(12,2),-0.375835 # DEPENDENCYPART_ARC
(12,3),-0.223654 # DEPENDENCYPART_ARC
(12,4),-0.291096 # DEPENDENCYPART_ARC
(12,5),0.147014 # DEPENDENCYPART_ARC
(12,6),0.157566 # DEPENDENCYPART_ARC
(12,7),-0.484886 # DEPENDENCYPART_ARC
(12,8),-0.00147893 # DEPENDENCYPART_ARC
(12,9),0.423156 # DEPENDENCYPART_ARC
(12,10),1.6031 # DEPENDENCYPART_ARC
(12,11),2.97313 # DEPENDENCYPART_ARC
(12,13),-0.414297 # DEPENDENCYPART_ARC
(12,14),-0.755657 # DEPENDENCYPART_ARC
(12,15),-0.859445 # DEPENDENCYPART_ARC
(13,1),-3.75292 # DEPENDENCYPART_ARC
(13,2),0.283626 # DEPENDENCYPART_ARC
(13,3),-0.386488 # DEPENDENCYPART_ARC
(13,4),-0.699154 # DEPENDENCYPART_ARC
(13,5),0.867698 # DEPENDENCYPART_ARC
(13,6),-1.63761 # DEPENDENCYPART_ARC
(13,7),0.223639 # DEPENDENCYPART_ARC
(13,8),0.872289 # DEPENDENCYPART_ARC
(13,9),0.346558 # DEPENDENCYPART_ARC
(13,10),2.05111 # DEPENDENCYPART_ARC
(13,11),0.46541 # DEPENDENCYPART_ARC
(13,12),3.14562 # DEPENDENCYPART_ARC
(13,14),-0.225897 # DEPENDENCYPART_ARC
(13,15),0.154413 # DEPENDENCYPART_ARC
(14,1),-5.955 # DEPENDENCYPART_ARC
(14,2),0.0288234 # DEPENDENCYPART_ARC
(14,3),-0.590558 # DEPENDENCYPART_ARC
(14,4),1.25719 # DEPENDENCYPART_ARC
(14,5),-0.209754 # DEPENDENCYPART_ARC
(14,6),-1.68001 # DEPENDENCYPART_ARC
(14,7),0.823237 # DEPENDENCYPART_ARC
(14,8),-0.203915 # DEPENDENCYPART_ARC
(14,9),0.259071 # DEPENDENCYPART_ARC
(14,10),1.39917 # DEPENDENCYPART_ARC
(14,11),-1.07056 # DEPENDENCYPART_ARC
(14,12),0.619968 # DEPENDENCYPART_ARC
(14,13),3.07149 # DEPENDENCYPART_ARC
(14,15),-0.0961442 # DEPENDENCYPART_ARC
(15,1),-4.29874 # DEPENDENCYPART_ARC
(15,2),-0.305422 # DEPENDENCYPART_ARC
(15,3),-1.08862 # DEPENDENCYPART_ARC
(15,4),-0.404969 # DEPENDENCYPART_ARC
(15,5),-0.158184 # DEPENDENCYPART_ARC
(15,6),-0.202851 # DEPENDENCYPART_ARC
(15,7),-0.112231 # DEPENDENCYPART_ARC
(15,8),0.00481514 # DEPENDENCYPART_ARC
(15,9),0.1131 # DEPENDENCYPART_ARC
(15,10),0.123025 # DEPENDENCYPART_ARC
(15,11),-1.63163 # DEPENDENCYPART_ARC
(15,12),0.455041 # DEPENDENCYPART_ARC
(15,13),0.377754 # DEPENDENCYPART_ARC
(15,14),1.80476 # DEPENDENCYPART_ARC
