# _root_ Instead , they bought on weakness and sold into the strength , which kept the market orderly .
#goldHeads=4,4,4,0,4,5,4,7,8,11,9,4,14,4,16,14,14,4,
#predictedHeads=4,4,4,0,4,5,4,7,8,11,9,11,14,11,16,14,14,4,
(11,9),0.898086 # DEPENDENCYPART_ARC
(11,10),4.81465 # DEPENDENCYPART_ARC
(11,12),2.91494 # DEPENDENCYPART_ARC
(11,13),0.508328 # DEPENDENCYPART_ARC
(11,14),3.0728 # DEPENDENCYPART_ARC
(11,15),0.295699 # DEPENDENCYPART_ARC
(11,16),0.439783 # DEPENDENCYPART_ARC
(11,17),0.0723878 # DEPENDENCYPART_ARC
(11,18),0.711665 # DEPENDENCYPART_ARC
(12,1),-2.94726 # DEPENDENCYPART_ARC
(12,2),-1.14398 # DEPENDENCYPART_ARC
(12,3),-2.36054 # DEPENDENCYPART_ARC
(12,4),-1.86371 # DEPENDENCYPART_ARC
(12,5),-1.78204 # DEPENDENCYPART_ARC
(12,6),-1.72669 # DEPENDENCYPART_ARC
(12,7),-2.13984 # DEPENDENCYPART_ARC
(12,8),-1.5856 # DEPENDENCYPART_ARC
(12,9),-1.17557 # DEPENDENCYPART_ARC
(12,10),-0.784659 # DEPENDENCYPART_ARC
(12,11),-1.15612 # DEPENDENCYPART_ARC
(12,13),-0.711931 # DEPENDENCYPART_ARC
(12,14),-0.402573 # DEPENDENCYPART_ARC
(12,15),-1.39576 # DEPENDENCYPART_ARC
(12,16),-1.65241 # DEPENDENCYPART_ARC
(12,17),-1.68187 # DEPENDENCYPART_ARC
(12,18),-1.23641 # DEPENDENCYPART_ARC
(13,1),-2.27629 # DEPENDENCYPART_ARC
(13,2),-1.98214 # DEPENDENCYPART_ARC
(13,3),-2.09749 # DEPENDENCYPART_ARC
(13,4),-1.8232 # DEPENDENCYPART_ARC
(13,5),-1.39142 # DEPENDENCYPART_ARC
(13,6),-1.7986 # DEPENDENCYPART_ARC
(13,7),-1.76788 # DEPENDENCYPART_ARC
(13,8),-1.49409 # DEPENDENCYPART_ARC
(13,9),-0.833506 # DEPENDENCYPART_ARC
(13,10),0.0567635 # DEPENDENCYPART_ARC
(13,11),-0.867526 # DEPENDENCYPART_ARC
(13,12),0.143045 # DEPENDENCYPART_ARC
(13,14),0.913907 # DEPENDENCYPART_ARC
(13,15),-0.68499 # DEPENDENCYPART_ARC
(13,16),-0.244655 # DEPENDENCYPART_ARC
(13,17),-0.981263 # DEPENDENCYPART_ARC
(13,18),-0.962108 # DEPENDENCYPART_ARC
(14,1),-2.07961 # DEPENDENCYPART_ARC
(14,2),-0.689188 # DEPENDENCYPART_ARC
(14,3),-0.613077 # DEPENDENCYPART_ARC
(14,4),-1.34377 # DEPENDENCYPART_ARC
(14,5),-1.10483 # DEPENDENCYPART_ARC
(14,6),-0.510419 # DEPENDENCYPART_ARC
(14,7),-0.989283 # DEPENDENCYPART_ARC
(14,8),-0.975702 # DEPENDENCYPART_ARC
(14,9),-0.379 # DEPENDENCYPART_ARC
(14,10),-1.0352 # DEPENDENCYPART_ARC
(14,11),0.117764 # DEPENDENCYPART_ARC
(14,12),0.810447 # DEPENDENCYPART_ARC
(14,13),3.78333 # DEPENDENCYPART_ARC
(14,15),1.48394 # DEPENDENCYPART_ARC
(14,16),3.31106 # DEPENDENCYPART_ARC
(14,17),2.07822 # DEPENDENCYPART_ARC
(14,18),1.33812 # DEPENDENCYPART_ARC
(15,1),-3.65763 # DEPENDENCYPART_ARC
(15,2),-3.15708 # DEPENDENCYPART_ARC
(15,3),-2.96414 # DEPENDENCYPART_ARC
(15,4),-3.04336 # DEPENDENCYPART_ARC
(15,5),-2.48104 # DEPENDENCYPART_ARC
(15,6),-3.20573 # DEPENDENCYPART_ARC
(15,7),-3.1963 # DEPENDENCYPART_ARC
(15,8),-2.58194 # DEPENDENCYPART_ARC
(15,9),-1.99116 # DEPENDENCYPART_ARC
(15,10),-1.54252 # DEPENDENCYPART_ARC
(15,11),-2.33329 # DEPENDENCYPART_ARC
(15,12),-1.58377 # DEPENDENCYPART_ARC
(15,13),-0.471963 # DEPENDENCYPART_ARC
(15,14),-1.04966 # DEPENDENCYPART_ARC
(15,16),-0.1029 # DEPENDENCYPART_ARC
(15,17),-1.00909 # DEPENDENCYPART_ARC
(15,18),-1.46074 # DEPENDENCYPART_ARC
(16,1),-5.39036 # DEPENDENCYPART_ARC
(16,2),-3.4747 # DEPENDENCYPART_ARC
(16,3),-2.61618 # DEPENDENCYPART_ARC
(16,4),-1.59566 # DEPENDENCYPART_ARC
(16,5),-1.55738 # DEPENDENCYPART_ARC
(16,6),-4.31527 # DEPENDENCYPART_ARC
(16,7),-1.31586 # DEPENDENCYPART_ARC
(16,8),-1.66395 # DEPENDENCYPART_ARC
(16,9),-0.537617 # DEPENDENCYPART_ARC
(16,10),0.410028 # DEPENDENCYPART_ARC
(16,11),-1.45054 # DEPENDENCYPART_ARC
(16,12),-0.646562 # DEPENDENCYPART_ARC
(16,13),0.053449 # DEPENDENCYPART_ARC
(16,14),-0.355073 # DEPENDENCYPART_ARC
(16,15),4.31917 # DEPENDENCYPART_ARC
(16,17),0.995137 # DEPENDENCYPART_ARC
(16,18),-0.338528 # DEPENDENCYPART_ARC
(17,1),-2.67273 # DEPENDENCYPART_ARC
(17,2),-1.31018 # DEPENDENCYPART_ARC
(17,3),-1.8382 # DEPENDENCYPART_ARC
(17,4),-1.71131 # DEPENDENCYPART_ARC
(17,5),-0.681757 # DEPENDENCYPART_ARC
(17,6),-1.0299 # DEPENDENCYPART_ARC
(17,7),-1.47946 # DEPENDENCYPART_ARC
(17,8),-1.24416 # DEPENDENCYPART_ARC
(17,9),-0.247876 # DEPENDENCYPART_ARC
(17,10),0.579847 # DEPENDENCYPART_ARC
(17,11),-0.117097 # DEPENDENCYPART_ARC
(17,12),-0.144041 # DEPENDENCYPART_ARC
(17,13),1.06978 # DEPENDENCYPART_ARC
(17,14),-0.188113 # DEPENDENCYPART_ARC
(17,15),2.05626 # DEPENDENCYPART_ARC
(17,16),1.92782 # DEPENDENCYPART_ARC
(17,18),0.268078 # DEPENDENCYPART_ARC
(18,1),-1.83481 # DEPENDENCYPART_ARC
(18,2),-1.03276 # DEPENDENCYPART_ARC
(18,3),-1.36949 # DEPENDENCYPART_ARC
(18,4),-1.33212 # DEPENDENCYPART_ARC
(18,5),-2.32846 # DEPENDENCYPART_ARC
(18,6),-1.71383 # DEPENDENCYPART_ARC
(18,7),-1.6892 # DEPENDENCYPART_ARC
(18,8),-1.23758 # DEPENDENCYPART_ARC
(18,9),-1.87707 # DEPENDENCYPART_ARC
(18,10),-1.09646 # DEPENDENCYPART_ARC
(18,11),-1.51001 # DEPENDENCYPART_ARC
(18,12),-0.20117 # DEPENDENCYPART_ARC
(18,13),-0.755844 # DEPENDENCYPART_ARC
(18,14),-0.905061 # DEPENDENCYPART_ARC
(18,15),-0.394277 # DEPENDENCYPART_ARC
(18,16),-1.91486 # DEPENDENCYPART_ARC
(18,17),-0.974716 # DEPENDENCYPART_ARC
