# _root_ Under the agreement , Intel will invest $ 3 million to acquire a 4 % stake in Alliant , a maker of minisupercomputers for scientists and engineers .
#goldHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
#predictedHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
(12,5),-0.741188 # DEPENDENCYPART_ARC
(12,6),-0.672387 # DEPENDENCYPART_ARC
(12,7),-0.247892 # DEPENDENCYPART_ARC
(12,8),0.0973625 # DEPENDENCYPART_ARC
(12,9),0.333521 # DEPENDENCYPART_ARC
(12,10),0.317298 # DEPENDENCYPART_ARC
(12,11),0.978144 # DEPENDENCYPART_ARC
(12,13),0.952417 # DEPENDENCYPART_ARC
(12,14),1.22347 # DEPENDENCYPART_ARC
(12,15),1.51499 # DEPENDENCYPART_ARC
(12,16),2.83599 # DEPENDENCYPART_ARC
(12,17),1.41028 # DEPENDENCYPART_ARC
(12,18),0.181787 # DEPENDENCYPART_ARC
(12,19),1.20593 # DEPENDENCYPART_ARC
(12,20),-0.850325 # DEPENDENCYPART_ARC
(12,21),-0.211367 # DEPENDENCYPART_ARC
(12,22),-0.537863 # DEPENDENCYPART_ARC
(12,23),-1.11347 # DEPENDENCYPART_ARC
(12,24),2.11598 # DEPENDENCYPART_ARC
(12,25),-2.66976 # DEPENDENCYPART_ARC
(12,26),0.776018 # DEPENDENCYPART_ARC
(12,27),-3.38485 # DEPENDENCYPART_ARC
(12,28),-0.0383834 # DEPENDENCYPART_ARC
(13,1),-1.58071 # DEPENDENCYPART_ARC
(13,2),-1.38091 # DEPENDENCYPART_ARC
(13,3),-2.33482 # DEPENDENCYPART_ARC
(13,4),-1.91854 # DEPENDENCYPART_ARC
(13,5),-1.96835 # DEPENDENCYPART_ARC
(13,6),-1.93416 # DEPENDENCYPART_ARC
(13,7),-1.30442 # DEPENDENCYPART_ARC
(13,8),-1.00497 # DEPENDENCYPART_ARC
(13,9),-0.86475 # DEPENDENCYPART_ARC
(13,10),-0.538747 # DEPENDENCYPART_ARC
(13,11),-0.635451 # DEPENDENCYPART_ARC
(13,12),0.463956 # DEPENDENCYPART_ARC
(13,14),2.14829 # DEPENDENCYPART_ARC
(13,15),0.545081 # DEPENDENCYPART_ARC
(13,16),0.263292 # DEPENDENCYPART_ARC
(13,17),-0.0364839 # DEPENDENCYPART_ARC
(13,18),-0.261312 # DEPENDENCYPART_ARC
(13,19),0.414124 # DEPENDENCYPART_ARC
(13,20),-1.11773 # DEPENDENCYPART_ARC
(13,21),-0.690637 # DEPENDENCYPART_ARC
(13,22),-0.296306 # DEPENDENCYPART_ARC
(13,23),-0.892932 # DEPENDENCYPART_ARC
(13,24),-0.822247 # DEPENDENCYPART_ARC
(13,25),-1.38462 # DEPENDENCYPART_ARC
(13,26),-1.17514 # DEPENDENCYPART_ARC
(13,27),-1.58309 # DEPENDENCYPART_ARC
(13,28),0.271475 # DEPENDENCYPART_ARC
(14,1),-2.19907 # DEPENDENCYPART_ARC
(14,2),-1.81757 # DEPENDENCYPART_ARC
(14,3),-2.73136 # DEPENDENCYPART_ARC
(14,4),-1.58564 # DEPENDENCYPART_ARC
(14,5),-1.53206 # DEPENDENCYPART_ARC
(14,6),-1.9497 # DEPENDENCYPART_ARC
(14,7),-1.3895 # DEPENDENCYPART_ARC
(14,8),-1.69678 # DEPENDENCYPART_ARC
(14,9),-0.502206 # DEPENDENCYPART_ARC
(14,10),-0.452249 # DEPENDENCYPART_ARC
(14,11),-0.315733 # DEPENDENCYPART_ARC
(14,12),0.2026 # DEPENDENCYPART_ARC
(14,13),1.43157 # DEPENDENCYPART_ARC
(14,15),1.80314 # DEPENDENCYPART_ARC
(14,16),0.518753 # DEPENDENCYPART_ARC
(14,17),0.882732 # DEPENDENCYPART_ARC
(14,18),0.128851 # DEPENDENCYPART_ARC
(14,19),0.553423 # DEPENDENCYPART_ARC
(14,20),-0.379929 # DEPENDENCYPART_ARC
(14,21),-0.60975 # DEPENDENCYPART_ARC
(14,22),-0.605398 # DEPENDENCYPART_ARC
(14,23),-0.601742 # DEPENDENCYPART_ARC
(14,24),-0.184952 # DEPENDENCYPART_ARC
(14,25),-0.658166 # DEPENDENCYPART_ARC
(14,26),-0.417419 # DEPENDENCYPART_ARC
(14,27),-0.880412 # DEPENDENCYPART_ARC
(14,28),-0.0937598 # DEPENDENCYPART_ARC
(15,1),-1.57686 # DEPENDENCYPART_ARC
(15,2),-3.43683 # DEPENDENCYPART_ARC
(15,3),-5.11789 # DEPENDENCYPART_ARC
(15,4),-2.26989 # DEPENDENCYPART_ARC
(15,5),-4.91777 # DEPENDENCYPART_ARC
(15,6),-2.30436 # DEPENDENCYPART_ARC
(15,7),-1.74585 # DEPENDENCYPART_ARC
(15,8),-1.41046 # DEPENDENCYPART_ARC
(15,9),-0.0103734 # DEPENDENCYPART_ARC
(15,10),-1.04174 # DEPENDENCYPART_ARC
(15,11),-0.250911 # DEPENDENCYPART_ARC
(15,12),-0.377783 # DEPENDENCYPART_ARC
(15,13),2.1335 # DEPENDENCYPART_ARC
(15,14),4.43157 # DEPENDENCYPART_ARC
(15,16),1.10641 # DEPENDENCYPART_ARC
(15,17),-0.330059 # DEPENDENCYPART_ARC
(15,18),-0.51838 # DEPENDENCYPART_ARC
(15,19),0.438316 # DEPENDENCYPART_ARC
(15,20),-0.978872 # DEPENDENCYPART_ARC
(15,21),-0.699329 # DEPENDENCYPART_ARC
(15,22),-1.12321 # DEPENDENCYPART_ARC
(15,23),-1.47391 # DEPENDENCYPART_ARC
(15,24),-2.2259 # DEPENDENCYPART_ARC
(15,25),-1.7842 # DEPENDENCYPART_ARC
(15,26),-0.57219 # DEPENDENCYPART_ARC
(15,27),-2.48322 # DEPENDENCYPART_ARC
(15,28),-0.454229 # DEPENDENCYPART_ARC
(16,1),-0.585379 # DEPENDENCYPART_ARC
(16,2),0.432705 # DEPENDENCYPART_ARC
(16,3),-2.57046 # DEPENDENCYPART_ARC
(16,4),-0.875112 # DEPENDENCYPART_ARC
(16,5),-1.27643 # DEPENDENCYPART_ARC
(16,6),-0.740011 # DEPENDENCYPART_ARC
(16,7),-0.296153 # DEPENDENCYPART_ARC
(16,8),0.863452 # DEPENDENCYPART_ARC
(16,9),0.337089 # DEPENDENCYPART_ARC
(16,10),-0.520359 # DEPENDENCYPART_ARC
(16,11),-0.224035 # DEPENDENCYPART_ARC
(16,12),0.7048 # DEPENDENCYPART_ARC
(16,13),4.49339 # DEPENDENCYPART_ARC
(16,14),2.9518 # DEPENDENCYPART_ARC
(16,15),4.25895 # DEPENDENCYPART_ARC
(16,17),3.90637 # DEPENDENCYPART_ARC
(16,18),1.24228 # DEPENDENCYPART_ARC
(16,19),1.33864 # DEPENDENCYPART_ARC
(16,20),0.0112295 # DEPENDENCYPART_ARC
(16,21),0.375805 # DEPENDENCYPART_ARC
(16,22),0.366995 # DEPENDENCYPART_ARC
(16,23),0.231919 # DEPENDENCYPART_ARC
(16,24),0.481648 # DEPENDENCYPART_ARC
(16,25),0.00956163 # DEPENDENCYPART_ARC
(16,26),0.688825 # DEPENDENCYPART_ARC
(16,27),-0.684333 # DEPENDENCYPART_ARC
(16,28),1.38551 # DEPENDENCYPART_ARC
(17,1),-2.97474 # DEPENDENCYPART_ARC
(17,2),-2.17092 # DEPENDENCYPART_ARC
(17,3),-2.78717 # DEPENDENCYPART_ARC
(17,4),-1.78361 # DEPENDENCYPART_ARC
(17,5),-2.26331 # DEPENDENCYPART_ARC
(17,6),-2.45186 # DEPENDENCYPART_ARC
(17,7),-1.58493 # DEPENDENCYPART_ARC
(17,8),-1.1137 # DEPENDENCYPART_ARC
(17,9),-1.06198 # DEPENDENCYPART_ARC
(17,10),-1.09458 # DEPENDENCYPART_ARC
(17,11),-1.08724 # DEPENDENCYPART_ARC
(17,12),-1.12391 # DEPENDENCYPART_ARC
(17,13),-0.475097 # DEPENDENCYPART_ARC
(17,14),-0.170787 # DEPENDENCYPART_ARC
(17,15),-0.731401 # DEPENDENCYPART_ARC
(17,16),-0.151419 # DEPENDENCYPART_ARC
(17,18),3.69678 # DEPENDENCYPART_ARC
(17,19),0.427509 # DEPENDENCYPART_ARC
(17,20),-1.30879 # DEPENDENCYPART_ARC
(17,21),0.0882033 # DEPENDENCYPART_ARC
(17,22),-0.630743 # DEPENDENCYPART_ARC
(17,23),-1.85727 # DEPENDENCYPART_ARC
(17,24),-0.502772 # DEPENDENCYPART_ARC
(17,25),-3.78578 # DEPENDENCYPART_ARC
(17,26),-0.865327 # DEPENDENCYPART_ARC
(17,27),-5.2465 # DEPENDENCYPART_ARC
(17,28),-0.171025 # DEPENDENCYPART_ARC
(18,1),-3.56614 # DEPENDENCYPART_ARC
(18,2),-2.63451 # DEPENDENCYPART_ARC
(18,3),-4.90911 # DEPENDENCYPART_ARC
(18,4),-3.80498 # DEPENDENCYPART_ARC
(18,5),-3.32112 # DEPENDENCYPART_ARC
(18,6),-3.66927 # DEPENDENCYPART_ARC
(18,7),-3.04567 # DEPENDENCYPART_ARC
(18,8),-1.97175 # DEPENDENCYPART_ARC
(18,9),-1.96114 # DEPENDENCYPART_ARC
(18,10),-2.44331 # DEPENDENCYPART_ARC
(18,11),-2.81579 # DEPENDENCYPART_ARC
(18,12),-2.06839 # DEPENDENCYPART_ARC
(18,13),0.00928496 # DEPENDENCYPART_ARC
(18,14),-0.262687 # DEPENDENCYPART_ARC
(18,15),-0.158291 # DEPENDENCYPART_ARC
(18,16),-1.04282 # DEPENDENCYPART_ARC
(18,17),0.408308 # DEPENDENCYPART_ARC
(18,19),2.50565 # DEPENDENCYPART_ARC
(18,20),0.587308 # DEPENDENCYPART_ARC
(18,21),1.61043 # DEPENDENCYPART_ARC
(18,22),0.961131 # DEPENDENCYPART_ARC
