# _root_ But then , as quickly as the Dow had fallen , it began to turn around .
#goldHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
#predictedHeads=13,13,9,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
(13,1),1.99784 # DEPENDENCYPART_ARC
(13,2),1.56662 # DEPENDENCYPART_ARC
(13,3),1.29415 # DEPENDENCYPART_ARC
(13,4),1.45688 # DEPENDENCYPART_ARC
(13,5),0.763329 # DEPENDENCYPART_ARC
(13,6),2.03381 # DEPENDENCYPART_ARC
(13,7),0.0800291 # DEPENDENCYPART_ARC
(13,8),0.422437 # DEPENDENCYPART_ARC
(13,9),1.02104 # DEPENDENCYPART_ARC
(13,10),1.07384 # DEPENDENCYPART_ARC
(13,11),3.06636 # DEPENDENCYPART_ARC
(13,12),4.47574 # DEPENDENCYPART_ARC
(13,14),4.40329 # DEPENDENCYPART_ARC
(13,15),1.82292 # DEPENDENCYPART_ARC
(13,16),1.59438 # DEPENDENCYPART_ARC
(13,17),3.69622 # DEPENDENCYPART_ARC
(14,1),-1.51018 # DEPENDENCYPART_ARC
(14,2),-1.91985 # DEPENDENCYPART_ARC
(14,3),-0.731613 # DEPENDENCYPART_ARC
(14,4),-1.37432 # DEPENDENCYPART_ARC
(14,5),-1.73355 # DEPENDENCYPART_ARC
(14,6),-0.315377 # DEPENDENCYPART_ARC
(14,7),-0.351259 # DEPENDENCYPART_ARC
(14,8),-0.572776 # DEPENDENCYPART_ARC
(14,9),-0.45922 # DEPENDENCYPART_ARC
(14,10),-0.612926 # DEPENDENCYPART_ARC
(14,11),0.403749 # DEPENDENCYPART_ARC
(14,12),0.632807 # DEPENDENCYPART_ARC
(14,13),1.2181 # DEPENDENCYPART_ARC
(14,15),3.41804 # DEPENDENCYPART_ARC
(14,16),1.17545 # DEPENDENCYPART_ARC
(14,17),0.186786 # DEPENDENCYPART_ARC
(15,1),-1.64389 # DEPENDENCYPART_ARC
(15,2),-0.83802 # DEPENDENCYPART_ARC
(15,3),-0.152627 # DEPENDENCYPART_ARC
(15,4),-0.787795 # DEPENDENCYPART_ARC
(15,5),-0.457323 # DEPENDENCYPART_ARC
(15,6),-0.428098 # DEPENDENCYPART_ARC
(15,7),-0.328597 # DEPENDENCYPART_ARC
(15,8),-0.542701 # DEPENDENCYPART_ARC
(15,9),-0.42199 # DEPENDENCYPART_ARC
(15,10),-0.281825 # DEPENDENCYPART_ARC
(15,11),0.183951 # DEPENDENCYPART_ARC
(15,12),0.302611 # DEPENDENCYPART_ARC
(15,13),0.0657055 # DEPENDENCYPART_ARC
(15,14),1.47371 # DEPENDENCYPART_ARC
(15,16),3.64826 # DEPENDENCYPART_ARC
(15,17),0.893229 # DEPENDENCYPART_ARC
(16,1),-1.67453 # DEPENDENCYPART_ARC
(16,2),-1.6774 # DEPENDENCYPART_ARC
(16,3),-0.992912 # DEPENDENCYPART_ARC
(16,4),-1.44899 # DEPENDENCYPART_ARC
(16,5),-1.34035 # DEPENDENCYPART_ARC
(16,6),0.227373 # DEPENDENCYPART_ARC
(16,7),-0.0247834 # DEPENDENCYPART_ARC
(16,8),-0.585207 # DEPENDENCYPART_ARC
(16,9),-0.625733 # DEPENDENCYPART_ARC
(16,10),-0.550031 # DEPENDENCYPART_ARC
(16,11),-0.0458689 # DEPENDENCYPART_ARC
(16,12),-0.445114 # DEPENDENCYPART_ARC
(16,13),0.0176229 # DEPENDENCYPART_ARC
(16,14),0.409648 # DEPENDENCYPART_ARC
(16,15),1.03062 # DEPENDENCYPART_ARC
(16,17),0.205736 # DEPENDENCYPART_ARC
(17,1),-2.17525 # DEPENDENCYPART_ARC
(17,2),-1.70596 # DEPENDENCYPART_ARC
(17,3),-1.2877 # DEPENDENCYPART_ARC
(17,4),-1.78397 # DEPENDENCYPART_ARC
(17,5),-1.79531 # DEPENDENCYPART_ARC
(17,6),-1.53583 # DEPENDENCYPART_ARC
(17,7),-1.29532 # DEPENDENCYPART_ARC
(17,8),-1.67218 # DEPENDENCYPART_ARC
(17,9),-1.03802 # DEPENDENCYPART_ARC
(17,10),-1.18415 # DEPENDENCYPART_ARC
(17,11),-0.521122 # DEPENDENCYPART_ARC
(17,12),-0.735654 # DEPENDENCYPART_ARC
(17,13),-0.978113 # DEPENDENCYPART_ARC
(17,14),-0.955657 # DEPENDENCYPART_ARC
(17,15),-1.27 # DEPENDENCYPART_ARC
(17,16),-0.33256 # DEPENDENCYPART_ARC
