# _root_ J.P. Morgan & Co. swung to a loss in the third quarter , while NCNB Corp. reported net income more than doubled , and Security Pacific Corp. net rose 10 % .
#goldHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,17,17,28,28,28,29,24,31,29,5,
#predictedHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,14,22,17,26,28,28,29,24,31,29,17,
(5,16),-1.21972 # DEPENDENCYPART_ARC
(5,17),1.22926 # DEPENDENCYPART_ARC
(5,18),-0.845925 # DEPENDENCYPART_ARC
(5,19),-0.814277 # DEPENDENCYPART_ARC
(5,20),-0.104728 # DEPENDENCYPART_ARC
(5,21),-0.829484 # DEPENDENCYPART_ARC
(5,22),0.187381 # DEPENDENCYPART_ARC
(5,23),1.74775 # DEPENDENCYPART_ARC
(5,24),1.04632 # DEPENDENCYPART_ARC
(5,25),-2.91112 # DEPENDENCYPART_ARC
(5,26),-2.98878 # DEPENDENCYPART_ARC
(5,27),-3.09836 # DEPENDENCYPART_ARC
(5,28),-2.5746 # DEPENDENCYPART_ARC
(5,29),-1.38108 # DEPENDENCYPART_ARC
(5,30),-0.788519 # DEPENDENCYPART_ARC
(5,31),-2.64448 # DEPENDENCYPART_ARC
(5,32),6.89524 # DEPENDENCYPART_ARC
(6,1),-0.737926 # DEPENDENCYPART_ARC
(6,2),-0.608807 # DEPENDENCYPART_ARC
(6,3),-0.402958 # DEPENDENCYPART_ARC
(6,4),-0.454277 # DEPENDENCYPART_ARC
(6,5),0.564483 # DEPENDENCYPART_ARC
(6,7),1.40314 # DEPENDENCYPART_ARC
(6,8),3.74436 # DEPENDENCYPART_ARC
(6,9),0.946246 # DEPENDENCYPART_ARC
(6,10),-0.736592 # DEPENDENCYPART_ARC
(6,11),0.275236 # DEPENDENCYPART_ARC
(6,12),0.404682 # DEPENDENCYPART_ARC
(6,13),0.691759 # DEPENDENCYPART_ARC
(6,14),-0.192252 # DEPENDENCYPART_ARC
(6,15),-2.07404 # DEPENDENCYPART_ARC
(6,16),-1.58882 # DEPENDENCYPART_ARC
(6,17),-1.05509 # DEPENDENCYPART_ARC
(6,18),-0.919044 # DEPENDENCYPART_ARC
(6,19),-1.82028 # DEPENDENCYPART_ARC
(6,20),-1.62961 # DEPENDENCYPART_ARC
(6,21),-0.304206 # DEPENDENCYPART_ARC
(6,22),-1.61827 # DEPENDENCYPART_ARC
(6,23),-0.114657 # DEPENDENCYPART_ARC
(6,24),-0.323789 # DEPENDENCYPART_ARC
(6,25),-4.55004 # DEPENDENCYPART_ARC
(6,26),-4.24811 # DEPENDENCYPART_ARC
(6,27),-4.84269 # DEPENDENCYPART_ARC
(6,28),-4.01358 # DEPENDENCYPART_ARC
(6,29),-3.01864 # DEPENDENCYPART_ARC
(6,30),-3.13807 # DEPENDENCYPART_ARC
(6,31),-6.19594 # DEPENDENCYPART_ARC
(6,32),0.16339 # DEPENDENCYPART_ARC
(7,1),-1.80532 # DEPENDENCYPART_ARC
(7,2),-1.74362 # DEPENDENCYPART_ARC
(7,3),-1.96109 # DEPENDENCYPART_ARC
(7,4),-1.26166 # DEPENDENCYPART_ARC
(7,5),-1.17284 # DEPENDENCYPART_ARC
(7,6),-0.219342 # DEPENDENCYPART_ARC
(7,8),0.595302 # DEPENDENCYPART_ARC
(7,9),-0.494668 # DEPENDENCYPART_ARC
(7,10),-1.32171 # DEPENDENCYPART_ARC
(7,11),-0.94752 # DEPENDENCYPART_ARC
(7,12),-0.892595 # DEPENDENCYPART_ARC
(7,13),-0.716963 # DEPENDENCYPART_ARC
(7,14),-1.18269 # DEPENDENCYPART_ARC
(7,15),-1.56314 # DEPENDENCYPART_ARC
(7,16),-1.49258 # DEPENDENCYPART_ARC
(7,17),-1.96505 # DEPENDENCYPART_ARC
(7,18),-2.04782 # DEPENDENCYPART_ARC
(7,19),-1.85845 # DEPENDENCYPART_ARC
(7,20),-2.15832 # DEPENDENCYPART_ARC
(7,21),-2.23781 # DEPENDENCYPART_ARC
(7,22),-2.97676 # DEPENDENCYPART_ARC
(7,23),-1.63404 # DEPENDENCYPART_ARC
(7,24),-2.84317 # DEPENDENCYPART_ARC
(7,25),-2.44097 # DEPENDENCYPART_ARC
(7,26),-2.40429 # DEPENDENCYPART_ARC
(7,27),-2.33878 # DEPENDENCYPART_ARC
(7,28),-2.64466 # DEPENDENCYPART_ARC
(7,29),-3.61508 # DEPENDENCYPART_ARC
(7,30),-2.72346 # DEPENDENCYPART_ARC
(7,31),-3.21887 # DEPENDENCYPART_ARC
(7,32),-2.24791 # DEPENDENCYPART_ARC
(8,1),-2.28414 # DEPENDENCYPART_ARC
(8,2),-2.4416 # DEPENDENCYPART_ARC
(8,3),-0.433689 # DEPENDENCYPART_ARC
(8,4),-0.846262 # DEPENDENCYPART_ARC
(8,5),0.397746 # DEPENDENCYPART_ARC
(8,6),0.372002 # DEPENDENCYPART_ARC
(8,7),4.83584 # DEPENDENCYPART_ARC
(8,9),2.52245 # DEPENDENCYPART_ARC
(8,10),0.418631 # DEPENDENCYPART_ARC
(8,11),0.888155 # DEPENDENCYPART_ARC
(8,12),1.20155 # DEPENDENCYPART_ARC
(8,13),0.813214 # DEPENDENCYPART_ARC
(8,14),0.450758 # DEPENDENCYPART_ARC
(8,15),-0.329252 # DEPENDENCYPART_ARC
(8,16),-0.171313 # DEPENDENCYPART_ARC
(8,17),0.846632 # DEPENDENCYPART_ARC
(8,18),-0.00553913 # DEPENDENCYPART_ARC
(8,19),-0.121448 # DEPENDENCYPART_ARC
(8,20),-0.650119 # DEPENDENCYPART_ARC
(8,21),-0.0406089 # DEPENDENCYPART_ARC
(8,22),-0.232248 # DEPENDENCYPART_ARC
(8,23),-0.895493 # DEPENDENCYPART_ARC
(8,24),-0.632747 # DEPENDENCYPART_ARC
(8,25),-2.20653 # DEPENDENCYPART_ARC
(8,26),-2.08847 # DEPENDENCYPART_ARC
(8,27),-2.37434 # DEPENDENCYPART_ARC
(8,28),-1.41223 # DEPENDENCYPART_ARC
(8,29),-1.54052 # DEPENDENCYPART_ARC
(8,30),-2.24997 # DEPENDENCYPART_ARC
(8,31),-4.46629 # DEPENDENCYPART_ARC
(8,32),1.76001 # DEPENDENCYPART_ARC
(9,1),-1.31193 # DEPENDENCYPART_ARC
(9,2),-1.232 # DEPENDENCYPART_ARC
(9,3),-1.23396 # DEPENDENCYPART_ARC
(9,4),-1.17105 # DEPENDENCYPART_ARC
(9,5),-0.999444 # DEPENDENCYPART_ARC
(9,6),-0.530179 # DEPENDENCYPART_ARC
(9,7),-0.0172736 # DEPENDENCYPART_ARC
(9,8),0.262939 # DEPENDENCYPART_ARC
(9,10),0.471119 # DEPENDENCYPART_ARC
(9,11),1.80245 # DEPENDENCYPART_ARC
(9,12),4.18488 # DEPENDENCYPART_ARC
(9,13),0.695758 # DEPENDENCYPART_ARC
(9,14),0.159223 # DEPENDENCYPART_ARC
(9,15),-1.71287 # DEPENDENCYPART_ARC
(9,16),-0.66399 # DEPENDENCYPART_ARC
(9,17),-0.207989 # DEPENDENCYPART_ARC
(9,18),-1.50835 # DEPENDENCYPART_ARC
(9,19),-1.70668 # DEPENDENCYPART_ARC
(9,20),-1.68769 # DEPENDENCYPART_ARC
(9,21),-0.504435 # DEPENDENCYPART_ARC
(9,22),-2.22913 # DEPENDENCYPART_ARC
(9,23),-0.0411968 # DEPENDENCYPART_ARC
(9,24),-1.58121 # DEPENDENCYPART_ARC
(9,25),-7.36643 # DEPENDENCYPART_ARC
(9,26),-6.08911 # DEPENDENCYPART_ARC
(9,27),-8.21506 # DEPENDENCYPART_ARC
(9,28),-5.00984 # DEPENDENCYPART_ARC
(9,29),-3.73904 # DEPENDENCYPART_ARC
(9,30),-5.64787 # DEPENDENCYPART_ARC
(9,31),-11.4042 # DEPENDENCYPART_ARC
(9,32),1.01965 # DEPENDENCYPART_ARC
(10,1),-3.38662 # DEPENDENCYPART_ARC
(10,2),-3.28482 # DEPENDENCYPART_ARC
(10,3),-3.54017 # DEPENDENCYPART_ARC
(10,4),-2.99781 # DEPENDENCYPART_ARC
(10,5),-2.92553 # DEPENDENCYPART_ARC
(10,6),-2.63438 # DEPENDENCYPART_ARC
(10,7),-1.56674 # DEPENDENCYPART_ARC
(10,8),-2.49231 # DEPENDENCYPART_ARC
(10,9),-1.65898 # DEPENDENCYPART_ARC
(10,11),-0.318746 # DEPENDENCYPART_ARC
(10,12),-0.98372 # DEPENDENCYPART_ARC
(10,13),-1.6649 # DEPENDENCYPART_ARC
(10,14),-1.74475 # DEPENDENCYPART_ARC
(10,15),-2.06667 # DEPENDENCYPART_ARC
(10,16),-2.36201 # DEPENDENCYPART_ARC
(10,17),-2.29872 # DEPENDENCYPART_ARC
(10,18),-2.30178 # DEPENDENCYPART_ARC
(10,19),-2.35803 # DEPENDENCYPART_ARC
(10,20),-2.47163 # DEPENDENCYPART_ARC
(10,21),-2.72051 # DEPENDENCYPART_ARC
(10,22),-3.32771 # DEPENDENCYPART_ARC
(10,23),-2.61122 # DEPENDENCYPART_ARC
(10,24),-3.28665 # DEPENDENCYPART_ARC
(10,25),-3.4273 # DEPENDENCYPART_ARC
(10,26),-3.45752 # DEPENDENCYPART_ARC
(10,27),-3.5272 # DEPENDENCYPART_ARC
(10,28),-3.34813 # DEPENDENCYPART_ARC
(10,29),-3.98228 # DEPENDENCYPART_ARC
(10,30),-3.38458 # DEPENDENCYPART_ARC
(10,31),-3.80498 # DEPENDENCYPART_ARC
(10,32),-3.50009 # DEPENDENCYPART_ARC
(11,1),-1.32295 # DEPENDENCYPART_ARC
(11,2),-1.9946 # DEPENDENCYPART_ARC
(11,3),-1.64993 # DEPENDENCYPART_ARC
(11,4),-1.4491 # DEPENDENCYPART_ARC
(11,5),-1.59164 # DEPENDENCYPART_ARC
(11,6),0.0351587 # DEPENDENCYPART_ARC
(11,7),0.889412 # DEPENDENCYPART_ARC
(11,8),-0.160807 # DEPENDENCYPART_ARC
(11,9),0.391315 # DEPENDENCYPART_ARC
(11,10),2.44983 # DEPENDENCYPART_ARC
(11,12),0.679335 # DEPENDENCYPART_ARC
(11,13),-0.462636 # DEPENDENCYPART_ARC
(11,14),-1.12288 # DEPENDENCYPART_ARC
(11,15),-0.717775 # DEPENDENCYPART_ARC
(11,16),-0.86589 # DEPENDENCYPART_ARC
(11,17),-0.653562 # DEPENDENCYPART_ARC
(11,18),-1.38271 # DEPENDENCYPART_ARC
(11,19),-1.37653 # DEPENDENCYPART_ARC
(11,20),-1.99967 # DEPENDENCYPART_ARC
(11,21),-0.544975 # DEPENDENCYPART_ARC
(11,22),-1.00188 # DEPENDENCYPART_ARC
(11,23),-1.92097 # DEPENDENCYPART_ARC
(11,24),-1.43701 # DEPENDENCYPART_ARC
(11,25),-2.03641 # DEPENDENCYPART_ARC
(11,26),-1.91783 # DEPENDENCYPART_ARC
(11,27),-1.97453 # DEPENDENCYPART_ARC
(11,28),-2.45101 # DEPENDENCYPART_ARC
(11,29),-1.97562 # DEPENDENCYPART_ARC
(11,30),-3.80512 # DEPENDENCYPART_ARC
(11,31),-2.94506 # DEPENDENCYPART_ARC
(11,32),-0.852339 # DEPENDENCYPART_ARC
(12,1),-3.88153 # DEPENDENCYPART_ARC
(12,2),-4.1571 # DEPENDENCYPART_ARC
(12,3),-0.350659 # DEPENDENCYPART_ARC
(12,4),-2.80482 # DEPENDENCYPART_ARC
(12,5),-0.357102 # DEPENDENCYPART_ARC
(12,6),-0.919544 # DEPENDENCYPART_ARC
(12,7),1.50862 # DEPENDENCYPART_ARC
(12,8),-0.216796 # DEPENDENCYPART_ARC
(12,9),0.544219 # DEPENDENCYPART_ARC
(12,10),4.96394 # DEPENDENCYPART_ARC
(12,11),4.44705 # DEPENDENCYPART_ARC
(12,13),0.937476 # DEPENDENCYPART_ARC
(12,14),-0.0437698 # DEPENDENCYPART_ARC
(12,15),-0.047607 # DEPENDENCYPART_ARC
(12,16),-0.735829 # DEPENDENCYPART_ARC
(12,17),0.20759 # DEPENDENCYPART_ARC
(12,18),-0.742844 # DEPENDENCYPART_ARC
(12,19),-0.762141 # DEPENDENCYPART_ARC
(12,20),-1.28433 # DEPENDENCYPART_ARC
(12,21),-1.34816 # DEPENDENCYPART_ARC
(12,22),-0.631108 # DEPENDENCYPART_ARC
(12,23),-1.08402 # DEPENDENCYPART_ARC
(12,24),-1.76326 # DEPENDENCYPART_ARC
(12,25),-2.44725 # DEPENDENCYPART_ARC
(12,26),-2.0828 # DEPENDENCYPART_ARC
(12,27),-2.70865 # DEPENDENCYPART_ARC
(12,28),-3.09807 # DEPENDENCYPART_ARC
(12,29),-2.16079 # DEPENDENCYPART_ARC
(12,30),-2.93033 # DEPENDENCYPART_ARC
(12,31),-5.57551 # DEPENDENCYPART_ARC
(12,32),0.508623 # DEPENDENCYPART_ARC
(13,1),-2.73302 # DEPENDENCYPART_ARC
(13,2),-2.64471 # DEPENDENCYPART_ARC
(13,3),-2.44162 # DEPENDENCYPART_ARC
(13,4),-2.33034 # DEPENDENCYPART_ARC
(13,5),-1.70824 # DEPENDENCYPART_ARC
(13,6),-1.59026 # DEPENDENCYPART_ARC
(13,7),-1.27966 # DEPENDENCYPART_ARC
(13,8),-1.73298 # DEPENDENCYPART_ARC
(13,9),-1.55456 # DEPENDENCYPART_ARC
(13,10),-0.712824 # DEPENDENCYPART_ARC
(13,11),-1.32426 # DEPENDENCYPART_ARC
(13,12),-1.16689 # DEPENDENCYPART_ARC
(13,14),-1.04676 # DEPENDENCYPART_ARC
(13,15),-1.17589 # DEPENDENCYPART_ARC
(13,16),-1.43794 # DEPENDENCYPART_ARC
(13,17),-1.53591 # DEPENDENCYPART_ARC
(13,18),-2.1399 # DEPENDENCYPART_ARC
(13,19),-2.55948 # DEPENDENCYPART_ARC
(13,20),-2.21693 # DEPENDENCYPART_ARC
(13,21),-2.12367 # DEPENDENCYPART_ARC
(13,22),-2.14924 # DEPENDENCYPART_ARC
(13,23),-1.17013 # DEPENDENCYPART_ARC
(13,24),-2.58425 # DEPENDENCYPART_ARC
(13,25),-3.0122 # DEPENDENCYPART_ARC
(13,26),-3.09953 # DEPENDENCYPART_ARC
(13,27),-3.22927 # DEPENDENCYPART_ARC
(13,28),-3.41981 # DEPENDENCYPART_ARC
(13,29),-2.82977 # DEPENDENCYPART_ARC
(13,30),-3.79751 # DEPENDENCYPART_ARC
(13,31),-3.77609 # DEPENDENCYPART_ARC
(13,32),-2.90573 # DEPENDENCYPART_ARC
(14,1),-2.39847 # DEPENDENCYPART_ARC
(14,2),-2.48628 # DEPENDENCYPART_ARC
(14,3),-2.31553 # DEPENDENCYPART_ARC
(14,4),-1.966 # DEPENDENCYPART_ARC
(14,5),-1.76923 # DEPENDENCYPART_ARC
(14,6),-1.44926 # DEPENDENCYPART_ARC
(14,7),-1.27292 # DEPENDENCYPART_ARC
(14,8),-1.43996 # DEPENDENCYPART_ARC
(14,9),-1.02948 # DEPENDENCYPART_ARC
(14,10),-0.708242 # DEPENDENCYPART_ARC
(14,11),-0.474478 # DEPENDENCYPART_ARC
(14,12),-1.54146 # DEPENDENCYPART_ARC
(14,13),0.270759 # DEPENDENCYPART_ARC
(14,15),0.567327 # DEPENDENCYPART_ARC
(14,16),-0.193348 # DEPENDENCYPART_ARC
(14,17),5.83317 # DEPENDENCYPART_ARC
(14,18),-0.218581 # DEPENDENCYPART_ARC
(14,19),-1.58781 # DEPENDENCYPART_ARC
(14,20),-0.804964 # DEPENDENCYPART_ARC
(14,21),-0.346169 # DEPENDENCYPART_ARC
(14,22),2.31545 # DEPENDENCYPART_ARC
(14,23),1.16107 # DEPENDENCYPART_ARC
(14,24),-0.303226 # DEPENDENCYPART_ARC
(14,25),-5.40994 # DEPENDENCYPART_ARC
(14,26),-4.37789 # DEPENDENCYPART_ARC
(14,27),-6.43532 # DEPENDENCYPART_ARC
(14,28),-5.64262 # DEPENDENCYPART_ARC
(14,29),1.89241 # DEPENDENCYPART_ARC
(14,30),-4.32894 # DEPENDENCYPART_ARC
(14,31),-8.86415 # DEPENDENCYPART_ARC
(14,32),1.35777 # DEPENDENCYPART_ARC
(15,1),-6.32365 # DEPENDENCYPART_ARC
(15,2),-6.71902 # DEPENDENCYPART_ARC
(15,3),-3.01315 # DEPENDENCYPART_ARC
(15,4),-4.91562 # DEPENDENCYPART_ARC
(15,5),-2.48059 # DEPENDENCYPART_ARC
(15,6),-2.48551 # DEPENDENCYPART_ARC
(15,7),-1.56527 # DEPENDENCYPART_ARC
(15,8),-3.44067 # DEPENDENCYPART_ARC
(15,9),-1.46445 # DEPENDENCYPART_ARC
(15,10),0.391711 # DEPENDENCYPART_ARC
(15,11),-0.0175966 # DEPENDENCYPART_ARC
(15,12),-1.47034 # DEPENDENCYPART_ARC
(15,13),-0.33463 # DEPENDENCYPART_ARC
(15,14),0.435044 # DEPENDENCYPART_ARC
(15,16),5.51056 # DEPENDENCYPART_ARC
(15,17),0.711656 # DEPENDENCYPART_ARC
(15,18),0.847358 # DEPENDENCYPART_ARC
(15,19),-0.058819 # DEPENDENCYPART_ARC
(15,20),-0.129349 # DEPENDENCYPART_ARC
(15,21),-0.151254 # DEPENDENCYPART_ARC
(15,22),0.144735 # DEPENDENCYPART_ARC
(15,23),0.135414 # DEPENDENCYPART_ARC
(15,24),1.13841 # DEPENDENCYPART_ARC
(15,25),-2.05509 # DEPENDENCYPART_ARC
(15,26),-0.832292 # DEPENDENCYPART_ARC
(15,27),-1.3029 # DEPENDENCYPART_ARC
(15,28),-3.22975 # DEPENDENCYPART_ARC
(15,29),-1.11145 # DEPENDENCYPART_ARC
(15,30),-2.02719 # DEPENDENCYPART_ARC
(15,31),-4.87382 # DEPENDENCYPART_ARC
(15,32),-0.0314161 # DEPENDENCYPART_ARC
(16,1),-6.25434 # DEPENDENCYPART_ARC
(16,2),-7.59086 # DEPENDENCYPART_ARC
(16,3),-3.89791 # DEPENDENCYPART_ARC
(16,4),-6.04868 # DEPENDENCYPART_ARC
(16,5),-3.76147 # DEPENDENCYPART_ARC
(16,6),-3.5079 # DEPENDENCYPART_ARC
(16,7),-2.46351 # DEPENDENCYPART_ARC
(16,8),-4.64346 # DEPENDENCYPART_ARC
(16,9),-2.70003 # DEPENDENCYPART_ARC
