# _root_ Jack W. Forrest , Environmental Systems president and chief executive officer , said the change increases the company 's effective tax rate to about 35 % from 20 % .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
(2,18),-2.91342 # DEPENDENCYPART_ARC
(2,19),-2.93151 # DEPENDENCYPART_ARC
(2,20),-1.99844 # DEPENDENCYPART_ARC
(2,21),-3.97785 # DEPENDENCYPART_ARC
(2,22),-3.93903 # DEPENDENCYPART_ARC
(2,23),-2.13168 # DEPENDENCYPART_ARC
(2,24),-2.78421 # DEPENDENCYPART_ARC
(2,25),-3.21779 # DEPENDENCYPART_ARC
(2,26),-5.25895 # DEPENDENCYPART_ARC
(2,27),-4.29706 # DEPENDENCYPART_ARC
(2,28),-4.28983 # DEPENDENCYPART_ARC
(2,29),-6.50346 # DEPENDENCYPART_ARC
(2,30),-0.524177 # DEPENDENCYPART_ARC
(3,1),3.85032 # DEPENDENCYPART_ARC
(3,2),4.22184 # DEPENDENCYPART_ARC
(3,4),3.91905 # DEPENDENCYPART_ARC
(3,5),2.41848 # DEPENDENCYPART_ARC
(3,6),1.57662 # DEPENDENCYPART_ARC
(3,7),2.67734 # DEPENDENCYPART_ARC
(3,8),0.720757 # DEPENDENCYPART_ARC
(3,9),0.869807 # DEPENDENCYPART_ARC
(3,10),0.786957 # DEPENDENCYPART_ARC
(3,11),2.30009 # DEPENDENCYPART_ARC
(3,12),3.89597 # DEPENDENCYPART_ARC
(3,13),0.17208 # DEPENDENCYPART_ARC
(3,14),0.174787 # DEPENDENCYPART_ARC
(3,15),-1.35645 # DEPENDENCYPART_ARC
(3,16),0.394388 # DEPENDENCYPART_ARC
(3,17),-0.0756901 # DEPENDENCYPART_ARC
(3,18),-1.57314 # DEPENDENCYPART_ARC
(3,19),-1.18231 # DEPENDENCYPART_ARC
(3,20),-0.558172 # DEPENDENCYPART_ARC
(3,21),-2.3236 # DEPENDENCYPART_ARC
(3,22),-2.21848 # DEPENDENCYPART_ARC
(3,23),-0.595381 # DEPENDENCYPART_ARC
(3,24),-1.1626 # DEPENDENCYPART_ARC
(3,25),-2.00389 # DEPENDENCYPART_ARC
(3,26),-3.67528 # DEPENDENCYPART_ARC
(3,27),-2.19672 # DEPENDENCYPART_ARC
(3,28),-2.98542 # DEPENDENCYPART_ARC
(3,29),-4.9034 # DEPENDENCYPART_ARC
(3,30),0.763052 # DEPENDENCYPART_ARC
(4,1),-1.62686 # DEPENDENCYPART_ARC
(4,2),-1.76799 # DEPENDENCYPART_ARC
(4,3),-1.19449 # DEPENDENCYPART_ARC
(4,5),-0.344139 # DEPENDENCYPART_ARC
(4,6),-0.9834 # DEPENDENCYPART_ARC
(4,7),-1.61473 # DEPENDENCYPART_ARC
(4,8),-1.58592 # DEPENDENCYPART_ARC
(4,9),-1.89595 # DEPENDENCYPART_ARC
(4,10),-2.12938 # DEPENDENCYPART_ARC
(4,11),-2.52379 # DEPENDENCYPART_ARC
(4,12),-0.740634 # DEPENDENCYPART_ARC
(4,13),-1.91696 # DEPENDENCYPART_ARC
(4,14),-2.49718 # DEPENDENCYPART_ARC
(4,15),-2.96048 # DEPENDENCYPART_ARC
(4,16),-2.24383 # DEPENDENCYPART_ARC
(4,17),-2.86218 # DEPENDENCYPART_ARC
(4,18),-3.39379 # DEPENDENCYPART_ARC
(4,19),-2.94162 # DEPENDENCYPART_ARC
(4,20),-3.24092 # DEPENDENCYPART_ARC
(4,21),-3.71766 # DEPENDENCYPART_ARC
(4,22),-3.81845 # DEPENDENCYPART_ARC
(4,23),-3.24219 # DEPENDENCYPART_ARC
(4,24),-3.40672 # DEPENDENCYPART_ARC
(4,25),-3.85823 # DEPENDENCYPART_ARC
(4,26),-4.25797 # DEPENDENCYPART_ARC
(4,27),-3.08644 # DEPENDENCYPART_ARC
(4,28),-4.22008 # DEPENDENCYPART_ARC
(4,29),-4.46773 # DEPENDENCYPART_ARC
(4,30),-3.52896 # DEPENDENCYPART_ARC
(5,1),-1.85886 # DEPENDENCYPART_ARC
(5,2),-1.26923 # DEPENDENCYPART_ARC
(5,3),-1.07259 # DEPENDENCYPART_ARC
(5,4),-0.514482 # DEPENDENCYPART_ARC
(5,6),0.198151 # DEPENDENCYPART_ARC
(5,7),-0.48706 # DEPENDENCYPART_ARC
(5,8),-1.07029 # DEPENDENCYPART_ARC
(5,9),-1.5314 # DEPENDENCYPART_ARC
(5,10),-1.64234 # DEPENDENCYPART_ARC
(5,11),-1.66375 # DEPENDENCYPART_ARC
(5,12),0.101586 # DEPENDENCYPART_ARC
(5,13),-2.86613 # DEPENDENCYPART_ARC
(5,14),-2.34393 # DEPENDENCYPART_ARC
(5,15),-3.90728 # DEPENDENCYPART_ARC
(5,16),-2.7542 # DEPENDENCYPART_ARC
(5,17),-2.75229 # DEPENDENCYPART_ARC
(5,18),-5.08225 # DEPENDENCYPART_ARC
(5,19),-3.43598 # DEPENDENCYPART_ARC
(5,20),-3.15934 # DEPENDENCYPART_ARC
(5,21),-5.62362 # DEPENDENCYPART_ARC
(5,22),-6.05564 # DEPENDENCYPART_ARC
(5,23),-3.14854 # DEPENDENCYPART_ARC
(5,24),-4.35925 # DEPENDENCYPART_ARC
(5,25),-4.31447 # DEPENDENCYPART_ARC
(5,26),-6.86285 # DEPENDENCYPART_ARC
(5,27),-4.69853 # DEPENDENCYPART_ARC
(5,28),-5.22847 # DEPENDENCYPART_ARC
(5,29),-8.0476 # DEPENDENCYPART_ARC
(5,30),-1.14175 # DEPENDENCYPART_ARC
(6,1),-0.15012 # DEPENDENCYPART_ARC
(6,2),-0.142662 # DEPENDENCYPART_ARC
(6,3),-0.126335 # DEPENDENCYPART_ARC
(6,4),1.16391 # DEPENDENCYPART_ARC
(6,5),3.05793 # DEPENDENCYPART_ARC
(6,7),1.95716 # DEPENDENCYPART_ARC
(6,8),0.646297 # DEPENDENCYPART_ARC
(6,9),0.0873242 # DEPENDENCYPART_ARC
(6,10),-0.0317067 # DEPENDENCYPART_ARC
(6,11),-0.0636145 # DEPENDENCYPART_ARC
(6,12),1.22705 # DEPENDENCYPART_ARC
(6,13),-1.13127 # DEPENDENCYPART_ARC
(6,14),-0.959782 # DEPENDENCYPART_ARC
(6,15),-2.35216 # DEPENDENCYPART_ARC
(6,16),-0.672825 # DEPENDENCYPART_ARC
(6,17),-1.30765 # DEPENDENCYPART_ARC
(6,18),-3.30921 # DEPENDENCYPART_ARC
(6,19),-1.46876 # DEPENDENCYPART_ARC
(6,20),-1.69954 # DEPENDENCYPART_ARC
(6,21),-3.87729 # DEPENDENCYPART_ARC
(6,22),-4.02409 # DEPENDENCYPART_ARC
(6,23),-1.70026 # DEPENDENCYPART_ARC
(6,24),-2.42763 # DEPENDENCYPART_ARC
(6,25),-2.82051 # DEPENDENCYPART_ARC
(6,26),-5.10781 # DEPENDENCYPART_ARC
(6,27),-3.32627 # DEPENDENCYPART_ARC
(6,28),-3.76633 # DEPENDENCYPART_ARC
(6,29),-6.24066 # DEPENDENCYPART_ARC
(6,30),-1.34595 # DEPENDENCYPART_ARC
(7,1),0.957509 # DEPENDENCYPART_ARC
(7,2),1.58925 # DEPENDENCYPART_ARC
(7,3),0.71064 # DEPENDENCYPART_ARC
(7,4),0.639145 # DEPENDENCYPART_ARC
(7,5),3.44908 # DEPENDENCYPART_ARC
(7,6),3.43909 # DEPENDENCYPART_ARC
(7,8),3.78797 # DEPENDENCYPART_ARC
(7,9),1.23623 # DEPENDENCYPART_ARC
(7,10),0.800318 # DEPENDENCYPART_ARC
(7,11),1.10028 # DEPENDENCYPART_ARC
(7,12),2.02702 # DEPENDENCYPART_ARC
(7,13),0.539053 # DEPENDENCYPART_ARC
(7,14),-0.198977 # DEPENDENCYPART_ARC
(7,15),0.201376 # DEPENDENCYPART_ARC
(7,16),-0.198519 # DEPENDENCYPART_ARC
(7,17),-0.438832 # DEPENDENCYPART_ARC
(7,18),-0.806448 # DEPENDENCYPART_ARC
(7,19),-0.42104 # DEPENDENCYPART_ARC
(7,20),-0.00320914 # DEPENDENCYPART_ARC
(7,21),-0.604889 # DEPENDENCYPART_ARC
(7,22),-1.38414 # DEPENDENCYPART_ARC
(7,23),-0.701281 # DEPENDENCYPART_ARC
(7,24),-0.656207 # DEPENDENCYPART_ARC
(7,25),-0.632781 # DEPENDENCYPART_ARC
(7,26),-1.80813 # DEPENDENCYPART_ARC
(7,27),0.359975 # DEPENDENCYPART_ARC
(7,28),-1.03909 # DEPENDENCYPART_ARC
(7,29),-3.01488 # DEPENDENCYPART_ARC
(7,30),-0.255447 # DEPENDENCYPART_ARC
(8,1),-0.591286 # DEPENDENCYPART_ARC
(8,2),-0.514682 # DEPENDENCYPART_ARC
(8,3),-0.484726 # DEPENDENCYPART_ARC
(8,4),-1.11151 # DEPENDENCYPART_ARC
(8,5),0.10041 # DEPENDENCYPART_ARC
(8,6),-0.296191 # DEPENDENCYPART_ARC
(8,7),0.113987 # DEPENDENCYPART_ARC
(8,9),2.18597 # DEPENDENCYPART_ARC
(8,10),2.25392 # DEPENDENCYPART_ARC
(8,11),4.20093 # DEPENDENCYPART_ARC
(8,12),0.86602 # DEPENDENCYPART_ARC
(8,13),2.03811 # DEPENDENCYPART_ARC
(8,14),-0.808638 # DEPENDENCYPART_ARC
(8,15),-0.0140008 # DEPENDENCYPART_ARC
(8,16),0.662895 # DEPENDENCYPART_ARC
(8,17),-1.16344 # DEPENDENCYPART_ARC
(8,18),-0.738689 # DEPENDENCYPART_ARC
(8,19),-1.52517 # DEPENDENCYPART_ARC
(8,20),-0.682049 # DEPENDENCYPART_ARC
(8,21),-1.70933 # DEPENDENCYPART_ARC
(8,22),-1.40719 # DEPENDENCYPART_ARC
(8,23),0.434486 # DEPENDENCYPART_ARC
(8,24),-0.959585 # DEPENDENCYPART_ARC
(8,25),-1.24595 # DEPENDENCYPART_ARC
(8,26),-2.11861 # DEPENDENCYPART_ARC
(8,27),0.0938837 # DEPENDENCYPART_ARC
(8,28),-1.51568 # DEPENDENCYPART_ARC
(8,29),-3.44142 # DEPENDENCYPART_ARC
(8,30),-0.276603 # DEPENDENCYPART_ARC
(9,1),-1.58495 # DEPENDENCYPART_ARC
(9,2),-1.83862 # DEPENDENCYPART_ARC
(9,3),-2.2276 # DEPENDENCYPART_ARC
(9,4),-1.75964 # DEPENDENCYPART_ARC
(9,5),-1.22352 # DEPENDENCYPART_ARC
(9,6),-1.50805 # DEPENDENCYPART_ARC
(9,7),-1.19693 # DEPENDENCYPART_ARC
(9,8),-0.379806 # DEPENDENCYPART_ARC
(9,10),1.15682 # DEPENDENCYPART_ARC
(9,11),0.776606 # DEPENDENCYPART_ARC
(9,12),0.153209 # DEPENDENCYPART_ARC
(9,13),-0.217752 # DEPENDENCYPART_ARC
(9,14),-1.13403 # DEPENDENCYPART_ARC
(9,15),-0.878266 # DEPENDENCYPART_ARC
(9,16),-0.292997 # DEPENDENCYPART_ARC
(9,17),-1.44764 # DEPENDENCYPART_ARC
(9,18),-1.35056 # DEPENDENCYPART_ARC
(9,19),-0.902848 # DEPENDENCYPART_ARC
(9,20),-0.917947 # DEPENDENCYPART_ARC
(9,21),-1.22165 # DEPENDENCYPART_ARC
(9,22),-1.80989 # DEPENDENCYPART_ARC
(9,23),-1.25669 # DEPENDENCYPART_ARC
(9,24),-1.73845 # DEPENDENCYPART_ARC
(9,25),-2.47174 # DEPENDENCYPART_ARC
(9,26),-2.06469 # DEPENDENCYPART_ARC
(9,27),-1.58003 # DEPENDENCYPART_ARC
(9,28),-2.60335 # DEPENDENCYPART_ARC
(9,29),-2.34984 # DEPENDENCYPART_ARC
(9,30),-0.379347 # DEPENDENCYPART_ARC
(10,1),-0.515983 # DEPENDENCYPART_ARC
(10,2),-0.768976 # DEPENDENCYPART_ARC
(10,3),-1.17212 # DEPENDENCYPART_ARC
(10,4),-0.923745 # DEPENDENCYPART_ARC
(10,5),-0.294106 # DEPENDENCYPART_ARC
(10,6),-0.75754 # DEPENDENCYPART_ARC
(10,7),-0.265744 # DEPENDENCYPART_ARC
(10,8),-0.0473536 # DEPENDENCYPART_ARC
(10,9),2.36532 # DEPENDENCYPART_ARC
(10,11),0.602055 # DEPENDENCYPART_ARC
(10,12),0.0824629 # DEPENDENCYPART_ARC
(10,13),-0.637892 # DEPENDENCYPART_ARC
(10,14),-1.63682 # DEPENDENCYPART_ARC
(10,15),-1.42597 # DEPENDENCYPART_ARC
(10,16),-0.794575 # DEPENDENCYPART_ARC
(10,17),-1.98211 # DEPENDENCYPART_ARC
(10,18),-2.08104 # DEPENDENCYPART_ARC
(10,19),-1.49668 # DEPENDENCYPART_ARC
(10,20),-1.40336 # DEPENDENCYPART_ARC
(10,21),-1.81813 # DEPENDENCYPART_ARC
(10,22),-2.40473 # DEPENDENCYPART_ARC
(10,23),-2.24621 # DEPENDENCYPART_ARC
(10,24),-2.09112 # DEPENDENCYPART_ARC
(10,25),-3.13219 # DEPENDENCYPART_ARC
(10,26),-2.74382 # DEPENDENCYPART_ARC
(10,27),-2.42395 # DEPENDENCYPART_ARC
(10,28),-3.26694 # DEPENDENCYPART_ARC
(10,29),-3.27317 # DEPENDENCYPART_ARC
(10,30),-0.947559 # DEPENDENCYPART_ARC
(11,1),0.99737 # DEPENDENCYPART_ARC
(11,2),0.961461 # DEPENDENCYPART_ARC
(11,3),-0.276863 # DEPENDENCYPART_ARC
(11,4),-0.737975 # DEPENDENCYPART_ARC
(11,5),1.79345 # DEPENDENCYPART_ARC
(11,6),1.90298 # DEPENDENCYPART_ARC
(11,7),1.08372 # DEPENDENCYPART_ARC
(11,8),0.0672826 # DEPENDENCYPART_ARC
(11,9),4.17945 # DEPENDENCYPART_ARC
(11,10),4.54658 # DEPENDENCYPART_ARC
(11,12),1.29161 # DEPENDENCYPART_ARC
(11,13),0.687741 # DEPENDENCYPART_ARC
(11,14),-0.726738 # DEPENDENCYPART_ARC
(11,15),-0.571456 # DEPENDENCYPART_ARC
(11,16),-0.687284 # DEPENDENCYPART_ARC
(11,17),-1.06493 # DEPENDENCYPART_ARC
(11,18),-1.52022 # DEPENDENCYPART_ARC
(11,19),-0.560463 # DEPENDENCYPART_ARC
(11,20),-0.913923 # DEPENDENCYPART_ARC
(11,21),-0.741956 # DEPENDENCYPART_ARC
(11,22),-1.60643 # DEPENDENCYPART_ARC
(11,23),-2.03488 # DEPENDENCYPART_ARC
(11,24),-1.25417 # DEPENDENCYPART_ARC
(11,25),-1.37503 # DEPENDENCYPART_ARC
(11,26),-2.51397 # DEPENDENCYPART_ARC
(11,27),-0.746978 # DEPENDENCYPART_ARC
(11,28),-1.85834 # DEPENDENCYPART_ARC
(11,29),-3.27578 # DEPENDENCYPART_ARC
(11,30),-0.225899 # DEPENDENCYPART_ARC
(12,1),-2.2089 # DEPENDENCYPART_ARC
(12,2),-2.01267 # DEPENDENCYPART_ARC
(12,3),-1.98229 # DEPENDENCYPART_ARC
(12,4),-0.45051 # DEPENDENCYPART_ARC
(12,5),-1.67306 # DEPENDENCYPART_ARC
(12,6),-1.55066 # DEPENDENCYPART_ARC
(12,7),-1.27939 # DEPENDENCYPART_ARC
(12,8),-1.43891 # DEPENDENCYPART_ARC
(12,9),-0.756944 # DEPENDENCYPART_ARC
(12,10),-0.908876 # DEPENDENCYPART_ARC
(12,11),-0.625433 # DEPENDENCYPART_ARC
(12,13),0.00392799 # DEPENDENCYPART_ARC
(12,14),-1.24547 # DEPENDENCYPART_ARC
(12,15),-1.56924 # DEPENDENCYPART_ARC
(12,16),-1.24087 # DEPENDENCYPART_ARC
(12,17),-2.01734 # DEPENDENCYPART_ARC
(12,18),-2.37333 # DEPENDENCYPART_ARC
(12,19),-2.13884 # DEPENDENCYPART_ARC
(12,20),-2.35283 # DEPENDENCYPART_ARC
(12,21),-2.77305 # DEPENDENCYPART_ARC
(12,22),-2.84361 # DEPENDENCYPART_ARC
(12,23),-2.35877 # DEPENDENCYPART_ARC
(12,24),-2.61708 # DEPENDENCYPART_ARC
(12,25),-3.11842 # DEPENDENCYPART_ARC
(12,26),-3.31202 # DEPENDENCYPART_ARC
(12,27),-2.27015 # DEPENDENCYPART_ARC
(12,28),-3.41218 # DEPENDENCYPART_ARC
(12,29),-3.54665 # DEPENDENCYPART_ARC
(12,30),-2.73082 # DEPENDENCYPART_ARC
(13,1),2.12441 # DEPENDENCYPART_ARC
(13,2),1.83416 # DEPENDENCYPART_ARC
(13,3),2.36245 # DEPENDENCYPART_ARC
(13,4),1.68692 # DEPENDENCYPART_ARC
(13,5),1.44357 # DEPENDENCYPART_ARC
(13,6),2.088 # DEPENDENCYPART_ARC
(13,7),1.15142 # DEPENDENCYPART_ARC
(13,8),0.0922234 # DEPENDENCYPART_ARC
(13,9),0.754045 # DEPENDENCYPART_ARC
(13,10),0.97531 # DEPENDENCYPART_ARC
(13,11),1.28394 # DEPENDENCYPART_ARC
(13,12),2.41325 # DEPENDENCYPART_ARC
(13,14),0.534772 # DEPENDENCYPART_ARC
(13,15),0.113537 # DEPENDENCYPART_ARC
(13,16),2.89867 # DEPENDENCYPART_ARC
(13,17),-0.697285 # DEPENDENCYPART_ARC
(13,18),-1.6391 # DEPENDENCYPART_ARC
(13,19),-0.31545 # DEPENDENCYPART_ARC
(13,20),-0.250798 # DEPENDENCYPART_ARC
(13,21),-1.22513 # DEPENDENCYPART_ARC
(13,22),-1.00738 # DEPENDENCYPART_ARC
(13,23),-2.04893 # DEPENDENCYPART_ARC
(13,24),-0.82545 # DEPENDENCYPART_ARC
(13,25),-1.68373 # DEPENDENCYPART_ARC
(13,26),-1.95894 # DEPENDENCYPART_ARC
(13,27),-0.552765 # DEPENDENCYPART_ARC
(13,28),-1.84871 # DEPENDENCYPART_ARC
(13,29),-2.24235 # DEPENDENCYPART_ARC
(13,30),8.64638 # DEPENDENCYPART_ARC
(14,1),-3.47044 # DEPENDENCYPART_ARC
(14,2),-3.3929 # DEPENDENCYPART_ARC
(14,3),-3.28943 # DEPENDENCYPART_ARC
(14,4),-2.88488 # DEPENDENCYPART_ARC
(14,5),-2.94014 # DEPENDENCYPART_ARC
(14,6),-2.84648 # DEPENDENCYPART_ARC
(14,7),-3.00834 # DEPENDENCYPART_ARC
(14,8),-2.93177 # DEPENDENCYPART_ARC
(14,9),-2.21056 # DEPENDENCYPART_ARC
(14,10),-1.97905 # DEPENDENCYPART_ARC
(14,11),-2.01483 # DEPENDENCYPART_ARC
(14,12),-1.47299 # DEPENDENCYPART_ARC
(14,13),-1.07111 # DEPENDENCYPART_ARC
(14,15),0.391407 # DEPENDENCYPART_ARC
(14,16),0.782693 # DEPENDENCYPART_ARC
(14,17),-1.51538 # DEPENDENCYPART_ARC
(14,18),-0.886654 # DEPENDENCYPART_ARC
(14,19),-1.65677 # DEPENDENCYPART_ARC
(14,20),-1.53887 # DEPENDENCYPART_ARC
(14,21),-1.4546 # DEPENDENCYPART_ARC
(14,22),-1.53706 # DEPENDENCYPART_ARC
(14,23),-1.6592 # DEPENDENCYPART_ARC
(14,24),-1.97688 # DEPENDENCYPART_ARC
(14,25),-2.17537 # DEPENDENCYPART_ARC
(14,26),-2.28977 # DEPENDENCYPART_ARC
(14,27),-2.9557 # DEPENDENCYPART_ARC
(14,28),-2.34715 # DEPENDENCYPART_ARC
(14,29),-2.55389 # DEPENDENCYPART_ARC
(14,30),-2.0798 # DEPENDENCYPART_ARC
(15,1),-3.52933 # DEPENDENCYPART_ARC
(15,2),-3.41243 # DEPENDENCYPART_ARC
(15,3),-4.34727 # DEPENDENCYPART_ARC
(15,4),-2.22901 # DEPENDENCYPART_ARC
(15,5),-2.35533 # DEPENDENCYPART_ARC
(15,6),-2.67229 # DEPENDENCYPART_ARC
(15,7),-2.76025 # DEPENDENCYPART_ARC
(15,8),-1.66358 # DEPENDENCYPART_ARC
(15,9),-0.174676 # DEPENDENCYPART_ARC
(15,10),0.255201 # DEPENDENCYPART_ARC
(15,11),-1.73538 # DEPENDENCYPART_ARC
(15,12),-0.165324 # DEPENDENCYPART_ARC
(15,13),-0.306079 # DEPENDENCYPART_ARC
(15,14),4.30927 # DEPENDENCYPART_ARC
(15,16),1.78145 # DEPENDENCYPART_ARC
(15,17),0.416541 # DEPENDENCYPART_ARC
(15,18),0.464544 # DEPENDENCYPART_ARC
(15,19),1.62005 # DEPENDENCYPART_ARC
(15,20),0.705992 # DEPENDENCYPART_ARC
(15,21),0.487398 # DEPENDENCYPART_ARC
(15,22),-0.0105132 # DEPENDENCYPART_ARC
(15,23),0.93861 # DEPENDENCYPART_ARC
(15,24),0.408353 # DEPENDENCYPART_ARC
(15,25),0.168327 # DEPENDENCYPART_ARC
(15,26),-0.612516 # DEPENDENCYPART_ARC
(15,27),0.764394 # DEPENDENCYPART_ARC
(15,28),-0.148588 # DEPENDENCYPART_ARC
(15,29),-1.62652 # DEPENDENCYPART_ARC
(15,30),0.106352 # DEPENDENCYPART_ARC
(16,1),0.770823 # DEPENDENCYPART_ARC
(16,2),-0.0766179 # DEPENDENCYPART_ARC
(16,3),-0.236851 # DEPENDENCYPART_ARC
(16,4),0.566261 # DEPENDENCYPART_ARC
(16,5),0.406313 # DEPENDENCYPART_ARC
(16,6),0.559819 # DEPENDENCYPART_ARC
(16,7),-0.00317238 # DEPENDENCYPART_ARC
(16,8),-0.136779 # DEPENDENCYPART_ARC
(16,9),0.201345 # DEPENDENCYPART_ARC
(16,10),0.122178 # DEPENDENCYPART_ARC
(16,11),-0.267113 # DEPENDENCYPART_ARC
(16,12),1.05757 # DEPENDENCYPART_ARC
(16,13),0.420627 # DEPENDENCYPART_ARC
(16,14),0.629614 # DEPENDENCYPART_ARC
(16,15),2.83999 # DEPENDENCYPART_ARC
(16,17),1.11011 # DEPENDENCYPART_ARC
(16,18),2.26675 # DEPENDENCYPART_ARC
(16,19),0.683468 # DEPENDENCYPART_ARC
(16,20),0.722417 # DEPENDENCYPART_ARC
(16,21),1.88228 # DEPENDENCYPART_ARC
(16,22),1.68167 # DEPENDENCYPART_ARC
(16,23),1.85428 # DEPENDENCYPART_ARC
(16,24),-0.251909 # DEPENDENCYPART_ARC
(16,25),-0.53444 # DEPENDENCYPART_ARC
(16,26),0.558379 # DEPENDENCYPART_ARC
(16,27),1.75592 # DEPENDENCYPART_ARC
(16,28),-0.858056 # DEPENDENCYPART_ARC
(16,29),0.0498827 # DEPENDENCYPART_ARC
(16,30),4.62434 # DEPENDENCYPART_ARC
(17,1),-3.70568 # DEPENDENCYPART_ARC
(17,2),-3.59905 # DEPENDENCYPART_ARC
(17,3),-3.51673 # DEPENDENCYPART_ARC
(17,4),-3.05488 # DEPENDENCYPART_ARC
(17,5),-3.29172 # DEPENDENCYPART_ARC
(17,6),-3.18397 # DEPENDENCYPART_ARC
(17,7),-3.22361 # DEPENDENCYPART_ARC
(17,8),-3.20166 # DEPENDENCYPART_ARC
(17,9),-2.62938 # DEPENDENCYPART_ARC
(17,10),-2.48468 # DEPENDENCYPART_ARC
(17,11),-2.76331 # DEPENDENCYPART_ARC
(17,12),-2.07517 # DEPENDENCYPART_ARC
(17,13),-2.13527 # DEPENDENCYPART_ARC
(17,14),-0.91309 # DEPENDENCYPART_ARC
