# _root_ Bear Stearns is the holding company for Bear , Stearns & Co. , the investment banking and brokerage firm .
#goldHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
(3,14),-1.4038 # DEPENDENCYPART_ARC
(3,15),-1.51932 # DEPENDENCYPART_ARC
(3,16),-0.924918 # DEPENDENCYPART_ARC
(3,17),0.0811241 # DEPENDENCYPART_ARC
(3,18),-2.10269 # DEPENDENCYPART_ARC
(3,19),-1.57496 # DEPENDENCYPART_ARC
(3,20),4.60049 # DEPENDENCYPART_ARC
(4,1),-2.01124 # DEPENDENCYPART_ARC
(4,2),-1.86468 # DEPENDENCYPART_ARC
(4,3),-1.31906 # DEPENDENCYPART_ARC
(4,5),0.239442 # DEPENDENCYPART_ARC
(4,6),-0.369947 # DEPENDENCYPART_ARC
(4,7),-0.610634 # DEPENDENCYPART_ARC
(4,8),-1.25553 # DEPENDENCYPART_ARC
(4,9),-1.01673 # DEPENDENCYPART_ARC
(4,10),-1.70356 # DEPENDENCYPART_ARC
(4,11),-0.906855 # DEPENDENCYPART_ARC
(4,12),-1.93599 # DEPENDENCYPART_ARC
(4,13),-0.839736 # DEPENDENCYPART_ARC
(4,14),-2.42032 # DEPENDENCYPART_ARC
(4,15),-2.00261 # DEPENDENCYPART_ARC
(4,16),-2.00066 # DEPENDENCYPART_ARC
(4,17),-2.12045 # DEPENDENCYPART_ARC
(4,18),-2.2828 # DEPENDENCYPART_ARC
(4,19),-2.30844 # DEPENDENCYPART_ARC
(4,20),-2.14416 # DEPENDENCYPART_ARC
(5,1),0.212479 # DEPENDENCYPART_ARC
(5,2),0.378636 # DEPENDENCYPART_ARC
(5,3),-0.217631 # DEPENDENCYPART_ARC
(5,4),2.05205 # DEPENDENCYPART_ARC
(5,6),0.0934873 # DEPENDENCYPART_ARC
(5,7),0.711059 # DEPENDENCYPART_ARC
(5,8),-0.281067 # DEPENDENCYPART_ARC
(5,9),0.0944395 # DEPENDENCYPART_ARC
(5,10),-0.894589 # DEPENDENCYPART_ARC
(5,11),-0.397951 # DEPENDENCYPART_ARC
(5,12),-1.64648 # DEPENDENCYPART_ARC
(5,13),-0.129654 # DEPENDENCYPART_ARC
(5,14),-2.31037 # DEPENDENCYPART_ARC
(5,15),-3.68256 # DEPENDENCYPART_ARC
(5,16),-3.1828 # DEPENDENCYPART_ARC
(5,17),-1.20599 # DEPENDENCYPART_ARC
(5,18),-4.66538 # DEPENDENCYPART_ARC
(5,19),-4.34441 # DEPENDENCYPART_ARC
(5,20),-0.128832 # DEPENDENCYPART_ARC
(6,1),0.754754 # DEPENDENCYPART_ARC
(6,2),0.853072 # DEPENDENCYPART_ARC
(6,3),0.936117 # DEPENDENCYPART_ARC
(6,4),5.46004 # DEPENDENCYPART_ARC
(6,5),5.49234 # DEPENDENCYPART_ARC
(6,7),2.34118 # DEPENDENCYPART_ARC
(6,8),1.10882 # DEPENDENCYPART_ARC
(6,9),1.51506 # DEPENDENCYPART_ARC
(6,10),0.385562 # DEPENDENCYPART_ARC
(6,11),0.994979 # DEPENDENCYPART_ARC
(6,12),0.521906 # DEPENDENCYPART_ARC
(6,13),0.987104 # DEPENDENCYPART_ARC
(6,14),-0.777341 # DEPENDENCYPART_ARC
(6,15),0.45081 # DEPENDENCYPART_ARC
(6,16),0.0627301 # DEPENDENCYPART_ARC
(6,17),0.891817 # DEPENDENCYPART_ARC
(6,18),-0.307394 # DEPENDENCYPART_ARC
(6,19),-1.23972 # DEPENDENCYPART_ARC
(6,20),0.215313 # DEPENDENCYPART_ARC
(7,1),-1.26885 # DEPENDENCYPART_ARC
(7,2),-1.43981 # DEPENDENCYPART_ARC
(7,3),-0.837902 # DEPENDENCYPART_ARC
(7,4),0.206718 # DEPENDENCYPART_ARC
(7,5),-0.85966 # DEPENDENCYPART_ARC
(7,6),-0.0844603 # DEPENDENCYPART_ARC
(7,8),2.82739 # DEPENDENCYPART_ARC
(7,9),0.182392 # DEPENDENCYPART_ARC
(7,10),0.912745 # DEPENDENCYPART_ARC
(7,11),-0.213845 # DEPENDENCYPART_ARC
(7,12),-1.42199 # DEPENDENCYPART_ARC
(7,13),-0.122608 # DEPENDENCYPART_ARC
(7,14),-2.56658 # DEPENDENCYPART_ARC
(7,15),-2.45144 # DEPENDENCYPART_ARC
(7,16),-1.47689 # DEPENDENCYPART_ARC
(7,17),-0.773607 # DEPENDENCYPART_ARC
(7,18),-4.30552 # DEPENDENCYPART_ARC
(7,19),-2.42149 # DEPENDENCYPART_ARC
(7,20),-1.61268 # DEPENDENCYPART_ARC
(8,1),-2.07101 # DEPENDENCYPART_ARC
(8,2),-2.95075 # DEPENDENCYPART_ARC
(8,3),-2.13215 # DEPENDENCYPART_ARC
(8,4),0.456447 # DEPENDENCYPART_ARC
(8,5),-0.36989 # DEPENDENCYPART_ARC
(8,6),-0.8539 # DEPENDENCYPART_ARC
(8,7),0.348369 # DEPENDENCYPART_ARC
(8,9),3.85266 # DEPENDENCYPART_ARC
(8,10),3.18082 # DEPENDENCYPART_ARC
(8,11),2.27823 # DEPENDENCYPART_ARC
(8,12),1.76166 # DEPENDENCYPART_ARC
(8,13),2.1789 # DEPENDENCYPART_ARC
(8,14),0.437474 # DEPENDENCYPART_ARC
(8,15),0.29218 # DEPENDENCYPART_ARC
(8,16),1.04004 # DEPENDENCYPART_ARC
(8,17),-0.485742 # DEPENDENCYPART_ARC
(8,18),-0.86924 # DEPENDENCYPART_ARC
(8,19),-0.527796 # DEPENDENCYPART_ARC
(8,20),0.0266479 # DEPENDENCYPART_ARC
(9,1),-2.24578 # DEPENDENCYPART_ARC
(9,2),-2.13578 # DEPENDENCYPART_ARC
(9,3),-1.64269 # DEPENDENCYPART_ARC
(9,4),-1.22393 # DEPENDENCYPART_ARC
(9,5),-1.22618 # DEPENDENCYPART_ARC
(9,6),-1.0416 # DEPENDENCYPART_ARC
(9,7),-1.11794 # DEPENDENCYPART_ARC
(9,8),-0.974679 # DEPENDENCYPART_ARC
(9,10),-0.372262 # DEPENDENCYPART_ARC
(9,11),-1.01111 # DEPENDENCYPART_ARC
(9,12),-1.2607 # DEPENDENCYPART_ARC
(9,13),-0.0925952 # DEPENDENCYPART_ARC
(9,14),-2.0861 # DEPENDENCYPART_ARC
(9,15),-2.40188 # DEPENDENCYPART_ARC
(9,16),-2.47823 # DEPENDENCYPART_ARC
(9,17),-1.95756 # DEPENDENCYPART_ARC
(9,18),-2.69335 # DEPENDENCYPART_ARC
(9,19),-2.81068 # DEPENDENCYPART_ARC
(9,20),-1.87384 # DEPENDENCYPART_ARC
(10,1),-1.68074 # DEPENDENCYPART_ARC
(10,2),-2.33443 # DEPENDENCYPART_ARC
(10,3),-1.13902 # DEPENDENCYPART_ARC
(10,4),0.746951 # DEPENDENCYPART_ARC
(10,5),0.860172 # DEPENDENCYPART_ARC
(10,6),0.188687 # DEPENDENCYPART_ARC
(10,7),0.378696 # DEPENDENCYPART_ARC
(10,8),2.41132 # DEPENDENCYPART_ARC
(10,9),1.99339 # DEPENDENCYPART_ARC
(10,11),4.60396 # DEPENDENCYPART_ARC
(10,12),2.46076 # DEPENDENCYPART_ARC
(10,13),1.54611 # DEPENDENCYPART_ARC
(10,14),0.448204 # DEPENDENCYPART_ARC
(10,15),0.480659 # DEPENDENCYPART_ARC
(10,16),0.722191 # DEPENDENCYPART_ARC
(10,17),-0.0628581 # DEPENDENCYPART_ARC
(10,18),-0.885863 # DEPENDENCYPART_ARC
(10,19),-0.557227 # DEPENDENCYPART_ARC
(10,20),0.048967 # DEPENDENCYPART_ARC
(11,1),-0.680748 # DEPENDENCYPART_ARC
(11,2),-0.707597 # DEPENDENCYPART_ARC
(11,3),-0.524328 # DEPENDENCYPART_ARC
(11,4),-0.275417 # DEPENDENCYPART_ARC
(11,5),0.116697 # DEPENDENCYPART_ARC
(11,6),-0.52093 # DEPENDENCYPART_ARC
(11,7),-0.1206 # DEPENDENCYPART_ARC
(11,8),0.611702 # DEPENDENCYPART_ARC
(11,9),-0.0697342 # DEPENDENCYPART_ARC
(11,10),1.52149 # DEPENDENCYPART_ARC
(11,12),3.99616 # DEPENDENCYPART_ARC
(11,13),1.386 # DEPENDENCYPART_ARC
(11,14),-0.191756 # DEPENDENCYPART_ARC
(11,15),0.125448 # DEPENDENCYPART_ARC
(11,16),0.688269 # DEPENDENCYPART_ARC
(11,17),0.807882 # DEPENDENCYPART_ARC
(11,18),-0.791976 # DEPENDENCYPART_ARC
(11,19),-0.150765 # DEPENDENCYPART_ARC
(11,20),0.0812494 # DEPENDENCYPART_ARC
(12,1),-5.79044 # DEPENDENCYPART_ARC
(12,2),-6.31997 # DEPENDENCYPART_ARC
(12,3),-3.9671 # DEPENDENCYPART_ARC
(12,4),-1.99109 # DEPENDENCYPART_ARC
(12,5),-2.11274 # DEPENDENCYPART_ARC
(12,6),-3.69827 # DEPENDENCYPART_ARC
(12,7),-2.6133 # DEPENDENCYPART_ARC
(12,8),-2.44758 # DEPENDENCYPART_ARC
(12,9),-1.5549 # DEPENDENCYPART_ARC
(12,10),-1.98136 # DEPENDENCYPART_ARC
(12,11),-0.65202 # DEPENDENCYPART_ARC
(12,13),0.781507 # DEPENDENCYPART_ARC
(12,14),-0.365434 # DEPENDENCYPART_ARC
(12,15),-0.312526 # DEPENDENCYPART_ARC
(12,16),-0.272221 # DEPENDENCYPART_ARC
(12,17),-0.286547 # DEPENDENCYPART_ARC
(12,18),-1.87284 # DEPENDENCYPART_ARC
(12,19),-2.10281 # DEPENDENCYPART_ARC
(12,20),-0.718198 # DEPENDENCYPART_ARC
(13,1),-2.74947 # DEPENDENCYPART_ARC
(13,2),-2.67631 # DEPENDENCYPART_ARC
(13,3),-2.12188 # DEPENDENCYPART_ARC
(13,4),-1.61674 # DEPENDENCYPART_ARC
(13,5),-1.58784 # DEPENDENCYPART_ARC
(13,6),-1.76516 # DEPENDENCYPART_ARC
(13,7),-1.48853 # DEPENDENCYPART_ARC
(13,8),-2.17015 # DEPENDENCYPART_ARC
(13,9),-0.531844 # DEPENDENCYPART_ARC
(13,10),-1.48217 # DEPENDENCYPART_ARC
(13,11),-1.19408 # DEPENDENCYPART_ARC
(13,12),-0.986334 # DEPENDENCYPART_ARC
(13,14),-0.301657 # DEPENDENCYPART_ARC
(13,15),-0.967213 # DEPENDENCYPART_ARC
(13,16),-1.31691 # DEPENDENCYPART_ARC
(13,17),-1.21794 # DEPENDENCYPART_ARC
(13,18),-1.75506 # DEPENDENCYPART_ARC
(13,19),-2.06154 # DEPENDENCYPART_ARC
(13,20),-1.33626 # DEPENDENCYPART_ARC
(14,1),-3.2076 # DEPENDENCYPART_ARC
(14,2),-3.13007 # DEPENDENCYPART_ARC
(14,3),-2.93851 # DEPENDENCYPART_ARC
(14,4),-2.07745 # DEPENDENCYPART_ARC
(14,5),-2.50434 # DEPENDENCYPART_ARC
(14,6),-2.89179 # DEPENDENCYPART_ARC
(14,7),-2.1482 # DEPENDENCYPART_ARC
(14,8),-2.28459 # DEPENDENCYPART_ARC
(14,9),-1.92865 # DEPENDENCYPART_ARC
(14,10),-1.91524 # DEPENDENCYPART_ARC
(14,11),-1.9521 # DEPENDENCYPART_ARC
(14,12),-1.42617 # DEPENDENCYPART_ARC
(14,13),-0.547953 # DEPENDENCYPART_ARC
(14,15),0.228255 # DEPENDENCYPART_ARC
(14,16),-0.150009 # DEPENDENCYPART_ARC
(14,17),-0.319312 # DEPENDENCYPART_ARC
(14,18),-0.985345 # DEPENDENCYPART_ARC
(14,19),-1.13736 # DEPENDENCYPART_ARC
(14,20),-1.36448 # DEPENDENCYPART_ARC
(15,1),-6.73439 # DEPENDENCYPART_ARC
(15,2),-6.84368 # DEPENDENCYPART_ARC
(15,3),-3.83189 # DEPENDENCYPART_ARC
(15,4),-3.18801 # DEPENDENCYPART_ARC
(15,5),-1.26134 # DEPENDENCYPART_ARC
(15,6),-4.2808 # DEPENDENCYPART_ARC
(15,7),-2.17425 # DEPENDENCYPART_ARC
(15,8),-3.36857 # DEPENDENCYPART_ARC
(15,9),-2.10176 # DEPENDENCYPART_ARC
(15,10),-2.29365 # DEPENDENCYPART_ARC
(15,11),-1.49119 # DEPENDENCYPART_ARC
(15,12),-1.44396 # DEPENDENCYPART_ARC
(15,13),-0.486536 # DEPENDENCYPART_ARC
(15,14),2.28072 # DEPENDENCYPART_ARC
(15,16),1.26008 # DEPENDENCYPART_ARC
(15,17),1.29926 # DEPENDENCYPART_ARC
(15,18),-0.249755 # DEPENDENCYPART_ARC
(15,19),-0.703848 # DEPENDENCYPART_ARC
(15,20),-0.136848 # DEPENDENCYPART_ARC
(16,1),-4.3767 # DEPENDENCYPART_ARC
(16,2),-4.87701 # DEPENDENCYPART_ARC
(16,3),-1.82048 # DEPENDENCYPART_ARC
(16,4),-0.72765 # DEPENDENCYPART_ARC
(16,5),1.00721 # DEPENDENCYPART_ARC
(16,6),-2.09389 # DEPENDENCYPART_ARC
(16,7),-0.652812 # DEPENDENCYPART_ARC
(16,8),-1.39515 # DEPENDENCYPART_ARC
(16,9),-0.628549 # DEPENDENCYPART_ARC
(16,10),-0.31651 # DEPENDENCYPART_ARC
(16,11),0.438089 # DEPENDENCYPART_ARC
(16,12),0.612694 # DEPENDENCYPART_ARC
(16,13),0.607185 # DEPENDENCYPART_ARC
(16,14),4.40469 # DEPENDENCYPART_ARC
(16,15),4.61295 # DEPENDENCYPART_ARC
(16,17),3.73486 # DEPENDENCYPART_ARC
(16,18),1.19839 # DEPENDENCYPART_ARC
(16,19),0.0725628 # DEPENDENCYPART_ARC
(16,20),0.814606 # DEPENDENCYPART_ARC
(17,1),-1.39115 # DEPENDENCYPART_ARC
(17,2),-1.41352 # DEPENDENCYPART_ARC
(17,3),-1.38485 # DEPENDENCYPART_ARC
(17,4),-1.51676 # DEPENDENCYPART_ARC
(17,5),-0.739844 # DEPENDENCYPART_ARC
(17,6),-1.32901 # DEPENDENCYPART_ARC
(17,7),-0.81498 # DEPENDENCYPART_ARC
(17,8),-0.361761 # DEPENDENCYPART_ARC
(17,9),-1.3105 # DEPENDENCYPART_ARC
(17,10),-0.246871 # DEPENDENCYPART_ARC
(17,11),-1.06842 # DEPENDENCYPART_ARC
(17,12),0.337409 # DEPENDENCYPART_ARC
(17,13),-0.675826 # DEPENDENCYPART_ARC
(17,14),0.15376 # DEPENDENCYPART_ARC
(17,15),-0.0752806 # DEPENDENCYPART_ARC
(17,16),1.01472 # DEPENDENCYPART_ARC
(17,18),2.47202 # DEPENDENCYPART_ARC
(17,19),3.46949 # DEPENDENCYPART_ARC
(17,20),0.246563 # DEPENDENCYPART_ARC
(18,1),-8.39605 # DEPENDENCYPART_ARC
(18,2),-8.72425 # DEPENDENCYPART_ARC
(18,3),-5.23675 # DEPENDENCYPART_ARC
(18,4),-5.2999 # DEPENDENCYPART_ARC
(18,5),-2.79716 # DEPENDENCYPART_ARC
(18,6),-5.78565 # DEPENDENCYPART_ARC
(18,7),-3.82747 # DEPENDENCYPART_ARC
(18,8),-5.21092 # DEPENDENCYPART_ARC
(18,9),-3.84861 # DEPENDENCYPART_ARC
(18,10),-4.61961 # DEPENDENCYPART_ARC
(18,11),-3.31028 # DEPENDENCYPART_ARC
(18,12),-3.97189 # DEPENDENCYPART_ARC
(18,13),-2.8532 # DEPENDENCYPART_ARC
(18,14),-1.16007 # DEPENDENCYPART_ARC
(18,15),-0.980569 # DEPENDENCYPART_ARC
(18,16),-1.97828 # DEPENDENCYPART_ARC
(18,17),-1.02258 # DEPENDENCYPART_ARC
(18,19),1.21417 # DEPENDENCYPART_ARC
(18,20),-1.20011 # DEPENDENCYPART_ARC
(19,1),-4.47952 # DEPENDENCYPART_ARC
(19,2),-4.94506 # DEPENDENCYPART_ARC
(19,3),-2.04412 # DEPENDENCYPART_ARC
(19,4),-1.22601 # DEPENDENCYPART_ARC
(19,5),1.32336 # DEPENDENCYPART_ARC
(19,6),-2.23482 # DEPENDENCYPART_ARC
(19,7),-1.11751 # DEPENDENCYPART_ARC
(19,8),-1.9205 # DEPENDENCYPART_ARC
(19,9),-1.72074 # DEPENDENCYPART_ARC
(19,10),-0.723367 # DEPENDENCYPART_ARC
(19,11),-0.492548 # DEPENDENCYPART_ARC
(19,12),-0.486587 # DEPENDENCYPART_ARC
(19,13),-1.02223 # DEPENDENCYPART_ARC
(19,14),2.32729 # DEPENDENCYPART_ARC
(19,15),2.89028 # DEPENDENCYPART_ARC
(19,16),1.17879 # DEPENDENCYPART_ARC
(19,17),0.946376 # DEPENDENCYPART_ARC
(19,18),4.32138 # DEPENDENCYPART_ARC
(19,20),-0.258597 # DEPENDENCYPART_ARC
(20,1),-1.95328 # DEPENDENCYPART_ARC
(20,2),-2.08223 # DEPENDENCYPART_ARC
(20,3),-1.4534 # DEPENDENCYPART_ARC
(20,4),-1.81318 # DEPENDENCYPART_ARC
(20,5),-1.02796 # DEPENDENCYPART_ARC
(20,6),-1.64004 # DEPENDENCYPART_ARC
(20,7),-2.22156 # DEPENDENCYPART_ARC
(20,8),-1.64936 # DEPENDENCYPART_ARC
(20,9),-0.750306 # DEPENDENCYPART_ARC
(20,10),-1.47475 # DEPENDENCYPART_ARC
(20,11),-1.38281 # DEPENDENCYPART_ARC
(20,12),-1.26661 # DEPENDENCYPART_ARC
(20,13),0.111612 # DEPENDENCYPART_ARC
(20,14),-0.575965 # DEPENDENCYPART_ARC
(20,15),-1.40079 # DEPENDENCYPART_ARC
(20,16),-1.09657 # DEPENDENCYPART_ARC
(20,17),-0.761281 # DEPENDENCYPART_ARC
(20,18),-1.39849 # DEPENDENCYPART_ARC
(20,19),-1.57399 # DEPENDENCYPART_ARC
