# _root_ Excluding the $ 2 billion provision and allowing for the taxes Morgan paid , earnings were about 65 cents a share , Mr. Salem said .
#goldHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
#predictedHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
(3,18),-3.0884 # DEPENDENCYPART_ARC
(3,19),-1.8604 # DEPENDENCYPART_ARC
(3,20),-1.10199 # DEPENDENCYPART_ARC
(3,21),-1.34185 # DEPENDENCYPART_ARC
(3,22),-2.80515 # DEPENDENCYPART_ARC
(3,23),-1.72442 # DEPENDENCYPART_ARC
(3,24),-1.66456 # DEPENDENCYPART_ARC
(3,25),-2.21501 # DEPENDENCYPART_ARC
(3,26),0.0992354 # DEPENDENCYPART_ARC
(4,1),-1.80963 # DEPENDENCYPART_ARC
(4,2),-0.244784 # DEPENDENCYPART_ARC
(4,3),-0.6903 # DEPENDENCYPART_ARC
(4,5),1.56794 # DEPENDENCYPART_ARC
(4,6),-0.239761 # DEPENDENCYPART_ARC
(4,7),0.133615 # DEPENDENCYPART_ARC
(4,8),-0.669425 # DEPENDENCYPART_ARC
(4,9),-0.862093 # DEPENDENCYPART_ARC
(4,10),-1.24931 # DEPENDENCYPART_ARC
(4,11),-0.967134 # DEPENDENCYPART_ARC
(4,12),-1.29132 # DEPENDENCYPART_ARC
(4,13),-0.758667 # DEPENDENCYPART_ARC
(4,14),-0.325321 # DEPENDENCYPART_ARC
(4,15),-1.55122 # DEPENDENCYPART_ARC
(4,16),-1.24992 # DEPENDENCYPART_ARC
(4,17),-1.65874 # DEPENDENCYPART_ARC
(4,18),-1.55102 # DEPENDENCYPART_ARC
(4,19),-1.97009 # DEPENDENCYPART_ARC
(4,20),-2.32084 # DEPENDENCYPART_ARC
(4,21),-2.6977 # DEPENDENCYPART_ARC
(4,22),-0.893588 # DEPENDENCYPART_ARC
(4,23),-2.39091 # DEPENDENCYPART_ARC
(4,24),-2.40698 # DEPENDENCYPART_ARC
(4,25),-2.44064 # DEPENDENCYPART_ARC
(4,26),-1.3829 # DEPENDENCYPART_ARC
(5,1),-0.710638 # DEPENDENCYPART_ARC
(5,2),0.377821 # DEPENDENCYPART_ARC
(5,3),0.141515 # DEPENDENCYPART_ARC
(5,4),1.85872 # DEPENDENCYPART_ARC
(5,6),0.495579 # DEPENDENCYPART_ARC
(5,7),-0.667749 # DEPENDENCYPART_ARC
(5,8),-1.22994 # DEPENDENCYPART_ARC
(5,9),-1.33712 # DEPENDENCYPART_ARC
(5,10),-2.26135 # DEPENDENCYPART_ARC
(5,11),-1.69379 # DEPENDENCYPART_ARC
(5,12),-1.83542 # DEPENDENCYPART_ARC
(5,13),-1.54811 # DEPENDENCYPART_ARC
(5,14),-1.16368 # DEPENDENCYPART_ARC
(5,15),-2.23874 # DEPENDENCYPART_ARC
(5,16),-1.93403 # DEPENDENCYPART_ARC
(5,17),-2.59298 # DEPENDENCYPART_ARC
(5,18),-2.63921 # DEPENDENCYPART_ARC
(5,19),-2.73168 # DEPENDENCYPART_ARC
(5,20),-3.0468 # DEPENDENCYPART_ARC
(5,21),-2.81036 # DEPENDENCYPART_ARC
(5,22),-1.68415 # DEPENDENCYPART_ARC
(5,23),-2.99951 # DEPENDENCYPART_ARC
(5,24),-3.07094 # DEPENDENCYPART_ARC
(5,25),-3.29631 # DEPENDENCYPART_ARC
(5,26),-2.43507 # DEPENDENCYPART_ARC
(6,1),0.302216 # DEPENDENCYPART_ARC
(6,2),4.92073 # DEPENDENCYPART_ARC
(6,3),4.41105 # DEPENDENCYPART_ARC
(6,4),2.09941 # DEPENDENCYPART_ARC
(6,5),3.12488 # DEPENDENCYPART_ARC
(6,7),2.60689 # DEPENDENCYPART_ARC
(6,8),2.22386 # DEPENDENCYPART_ARC
(6,9),2.85238 # DEPENDENCYPART_ARC
(6,10),0.560634 # DEPENDENCYPART_ARC
(6,11),0.697771 # DEPENDENCYPART_ARC
(6,12),0.515934 # DEPENDENCYPART_ARC
(6,13),1.38411 # DEPENDENCYPART_ARC
(6,14),1.38493 # DEPENDENCYPART_ARC
(6,15),0.721138 # DEPENDENCYPART_ARC
(6,16),0.463839 # DEPENDENCYPART_ARC
(6,17),-0.0245652 # DEPENDENCYPART_ARC
(6,18),-0.0180149 # DEPENDENCYPART_ARC
(6,19),0.0932273 # DEPENDENCYPART_ARC
(6,20),-0.101429 # DEPENDENCYPART_ARC
(6,21),-0.667673 # DEPENDENCYPART_ARC
(6,22),0.993628 # DEPENDENCYPART_ARC
(6,23),-1.05791 # DEPENDENCYPART_ARC
(6,24),-0.921702 # DEPENDENCYPART_ARC
(6,25),-0.496898 # DEPENDENCYPART_ARC
(6,26),2.17391 # DEPENDENCYPART_ARC
(7,1),-0.235275 # DEPENDENCYPART_ARC
(7,2),-0.543653 # DEPENDENCYPART_ARC
(7,3),-0.554847 # DEPENDENCYPART_ARC
(7,4),-0.388981 # DEPENDENCYPART_ARC
(7,5),-0.484129 # DEPENDENCYPART_ARC
(7,6),0.376849 # DEPENDENCYPART_ARC
(7,8),2.59284 # DEPENDENCYPART_ARC
(7,9),0.70282 # DEPENDENCYPART_ARC
(7,10),-0.860689 # DEPENDENCYPART_ARC
(7,11),-0.226143 # DEPENDENCYPART_ARC
(7,12),0.0238699 # DEPENDENCYPART_ARC
(7,13),1.30547 # DEPENDENCYPART_ARC
(7,14),0.287749 # DEPENDENCYPART_ARC
(7,15),-2.74021 # DEPENDENCYPART_ARC
(7,16),0.890215 # DEPENDENCYPART_ARC
(7,17),-1.23159 # DEPENDENCYPART_ARC
(7,18),-1.50658 # DEPENDENCYPART_ARC
(7,19),-4.40581 # DEPENDENCYPART_ARC
(7,20),-2.00043 # DEPENDENCYPART_ARC
(7,21),-3.92196 # DEPENDENCYPART_ARC
(7,22),-0.210792 # DEPENDENCYPART_ARC
(7,23),-4.70453 # DEPENDENCYPART_ARC
(7,24),-3.61368 # DEPENDENCYPART_ARC
(7,25),-1.35462 # DEPENDENCYPART_ARC
(7,26),-1.40069 # DEPENDENCYPART_ARC
(8,1),-0.840798 # DEPENDENCYPART_ARC
(8,2),-0.0633161 # DEPENDENCYPART_ARC
(8,3),-0.291207 # DEPENDENCYPART_ARC
(8,4),-0.575145 # DEPENDENCYPART_ARC
(8,5),-0.255627 # DEPENDENCYPART_ARC
(8,6),0.094174 # DEPENDENCYPART_ARC
(8,7),0.547753 # DEPENDENCYPART_ARC
(8,9),2.88235 # DEPENDENCYPART_ARC
(8,10),0.23426 # DEPENDENCYPART_ARC
(8,11),1.36523 # DEPENDENCYPART_ARC
(8,12),0.630897 # DEPENDENCYPART_ARC
(8,13),1.01715 # DEPENDENCYPART_ARC
(8,14),1.12997 # DEPENDENCYPART_ARC
(8,15),-1.39516 # DEPENDENCYPART_ARC
(8,16),0.158313 # DEPENDENCYPART_ARC
(8,17),0.112429 # DEPENDENCYPART_ARC
(8,18),-0.783045 # DEPENDENCYPART_ARC
(8,19),-1.55206 # DEPENDENCYPART_ARC
(8,20),-1.11512 # DEPENDENCYPART_ARC
(8,21),-2.09224 # DEPENDENCYPART_ARC
(8,22),0.237195 # DEPENDENCYPART_ARC
(8,23),-2.45033 # DEPENDENCYPART_ARC
(8,24),-1.94749 # DEPENDENCYPART_ARC
(8,25),-1.25762 # DEPENDENCYPART_ARC
(8,26),1.54848 # DEPENDENCYPART_ARC
(9,1),-1.94463 # DEPENDENCYPART_ARC
(9,2),-0.698057 # DEPENDENCYPART_ARC
(9,3),-1.19707 # DEPENDENCYPART_ARC
(9,4),-0.896264 # DEPENDENCYPART_ARC
(9,5),-0.799044 # DEPENDENCYPART_ARC
(9,6),-0.699906 # DEPENDENCYPART_ARC
(9,7),-0.310716 # DEPENDENCYPART_ARC
(9,8),-0.417677 # DEPENDENCYPART_ARC
(9,10),0.693196 # DEPENDENCYPART_ARC
(9,11),3.27235 # DEPENDENCYPART_ARC
(9,12),1.52425 # DEPENDENCYPART_ARC
(9,13),0.709065 # DEPENDENCYPART_ARC
(9,14),0.593248 # DEPENDENCYPART_ARC
(9,15),-1.04407 # DEPENDENCYPART_ARC
(9,16),-0.743236 # DEPENDENCYPART_ARC
(9,17),-0.43059 # DEPENDENCYPART_ARC
(9,18),-1.50272 # DEPENDENCYPART_ARC
(9,19),-2.4899 # DEPENDENCYPART_ARC
(9,20),-2.38893 # DEPENDENCYPART_ARC
(9,21),-4.30437 # DEPENDENCYPART_ARC
(9,22),-0.463782 # DEPENDENCYPART_ARC
(9,23),-5.25852 # DEPENDENCYPART_ARC
(9,24),-3.65389 # DEPENDENCYPART_ARC
(9,25),-3.83194 # DEPENDENCYPART_ARC
(9,26),1.09481 # DEPENDENCYPART_ARC
(10,1),-3.24554 # DEPENDENCYPART_ARC
(10,2),-2.58153 # DEPENDENCYPART_ARC
(10,3),-2.85104 # DEPENDENCYPART_ARC
(10,4),-2.70187 # DEPENDENCYPART_ARC
(10,5),-2.40325 # DEPENDENCYPART_ARC
(10,6),-2.78447 # DEPENDENCYPART_ARC
(10,7),-2.67183 # DEPENDENCYPART_ARC
(10,8),-1.95559 # DEPENDENCYPART_ARC
(10,9),-1.26553 # DEPENDENCYPART_ARC
(10,11),-0.698809 # DEPENDENCYPART_ARC
(10,12),-1.59541 # DEPENDENCYPART_ARC
(10,13),-1.09167 # DEPENDENCYPART_ARC
(10,14),-1.40449 # DEPENDENCYPART_ARC
(10,15),-1.94727 # DEPENDENCYPART_ARC
(10,16),-2.0591 # DEPENDENCYPART_ARC
(10,17),-2.36238 # DEPENDENCYPART_ARC
(10,18),-2.35649 # DEPENDENCYPART_ARC
(10,19),-2.42491 # DEPENDENCYPART_ARC
(10,20),-3.18851 # DEPENDENCYPART_ARC
(10,21),-2.41331 # DEPENDENCYPART_ARC
(10,22),-1.85846 # DEPENDENCYPART_ARC
(10,23),-3.31295 # DEPENDENCYPART_ARC
(10,24),-3.40856 # DEPENDENCYPART_ARC
(10,25),-4.0158 # DEPENDENCYPART_ARC
(10,26),-2.22797 # DEPENDENCYPART_ARC
(11,1),-2.97368 # DEPENDENCYPART_ARC
(11,2),-1.69405 # DEPENDENCYPART_ARC
(11,3),-2.20147 # DEPENDENCYPART_ARC
(11,4),-2.21574 # DEPENDENCYPART_ARC
(11,5),-1.53328 # DEPENDENCYPART_ARC
(11,6),-2.00247 # DEPENDENCYPART_ARC
(11,7),-1.45903 # DEPENDENCYPART_ARC
(11,8),-1.06105 # DEPENDENCYPART_ARC
(11,9),-0.186342 # DEPENDENCYPART_ARC
(11,10),4.00674 # DEPENDENCYPART_ARC
(11,12),1.06322 # DEPENDENCYPART_ARC
(11,13),2.28334 # DEPENDENCYPART_ARC
(11,14),0.982179 # DEPENDENCYPART_ARC
(11,15),0.580124 # DEPENDENCYPART_ARC
(11,16),0.36884 # DEPENDENCYPART_ARC
(11,17),0.362382 # DEPENDENCYPART_ARC
(11,18),0.105415 # DEPENDENCYPART_ARC
(11,19),-0.378273 # DEPENDENCYPART_ARC
(11,20),0.0648911 # DEPENDENCYPART_ARC
(11,21),0.514576 # DEPENDENCYPART_ARC
(11,22),-0.343543 # DEPENDENCYPART_ARC
(11,23),-0.209358 # DEPENDENCYPART_ARC
(11,24),-0.149506 # DEPENDENCYPART_ARC
(11,25),-0.768118 # DEPENDENCYPART_ARC
(11,26),0.721126 # DEPENDENCYPART_ARC
(12,1),-2.06696 # DEPENDENCYPART_ARC
(12,2),-0.645397 # DEPENDENCYPART_ARC
(12,3),-1.37111 # DEPENDENCYPART_ARC
(12,4),-1.1407 # DEPENDENCYPART_ARC
(12,5),-1.2537 # DEPENDENCYPART_ARC
(12,6),-2.08033 # DEPENDENCYPART_ARC
(12,7),-1.31881 # DEPENDENCYPART_ARC
(12,8),-0.217306 # DEPENDENCYPART_ARC
(12,9),0.161932 # DEPENDENCYPART_ARC
(12,10),2.48872 # DEPENDENCYPART_ARC
(12,11),1.75142 # DEPENDENCYPART_ARC
(12,13),1.50776 # DEPENDENCYPART_ARC
(12,14),1.27092 # DEPENDENCYPART_ARC
(12,15),-0.112241 # DEPENDENCYPART_ARC
(12,16),-0.214723 # DEPENDENCYPART_ARC
(12,17),-0.390026 # DEPENDENCYPART_ARC
(12,18),-0.628108 # DEPENDENCYPART_ARC
(12,19),-1.28215 # DEPENDENCYPART_ARC
(12,20),-0.817316 # DEPENDENCYPART_ARC
(12,21),-1.46436 # DEPENDENCYPART_ARC
(12,22),0.126328 # DEPENDENCYPART_ARC
(12,23),-1.64504 # DEPENDENCYPART_ARC
(12,24),-1.69476 # DEPENDENCYPART_ARC
(12,25),-2.00908 # DEPENDENCYPART_ARC
(12,26),-0.011072 # DEPENDENCYPART_ARC
(13,1),1.04987 # DEPENDENCYPART_ARC
(13,2),-0.564434 # DEPENDENCYPART_ARC
(13,3),-0.102564 # DEPENDENCYPART_ARC
(13,4),0.288859 # DEPENDENCYPART_ARC
(13,5),0.269548 # DEPENDENCYPART_ARC
(13,6),0.964828 # DEPENDENCYPART_ARC
(13,7),0.302232 # DEPENDENCYPART_ARC
(13,8),0.98247 # DEPENDENCYPART_ARC
(13,9),0.00706827 # DEPENDENCYPART_ARC
(13,10),0.856377 # DEPENDENCYPART_ARC
(13,11),1.48529 # DEPENDENCYPART_ARC
(13,12),3.09784 # DEPENDENCYPART_ARC
(13,14),2.97393 # DEPENDENCYPART_ARC
(13,15),1.05022 # DEPENDENCYPART_ARC
(13,16),0.662043 # DEPENDENCYPART_ARC
(13,17),-0.499298 # DEPENDENCYPART_ARC
(13,18),-0.696385 # DEPENDENCYPART_ARC
(13,19),-0.598108 # DEPENDENCYPART_ARC
(13,20),-1.20561 # DEPENDENCYPART_ARC
(13,21),-0.669761 # DEPENDENCYPART_ARC
(13,22),1.00605 # DEPENDENCYPART_ARC
(13,23),-1.6094 # DEPENDENCYPART_ARC
(13,24),-1.5636 # DEPENDENCYPART_ARC
(13,25),-0.677067 # DEPENDENCYPART_ARC
(13,26),2.43253 # DEPENDENCYPART_ARC
(14,1),-2.37004 # DEPENDENCYPART_ARC
(14,2),-2.62319 # DEPENDENCYPART_ARC
(14,3),-2.68435 # DEPENDENCYPART_ARC
(14,4),-2.68321 # DEPENDENCYPART_ARC
(14,5),-2.59656 # DEPENDENCYPART_ARC
(14,6),-2.28941 # DEPENDENCYPART_ARC
(14,7),-2.59055 # DEPENDENCYPART_ARC
(14,8),-1.74372 # DEPENDENCYPART_ARC
(14,9),-2.14904 # DEPENDENCYPART_ARC
(14,10),-1.51622 # DEPENDENCYPART_ARC
(14,11),-2.00146 # DEPENDENCYPART_ARC
(14,12),-2.03009 # DEPENDENCYPART_ARC
(14,13),-1.11607 # DEPENDENCYPART_ARC
(14,15),-0.3681 # DEPENDENCYPART_ARC
(14,16),-0.473447 # DEPENDENCYPART_ARC
(14,17),-1.32409 # DEPENDENCYPART_ARC
(14,18),-1.72326 # DEPENDENCYPART_ARC
(14,19),-1.77764 # DEPENDENCYPART_ARC
(14,20),-1.92332 # DEPENDENCYPART_ARC
(14,21),-2.34316 # DEPENDENCYPART_ARC
(14,22),-0.47218 # DEPENDENCYPART_ARC
(14,23),-2.26337 # DEPENDENCYPART_ARC
(14,24),-2.37862 # DEPENDENCYPART_ARC
(14,25),-1.92366 # DEPENDENCYPART_ARC
(14,26),-1.73414 # DEPENDENCYPART_ARC
(15,1),-3.10033 # DEPENDENCYPART_ARC
(15,2),-3.13833 # DEPENDENCYPART_ARC
(15,3),-2.63701 # DEPENDENCYPART_ARC
(15,4),-2.95941 # DEPENDENCYPART_ARC
(15,5),-1.84562 # DEPENDENCYPART_ARC
(15,6),-3.09823 # DEPENDENCYPART_ARC
(15,7),-1.57447 # DEPENDENCYPART_ARC
(15,8),-1.38899 # DEPENDENCYPART_ARC
(15,9),-0.756353 # DEPENDENCYPART_ARC
(15,10),0.823432 # DEPENDENCYPART_ARC
(15,11),-0.327362 # DEPENDENCYPART_ARC
(15,12),-0.232317 # DEPENDENCYPART_ARC
(15,13),0.0646466 # DEPENDENCYPART_ARC
(15,14),0.821934 # DEPENDENCYPART_ARC
(15,16),1.58775 # DEPENDENCYPART_ARC
(15,17),0.474385 # DEPENDENCYPART_ARC
(15,18),0.307109 # DEPENDENCYPART_ARC
(15,19),0.235892 # DEPENDENCYPART_ARC
(15,20),-0.246541 # DEPENDENCYPART_ARC
(15,21),0.78289 # DEPENDENCYPART_ARC
(15,22),0.150392 # DEPENDENCYPART_ARC
(15,23),-0.0523255 # DEPENDENCYPART_ARC
(15,24),-0.0357938 # DEPENDENCYPART_ARC
(15,25),-0.655158 # DEPENDENCYPART_ARC
(15,26),0.529657 # DEPENDENCYPART_ARC
(16,1),1.95618 # DEPENDENCYPART_ARC
(16,2),-0.537657 # DEPENDENCYPART_ARC
(16,3),0.750115 # DEPENDENCYPART_ARC
(16,4),0.612045 # DEPENDENCYPART_ARC
(16,5),0.514764 # DEPENDENCYPART_ARC
(16,6),0.358033 # DEPENDENCYPART_ARC
(16,7),0.634776 # DEPENDENCYPART_ARC
(16,8),1.47597 # DEPENDENCYPART_ARC
(16,9),0.79924 # DEPENDENCYPART_ARC
(16,10),0.424998 # DEPENDENCYPART_ARC
(16,11),1.53401 # DEPENDENCYPART_ARC
(16,12),0.464386 # DEPENDENCYPART_ARC
(16,13),1.58897 # DEPENDENCYPART_ARC
(16,14),3.17557 # DEPENDENCYPART_ARC
(16,15),4.05524 # DEPENDENCYPART_ARC
(16,17),1.07512 # DEPENDENCYPART_ARC
(16,18),0.567253 # DEPENDENCYPART_ARC
(16,19),1.59363 # DEPENDENCYPART_ARC
(16,20),-0.046154 # DEPENDENCYPART_ARC
(16,21),0.419215 # DEPENDENCYPART_ARC
(16,22),0.841265 # DEPENDENCYPART_ARC
(16,23),-0.498217 # DEPENDENCYPART_ARC
(16,24),-0.400735 # DEPENDENCYPART_ARC
(16,25),0.116081 # DEPENDENCYPART_ARC
(16,26),4.30036 # DEPENDENCYPART_ARC
(17,1),-2.57923 # DEPENDENCYPART_ARC
(17,2),-1.2983 # DEPENDENCYPART_ARC
(17,3),-1.85206 # DEPENDENCYPART_ARC
(17,4),-1.84953 # DEPENDENCYPART_ARC
(17,5),-1.81741 # DEPENDENCYPART_ARC
(17,6),-2.17804 # DEPENDENCYPART_ARC
(17,7),-1.95794 # DEPENDENCYPART_ARC
(17,8),-1.71263 # DEPENDENCYPART_ARC
(17,9),-1.23829 # DEPENDENCYPART_ARC
(17,10),-0.216591 # DEPENDENCYPART_ARC
(17,11),-1.49785 # DEPENDENCYPART_ARC
(17,12),-1.33199 # DEPENDENCYPART_ARC
(17,13),-1.22538 # DEPENDENCYPART_ARC
(17,14),-0.313553 # DEPENDENCYPART_ARC
(17,15),-0.575868 # DEPENDENCYPART_ARC
(17,16),0.0790962 # DEPENDENCYPART_ARC
(17,18),4.50682 # DEPENDENCYPART_ARC
(17,19),1.24815 # DEPENDENCYPART_ARC
(17,20),1.30958 # DEPENDENCYPART_ARC
(17,21),0.428311 # DEPENDENCYPART_ARC
(17,22),0.661744 # DEPENDENCYPART_ARC
(17,23),-0.32045 # DEPENDENCYPART_ARC
(17,24),-0.212786 # DEPENDENCYPART_ARC
(17,25),-0.36214 # DEPENDENCYPART_ARC
(17,26),-0.00171584 # DEPENDENCYPART_ARC
(18,1),-2.03516 # DEPENDENCYPART_ARC
(18,2),-1.87396 # DEPENDENCYPART_ARC
(18,3),-2.34569 # DEPENDENCYPART_ARC
(18,4),-1.37484 # DEPENDENCYPART_ARC
(18,5),-1.58878 # DEPENDENCYPART_ARC
(18,6),-2.34999 # DEPENDENCYPART_ARC
(18,7),-2.18998 # DEPENDENCYPART_ARC
(18,8),-1.30552 # DEPENDENCYPART_ARC
(18,9),-1.10745 # DEPENDENCYPART_ARC
(18,10),-0.2341 # DEPENDENCYPART_ARC
(18,11),-1.16537 # DEPENDENCYPART_ARC
(18,12),-0.89058 # DEPENDENCYPART_ARC
(18,13),-0.831372 # DEPENDENCYPART_ARC
(18,14),-0.250714 # DEPENDENCYPART_ARC
(18,15),-0.162171 # DEPENDENCYPART_ARC
(18,16),0.199245 # DEPENDENCYPART_ARC
(18,17),2.1394 # DEPENDENCYPART_ARC
(18,19),0.55926 # DEPENDENCYPART_ARC
(18,20),-0.393932 # DEPENDENCYPART_ARC
(18,21),-0.229502 # DEPENDENCYPART_ARC
(18,22),0.280347 # DEPENDENCYPART_ARC
(18,23),-0.713336 # DEPENDENCYPART_ARC
(18,24),-0.820282 # DEPENDENCYPART_ARC
(18,25),-0.506487 # DEPENDENCYPART_ARC
(18,26),-0.961345 # DEPENDENCYPART_ARC
(19,1),-2.89942 # DEPENDENCYPART_ARC
(19,2),-3.63364 # DEPENDENCYPART_ARC
(19,3),-2.59121 # DEPENDENCYPART_ARC
(19,4),-2.47745 # DEPENDENCYPART_ARC
(19,5),-1.68437 # DEPENDENCYPART_ARC
(19,6),-3.59599 # DEPENDENCYPART_ARC
(19,7),-1.1126 # DEPENDENCYPART_ARC
(19,8),-1.78362 # DEPENDENCYPART_ARC
(19,9),-0.297272 # DEPENDENCYPART_ARC
(19,10),0.0502458 # DEPENDENCYPART_ARC
(19,11),-0.428126 # DEPENDENCYPART_ARC
(19,12),-1.95748 # DEPENDENCYPART_ARC
(19,13),-0.54531 # DEPENDENCYPART_ARC
(19,14),-0.217613 # DEPENDENCYPART_ARC
(19,15),0.775377 # DEPENDENCYPART_ARC
(19,16),0.120538 # DEPENDENCYPART_ARC
(19,17),3.79256 # DEPENDENCYPART_ARC
(19,18),4.30706 # DEPENDENCYPART_ARC
(19,20),2.03023 # DEPENDENCYPART_ARC
(19,21),4.01325 # DEPENDENCYPART_ARC
(19,22),1.4094 # DEPENDENCYPART_ARC
(19,23),1.17204 # DEPENDENCYPART_ARC
(19,24),1.24089 # DEPENDENCYPART_ARC
(19,25),1.47381 # DEPENDENCYPART_ARC
(19,26),1.19722 # DEPENDENCYPART_ARC
(20,1),-3.25229 # DEPENDENCYPART_ARC
(20,2),-2.3695 # DEPENDENCYPART_ARC
(20,3),-2.92671 # DEPENDENCYPART_ARC
(20,4),-2.84366 # DEPENDENCYPART_ARC
(20,5),-2.742 # DEPENDENCYPART_ARC
(20,6),-3.20831 # DEPENDENCYPART_ARC
(20,7),-3.00368 # DEPENDENCYPART_ARC
(20,8),-2.51097 # DEPENDENCYPART_ARC
(20,9),-1.62425 # DEPENDENCYPART_ARC
