# _root_ This time , however , many small investors may have been hurt by acting so swiftly .
#goldHeads=2,9,9,9,9,8,8,9,0,9,10,11,12,13,14,15,9,
#predictedHeads=2,9,9,9,9,8,8,9,0,9,10,11,12,13,14,15,9,
(2,11),-0.158562 # DEPENDENCYPART_ARC
(2,12),-0.0776524 # DEPENDENCYPART_ARC
(2,13),-1.14311 # DEPENDENCYPART_ARC
(2,14),-1.1409 # DEPENDENCYPART_ARC
(2,15),-1.43387 # DEPENDENCYPART_ARC
(2,16),-1.06963 # DEPENDENCYPART_ARC
(2,17),0.888531 # DEPENDENCYPART_ARC
(3,1),-0.922854 # DEPENDENCYPART_ARC
(3,2),-1.32075 # DEPENDENCYPART_ARC
(3,4),-0.160886 # DEPENDENCYPART_ARC
(3,5),0.734442 # DEPENDENCYPART_ARC
(3,6),-0.956628 # DEPENDENCYPART_ARC
(3,7),-1.20591 # DEPENDENCYPART_ARC
(3,8),-1.44306 # DEPENDENCYPART_ARC
(3,9),-1.1999 # DEPENDENCYPART_ARC
(3,10),-1.28855 # DEPENDENCYPART_ARC
(3,11),-1.61557 # DEPENDENCYPART_ARC
(3,12),-1.70339 # DEPENDENCYPART_ARC
(3,13),-1.40345 # DEPENDENCYPART_ARC
(3,14),-1.69309 # DEPENDENCYPART_ARC
(3,15),-2.13965 # DEPENDENCYPART_ARC
(3,16),-2.24824 # DEPENDENCYPART_ARC
(3,17),-1.48164 # DEPENDENCYPART_ARC
(4,1),-0.0524923 # DEPENDENCYPART_ARC
(4,2),-0.120121 # DEPENDENCYPART_ARC
(4,3),0.913708 # DEPENDENCYPART_ARC
(4,5),1.11825 # DEPENDENCYPART_ARC
(4,6),0.0721376 # DEPENDENCYPART_ARC
(4,7),-0.00599572 # DEPENDENCYPART_ARC
(4,8),-0.38338 # DEPENDENCYPART_ARC
(4,9),0.0819381 # DEPENDENCYPART_ARC
(4,10),-0.9456 # DEPENDENCYPART_ARC
(4,11),-1.07193 # DEPENDENCYPART_ARC
(4,12),-1.08604 # DEPENDENCYPART_ARC
(4,13),-0.925207 # DEPENDENCYPART_ARC
(4,14),-1.22524 # DEPENDENCYPART_ARC
(4,15),-1.73745 # DEPENDENCYPART_ARC
(4,16),-1.74824 # DEPENDENCYPART_ARC
(4,17),0.0546522 # DEPENDENCYPART_ARC
(5,1),-1.01758 # DEPENDENCYPART_ARC
(5,2),-1.20549 # DEPENDENCYPART_ARC
(5,3),-0.104107 # DEPENDENCYPART_ARC
(5,4),-0.804765 # DEPENDENCYPART_ARC
(5,6),-0.503442 # DEPENDENCYPART_ARC
(5,7),-1.08006 # DEPENDENCYPART_ARC
(5,8),-1.52791 # DEPENDENCYPART_ARC
(5,9),-1.45547 # DEPENDENCYPART_ARC
(5,10),-1.48238 # DEPENDENCYPART_ARC
(5,11),-1.87526 # DEPENDENCYPART_ARC
(5,12),-2.00207 # DEPENDENCYPART_ARC
(5,13),-1.92776 # DEPENDENCYPART_ARC
(5,14),-2.05837 # DEPENDENCYPART_ARC
(5,15),-2.38896 # DEPENDENCYPART_ARC
(5,16),-2.53152 # DEPENDENCYPART_ARC
(5,17),-1.79025 # DEPENDENCYPART_ARC
(6,1),-0.802673 # DEPENDENCYPART_ARC
(6,2),-1.00808 # DEPENDENCYPART_ARC
(6,3),-0.742294 # DEPENDENCYPART_ARC
(6,4),-0.0591194 # DEPENDENCYPART_ARC
(6,5),-0.22166 # DEPENDENCYPART_ARC
(6,7),1.21307 # DEPENDENCYPART_ARC
(6,8),0.711759 # DEPENDENCYPART_ARC
(6,9),0.580431 # DEPENDENCYPART_ARC
(6,10),-0.293124 # DEPENDENCYPART_ARC
(6,11),-0.144639 # DEPENDENCYPART_ARC
(6,12),-0.156844 # DEPENDENCYPART_ARC
(6,13),-0.125894 # DEPENDENCYPART_ARC
(6,14),-0.661979 # DEPENDENCYPART_ARC
(6,15),-1.08838 # DEPENDENCYPART_ARC
(6,16),-1.11465 # DEPENDENCYPART_ARC
(6,17),0.38019 # DEPENDENCYPART_ARC
(7,1),-1.02602 # DEPENDENCYPART_ARC
(7,2),-1.02666 # DEPENDENCYPART_ARC
(7,3),-0.495533 # DEPENDENCYPART_ARC
(7,4),-0.419369 # DEPENDENCYPART_ARC
(7,5),-0.0653089 # DEPENDENCYPART_ARC
(7,6),1.70565 # DEPENDENCYPART_ARC
(7,8),1.03267 # DEPENDENCYPART_ARC
(7,9),0.652886 # DEPENDENCYPART_ARC
(7,10),-0.397658 # DEPENDENCYPART_ARC
(7,11),-0.340445 # DEPENDENCYPART_ARC
(7,12),-0.474545 # DEPENDENCYPART_ARC
(7,13),-0.61204 # DEPENDENCYPART_ARC
(7,14),-0.910529 # DEPENDENCYPART_ARC
(7,15),-1.2115 # DEPENDENCYPART_ARC
(7,16),-1.18478 # DEPENDENCYPART_ARC
(7,17),0.253382 # DEPENDENCYPART_ARC
(8,1),-0.170828 # DEPENDENCYPART_ARC
(8,2),-0.905421 # DEPENDENCYPART_ARC
(8,3),-0.0370764 # DEPENDENCYPART_ARC
(8,4),-0.24163 # DEPENDENCYPART_ARC
(8,5),0.333338 # DEPENDENCYPART_ARC
(8,6),3.43727 # DEPENDENCYPART_ARC
(8,7),3.86836 # DEPENDENCYPART_ARC
(8,9),0.22677 # DEPENDENCYPART_ARC
(8,10),0.163662 # DEPENDENCYPART_ARC
(8,11),-0.434034 # DEPENDENCYPART_ARC
(8,12),-0.189047 # DEPENDENCYPART_ARC
(8,13),-0.00265764 # DEPENDENCYPART_ARC
(8,14),0.0050985 # DEPENDENCYPART_ARC
(8,15),-0.984054 # DEPENDENCYPART_ARC
(8,16),-0.579998 # DEPENDENCYPART_ARC
(8,17),-0.425556 # DEPENDENCYPART_ARC
(9,1),1.12848 # DEPENDENCYPART_ARC
(9,2),0.925516 # DEPENDENCYPART_ARC
(9,3),2.00017 # DEPENDENCYPART_ARC
(9,4),1.22657 # DEPENDENCYPART_ARC
(9,5),2.54483 # DEPENDENCYPART_ARC
(9,6),2.10075 # DEPENDENCYPART_ARC
(9,7),1.40149 # DEPENDENCYPART_ARC
(9,8),3.02964 # DEPENDENCYPART_ARC
(9,10),4.20688 # DEPENDENCYPART_ARC
(9,11),1.61645 # DEPENDENCYPART_ARC
(9,12),1.06902 # DEPENDENCYPART_ARC
(9,13),0.862082 # DEPENDENCYPART_ARC
(9,14),0.234096 # DEPENDENCYPART_ARC
(9,15),0.653827 # DEPENDENCYPART_ARC
(9,16),0.0723668 # DEPENDENCYPART_ARC
(9,17),4.7835 # DEPENDENCYPART_ARC
(10,1),-0.542881 # DEPENDENCYPART_ARC
(10,2),-0.0549429 # DEPENDENCYPART_ARC
(10,3),0.92768 # DEPENDENCYPART_ARC
(10,4),0.0634426 # DEPENDENCYPART_ARC
(10,5),0.786513 # DEPENDENCYPART_ARC
(10,6),0.662511 # DEPENDENCYPART_ARC
(10,7),0.845166 # DEPENDENCYPART_ARC
(10,8),1.07004 # DEPENDENCYPART_ARC
(10,9),1.065 # DEPENDENCYPART_ARC
(10,11),4.46417 # DEPENDENCYPART_ARC
(10,12),2.25225 # DEPENDENCYPART_ARC
(10,13),1.1198 # DEPENDENCYPART_ARC
(10,14),0.057616 # DEPENDENCYPART_ARC
(10,15),0.184081 # DEPENDENCYPART_ARC
(10,16),0.0549241 # DEPENDENCYPART_ARC
(10,17),1.71685 # DEPENDENCYPART_ARC
(11,1),-0.522271 # DEPENDENCYPART_ARC
(11,2),-1.06716 # DEPENDENCYPART_ARC
(11,3),-0.107265 # DEPENDENCYPART_ARC
(11,4),-1.04255 # DEPENDENCYPART_ARC
(11,5),0.519826 # DEPENDENCYPART_ARC
(11,6),0.325846 # DEPENDENCYPART_ARC
(11,7),0.445565 # DEPENDENCYPART_ARC
(11,8),0.801275 # DEPENDENCYPART_ARC
(11,9),0.124974 # DEPENDENCYPART_ARC
(11,10),0.684059 # DEPENDENCYPART_ARC
(11,12),4.05303 # DEPENDENCYPART_ARC
(11,13),1.58674 # DEPENDENCYPART_ARC
(11,14),0.700595 # DEPENDENCYPART_ARC
(11,15),0.195267 # DEPENDENCYPART_ARC
(11,16),-0.0284045 # DEPENDENCYPART_ARC
(11,17),1.68665 # DEPENDENCYPART_ARC
(12,1),-0.616222 # DEPENDENCYPART_ARC
(12,2),-0.949816 # DEPENDENCYPART_ARC
(12,3),-0.109671 # DEPENDENCYPART_ARC
(12,4),-0.254286 # DEPENDENCYPART_ARC
(12,5),0.499437 # DEPENDENCYPART_ARC
(12,6),0.120007 # DEPENDENCYPART_ARC
(12,7),0.124498 # DEPENDENCYPART_ARC
(12,8),0.392644 # DEPENDENCYPART_ARC
(12,9),0.23504 # DEPENDENCYPART_ARC
(12,10),0.12198 # DEPENDENCYPART_ARC
(12,11),0.990418 # DEPENDENCYPART_ARC
(12,13),3.95443 # DEPENDENCYPART_ARC
(12,14),1.30831 # DEPENDENCYPART_ARC
(12,15),0.840114 # DEPENDENCYPART_ARC
(12,16),0.524358 # DEPENDENCYPART_ARC
(12,17),1.52925 # DEPENDENCYPART_ARC
(13,1),-2.03498 # DEPENDENCYPART_ARC
(13,2),-2.63011 # DEPENDENCYPART_ARC
(13,3),-1.44475 # DEPENDENCYPART_ARC
(13,4),-1.386 # DEPENDENCYPART_ARC
(13,5),-1.34451 # DEPENDENCYPART_ARC
(13,6),-0.876824 # DEPENDENCYPART_ARC
(13,7),-0.758403 # DEPENDENCYPART_ARC
(13,8),-0.77611 # DEPENDENCYPART_ARC
(13,9),-1.07512 # DEPENDENCYPART_ARC
(13,10),-0.113646 # DEPENDENCYPART_ARC
(13,11),-0.133148 # DEPENDENCYPART_ARC
(13,12),0.569525 # DEPENDENCYPART_ARC
(13,14),3.10315 # DEPENDENCYPART_ARC
(13,15),0.70475 # DEPENDENCYPART_ARC
(13,16),0.354363 # DEPENDENCYPART_ARC
(13,17),0.250714 # DEPENDENCYPART_ARC
(14,1),-1.71005 # DEPENDENCYPART_ARC
(14,2),-2.2196 # DEPENDENCYPART_ARC
(14,3),-1.55731 # DEPENDENCYPART_ARC
(14,4),-1.71362 # DEPENDENCYPART_ARC
(14,5),-1.24549 # DEPENDENCYPART_ARC
(14,6),-1.35051 # DEPENDENCYPART_ARC
(14,7),-1.3104 # DEPENDENCYPART_ARC
(14,8),-0.744209 # DEPENDENCYPART_ARC
(14,9),-1.44826 # DEPENDENCYPART_ARC
(14,10),-0.777786 # DEPENDENCYPART_ARC
(14,11),-0.134892 # DEPENDENCYPART_ARC
(14,12),0.0292814 # DEPENDENCYPART_ARC
(14,13),0.27892 # DEPENDENCYPART_ARC
(14,15),2.31674 # DEPENDENCYPART_ARC
(14,16),1.64399 # DEPENDENCYPART_ARC
(14,17),0.434952 # DEPENDENCYPART_ARC
(15,1),-1.57745 # DEPENDENCYPART_ARC
(15,2),-2.07894 # DEPENDENCYPART_ARC
(15,3),-1.43949 # DEPENDENCYPART_ARC
(15,4),-1.32124 # DEPENDENCYPART_ARC
(15,5),-1.00101 # DEPENDENCYPART_ARC
(15,6),-0.540992 # DEPENDENCYPART_ARC
(15,7),-0.658026 # DEPENDENCYPART_ARC
(15,8),-1.10223 # DEPENDENCYPART_ARC
(15,9),-1.02063 # DEPENDENCYPART_ARC
(15,10),-0.919792 # DEPENDENCYPART_ARC
(15,11),-0.507163 # DEPENDENCYPART_ARC
(15,12),-0.225022 # DEPENDENCYPART_ARC
(15,13),0.633899 # DEPENDENCYPART_ARC
(15,14),0.478531 # DEPENDENCYPART_ARC
(15,16),3.12435 # DEPENDENCYPART_ARC
(15,17),1.14539 # DEPENDENCYPART_ARC
(16,1),-1.57843 # DEPENDENCYPART_ARC
(16,2),-2.11388 # DEPENDENCYPART_ARC
(16,3),-1.68741 # DEPENDENCYPART_ARC
(16,4),-1.54661 # DEPENDENCYPART_ARC
(16,5),-1.25078 # DEPENDENCYPART_ARC
(16,6),-0.495272 # DEPENDENCYPART_ARC
(16,7),-0.651408 # DEPENDENCYPART_ARC
(16,8),-1.06172 # DEPENDENCYPART_ARC
(16,9),-1.14732 # DEPENDENCYPART_ARC
(16,10),-0.857679 # DEPENDENCYPART_ARC
(16,11),-0.785536 # DEPENDENCYPART_ARC
(16,12),-0.585973 # DEPENDENCYPART_ARC
(16,13),0.30591 # DEPENDENCYPART_ARC
(16,14),-0.148617 # DEPENDENCYPART_ARC
(16,15),0.794749 # DEPENDENCYPART_ARC
(16,17),0.286671 # DEPENDENCYPART_ARC
(17,1),-2.23362 # DEPENDENCYPART_ARC
(17,2),-2.33345 # DEPENDENCYPART_ARC
(17,3),-1.30897 # DEPENDENCYPART_ARC
(17,4),-1.76194 # DEPENDENCYPART_ARC
(17,5),-1.01236 # DEPENDENCYPART_ARC
(17,6),-2.14183 # DEPENDENCYPART_ARC
(17,7),-2.03236 # DEPENDENCYPART_ARC
(17,8),-1.9943 # DEPENDENCYPART_ARC
(17,9),-1.22317 # DEPENDENCYPART_ARC
(17,10),-1.59038 # DEPENDENCYPART_ARC
(17,11),-1.20956 # DEPENDENCYPART_ARC
(17,12),-1.56214 # DEPENDENCYPART_ARC
(17,13),-1.37971 # DEPENDENCYPART_ARC
(17,14),-0.998042 # DEPENDENCYPART_ARC
(17,15),-1.43952 # DEPENDENCYPART_ARC
(17,16),-1.1587 # DEPENDENCYPART_ARC
