# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
(2,15),-1.53605 # DEPENDENCYPART_ARC
(2,16),0.938515 # DEPENDENCYPART_ARC
(2,17),-1.42672 # DEPENDENCYPART_ARC
(2,18),-2.20012 # DEPENDENCYPART_ARC
(2,19),-2.30845 # DEPENDENCYPART_ARC
(2,20),-1.37115 # DEPENDENCYPART_ARC
(2,21),-2.00554 # DEPENDENCYPART_ARC
(2,22),-1.97735 # DEPENDENCYPART_ARC
(2,23),-0.538175 # DEPENDENCYPART_ARC
(3,1),-1.10169 # DEPENDENCYPART_ARC
(3,2),-0.347797 # DEPENDENCYPART_ARC
(3,4),-0.471855 # DEPENDENCYPART_ARC
(3,5),-0.429667 # DEPENDENCYPART_ARC
(3,6),-0.0834281 # DEPENDENCYPART_ARC
(3,7),-2.01171 # DEPENDENCYPART_ARC
(3,8),-1.06607 # DEPENDENCYPART_ARC
(3,9),-1.29292 # DEPENDENCYPART_ARC
(3,10),-1.03059 # DEPENDENCYPART_ARC
(3,11),-1.37899 # DEPENDENCYPART_ARC
(3,12),-1.64856 # DEPENDENCYPART_ARC
(3,13),-2.18005 # DEPENDENCYPART_ARC
(3,14),-2.86669 # DEPENDENCYPART_ARC
(3,15),-2.3452 # DEPENDENCYPART_ARC
(3,16),-1.41563 # DEPENDENCYPART_ARC
(3,17),-3.00717 # DEPENDENCYPART_ARC
(3,18),-2.64205 # DEPENDENCYPART_ARC
(3,19),-2.70027 # DEPENDENCYPART_ARC
(3,20),-3.80232 # DEPENDENCYPART_ARC
(3,21),-2.93189 # DEPENDENCYPART_ARC
(3,22),-2.96666 # DEPENDENCYPART_ARC
(3,23),-1.92818 # DEPENDENCYPART_ARC
(4,1),-0.981376 # DEPENDENCYPART_ARC
(4,2),0.392494 # DEPENDENCYPART_ARC
(4,3),2.22825 # DEPENDENCYPART_ARC
(4,5),0.355145 # DEPENDENCYPART_ARC
(4,6),-0.222681 # DEPENDENCYPART_ARC
(4,7),-1.06628 # DEPENDENCYPART_ARC
(4,8),-0.645135 # DEPENDENCYPART_ARC
(4,9),-0.90459 # DEPENDENCYPART_ARC
(4,10),-0.694082 # DEPENDENCYPART_ARC
(4,11),-1.54029 # DEPENDENCYPART_ARC
(4,12),-2.41474 # DEPENDENCYPART_ARC
(4,13),-1.8281 # DEPENDENCYPART_ARC
(4,14),-1.80784 # DEPENDENCYPART_ARC
(4,15),-3.61787 # DEPENDENCYPART_ARC
(4,16),-1.36138 # DEPENDENCYPART_ARC
(4,17),-2.13623 # DEPENDENCYPART_ARC
(4,18),-4.01537 # DEPENDENCYPART_ARC
(4,19),-3.12712 # DEPENDENCYPART_ARC
(4,20),-3.71787 # DEPENDENCYPART_ARC
(4,21),-3.77973 # DEPENDENCYPART_ARC
(4,22),-4.15529 # DEPENDENCYPART_ARC
(4,23),-0.245227 # DEPENDENCYPART_ARC
(5,1),0.177287 # DEPENDENCYPART_ARC
(5,2),1.52969 # DEPENDENCYPART_ARC
(5,3),5.00464 # DEPENDENCYPART_ARC
(5,4),4.53519 # DEPENDENCYPART_ARC
(5,6),0.945718 # DEPENDENCYPART_ARC
(5,7),-0.104829 # DEPENDENCYPART_ARC
(5,8),0.128125 # DEPENDENCYPART_ARC
(5,9),-0.420783 # DEPENDENCYPART_ARC
(5,10),0.280091 # DEPENDENCYPART_ARC
(5,11),0.111029 # DEPENDENCYPART_ARC
(5,12),-1.11616 # DEPENDENCYPART_ARC
(5,13),-1.32419 # DEPENDENCYPART_ARC
(5,14),-0.948591 # DEPENDENCYPART_ARC
(5,15),-1.344 # DEPENDENCYPART_ARC
(5,16),-0.152866 # DEPENDENCYPART_ARC
(5,17),-1.68915 # DEPENDENCYPART_ARC
(5,18),-1.86308 # DEPENDENCYPART_ARC
(5,19),-3.40413 # DEPENDENCYPART_ARC
(5,20),-2.29213 # DEPENDENCYPART_ARC
(5,21),-2.00571 # DEPENDENCYPART_ARC
(5,22),-2.42915 # DEPENDENCYPART_ARC
(5,23),-0.228217 # DEPENDENCYPART_ARC
(6,1),2.8943 # DEPENDENCYPART_ARC
(6,2),0.754308 # DEPENDENCYPART_ARC
(6,3),0.842617 # DEPENDENCYPART_ARC
(6,4),1.61249 # DEPENDENCYPART_ARC
(6,5),2.7961 # DEPENDENCYPART_ARC
(6,7),2.79201 # DEPENDENCYPART_ARC
(6,8),1.45768 # DEPENDENCYPART_ARC
(6,9),1.21252 # DEPENDENCYPART_ARC
(6,10),1.38173 # DEPENDENCYPART_ARC
(6,11),0.0871336 # DEPENDENCYPART_ARC
(6,12),-0.126093 # DEPENDENCYPART_ARC
(6,13),0.26287 # DEPENDENCYPART_ARC
(6,14),-0.325694 # DEPENDENCYPART_ARC
(6,15),0.275079 # DEPENDENCYPART_ARC
(6,16),1.70447 # DEPENDENCYPART_ARC
(6,17),2.68219 # DEPENDENCYPART_ARC
(6,18),-0.441479 # DEPENDENCYPART_ARC
(6,19),-0.578307 # DEPENDENCYPART_ARC
(6,20),-0.870416 # DEPENDENCYPART_ARC
(6,21),-0.812357 # DEPENDENCYPART_ARC
(6,22),-0.441419 # DEPENDENCYPART_ARC
(6,23),5.44081 # DEPENDENCYPART_ARC
(7,1),-0.93184 # DEPENDENCYPART_ARC
(7,2),-0.615819 # DEPENDENCYPART_ARC
(7,3),1.05936 # DEPENDENCYPART_ARC
(7,4),-0.453461 # DEPENDENCYPART_ARC
(7,5),0.38219 # DEPENDENCYPART_ARC
(7,6),0.870312 # DEPENDENCYPART_ARC
(7,8),4.17124 # DEPENDENCYPART_ARC
(7,9),3.74061 # DEPENDENCYPART_ARC
(7,10),3.59954 # DEPENDENCYPART_ARC
(7,11),2.81756 # DEPENDENCYPART_ARC
(7,12),-0.0810575 # DEPENDENCYPART_ARC
(7,13),-0.546541 # DEPENDENCYPART_ARC
(7,14),0.330587 # DEPENDENCYPART_ARC
(7,15),0.318383 # DEPENDENCYPART_ARC
(7,16),2.0585 # DEPENDENCYPART_ARC
(7,17),-0.349137 # DEPENDENCYPART_ARC
(7,18),-0.553623 # DEPENDENCYPART_ARC
(7,19),-1.91397 # DEPENDENCYPART_ARC
(7,20),-1.66948 # DEPENDENCYPART_ARC
(7,21),-3.42709 # DEPENDENCYPART_ARC
(7,22),-3.65933 # DEPENDENCYPART_ARC
(7,23),0.255888 # DEPENDENCYPART_ARC
(8,1),-3.28961 # DEPENDENCYPART_ARC
(8,2),-2.28478 # DEPENDENCYPART_ARC
(8,3),-1.35827 # DEPENDENCYPART_ARC
(8,4),-1.92551 # DEPENDENCYPART_ARC
(8,5),-1.97379 # DEPENDENCYPART_ARC
(8,6),-1.48089 # DEPENDENCYPART_ARC
(8,7),-0.665423 # DEPENDENCYPART_ARC
(8,9),1.53034 # DEPENDENCYPART_ARC
(8,10),-0.510736 # DEPENDENCYPART_ARC
(8,11),-0.145277 # DEPENDENCYPART_ARC
(8,12),-0.674377 # DEPENDENCYPART_ARC
(8,13),-1.28217 # DEPENDENCYPART_ARC
(8,14),-1.36218 # DEPENDENCYPART_ARC
(8,15),-1.66669 # DEPENDENCYPART_ARC
(8,16),-0.303043 # DEPENDENCYPART_ARC
(8,17),-1.36546 # DEPENDENCYPART_ARC
(8,18),-2.17186 # DEPENDENCYPART_ARC
(8,19),-1.89518 # DEPENDENCYPART_ARC
(8,20),-1.7188 # DEPENDENCYPART_ARC
(8,21),-1.71227 # DEPENDENCYPART_ARC
(8,22),-1.4308 # DEPENDENCYPART_ARC
(8,23),-0.71813 # DEPENDENCYPART_ARC
(9,1),-1.97049 # DEPENDENCYPART_ARC
(9,2),-0.828637 # DEPENDENCYPART_ARC
(9,3),-0.258714 # DEPENDENCYPART_ARC
(9,4),-0.578867 # DEPENDENCYPART_ARC
(9,5),-0.871226 # DEPENDENCYPART_ARC
(9,6),-0.368295 # DEPENDENCYPART_ARC
(9,7),0.389653 # DEPENDENCYPART_ARC
(9,8),1.86442 # DEPENDENCYPART_ARC
(9,10),0.361054 # DEPENDENCYPART_ARC
(9,11),0.551024 # DEPENDENCYPART_ARC
(9,12),-0.440362 # DEPENDENCYPART_ARC
(9,13),-0.864886 # DEPENDENCYPART_ARC
(9,14),-1.25538 # DEPENDENCYPART_ARC
(9,15),-0.679808 # DEPENDENCYPART_ARC
(9,16),0.621114 # DEPENDENCYPART_ARC
(9,17),-1.07004 # DEPENDENCYPART_ARC
(9,18),-1.22447 # DEPENDENCYPART_ARC
(9,19),-1.53872 # DEPENDENCYPART_ARC
(9,20),-1.1864 # DEPENDENCYPART_ARC
(9,21),-1.60038 # DEPENDENCYPART_ARC
(9,22),-1.63096 # DEPENDENCYPART_ARC
(9,23),-0.423905 # DEPENDENCYPART_ARC
(10,1),-1.68299 # DEPENDENCYPART_ARC
(10,2),-1.77367 # DEPENDENCYPART_ARC
(10,3),-1.11904 # DEPENDENCYPART_ARC
(10,4),-1.65309 # DEPENDENCYPART_ARC
(10,5),-1.44581 # DEPENDENCYPART_ARC
(10,6),-1.281 # DEPENDENCYPART_ARC
(10,7),-0.577118 # DEPENDENCYPART_ARC
(10,8),-0.973684 # DEPENDENCYPART_ARC
(10,9),-0.290978 # DEPENDENCYPART_ARC
(10,11),0.149477 # DEPENDENCYPART_ARC
(10,12),-0.380785 # DEPENDENCYPART_ARC
(10,13),-0.755485 # DEPENDENCYPART_ARC
(10,14),-1.19657 # DEPENDENCYPART_ARC
(10,15),-1.38523 # DEPENDENCYPART_ARC
(10,16),0.471897 # DEPENDENCYPART_ARC
(10,17),-1.00769 # DEPENDENCYPART_ARC
(10,18),-1.95315 # DEPENDENCYPART_ARC
(10,19),-1.04969 # DEPENDENCYPART_ARC
(10,20),-2.13636 # DEPENDENCYPART_ARC
(10,21),-2.22903 # DEPENDENCYPART_ARC
(10,22),-2.36955 # DEPENDENCYPART_ARC
(10,23),-1.2807 # DEPENDENCYPART_ARC
(11,1),-1.58964 # DEPENDENCYPART_ARC
(11,2),-1.88574 # DEPENDENCYPART_ARC
(11,3),-1.31851 # DEPENDENCYPART_ARC
(11,4),-1.0507 # DEPENDENCYPART_ARC
(11,5),-1.34022 # DEPENDENCYPART_ARC
(11,6),-0.751089 # DEPENDENCYPART_ARC
(11,7),-0.884319 # DEPENDENCYPART_ARC
(11,8),-0.759509 # DEPENDENCYPART_ARC
(11,9),-0.85136 # DEPENDENCYPART_ARC
(11,10),-0.414253 # DEPENDENCYPART_ARC
(11,12),1.75312 # DEPENDENCYPART_ARC
(11,13),2.66557 # DEPENDENCYPART_ARC
(11,14),0.187968 # DEPENDENCYPART_ARC
(11,15),0.776575 # DEPENDENCYPART_ARC
(11,16),0.0675789 # DEPENDENCYPART_ARC
(11,17),-0.411131 # DEPENDENCYPART_ARC
(11,18),-1.29072 # DEPENDENCYPART_ARC
(11,19),-0.253842 # DEPENDENCYPART_ARC
(11,20),0.385935 # DEPENDENCYPART_ARC
(11,21),-0.957106 # DEPENDENCYPART_ARC
(11,22),-1.24746 # DEPENDENCYPART_ARC
(11,23),-0.127921 # DEPENDENCYPART_ARC
(12,1),-1.88022 # DEPENDENCYPART_ARC
(12,2),-0.349976 # DEPENDENCYPART_ARC
(12,3),-0.965136 # DEPENDENCYPART_ARC
(12,4),-1.3629 # DEPENDENCYPART_ARC
(12,5),-1.75754 # DEPENDENCYPART_ARC
(12,6),-1.13948 # DEPENDENCYPART_ARC
(12,7),-0.829963 # DEPENDENCYPART_ARC
(12,8),0.904723 # DEPENDENCYPART_ARC
(12,9),0.967902 # DEPENDENCYPART_ARC
(12,10),0.998874 # DEPENDENCYPART_ARC
(12,11),0.813298 # DEPENDENCYPART_ARC
(12,13),0.408729 # DEPENDENCYPART_ARC
(12,14),-0.514195 # DEPENDENCYPART_ARC
(12,15),-0.140543 # DEPENDENCYPART_ARC
(12,16),-0.200287 # DEPENDENCYPART_ARC
(12,17),-0.984306 # DEPENDENCYPART_ARC
(12,18),-0.740171 # DEPENDENCYPART_ARC
(12,19),-1.12957 # DEPENDENCYPART_ARC
(12,20),-0.961539 # DEPENDENCYPART_ARC
(12,21),-1.20384 # DEPENDENCYPART_ARC
(12,22),-0.988885 # DEPENDENCYPART_ARC
(12,23),-0.561565 # DEPENDENCYPART_ARC
(13,1),-1.508 # DEPENDENCYPART_ARC
(13,2),-0.792611 # DEPENDENCYPART_ARC
(13,3),0.391824 # DEPENDENCYPART_ARC
(13,4),-1.34317 # DEPENDENCYPART_ARC
(13,5),-1.06645 # DEPENDENCYPART_ARC
(13,6),-0.52127 # DEPENDENCYPART_ARC
(13,7),-0.179661 # DEPENDENCYPART_ARC
(13,8),0.461248 # DEPENDENCYPART_ARC
(13,9),1.26685 # DEPENDENCYPART_ARC
(13,10),0.247 # DEPENDENCYPART_ARC
(13,11),1.39174 # DEPENDENCYPART_ARC
(13,12),4.32971 # DEPENDENCYPART_ARC
(13,14),1.59845 # DEPENDENCYPART_ARC
(13,15),3.58146 # DEPENDENCYPART_ARC
(13,16),1.05222 # DEPENDENCYPART_ARC
(13,17),0.630415 # DEPENDENCYPART_ARC
(13,18),0.296083 # DEPENDENCYPART_ARC
(13,19),-0.215598 # DEPENDENCYPART_ARC
(13,20),-1.15461 # DEPENDENCYPART_ARC
(13,21),0.0182238 # DEPENDENCYPART_ARC
(13,22),-0.261543 # DEPENDENCYPART_ARC
(13,23),1.41988 # DEPENDENCYPART_ARC
(14,1),-2.15341 # DEPENDENCYPART_ARC
(14,2),-2.47775 # DEPENDENCYPART_ARC
(14,3),-1.59636 # DEPENDENCYPART_ARC
(14,4),-2.37563 # DEPENDENCYPART_ARC
(14,5),-2.45941 # DEPENDENCYPART_ARC
(14,6),-2.07854 # DEPENDENCYPART_ARC
(14,7),-1.72099 # DEPENDENCYPART_ARC
(14,8),-1.69279 # DEPENDENCYPART_ARC
(14,9),-1.42969 # DEPENDENCYPART_ARC
(14,10),-1.28939 # DEPENDENCYPART_ARC
(14,11),-1.55599 # DEPENDENCYPART_ARC
(14,12),-0.698612 # DEPENDENCYPART_ARC
(14,13),-0.491671 # DEPENDENCYPART_ARC
(14,15),0.281973 # DEPENDENCYPART_ARC
(14,16),-0.635777 # DEPENDENCYPART_ARC
(14,17),-1.0479 # DEPENDENCYPART_ARC
(14,18),-1.02402 # DEPENDENCYPART_ARC
(14,19),-0.974724 # DEPENDENCYPART_ARC
(14,20),-2.47459 # DEPENDENCYPART_ARC
(14,21),-1.38605 # DEPENDENCYPART_ARC
(14,22),-1.35023 # DEPENDENCYPART_ARC
(14,23),-1.36584 # DEPENDENCYPART_ARC
(15,1),-1.89473 # DEPENDENCYPART_ARC
(15,2),-2.49951 # DEPENDENCYPART_ARC
(15,3),-0.472505 # DEPENDENCYPART_ARC
(15,4),-2.1287 # DEPENDENCYPART_ARC
(15,5),-2.459 # DEPENDENCYPART_ARC
(15,6),-0.765796 # DEPENDENCYPART_ARC
(15,7),-1.03505 # DEPENDENCYPART_ARC
(15,8),-1.24189 # DEPENDENCYPART_ARC
(15,9),-1.84826 # DEPENDENCYPART_ARC
(15,10),0.0618824 # DEPENDENCYPART_ARC
(15,11),0.175717 # DEPENDENCYPART_ARC
(15,12),0.575072 # DEPENDENCYPART_ARC
(15,13),0.764973 # DEPENDENCYPART_ARC
(15,14),5.12182 # DEPENDENCYPART_ARC
(15,16),0.378027 # DEPENDENCYPART_ARC
(15,17),-0.255728 # DEPENDENCYPART_ARC
(15,18),-0.658073 # DEPENDENCYPART_ARC
(15,19),0.0983343 # DEPENDENCYPART_ARC
(15,20),-1.69291 # DEPENDENCYPART_ARC
(15,21),-0.948619 # DEPENDENCYPART_ARC
(15,22),-1.3705 # DEPENDENCYPART_ARC
(15,23),-0.985418 # DEPENDENCYPART_ARC
(16,1),-2.78951 # DEPENDENCYPART_ARC
(16,2),-2.81019 # DEPENDENCYPART_ARC
(16,3),-2.33841 # DEPENDENCYPART_ARC
(16,4),-2.84374 # DEPENDENCYPART_ARC
(16,5),-2.26895 # DEPENDENCYPART_ARC
(16,6),-1.96832 # DEPENDENCYPART_ARC
(16,7),-2.03287 # DEPENDENCYPART_ARC
(16,8),-2.15506 # DEPENDENCYPART_ARC
(16,9),-2.03371 # DEPENDENCYPART_ARC
(16,10),-0.377225 # DEPENDENCYPART_ARC
(16,11),-2.17952 # DEPENDENCYPART_ARC
(16,12),-1.59623 # DEPENDENCYPART_ARC
(16,13),-1.32304 # DEPENDENCYPART_ARC
(16,14),-0.825647 # DEPENDENCYPART_ARC
(16,15),-1.30076 # DEPENDENCYPART_ARC
(16,17),-0.297315 # DEPENDENCYPART_ARC
(16,18),-0.657886 # DEPENDENCYPART_ARC
(16,19),-0.62397 # DEPENDENCYPART_ARC
(16,20),-1.33164 # DEPENDENCYPART_ARC
(16,21),-1.50096 # DEPENDENCYPART_ARC
(16,22),-1.88297 # DEPENDENCYPART_ARC
(16,23),-0.981636 # DEPENDENCYPART_ARC
(17,1),-3.08201 # DEPENDENCYPART_ARC
(17,2),-1.92542 # DEPENDENCYPART_ARC
(17,3),-2.00716 # DEPENDENCYPART_ARC
(17,4),-1.91445 # DEPENDENCYPART_ARC
(17,5),-2.82062 # DEPENDENCYPART_ARC
(17,6),-1.66224 # DEPENDENCYPART_ARC
(17,7),-1.56709 # DEPENDENCYPART_ARC
(17,8),-1.04414 # DEPENDENCYPART_ARC
(17,9),-1.12596 # DEPENDENCYPART_ARC
(17,10),-1.09934 # DEPENDENCYPART_ARC
(17,11),-1.04226 # DEPENDENCYPART_ARC
(17,12),-0.68192 # DEPENDENCYPART_ARC
(17,13),-0.753632 # DEPENDENCYPART_ARC
(17,14),0.0736547 # DEPENDENCYPART_ARC
(17,15),-0.932334 # DEPENDENCYPART_ARC
(17,16),0.461601 # DEPENDENCYPART_ARC
(17,18),3.12295 # DEPENDENCYPART_ARC
(17,19),0.888883 # DEPENDENCYPART_ARC
(17,20),0.38486 # DEPENDENCYPART_ARC
(17,21),-0.531241 # DEPENDENCYPART_ARC
(17,22),-0.27084 # DEPENDENCYPART_ARC
(17,23),-0.127379 # DEPENDENCYPART_ARC
(18,1),-3.62375 # DEPENDENCYPART_ARC
(18,2),-4.03015 # DEPENDENCYPART_ARC
(18,3),-2.94616 # DEPENDENCYPART_ARC
(18,4),-5.14435 # DEPENDENCYPART_ARC
(18,5),-5.71052 # DEPENDENCYPART_ARC
(18,6),-2.51599 # DEPENDENCYPART_ARC
(18,7),-3.5029 # DEPENDENCYPART_ARC
(18,8),-2.96476 # DEPENDENCYPART_ARC
(18,9),-3.65356 # DEPENDENCYPART_ARC
(18,10),-2.08326 # DEPENDENCYPART_ARC
(18,11),-1.90898 # DEPENDENCYPART_ARC
(18,12),-2.34341 # DEPENDENCYPART_ARC
(18,13),-1.19186 # DEPENDENCYPART_ARC
(18,14),0.749601 # DEPENDENCYPART_ARC
(18,15),-1.41481 # DEPENDENCYPART_ARC
(18,16),-0.423178 # DEPENDENCYPART_ARC
(18,17),0.537613 # DEPENDENCYPART_ARC
(18,19),3.47378 # DEPENDENCYPART_ARC
(18,20),0.125807 # DEPENDENCYPART_ARC
(18,21),0.961016 # DEPENDENCYPART_ARC
(18,22),0.342824 # DEPENDENCYPART_ARC
(18,23),-0.292114 # DEPENDENCYPART_ARC
(19,1),-3.89502 # DEPENDENCYPART_ARC
(19,2),-2.51113 # DEPENDENCYPART_ARC
(19,3),-2.89997 # DEPENDENCYPART_ARC
(19,4),-2.45006 # DEPENDENCYPART_ARC
(19,5),-3.13076 # DEPENDENCYPART_ARC
(19,6),-2.3446 # DEPENDENCYPART_ARC
(19,7),-2.48461 # DEPENDENCYPART_ARC
(19,8),-1.85621 # DEPENDENCYPART_ARC
(19,9),-1.67773 # DEPENDENCYPART_ARC
(19,10),-1.67849 # DEPENDENCYPART_ARC
(19,11),-1.89 # DEPENDENCYPART_ARC
(19,12),-1.3654 # DEPENDENCYPART_ARC
(19,13),-1.56352 # DEPENDENCYPART_ARC
(19,14),-1.18147 # DEPENDENCYPART_ARC
(19,15),-1.11809 # DEPENDENCYPART_ARC
(19,16),-0.609294 # DEPENDENCYPART_ARC
(19,17),0.0736094 # DEPENDENCYPART_ARC
(19,18),0.245374 # DEPENDENCYPART_ARC
(19,20),3.47332 # DEPENDENCYPART_ARC
(19,21),1.13559 # DEPENDENCYPART_ARC
(19,22),1.09703 # DEPENDENCYPART_ARC
(19,23),-0.210775 # DEPENDENCYPART_ARC
(20,1),-3.58992 # DEPENDENCYPART_ARC
(20,2),-2.32017 # DEPENDENCYPART_ARC
(20,3),-1.54118 # DEPENDENCYPART_ARC
(20,4),-2.61442 # DEPENDENCYPART_ARC
(20,5),-2.64429 # DEPENDENCYPART_ARC
(20,6),-1.96291 # DEPENDENCYPART_ARC
(20,7),-1.54965 # DEPENDENCYPART_ARC
(20,8),-1.74284 # DEPENDENCYPART_ARC
(20,9),-1.67028 # DEPENDENCYPART_ARC
(20,10),-1.50144 # DEPENDENCYPART_ARC
(20,11),-1.82762 # DEPENDENCYPART_ARC
(20,12),-1.20782 # DEPENDENCYPART_ARC
(20,13),-1.28611 # DEPENDENCYPART_ARC
(20,14),0.453226 # DEPENDENCYPART_ARC
(20,15),-0.671876 # DEPENDENCYPART_ARC
(20,16),-0.599003 # DEPENDENCYPART_ARC
(20,17),0.161278 # DEPENDENCYPART_ARC
(20,18),0.937874 # DEPENDENCYPART_ARC
(20,19),1.51504 # DEPENDENCYPART_ARC
(20,21),4.60482 # DEPENDENCYPART_ARC
(20,22),3.76706 # DEPENDENCYPART_ARC
(20,23),0.321724 # DEPENDENCYPART_ARC
(21,1),-5.61389 # DEPENDENCYPART_ARC
(21,2),-3.89962 # DEPENDENCYPART_ARC
(21,3),-4.02329 # DEPENDENCYPART_ARC
(21,4),-4.16549 # DEPENDENCYPART_ARC
(21,5),-4.49569 # DEPENDENCYPART_ARC
(21,6),-3.87652 # DEPENDENCYPART_ARC
(21,7),-4.09878 # DEPENDENCYPART_ARC
(21,8),-2.84086 # DEPENDENCYPART_ARC
(21,9),-3.37835 # DEPENDENCYPART_ARC
(21,10),-2.69419 # DEPENDENCYPART_ARC
(21,11),-3.10539 # DEPENDENCYPART_ARC
(21,12),-2.76129 # DEPENDENCYPART_ARC
(21,13),-2.95955 # DEPENDENCYPART_ARC
(21,14),-2.21428 # DEPENDENCYPART_ARC
(21,15),-3.08186 # DEPENDENCYPART_ARC
(21,16),-2.42714 # DEPENDENCYPART_ARC
(21,17),-2.17095 # DEPENDENCYPART_ARC
(21,18),-1.96502 # DEPENDENCYPART_ARC
(21,19),-0.961159 # DEPENDENCYPART_ARC
(21,20),-0.735999 # DEPENDENCYPART_ARC
(21,22),1.45327 # DEPENDENCYPART_ARC
(21,23),-0.741281 # DEPENDENCYPART_ARC
(22,1),-4.44899 # DEPENDENCYPART_ARC
(22,2),-2.99744 # DEPENDENCYPART_ARC
(22,3),-2.64274 # DEPENDENCYPART_ARC
(22,4),-2.71434 # DEPENDENCYPART_ARC
(22,5),-3.18179 # DEPENDENCYPART_ARC
(22,6),-2.39292 # DEPENDENCYPART_ARC
(22,7),-2.28918 # DEPENDENCYPART_ARC
(22,8),-1.54125 # DEPENDENCYPART_ARC
(22,9),-2.50425 # DEPENDENCYPART_ARC
(22,10),-1.03178 # DEPENDENCYPART_ARC
(22,11),-1.58395 # DEPENDENCYPART_ARC
(22,12),-1.57307 # DEPENDENCYPART_ARC
(22,13),-1.46157 # DEPENDENCYPART_ARC
(22,14),-0.676172 # DEPENDENCYPART_ARC
(22,15),-1.75662 # DEPENDENCYPART_ARC
(22,16),-1.17455 # DEPENDENCYPART_ARC
(22,17),-0.849157 # DEPENDENCYPART_ARC
(22,18),-0.805497 # DEPENDENCYPART_ARC
(22,19),-0.0612603 # DEPENDENCYPART_ARC
(22,20),0.404776 # DEPENDENCYPART_ARC
(22,21),2.23555 # DEPENDENCYPART_ARC
(22,23),-0.767022 # DEPENDENCYPART_ARC
(23,1),-3.43105 # DEPENDENCYPART_ARC
(23,2),-3.06014 # DEPENDENCYPART_ARC
(23,3),-2.36108 # DEPENDENCYPART_ARC
