# _root_ The new offer , which seeks 50.3 % of the cellular and broadcasting concern , is for $ 125 a share for 22 million LIN shares .
#goldHeads=3,3,16,3,6,3,8,6,8,14,14,11,12,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
#predictedHeads=3,3,16,3,6,3,8,6,8,11,14,11,14,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
(1,27),-2.41492 # DEPENDENCYPART_ARC
(2,1),1.31825 # DEPENDENCYPART_ARC
(2,3),0.647444 # DEPENDENCYPART_ARC
(2,4),-0.407639 # DEPENDENCYPART_ARC
(2,5),-1.49766 # DEPENDENCYPART_ARC
(2,6),-0.166814 # DEPENDENCYPART_ARC
(2,7),-1.07172 # DEPENDENCYPART_ARC
(2,8),-1.25511 # DEPENDENCYPART_ARC
(2,9),-1.20186 # DEPENDENCYPART_ARC
(2,10),-2.22233 # DEPENDENCYPART_ARC
(2,11),-1.35297 # DEPENDENCYPART_ARC
(2,12),-0.683302 # DEPENDENCYPART_ARC
(2,13),-1.92221 # DEPENDENCYPART_ARC
(2,14),-2.29681 # DEPENDENCYPART_ARC
(2,15),-1.51282 # DEPENDENCYPART_ARC
(2,16),-1.5579 # DEPENDENCYPART_ARC
(2,17),-2.17221 # DEPENDENCYPART_ARC
(2,18),-2.87359 # DEPENDENCYPART_ARC
(2,19),-3.54348 # DEPENDENCYPART_ARC
(2,20),-3.11187 # DEPENDENCYPART_ARC
(2,21),-3.05701 # DEPENDENCYPART_ARC
(2,22),-2.83034 # DEPENDENCYPART_ARC
(2,23),-3.60921 # DEPENDENCYPART_ARC
(2,24),-3.33858 # DEPENDENCYPART_ARC
(2,25),-3.73176 # DEPENDENCYPART_ARC
(2,26),-3.33629 # DEPENDENCYPART_ARC
(2,27),-1.49588 # DEPENDENCYPART_ARC
(3,1),4.52506 # DEPENDENCYPART_ARC
(3,2),4.70772 # DEPENDENCYPART_ARC
(3,4),3.17968 # DEPENDENCYPART_ARC
(3,5),0.455138 # DEPENDENCYPART_ARC
(3,6),3.17191 # DEPENDENCYPART_ARC
(3,7),0.688106 # DEPENDENCYPART_ARC
(3,8),-0.0854773 # DEPENDENCYPART_ARC
(3,9),1.22813 # DEPENDENCYPART_ARC
(3,10),0.153561 # DEPENDENCYPART_ARC
(3,11),0.371106 # DEPENDENCYPART_ARC
(3,12),1.48322 # DEPENDENCYPART_ARC
(3,13),0.245239 # DEPENDENCYPART_ARC
(3,14),0.246927 # DEPENDENCYPART_ARC
(3,15),3.30499 # DEPENDENCYPART_ARC
(3,16),0.350807 # DEPENDENCYPART_ARC
(3,17),-0.0281084 # DEPENDENCYPART_ARC
(3,18),-0.797094 # DEPENDENCYPART_ARC
(3,19),-0.30561 # DEPENDENCYPART_ARC
(3,20),-0.573688 # DEPENDENCYPART_ARC
(3,21),-1.93613 # DEPENDENCYPART_ARC
(3,22),-0.0336804 # DEPENDENCYPART_ARC
(3,23),-1.52871 # DEPENDENCYPART_ARC
(3,24),-1.8774 # DEPENDENCYPART_ARC
(3,25),-2.16023 # DEPENDENCYPART_ARC
(3,26),-2.37557 # DEPENDENCYPART_ARC
(3,27),0.845885 # DEPENDENCYPART_ARC
(4,1),-0.833638 # DEPENDENCYPART_ARC
(4,2),-1.45393 # DEPENDENCYPART_ARC
(4,3),-1.23769 # DEPENDENCYPART_ARC
(4,5),-0.876352 # DEPENDENCYPART_ARC
(4,6),-0.618577 # DEPENDENCYPART_ARC
(4,7),-1.55524 # DEPENDENCYPART_ARC
(4,8),-1.81732 # DEPENDENCYPART_ARC
(4,9),-1.58787 # DEPENDENCYPART_ARC
(4,10),-1.98802 # DEPENDENCYPART_ARC
(4,11),-2.20061 # DEPENDENCYPART_ARC
(4,12),-1.9405 # DEPENDENCYPART_ARC
(4,13),-2.64774 # DEPENDENCYPART_ARC
(4,14),-2.74563 # DEPENDENCYPART_ARC
(4,15),-0.777521 # DEPENDENCYPART_ARC
(4,16),-2.20086 # DEPENDENCYPART_ARC
(4,17),-2.13506 # DEPENDENCYPART_ARC
(4,18),-3.15815 # DEPENDENCYPART_ARC
(4,19),-3.28564 # DEPENDENCYPART_ARC
(4,20),-3.06721 # DEPENDENCYPART_ARC
(4,21),-3.55465 # DEPENDENCYPART_ARC
(4,22),-2.53873 # DEPENDENCYPART_ARC
(4,23),-3.73688 # DEPENDENCYPART_ARC
(4,24),-3.79721 # DEPENDENCYPART_ARC
(4,25),-3.5586 # DEPENDENCYPART_ARC
(4,26),-3.92187 # DEPENDENCYPART_ARC
(4,27),-2.94806 # DEPENDENCYPART_ARC
(5,1),-0.315187 # DEPENDENCYPART_ARC
(5,2),-0.490494 # DEPENDENCYPART_ARC
(5,3),-0.854935 # DEPENDENCYPART_ARC
(5,4),0.127279 # DEPENDENCYPART_ARC
(5,6),0.588541 # DEPENDENCYPART_ARC
(5,7),-0.397499 # DEPENDENCYPART_ARC
(5,8),-0.382634 # DEPENDENCYPART_ARC
(5,9),-0.803877 # DEPENDENCYPART_ARC
(5,10),-1.73051 # DEPENDENCYPART_ARC
(5,11),-1.66185 # DEPENDENCYPART_ARC
(5,12),-1.20485 # DEPENDENCYPART_ARC
(5,13),-1.48936 # DEPENDENCYPART_ARC
(5,14),-1.58593 # DEPENDENCYPART_ARC
(5,15),-1.28313 # DEPENDENCYPART_ARC
(5,16),-2.05011 # DEPENDENCYPART_ARC
(5,17),-2.12022 # DEPENDENCYPART_ARC
(5,18),-2.68739 # DEPENDENCYPART_ARC
(5,19),-2.80742 # DEPENDENCYPART_ARC
(5,20),-2.84552 # DEPENDENCYPART_ARC
(5,21),-2.25832 # DEPENDENCYPART_ARC
(5,22),-2.58063 # DEPENDENCYPART_ARC
(5,23),-3.22027 # DEPENDENCYPART_ARC
(5,24),-3.32557 # DEPENDENCYPART_ARC
(5,25),-3.2351 # DEPENDENCYPART_ARC
(5,26),-3.31527 # DEPENDENCYPART_ARC
(5,27),-2.42288 # DEPENDENCYPART_ARC
(6,1),-0.634585 # DEPENDENCYPART_ARC
(6,2),-0.306985 # DEPENDENCYPART_ARC
(6,3),-0.242029 # DEPENDENCYPART_ARC
(6,4),1.10089 # DEPENDENCYPART_ARC
(6,5),3.93522 # DEPENDENCYPART_ARC
(6,7),1.54983 # DEPENDENCYPART_ARC
(6,8),2.36043 # DEPENDENCYPART_ARC
(6,9),1.74405 # DEPENDENCYPART_ARC
(6,10),-0.78983 # DEPENDENCYPART_ARC
(6,11),0.344037 # DEPENDENCYPART_ARC
(6,12),1.26748 # DEPENDENCYPART_ARC
(6,13),-0.194774 # DEPENDENCYPART_ARC
(6,14),0.845181 # DEPENDENCYPART_ARC
(6,15),1.06736 # DEPENDENCYPART_ARC
(6,16),0.908727 # DEPENDENCYPART_ARC
(6,17),1.01034 # DEPENDENCYPART_ARC
(6,18),-0.418907 # DEPENDENCYPART_ARC
(6,19),-1.32162 # DEPENDENCYPART_ARC
(6,20),-1.28742 # DEPENDENCYPART_ARC
(6,21),-0.85281 # DEPENDENCYPART_ARC
(6,22),0.674154 # DEPENDENCYPART_ARC
(6,23),-1.75837 # DEPENDENCYPART_ARC
(6,24),-1.60256 # DEPENDENCYPART_ARC
(6,25),-2.9382 # DEPENDENCYPART_ARC
(6,26),-0.206422 # DEPENDENCYPART_ARC
(6,27),3.85138 # DEPENDENCYPART_ARC
(7,1),-0.415347 # DEPENDENCYPART_ARC
(7,2),-0.709275 # DEPENDENCYPART_ARC
(7,3),-1.46569 # DEPENDENCYPART_ARC
(7,4),-0.547677 # DEPENDENCYPART_ARC
(7,5),0.452211 # DEPENDENCYPART_ARC
(7,6),0.103824 # DEPENDENCYPART_ARC
(7,8),0.658058 # DEPENDENCYPART_ARC
(7,9),0.0976144 # DEPENDENCYPART_ARC
(7,10),-1.12184 # DEPENDENCYPART_ARC
(7,11),-0.822656 # DEPENDENCYPART_ARC
(7,12),-0.25898 # DEPENDENCYPART_ARC
(7,13),-0.507374 # DEPENDENCYPART_ARC
(7,14),-1.18381 # DEPENDENCYPART_ARC
(7,15),0.0197934 # DEPENDENCYPART_ARC
(7,16),-0.790877 # DEPENDENCYPART_ARC
(7,17),-1.27945 # DEPENDENCYPART_ARC
(7,18),-0.857781 # DEPENDENCYPART_ARC
(7,19),-1.88804 # DEPENDENCYPART_ARC
(7,20),-2.14612 # DEPENDENCYPART_ARC
(7,21),-2.036 # DEPENDENCYPART_ARC
(7,22),-1.97424 # DEPENDENCYPART_ARC
(7,23),-2.30978 # DEPENDENCYPART_ARC
(7,24),-2.18265 # DEPENDENCYPART_ARC
(7,25),-2.41688 # DEPENDENCYPART_ARC
(7,26),-2.28387 # DEPENDENCYPART_ARC
(7,27),-1.35563 # DEPENDENCYPART_ARC
(8,1),1.00422 # DEPENDENCYPART_ARC
(8,2),0.984912 # DEPENDENCYPART_ARC
(8,3),-1.04225 # DEPENDENCYPART_ARC
(8,4),0.0247166 # DEPENDENCYPART_ARC
(8,5),0.585533 # DEPENDENCYPART_ARC
(8,6),0.262497 # DEPENDENCYPART_ARC
(8,7),4.17136 # DEPENDENCYPART_ARC
(8,9),3.43058 # DEPENDENCYPART_ARC
(8,10),0.155627 # DEPENDENCYPART_ARC
(8,11),0.150351 # DEPENDENCYPART_ARC
(8,12),1.5987 # DEPENDENCYPART_ARC
(8,13),0.552347 # DEPENDENCYPART_ARC
(8,14),0.132329 # DEPENDENCYPART_ARC
(8,15),1.96746 # DEPENDENCYPART_ARC
(8,16),-0.110512 # DEPENDENCYPART_ARC
(8,17),-0.488166 # DEPENDENCYPART_ARC
(8,18),-1.08567 # DEPENDENCYPART_ARC
(8,19),-0.573181 # DEPENDENCYPART_ARC
(8,20),-0.662961 # DEPENDENCYPART_ARC
(8,21),-0.568446 # DEPENDENCYPART_ARC
(8,22),-1.45794 # DEPENDENCYPART_ARC
(8,23),-1.49867 # DEPENDENCYPART_ARC
(8,24),-1.83111 # DEPENDENCYPART_ARC
(8,25),-1.92417 # DEPENDENCYPART_ARC
(8,26),-2.04401 # DEPENDENCYPART_ARC
(8,27),0.975623 # DEPENDENCYPART_ARC
(9,1),-1.69098 # DEPENDENCYPART_ARC
(9,2),-1.58192 # DEPENDENCYPART_ARC
(9,3),-2.10361 # DEPENDENCYPART_ARC
(9,4),-1.37969 # DEPENDENCYPART_ARC
(9,5),0.0697929 # DEPENDENCYPART_ARC
(9,6),-0.669418 # DEPENDENCYPART_ARC
(9,7),-0.609814 # DEPENDENCYPART_ARC
(9,8),0.346975 # DEPENDENCYPART_ARC
(9,10),0.578865 # DEPENDENCYPART_ARC
(9,11),2.14515 # DEPENDENCYPART_ARC
(9,12),0.141675 # DEPENDENCYPART_ARC
(9,13),1.01081 # DEPENDENCYPART_ARC
(9,14),3.47308 # DEPENDENCYPART_ARC
(9,15),0.39719 # DEPENDENCYPART_ARC
(9,16),-0.666965 # DEPENDENCYPART_ARC
(9,17),0.0273434 # DEPENDENCYPART_ARC
(9,18),-0.981441 # DEPENDENCYPART_ARC
(9,19),-0.673804 # DEPENDENCYPART_ARC
(9,20),-2.37526 # DEPENDENCYPART_ARC
(9,21),-3.26447 # DEPENDENCYPART_ARC
(9,22),-0.572806 # DEPENDENCYPART_ARC
(9,23),-1.95656 # DEPENDENCYPART_ARC
(9,24),-1.91832 # DEPENDENCYPART_ARC
(9,25),-6.00171 # DEPENDENCYPART_ARC
(9,26),-4.58553 # DEPENDENCYPART_ARC
(9,27),0.449557 # DEPENDENCYPART_ARC
(10,1),-2.30792 # DEPENDENCYPART_ARC
(10,2),-2.75832 # DEPENDENCYPART_ARC
(10,3),-3.02091 # DEPENDENCYPART_ARC
(10,4),-2.43875 # DEPENDENCYPART_ARC
(10,5),-1.4092 # DEPENDENCYPART_ARC
(10,6),-2.27398 # DEPENDENCYPART_ARC
(10,7),-1.37252 # DEPENDENCYPART_ARC
(10,8),-2.02826 # DEPENDENCYPART_ARC
(10,9),-1.14474 # DEPENDENCYPART_ARC
(10,11),-0.172467 # DEPENDENCYPART_ARC
(10,12),-0.627974 # DEPENDENCYPART_ARC
(10,13),-1.0884 # DEPENDENCYPART_ARC
(10,14),-1.25216 # DEPENDENCYPART_ARC
(10,15),-1.86597 # DEPENDENCYPART_ARC
(10,16),-1.74845 # DEPENDENCYPART_ARC
(10,17),-1.42903 # DEPENDENCYPART_ARC
(10,18),-3.20063 # DEPENDENCYPART_ARC
(10,19),-2.30819 # DEPENDENCYPART_ARC
(10,20),-2.90197 # DEPENDENCYPART_ARC
(10,21),-2.41068 # DEPENDENCYPART_ARC
(10,22),-1.9352 # DEPENDENCYPART_ARC
(10,23),-2.61584 # DEPENDENCYPART_ARC
(10,24),-2.59924 # DEPENDENCYPART_ARC
(10,25),-3.42393 # DEPENDENCYPART_ARC
(10,26),-3.52429 # DEPENDENCYPART_ARC
(10,27),-2.18282 # DEPENDENCYPART_ARC
(11,1),0.0807639 # DEPENDENCYPART_ARC
(11,2),-0.806263 # DEPENDENCYPART_ARC
(11,3),-0.952065 # DEPENDENCYPART_ARC
(11,4),-1.22364 # DEPENDENCYPART_ARC
(11,5),0.0252797 # DEPENDENCYPART_ARC
(11,6),-0.934645 # DEPENDENCYPART_ARC
(11,7),0.372485 # DEPENDENCYPART_ARC
(11,8),0.602075 # DEPENDENCYPART_ARC
(11,9),0.784917 # DEPENDENCYPART_ARC
(11,10),3.34973 # DEPENDENCYPART_ARC
(11,12),4.05122 # DEPENDENCYPART_ARC
(11,13),1.59661 # DEPENDENCYPART_ARC
(11,14),0.989642 # DEPENDENCYPART_ARC
(11,15),1.04108 # DEPENDENCYPART_ARC
(11,16),0.852043 # DEPENDENCYPART_ARC
(11,17),0.510434 # DEPENDENCYPART_ARC
(11,18),-0.268826 # DEPENDENCYPART_ARC
(11,19),-0.595954 # DEPENDENCYPART_ARC
(11,20),-0.349086 # DEPENDENCYPART_ARC
(11,21),-0.417111 # DEPENDENCYPART_ARC
(11,22),-0.0238423 # DEPENDENCYPART_ARC
(11,23),-0.796855 # DEPENDENCYPART_ARC
(11,24),-0.543062 # DEPENDENCYPART_ARC
(11,25),-1.01445 # DEPENDENCYPART_ARC
(11,26),-0.552641 # DEPENDENCYPART_ARC
(11,27),0.921785 # DEPENDENCYPART_ARC
(12,1),-1.66306 # DEPENDENCYPART_ARC
(12,2),-1.64042 # DEPENDENCYPART_ARC
(12,3),-1.08896 # DEPENDENCYPART_ARC
(12,4),-1.67975 # DEPENDENCYPART_ARC
(12,5),-0.757964 # DEPENDENCYPART_ARC
(12,6),-0.873106 # DEPENDENCYPART_ARC
(12,7),-1.12217 # DEPENDENCYPART_ARC
(12,8),-0.529821 # DEPENDENCYPART_ARC
(12,9),-0.317699 # DEPENDENCYPART_ARC
(12,10),-0.127569 # DEPENDENCYPART_ARC
(12,11),0.0442294 # DEPENDENCYPART_ARC
(12,13),3.80936 # DEPENDENCYPART_ARC
(12,14),3.5416 # DEPENDENCYPART_ARC
(12,15),1.29007 # DEPENDENCYPART_ARC
(12,16),1.65341 # DEPENDENCYPART_ARC
(12,17),-0.352392 # DEPENDENCYPART_ARC
(12,18),-0.211657 # DEPENDENCYPART_ARC
(12,19),-0.630679 # DEPENDENCYPART_ARC
(12,20),-0.647364 # DEPENDENCYPART_ARC
(12,21),-2.12536 # DEPENDENCYPART_ARC
(12,22),0.0400125 # DEPENDENCYPART_ARC
(12,23),-1.18972 # DEPENDENCYPART_ARC
(12,24),-1.13114 # DEPENDENCYPART_ARC
(12,25),-2.1987 # DEPENDENCYPART_ARC
(12,26),-2.62452 # DEPENDENCYPART_ARC
(12,27),0.197056 # DEPENDENCYPART_ARC
(13,1),-4.40828 # DEPENDENCYPART_ARC
(13,2),-3.09652 # DEPENDENCYPART_ARC
(13,3),-4.9327 # DEPENDENCYPART_ARC
(13,4),-2.92682 # DEPENDENCYPART_ARC
(13,5),-2.83918 # DEPENDENCYPART_ARC
(13,6),-2.99966 # DEPENDENCYPART_ARC
(13,7),-1.99954 # DEPENDENCYPART_ARC
(13,8),-2.851 # DEPENDENCYPART_ARC
(13,9),-1.75626 # DEPENDENCYPART_ARC
(13,10),0.306645 # DEPENDENCYPART_ARC
(13,11),0.39244 # DEPENDENCYPART_ARC
(13,12),-0.334964 # DEPENDENCYPART_ARC
(13,14),1.28932 # DEPENDENCYPART_ARC
(13,15),0.16716 # DEPENDENCYPART_ARC
(13,16),-0.476758 # DEPENDENCYPART_ARC
(13,17),-0.881713 # DEPENDENCYPART_ARC
(13,18),-1.54434 # DEPENDENCYPART_ARC
(13,19),-0.913211 # DEPENDENCYPART_ARC
(13,20),-1.32943 # DEPENDENCYPART_ARC
(13,21),-1.18847 # DEPENDENCYPART_ARC
(13,22),-1.67977 # DEPENDENCYPART_ARC
(13,23),-1.83413 # DEPENDENCYPART_ARC
(13,24),-2.2032 # DEPENDENCYPART_ARC
(13,25),-2.08692 # DEPENDENCYPART_ARC
(13,26),-2.3199 # DEPENDENCYPART_ARC
(13,27),-0.462699 # DEPENDENCYPART_ARC
(14,1),-1.28808 # DEPENDENCYPART_ARC
(14,2),-0.656139 # DEPENDENCYPART_ARC
(14,3),-2.63789 # DEPENDENCYPART_ARC
(14,4),-1.14039 # DEPENDENCYPART_ARC
(14,5),-0.459567 # DEPENDENCYPART_ARC
(14,6),-0.619606 # DEPENDENCYPART_ARC
(14,7),0.176634 # DEPENDENCYPART_ARC
(14,8),-1.22734 # DEPENDENCYPART_ARC
(14,9),-0.120531 # DEPENDENCYPART_ARC
(14,10),3.31475 # DEPENDENCYPART_ARC
(14,11),2.63026 # DEPENDENCYPART_ARC
(14,12),0.626921 # DEPENDENCYPART_ARC
(14,13),4.54474 # DEPENDENCYPART_ARC
(14,15),0.437445 # DEPENDENCYPART_ARC
(14,16),-0.377987 # DEPENDENCYPART_ARC
(14,17),-0.891427 # DEPENDENCYPART_ARC
(14,18),-2.15516 # DEPENDENCYPART_ARC
(14,19),-1.04507 # DEPENDENCYPART_ARC
(14,20),-1.91264 # DEPENDENCYPART_ARC
(14,21),-1.69039 # DEPENDENCYPART_ARC
(14,22),-1.80953 # DEPENDENCYPART_ARC
(14,23),-2.2494 # DEPENDENCYPART_ARC
(14,24),-2.53169 # DEPENDENCYPART_ARC
(14,25),-2.24721 # DEPENDENCYPART_ARC
(14,26),-2.78447 # DEPENDENCYPART_ARC
(14,27),-0.732317 # DEPENDENCYPART_ARC
(15,1),-2.30258 # DEPENDENCYPART_ARC
(15,2),-2.46235 # DEPENDENCYPART_ARC
(15,3),-2.06353 # DEPENDENCYPART_ARC
(15,4),-0.566729 # DEPENDENCYPART_ARC
(15,5),-1.56774 # DEPENDENCYPART_ARC
(15,6),-1.98309 # DEPENDENCYPART_ARC
(15,7),-1.96657 # DEPENDENCYPART_ARC
(15,8),-1.14488 # DEPENDENCYPART_ARC
(15,9),-1.47876 # DEPENDENCYPART_ARC
(15,10),-1.19783 # DEPENDENCYPART_ARC
(15,11),-1.42582 # DEPENDENCYPART_ARC
(15,12),-1.41998 # DEPENDENCYPART_ARC
(15,13),-1.45034 # DEPENDENCYPART_ARC
(15,14),-0.912092 # DEPENDENCYPART_ARC
(15,16),-0.465744 # DEPENDENCYPART_ARC
(15,17),-1.6312 # DEPENDENCYPART_ARC
(15,18),-2.02464 # DEPENDENCYPART_ARC
(15,19),-2.28902 # DEPENDENCYPART_ARC
(15,20),-2.45918 # DEPENDENCYPART_ARC
(15,21),-2.79268 # DEPENDENCYPART_ARC
(15,22),-2.10218 # DEPENDENCYPART_ARC
(15,23),-3.09668 # DEPENDENCYPART_ARC
(15,24),-3.17193 # DEPENDENCYPART_ARC
(15,25),-2.87922 # DEPENDENCYPART_ARC
(15,26),-3.22592 # DEPENDENCYPART_ARC
(15,27),-2.30917 # DEPENDENCYPART_ARC
(16,1),-1.79586 # DEPENDENCYPART_ARC
(16,2),0.0660438 # DEPENDENCYPART_ARC
(16,3),1.35072 # DEPENDENCYPART_ARC
(16,4),-0.0461438 # DEPENDENCYPART_ARC
(16,5),-0.536488 # DEPENDENCYPART_ARC
(16,6),-0.391619 # DEPENDENCYPART_ARC
(16,7),-0.390795 # DEPENDENCYPART_ARC
(16,8),0.729157 # DEPENDENCYPART_ARC
(16,9),-0.174246 # DEPENDENCYPART_ARC
(16,10),-0.493408 # DEPENDENCYPART_ARC
(16,11),0.565502 # DEPENDENCYPART_ARC
(16,12),0.999624 # DEPENDENCYPART_ARC
(16,13),1.80401 # DEPENDENCYPART_ARC
(16,14),1.35645 # DEPENDENCYPART_ARC
(16,15),1.70278 # DEPENDENCYPART_ARC
(16,17),3.06243 # DEPENDENCYPART_ARC
(16,18),1.24593 # DEPENDENCYPART_ARC
(16,19),0.653206 # DEPENDENCYPART_ARC
(16,20),-0.339677 # DEPENDENCYPART_ARC
(16,21),0.544819 # DEPENDENCYPART_ARC
(16,22),1.19084 # DEPENDENCYPART_ARC
(16,23),-0.401721 # DEPENDENCYPART_ARC
(16,24),-0.255508 # DEPENDENCYPART_ARC
(16,25),-1.52908 # DEPENDENCYPART_ARC
(16,26),0.246219 # DEPENDENCYPART_ARC
(16,27),6.75267 # DEPENDENCYPART_ARC
(17,1),-2.86707 # DEPENDENCYPART_ARC
(17,2),-2.97044 # DEPENDENCYPART_ARC
(17,3),-4.05826 # DEPENDENCYPART_ARC
(17,4),-2.4859 # DEPENDENCYPART_ARC
(17,5),-1.40357 # DEPENDENCYPART_ARC
(17,6),-2.49639 # DEPENDENCYPART_ARC
(17,7),-2.10297 # DEPENDENCYPART_ARC
(17,8),-2.75556 # DEPENDENCYPART_ARC
(17,9),-1.76647 # DEPENDENCYPART_ARC
(17,10),-1.35324 # DEPENDENCYPART_ARC
(17,11),-1.82459 # DEPENDENCYPART_ARC
(17,12),-1.94359 # DEPENDENCYPART_ARC
(17,13),-1.84818 # DEPENDENCYPART_ARC
(17,14),-1.91698 # DEPENDENCYPART_ARC
(17,15),-0.761063 # DEPENDENCYPART_ARC
(17,16),-0.403065 # DEPENDENCYPART_ARC
(17,18),3.15155 # DEPENDENCYPART_ARC
(17,19),1.6351 # DEPENDENCYPART_ARC
(17,20),-0.524138 # DEPENDENCYPART_ARC
(17,21),0.564756 # DEPENDENCYPART_ARC
(17,22),0.706342 # DEPENDENCYPART_ARC
(17,23),-0.905757 # DEPENDENCYPART_ARC
(17,24),-0.984758 # DEPENDENCYPART_ARC
(17,25),-1.66844 # DEPENDENCYPART_ARC
(17,26),-0.572356 # DEPENDENCYPART_ARC
(17,27),0.676279 # DEPENDENCYPART_ARC
(18,1),-2.34829 # DEPENDENCYPART_ARC
(18,2),-3.09906 # DEPENDENCYPART_ARC
(18,3),-3.53881 # DEPENDENCYPART_ARC
(18,4),-2.87551 # DEPENDENCYPART_ARC
(18,5),-2.03914 # DEPENDENCYPART_ARC
(18,6),-2.61783 # DEPENDENCYPART_ARC
(18,7),-2.37574 # DEPENDENCYPART_ARC
(18,8),-2.62177 # DEPENDENCYPART_ARC
(18,9),-2.34596 # DEPENDENCYPART_ARC
(18,10),-0.609744 # DEPENDENCYPART_ARC
(18,11),-1.65601 # DEPENDENCYPART_ARC
(18,12),-2.09616 # DEPENDENCYPART_ARC
(18,13),-1.22578 # DEPENDENCYPART_ARC
(18,14),-1.35988 # DEPENDENCYPART_ARC
(18,15),-0.82959 # DEPENDENCYPART_ARC
(18,16),-0.433561 # DEPENDENCYPART_ARC
(18,17),1.55036 # DEPENDENCYPART_ARC
(18,19),4.87859 # DEPENDENCYPART_ARC
(18,20),2.32902 # DEPENDENCYPART_ARC
(18,21),3.71946 # DEPENDENCYPART_ARC
(18,22),1.37677 # DEPENDENCYPART_ARC
(18,23),0.724172 # DEPENDENCYPART_ARC
(18,24),1.28885 # DEPENDENCYPART_ARC
(18,25),-0.121225 # DEPENDENCYPART_ARC
(18,26),0.471287 # DEPENDENCYPART_ARC
(18,27),0.669109 # DEPENDENCYPART_ARC
(19,1),-1.60292 # DEPENDENCYPART_ARC
(19,2),-1.94414 # DEPENDENCYPART_ARC
(19,3),-3.14505 # DEPENDENCYPART_ARC
(19,4),-2.0619 # DEPENDENCYPART_ARC
(19,5),-1.85353 # DEPENDENCYPART_ARC
(19,6),-2.31718 # DEPENDENCYPART_ARC
(19,7),-1.6269 # DEPENDENCYPART_ARC
(19,8),-2.47852 # DEPENDENCYPART_ARC
(19,9),-1.39767 # DEPENDENCYPART_ARC
(19,10),-0.32563 # DEPENDENCYPART_ARC
(19,11),-0.932518 # DEPENDENCYPART_ARC
(19,12),-1.84916 # DEPENDENCYPART_ARC
(19,13),-1.67055 # DEPENDENCYPART_ARC
(19,14),-1.30319 # DEPENDENCYPART_ARC
