# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,14,17,14,17,20,23,20,23,18,17,24,28,26,25,6,
(2,15),0.839337 # DEPENDENCYPART_ARC
(2,16),-1.92806 # DEPENDENCYPART_ARC
(2,17),-1.13221 # DEPENDENCYPART_ARC
(2,18),-1.04433 # DEPENDENCYPART_ARC
(2,19),-1.71815 # DEPENDENCYPART_ARC
(2,20),-0.96666 # DEPENDENCYPART_ARC
(2,21),-1.79863 # DEPENDENCYPART_ARC
(2,22),-1.2467 # DEPENDENCYPART_ARC
(2,23),-1.25695 # DEPENDENCYPART_ARC
(2,24),-2.23672 # DEPENDENCYPART_ARC
(2,25),-2.25219 # DEPENDENCYPART_ARC
(2,26),-1.58826 # DEPENDENCYPART_ARC
(2,27),-2.44887 # DEPENDENCYPART_ARC
(2,28),-2.05566 # DEPENDENCYPART_ARC
(2,29),-1.00805 # DEPENDENCYPART_ARC
(3,1),-0.115503 # DEPENDENCYPART_ARC
(3,2),2.08528 # DEPENDENCYPART_ARC
(3,4),3.41917 # DEPENDENCYPART_ARC
(3,5),0.706341 # DEPENDENCYPART_ARC
(3,6),0.760543 # DEPENDENCYPART_ARC
(3,7),-0.50519 # DEPENDENCYPART_ARC
(3,8),-0.482514 # DEPENDENCYPART_ARC
(3,9),-0.585789 # DEPENDENCYPART_ARC
(3,10),0.441345 # DEPENDENCYPART_ARC
(3,11),-1.85878 # DEPENDENCYPART_ARC
(3,12),-1.47751 # DEPENDENCYPART_ARC
(3,13),-2.04313 # DEPENDENCYPART_ARC
(3,14),-1.71533 # DEPENDENCYPART_ARC
(3,15),0.192611 # DEPENDENCYPART_ARC
(3,16),-2.72197 # DEPENDENCYPART_ARC
(3,17),-0.861279 # DEPENDENCYPART_ARC
(3,18),-1.23823 # DEPENDENCYPART_ARC
(3,19),-2.60103 # DEPENDENCYPART_ARC
(3,20),-5.05909 # DEPENDENCYPART_ARC
(3,21),-2.66303 # DEPENDENCYPART_ARC
(3,22),-5.4005 # DEPENDENCYPART_ARC
(3,23),-4.58651 # DEPENDENCYPART_ARC
(3,24),-2.01072 # DEPENDENCYPART_ARC
(3,25),-2.00905 # DEPENDENCYPART_ARC
(3,26),-3.84874 # DEPENDENCYPART_ARC
(3,27),-3.22919 # DEPENDENCYPART_ARC
(3,28),-5.7635 # DEPENDENCYPART_ARC
(3,29),0.317835 # DEPENDENCYPART_ARC
(4,1),0.117965 # DEPENDENCYPART_ARC
(4,2),-0.0543146 # DEPENDENCYPART_ARC
(4,3),-0.0915123 # DEPENDENCYPART_ARC
(4,5),3.64476 # DEPENDENCYPART_ARC
(4,6),1.99738 # DEPENDENCYPART_ARC
(4,7),0.759849 # DEPENDENCYPART_ARC
(4,8),1.48766 # DEPENDENCYPART_ARC
(4,9),1.67125 # DEPENDENCYPART_ARC
(4,10),0.376391 # DEPENDENCYPART_ARC
(4,11),-0.979426 # DEPENDENCYPART_ARC
(4,12),-0.757227 # DEPENDENCYPART_ARC
(4,13),-1.29196 # DEPENDENCYPART_ARC
(4,14),-0.204307 # DEPENDENCYPART_ARC
(4,15),0.00775815 # DEPENDENCYPART_ARC
(4,16),-1.75563 # DEPENDENCYPART_ARC
(4,17),-1.73152 # DEPENDENCYPART_ARC
(4,18),-4.85977 # DEPENDENCYPART_ARC
(4,19),-3.50822 # DEPENDENCYPART_ARC
(4,20),-6.675 # DEPENDENCYPART_ARC
(4,21),-3.17973 # DEPENDENCYPART_ARC
(4,22),-5.96788 # DEPENDENCYPART_ARC
(4,23),-5.84534 # DEPENDENCYPART_ARC
(4,24),-6.46762 # DEPENDENCYPART_ARC
(4,25),-1.89376 # DEPENDENCYPART_ARC
(4,26),-12.7346 # DEPENDENCYPART_ARC
(4,27),-4.28307 # DEPENDENCYPART_ARC
(4,28),-7.61221 # DEPENDENCYPART_ARC
(4,29),-1.4817 # DEPENDENCYPART_ARC
(5,1),-1.21867 # DEPENDENCYPART_ARC
(5,2),-0.160683 # DEPENDENCYPART_ARC
(5,3),0.671559 # DEPENDENCYPART_ARC
(5,4),0.791931 # DEPENDENCYPART_ARC
(5,6),0.563508 # DEPENDENCYPART_ARC
(5,7),-0.928973 # DEPENDENCYPART_ARC
(5,8),-1.03127 # DEPENDENCYPART_ARC
(5,9),-1.12104 # DEPENDENCYPART_ARC
(5,10),-0.355014 # DEPENDENCYPART_ARC
(5,11),-1.2174 # DEPENDENCYPART_ARC
(5,12),-0.628342 # DEPENDENCYPART_ARC
(5,13),-1.82465 # DEPENDENCYPART_ARC
(5,14),-2.09773 # DEPENDENCYPART_ARC
(5,15),-0.57909 # DEPENDENCYPART_ARC
(5,16),-2.94374 # DEPENDENCYPART_ARC
(5,17),-1.21903 # DEPENDENCYPART_ARC
(5,18),-1.91915 # DEPENDENCYPART_ARC
(5,19),-2.77929 # DEPENDENCYPART_ARC
(5,20),-3.52845 # DEPENDENCYPART_ARC
(5,21),-2.79168 # DEPENDENCYPART_ARC
(5,22),-3.17368 # DEPENDENCYPART_ARC
(5,23),-3.10391 # DEPENDENCYPART_ARC
(5,24),-2.95237 # DEPENDENCYPART_ARC
(5,25),-2.16463 # DEPENDENCYPART_ARC
(5,26),-2.75578 # DEPENDENCYPART_ARC
(5,27),-4.33816 # DEPENDENCYPART_ARC
(5,28),-3.57129 # DEPENDENCYPART_ARC
(5,29),-1.91362 # DEPENDENCYPART_ARC
(6,1),1.62251 # DEPENDENCYPART_ARC
(6,2),1.02943 # DEPENDENCYPART_ARC
(6,3),1.721 # DEPENDENCYPART_ARC
(6,4),1.08554 # DEPENDENCYPART_ARC
(6,5),2.53477 # DEPENDENCYPART_ARC
(6,7),2.10901 # DEPENDENCYPART_ARC
(6,8),2.14049 # DEPENDENCYPART_ARC
(6,9),2.57823 # DEPENDENCYPART_ARC
(6,10),1.2105 # DEPENDENCYPART_ARC
(6,11),2.02249 # DEPENDENCYPART_ARC
(6,12),0.840049 # DEPENDENCYPART_ARC
(6,13),-0.484944 # DEPENDENCYPART_ARC
(6,14),0.697207 # DEPENDENCYPART_ARC
(6,15),0.868118 # DEPENDENCYPART_ARC
(6,16),-0.671435 # DEPENDENCYPART_ARC
(6,17),0.0967906 # DEPENDENCYPART_ARC
(6,18),0.266045 # DEPENDENCYPART_ARC
(6,19),-1.83963 # DEPENDENCYPART_ARC
(6,20),-1.68257 # DEPENDENCYPART_ARC
(6,21),-0.585464 # DEPENDENCYPART_ARC
(6,22),-1.58182 # DEPENDENCYPART_ARC
(6,23),-1.29862 # DEPENDENCYPART_ARC
(6,24),-1.4155 # DEPENDENCYPART_ARC
(6,25),-1.00137 # DEPENDENCYPART_ARC
(6,26),-1.05299 # DEPENDENCYPART_ARC
(6,27),-1.25269 # DEPENDENCYPART_ARC
(6,28),-2.93113 # DEPENDENCYPART_ARC
(6,29),5.3542 # DEPENDENCYPART_ARC
(7,1),-3.52146 # DEPENDENCYPART_ARC
(7,2),-2.40788 # DEPENDENCYPART_ARC
(7,3),-2.0217 # DEPENDENCYPART_ARC
(7,4),-2.27282 # DEPENDENCYPART_ARC
(7,5),-1.11536 # DEPENDENCYPART_ARC
(7,6),-1.30173 # DEPENDENCYPART_ARC
(7,8),0.600922 # DEPENDENCYPART_ARC
(7,9),0.481009 # DEPENDENCYPART_ARC
(7,10),0.094136 # DEPENDENCYPART_ARC
(7,11),0.0532484 # DEPENDENCYPART_ARC
(7,12),-0.569911 # DEPENDENCYPART_ARC
(7,13),-2.18591 # DEPENDENCYPART_ARC
(7,14),-1.43038 # DEPENDENCYPART_ARC
(7,15),-0.457262 # DEPENDENCYPART_ARC
(7,16),-3.0285 # DEPENDENCYPART_ARC
(7,17),-0.790031 # DEPENDENCYPART_ARC
(7,18),-2.66645 # DEPENDENCYPART_ARC
(7,19),-2.1301 # DEPENDENCYPART_ARC
(7,20),-3.29598 # DEPENDENCYPART_ARC
(7,21),-3.18103 # DEPENDENCYPART_ARC
(7,22),-3.85676 # DEPENDENCYPART_ARC
(7,23),-4.11475 # DEPENDENCYPART_ARC
(7,24),-3.0941 # DEPENDENCYPART_ARC
(7,25),-3.5623 # DEPENDENCYPART_ARC
(7,26),-5.5199 # DEPENDENCYPART_ARC
(7,27),-4.46065 # DEPENDENCYPART_ARC
(7,28),-3.62111 # DEPENDENCYPART_ARC
(7,29),-2.66263 # DEPENDENCYPART_ARC
(8,1),-2.23695 # DEPENDENCYPART_ARC
(8,2),-1.35882 # DEPENDENCYPART_ARC
(8,3),-0.304572 # DEPENDENCYPART_ARC
(8,4),-1.22743 # DEPENDENCYPART_ARC
(8,5),0.536032 # DEPENDENCYPART_ARC
(8,6),-0.134153 # DEPENDENCYPART_ARC
(8,7),3.83227 # DEPENDENCYPART_ARC
(8,9),2.32397 # DEPENDENCYPART_ARC
(8,10),1.94208 # DEPENDENCYPART_ARC
(8,11),2.16972 # DEPENDENCYPART_ARC
(8,12),0.87395 # DEPENDENCYPART_ARC
(8,13),-0.457664 # DEPENDENCYPART_ARC
(8,14),0.477796 # DEPENDENCYPART_ARC
(8,15),1.71561 # DEPENDENCYPART_ARC
(8,16),-1.63928 # DEPENDENCYPART_ARC
(8,17),0.953598 # DEPENDENCYPART_ARC
(8,18),-1.2272 # DEPENDENCYPART_ARC
(8,19),-0.817185 # DEPENDENCYPART_ARC
(8,20),-2.07718 # DEPENDENCYPART_ARC
(8,21),-1.60176 # DEPENDENCYPART_ARC
(8,22),-2.49079 # DEPENDENCYPART_ARC
(8,23),-2.50352 # DEPENDENCYPART_ARC
(8,24),-1.84797 # DEPENDENCYPART_ARC
(8,25),-2.06743 # DEPENDENCYPART_ARC
(8,26),-4.06076 # DEPENDENCYPART_ARC
(8,27),-2.86413 # DEPENDENCYPART_ARC
(8,28),-2.21565 # DEPENDENCYPART_ARC
(8,29),-0.77259 # DEPENDENCYPART_ARC
(9,1),-0.000606669 # DEPENDENCYPART_ARC
(9,2),1.37285 # DEPENDENCYPART_ARC
(9,3),1.72482 # DEPENDENCYPART_ARC
(9,4),0.950054 # DEPENDENCYPART_ARC
(9,5),2.9277 # DEPENDENCYPART_ARC
(9,6),1.75341 # DEPENDENCYPART_ARC
(9,7),6.165 # DEPENDENCYPART_ARC
(9,8),5.47197 # DEPENDENCYPART_ARC
(9,10),3.72673 # DEPENDENCYPART_ARC
(9,11),3.50516 # DEPENDENCYPART_ARC
(9,12),2.01369 # DEPENDENCYPART_ARC
(9,13),0.54603 # DEPENDENCYPART_ARC
(9,14),2.03268 # DEPENDENCYPART_ARC
(9,15),3.33196 # DEPENDENCYPART_ARC
(9,16),-0.540262 # DEPENDENCYPART_ARC
(9,17),2.3544 # DEPENDENCYPART_ARC
(9,18),-0.0557185 # DEPENDENCYPART_ARC
(9,19),0.318671 # DEPENDENCYPART_ARC
(9,20),-1.11868 # DEPENDENCYPART_ARC
(9,21),-0.184397 # DEPENDENCYPART_ARC
(9,22),-1.22519 # DEPENDENCYPART_ARC
(9,23),-1.26203 # DEPENDENCYPART_ARC
(9,24),-0.726151 # DEPENDENCYPART_ARC
(9,25),-0.974571 # DEPENDENCYPART_ARC
(9,26),-2.97183 # DEPENDENCYPART_ARC
(9,27),-1.41069 # DEPENDENCYPART_ARC
(9,28),-1.31198 # DEPENDENCYPART_ARC
(9,29),-0.179091 # DEPENDENCYPART_ARC
(10,1),-2.36854 # DEPENDENCYPART_ARC
(10,2),-1.99781 # DEPENDENCYPART_ARC
(10,3),-1.94235 # DEPENDENCYPART_ARC
(10,4),-1.95992 # DEPENDENCYPART_ARC
(10,5),-2.29264 # DEPENDENCYPART_ARC
(10,6),-2.02734 # DEPENDENCYPART_ARC
(10,7),-1.94376 # DEPENDENCYPART_ARC
(10,8),-2.08793 # DEPENDENCYPART_ARC
(10,9),-1.4969 # DEPENDENCYPART_ARC
(10,11),-0.751999 # DEPENDENCYPART_ARC
(10,12),-1.17822 # DEPENDENCYPART_ARC
(10,13),-1.2296 # DEPENDENCYPART_ARC
(10,14),-1.52962 # DEPENDENCYPART_ARC
(10,15),-0.603308 # DEPENDENCYPART_ARC
(10,16),-2.69296 # DEPENDENCYPART_ARC
(10,17),-1.70276 # DEPENDENCYPART_ARC
(10,18),-2.07161 # DEPENDENCYPART_ARC
(10,19),-2.41859 # DEPENDENCYPART_ARC
(10,20),-2.83881 # DEPENDENCYPART_ARC
(10,21),-2.56248 # DEPENDENCYPART_ARC
(10,22),-3.00702 # DEPENDENCYPART_ARC
(10,23),-3.07816 # DEPENDENCYPART_ARC
(10,24),-2.75725 # DEPENDENCYPART_ARC
(10,25),-2.58672 # DEPENDENCYPART_ARC
(10,26),-3.37815 # DEPENDENCYPART_ARC
(10,27),-3.17863 # DEPENDENCYPART_ARC
(10,28),-3.56267 # DEPENDENCYPART_ARC
(10,29),-2.76264 # DEPENDENCYPART_ARC
(11,1),-0.946208 # DEPENDENCYPART_ARC
(11,2),-0.0659146 # DEPENDENCYPART_ARC
(11,3),0.917953 # DEPENDENCYPART_ARC
(11,4),-0.256805 # DEPENDENCYPART_ARC
(11,5),-0.0487475 # DEPENDENCYPART_ARC
(11,6),-0.340484 # DEPENDENCYPART_ARC
(11,7),2.39658 # DEPENDENCYPART_ARC
(11,8),1.96349 # DEPENDENCYPART_ARC
(11,9),1.35374 # DEPENDENCYPART_ARC
(11,10),1.23376 # DEPENDENCYPART_ARC
(11,12),4.66723 # DEPENDENCYPART_ARC
(11,13),0.814534 # DEPENDENCYPART_ARC
(11,14),1.30449 # DEPENDENCYPART_ARC
(11,15),1.70506 # DEPENDENCYPART_ARC
(11,16),-0.646917 # DEPENDENCYPART_ARC
(11,17),1.52946 # DEPENDENCYPART_ARC
(11,18),0.440416 # DEPENDENCYPART_ARC
(11,19),-0.359259 # DEPENDENCYPART_ARC
(11,20),-0.588933 # DEPENDENCYPART_ARC
(11,21),0.0557483 # DEPENDENCYPART_ARC
(11,22),-0.356949 # DEPENDENCYPART_ARC
(11,23),-0.33939 # DEPENDENCYPART_ARC
(11,24),-0.611762 # DEPENDENCYPART_ARC
(11,25),-0.27731 # DEPENDENCYPART_ARC
(11,26),0.0614665 # DEPENDENCYPART_ARC
(11,27),-1.38325 # DEPENDENCYPART_ARC
(11,28),-1.24521 # DEPENDENCYPART_ARC
(11,29),0.369271 # DEPENDENCYPART_ARC
(12,1),-2.19778 # DEPENDENCYPART_ARC
(12,2),-1.66538 # DEPENDENCYPART_ARC
(12,3),-1.83403 # DEPENDENCYPART_ARC
(12,4),-1.40005 # DEPENDENCYPART_ARC
(12,5),-1.35412 # DEPENDENCYPART_ARC
(12,6),-1.19857 # DEPENDENCYPART_ARC
(12,7),-0.813516 # DEPENDENCYPART_ARC
(12,8),-0.747904 # DEPENDENCYPART_ARC
(12,9),-0.534881 # DEPENDENCYPART_ARC
(12,10),-0.327012 # DEPENDENCYPART_ARC
(12,11),0.803262 # DEPENDENCYPART_ARC
(12,13),3.28048 # DEPENDENCYPART_ARC
(12,14),3.70927 # DEPENDENCYPART_ARC
(12,15),0.886562 # DEPENDENCYPART_ARC
(12,16),0.168409 # DEPENDENCYPART_ARC
(12,17),0.679007 # DEPENDENCYPART_ARC
(12,18),-0.966537 # DEPENDENCYPART_ARC
(12,19),-1.62808 # DEPENDENCYPART_ARC
(12,20),-2.62238 # DEPENDENCYPART_ARC
(12,21),-1.13856 # DEPENDENCYPART_ARC
(12,22),-1.83736 # DEPENDENCYPART_ARC
(12,23),-1.73457 # DEPENDENCYPART_ARC
(12,24),-3.03741 # DEPENDENCYPART_ARC
(12,25),-1.26671 # DEPENDENCYPART_ARC
(12,26),-7.76901 # DEPENDENCYPART_ARC
(12,27),-1.96339 # DEPENDENCYPART_ARC
(12,28),-2.86596 # DEPENDENCYPART_ARC
(12,29),-1.21562 # DEPENDENCYPART_ARC
(13,1),-4.34186 # DEPENDENCYPART_ARC
(13,2),-4.4706 # DEPENDENCYPART_ARC
(13,3),-2.34856 # DEPENDENCYPART_ARC
(13,4),-3.64619 # DEPENDENCYPART_ARC
(13,5),-2.86483 # DEPENDENCYPART_ARC
(13,6),-2.88541 # DEPENDENCYPART_ARC
(13,7),-1.15756 # DEPENDENCYPART_ARC
(13,8),-1.34106 # DEPENDENCYPART_ARC
(13,9),-1.58998 # DEPENDENCYPART_ARC
(13,10),-1.40208 # DEPENDENCYPART_ARC
(13,11),-1.28255 # DEPENDENCYPART_ARC
(13,12),-0.318063 # DEPENDENCYPART_ARC
(13,14),2.67755 # DEPENDENCYPART_ARC
(13,15),1.38666 # DEPENDENCYPART_ARC
(13,16),-1.06403 # DEPENDENCYPART_ARC
(13,17),0.560742 # DEPENDENCYPART_ARC
(13,18),-0.719727 # DEPENDENCYPART_ARC
(13,19),-0.484733 # DEPENDENCYPART_ARC
(13,20),-1.15076 # DEPENDENCYPART_ARC
(13,21),-0.554922 # DEPENDENCYPART_ARC
(13,22),-1.40893 # DEPENDENCYPART_ARC
(13,23),-1.49536 # DEPENDENCYPART_ARC
(13,24),-1.4257 # DEPENDENCYPART_ARC
(13,25),-1.89959 # DEPENDENCYPART_ARC
(13,26),-3.4393 # DEPENDENCYPART_ARC
(13,27),-1.75518 # DEPENDENCYPART_ARC
(13,28),-2.24739 # DEPENDENCYPART_ARC
(13,29),-1.6467 # DEPENDENCYPART_ARC
(14,1),-2.88443 # DEPENDENCYPART_ARC
(14,2),-2.00887 # DEPENDENCYPART_ARC
(14,3),-0.873036 # DEPENDENCYPART_ARC
(14,4),-2.22925 # DEPENDENCYPART_ARC
(14,5),-0.821788 # DEPENDENCYPART_ARC
(14,6),-1.37324 # DEPENDENCYPART_ARC
(14,7),1.65419 # DEPENDENCYPART_ARC
(14,8),0.312375 # DEPENDENCYPART_ARC
(14,9),0.158036 # DEPENDENCYPART_ARC
(14,10),0.152823 # DEPENDENCYPART_ARC
(14,11),0.467404 # DEPENDENCYPART_ARC
(14,12),0.704829 # DEPENDENCYPART_ARC
(14,13),5.2607 # DEPENDENCYPART_ARC
(14,15),3.48399 # DEPENDENCYPART_ARC
(14,16),0.312931 # DEPENDENCYPART_ARC
(14,17),2.45181 # DEPENDENCYPART_ARC
(14,18),0.46199 # DEPENDENCYPART_ARC
(14,19),0.329613 # DEPENDENCYPART_ARC
(14,20),0.00728945 # DEPENDENCYPART_ARC
(14,21),0.994244 # DEPENDENCYPART_ARC
(14,22),-0.0380465 # DEPENDENCYPART_ARC
(14,23),-0.130863 # DEPENDENCYPART_ARC
(14,24),-0.156838 # DEPENDENCYPART_ARC
(14,25),-0.683211 # DEPENDENCYPART_ARC
(14,26),-2.29957 # DEPENDENCYPART_ARC
(14,27),-0.299373 # DEPENDENCYPART_ARC
(14,28),-1.14737 # DEPENDENCYPART_ARC
(14,29),-0.409045 # DEPENDENCYPART_ARC
(15,1),-2.03472 # DEPENDENCYPART_ARC
(15,2),-1.76831 # DEPENDENCYPART_ARC
(15,3),-1.49824 # DEPENDENCYPART_ARC
(15,4),-1.66869 # DEPENDENCYPART_ARC
(15,5),-1.60635 # DEPENDENCYPART_ARC
(15,6),-1.49072 # DEPENDENCYPART_ARC
(15,7),-1.81436 # DEPENDENCYPART_ARC
(15,8),-1.70739 # DEPENDENCYPART_ARC
(15,9),-1.67867 # DEPENDENCYPART_ARC
(15,10),-0.197579 # DEPENDENCYPART_ARC
(15,11),-1.04677 # DEPENDENCYPART_ARC
(15,12),-0.627268 # DEPENDENCYPART_ARC
(15,13),-1.15181 # DEPENDENCYPART_ARC
(15,14),-0.598511 # DEPENDENCYPART_ARC
(15,16),-0.534145 # DEPENDENCYPART_ARC
(15,17),0.0422426 # DEPENDENCYPART_ARC
(15,18),-0.703349 # DEPENDENCYPART_ARC
(15,19),-1.25245 # DEPENDENCYPART_ARC
(15,20),-1.45587 # DEPENDENCYPART_ARC
(15,21),-1.39839 # DEPENDENCYPART_ARC
(15,22),-1.81153 # DEPENDENCYPART_ARC
(15,23),-1.9514 # DEPENDENCYPART_ARC
(15,24),-1.48559 # DEPENDENCYPART_ARC
(15,25),-1.47328 # DEPENDENCYPART_ARC
(15,26),-2.18332 # DEPENDENCYPART_ARC
(15,27),-2.02738 # DEPENDENCYPART_ARC
(15,28),-2.35488 # DEPENDENCYPART_ARC
(15,29),-1.52788 # DEPENDENCYPART_ARC
(16,1),-2.43125 # DEPENDENCYPART_ARC
(16,2),-2.60773 # DEPENDENCYPART_ARC
(16,3),-2.41558 # DEPENDENCYPART_ARC
(16,4),-2.11965 # DEPENDENCYPART_ARC
(16,5),-2.55871 # DEPENDENCYPART_ARC
(16,6),-2.11713 # DEPENDENCYPART_ARC
(16,7),-2.07291 # DEPENDENCYPART_ARC
(16,8),-2.01376 # DEPENDENCYPART_ARC
(16,9),-1.88998 # DEPENDENCYPART_ARC
(16,10),-1.48421 # DEPENDENCYPART_ARC
(16,11),-1.56706 # DEPENDENCYPART_ARC
(16,12),-1.12849 # DEPENDENCYPART_ARC
(16,13),-0.9906 # DEPENDENCYPART_ARC
(16,14),-0.915927 # DEPENDENCYPART_ARC
(16,15),0.146097 # DEPENDENCYPART_ARC
(16,17),0.253897 # DEPENDENCYPART_ARC
(16,18),-0.36041 # DEPENDENCYPART_ARC
(16,19),-1.2124 # DEPENDENCYPART_ARC
(16,20),-0.755483 # DEPENDENCYPART_ARC
(16,21),-1.41995 # DEPENDENCYPART_ARC
(16,22),-0.995846 # DEPENDENCYPART_ARC
(16,23),-1.03513 # DEPENDENCYPART_ARC
(16,24),-1.19221 # DEPENDENCYPART_ARC
(16,25),-1.70065 # DEPENDENCYPART_ARC
(16,26),-1.19781 # DEPENDENCYPART_ARC
(16,27),-1.97761 # DEPENDENCYPART_ARC
(16,28),-2.06848 # DEPENDENCYPART_ARC
(16,29),-1.05219 # DEPENDENCYPART_ARC
(17,1),-1.78725 # DEPENDENCYPART_ARC
(17,2),-2.44561 # DEPENDENCYPART_ARC
(17,3),-0.888792 # DEPENDENCYPART_ARC
(17,4),-1.92796 # DEPENDENCYPART_ARC
(17,5),-0.801453 # DEPENDENCYPART_ARC
(17,6),-0.318697 # DEPENDENCYPART_ARC
(17,7),-0.235052 # DEPENDENCYPART_ARC
(17,8),-0.545388 # DEPENDENCYPART_ARC
(17,9),-0.480047 # DEPENDENCYPART_ARC
(17,10),-0.309636 # DEPENDENCYPART_ARC
(17,11),0.330103 # DEPENDENCYPART_ARC
(17,12),-1.61509 # DEPENDENCYPART_ARC
(17,13),-0.329013 # DEPENDENCYPART_ARC
(17,14),-0.415595 # DEPENDENCYPART_ARC
(17,15),0.102733 # DEPENDENCYPART_ARC
(17,16),3.75163 # DEPENDENCYPART_ARC
(17,18),4.18719 # DEPENDENCYPART_ARC
(17,19),0.613316 # DEPENDENCYPART_ARC
(17,20),1.94057 # DEPENDENCYPART_ARC
(17,21),0.560344 # DEPENDENCYPART_ARC
(17,22),1.49438 # DEPENDENCYPART_ARC
(17,23),1.64854 # DEPENDENCYPART_ARC
(17,24),2.4708 # DEPENDENCYPART_ARC
(17,25),-0.300406 # DEPENDENCYPART_ARC
(17,26),1.82928 # DEPENDENCYPART_ARC
(17,27),-0.363599 # DEPENDENCYPART_ARC
(17,28),0.129249 # DEPENDENCYPART_ARC
(17,29),1.25344 # DEPENDENCYPART_ARC
(18,1),-2.30138 # DEPENDENCYPART_ARC
(18,2),-0.887506 # DEPENDENCYPART_ARC
(18,3),-2.41689 # DEPENDENCYPART_ARC
