# _root_ Asked what stocks the computer bought , the money manager says , `` I do n't know . ''
#goldHeads=11,3,6,5,6,1,11,10,10,11,0,11,15,15,11,15,15,11,11,
#predictedHeads=11,3,1,5,3,3,11,10,10,11,0,11,11,15,11,15,15,15,15,
(7,10),-0.953797 # DEPENDENCYPART_ARC
(7,11),-0.53919 # DEPENDENCYPART_ARC
(7,12),0.66087 # DEPENDENCYPART_ARC
(7,13),-0.0704743 # DEPENDENCYPART_ARC
(7,14),-1.34047 # DEPENDENCYPART_ARC
(7,15),-1.31823 # DEPENDENCYPART_ARC
(7,16),-1.54487 # DEPENDENCYPART_ARC
(7,17),-1.39094 # DEPENDENCYPART_ARC
(7,18),-1.05195 # DEPENDENCYPART_ARC
(7,19),-1.07663 # DEPENDENCYPART_ARC
(8,1),-2.58023 # DEPENDENCYPART_ARC
(8,2),-1.59633 # DEPENDENCYPART_ARC
(8,3),-2.41527 # DEPENDENCYPART_ARC
(8,4),-1.25997 # DEPENDENCYPART_ARC
(8,5),-1.90898 # DEPENDENCYPART_ARC
(8,6),-1.70946 # DEPENDENCYPART_ARC
(8,7),-0.723061 # DEPENDENCYPART_ARC
(8,9),-0.00830858 # DEPENDENCYPART_ARC
(8,10),-0.548311 # DEPENDENCYPART_ARC
(8,11),-0.12986 # DEPENDENCYPART_ARC
(8,12),-1.25278 # DEPENDENCYPART_ARC
(8,13),-1.6441 # DEPENDENCYPART_ARC
(8,14),-1.63895 # DEPENDENCYPART_ARC
(8,15),-1.90582 # DEPENDENCYPART_ARC
(8,16),-1.81483 # DEPENDENCYPART_ARC
(8,17),-2.19175 # DEPENDENCYPART_ARC
(8,18),-1.45379 # DEPENDENCYPART_ARC
(8,19),-1.0419 # DEPENDENCYPART_ARC
(9,1),-3.38076 # DEPENDENCYPART_ARC
(9,2),-1.68947 # DEPENDENCYPART_ARC
(9,3),-2.95372 # DEPENDENCYPART_ARC
(9,4),-1.29659 # DEPENDENCYPART_ARC
(9,5),-2.58949 # DEPENDENCYPART_ARC
(9,6),-1.56467 # DEPENDENCYPART_ARC
(9,7),-0.571952 # DEPENDENCYPART_ARC
(9,8),2.05218 # DEPENDENCYPART_ARC
(9,10),1.27561 # DEPENDENCYPART_ARC
(9,11),1.21174 # DEPENDENCYPART_ARC
(9,12),-0.355766 # DEPENDENCYPART_ARC
(9,13),-0.000824325 # DEPENDENCYPART_ARC
(9,14),-0.975516 # DEPENDENCYPART_ARC
(9,15),-0.359059 # DEPENDENCYPART_ARC
(9,16),-1.0547 # DEPENDENCYPART_ARC
(9,17),-0.941984 # DEPENDENCYPART_ARC
(9,18),0.609516 # DEPENDENCYPART_ARC
(9,19),-0.80053 # DEPENDENCYPART_ARC
(10,1),-0.918676 # DEPENDENCYPART_ARC
(10,2),0.335832 # DEPENDENCYPART_ARC
(10,3),-0.896201 # DEPENDENCYPART_ARC
(10,4),0.714475 # DEPENDENCYPART_ARC
(10,5),-0.137818 # DEPENDENCYPART_ARC
(10,6),0.0327578 # DEPENDENCYPART_ARC
(10,7),0.889306 # DEPENDENCYPART_ARC
(10,8),4.04945 # DEPENDENCYPART_ARC
(10,9),3.82036 # DEPENDENCYPART_ARC
(10,11),1.48405 # DEPENDENCYPART_ARC
(10,12),0.586203 # DEPENDENCYPART_ARC
(10,13),0.855561 # DEPENDENCYPART_ARC
(10,14),-0.205074 # DEPENDENCYPART_ARC
(10,15),0.238623 # DEPENDENCYPART_ARC
(10,16),-0.615938 # DEPENDENCYPART_ARC
(10,17),-0.216124 # DEPENDENCYPART_ARC
(10,18),1.38557 # DEPENDENCYPART_ARC
(10,19),0.321025 # DEPENDENCYPART_ARC
(11,1),1.17959 # DEPENDENCYPART_ARC
(11,2),-0.108686 # DEPENDENCYPART_ARC
(11,3),0.911036 # DEPENDENCYPART_ARC
(11,4),-1.39178 # DEPENDENCYPART_ARC
(11,5),-0.363677 # DEPENDENCYPART_ARC
(11,6),0.460521 # DEPENDENCYPART_ARC
(11,7),2.64273 # DEPENDENCYPART_ARC
(11,8),-0.25546 # DEPENDENCYPART_ARC
(11,9),0.56829 # DEPENDENCYPART_ARC
(11,10),2.59791 # DEPENDENCYPART_ARC
(11,12),3.10367 # DEPENDENCYPART_ARC
(11,13),2.18039 # DEPENDENCYPART_ARC
(11,14),0.0521029 # DEPENDENCYPART_ARC
(11,15),1.90691 # DEPENDENCYPART_ARC
(11,16),0.167764 # DEPENDENCYPART_ARC
(11,17),0.279563 # DEPENDENCYPART_ARC
(11,18),1.96505 # DEPENDENCYPART_ARC
(11,19),1.9821 # DEPENDENCYPART_ARC
(12,1),-2.09682 # DEPENDENCYPART_ARC
(12,2),-1.8812 # DEPENDENCYPART_ARC
(12,3),-2.56861 # DEPENDENCYPART_ARC
(12,4),-2.05507 # DEPENDENCYPART_ARC
(12,5),-2.17072 # DEPENDENCYPART_ARC
(12,6),-2.03504 # DEPENDENCYPART_ARC
(12,7),-0.984843 # DEPENDENCYPART_ARC
(12,8),-1.5373 # DEPENDENCYPART_ARC
(12,9),-1.70609 # DEPENDENCYPART_ARC
(12,10),-2.09182 # DEPENDENCYPART_ARC
(12,11),-1.18732 # DEPENDENCYPART_ARC
(12,13),0.163192 # DEPENDENCYPART_ARC
(12,14),-0.883119 # DEPENDENCYPART_ARC
(12,15),-0.878968 # DEPENDENCYPART_ARC
(12,16),-1.42577 # DEPENDENCYPART_ARC
(12,17),-1.18167 # DEPENDENCYPART_ARC
(12,18),-1.0337 # DEPENDENCYPART_ARC
(12,19),-1.09717 # DEPENDENCYPART_ARC
(13,1),-2.64509 # DEPENDENCYPART_ARC
(13,2),-2.03623 # DEPENDENCYPART_ARC
(13,3),-2.52218 # DEPENDENCYPART_ARC
(13,4),-2.06383 # DEPENDENCYPART_ARC
(13,5),-2.3606 # DEPENDENCYPART_ARC
(13,6),-2.1339 # DEPENDENCYPART_ARC
(13,7),-1.94073 # DEPENDENCYPART_ARC
(13,8),-1.52577 # DEPENDENCYPART_ARC
(13,9),-1.64884 # DEPENDENCYPART_ARC
(13,10),-1.31147 # DEPENDENCYPART_ARC
(13,11),-1.42781 # DEPENDENCYPART_ARC
(13,12),-0.40651 # DEPENDENCYPART_ARC
(13,14),-0.614617 # DEPENDENCYPART_ARC
(13,15),-1.25132 # DEPENDENCYPART_ARC
(13,16),-1.23837 # DEPENDENCYPART_ARC
(13,17),-1.65733 # DEPENDENCYPART_ARC
(13,18),-1.46627 # DEPENDENCYPART_ARC
(13,19),-0.364677 # DEPENDENCYPART_ARC
(14,1),-2.3587 # DEPENDENCYPART_ARC
(14,2),-1.87542 # DEPENDENCYPART_ARC
(14,3),-2.30003 # DEPENDENCYPART_ARC
(14,4),-1.47371 # DEPENDENCYPART_ARC
(14,5),-2.44664 # DEPENDENCYPART_ARC
(14,6),-1.56182 # DEPENDENCYPART_ARC
(14,7),-1.10668 # DEPENDENCYPART_ARC
(14,8),-0.980491 # DEPENDENCYPART_ARC
(14,9),-1.79308 # DEPENDENCYPART_ARC
(14,10),-1.54165 # DEPENDENCYPART_ARC
(14,11),-1.05378 # DEPENDENCYPART_ARC
(14,12),-0.0177884 # DEPENDENCYPART_ARC
(14,13),-0.120031 # DEPENDENCYPART_ARC
(14,15),0.974312 # DEPENDENCYPART_ARC
(14,16),0.163221 # DEPENDENCYPART_ARC
(14,17),-0.557068 # DEPENDENCYPART_ARC
(14,18),-0.0702384 # DEPENDENCYPART_ARC
(14,19),-0.172127 # DEPENDENCYPART_ARC
(15,1),-0.51331 # DEPENDENCYPART_ARC
(15,2),1.00312 # DEPENDENCYPART_ARC
(15,3),-0.167876 # DEPENDENCYPART_ARC
(15,4),-0.915618 # DEPENDENCYPART_ARC
(15,5),-0.144992 # DEPENDENCYPART_ARC
(15,6),-0.153854 # DEPENDENCYPART_ARC
(15,7),1.04014 # DEPENDENCYPART_ARC
(15,8),0.376578 # DEPENDENCYPART_ARC
(15,9),0.497 # DEPENDENCYPART_ARC
(15,10),-0.188461 # DEPENDENCYPART_ARC
(15,11),0.890435 # DEPENDENCYPART_ARC
(15,12),1.85219 # DEPENDENCYPART_ARC
(15,13),2.08201 # DEPENDENCYPART_ARC
(15,14),4.08031 # DEPENDENCYPART_ARC
(15,16),4.53462 # DEPENDENCYPART_ARC
(15,17),3.5205 # DEPENDENCYPART_ARC
(15,18),3.16703 # DEPENDENCYPART_ARC
(15,19),2.73541 # DEPENDENCYPART_ARC
(16,1),-1.78865 # DEPENDENCYPART_ARC
(16,2),-0.525938 # DEPENDENCYPART_ARC
(16,3),-1.96738 # DEPENDENCYPART_ARC
(16,4),-0.989843 # DEPENDENCYPART_ARC
(16,5),-1.94418 # DEPENDENCYPART_ARC
(16,6),-1.4714 # DEPENDENCYPART_ARC
(16,7),-0.913064 # DEPENDENCYPART_ARC
(16,8),-0.463038 # DEPENDENCYPART_ARC
(16,9),-1.18627 # DEPENDENCYPART_ARC
(16,10),-1.37101 # DEPENDENCYPART_ARC
(16,11),-1.24733 # DEPENDENCYPART_ARC
(16,12),-0.330234 # DEPENDENCYPART_ARC
(16,13),-0.257435 # DEPENDENCYPART_ARC
(16,14),0.195872 # DEPENDENCYPART_ARC
(16,15),0.16083 # DEPENDENCYPART_ARC
(16,17),0.117534 # DEPENDENCYPART_ARC
(16,18),-1.12041 # DEPENDENCYPART_ARC
(16,19),-0.696498 # DEPENDENCYPART_ARC
(17,1),-1.31698 # DEPENDENCYPART_ARC
(17,2),1.15944 # DEPENDENCYPART_ARC
(17,3),-1.16717 # DEPENDENCYPART_ARC
(17,4),-0.580204 # DEPENDENCYPART_ARC
(17,5),-0.864825 # DEPENDENCYPART_ARC
(17,6),-0.733925 # DEPENDENCYPART_ARC
(17,7),0.407815 # DEPENDENCYPART_ARC
(17,8),0.113174 # DEPENDENCYPART_ARC
(17,9),-0.0275544 # DEPENDENCYPART_ARC
(17,10),-0.209757 # DEPENDENCYPART_ARC
(17,11),0.212911 # DEPENDENCYPART_ARC
(17,12),0.865312 # DEPENDENCYPART_ARC
(17,13),0.820646 # DEPENDENCYPART_ARC
(17,14),0.878884 # DEPENDENCYPART_ARC
(17,15),0.514472 # DEPENDENCYPART_ARC
(17,16),1.21266 # DEPENDENCYPART_ARC
(17,18),0.86851 # DEPENDENCYPART_ARC
(17,19),0.372721 # DEPENDENCYPART_ARC
(18,1),-2.1021 # DEPENDENCYPART_ARC
(18,2),-1.50874 # DEPENDENCYPART_ARC
(18,3),-2.17641 # DEPENDENCYPART_ARC
(18,4),-1.88208 # DEPENDENCYPART_ARC
(18,5),-1.88531 # DEPENDENCYPART_ARC
(18,6),-1.24889 # DEPENDENCYPART_ARC
(18,7),-0.311919 # DEPENDENCYPART_ARC
(18,8),-1.28911 # DEPENDENCYPART_ARC
(18,9),-1.65481 # DEPENDENCYPART_ARC
(18,10),-1.61455 # DEPENDENCYPART_ARC
(18,11),-0.983595 # DEPENDENCYPART_ARC
(18,12),-0.281373 # DEPENDENCYPART_ARC
(18,13),-1.11983 # DEPENDENCYPART_ARC
(18,14),-0.938084 # DEPENDENCYPART_ARC
(18,15),-1.15756 # DEPENDENCYPART_ARC
(18,16),-1.18844 # DEPENDENCYPART_ARC
(18,17),-0.593159 # DEPENDENCYPART_ARC
(18,19),-0.0266608 # DEPENDENCYPART_ARC
(19,1),-2.65207 # DEPENDENCYPART_ARC
(19,2),-2.02707 # DEPENDENCYPART_ARC
(19,3),-1.80607 # DEPENDENCYPART_ARC
(19,4),-1.73426 # DEPENDENCYPART_ARC
(19,5),-2.82272 # DEPENDENCYPART_ARC
(19,6),-2.11965 # DEPENDENCYPART_ARC
(19,7),-1.66313 # DEPENDENCYPART_ARC
(19,8),-1.26075 # DEPENDENCYPART_ARC
(19,9),-2.233 # DEPENDENCYPART_ARC
(19,10),-2.16354 # DEPENDENCYPART_ARC
(19,11),-1.35599 # DEPENDENCYPART_ARC
(19,12),-1.16182 # DEPENDENCYPART_ARC
(19,13),-0.0934168 # DEPENDENCYPART_ARC
(19,14),-1.34086 # DEPENDENCYPART_ARC
(19,15),-1.33265 # DEPENDENCYPART_ARC
(19,16),-0.995618 # DEPENDENCYPART_ARC
(19,17),-0.65854 # DEPENDENCYPART_ARC
(19,18),-0.191389 # DEPENDENCYPART_ARC
