# _root_ India recently bought 200,000 tons and was expected to buy more , the analyst said .
#goldHeads=3,3,15,5,3,3,6,7,8,9,10,15,14,15,0,15,
#predictedHeads=3,3,15,5,3,3,6,7,8,9,10,15,14,15,0,15,
(3,6),3.22232 # DEPENDENCYPART_ARC
(3,7),0.973863 # DEPENDENCYPART_ARC
(3,8),0.9698 # DEPENDENCYPART_ARC
(3,9),1.45396 # DEPENDENCYPART_ARC
(3,10),0.530869 # DEPENDENCYPART_ARC
(3,11),0.106342 # DEPENDENCYPART_ARC
(3,12),0.651091 # DEPENDENCYPART_ARC
(3,13),-0.943857 # DEPENDENCYPART_ARC
(3,14),-0.499299 # DEPENDENCYPART_ARC
(3,15),-0.387982 # DEPENDENCYPART_ARC
(3,16),4.07515 # DEPENDENCYPART_ARC
(4,1),0.189224 # DEPENDENCYPART_ARC
(4,2),0.909822 # DEPENDENCYPART_ARC
(4,3),1.15856 # DEPENDENCYPART_ARC
(4,5),1.17836 # DEPENDENCYPART_ARC
(4,6),0.716256 # DEPENDENCYPART_ARC
(4,7),0.174947 # DEPENDENCYPART_ARC
(4,8),0.139803 # DEPENDENCYPART_ARC
(4,9),-0.271747 # DEPENDENCYPART_ARC
(4,10),-0.472874 # DEPENDENCYPART_ARC
(4,11),-0.114502 # DEPENDENCYPART_ARC
(4,12),0.47791 # DEPENDENCYPART_ARC
(4,13),-0.931195 # DEPENDENCYPART_ARC
(4,14),-0.817826 # DEPENDENCYPART_ARC
(4,15),-0.824617 # DEPENDENCYPART_ARC
(4,16),-0.252859 # DEPENDENCYPART_ARC
(5,1),0.217129 # DEPENDENCYPART_ARC
(5,2),1.28182 # DEPENDENCYPART_ARC
(5,3),0.505983 # DEPENDENCYPART_ARC
(5,4),4.15149 # DEPENDENCYPART_ARC
(5,6),0.795262 # DEPENDENCYPART_ARC
(5,7),1.34479 # DEPENDENCYPART_ARC
(5,8),1.05482 # DEPENDENCYPART_ARC
(5,9),0.359315 # DEPENDENCYPART_ARC
(5,10),-0.00388987 # DEPENDENCYPART_ARC
(5,11),0.630964 # DEPENDENCYPART_ARC
(5,12),0.478524 # DEPENDENCYPART_ARC
(5,13),-0.551231 # DEPENDENCYPART_ARC
(5,14),-0.0353041 # DEPENDENCYPART_ARC
(5,15),-1.12654 # DEPENDENCYPART_ARC
(5,16),0.102539 # DEPENDENCYPART_ARC
(6,1),-0.435496 # DEPENDENCYPART_ARC
(6,2),-1.18059 # DEPENDENCYPART_ARC
(6,3),-0.0154133 # DEPENDENCYPART_ARC
(6,4),-0.680219 # DEPENDENCYPART_ARC
(6,5),0.0775431 # DEPENDENCYPART_ARC
(6,7),3.07222 # DEPENDENCYPART_ARC
(6,8),0.734032 # DEPENDENCYPART_ARC
(6,9),0.412392 # DEPENDENCYPART_ARC
(6,10),-0.747281 # DEPENDENCYPART_ARC
(6,11),-1.22758 # DEPENDENCYPART_ARC
(6,12),-0.175063 # DEPENDENCYPART_ARC
(6,13),-2.09506 # DEPENDENCYPART_ARC
(6,14),-2.23748 # DEPENDENCYPART_ARC
(6,15),-1.03072 # DEPENDENCYPART_ARC
(6,16),-0.805073 # DEPENDENCYPART_ARC
(7,1),-0.230978 # DEPENDENCYPART_ARC
(7,2),-0.728068 # DEPENDENCYPART_ARC
(7,3),-0.541045 # DEPENDENCYPART_ARC
(7,4),-0.211251 # DEPENDENCYPART_ARC
(7,5),-0.825484 # DEPENDENCYPART_ARC
(7,6),0.588029 # DEPENDENCYPART_ARC
(7,8),3.56476 # DEPENDENCYPART_ARC
(7,9),1.22314 # DEPENDENCYPART_ARC
(7,10),0.499209 # DEPENDENCYPART_ARC
(7,11),-0.0241293 # DEPENDENCYPART_ARC
(7,12),0.684701 # DEPENDENCYPART_ARC
(7,13),-1.51284 # DEPENDENCYPART_ARC
(7,14),-1.40033 # DEPENDENCYPART_ARC
(7,15),-0.447264 # DEPENDENCYPART_ARC
(7,16),2.20145 # DEPENDENCYPART_ARC
(8,1),-0.554746 # DEPENDENCYPART_ARC
(8,2),-0.920952 # DEPENDENCYPART_ARC
(8,3),-0.816862 # DEPENDENCYPART_ARC
(8,4),-0.463385 # DEPENDENCYPART_ARC
(8,5),0.29479 # DEPENDENCYPART_ARC
(8,6),-0.281499 # DEPENDENCYPART_ARC
(8,7),0.214428 # DEPENDENCYPART_ARC
(8,9),3.74249 # DEPENDENCYPART_ARC
(8,10),1.178 # DEPENDENCYPART_ARC
(8,11),0.187316 # DEPENDENCYPART_ARC
(8,12),1.15204 # DEPENDENCYPART_ARC
(8,13),-0.7157 # DEPENDENCYPART_ARC
(8,14),-0.530574 # DEPENDENCYPART_ARC
(8,15),0.10546 # DEPENDENCYPART_ARC
(8,16),0.479691 # DEPENDENCYPART_ARC
(9,1),-0.891613 # DEPENDENCYPART_ARC
(9,2),-1.00724 # DEPENDENCYPART_ARC
(9,3),-0.304633 # DEPENDENCYPART_ARC
(9,4),0.109345 # DEPENDENCYPART_ARC
(9,5),0.238129 # DEPENDENCYPART_ARC
(9,6),0.259346 # DEPENDENCYPART_ARC
(9,7),0.32704 # DEPENDENCYPART_ARC
(9,8),0.44443 # DEPENDENCYPART_ARC
(9,10),3.56116 # DEPENDENCYPART_ARC
(9,11),0.519358 # DEPENDENCYPART_ARC
(9,12),0.760418 # DEPENDENCYPART_ARC
(9,13),-1.11891 # DEPENDENCYPART_ARC
(9,14),-0.498919 # DEPENDENCYPART_ARC
(9,15),-0.379663 # DEPENDENCYPART_ARC
(9,16),0.153334 # DEPENDENCYPART_ARC
(10,1),-0.47074 # DEPENDENCYPART_ARC
(10,2),-0.38967 # DEPENDENCYPART_ARC
(10,3),-0.539183 # DEPENDENCYPART_ARC
(10,4),-0.162125 # DEPENDENCYPART_ARC
(10,5),0.243118 # DEPENDENCYPART_ARC
(10,6),-0.233344 # DEPENDENCYPART_ARC
(10,7),0.237249 # DEPENDENCYPART_ARC
(10,8),0.536993 # DEPENDENCYPART_ARC
(10,9),1.3787 # DEPENDENCYPART_ARC
(10,11),1.94649 # DEPENDENCYPART_ARC
(10,12),1.11578 # DEPENDENCYPART_ARC
(10,13),-0.244448 # DEPENDENCYPART_ARC
(10,14),1.636 # DEPENDENCYPART_ARC
(10,15),0.753653 # DEPENDENCYPART_ARC
(10,16),0.205806 # DEPENDENCYPART_ARC
(11,1),-1.022 # DEPENDENCYPART_ARC
(11,2),-0.322307 # DEPENDENCYPART_ARC
(11,3),-0.837444 # DEPENDENCYPART_ARC
(11,4),0.0991253 # DEPENDENCYPART_ARC
(11,5),-0.41315 # DEPENDENCYPART_ARC
(11,6),0.345523 # DEPENDENCYPART_ARC
(11,7),-0.305182 # DEPENDENCYPART_ARC
(11,8),0.234594 # DEPENDENCYPART_ARC
(11,9),0.4771 # DEPENDENCYPART_ARC
(11,10),1.89013 # DEPENDENCYPART_ARC
(11,12),1.13162 # DEPENDENCYPART_ARC
(11,13),0.239203 # DEPENDENCYPART_ARC
(11,14),0.172299 # DEPENDENCYPART_ARC
(11,15),0.379449 # DEPENDENCYPART_ARC
(11,16),-0.130482 # DEPENDENCYPART_ARC
(12,1),-2.8475 # DEPENDENCYPART_ARC
(12,2),-2.91988 # DEPENDENCYPART_ARC
(12,3),-1.9311 # DEPENDENCYPART_ARC
(12,4),-2.2709 # DEPENDENCYPART_ARC
(12,5),-2.39671 # DEPENDENCYPART_ARC
(12,6),-2.20283 # DEPENDENCYPART_ARC
(12,7),-1.93026 # DEPENDENCYPART_ARC
(12,8),-1.64313 # DEPENDENCYPART_ARC
(12,9),-1.26039 # DEPENDENCYPART_ARC
(12,10),-1.47369 # DEPENDENCYPART_ARC
(12,11),-0.507869 # DEPENDENCYPART_ARC
(12,13),-0.263727 # DEPENDENCYPART_ARC
(12,14),-0.907361 # DEPENDENCYPART_ARC
(12,15),-0.609225 # DEPENDENCYPART_ARC
(12,16),-1.1061 # DEPENDENCYPART_ARC
(13,1),-3.41593 # DEPENDENCYPART_ARC
(13,2),-3.2213 # DEPENDENCYPART_ARC
(13,3),-2.93728 # DEPENDENCYPART_ARC
(13,4),-2.72997 # DEPENDENCYPART_ARC
(13,5),-2.97932 # DEPENDENCYPART_ARC
(13,6),-3.08936 # DEPENDENCYPART_ARC
(13,7),-2.4879 # DEPENDENCYPART_ARC
(13,8),-2.45492 # DEPENDENCYPART_ARC
(13,9),-2.20157 # DEPENDENCYPART_ARC
(13,10),-1.55533 # DEPENDENCYPART_ARC
(13,11),-0.930392 # DEPENDENCYPART_ARC
(13,12),-0.827108 # DEPENDENCYPART_ARC
(13,14),-0.25351 # DEPENDENCYPART_ARC
(13,15),-0.282659 # DEPENDENCYPART_ARC
(13,16),-1.60989 # DEPENDENCYPART_ARC
(14,1),-6.0612 # DEPENDENCYPART_ARC
(14,2),-3.71484 # DEPENDENCYPART_ARC
(14,3),-1.05347 # DEPENDENCYPART_ARC
(14,4),-1.72413 # DEPENDENCYPART_ARC
(14,5),-2.31371 # DEPENDENCYPART_ARC
(14,6),-1.44256 # DEPENDENCYPART_ARC
(14,7),-0.767486 # DEPENDENCYPART_ARC
(14,8),-1.42866 # DEPENDENCYPART_ARC
(14,9),-1.10669 # DEPENDENCYPART_ARC
(14,10),-0.542053 # DEPENDENCYPART_ARC
(14,11),0.381637 # DEPENDENCYPART_ARC
(14,12),0.740281 # DEPENDENCYPART_ARC
(14,13),4.04105 # DEPENDENCYPART_ARC
(14,15),1.22821 # DEPENDENCYPART_ARC
(14,16),0.311517 # DEPENDENCYPART_ARC
(15,1),-0.822977 # DEPENDENCYPART_ARC
(15,2),-0.362611 # DEPENDENCYPART_ARC
(15,3),0.985312 # DEPENDENCYPART_ARC
(15,4),-0.514684 # DEPENDENCYPART_ARC
(15,5),-0.372884 # DEPENDENCYPART_ARC
(15,6),-0.412981 # DEPENDENCYPART_ARC
(15,7),1.20144 # DEPENDENCYPART_ARC
(15,8),0.365407 # DEPENDENCYPART_ARC
(15,9),-0.215604 # DEPENDENCYPART_ARC
(15,10),0.467732 # DEPENDENCYPART_ARC
(15,11),0.31029 # DEPENDENCYPART_ARC
(15,12),4.26647 # DEPENDENCYPART_ARC
(15,13),0.844674 # DEPENDENCYPART_ARC
(15,14),3.53797 # DEPENDENCYPART_ARC
(15,16),7.07951 # DEPENDENCYPART_ARC
(16,1),-2.63433 # DEPENDENCYPART_ARC
(16,2),-2.42893 # DEPENDENCYPART_ARC
(16,3),-1.63335 # DEPENDENCYPART_ARC
(16,4),-2.54429 # DEPENDENCYPART_ARC
(16,5),-2.38554 # DEPENDENCYPART_ARC
(16,6),-2.05447 # DEPENDENCYPART_ARC
(16,7),-1.44933 # DEPENDENCYPART_ARC
(16,8),-1.68006 # DEPENDENCYPART_ARC
(16,9),-1.71287 # DEPENDENCYPART_ARC
(16,10),-1.6057 # DEPENDENCYPART_ARC
(16,11),-1.4738 # DEPENDENCYPART_ARC
(16,12),-0.40265 # DEPENDENCYPART_ARC
(16,13),-0.779736 # DEPENDENCYPART_ARC
(16,14),-2.19198 # DEPENDENCYPART_ARC
(16,15),-0.991395 # DEPENDENCYPART_ARC
