# _root_ By 10 a.m. Tokyo time , the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .
#goldHeads=9,1,2,5,2,9,8,9,0,9,12,10,10,10,14,9,18,16,20,23,20,23,18,9,
#predictedHeads=9,5,5,5,1,9,8,9,0,9,12,10,18,9,14,9,18,16,20,23,20,23,18,9,
(8,6),1.17354 # DEPENDENCYPART_ARC
(8,7),4.67803 # DEPENDENCYPART_ARC
(8,9),0.736652 # DEPENDENCYPART_ARC
(8,10),-0.167113 # DEPENDENCYPART_ARC
(8,11),-0.0757488 # DEPENDENCYPART_ARC
(8,12),-0.441326 # DEPENDENCYPART_ARC
(8,13),-0.169703 # DEPENDENCYPART_ARC
(8,14),-0.693546 # DEPENDENCYPART_ARC
(8,15),-1.20471 # DEPENDENCYPART_ARC
(8,16),-0.600893 # DEPENDENCYPART_ARC
(8,17),-1.69229 # DEPENDENCYPART_ARC
(8,18),-0.676197 # DEPENDENCYPART_ARC
(8,19),-2.41933 # DEPENDENCYPART_ARC
(8,20),-2.46522 # DEPENDENCYPART_ARC
(8,21),-1.54714 # DEPENDENCYPART_ARC
(8,22),-1.51813 # DEPENDENCYPART_ARC
(8,23),-2.37406 # DEPENDENCYPART_ARC
(8,24),-0.225353 # DEPENDENCYPART_ARC
(9,1),2.87547 # DEPENDENCYPART_ARC
(9,2),-0.168293 # DEPENDENCYPART_ARC
(9,3),1.14964 # DEPENDENCYPART_ARC
(9,4),1.38325 # DEPENDENCYPART_ARC
(9,5),1.0705 # DEPENDENCYPART_ARC
(9,6),3.85726 # DEPENDENCYPART_ARC
(9,7),1.33364 # DEPENDENCYPART_ARC
(9,8),3.53775 # DEPENDENCYPART_ARC
(9,10),2.89489 # DEPENDENCYPART_ARC
(9,11),1.09304 # DEPENDENCYPART_ARC
(9,12),1.01465 # DEPENDENCYPART_ARC
(9,13),2.39221 # DEPENDENCYPART_ARC
(9,14),2.36225 # DEPENDENCYPART_ARC
(9,15),-0.243599 # DEPENDENCYPART_ARC
(9,16),1.52444 # DEPENDENCYPART_ARC
(9,17),-1.33943 # DEPENDENCYPART_ARC
(9,18),0.654515 # DEPENDENCYPART_ARC
(9,19),-1.23315 # DEPENDENCYPART_ARC
(9,20),-1.11339 # DEPENDENCYPART_ARC
(9,21),-0.135877 # DEPENDENCYPART_ARC
(9,22),0.700822 # DEPENDENCYPART_ARC
(9,23),-0.0329099 # DEPENDENCYPART_ARC
(9,24),5.43666 # DEPENDENCYPART_ARC
(10,1),-1.36369 # DEPENDENCYPART_ARC
(10,2),-1.37515 # DEPENDENCYPART_ARC
(10,3),-0.565353 # DEPENDENCYPART_ARC
(10,4),-1.2207 # DEPENDENCYPART_ARC
(10,5),-1.23657 # DEPENDENCYPART_ARC
(10,6),-0.565808 # DEPENDENCYPART_ARC
(10,7),0.319702 # DEPENDENCYPART_ARC
(10,8),-0.384056 # DEPENDENCYPART_ARC
(10,9),0.161569 # DEPENDENCYPART_ARC
(10,11),2.45763 # DEPENDENCYPART_ARC
(10,12),3.10463 # DEPENDENCYPART_ARC
(10,13),0.890598 # DEPENDENCYPART_ARC
(10,14),1.74233 # DEPENDENCYPART_ARC
(10,15),-0.0799553 # DEPENDENCYPART_ARC
(10,16),0.762997 # DEPENDENCYPART_ARC
(10,17),-0.507995 # DEPENDENCYPART_ARC
(10,18),-0.593069 # DEPENDENCYPART_ARC
(10,19),-1.08594 # DEPENDENCYPART_ARC
(10,20),-0.880644 # DEPENDENCYPART_ARC
(10,21),-0.905495 # DEPENDENCYPART_ARC
(10,22),-0.526203 # DEPENDENCYPART_ARC
(10,23),-0.472147 # DEPENDENCYPART_ARC
(10,24),-0.215488 # DEPENDENCYPART_ARC
(11,1),-2.32855 # DEPENDENCYPART_ARC
(11,2),-1.47807 # DEPENDENCYPART_ARC
(11,3),-2.03716 # DEPENDENCYPART_ARC
(11,4),-1.85219 # DEPENDENCYPART_ARC
(11,5),-2.37467 # DEPENDENCYPART_ARC
(11,6),-1.33049 # DEPENDENCYPART_ARC
(11,7),-0.0539313 # DEPENDENCYPART_ARC
(11,8),-1.16142 # DEPENDENCYPART_ARC
(11,9),-0.698548 # DEPENDENCYPART_ARC
(11,10),0.623218 # DEPENDENCYPART_ARC
(11,12),0.0214646 # DEPENDENCYPART_ARC
(11,13),-0.465089 # DEPENDENCYPART_ARC
(11,14),-0.967813 # DEPENDENCYPART_ARC
(11,15),-1.37814 # DEPENDENCYPART_ARC
(11,16),-1.23418 # DEPENDENCYPART_ARC
(11,17),-1.54994 # DEPENDENCYPART_ARC
(11,18),-1.06557 # DEPENDENCYPART_ARC
(11,19),-1.70468 # DEPENDENCYPART_ARC
(11,20),-1.74783 # DEPENDENCYPART_ARC
(11,21),-1.10783 # DEPENDENCYPART_ARC
(11,22),-2.03822 # DEPENDENCYPART_ARC
(11,23),-2.06639 # DEPENDENCYPART_ARC
(11,24),-1.91864 # DEPENDENCYPART_ARC
(12,1),-0.849711 # DEPENDENCYPART_ARC
(12,2),0.224152 # DEPENDENCYPART_ARC
(12,3),-0.680894 # DEPENDENCYPART_ARC
(12,4),-0.51099 # DEPENDENCYPART_ARC
(12,5),-1.82937 # DEPENDENCYPART_ARC
(12,6),-0.566055 # DEPENDENCYPART_ARC
(12,7),1.9839 # DEPENDENCYPART_ARC
(12,8),0.696154 # DEPENDENCYPART_ARC
(12,9),0.10512 # DEPENDENCYPART_ARC
(12,10),2.13081 # DEPENDENCYPART_ARC
(12,11),3.72969 # DEPENDENCYPART_ARC
(12,13),2.16991 # DEPENDENCYPART_ARC
(12,14),0.562707 # DEPENDENCYPART_ARC
(12,15),0.57299 # DEPENDENCYPART_ARC
(12,16),0.541599 # DEPENDENCYPART_ARC
(12,17),-0.0296125 # DEPENDENCYPART_ARC
(12,18),0.412587 # DEPENDENCYPART_ARC
(12,19),-0.274051 # DEPENDENCYPART_ARC
(12,20),-0.231857 # DEPENDENCYPART_ARC
(12,21),-0.208574 # DEPENDENCYPART_ARC
(12,22),0.228812 # DEPENDENCYPART_ARC
(12,23),0.101558 # DEPENDENCYPART_ARC
(12,24),0.926418 # DEPENDENCYPART_ARC
(13,1),-1.80237 # DEPENDENCYPART_ARC
(13,2),-1.91665 # DEPENDENCYPART_ARC
(13,3),-2.22814 # DEPENDENCYPART_ARC
(13,4),-1.86913 # DEPENDENCYPART_ARC
(13,5),-1.36143 # DEPENDENCYPART_ARC
(13,6),0.2827 # DEPENDENCYPART_ARC
(13,7),-0.826255 # DEPENDENCYPART_ARC
(13,8),-1.34875 # DEPENDENCYPART_ARC
(13,9),-1.02941 # DEPENDENCYPART_ARC
(13,10),-1.1105 # DEPENDENCYPART_ARC
(13,11),-0.8023 # DEPENDENCYPART_ARC
(13,12),-0.661553 # DEPENDENCYPART_ARC
(13,14),-0.43015 # DEPENDENCYPART_ARC
(13,15),-0.90664 # DEPENDENCYPART_ARC
(13,16),-1.00293 # DEPENDENCYPART_ARC
(13,17),-1.55325 # DEPENDENCYPART_ARC
(13,18),-1.26385 # DEPENDENCYPART_ARC
(13,19),-1.87757 # DEPENDENCYPART_ARC
(13,20),-2.00771 # DEPENDENCYPART_ARC
(13,21),-2.12104 # DEPENDENCYPART_ARC
(13,22),-2.27063 # DEPENDENCYPART_ARC
(13,23),-2.59641 # DEPENDENCYPART_ARC
(13,24),-1.51179 # DEPENDENCYPART_ARC
(14,1),-1.50991 # DEPENDENCYPART_ARC
(14,2),-1.1504 # DEPENDENCYPART_ARC
(14,3),-1.98457 # DEPENDENCYPART_ARC
(14,4),-0.660403 # DEPENDENCYPART_ARC
(14,5),-1.77697 # DEPENDENCYPART_ARC
(14,6),-0.389774 # DEPENDENCYPART_ARC
(14,7),-0.305751 # DEPENDENCYPART_ARC
(14,8),-0.823546 # DEPENDENCYPART_ARC
(14,9),-0.488688 # DEPENDENCYPART_ARC
(14,10),-0.339036 # DEPENDENCYPART_ARC
(14,11),0.742452 # DEPENDENCYPART_ARC
(14,12),-0.124699 # DEPENDENCYPART_ARC
(14,13),0.911313 # DEPENDENCYPART_ARC
(14,15),3.11001 # DEPENDENCYPART_ARC
(14,16),1.25137 # DEPENDENCYPART_ARC
(14,17),2.21555 # DEPENDENCYPART_ARC
(14,18),0.968098 # DEPENDENCYPART_ARC
(14,19),-0.0736764 # DEPENDENCYPART_ARC
(14,20),-0.912907 # DEPENDENCYPART_ARC
(14,21),-0.0354133 # DEPENDENCYPART_ARC
(14,22),-0.0402663 # DEPENDENCYPART_ARC
(14,23),0.733702 # DEPENDENCYPART_ARC
(14,24),0.0848521 # DEPENDENCYPART_ARC
(15,1),-1.55482 # DEPENDENCYPART_ARC
(15,2),-0.688276 # DEPENDENCYPART_ARC
(15,3),-0.969754 # DEPENDENCYPART_ARC
(15,4),-1.39177 # DEPENDENCYPART_ARC
(15,5),-1.59649 # DEPENDENCYPART_ARC
(15,6),-0.617325 # DEPENDENCYPART_ARC
(15,7),0.496232 # DEPENDENCYPART_ARC
(15,8),-1.06382 # DEPENDENCYPART_ARC
(15,9),-0.663736 # DEPENDENCYPART_ARC
(15,10),0.843083 # DEPENDENCYPART_ARC
(15,11),0.636898 # DEPENDENCYPART_ARC
(15,12),0.205439 # DEPENDENCYPART_ARC
(15,13),0.722125 # DEPENDENCYPART_ARC
(15,14),1.9697 # DEPENDENCYPART_ARC
(15,16),0.933983 # DEPENDENCYPART_ARC
(15,17),0.628496 # DEPENDENCYPART_ARC
(15,18),0.582286 # DEPENDENCYPART_ARC
(15,19),0.162142 # DEPENDENCYPART_ARC
(15,20),0.0177339 # DEPENDENCYPART_ARC
(15,21),0.551256 # DEPENDENCYPART_ARC
(15,22),-0.34775 # DEPENDENCYPART_ARC
(15,23),0.0277176 # DEPENDENCYPART_ARC
(15,24),-0.554342 # DEPENDENCYPART_ARC
(16,1),-2.30758 # DEPENDENCYPART_ARC
(16,2),-1.30305 # DEPENDENCYPART_ARC
(16,3),-1.29045 # DEPENDENCYPART_ARC
(16,4),-1.64043 # DEPENDENCYPART_ARC
(16,5),-2.69792 # DEPENDENCYPART_ARC
(16,6),-0.722754 # DEPENDENCYPART_ARC
(16,7),-0.616746 # DEPENDENCYPART_ARC
(16,8),-1.27951 # DEPENDENCYPART_ARC
(16,9),-0.802551 # DEPENDENCYPART_ARC
(16,10),-0.514389 # DEPENDENCYPART_ARC
(16,11),-0.264721 # DEPENDENCYPART_ARC
(16,12),-0.664927 # DEPENDENCYPART_ARC
(16,13),0.635702 # DEPENDENCYPART_ARC
(16,14),0.451147 # DEPENDENCYPART_ARC
(16,15),0.586075 # DEPENDENCYPART_ARC
(16,17),1.91862 # DEPENDENCYPART_ARC
(16,18),3.56727 # DEPENDENCYPART_ARC
(16,19),-1.12716 # DEPENDENCYPART_ARC
(16,20),-0.666927 # DEPENDENCYPART_ARC
(16,21),-1.11192 # DEPENDENCYPART_ARC
(16,22),-0.727589 # DEPENDENCYPART_ARC
(16,23),-0.412944 # DEPENDENCYPART_ARC
(16,24),-0.483468 # DEPENDENCYPART_ARC
(17,1),-2.75827 # DEPENDENCYPART_ARC
(17,2),-3.69596 # DEPENDENCYPART_ARC
(17,3),-3.636 # DEPENDENCYPART_ARC
(17,4),-4.36153 # DEPENDENCYPART_ARC
(17,5),-5.8842 # DEPENDENCYPART_ARC
(17,6),-2.58305 # DEPENDENCYPART_ARC
(17,7),-2.60141 # DEPENDENCYPART_ARC
(17,8),-4.03493 # DEPENDENCYPART_ARC
(17,9),-2.28112 # DEPENDENCYPART_ARC
(17,10),-1.66168 # DEPENDENCYPART_ARC
(17,11),-1.90404 # DEPENDENCYPART_ARC
(17,12),-2.04095 # DEPENDENCYPART_ARC
(17,13),-1.63669 # DEPENDENCYPART_ARC
(17,14),-0.887519 # DEPENDENCYPART_ARC
(17,15),0.181807 # DEPENDENCYPART_ARC
(17,16),0.101898 # DEPENDENCYPART_ARC
(17,18),1.67237 # DEPENDENCYPART_ARC
(17,19),0.177683 # DEPENDENCYPART_ARC
(17,20),0.193296 # DEPENDENCYPART_ARC
(17,21),0.371899 # DEPENDENCYPART_ARC
(17,22),-0.0123014 # DEPENDENCYPART_ARC
(17,23),-0.533712 # DEPENDENCYPART_ARC
(17,24),-0.0829679 # DEPENDENCYPART_ARC
(18,1),0.656664 # DEPENDENCYPART_ARC
(18,2),-0.85967 # DEPENDENCYPART_ARC
(18,3),-0.351362 # DEPENDENCYPART_ARC
(18,4),-0.467211 # DEPENDENCYPART_ARC
(18,5),-0.402882 # DEPENDENCYPART_ARC
(18,6),2.75458 # DEPENDENCYPART_ARC
(18,7),-0.69007 # DEPENDENCYPART_ARC
(18,8),0.194468 # DEPENDENCYPART_ARC
(18,9),0.549452 # DEPENDENCYPART_ARC
(18,10),0.133879 # DEPENDENCYPART_ARC
(18,11),0.456303 # DEPENDENCYPART_ARC
(18,12),-0.112811 # DEPENDENCYPART_ARC
(18,13),2.56024 # DEPENDENCYPART_ARC
(18,14),0.390172 # DEPENDENCYPART_ARC
(18,15),1.83167 # DEPENDENCYPART_ARC
(18,16),0.926356 # DEPENDENCYPART_ARC
(18,17),3.35001 # DEPENDENCYPART_ARC
(18,19),2.05399 # DEPENDENCYPART_ARC
(18,20),1.81983 # DEPENDENCYPART_ARC
(18,21),0.715123 # DEPENDENCYPART_ARC
(18,22),0.771513 # DEPENDENCYPART_ARC
(18,23),1.99534 # DEPENDENCYPART_ARC
(18,24),4.1237 # DEPENDENCYPART_ARC
(19,1),-5.50291 # DEPENDENCYPART_ARC
(19,2),-4.88914 # DEPENDENCYPART_ARC
(19,3),-5.71269 # DEPENDENCYPART_ARC
(19,4),-8.86496 # DEPENDENCYPART_ARC
(19,5),-7.46708 # DEPENDENCYPART_ARC
(19,6),-5.57647 # DEPENDENCYPART_ARC
(19,7),-5.59159 # DEPENDENCYPART_ARC
(19,8),-6.24845 # DEPENDENCYPART_ARC
(19,9),-5.01637 # DEPENDENCYPART_ARC
(19,10),-4.79007 # DEPENDENCYPART_ARC
(19,11),-4.1466 # DEPENDENCYPART_ARC
(19,12),-5.04978 # DEPENDENCYPART_ARC
(19,13),-4.57798 # DEPENDENCYPART_ARC
(19,14),-4.10601 # DEPENDENCYPART_ARC
(19,15),-2.81702 # DEPENDENCYPART_ARC
(19,16),-3.14342 # DEPENDENCYPART_ARC
(19,17),-2.03536 # DEPENDENCYPART_ARC
(19,18),-2.09848 # DEPENDENCYPART_ARC
(19,20),-0.272727 # DEPENDENCYPART_ARC
(19,21),0.648016 # DEPENDENCYPART_ARC
(19,22),-1.0402 # DEPENDENCYPART_ARC
(19,23),-0.744099 # DEPENDENCYPART_ARC
(19,24),-2.08152 # DEPENDENCYPART_ARC
(20,1),-3.1868 # DEPENDENCYPART_ARC
(20,2),-2.45134 # DEPENDENCYPART_ARC
(20,3),-3.38013 # DEPENDENCYPART_ARC
(20,4),-5.27386 # DEPENDENCYPART_ARC
(20,5),-5.1664 # DEPENDENCYPART_ARC
(20,6),-3.31455 # DEPENDENCYPART_ARC
(20,7),-2.49186 # DEPENDENCYPART_ARC
(20,8),-3.79657 # DEPENDENCYPART_ARC
(20,9),-2.70308 # DEPENDENCYPART_ARC
(20,10),-2.29376 # DEPENDENCYPART_ARC
(20,11),-1.64295 # DEPENDENCYPART_ARC
(20,12),-2.44631 # DEPENDENCYPART_ARC
(20,13),-2.21804 # DEPENDENCYPART_ARC
(20,14),-2.00749 # DEPENDENCYPART_ARC
(20,15),-0.518913 # DEPENDENCYPART_ARC
(20,16),-0.885753 # DEPENDENCYPART_ARC
(20,17),0.41946 # DEPENDENCYPART_ARC
(20,18),-0.0246535 # DEPENDENCYPART_ARC
(20,19),6.67766 # DEPENDENCYPART_ARC
(20,21),4.38963 # DEPENDENCYPART_ARC
(20,22),0.97925 # DEPENDENCYPART_ARC
(20,23),-0.0193891 # DEPENDENCYPART_ARC
(20,24),-0.548436 # DEPENDENCYPART_ARC
(21,1),-2.83612 # DEPENDENCYPART_ARC
(21,2),-2.42376 # DEPENDENCYPART_ARC
(21,3),-3.1224 # DEPENDENCYPART_ARC
(21,4),-1.92004 # DEPENDENCYPART_ARC
(21,5),-2.94503 # DEPENDENCYPART_ARC
(21,6),-1.96468 # DEPENDENCYPART_ARC
(21,7),-1.29237 # DEPENDENCYPART_ARC
(21,8),-2.45195 # DEPENDENCYPART_ARC
(21,9),-1.6639 # DEPENDENCYPART_ARC
(21,10),-2.19917 # DEPENDENCYPART_ARC
(21,11),-1.33661 # DEPENDENCYPART_ARC
(21,12),-1.22676 # DEPENDENCYPART_ARC
(21,13),-1.50289 # DEPENDENCYPART_ARC
(21,14),-0.948141 # DEPENDENCYPART_ARC
(21,15),-0.883298 # DEPENDENCYPART_ARC
(21,16),-0.698892 # DEPENDENCYPART_ARC
(21,17),-0.354162 # DEPENDENCYPART_ARC
(21,18),-0.22788 # DEPENDENCYPART_ARC
(21,19),0.829026 # DEPENDENCYPART_ARC
(21,20),1.4604 # DEPENDENCYPART_ARC
(21,22),0.101671 # DEPENDENCYPART_ARC
(21,23),-0.814826 # DEPENDENCYPART_ARC
(21,24),-0.861271 # DEPENDENCYPART_ARC
(22,1),-3.13059 # DEPENDENCYPART_ARC
(22,2),-1.82762 # DEPENDENCYPART_ARC
(22,3),-2.80795 # DEPENDENCYPART_ARC
