# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(4,25),-3.70914 # DEPENDENCYPART_ARC
(4,26),-4.43651 # DEPENDENCYPART_ARC
(4,27),-2.14841 # DEPENDENCYPART_ARC
(5,1),0.378808 # DEPENDENCYPART_ARC
(5,2),-0.757993 # DEPENDENCYPART_ARC
(5,3),0.177558 # DEPENDENCYPART_ARC
(5,4),4.71413 # DEPENDENCYPART_ARC
(5,6),0.427115 # DEPENDENCYPART_ARC
(5,7),0.19168 # DEPENDENCYPART_ARC
(5,8),-0.54664 # DEPENDENCYPART_ARC
(5,9),-0.769749 # DEPENDENCYPART_ARC
(5,10),-0.725594 # DEPENDENCYPART_ARC
(5,11),-0.819468 # DEPENDENCYPART_ARC
(5,12),-2.19255 # DEPENDENCYPART_ARC
(5,13),-0.13478 # DEPENDENCYPART_ARC
(5,14),-1.74781 # DEPENDENCYPART_ARC
(5,15),-0.771631 # DEPENDENCYPART_ARC
(5,16),-1.92217 # DEPENDENCYPART_ARC
(5,17),-1.8635 # DEPENDENCYPART_ARC
(5,18),-1.10276 # DEPENDENCYPART_ARC
(5,19),-1.51919 # DEPENDENCYPART_ARC
(5,20),-2.41885 # DEPENDENCYPART_ARC
(5,21),-3.84516 # DEPENDENCYPART_ARC
(5,22),-3.44568 # DEPENDENCYPART_ARC
(5,23),-2.87869 # DEPENDENCYPART_ARC
(5,24),-2.58518 # DEPENDENCYPART_ARC
(5,25),-2.87368 # DEPENDENCYPART_ARC
(5,26),-3.62261 # DEPENDENCYPART_ARC
(5,27),-1.10206 # DEPENDENCYPART_ARC
(6,1),0.111497 # DEPENDENCYPART_ARC
(6,2),2.25507 # DEPENDENCYPART_ARC
(6,3),0.564092 # DEPENDENCYPART_ARC
(6,4),1.28745 # DEPENDENCYPART_ARC
(6,5),2.61766 # DEPENDENCYPART_ARC
(6,7),0.44989 # DEPENDENCYPART_ARC
(6,8),3.33544 # DEPENDENCYPART_ARC
(6,9),1.35402 # DEPENDENCYPART_ARC
(6,10),0.26934 # DEPENDENCYPART_ARC
(6,11),-1.15244 # DEPENDENCYPART_ARC
(6,12),-2.14646 # DEPENDENCYPART_ARC
(6,13),-0.526017 # DEPENDENCYPART_ARC
(6,14),-1.39131 # DEPENDENCYPART_ARC
(6,15),2.3758 # DEPENDENCYPART_ARC
(6,16),4.36201 # DEPENDENCYPART_ARC
(6,17),0.890586 # DEPENDENCYPART_ARC
(6,18),0.764038 # DEPENDENCYPART_ARC
(6,19),0.420645 # DEPENDENCYPART_ARC
(6,20),-1.70612 # DEPENDENCYPART_ARC
(6,21),-3.55519 # DEPENDENCYPART_ARC
(6,22),-3.58745 # DEPENDENCYPART_ARC
(6,23),0.989761 # DEPENDENCYPART_ARC
(6,24),-3.42 # DEPENDENCYPART_ARC
(6,25),-2.4126 # DEPENDENCYPART_ARC
(6,26),-3.85471 # DEPENDENCYPART_ARC
(6,27),7.88761 # DEPENDENCYPART_ARC
(7,1),-1.16709 # DEPENDENCYPART_ARC
(7,2),-2.12326 # DEPENDENCYPART_ARC
(7,3),-1.3487 # DEPENDENCYPART_ARC
(7,4),-1.29186 # DEPENDENCYPART_ARC
(7,5),-1.18748 # DEPENDENCYPART_ARC
(7,6),-0.452804 # DEPENDENCYPART_ARC
(7,8),0.915219 # DEPENDENCYPART_ARC
(7,9),-0.341323 # DEPENDENCYPART_ARC
(7,10),-0.757333 # DEPENDENCYPART_ARC
(7,11),-0.605589 # DEPENDENCYPART_ARC
(7,12),-0.757646 # DEPENDENCYPART_ARC
(7,13),-1.65048 # DEPENDENCYPART_ARC
(7,14),-1.0528 # DEPENDENCYPART_ARC
(7,15),0.0331468 # DEPENDENCYPART_ARC
(7,16),-0.95772 # DEPENDENCYPART_ARC
(7,17),-1.13623 # DEPENDENCYPART_ARC
(7,18),0.124357 # DEPENDENCYPART_ARC
(7,19),-1.46857 # DEPENDENCYPART_ARC
(7,20),-1.68319 # DEPENDENCYPART_ARC
(7,21),-1.99237 # DEPENDENCYPART_ARC
(7,22),-2.02496 # DEPENDENCYPART_ARC
(7,23),-1.59794 # DEPENDENCYPART_ARC
(7,24),-2.01199 # DEPENDENCYPART_ARC
(7,25),-2.69816 # DEPENDENCYPART_ARC
(7,26),-2.7193 # DEPENDENCYPART_ARC
(7,27),-1.60014 # DEPENDENCYPART_ARC
(8,1),-0.435021 # DEPENDENCYPART_ARC
(8,2),-0.0173781 # DEPENDENCYPART_ARC
(8,3),-0.732377 # DEPENDENCYPART_ARC
(8,4),-1.31857 # DEPENDENCYPART_ARC
(8,5),-0.557175 # DEPENDENCYPART_ARC
(8,6),0.276411 # DEPENDENCYPART_ARC
(8,7),3.91953 # DEPENDENCYPART_ARC
(8,9),4.08328 # DEPENDENCYPART_ARC
(8,10),3.86542 # DEPENDENCYPART_ARC
(8,11),-0.290781 # DEPENDENCYPART_ARC
(8,12),0.402435 # DEPENDENCYPART_ARC
(8,13),0.238772 # DEPENDENCYPART_ARC
(8,14),0.60573 # DEPENDENCYPART_ARC
(8,15),1.64441 # DEPENDENCYPART_ARC
(8,16),3.30978 # DEPENDENCYPART_ARC
(8,17),0.397717 # DEPENDENCYPART_ARC
(8,18),1.05972 # DEPENDENCYPART_ARC
(8,19),0.766049 # DEPENDENCYPART_ARC
(8,20),-0.572697 # DEPENDENCYPART_ARC
(8,21),-2.15049 # DEPENDENCYPART_ARC
(8,22),-2.24036 # DEPENDENCYPART_ARC
(8,23),-0.166252 # DEPENDENCYPART_ARC
(8,24),-1.72079 # DEPENDENCYPART_ARC
(8,25),-1.84252 # DEPENDENCYPART_ARC
(8,26),-1.95286 # DEPENDENCYPART_ARC
(8,27),4.34407 # DEPENDENCYPART_ARC
(9,1),-0.346919 # DEPENDENCYPART_ARC
(9,2),-1.53237 # DEPENDENCYPART_ARC
(9,3),-1.20687 # DEPENDENCYPART_ARC
(9,4),-1.48735 # DEPENDENCYPART_ARC
(9,5),-1.30934 # DEPENDENCYPART_ARC
(9,6),-0.9859 # DEPENDENCYPART_ARC
(9,7),-0.209475 # DEPENDENCYPART_ARC
(9,8),-0.0266014 # DEPENDENCYPART_ARC
(9,10),0.028298 # DEPENDENCYPART_ARC
(9,11),-0.641643 # DEPENDENCYPART_ARC
(9,12),-0.591929 # DEPENDENCYPART_ARC
(9,13),-1.43335 # DEPENDENCYPART_ARC
(9,14),-0.919635 # DEPENDENCYPART_ARC
(9,15),-0.35831 # DEPENDENCYPART_ARC
(9,16),-0.680384 # DEPENDENCYPART_ARC
(9,17),-1.3384 # DEPENDENCYPART_ARC
(9,18),-0.720846 # DEPENDENCYPART_ARC
(9,19),-1.36793 # DEPENDENCYPART_ARC
(9,20),-2.4786 # DEPENDENCYPART_ARC
(9,21),-2.75815 # DEPENDENCYPART_ARC
(9,22),-2.77917 # DEPENDENCYPART_ARC
(9,23),-2.17546 # DEPENDENCYPART_ARC
(9,24),-2.49587 # DEPENDENCYPART_ARC
(9,25),-2.92656 # DEPENDENCYPART_ARC
(9,26),-3.37082 # DEPENDENCYPART_ARC
(9,27),-0.708969 # DEPENDENCYPART_ARC
(10,1),-0.777736 # DEPENDENCYPART_ARC
(10,2),-0.919914 # DEPENDENCYPART_ARC
(10,3),0.0260904 # DEPENDENCYPART_ARC
(10,4),-0.662508 # DEPENDENCYPART_ARC
(10,5),-0.889746 # DEPENDENCYPART_ARC
(10,6),-0.898102 # DEPENDENCYPART_ARC
(10,7),0.657798 # DEPENDENCYPART_ARC
(10,8),-0.36881 # DEPENDENCYPART_ARC
(10,9),1.28349 # DEPENDENCYPART_ARC
(10,11),1.53072 # DEPENDENCYPART_ARC
(10,12),2.6611 # DEPENDENCYPART_ARC
(10,13),0.877251 # DEPENDENCYPART_ARC
(10,14),2.55858 # DEPENDENCYPART_ARC
(10,15),1.6148 # DEPENDENCYPART_ARC
(10,16),2.17063 # DEPENDENCYPART_ARC
(10,17),1.10002 # DEPENDENCYPART_ARC
(10,18),0.748598 # DEPENDENCYPART_ARC
(10,19),1.09966 # DEPENDENCYPART_ARC
(10,20),0.300566 # DEPENDENCYPART_ARC
(10,21),-0.237326 # DEPENDENCYPART_ARC
(10,22),0.0489483 # DEPENDENCYPART_ARC
(10,23),-0.0786806 # DEPENDENCYPART_ARC
(10,24),-0.422703 # DEPENDENCYPART_ARC
(10,25),-0.787835 # DEPENDENCYPART_ARC
(10,26),-0.352375 # DEPENDENCYPART_ARC
(10,27),2.00923 # DEPENDENCYPART_ARC
(11,1),-2.46614 # DEPENDENCYPART_ARC
(11,2),-3.16108 # DEPENDENCYPART_ARC
(11,3),-2.38605 # DEPENDENCYPART_ARC
(11,4),-2.60952 # DEPENDENCYPART_ARC
(11,5),-2.48132 # DEPENDENCYPART_ARC
(11,6),-2.3899 # DEPENDENCYPART_ARC
(11,7),-1.73948 # DEPENDENCYPART_ARC
(11,8),-1.81449 # DEPENDENCYPART_ARC
(11,9),-1.00083 # DEPENDENCYPART_ARC
(11,10),-0.848297 # DEPENDENCYPART_ARC
(11,12),0.0147476 # DEPENDENCYPART_ARC
(11,13),-0.866167 # DEPENDENCYPART_ARC
(11,14),-0.999332 # DEPENDENCYPART_ARC
(11,15),-1.21871 # DEPENDENCYPART_ARC
(11,16),-1.14703 # DEPENDENCYPART_ARC
(11,17),-1.2385 # DEPENDENCYPART_ARC
(11,18),-0.922275 # DEPENDENCYPART_ARC
(11,19),-1.89611 # DEPENDENCYPART_ARC
(11,20),-1.86911 # DEPENDENCYPART_ARC
(11,21),-2.47219 # DEPENDENCYPART_ARC
(11,22),-2.72729 # DEPENDENCYPART_ARC
(11,23),-2.32196 # DEPENDENCYPART_ARC
(11,24),-2.31546 # DEPENDENCYPART_ARC
(11,25),-3.22341 # DEPENDENCYPART_ARC
(11,26),-2.82176 # DEPENDENCYPART_ARC
(11,27),-2.06012 # DEPENDENCYPART_ARC
(12,1),-1.54956 # DEPENDENCYPART_ARC
(12,2),-3.67789 # DEPENDENCYPART_ARC
(12,3),-1.18652 # DEPENDENCYPART_ARC
(12,4),-1.82008 # DEPENDENCYPART_ARC
(12,5),-2.70859 # DEPENDENCYPART_ARC
(12,6),-1.3577 # DEPENDENCYPART_ARC
(12,7),-0.504965 # DEPENDENCYPART_ARC
(12,8),-0.619051 # DEPENDENCYPART_ARC
(12,9),-0.339201 # DEPENDENCYPART_ARC
(12,10),0.522057 # DEPENDENCYPART_ARC
(12,11),4.71424 # DEPENDENCYPART_ARC
(12,13),4.25462 # DEPENDENCYPART_ARC
(12,14),0.603161 # DEPENDENCYPART_ARC
(12,15),0.768168 # DEPENDENCYPART_ARC
(12,16),-0.606625 # DEPENDENCYPART_ARC
(12,17),0.0840729 # DEPENDENCYPART_ARC
(12,18),0.352841 # DEPENDENCYPART_ARC
(12,19),0.106337 # DEPENDENCYPART_ARC
(12,20),-1.22949 # DEPENDENCYPART_ARC
(12,21),-0.97407 # DEPENDENCYPART_ARC
(12,22),-0.913368 # DEPENDENCYPART_ARC
(12,23),-0.353579 # DEPENDENCYPART_ARC
(12,24),-2.05548 # DEPENDENCYPART_ARC
(12,25),-2.18777 # DEPENDENCYPART_ARC
(12,26),-1.69453 # DEPENDENCYPART_ARC
(12,27),0.561684 # DEPENDENCYPART_ARC
(13,1),-1.21024 # DEPENDENCYPART_ARC
(13,2),-2.41804 # DEPENDENCYPART_ARC
(13,3),-1.95867 # DEPENDENCYPART_ARC
(13,4),-0.849974 # DEPENDENCYPART_ARC
(13,5),-0.904275 # DEPENDENCYPART_ARC
(13,6),-1.04751 # DEPENDENCYPART_ARC
(13,7),-0.515844 # DEPENDENCYPART_ARC
(13,8),-0.88344 # DEPENDENCYPART_ARC
(13,9),-0.457834 # DEPENDENCYPART_ARC
(13,10),0.33216 # DEPENDENCYPART_ARC
(13,11),1.43902 # DEPENDENCYPART_ARC
(13,12),0.377558 # DEPENDENCYPART_ARC
(13,14),-0.278151 # DEPENDENCYPART_ARC
(13,15),-0.690432 # DEPENDENCYPART_ARC
(13,16),-0.422771 # DEPENDENCYPART_ARC
(13,17),-1.06968 # DEPENDENCYPART_ARC
(13,18),-1.10751 # DEPENDENCYPART_ARC
(13,19),-1.45843 # DEPENDENCYPART_ARC
(13,20),-1.80243 # DEPENDENCYPART_ARC
(13,21),-2.4203 # DEPENDENCYPART_ARC
(13,22),-2.47409 # DEPENDENCYPART_ARC
(13,23),-1.9889 # DEPENDENCYPART_ARC
(13,24),-2.42359 # DEPENDENCYPART_ARC
(13,25),-2.80648 # DEPENDENCYPART_ARC
(13,26),-3.16424 # DEPENDENCYPART_ARC
(13,27),-2.32636 # DEPENDENCYPART_ARC
(14,1),-2.07229 # DEPENDENCYPART_ARC
(14,2),-3.28239 # DEPENDENCYPART_ARC
(14,3),-0.591816 # DEPENDENCYPART_ARC
(14,4),-1.38705 # DEPENDENCYPART_ARC
(14,5),-2.22018 # DEPENDENCYPART_ARC
(14,6),-1.02912 # DEPENDENCYPART_ARC
(14,7),-0.301409 # DEPENDENCYPART_ARC
(14,8),-0.570567 # DEPENDENCYPART_ARC
(14,9),0.362997 # DEPENDENCYPART_ARC
(14,10),0.52072 # DEPENDENCYPART_ARC
(14,11),2.57505 # DEPENDENCYPART_ARC
(14,12),4.84508 # DEPENDENCYPART_ARC
(14,13),1.4173 # DEPENDENCYPART_ARC
(14,15),0.89841 # DEPENDENCYPART_ARC
(14,16),0.449103 # DEPENDENCYPART_ARC
(14,17),0.360734 # DEPENDENCYPART_ARC
(14,18),0.51968 # DEPENDENCYPART_ARC
(14,19),0.278802 # DEPENDENCYPART_ARC
(14,20),-0.903549 # DEPENDENCYPART_ARC
(14,21),-0.310897 # DEPENDENCYPART_ARC
(14,22),-0.65234 # DEPENDENCYPART_ARC
(14,23),-1.02153 # DEPENDENCYPART_ARC
(14,24),-1.42665 # DEPENDENCYPART_ARC
(14,25),-1.90054 # DEPENDENCYPART_ARC
(14,26),-1.12938 # DEPENDENCYPART_ARC
(14,27),0.941186 # DEPENDENCYPART_ARC
(15,1),-2.15046 # DEPENDENCYPART_ARC
(15,2),-2.52147 # DEPENDENCYPART_ARC
(15,3),-1.99436 # DEPENDENCYPART_ARC
(15,4),-2.38059 # DEPENDENCYPART_ARC
(15,5),-2.18807 # DEPENDENCYPART_ARC
(15,6),-1.77513 # DEPENDENCYPART_ARC
(15,7),-1.95448 # DEPENDENCYPART_ARC
(15,8),-1.52708 # DEPENDENCYPART_ARC
(15,9),-1.98383 # DEPENDENCYPART_ARC
(15,10),-1.1519 # DEPENDENCYPART_ARC
(15,11),-0.80534 # DEPENDENCYPART_ARC
(15,12),-1.11864 # DEPENDENCYPART_ARC
(15,13),-0.984099 # DEPENDENCYPART_ARC
(15,14),-0.656425 # DEPENDENCYPART_ARC
(15,16),0.0593438 # DEPENDENCYPART_ARC
(15,17),-0.151349 # DEPENDENCYPART_ARC
(15,18),1.04116 # DEPENDENCYPART_ARC
(15,19),-0.313546 # DEPENDENCYPART_ARC
(15,20),-1.43454 # DEPENDENCYPART_ARC
(15,21),-1.58003 # DEPENDENCYPART_ARC
(15,22),-1.70988 # DEPENDENCYPART_ARC
(15,23),-1.37912 # DEPENDENCYPART_ARC
(15,24),-1.41716 # DEPENDENCYPART_ARC
(15,25),-2.28066 # DEPENDENCYPART_ARC
(15,26),-2.30559 # DEPENDENCYPART_ARC
(15,27),-1.34023 # DEPENDENCYPART_ARC
(16,1),-2.09491 # DEPENDENCYPART_ARC
(16,2),-2.47349 # DEPENDENCYPART_ARC
(16,3),-1.53126 # DEPENDENCYPART_ARC
(16,4),-1.6493 # DEPENDENCYPART_ARC
(16,5),-1.64319 # DEPENDENCYPART_ARC
(16,6),-0.251386 # DEPENDENCYPART_ARC
(16,7),-1.77185 # DEPENDENCYPART_ARC
(16,8),-0.641345 # DEPENDENCYPART_ARC
(16,9),-1.63892 # DEPENDENCYPART_ARC
(16,10),-1.20134 # DEPENDENCYPART_ARC
(16,11),-0.72425 # DEPENDENCYPART_ARC
(16,12),-0.81972 # DEPENDENCYPART_ARC
(16,13),-0.564541 # DEPENDENCYPART_ARC
(16,14),-0.404548 # DEPENDENCYPART_ARC
(16,15),-0.35316 # DEPENDENCYPART_ARC
(16,17),3.65351 # DEPENDENCYPART_ARC
(16,18),0.660693 # DEPENDENCYPART_ARC
(16,19),-0.218005 # DEPENDENCYPART_ARC
(16,20),-1.07418 # DEPENDENCYPART_ARC
(16,21),-1.48682 # DEPENDENCYPART_ARC
(16,22),-2.8699 # DEPENDENCYPART_ARC
(16,23),0.96529 # DEPENDENCYPART_ARC
(16,24),-1.39953 # DEPENDENCYPART_ARC
(16,25),-2.18688 # DEPENDENCYPART_ARC
(16,26),-4.00646 # DEPENDENCYPART_ARC
(16,27),-0.213995 # DEPENDENCYPART_ARC
(17,1),-2.37182 # DEPENDENCYPART_ARC
(17,2),-1.8269 # DEPENDENCYPART_ARC
(17,3),-2.92319 # DEPENDENCYPART_ARC
(17,4),-1.68474 # DEPENDENCYPART_ARC
(17,5),-1.42495 # DEPENDENCYPART_ARC
(17,6),-1.30387 # DEPENDENCYPART_ARC
(17,7),-0.132465 # DEPENDENCYPART_ARC
(17,8),-1.02952 # DEPENDENCYPART_ARC
(17,9),-1.59942 # DEPENDENCYPART_ARC
(17,10),-0.764287 # DEPENDENCYPART_ARC
(17,11),-1.27829 # DEPENDENCYPART_ARC
(17,12),-0.734486 # DEPENDENCYPART_ARC
(17,13),-1.01565 # DEPENDENCYPART_ARC
(17,14),-0.611266 # DEPENDENCYPART_ARC
(17,15),-0.424849 # DEPENDENCYPART_ARC
(17,16),0.379743 # DEPENDENCYPART_ARC
(17,18),3.38624 # DEPENDENCYPART_ARC
(17,19),2.52334 # DEPENDENCYPART_ARC
(17,20),0.598256 # DEPENDENCYPART_ARC
(17,21),-0.00973735 # DEPENDENCYPART_ARC
(17,22),0.0388853 # DEPENDENCYPART_ARC
(17,23),1.35997 # DEPENDENCYPART_ARC
(17,24),0.160426 # DEPENDENCYPART_ARC
(17,25),-1.15803 # DEPENDENCYPART_ARC
(17,26),-1.02328 # DEPENDENCYPART_ARC
(17,27),3.1107 # DEPENDENCYPART_ARC
(18,1),-2.97861 # DEPENDENCYPART_ARC
(18,2),-3.24867 # DEPENDENCYPART_ARC
(18,3),-2.85363 # DEPENDENCYPART_ARC
(18,4),-3.26279 # DEPENDENCYPART_ARC
(18,5),-3.12319 # DEPENDENCYPART_ARC
(18,6),-2.51901 # DEPENDENCYPART_ARC
(18,7),-2.78817 # DEPENDENCYPART_ARC
(18,8),-2.3388 # DEPENDENCYPART_ARC
(18,9),-2.90434 # DEPENDENCYPART_ARC
(18,10),-1.84907 # DEPENDENCYPART_ARC
(18,11),-1.73039 # DEPENDENCYPART_ARC
(18,12),-2.05505 # DEPENDENCYPART_ARC
(18,13),-2.10269 # DEPENDENCYPART_ARC
(18,14),-1.85882 # DEPENDENCYPART_ARC
(18,15),-0.474995 # DEPENDENCYPART_ARC
(18,16),-1.52401 # DEPENDENCYPART_ARC
(18,17),-0.965801 # DEPENDENCYPART_ARC
(18,19),0.442144 # DEPENDENCYPART_ARC
(18,20),-0.705769 # DEPENDENCYPART_ARC
(18,21),-0.658347 # DEPENDENCYPART_ARC
(18,22),-0.940857 # DEPENDENCYPART_ARC
(18,23),-0.893743 # DEPENDENCYPART_ARC
(18,24),-1.07065 # DEPENDENCYPART_ARC
(18,25),-1.88702 # DEPENDENCYPART_ARC
(18,26),-1.93048 # DEPENDENCYPART_ARC
(18,27),-1.12685 # DEPENDENCYPART_ARC
(19,1),-3.05863 # DEPENDENCYPART_ARC
(19,2),-3.197 # DEPENDENCYPART_ARC
(19,3),-2.83537 # DEPENDENCYPART_ARC
(19,4),-2.96642 # DEPENDENCYPART_ARC
(19,5),-2.90297 # DEPENDENCYPART_ARC
(19,6),-2.54302 # DEPENDENCYPART_ARC
(19,7),-2.90096 # DEPENDENCYPART_ARC
(19,8),-2.36872 # DEPENDENCYPART_ARC
(19,9),-2.34665 # DEPENDENCYPART_ARC
(19,10),-2.12752 # DEPENDENCYPART_ARC
(19,11),-1.74567 # DEPENDENCYPART_ARC
(19,12),-1.98712 # DEPENDENCYPART_ARC
(19,13),-1.88544 # DEPENDENCYPART_ARC
