# _root_ Other brokerage firms , including Merrill Lynch & Co. , were plotting out potential new ad strategies .
#goldHeads=3,3,11,3,3,7,5,7,8,3,0,11,12,17,17,17,12,11,
#predictedHeads=3,3,11,3,3,7,5,7,8,7,0,11,12,17,17,17,12,11,
(7,14),0.383839 # DEPENDENCYPART_ARC
(7,15),0.332774 # DEPENDENCYPART_ARC
(7,16),-0.0830213 # DEPENDENCYPART_ARC
(7,17),0.201162 # DEPENDENCYPART_ARC
(7,18),0.503225 # DEPENDENCYPART_ARC
(8,1),-0.528547 # DEPENDENCYPART_ARC
(8,2),-0.520458 # DEPENDENCYPART_ARC
(8,3),-0.208582 # DEPENDENCYPART_ARC
(8,4),-0.258333 # DEPENDENCYPART_ARC
(8,5),0.648547 # DEPENDENCYPART_ARC
(8,6),0.562327 # DEPENDENCYPART_ARC
(8,7),1.01075 # DEPENDENCYPART_ARC
(8,9),4.20896 # DEPENDENCYPART_ARC
(8,10),1.65001 # DEPENDENCYPART_ARC
(8,11),0.883373 # DEPENDENCYPART_ARC
(8,12),0.308525 # DEPENDENCYPART_ARC
(8,13),0.565507 # DEPENDENCYPART_ARC
(8,14),-0.0671023 # DEPENDENCYPART_ARC
(8,15),-0.174846 # DEPENDENCYPART_ARC
(8,16),-0.412466 # DEPENDENCYPART_ARC
(8,17),-0.359813 # DEPENDENCYPART_ARC
(8,18),-0.266478 # DEPENDENCYPART_ARC
(9,1),-2.58609 # DEPENDENCYPART_ARC
(9,2),-2.96264 # DEPENDENCYPART_ARC
(9,3),-3.55718 # DEPENDENCYPART_ARC
(9,4),-2.93829 # DEPENDENCYPART_ARC
(9,5),-2.2082 # DEPENDENCYPART_ARC
(9,6),-1.01555 # DEPENDENCYPART_ARC
(9,7),-2.11812 # DEPENDENCYPART_ARC
(9,8),-0.757247 # DEPENDENCYPART_ARC
(9,10),-0.314883 # DEPENDENCYPART_ARC
(9,11),-1.72348 # DEPENDENCYPART_ARC
(9,12),-1.63998 # DEPENDENCYPART_ARC
(9,13),-2.04471 # DEPENDENCYPART_ARC
(9,14),-1.7593 # DEPENDENCYPART_ARC
(9,15),-1.90678 # DEPENDENCYPART_ARC
(9,16),-2.72777 # DEPENDENCYPART_ARC
(9,17),-2.90475 # DEPENDENCYPART_ARC
(9,18),-2.1007 # DEPENDENCYPART_ARC
(10,1),-1.78583 # DEPENDENCYPART_ARC
(10,2),-1.56873 # DEPENDENCYPART_ARC
(10,3),-1.8864 # DEPENDENCYPART_ARC
(10,4),-0.338495 # DEPENDENCYPART_ARC
(10,5),-1.39963 # DEPENDENCYPART_ARC
(10,6),-1.53637 # DEPENDENCYPART_ARC
(10,7),-1.2302 # DEPENDENCYPART_ARC
(10,8),-0.904375 # DEPENDENCYPART_ARC
(10,9),-0.69663 # DEPENDENCYPART_ARC
(10,11),-0.414772 # DEPENDENCYPART_ARC
(10,12),-1.30388 # DEPENDENCYPART_ARC
(10,13),-1.65357 # DEPENDENCYPART_ARC
(10,14),-2.11359 # DEPENDENCYPART_ARC
(10,15),-2.28513 # DEPENDENCYPART_ARC
(10,16),-2.79829 # DEPENDENCYPART_ARC
(10,17),-2.77579 # DEPENDENCYPART_ARC
(10,18),-2.03228 # DEPENDENCYPART_ARC
(11,1),0.330168 # DEPENDENCYPART_ARC
(11,2),0.298027 # DEPENDENCYPART_ARC
(11,3),1.4437 # DEPENDENCYPART_ARC
(11,4),0.280865 # DEPENDENCYPART_ARC
(11,5),0.28826 # DEPENDENCYPART_ARC
(11,6),0.220145 # DEPENDENCYPART_ARC
(11,7),1.02061 # DEPENDENCYPART_ARC
(11,8),0.216805 # DEPENDENCYPART_ARC
(11,9),0.0205949 # DEPENDENCYPART_ARC
(11,10),1.48399 # DEPENDENCYPART_ARC
(11,12),3.53356 # DEPENDENCYPART_ARC
(11,13),1.79708 # DEPENDENCYPART_ARC
(11,14),0.80606 # DEPENDENCYPART_ARC
(11,15),0.058778 # DEPENDENCYPART_ARC
(11,16),0.576076 # DEPENDENCYPART_ARC
(11,17),0.554946 # DEPENDENCYPART_ARC
(11,18),4.20217 # DEPENDENCYPART_ARC
(12,1),-1.40542 # DEPENDENCYPART_ARC
(12,2),-1.10924 # DEPENDENCYPART_ARC
(12,3),-0.556103 # DEPENDENCYPART_ARC
(12,4),-0.476993 # DEPENDENCYPART_ARC
(12,5),-0.355467 # DEPENDENCYPART_ARC
(12,6),0.193219 # DEPENDENCYPART_ARC
(12,7),0.266911 # DEPENDENCYPART_ARC
(12,8),-0.553523 # DEPENDENCYPART_ARC
(12,9),0.47208 # DEPENDENCYPART_ARC
(12,10),0.470663 # DEPENDENCYPART_ARC
(12,11),0.498508 # DEPENDENCYPART_ARC
(12,13),3.75186 # DEPENDENCYPART_ARC
(12,14),2.0932 # DEPENDENCYPART_ARC
(12,15),1.46417 # DEPENDENCYPART_ARC
(12,16),2.38709 # DEPENDENCYPART_ARC
(12,17),2.95893 # DEPENDENCYPART_ARC
(12,18),0.732159 # DEPENDENCYPART_ARC
(13,1),-0.992041 # DEPENDENCYPART_ARC
(13,2),-1.53323 # DEPENDENCYPART_ARC
(13,3),-1.21601 # DEPENDENCYPART_ARC
(13,4),-0.840523 # DEPENDENCYPART_ARC
(13,5),-0.540101 # DEPENDENCYPART_ARC
(13,6),-0.668229 # DEPENDENCYPART_ARC
(13,7),-0.532065 # DEPENDENCYPART_ARC
(13,8),-0.809665 # DEPENDENCYPART_ARC
(13,9),-0.200399 # DEPENDENCYPART_ARC
(13,10),0.308927 # DEPENDENCYPART_ARC
(13,11),-0.150074 # DEPENDENCYPART_ARC
(13,12),1.2869 # DEPENDENCYPART_ARC
(13,14),0.590963 # DEPENDENCYPART_ARC
(13,15),-0.0366824 # DEPENDENCYPART_ARC
(13,16),0.224603 # DEPENDENCYPART_ARC
(13,17),-0.139421 # DEPENDENCYPART_ARC
(13,18),-0.332829 # DEPENDENCYPART_ARC
(14,1),-1.38156 # DEPENDENCYPART_ARC
(14,2),-2.4071 # DEPENDENCYPART_ARC
(14,3),-2.14109 # DEPENDENCYPART_ARC
(14,4),-1.21597 # DEPENDENCYPART_ARC
(14,5),-1.6051 # DEPENDENCYPART_ARC
(14,6),-0.621962 # DEPENDENCYPART_ARC
(14,7),-1.18163 # DEPENDENCYPART_ARC
(14,8),-1.41948 # DEPENDENCYPART_ARC
(14,9),-0.552681 # DEPENDENCYPART_ARC
(14,10),-0.42416 # DEPENDENCYPART_ARC
(14,11),-0.906271 # DEPENDENCYPART_ARC
(14,12),-0.0409551 # DEPENDENCYPART_ARC
(14,13),1.00645 # DEPENDENCYPART_ARC
(14,15),1.30486 # DEPENDENCYPART_ARC
(14,16),1.22667 # DEPENDENCYPART_ARC
(14,17),0.853488 # DEPENDENCYPART_ARC
(14,18),-0.0610297 # DEPENDENCYPART_ARC
(15,1),-1.83975 # DEPENDENCYPART_ARC
(15,2),-2.87157 # DEPENDENCYPART_ARC
(15,3),-2.70871 # DEPENDENCYPART_ARC
(15,4),-1.66809 # DEPENDENCYPART_ARC
(15,5),-2.05444 # DEPENDENCYPART_ARC
(15,6),-1.02914 # DEPENDENCYPART_ARC
(15,7),-1.75203 # DEPENDENCYPART_ARC
(15,8),-2.00198 # DEPENDENCYPART_ARC
(15,9),-1.22206 # DEPENDENCYPART_ARC
(15,10),-0.908433 # DEPENDENCYPART_ARC
(15,11),-1.64091 # DEPENDENCYPART_ARC
(15,12),-0.837171 # DEPENDENCYPART_ARC
(15,13),-0.102687 # DEPENDENCYPART_ARC
(15,14),1.52535 # DEPENDENCYPART_ARC
(15,16),1.21191 # DEPENDENCYPART_ARC
(15,17),0.647024 # DEPENDENCYPART_ARC
(15,18),-0.258109 # DEPENDENCYPART_ARC
(16,1),-2.63831 # DEPENDENCYPART_ARC
(16,2),-3.63986 # DEPENDENCYPART_ARC
(16,3),-4.27765 # DEPENDENCYPART_ARC
(16,4),-4.41048 # DEPENDENCYPART_ARC
(16,5),-2.81458 # DEPENDENCYPART_ARC
(16,6),-1.94554 # DEPENDENCYPART_ARC
(16,7),-3.00111 # DEPENDENCYPART_ARC
(16,8),-2.38641 # DEPENDENCYPART_ARC
(16,9),-2.39832 # DEPENDENCYPART_ARC
(16,10),-2.37124 # DEPENDENCYPART_ARC
(16,11),-1.62491 # DEPENDENCYPART_ARC
(16,12),-0.806247 # DEPENDENCYPART_ARC
(16,13),-0.795042 # DEPENDENCYPART_ARC
(16,14),1.3812 # DEPENDENCYPART_ARC
(16,15),1.89678 # DEPENDENCYPART_ARC
(16,17),0.9368 # DEPENDENCYPART_ARC
(16,18),-0.694094 # DEPENDENCYPART_ARC
(17,1),1.07253 # DEPENDENCYPART_ARC
(17,2),-0.262929 # DEPENDENCYPART_ARC
(17,3),-1.65529 # DEPENDENCYPART_ARC
(17,4),-1.01233 # DEPENDENCYPART_ARC
(17,5),-0.954165 # DEPENDENCYPART_ARC
(17,6),-0.249984 # DEPENDENCYPART_ARC
(17,7),-1.4321 # DEPENDENCYPART_ARC
(17,8),-0.202074 # DEPENDENCYPART_ARC
(17,9),-0.22234 # DEPENDENCYPART_ARC
(17,10),0.0206972 # DEPENDENCYPART_ARC
(17,11),0.306089 # DEPENDENCYPART_ARC
(17,12),1.19202 # DEPENDENCYPART_ARC
(17,13),0.489476 # DEPENDENCYPART_ARC
(17,14),3.61216 # DEPENDENCYPART_ARC
(17,15),4.45936 # DEPENDENCYPART_ARC
(17,16),5.06058 # DEPENDENCYPART_ARC
(17,18),0.875257 # DEPENDENCYPART_ARC
(18,1),-2.94915 # DEPENDENCYPART_ARC
(18,2),-2.64476 # DEPENDENCYPART_ARC
(18,3),-2.97214 # DEPENDENCYPART_ARC
(18,4),-1.5474 # DEPENDENCYPART_ARC
(18,5),-1.84831 # DEPENDENCYPART_ARC
(18,6),-2.1845 # DEPENDENCYPART_ARC
(18,7),-2.26661 # DEPENDENCYPART_ARC
(18,8),-1.95194 # DEPENDENCYPART_ARC
(18,9),-2.04169 # DEPENDENCYPART_ARC
(18,10),-0.679891 # DEPENDENCYPART_ARC
(18,11),-1.20718 # DEPENDENCYPART_ARC
(18,12),-1.12045 # DEPENDENCYPART_ARC
(18,13),-1.69614 # DEPENDENCYPART_ARC
(18,14),-1.66862 # DEPENDENCYPART_ARC
(18,15),-1.33234 # DEPENDENCYPART_ARC
(18,16),-1.89763 # DEPENDENCYPART_ARC
(18,17),-1.76859 # DEPENDENCYPART_ARC
