# _root_ If you side with the arbitragers and raiders , you clearly have more to fear from private investors than from regulators , although the Delaware courts should never be underestimated .
#goldHeads=12,3,1,3,6,4,6,7,12,12,12,0,12,13,14,15,18,16,13,19,20,12,12,26,26,27,23,27,27,29,12,
#predictedHeads=12,3,1,3,6,4,6,7,12,12,12,0,12,13,14,15,18,16,13,19,20,12,12,26,26,27,23,27,27,29,12,
(1,11),-0.602582 # DEPENDENCYPART_ARC
(1,12),0.927858 # DEPENDENCYPART_ARC
(1,13),-1.31026 # DEPENDENCYPART_ARC
(1,14),-2.5949 # DEPENDENCYPART_ARC
(1,15),-0.772773 # DEPENDENCYPART_ARC
(1,16),-0.804662 # DEPENDENCYPART_ARC
(1,17),-2.67606 # DEPENDENCYPART_ARC
(1,18),-9.89673 # DEPENDENCYPART_ARC
(1,19),-0.554739 # DEPENDENCYPART_ARC
(1,20),-1.04672 # DEPENDENCYPART_ARC
(1,21),-10.4287 # DEPENDENCYPART_ARC
(1,22),-0.822979 # DEPENDENCYPART_ARC
(1,23),-2.39675 # DEPENDENCYPART_ARC
(1,24),-4.96827 # DEPENDENCYPART_ARC
(1,25),-11.8668 # DEPENDENCYPART_ARC
(1,26),-14.3676 # DEPENDENCYPART_ARC
(1,27),0.109498 # DEPENDENCYPART_ARC
(1,28),-1.97974 # DEPENDENCYPART_ARC
(1,29),-1.63267 # DEPENDENCYPART_ARC
(1,30),-1.85654 # DEPENDENCYPART_ARC
(1,31),1.73783 # DEPENDENCYPART_ARC
(2,1),-0.000991847 # DEPENDENCYPART_ARC
(2,3),0.622949 # DEPENDENCYPART_ARC
(2,4),0.207682 # DEPENDENCYPART_ARC
(2,5),-0.570035 # DEPENDENCYPART_ARC
(2,6),-0.668616 # DEPENDENCYPART_ARC
(2,7),-0.129934 # DEPENDENCYPART_ARC
(2,8),-1.06856 # DEPENDENCYPART_ARC
(2,9),0.159214 # DEPENDENCYPART_ARC
(2,10),-0.973948 # DEPENDENCYPART_ARC
(2,11),-1.39272 # DEPENDENCYPART_ARC
(2,12),-1.36353 # DEPENDENCYPART_ARC
(2,13),-2.0104 # DEPENDENCYPART_ARC
(2,14),-1.26201 # DEPENDENCYPART_ARC
(2,15),-2.46362 # DEPENDENCYPART_ARC
(2,16),-1.41234 # DEPENDENCYPART_ARC
(2,17),-2.65437 # DEPENDENCYPART_ARC
(2,18),-2.36632 # DEPENDENCYPART_ARC
(2,19),-1.50794 # DEPENDENCYPART_ARC
(2,20),-1.87111 # DEPENDENCYPART_ARC
(2,21),-2.58731 # DEPENDENCYPART_ARC
(2,22),-0.731954 # DEPENDENCYPART_ARC
(2,23),-2.03157 # DEPENDENCYPART_ARC
(2,24),-2.72749 # DEPENDENCYPART_ARC
(2,25),-3.05423 # DEPENDENCYPART_ARC
(2,26),-3.02603 # DEPENDENCYPART_ARC
(2,27),-2.66982 # DEPENDENCYPART_ARC
(2,28),-3.29338 # DEPENDENCYPART_ARC
(2,29),-3.88214 # DEPENDENCYPART_ARC
(2,30),-3.81767 # DEPENDENCYPART_ARC
(2,31),-2.58712 # DEPENDENCYPART_ARC
(3,1),1.73033 # DEPENDENCYPART_ARC
(3,2),2.99055 # DEPENDENCYPART_ARC
(3,4),3.22383 # DEPENDENCYPART_ARC
(3,5),-0.0770214 # DEPENDENCYPART_ARC
(3,6),0.554222 # DEPENDENCYPART_ARC
(3,7),1.52648 # DEPENDENCYPART_ARC
(3,8),0.235898 # DEPENDENCYPART_ARC
(3,9),0.869342 # DEPENDENCYPART_ARC
(3,10),-0.820803 # DEPENDENCYPART_ARC
(3,11),0.618817 # DEPENDENCYPART_ARC
(3,12),0.317299 # DEPENDENCYPART_ARC
(3,13),-0.913734 # DEPENDENCYPART_ARC
(3,14),0.099 # DEPENDENCYPART_ARC
(3,15),-0.493784 # DEPENDENCYPART_ARC
(3,16),-0.466605 # DEPENDENCYPART_ARC
(3,17),-2.13302 # DEPENDENCYPART_ARC
(3,18),-2.18522 # DEPENDENCYPART_ARC
(3,19),-0.993182 # DEPENDENCYPART_ARC
(3,20),-1.18466 # DEPENDENCYPART_ARC
(3,21),-3.72281 # DEPENDENCYPART_ARC
(3,22),0.243022 # DEPENDENCYPART_ARC
(3,23),0.625886 # DEPENDENCYPART_ARC
(3,24),-3.21229 # DEPENDENCYPART_ARC
(3,25),-3.05176 # DEPENDENCYPART_ARC
(3,26),-5.0048 # DEPENDENCYPART_ARC
(3,27),-1.09872 # DEPENDENCYPART_ARC
(3,28),-0.938604 # DEPENDENCYPART_ARC
(3,29),-1.24325 # DEPENDENCYPART_ARC
(3,30),-3.45627 # DEPENDENCYPART_ARC
(3,31),5.24248 # DEPENDENCYPART_ARC
(4,1),0.233671 # DEPENDENCYPART_ARC
(4,2),-0.333448 # DEPENDENCYPART_ARC
(4,3),-0.253368 # DEPENDENCYPART_ARC
(4,5),0.0708044 # DEPENDENCYPART_ARC
(4,6),2.70866 # DEPENDENCYPART_ARC
(4,7),0.19796 # DEPENDENCYPART_ARC
(4,8),0.672301 # DEPENDENCYPART_ARC
(4,9),0.0105554 # DEPENDENCYPART_ARC
(4,10),-0.468585 # DEPENDENCYPART_ARC
(4,11),-0.543945 # DEPENDENCYPART_ARC
(4,12),-0.0641699 # DEPENDENCYPART_ARC
(4,13),-0.866157 # DEPENDENCYPART_ARC
(4,14),-1.28731 # DEPENDENCYPART_ARC
(4,15),-0.489954 # DEPENDENCYPART_ARC
(4,16),-1.06508 # DEPENDENCYPART_ARC
(4,17),-1.27544 # DEPENDENCYPART_ARC
(4,18),-4.16732 # DEPENDENCYPART_ARC
(4,19),-0.603562 # DEPENDENCYPART_ARC
(4,20),-1.32956 # DEPENDENCYPART_ARC
(4,21),-5.75782 # DEPENDENCYPART_ARC
(4,22),-0.121855 # DEPENDENCYPART_ARC
(4,23),-1.72836 # DEPENDENCYPART_ARC
(4,24),-4.23184 # DEPENDENCYPART_ARC
(4,25),-8.47846 # DEPENDENCYPART_ARC
(4,26),-8.93616 # DEPENDENCYPART_ARC
(4,27),-3.82554 # DEPENDENCYPART_ARC
(4,28),-2.08866 # DEPENDENCYPART_ARC
(4,29),-1.66211 # DEPENDENCYPART_ARC
(4,30),-0.518122 # DEPENDENCYPART_ARC
(4,31),1.9456 # DEPENDENCYPART_ARC
(5,1),-2.33454 # DEPENDENCYPART_ARC
(5,2),-1.79436 # DEPENDENCYPART_ARC
(5,3),-2.22699 # DEPENDENCYPART_ARC
(5,4),-1.07399 # DEPENDENCYPART_ARC
(5,6),-0.869024 # DEPENDENCYPART_ARC
(5,7),-1.0472 # DEPENDENCYPART_ARC
(5,8),-1.70405 # DEPENDENCYPART_ARC
(5,9),-1.36355 # DEPENDENCYPART_ARC
(5,10),-2.29423 # DEPENDENCYPART_ARC
(5,11),-2.24848 # DEPENDENCYPART_ARC
(5,12),-2.19478 # DEPENDENCYPART_ARC
(5,13),-2.95688 # DEPENDENCYPART_ARC
(5,14),-2.63549 # DEPENDENCYPART_ARC
(5,15),-2.96633 # DEPENDENCYPART_ARC
(5,16),-2.98869 # DEPENDENCYPART_ARC
(5,17),-3.12224 # DEPENDENCYPART_ARC
(5,18),-3.05763 # DEPENDENCYPART_ARC
(5,19),-3.43051 # DEPENDENCYPART_ARC
(5,20),-3.79016 # DEPENDENCYPART_ARC
(5,21),-3.22688 # DEPENDENCYPART_ARC
(5,22),-2.21382 # DEPENDENCYPART_ARC
(5,23),-4.22157 # DEPENDENCYPART_ARC
(5,24),-4.52094 # DEPENDENCYPART_ARC
(5,25),-4.29958 # DEPENDENCYPART_ARC
(5,26),-3.66049 # DEPENDENCYPART_ARC
(5,27),-4.93719 # DEPENDENCYPART_ARC
(5,28),-4.14193 # DEPENDENCYPART_ARC
(5,29),-4.83751 # DEPENDENCYPART_ARC
(5,30),-4.37177 # DEPENDENCYPART_ARC
(5,31),-1.48146 # DEPENDENCYPART_ARC
(6,1),-0.428579 # DEPENDENCYPART_ARC
(6,2),-0.463615 # DEPENDENCYPART_ARC
(6,3),-0.78196 # DEPENDENCYPART_ARC
(6,4),0.222898 # DEPENDENCYPART_ARC
(6,5),4.45447 # DEPENDENCYPART_ARC
(6,7),3.5651 # DEPENDENCYPART_ARC
(6,8),1.1644 # DEPENDENCYPART_ARC
(6,9),0.96049 # DEPENDENCYPART_ARC
(6,10),-0.0863059 # DEPENDENCYPART_ARC
(6,11),0.544859 # DEPENDENCYPART_ARC
(6,12),0.806608 # DEPENDENCYPART_ARC
(6,13),0.0698361 # DEPENDENCYPART_ARC
(6,14),0.0976493 # DEPENDENCYPART_ARC
(6,15),-0.0304027 # DEPENDENCYPART_ARC
(6,16),0.367807 # DEPENDENCYPART_ARC
(6,17),-0.545399 # DEPENDENCYPART_ARC
(6,18),-0.682376 # DEPENDENCYPART_ARC
(6,19),0.266579 # DEPENDENCYPART_ARC
(6,20),-0.497533 # DEPENDENCYPART_ARC
(6,21),-1.3998 # DEPENDENCYPART_ARC
(6,22),-0.210618 # DEPENDENCYPART_ARC
(6,23),-1.7428 # DEPENDENCYPART_ARC
(6,24),-1.58786 # DEPENDENCYPART_ARC
(6,25),-1.7674 # DEPENDENCYPART_ARC
(6,26),-2.24106 # DEPENDENCYPART_ARC
(6,27),-1.03705 # DEPENDENCYPART_ARC
(6,28),-1.32722 # DEPENDENCYPART_ARC
(6,29),-1.33806 # DEPENDENCYPART_ARC
(6,30),-2.29203 # DEPENDENCYPART_ARC
(6,31),0.352298 # DEPENDENCYPART_ARC
(7,1),-1.04255 # DEPENDENCYPART_ARC
(7,2),-1.40414 # DEPENDENCYPART_ARC
(7,3),-1.08625 # DEPENDENCYPART_ARC
(7,4),-0.46215 # DEPENDENCYPART_ARC
(7,5),-0.309615 # DEPENDENCYPART_ARC
(7,6),0.161655 # DEPENDENCYPART_ARC
(7,8),4.00277 # DEPENDENCYPART_ARC
(7,9),1.2035 # DEPENDENCYPART_ARC
(7,10),-0.223141 # DEPENDENCYPART_ARC
(7,11),-0.704569 # DEPENDENCYPART_ARC
(7,12),1.06997 # DEPENDENCYPART_ARC
(7,13),-0.841718 # DEPENDENCYPART_ARC
(7,14),0.00388323 # DEPENDENCYPART_ARC
(7,15),-0.635192 # DEPENDENCYPART_ARC
(7,16),-0.555086 # DEPENDENCYPART_ARC
(7,17),-1.61098 # DEPENDENCYPART_ARC
(7,18),-2.30237 # DEPENDENCYPART_ARC
(7,19),-1.2122 # DEPENDENCYPART_ARC
(7,20),-0.998909 # DEPENDENCYPART_ARC
(7,21),-4.77032 # DEPENDENCYPART_ARC
(7,22),-0.331164 # DEPENDENCYPART_ARC
(7,23),-2.19682 # DEPENDENCYPART_ARC
(7,24),-2.78136 # DEPENDENCYPART_ARC
(7,25),-6.63125 # DEPENDENCYPART_ARC
(7,26),-6.58471 # DEPENDENCYPART_ARC
(7,27),-0.562329 # DEPENDENCYPART_ARC
(7,28),-2.15217 # DEPENDENCYPART_ARC
(7,29),-0.556631 # DEPENDENCYPART_ARC
(7,30),-1.91153 # DEPENDENCYPART_ARC
(7,31),-0.0535588 # DEPENDENCYPART_ARC
(8,1),-1.72919 # DEPENDENCYPART_ARC
(8,2),-1.93197 # DEPENDENCYPART_ARC
(8,3),-1.95262 # DEPENDENCYPART_ARC
(8,4),-1.3181 # DEPENDENCYPART_ARC
(8,5),1.47813 # DEPENDENCYPART_ARC
(8,6),-0.000959401 # DEPENDENCYPART_ARC
(8,7),0.14973 # DEPENDENCYPART_ARC
(8,9),0.370451 # DEPENDENCYPART_ARC
(8,10),-0.64152 # DEPENDENCYPART_ARC
(8,11),-0.339106 # DEPENDENCYPART_ARC
(8,12),-0.392908 # DEPENDENCYPART_ARC
(8,13),-0.932182 # DEPENDENCYPART_ARC
(8,14),-0.750771 # DEPENDENCYPART_ARC
(8,15),-1.00766 # DEPENDENCYPART_ARC
(8,16),-0.432441 # DEPENDENCYPART_ARC
(8,17),-1.32405 # DEPENDENCYPART_ARC
(8,18),-1.00573 # DEPENDENCYPART_ARC
(8,19),-0.926204 # DEPENDENCYPART_ARC
(8,20),-1.51779 # DEPENDENCYPART_ARC
(8,21),-1.4708 # DEPENDENCYPART_ARC
(8,22),-0.798195 # DEPENDENCYPART_ARC
(8,23),-3.02231 # DEPENDENCYPART_ARC
(8,24),-2.45824 # DEPENDENCYPART_ARC
(8,25),-2.79817 # DEPENDENCYPART_ARC
(8,26),-2.70043 # DEPENDENCYPART_ARC
(8,27),-2.19648 # DEPENDENCYPART_ARC
(8,28),-2.14121 # DEPENDENCYPART_ARC
(8,29),-2.22821 # DEPENDENCYPART_ARC
(8,30),-3.43918 # DEPENDENCYPART_ARC
(8,31),-0.792568 # DEPENDENCYPART_ARC
(9,1),-1.71287 # DEPENDENCYPART_ARC
(9,2),-1.90971 # DEPENDENCYPART_ARC
(9,3),-1.83914 # DEPENDENCYPART_ARC
(9,4),-1.56822 # DEPENDENCYPART_ARC
(9,5),-0.920848 # DEPENDENCYPART_ARC
(9,6),-1.49469 # DEPENDENCYPART_ARC
(9,7),-1.08884 # DEPENDENCYPART_ARC
(9,8),-0.996854 # DEPENDENCYPART_ARC
(9,10),-0.181187 # DEPENDENCYPART_ARC
(9,11),-0.835762 # DEPENDENCYPART_ARC
(9,12),-0.747114 # DEPENDENCYPART_ARC
(9,13),-1.21469 # DEPENDENCYPART_ARC
(9,14),-1.39794 # DEPENDENCYPART_ARC
(9,15),-1.25265 # DEPENDENCYPART_ARC
(9,16),-1.25347 # DEPENDENCYPART_ARC
(9,17),-1.95666 # DEPENDENCYPART_ARC
(9,18),-2.20121 # DEPENDENCYPART_ARC
(9,19),-1.52204 # DEPENDENCYPART_ARC
(9,20),-1.62189 # DEPENDENCYPART_ARC
(9,21),-2.5318 # DEPENDENCYPART_ARC
(9,22),-0.446256 # DEPENDENCYPART_ARC
(9,23),-1.85858 # DEPENDENCYPART_ARC
(9,24),-2.62012 # DEPENDENCYPART_ARC
(9,25),-2.71428 # DEPENDENCYPART_ARC
(9,26),-3.02431 # DEPENDENCYPART_ARC
(9,27),-2.51359 # DEPENDENCYPART_ARC
(9,28),-2.9085 # DEPENDENCYPART_ARC
(9,29),-2.62885 # DEPENDENCYPART_ARC
(9,30),-3.03603 # DEPENDENCYPART_ARC
(9,31),-2.24215 # DEPENDENCYPART_ARC
(10,1),-1.78972 # DEPENDENCYPART_ARC
(10,2),-2.18096 # DEPENDENCYPART_ARC
(10,3),-1.97163 # DEPENDENCYPART_ARC
(10,4),-1.40075 # DEPENDENCYPART_ARC
(10,5),-0.660479 # DEPENDENCYPART_ARC
(10,6),-1.62585 # DEPENDENCYPART_ARC
(10,7),-1.19585 # DEPENDENCYPART_ARC
(10,8),-1.13379 # DEPENDENCYPART_ARC
(10,9),0.754198 # DEPENDENCYPART_ARC
(10,11),0.841976 # DEPENDENCYPART_ARC
(10,12),0.753599 # DEPENDENCYPART_ARC
(10,13),-0.137026 # DEPENDENCYPART_ARC
(10,14),0.382681 # DEPENDENCYPART_ARC
(10,15),-0.80397 # DEPENDENCYPART_ARC
(10,16),0.165708 # DEPENDENCYPART_ARC
(10,17),-0.921974 # DEPENDENCYPART_ARC
(10,18),-0.721075 # DEPENDENCYPART_ARC
(10,19),-0.0306746 # DEPENDENCYPART_ARC
(10,20),-0.251721 # DEPENDENCYPART_ARC
(10,21),-0.943699 # DEPENDENCYPART_ARC
(10,22),0.102944 # DEPENDENCYPART_ARC
(10,23),-0.594787 # DEPENDENCYPART_ARC
(10,24),-1.2211 # DEPENDENCYPART_ARC
(10,25),-1.46014 # DEPENDENCYPART_ARC
(10,26),-1.47287 # DEPENDENCYPART_ARC
(10,27),-1.28085 # DEPENDENCYPART_ARC
(10,28),-1.71735 # DEPENDENCYPART_ARC
(10,29),-2.34789 # DEPENDENCYPART_ARC
(10,30),-2.12826 # DEPENDENCYPART_ARC
(10,31),-0.956428 # DEPENDENCYPART_ARC
(11,1),-1.22943 # DEPENDENCYPART_ARC
(11,2),-1.99904 # DEPENDENCYPART_ARC
(11,3),-1.87431 # DEPENDENCYPART_ARC
(11,4),-1.08625 # DEPENDENCYPART_ARC
(11,5),-0.497184 # DEPENDENCYPART_ARC
(11,6),-1.56833 # DEPENDENCYPART_ARC
(11,7),-1.48138 # DEPENDENCYPART_ARC
(11,8),-1.07117 # DEPENDENCYPART_ARC
(11,9),-0.160964 # DEPENDENCYPART_ARC
(11,10),0.484732 # DEPENDENCYPART_ARC
(11,12),0.621354 # DEPENDENCYPART_ARC
(11,13),-0.174154 # DEPENDENCYPART_ARC
(11,14),-0.474964 # DEPENDENCYPART_ARC
(11,15),-1.0562 # DEPENDENCYPART_ARC
(11,16),-0.713443 # DEPENDENCYPART_ARC
(11,17),-1.07998 # DEPENDENCYPART_ARC
(11,18),-1.95798 # DEPENDENCYPART_ARC
(11,19),-0.267865 # DEPENDENCYPART_ARC
(11,20),-1.63444 # DEPENDENCYPART_ARC
(11,21),-2.26165 # DEPENDENCYPART_ARC
(11,22),-1.05605 # DEPENDENCYPART_ARC
(11,23),-2.51838 # DEPENDENCYPART_ARC
(11,24),-2.35093 # DEPENDENCYPART_ARC
(11,25),-2.83961 # DEPENDENCYPART_ARC
(11,26),-3.03928 # DEPENDENCYPART_ARC
(11,27),-1.79246 # DEPENDENCYPART_ARC
(11,28),-3.01579 # DEPENDENCYPART_ARC
(11,29),-2.53548 # DEPENDENCYPART_ARC
(11,30),-3.07014 # DEPENDENCYPART_ARC
(11,31),-1.69864 # DEPENDENCYPART_ARC
(12,1),2.73552 # DEPENDENCYPART_ARC
(12,2),0.54632 # DEPENDENCYPART_ARC
(12,3),0.159881 # DEPENDENCYPART_ARC
(12,4),0.94818 # DEPENDENCYPART_ARC
(12,5),0.0662561 # DEPENDENCYPART_ARC
(12,6),1.46988 # DEPENDENCYPART_ARC
(12,7),0.324429 # DEPENDENCYPART_ARC
(12,8),1.46545 # DEPENDENCYPART_ARC
(12,9),2.96473 # DEPENDENCYPART_ARC
(12,10),2.74063 # DEPENDENCYPART_ARC
(12,11),3.3555 # DEPENDENCYPART_ARC
(12,13),1.9636 # DEPENDENCYPART_ARC
(12,14),1.68523 # DEPENDENCYPART_ARC
(12,15),1.1607 # DEPENDENCYPART_ARC
(12,16),1.36685 # DEPENDENCYPART_ARC
(12,17),-0.483509 # DEPENDENCYPART_ARC
(12,18),0.536069 # DEPENDENCYPART_ARC
(12,19),0.467241 # DEPENDENCYPART_ARC
(12,20),0.36973 # DEPENDENCYPART_ARC
(12,21),-1.17368 # DEPENDENCYPART_ARC
(12,22),2.24272 # DEPENDENCYPART_ARC
(12,23),1.27207 # DEPENDENCYPART_ARC
(12,24),-1.9679 # DEPENDENCYPART_ARC
(12,25),-1.21146 # DEPENDENCYPART_ARC
(12,26),-2.87865 # DEPENDENCYPART_ARC
(12,27),-0.0233988 # DEPENDENCYPART_ARC
(12,28),0.681496 # DEPENDENCYPART_ARC
(12,29),0.180668 # DEPENDENCYPART_ARC
(12,30),-0.486401 # DEPENDENCYPART_ARC
(12,31),5.63079 # DEPENDENCYPART_ARC
(13,1),-1.3512 # DEPENDENCYPART_ARC
(13,2),-1.90588 # DEPENDENCYPART_ARC
(13,3),-1.65496 # DEPENDENCYPART_ARC
(13,4),-0.899988 # DEPENDENCYPART_ARC
(13,5),0.0123779 # DEPENDENCYPART_ARC
(13,6),-1.15713 # DEPENDENCYPART_ARC
(13,7),-0.487931 # DEPENDENCYPART_ARC
(13,8),-0.761165 # DEPENDENCYPART_ARC
(13,9),-0.153301 # DEPENDENCYPART_ARC
(13,10),-0.358715 # DEPENDENCYPART_ARC
(13,11),0.85911 # DEPENDENCYPART_ARC
(13,12),0.431917 # DEPENDENCYPART_ARC
(13,14),2.71707 # DEPENDENCYPART_ARC
(13,15),1.37872 # DEPENDENCYPART_ARC
(13,16),1.82696 # DEPENDENCYPART_ARC
(13,17),1.47186 # DEPENDENCYPART_ARC
(13,18),-0.137508 # DEPENDENCYPART_ARC
(13,19),2.2351 # DEPENDENCYPART_ARC
(13,20),0.671248 # DEPENDENCYPART_ARC
(13,21),-0.735395 # DEPENDENCYPART_ARC
(13,22),0.67996 # DEPENDENCYPART_ARC
(13,23),0.0102524 # DEPENDENCYPART_ARC
(13,24),-0.652544 # DEPENDENCYPART_ARC
(13,25),-0.37661 # DEPENDENCYPART_ARC
(13,26),-1.29054 # DEPENDENCYPART_ARC
(13,27),-0.465503 # DEPENDENCYPART_ARC
(13,28),-0.426583 # DEPENDENCYPART_ARC
(13,29),-0.707102 # DEPENDENCYPART_ARC
(13,30),-0.828939 # DEPENDENCYPART_ARC
(13,31),-0.301766 # DEPENDENCYPART_ARC
(14,1),-0.971358 # DEPENDENCYPART_ARC
(14,2),-1.1703 # DEPENDENCYPART_ARC
(14,3),-1.18552 # DEPENDENCYPART_ARC
(14,4),-0.541129 # DEPENDENCYPART_ARC
(14,5),-0.364476 # DEPENDENCYPART_ARC
(14,6),-0.106453 # DEPENDENCYPART_ARC
(14,7),-0.545694 # DEPENDENCYPART_ARC
(14,8),-0.658803 # DEPENDENCYPART_ARC
(14,9),-0.0681038 # DEPENDENCYPART_ARC
(14,10),-0.150726 # DEPENDENCYPART_ARC
(14,11),0.256655 # DEPENDENCYPART_ARC
(14,12),0.120683 # DEPENDENCYPART_ARC
(14,13),0.613263 # DEPENDENCYPART_ARC
(14,15),3.84542 # DEPENDENCYPART_ARC
(14,16),0.724874 # DEPENDENCYPART_ARC
(14,17),0.0900074 # DEPENDENCYPART_ARC
(14,18),0.339 # DEPENDENCYPART_ARC
(14,19),0.830628 # DEPENDENCYPART_ARC
(14,20),-0.162293 # DEPENDENCYPART_ARC
(14,21),-2.31072 # DEPENDENCYPART_ARC
(14,22),0.610357 # DEPENDENCYPART_ARC
(14,23),-0.701029 # DEPENDENCYPART_ARC
(14,24),-2.1126 # DEPENDENCYPART_ARC
(14,25),-4.657 # DEPENDENCYPART_ARC
(14,26),-4.70541 # DEPENDENCYPART_ARC
(14,27),-0.491949 # DEPENDENCYPART_ARC
(14,28),-0.439768 # DEPENDENCYPART_ARC
(14,29),-1.86003 # DEPENDENCYPART_ARC
(14,30),-1.39012 # DEPENDENCYPART_ARC
(14,31),0.344538 # DEPENDENCYPART_ARC
(15,1),0.68492 # DEPENDENCYPART_ARC
(15,2),-1.06754 # DEPENDENCYPART_ARC
(15,3),-0.853848 # DEPENDENCYPART_ARC
(15,4),-0.467794 # DEPENDENCYPART_ARC
(15,5),-0.176734 # DEPENDENCYPART_ARC
(15,6),-0.370828 # DEPENDENCYPART_ARC
(15,7),-0.768023 # DEPENDENCYPART_ARC
(15,8),-0.100437 # DEPENDENCYPART_ARC
(15,9),-0.0134079 # DEPENDENCYPART_ARC
(15,10),0.0146504 # DEPENDENCYPART_ARC
(15,11),0.653582 # DEPENDENCYPART_ARC
(15,12),0.499166 # DEPENDENCYPART_ARC
(15,13),0.779619 # DEPENDENCYPART_ARC
(15,14),1.42891 # DEPENDENCYPART_ARC
(15,16),3.41099 # DEPENDENCYPART_ARC
(15,17),1.01311 # DEPENDENCYPART_ARC
(15,18),1.81805 # DEPENDENCYPART_ARC
(15,19),1.13008 # DEPENDENCYPART_ARC
(15,20),1.05427 # DEPENDENCYPART_ARC
(15,21),-1.28742 # DEPENDENCYPART_ARC
(15,22),1.51075 # DEPENDENCYPART_ARC
(15,23),1.07814 # DEPENDENCYPART_ARC
(15,24),-1.56962 # DEPENDENCYPART_ARC
(15,25),-1.57564 # DEPENDENCYPART_ARC
(15,26),-3.26707 # DEPENDENCYPART_ARC
(15,27),0.237003 # DEPENDENCYPART_ARC
(15,28),0.0208381 # DEPENDENCYPART_ARC
(15,29),-0.352419 # DEPENDENCYPART_ARC
(15,30),-0.14413 # DEPENDENCYPART_ARC
(15,31),1.41084 # DEPENDENCYPART_ARC
(16,1),-1.16252 # DEPENDENCYPART_ARC
(16,2),-2.32127 # DEPENDENCYPART_ARC
(16,3),-1.90639 # DEPENDENCYPART_ARC
(16,4),-1.51705 # DEPENDENCYPART_ARC
(16,5),-1.57492 # DEPENDENCYPART_ARC
(16,6),-1.0078 # DEPENDENCYPART_ARC
(16,7),-1.0128 # DEPENDENCYPART_ARC
(16,8),-1.01348 # DEPENDENCYPART_ARC
(16,9),-0.997506 # DEPENDENCYPART_ARC
(16,10),-1.19579 # DEPENDENCYPART_ARC
(16,11),-0.985451 # DEPENDENCYPART_ARC
(16,12),-0.939823 # DEPENDENCYPART_ARC
(16,13),0.460891 # DEPENDENCYPART_ARC
(16,14),-0.203936 # DEPENDENCYPART_ARC
(16,15),0.753593 # DEPENDENCYPART_ARC
(16,17),1.72474 # DEPENDENCYPART_ARC
(16,18),2.90378 # DEPENDENCYPART_ARC
(16,19),1.46311 # DEPENDENCYPART_ARC
(16,20),0.900114 # DEPENDENCYPART_ARC
(16,21),0.429229 # DEPENDENCYPART_ARC
(16,22),0.0177944 # DEPENDENCYPART_ARC
(16,23),-0.0685819 # DEPENDENCYPART_ARC
(16,24),-2.55203 # DEPENDENCYPART_ARC
(16,25),-3.17151 # DEPENDENCYPART_ARC
(16,26),-3.19598 # DEPENDENCYPART_ARC
(16,27),0.3285 # DEPENDENCYPART_ARC
