# _root_ The A-men batting Nos. 6 through 9 , a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in a 5-0 decision .
#goldHeads=2,18,2,3,4,4,4,12,12,12,12,4,12,15,13,12,12,0,18,19,22,25,22,25,20,18,26,27,28,31,29,27,35,35,32,18,
#predictedHeads=2,18,2,3,4,3,6,4,12,12,12,18,12,15,13,12,18,0,18,19,22,25,22,25,20,18,26,27,28,31,29,31,35,35,32,18,
(1,20),-3.98139 # DEPENDENCYPART_ARC
(1,21),-4.34898 # DEPENDENCYPART_ARC
(1,22),-4.11309 # DEPENDENCYPART_ARC
(1,23),-4.62246 # DEPENDENCYPART_ARC
(1,24),-4.31199 # DEPENDENCYPART_ARC
(1,25),-4.44603 # DEPENDENCYPART_ARC
(1,26),-4.17859 # DEPENDENCYPART_ARC
(1,27),-5.55079 # DEPENDENCYPART_ARC
(1,28),-4.9639 # DEPENDENCYPART_ARC
(1,29),-5.2119 # DEPENDENCYPART_ARC
(1,30),-5.31718 # DEPENDENCYPART_ARC
(1,31),-4.77841 # DEPENDENCYPART_ARC
(1,32),-6.34977 # DEPENDENCYPART_ARC
(1,33),-5.96276 # DEPENDENCYPART_ARC
(1,34),-5.10193 # DEPENDENCYPART_ARC
(1,35),-5.64632 # DEPENDENCYPART_ARC
(1,36),-3.20638 # DEPENDENCYPART_ARC
(2,1),3.93966 # DEPENDENCYPART_ARC
(2,3),2.57509 # DEPENDENCYPART_ARC
(2,4),1.26518 # DEPENDENCYPART_ARC
(2,5),0.867062 # DEPENDENCYPART_ARC
(2,6),0.548896 # DEPENDENCYPART_ARC
(2,7),0.646573 # DEPENDENCYPART_ARC
(2,8),1.42377 # DEPENDENCYPART_ARC
(2,9),0.514591 # DEPENDENCYPART_ARC
(2,10),-0.120106 # DEPENDENCYPART_ARC
(2,11),0.491611 # DEPENDENCYPART_ARC
(2,12),-0.403308 # DEPENDENCYPART_ARC
(2,13),-1.16287 # DEPENDENCYPART_ARC
(2,14),-0.717804 # DEPENDENCYPART_ARC
(2,15),-0.695 # DEPENDENCYPART_ARC
(2,16),0.554661 # DEPENDENCYPART_ARC
(2,17),0.673781 # DEPENDENCYPART_ARC
(2,18),-0.115822 # DEPENDENCYPART_ARC
(2,19),-0.878605 # DEPENDENCYPART_ARC
(2,20),-3.57639 # DEPENDENCYPART_ARC
(2,21),-1.78532 # DEPENDENCYPART_ARC
(2,22),-1.8942 # DEPENDENCYPART_ARC
(2,23),-1.7362 # DEPENDENCYPART_ARC
(2,24),-1.28577 # DEPENDENCYPART_ARC
(2,25),-2.33644 # DEPENDENCYPART_ARC
(2,26),-2.11362 # DEPENDENCYPART_ARC
(2,27),-1.66727 # DEPENDENCYPART_ARC
(2,28),-1.25496 # DEPENDENCYPART_ARC
(2,29),-5.80473 # DEPENDENCYPART_ARC
(2,30),-2.81742 # DEPENDENCYPART_ARC
(2,31),-3.78784 # DEPENDENCYPART_ARC
(2,32),-3.08261 # DEPENDENCYPART_ARC
(2,33),-2.11221 # DEPENDENCYPART_ARC
(2,34),-2.20899 # DEPENDENCYPART_ARC
(2,35),-3.70393 # DEPENDENCYPART_ARC
(2,36),1.69792 # DEPENDENCYPART_ARC
(3,1),1.3955 # DEPENDENCYPART_ARC
(3,2),1.88665 # DEPENDENCYPART_ARC
(3,4),3.46647 # DEPENDENCYPART_ARC
(3,5),1.40014 # DEPENDENCYPART_ARC
(3,6),2.1268 # DEPENDENCYPART_ARC
(3,7),0.308074 # DEPENDENCYPART_ARC
(3,8),0.919314 # DEPENDENCYPART_ARC
(3,9),-0.0149263 # DEPENDENCYPART_ARC
(3,10),-0.897566 # DEPENDENCYPART_ARC
(3,11),0.105484 # DEPENDENCYPART_ARC
(3,12),0.0972483 # DEPENDENCYPART_ARC
(3,13),-0.386802 # DEPENDENCYPART_ARC
(3,14),-1.45426 # DEPENDENCYPART_ARC
(3,15),-0.885597 # DEPENDENCYPART_ARC
(3,16),0.680134 # DEPENDENCYPART_ARC
(3,17),0.522472 # DEPENDENCYPART_ARC
(3,18),-0.933027 # DEPENDENCYPART_ARC
(3,19),-1.08824 # DEPENDENCYPART_ARC
(3,20),-2.56065 # DEPENDENCYPART_ARC
(3,21),-1.84603 # DEPENDENCYPART_ARC
(3,22),-3.9323 # DEPENDENCYPART_ARC
(3,23),-1.99412 # DEPENDENCYPART_ARC
(3,24),-1.74619 # DEPENDENCYPART_ARC
(3,25),-3.50174 # DEPENDENCYPART_ARC
(3,26),-0.186811 # DEPENDENCYPART_ARC
(3,27),-1.70451 # DEPENDENCYPART_ARC
(3,28),-1.96146 # DEPENDENCYPART_ARC
(3,29),-3.67259 # DEPENDENCYPART_ARC
(3,30),-2.89629 # DEPENDENCYPART_ARC
(3,31),-5.24645 # DEPENDENCYPART_ARC
(3,32),-2.06855 # DEPENDENCYPART_ARC
(3,33),-3.03838 # DEPENDENCYPART_ARC
(3,34),-2.7121 # DEPENDENCYPART_ARC
(3,35),-5.97762 # DEPENDENCYPART_ARC
(3,36),2.14846 # DEPENDENCYPART_ARC
(4,1),2.44583 # DEPENDENCYPART_ARC
(4,2),1.52522 # DEPENDENCYPART_ARC
(4,3),2.11181 # DEPENDENCYPART_ARC
(4,5),2.13692 # DEPENDENCYPART_ARC
(4,6),1.12307 # DEPENDENCYPART_ARC
(4,7),1.40998 # DEPENDENCYPART_ARC
(4,8),1.82561 # DEPENDENCYPART_ARC
(4,9),0.729424 # DEPENDENCYPART_ARC
(4,10),0.381338 # DEPENDENCYPART_ARC
(4,11),0.803695 # DEPENDENCYPART_ARC
(4,12),-0.0274532 # DEPENDENCYPART_ARC
(4,13),-0.409297 # DEPENDENCYPART_ARC
(4,14),-0.0473796 # DEPENDENCYPART_ARC
(4,15),-0.209287 # DEPENDENCYPART_ARC
(4,16),0.846627 # DEPENDENCYPART_ARC
(4,17),1.05234 # DEPENDENCYPART_ARC
(4,18),0.24522 # DEPENDENCYPART_ARC
(4,19),-0.323669 # DEPENDENCYPART_ARC
(4,20),-3.14803 # DEPENDENCYPART_ARC
(4,21),-1.25881 # DEPENDENCYPART_ARC
(4,22),-1.43866 # DEPENDENCYPART_ARC
(4,23),-1.11968 # DEPENDENCYPART_ARC
(4,24),-0.683881 # DEPENDENCYPART_ARC
(4,25),-1.26109 # DEPENDENCYPART_ARC
(4,26),-1.93881 # DEPENDENCYPART_ARC
(4,27),-1.23919 # DEPENDENCYPART_ARC
(4,28),-0.634887 # DEPENDENCYPART_ARC
(4,29),-5.30581 # DEPENDENCYPART_ARC
(4,30),-2.38504 # DEPENDENCYPART_ARC
(4,31),-2.92114 # DEPENDENCYPART_ARC
(4,32),-2.89534 # DEPENDENCYPART_ARC
(4,33),-1.76645 # DEPENDENCYPART_ARC
(4,34),-1.6279 # DEPENDENCYPART_ARC
(4,35),-3.14217 # DEPENDENCYPART_ARC
(4,36),2.06037 # DEPENDENCYPART_ARC
(5,1),1.14714 # DEPENDENCYPART_ARC
(5,2),0.0344697 # DEPENDENCYPART_ARC
(5,3),0.456098 # DEPENDENCYPART_ARC
(5,4),1.35206 # DEPENDENCYPART_ARC
(5,6),1.76681 # DEPENDENCYPART_ARC
(5,7),1.48022 # DEPENDENCYPART_ARC
(5,8),1.21718 # DEPENDENCYPART_ARC
(5,9),0.541472 # DEPENDENCYPART_ARC
(5,10),-0.0700058 # DEPENDENCYPART_ARC
(5,11),0.379686 # DEPENDENCYPART_ARC
(5,12),0.427419 # DEPENDENCYPART_ARC
(5,13),0.405636 # DEPENDENCYPART_ARC
(5,14),-0.309363 # DEPENDENCYPART_ARC
(5,15),0.221013 # DEPENDENCYPART_ARC
(5,16),0.72177 # DEPENDENCYPART_ARC
(5,17),0.422432 # DEPENDENCYPART_ARC
(5,18),-0.0498202 # DEPENDENCYPART_ARC
(5,19),-0.640252 # DEPENDENCYPART_ARC
(5,20),-1.06756 # DEPENDENCYPART_ARC
(5,21),-1.08841 # DEPENDENCYPART_ARC
(5,22),-0.940109 # DEPENDENCYPART_ARC
(5,23),-0.416667 # DEPENDENCYPART_ARC
(5,24),-1.0553 # DEPENDENCYPART_ARC
(5,25),-0.928349 # DEPENDENCYPART_ARC
(5,26),-1.1106 # DEPENDENCYPART_ARC
(5,27),-1.16246 # DEPENDENCYPART_ARC
(5,28),-1.56454 # DEPENDENCYPART_ARC
(5,29),-2.3656 # DEPENDENCYPART_ARC
(5,30),-1.99409 # DEPENDENCYPART_ARC
(5,31),-1.59518 # DEPENDENCYPART_ARC
(5,32),-1.20722 # DEPENDENCYPART_ARC
(5,33),-2.40045 # DEPENDENCYPART_ARC
(5,34),-2.23667 # DEPENDENCYPART_ARC
(5,35),-2.88353 # DEPENDENCYPART_ARC
(5,36),-0.00577926 # DEPENDENCYPART_ARC
(6,1),-0.91746 # DEPENDENCYPART_ARC
(6,2),-1.21703 # DEPENDENCYPART_ARC
(6,3),-1.11068 # DEPENDENCYPART_ARC
(6,4),-0.950813 # DEPENDENCYPART_ARC
(6,5),-0.0184634 # DEPENDENCYPART_ARC
(6,7),2.73455 # DEPENDENCYPART_ARC
(6,8),0.331141 # DEPENDENCYPART_ARC
(6,9),0.0686466 # DEPENDENCYPART_ARC
(6,10),-1.92873 # DEPENDENCYPART_ARC
(6,11),-0.64314 # DEPENDENCYPART_ARC
(6,12),-0.290366 # DEPENDENCYPART_ARC
(6,13),-0.228828 # DEPENDENCYPART_ARC
(6,14),-2.661 # DEPENDENCYPART_ARC
(6,15),-1.89728 # DEPENDENCYPART_ARC
(6,16),-0.409848 # DEPENDENCYPART_ARC
(6,17),-0.660355 # DEPENDENCYPART_ARC
(6,18),-1.9754 # DEPENDENCYPART_ARC
(6,19),-1.92279 # DEPENDENCYPART_ARC
(6,20),-2.12142 # DEPENDENCYPART_ARC
(6,21),-2.02625 # DEPENDENCYPART_ARC
(6,22),-5.90378 # DEPENDENCYPART_ARC
(6,23),-2.29456 # DEPENDENCYPART_ARC
(6,24),-4.13766 # DEPENDENCYPART_ARC
(6,25),-4.92666 # DEPENDENCYPART_ARC
(6,26),-1.59967 # DEPENDENCYPART_ARC
(6,27),-4.8224 # DEPENDENCYPART_ARC
(6,28),-4.29895 # DEPENDENCYPART_ARC
(6,29),-4.03777 # DEPENDENCYPART_ARC
(6,30),-3.17718 # DEPENDENCYPART_ARC
(6,31),-8.11188 # DEPENDENCYPART_ARC
(6,32),-4.32317 # DEPENDENCYPART_ARC
(6,33),-5.63667 # DEPENDENCYPART_ARC
(6,34),-6.09428 # DEPENDENCYPART_ARC
(6,35),-10.0038 # DEPENDENCYPART_ARC
(6,36),-0.547339 # DEPENDENCYPART_ARC
(7,1),0.369699 # DEPENDENCYPART_ARC
(7,2),-0.674698 # DEPENDENCYPART_ARC
(7,3),-0.480247 # DEPENDENCYPART_ARC
(7,4),-0.0327429 # DEPENDENCYPART_ARC
(7,5),1.16074 # DEPENDENCYPART_ARC
(7,6),1.56338 # DEPENDENCYPART_ARC
(7,8),0.994406 # DEPENDENCYPART_ARC
(7,9),0.836525 # DEPENDENCYPART_ARC
(7,10),-0.143653 # DEPENDENCYPART_ARC
(7,11),-0.297639 # DEPENDENCYPART_ARC
(7,12),0.194542 # DEPENDENCYPART_ARC
(7,13),-0.155532 # DEPENDENCYPART_ARC
(7,14),-0.589923 # DEPENDENCYPART_ARC
(7,15),-0.161505 # DEPENDENCYPART_ARC
(7,16),0.991134 # DEPENDENCYPART_ARC
(7,17),0.179743 # DEPENDENCYPART_ARC
(7,18),-0.198664 # DEPENDENCYPART_ARC
(7,19),-1.01169 # DEPENDENCYPART_ARC
(7,20),-1.6156 # DEPENDENCYPART_ARC
(7,21),-1.50294 # DEPENDENCYPART_ARC
(7,22),-1.23485 # DEPENDENCYPART_ARC
(7,23),-0.658427 # DEPENDENCYPART_ARC
(7,24),-1.41975 # DEPENDENCYPART_ARC
(7,25),-1.44661 # DEPENDENCYPART_ARC
(7,26),-1.72663 # DEPENDENCYPART_ARC
(7,27),-1.28218 # DEPENDENCYPART_ARC
(7,28),-1.88537 # DEPENDENCYPART_ARC
(7,29),-2.85863 # DEPENDENCYPART_ARC
(7,30),-2.41774 # DEPENDENCYPART_ARC
(7,31),-2.06466 # DEPENDENCYPART_ARC
(7,32),-1.97524 # DEPENDENCYPART_ARC
(7,33),-2.7668 # DEPENDENCYPART_ARC
(7,34),-2.69442 # DEPENDENCYPART_ARC
(7,35),-3.2417 # DEPENDENCYPART_ARC
(7,36),-1.10285 # DEPENDENCYPART_ARC
(8,1),-1.59341 # DEPENDENCYPART_ARC
(8,2),-2.05799 # DEPENDENCYPART_ARC
(8,3),-1.69795 # DEPENDENCYPART_ARC
(8,4),-1.97674 # DEPENDENCYPART_ARC
(8,5),-1.3404 # DEPENDENCYPART_ARC
(8,6),-1.33255 # DEPENDENCYPART_ARC
(8,7),-0.786644 # DEPENDENCYPART_ARC
(8,9),-0.444129 # DEPENDENCYPART_ARC
(8,10),-1.26291 # DEPENDENCYPART_ARC
(8,11),-0.79888 # DEPENDENCYPART_ARC
(8,12),-1.97802 # DEPENDENCYPART_ARC
(8,13),-1.56655 # DEPENDENCYPART_ARC
(8,14),-2.02753 # DEPENDENCYPART_ARC
(8,15),-2.56286 # DEPENDENCYPART_ARC
(8,16),-0.755907 # DEPENDENCYPART_ARC
(8,17),-1.57761 # DEPENDENCYPART_ARC
(8,18),-1.94213 # DEPENDENCYPART_ARC
(8,19),-2.90929 # DEPENDENCYPART_ARC
(8,20),-2.10907 # DEPENDENCYPART_ARC
(8,21),-2.96581 # DEPENDENCYPART_ARC
(8,22),-3.24688 # DEPENDENCYPART_ARC
(8,23),-2.90915 # DEPENDENCYPART_ARC
(8,24),-3.39792 # DEPENDENCYPART_ARC
(8,25),-3.44025 # DEPENDENCYPART_ARC
(8,26),-2.9171 # DEPENDENCYPART_ARC
(8,27),-2.86007 # DEPENDENCYPART_ARC
(8,28),-3.81876 # DEPENDENCYPART_ARC
(8,29),-2.97322 # DEPENDENCYPART_ARC
(8,30),-3.83819 # DEPENDENCYPART_ARC
(8,31),-4.04623 # DEPENDENCYPART_ARC
(8,32),-3.38198 # DEPENDENCYPART_ARC
(8,33),-3.96886 # DEPENDENCYPART_ARC
(8,34),-4.46289 # DEPENDENCYPART_ARC
(8,35),-4.68024 # DEPENDENCYPART_ARC
(8,36),-3.50567 # DEPENDENCYPART_ARC
(9,1),0.0752321 # DEPENDENCYPART_ARC
(9,2),-0.994005 # DEPENDENCYPART_ARC
(9,3),-0.856996 # DEPENDENCYPART_ARC
(9,4),-0.553267 # DEPENDENCYPART_ARC
(9,5),0.378729 # DEPENDENCYPART_ARC
(9,6),0.554687 # DEPENDENCYPART_ARC
(9,7),0.865978 # DEPENDENCYPART_ARC
(9,8),0.853719 # DEPENDENCYPART_ARC
(9,10),1.77648 # DEPENDENCYPART_ARC
(9,11),1.11452 # DEPENDENCYPART_ARC
(9,12),0.755223 # DEPENDENCYPART_ARC
(9,13),1.3851 # DEPENDENCYPART_ARC
(9,14),0.0268043 # DEPENDENCYPART_ARC
(9,15),0.0427257 # DEPENDENCYPART_ARC
(9,16),0.822607 # DEPENDENCYPART_ARC
(9,17),0.733044 # DEPENDENCYPART_ARC
(9,18),0.781545 # DEPENDENCYPART_ARC
(9,19),-1.11468 # DEPENDENCYPART_ARC
(9,20),0.00827312 # DEPENDENCYPART_ARC
(9,21),-0.859738 # DEPENDENCYPART_ARC
(9,22),-0.901553 # DEPENDENCYPART_ARC
(9,23),-0.258361 # DEPENDENCYPART_ARC
(9,24),-1.37131 # DEPENDENCYPART_ARC
(9,25),-0.430553 # DEPENDENCYPART_ARC
(9,26),0.30736 # DEPENDENCYPART_ARC
(9,27),0.00100753 # DEPENDENCYPART_ARC
(9,28),-2.24183 # DEPENDENCYPART_ARC
(9,29),-1.51395 # DEPENDENCYPART_ARC
(9,30),-1.6896 # DEPENDENCYPART_ARC
(9,31),-1.38575 # DEPENDENCYPART_ARC
(9,32),-1.31849 # DEPENDENCYPART_ARC
(9,33),-2.24587 # DEPENDENCYPART_ARC
(9,34),-2.85296 # DEPENDENCYPART_ARC
(9,35),-2.62758 # DEPENDENCYPART_ARC
(9,36),0.652666 # DEPENDENCYPART_ARC
(10,1),-1.59886 # DEPENDENCYPART_ARC
(10,2),-2.263 # DEPENDENCYPART_ARC
(10,3),-1.86867 # DEPENDENCYPART_ARC
(10,4),-1.9738 # DEPENDENCYPART_ARC
(10,5),-1.27211 # DEPENDENCYPART_ARC
(10,6),-1.05103 # DEPENDENCYPART_ARC
(10,7),-0.735548 # DEPENDENCYPART_ARC
(10,8),-0.794724 # DEPENDENCYPART_ARC
(10,9),-0.249973 # DEPENDENCYPART_ARC
(10,11),-0.375669 # DEPENDENCYPART_ARC
(10,12),-0.437792 # DEPENDENCYPART_ARC
(10,13),-0.35802 # DEPENDENCYPART_ARC
(10,14),-1.92084 # DEPENDENCYPART_ARC
(10,15),-1.1901 # DEPENDENCYPART_ARC
(10,16),-1.00129 # DEPENDENCYPART_ARC
(10,17),-1.09468 # DEPENDENCYPART_ARC
(10,18),-1.42255 # DEPENDENCYPART_ARC
(10,19),-2.28416 # DEPENDENCYPART_ARC
(10,20),-1.42401 # DEPENDENCYPART_ARC
(10,21),-2.63282 # DEPENDENCYPART_ARC
(10,22),-2.36257 # DEPENDENCYPART_ARC
(10,23),-2.82632 # DEPENDENCYPART_ARC
(10,24),-2.65618 # DEPENDENCYPART_ARC
(10,25),-2.81055 # DEPENDENCYPART_ARC
(10,26),-2.08635 # DEPENDENCYPART_ARC
(10,27),-2.8373 # DEPENDENCYPART_ARC
(10,28),-3.25096 # DEPENDENCYPART_ARC
(10,29),-2.70652 # DEPENDENCYPART_ARC
(10,30),-3.53489 # DEPENDENCYPART_ARC
(10,31),-3.23408 # DEPENDENCYPART_ARC
(10,32),-4.25088 # DEPENDENCYPART_ARC
(10,33),-4.11942 # DEPENDENCYPART_ARC
(10,34),-3.64854 # DEPENDENCYPART_ARC
(10,35),-3.73209 # DEPENDENCYPART_ARC
(10,36),-2.08067 # DEPENDENCYPART_ARC
(11,1),-2.4984 # DEPENDENCYPART_ARC
(11,2),-1.93372 # DEPENDENCYPART_ARC
(11,3),-2.56077 # DEPENDENCYPART_ARC
(11,4),-1.81729 # DEPENDENCYPART_ARC
(11,5),-2.20899 # DEPENDENCYPART_ARC
(11,6),-2.15588 # DEPENDENCYPART_ARC
(11,7),-1.7728 # DEPENDENCYPART_ARC
(11,8),-1.46863 # DEPENDENCYPART_ARC
(11,9),-1.43372 # DEPENDENCYPART_ARC
(11,10),-0.408535 # DEPENDENCYPART_ARC
(11,12),-0.81701 # DEPENDENCYPART_ARC
(11,13),-1.56418 # DEPENDENCYPART_ARC
(11,14),-2.16184 # DEPENDENCYPART_ARC
(11,15),-1.97587 # DEPENDENCYPART_ARC
(11,16),-1.61852 # DEPENDENCYPART_ARC
(11,17),-0.769456 # DEPENDENCYPART_ARC
(11,18),-2.045 # DEPENDENCYPART_ARC
(11,19),-2.81686 # DEPENDENCYPART_ARC
(11,20),-2.39506 # DEPENDENCYPART_ARC
(11,21),-3.03713 # DEPENDENCYPART_ARC
(11,22),-2.5421 # DEPENDENCYPART_ARC
(11,23),-2.99253 # DEPENDENCYPART_ARC
(11,24),-3.27064 # DEPENDENCYPART_ARC
(11,25),-3.52614 # DEPENDENCYPART_ARC
(11,26),-3.16246 # DEPENDENCYPART_ARC
(11,27),-2.92189 # DEPENDENCYPART_ARC
(11,28),-3.68134 # DEPENDENCYPART_ARC
(11,29),-3.35747 # DEPENDENCYPART_ARC
(11,30),-3.91956 # DEPENDENCYPART_ARC
(11,31),-4.13354 # DEPENDENCYPART_ARC
(11,32),-3.70949 # DEPENDENCYPART_ARC
(11,33),-4.20555 # DEPENDENCYPART_ARC
(11,34),-4.24028 # DEPENDENCYPART_ARC
(11,35),-3.75558 # DEPENDENCYPART_ARC
(11,36),-3.00437 # DEPENDENCYPART_ARC
(12,1),-0.709997 # DEPENDENCYPART_ARC
(12,2),-0.549435 # DEPENDENCYPART_ARC
(12,3),-0.723483 # DEPENDENCYPART_ARC
(12,4),-0.764428 # DEPENDENCYPART_ARC
(12,5),-1.53128 # DEPENDENCYPART_ARC
(12,6),-0.416683 # DEPENDENCYPART_ARC
(12,7),-0.554967 # DEPENDENCYPART_ARC
(12,8),0.692275 # DEPENDENCYPART_ARC
(12,9),1.6553 # DEPENDENCYPART_ARC
(12,10),3.81822 # DEPENDENCYPART_ARC
(12,11),3.34734 # DEPENDENCYPART_ARC
(12,13),4.28719 # DEPENDENCYPART_ARC
(12,14),0.974692 # DEPENDENCYPART_ARC
(12,15),1.89149 # DEPENDENCYPART_ARC
(12,16),2.3958 # DEPENDENCYPART_ARC
(12,17),2.08466 # DEPENDENCYPART_ARC
(12,18),0.961469 # DEPENDENCYPART_ARC
(12,19),0.395519 # DEPENDENCYPART_ARC
(12,20),0.164906 # DEPENDENCYPART_ARC
(12,21),-0.370394 # DEPENDENCYPART_ARC
(12,22),-0.211155 # DEPENDENCYPART_ARC
(12,23),0.0788108 # DEPENDENCYPART_ARC
(12,24),0.159852 # DEPENDENCYPART_ARC
(12,25),0.724467 # DEPENDENCYPART_ARC
(12,26),0.649286 # DEPENDENCYPART_ARC
(12,27),-0.390198 # DEPENDENCYPART_ARC
(12,28),-0.945442 # DEPENDENCYPART_ARC
(12,29),-2.48228 # DEPENDENCYPART_ARC
(12,30),-1.47667 # DEPENDENCYPART_ARC
(12,31),-0.194158 # DEPENDENCYPART_ARC
(12,32),-0.962307 # DEPENDENCYPART_ARC
(12,33),-0.68771 # DEPENDENCYPART_ARC
(12,34),-1.56916 # DEPENDENCYPART_ARC
(12,35),-2.13724 # DEPENDENCYPART_ARC
(12,36),2.15363 # DEPENDENCYPART_ARC
(13,1),-2.33998 # DEPENDENCYPART_ARC
(13,2),-2.09805 # DEPENDENCYPART_ARC
(13,3),-1.85421 # DEPENDENCYPART_ARC
(13,4),-1.61436 # DEPENDENCYPART_ARC
(13,5),-1.36793 # DEPENDENCYPART_ARC
(13,6),-1.08297 # DEPENDENCYPART_ARC
(13,7),-1.08817 # DEPENDENCYPART_ARC
(13,8),-1.26093 # DEPENDENCYPART_ARC
(13,9),-0.788173 # DEPENDENCYPART_ARC
(13,10),-0.310864 # DEPENDENCYPART_ARC
(13,11),0.040761 # DEPENDENCYPART_ARC
(13,12),0.596901 # DEPENDENCYPART_ARC
(13,14),0.464097 # DEPENDENCYPART_ARC
(13,15),4.13363 # DEPENDENCYPART_ARC
(13,16),0.228296 # DEPENDENCYPART_ARC
(13,17),0.191298 # DEPENDENCYPART_ARC
(13,18),-0.139156 # DEPENDENCYPART_ARC
(13,19),-0.0616902 # DEPENDENCYPART_ARC
(13,20),-0.266901 # DEPENDENCYPART_ARC
(13,21),-1.02525 # DEPENDENCYPART_ARC
(13,22),-3.02379 # DEPENDENCYPART_ARC
(13,23),-1.13128 # DEPENDENCYPART_ARC
(13,24),-2.25226 # DEPENDENCYPART_ARC
(13,25),-1.06729 # DEPENDENCYPART_ARC
(13,26),-1.28696 # DEPENDENCYPART_ARC
(13,27),-2.19181 # DEPENDENCYPART_ARC
(13,28),-2.18653 # DEPENDENCYPART_ARC
(13,29),-1.86652 # DEPENDENCYPART_ARC
(13,30),-1.97612 # DEPENDENCYPART_ARC
(13,31),-5.26741 # DEPENDENCYPART_ARC
(13,32),-2.3083 # DEPENDENCYPART_ARC
(13,33),-3.99917 # DEPENDENCYPART_ARC
(13,34),-4.34322 # DEPENDENCYPART_ARC
(13,35),-7.10602 # DEPENDENCYPART_ARC
(13,36),1.42133 # DEPENDENCYPART_ARC
(14,1),-2.87885 # DEPENDENCYPART_ARC
(14,2),-3.25834 # DEPENDENCYPART_ARC
(14,3),-2.91086 # DEPENDENCYPART_ARC
(14,4),-2.94219 # DEPENDENCYPART_ARC
(14,5),-2.33133 # DEPENDENCYPART_ARC
(14,6),-1.93535 # DEPENDENCYPART_ARC
(14,7),-2.12531 # DEPENDENCYPART_ARC
(14,8),-2.25306 # DEPENDENCYPART_ARC
(14,9),-2.07087 # DEPENDENCYPART_ARC
(14,10),-1.23447 # DEPENDENCYPART_ARC
(14,11),-1.7226 # DEPENDENCYPART_ARC
(14,12),-1.85907 # DEPENDENCYPART_ARC
(14,13),-0.522939 # DEPENDENCYPART_ARC
